,LUNG,BREAST,HAEMATOPOIETIC,NERVOUS,SKIN,OVARY,PANCREAS,URINARY,STOMACH,ENDOMETRIUM,LARGE_INTESTINE,BONE,LIVER,OESOPHAGUS,GANGLIA,SOFT_TISSUE,AERODIGESTIVE,PROSTATE,THYROID,KIDNEY,SALIVARY,PLEURA,BILIARY
2057,17.0,1.0,11.0,8.0,0.0,7.0,5.0,15.0,9.0,2.0,21.0,13.0,3.0,12.0,14.0,4.0,6.0,18.0,10.0,16.0,20.0,19.0,22.0
2106,7.0,1.0,13.0,2.0,5.0,14.0,0.0,15.0,16.0,3.0,18.0,8.0,9.0,17.0,4.0,10.0,6.0,19.0,11.0,12.0,20.0,21.0,22.0
2155,0.0,1.0,7.0,9.0,16.0,8.0,5.0,10.0,11.0,20.0,2.0,14.0,3.0,13.0,17.0,4.0,6.0,18.0,12.0,15.0,21.0,19.0,22.0
2204,11.0,18.0,0.0,3.0,14.0,15.0,8.0,2.0,1.0,9.0,4.0,10.0,16.0,12.0,13.0,19.0,7.0,21.0,6.0,5.0,20.0,17.0,22.0
2253,1.0,7.0,0.0,13.0,19.0,12.0,8.0,14.0,15.0,2.0,11.0,4.0,5.0,9.0,16.0,6.0,3.0,17.0,20.0,10.0,18.0,21.0,22.0
2302,3.0,10.0,1.0,0.0,6.0,5.0,2.0,4.0,11.0,9.0,14.0,17.0,8.0,12.0,7.0,19.0,15.0,16.0,13.0,20.0,18.0,21.0,22.0
2351,0.0,1.0,7.0,8.0,6.0,13.0,5.0,9.0,10.0,2.0,14.0,3.0,4.0,11.0,17.0,12.0,16.0,18.0,20.0,15.0,19.0,21.0,22.0
2400,21.0,7.0,0.0,3.0,12.0,4.0,16.0,2.0,1.0,6.0,5.0,15.0,10.0,11.0,13.0,8.0,9.0,17.0,14.0,18.0,20.0,19.0,22.0
2449,0.0,1.0,10.0,5.0,4.0,8.0,12.0,6.0,7.0,17.0,16.0,2.0,15.0,3.0,14.0,13.0,9.0,18.0,20.0,11.0,19.0,21.0,22.0
2498,2.0,1.0,6.0,12.0,11.0,0.0,14.0,4.0,13.0,3.0,15.0,5.0,10.0,7.0,16.0,9.0,21.0,17.0,8.0,20.0,19.0,18.0,22.0
2547,0.0,15.0,4.0,1.0,5.0,8.0,11.0,6.0,7.0,2.0,14.0,13.0,3.0,10.0,17.0,12.0,16.0,18.0,20.0,9.0,19.0,21.0,22.0
2596,0.0,4.0,10.0,7.0,15.0,6.0,5.0,8.0,9.0,1.0,3.0,13.0,2.0,11.0,16.0,12.0,14.0,17.0,19.0,20.0,18.0,21.0,22.0
2645,11.0,4.0,1.0,5.0,2.0,0.0,7.0,15.0,3.0,6.0,9.0,10.0,8.0,12.0,17.0,20.0,16.0,18.0,13.0,14.0,19.0,21.0,22.0
2694,1.0,0.0,10.0,7.0,5.0,6.0,11.0,8.0,9.0,2.0,16.0,14.0,13.0,4.0,15.0,12.0,3.0,17.0,19.0,20.0,18.0,21.0,22.0
2743,10.0,0.0,6.0,13.0,16.0,5.0,7.0,3.0,14.0,21.0,4.0,9.0,1.0,15.0,17.0,8.0,2.0,18.0,11.0,12.0,20.0,19.0,22.0
