,FLNB_MUT,ZNF705G_AMP,RGPD4_AMP,LOC100130700_AMP,RB1_MUT,HS3ST3A1_DEL,HLA-DQB1_DEL,CDC73_AMP,RNF103-CHMP3_DEL,DEFB4B_DEL,LOC100506776_DEL,LPA_AMP,CES1_AMP,ODF3B_DEL,POTEB_DEL,MUC20_AMP,CNTN5_DEL,LOC100133267_DEL,UPK3B_AMP,DHRS4L2_DEL,SLC25A37_AMP,GALNTL6_DEL,OR2T11_AMP,MSTO2P_AMP,PCDHA10_DEL,HLA-H_DEL,ATP9A_AMP,LINGO2_DEL,RBFOX1_DEL,HCG4B_DEL
2434,12.0,9.0,107.0,15470.0,16608.0,125.0,77.0,23182.0,20377.0,22.0,64.0,42.0,11.0,36.0,23.0,144.0,98.0,70.0,19190.0,51.0,106.0,79.0,16986.0,130.0,9597.0,127.0,15614.0,85.0,138.0,99.0
2483,21.0,145.0,85.0,15469.0,16611.0,8074.0,29.0,62.0,51.0,14.0,56.0,47.0,84.0,41.0,42.0,78.0,53.0,112.0,49.0,797.0,87.0,80.0,69.0,63.0,26.0,109.0,15611.0,19.0,146.0,126.0
2532,55.0,59.0,36.0,15470.0,9.0,47.0,14.0,20.0,40.0,20521.0,75.0,79.0,39.0,65.0,28.0,134.0,85.0,62.0,81.0,786.0,87.0,97.0,123.0,137.0,9598.0,90.0,46.0,3570.0,166.0,32.0
2581,8.0,36.0,58.0,18.0,16613.0,8079.0,30.0,125.0,67.0,66.0,89.0,39.0,53.0,2270.0,94.0,101.0,56.0,26.0,19194.0,800.0,149.0,117.0,68.0,128.0,5.0,90.0,15631.0,3574.0,174.0,167.0
2630,4.0,27.0,45.0,15468.0,16615.0,8077.0,40.0,51.0,9.0,21.0,69.0,59.0,2.0,2263.0,641.0,78.0,61.0,20690.0,80.0,798.0,68.0,154.0,111.0,63.0,106.0,158.0,15612.0,163.0,103.0,118.0
2679,5.0,15433.0,41.0,15469.0,16611.0,145.0,56.0,57.0,19.0,12.0,20916.0,43.0,17479.0,55.0,617.0,93.0,58.0,65.0,79.0,797.0,156.0,83.0,51.0,15455.0,9619.0,124.0,15613.0,3588.0,160.0,161.0
2728,25.0,117.0,52.0,3.0,16615.0,89.0,38.0,66.0,99.0,188.0,20899.0,75.0,135.0,2268.0,14.0,76.0,46.0,39.0,19196.0,54.0,119.0,2024.0,30.0,143.0,74.0,108.0,58.0,148.0,9453.0,6768.0
2777,21.0,77.0,54.0,15476.0,16616.0,72.0,133.0,34.0,66.0,20531.0,84.0,114.0,109.0,26.0,64.0,137.0,68.0,20700.0,59.0,766.0,53.0,119.0,70.0,138.0,9.0,169.0,15622.0,101.0,168.0,87.0
2826,38.0,15435.0,65.0,15472.0,16610.0,22.0,54.0,47.0,20376.0,19.0,20895.0,46.0,84.0,2264.0,41.0,57.0,153.0,77.0,16.0,102.0,59.0,48.0,104.0,154.0,9599.0,116.0,15613.0,109.0,76.0,132.0
2875,6.0,15436.0,90.0,15473.0,29.0,126.0,50.0,102.0,64.0,20524.0,20916.0,61.0,54.0,93.0,657.0,66.0,60.0,49.0,79.0,757.0,115.0,143.0,75.0,88.0,13.0,137.0,15612.0,3564.0,152.0,104.0
2924,43.0,15432.0,63.0,15468.0,6.0,121.0,69.0,85.0,46.0,99.0,55.0,41.0,66.0,29.0,638.0,59.0,38.0,20689.0,54.0,5.0,114.0,106.0,111.0,72.0,93.0,120.0,15611.0,82.0,9446.0,6762.0
2973,16185.0,52.0,39.0,64.0,21.0,129.0,83.0,98.0,94.0,108.0,55.0,111.0,116.0,11.0,321.0,89.0,36.0,175.0,87.0,542.0,123.0,101.0,53.0,127.0,13.0,138.0,57.0,48.0,126.0,176.0
3022,3.0,101.0,112.0,15470.0,10.0,121.0,94.0,25.0,70.0,73.0,124.0,89.0,74.0,39.0,614.0,82.0,10410.0,114.0,67.0,100.0,79.0,151.0,166.0,91.0,93.0,768.0,107.0,62.0,128.0,180.0
3071,16185.0,50.0,16.0,10.0,33.0,8073.0,28.0,85.0,20375.0,56.0,20916.0,84.0,70.0,2261.0,19.0,65.0,94.0,20691.0,44.0,538.0,134.0,75.0,73.0,49.0,9575.0,111.0,105.0,116.0,145.0,155.0
3120,16192.0,25.0,39.0,35.0,7.0,8.0,24.0,22.0,19879.0,83.0,20916.0,75.0,53.0,29.0,650.0,73.0,89.0,20703.0,19189.0,759.0,22043.0,104.0,56.0,137.0,117.0,119.0,2.0,132.0,63.0,44.0
3169,12.0,15438.0,28.0,15475.0,8.0,68.0,57.0,23174.0,73.0,20527.0,19.0,106.0,58.0,11.0,646.0,69.0,84.0,130.0,5.0,52.0,22043.0,60.0,40.0,100.0,14.0,99.0,27.0,98.0,97.0,170.0
3218,16185.0,32.0,60.0,15445.0,19.0,24.0,89.0,23135.0,34.0,101.0,18.0,54.0,17478.0,45.0,31.0,82.0,113.0,11.0,19200.0,79.0,22063.0,72.0,161.0,64.0,9595.0,69.0,74.0,142.0,9448.0,6758.0
3267,80.0,2.0,44.0,56.0,12.0,8071.0,68.0,58.0,75.0,124.0,20917.0,140.0,4.0,74.0,646.0,49.0,29.0,47.0,65.0,756.0,22063.0,106.0,57.0,131.0,5.0,82.0,19.0,87.0,101.0,6759.0
3316,16182.0,123.0,45.0,15470.0,23.0,120.0,16.0,23135.0,75.0,46.0,20936.0,56.0,94.0,121.0,645.0,48.0,39.0,125.0,19198.0,17.0,22044.0,63.0,127.0,111.0,66.0,107.0,31.0,34.0,92.0,87.0
3365,16180.0,40.0,30.0,17.0,12.0,11.0,119.0,23119.0,121.0,146.0,28.0,70.0,17483.0,54.0,575.0,64.0,99.0,124.0,46.0,784.0,47.0,111.0,67.0,117.0,9617.0,115.0,3.0,79.0,102.0,6760.0
3414,30.0,23.0,37.0,15468.0,1.0,8070.0,88.0,90.0,41.0,52.0,20933.0,111.0,17480.0,29.0,632.0,85.0,35.0,58.0,19184.0,764.0,22058.0,51.0,64.0,120.0,32.0,84.0,110.0,55.0,100.0,6775.0
3463,16186.0,15439.0,93.0,33.0,1.0,21.0,78.0,23135.0,85.0,67.0,3.0,88.0,86.0,2265.0,647.0,91.0,124.0,17.0,19191.0,803.0,55.0,32.0,75.0,77.0,92.0,119.0,96.0,65.0,104.0,6765.0
3512,4.0,2.0,41.0,31.0,19.0,32.0,43.0,81.0,20375.0,20525.0,20915.0,127.0,87.0,2270.0,659.0,66.0,10415.0,64.0,38.0,79.0,108.0,130.0,114.0,50.0,26.0,59.0,48.0,121.0,164.0,153.0
3561,38.0,27.0,44.0,5.0,0.0,41.0,30.0,51.0,107.0,72.0,20934.0,87.0,111.0,2259.0,633.0,60.0,118.0,10.0,19188.0,789.0,136.0,110.0,108.0,128.0,9590.0,66.0,16.0,102.0,112.0,22.0
3610,54.0,93.0,43.0,18.0,16607.0,8069.0,28.0,15.0,89.0,97.0,7.0,99.0,64.0,2259.0,44.0,71.0,10411.0,145.0,100.0,25.0,22061.0,48.0,65.0,75.0,9572.0,36.0,22.0,73.0,106.0,101.0
