,Claudin-7,E-Cadherin,Rab25,Shc_pY317,VHL,EGFR_pY1068,HER2_pY1248,PAI-1,P-Cadherin,Syk,Akt,VAV1,4E-BP1_pS65,RSK1-2-3,ADAR1,MIG-6,4E-BP1_pT37_T46,EGFR,alpha-Catenin,HER2,4E-BP1_pT70,HER3,YAP_pS127,PKC-alpha,Paxillin,beta-Catenin,PRAS40_pT246,eEF2,C-Raf(BD610151),B-Raf
494,0.0,1.0,2.0,3.0,4.0,7.0,6.0,5.0,8.0,12.0,25.0,10.0,11.0,18.0,9.0,17.0,15.0,13.0,16.0,14.0,23.0,19.0,20.0,27.0,44.0,38.0,21.0,55.0,40.0,37.0
543,1.0,2.0,0.0,3.0,7.0,4.0,5.0,9.0,6.0,16.0,8.0,17.0,13.0,11.0,14.0,37.0,19.0,24.0,10.0,36.0,15.0,18.0,12.0,26.0,21.0,49.0,127.0,20.0,42.0,23.0
592,0.0,2.0,1.0,4.0,5.0,3.0,6.0,9.0,7.0,8.0,15.0,10.0,11.0,17.0,12.0,19.0,16.0,14.0,13.0,26.0,25.0,24.0,27.0,18.0,20.0,32.0,29.0,45.0,99.0,21.0
641,2.0,0.0,1.0,3.0,4.0,5.0,6.0,27.0,15.0,7.0,10.0,8.0,13.0,18.0,37.0,9.0,26.0,16.0,12.0,11.0,14.0,22.0,20.0,19.0,24.0,36.0,21.0,17.0,95.0,32.0
690,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,18.0,9.0,14.0,11.0,67.0,12.0,20.0,21.0,16.0,19.0,8.0,22.0,28.0,13.0,15.0,10.0,24.0,23.0,26.0,39.0,33.0,17.0
739,1.0,2.0,0.0,3.0,5.0,6.0,4.0,7.0,8.0,9.0,13.0,14.0,12.0,10.0,19.0,15.0,20.0,21.0,11.0,17.0,31.0,18.0,23.0,22.0,16.0,43.0,38.0,29.0,25.0,35.0
788,0.0,1.0,2.0,6.0,3.0,5.0,8.0,19.0,7.0,4.0,11.0,14.0,30.0,13.0,12.0,15.0,23.0,21.0,17.0,10.0,36.0,9.0,123.0,25.0,22.0,57.0,31.0,45.0,55.0,20.0
837,0.0,2.0,1.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,15.0,13.0,19.0,17.0,11.0,21.0,16.0,29.0,39.0,12.0,14.0,22.0,27.0,40.0,37.0,34.0,18.0,43.0,24.0
886,0.0,1.0,2.0,4.0,5.0,7.0,3.0,8.0,10.0,6.0,12.0,19.0,26.0,15.0,9.0,14.0,20.0,18.0,28.0,11.0,35.0,22.0,13.0,25.0,21.0,32.0,24.0,17.0,16.0,48.0
935,0.0,2.0,1.0,4.0,6.0,3.0,7.0,12.0,5.0,8.0,11.0,10.0,65.0,27.0,17.0,13.0,29.0,19.0,9.0,24.0,38.0,44.0,15.0,18.0,16.0,14.0,31.0,93.0,34.0,57.0
984,4.0,0.0,6.0,3.0,1.0,2.0,5.0,8.0,7.0,20.0,11.0,22.0,12.0,10.0,9.0,27.0,16.0,19.0,34.0,13.0,29.0,21.0,49.0,26.0,61.0,152.0,18.0,25.0,36.0,23.0
1033,4.0,0.0,1.0,5.0,7.0,2.0,3.0,28.0,12.0,13.0,8.0,18.0,11.0,21.0,6.0,29.0,14.0,9.0,10.0,15.0,23.0,24.0,26.0,42.0,62.0,27.0,41.0,25.0,30.0,38.0
1082,0.0,2.0,4.0,1.0,3.0,6.0,5.0,9.0,8.0,17.0,13.0,10.0,7.0,19.0,12.0,14.0,15.0,11.0,75.0,18.0,21.0,35.0,20.0,25.0,37.0,28.0,24.0,30.0,133.0,16.0
1131,6.0,5.0,3.0,2.0,1.0,0.0,4.0,16.0,12.0,27.0,8.0,13.0,7.0,25.0,11.0,23.0,9.0,10.0,19.0,15.0,14.0,29.0,28.0,54.0,36.0,21.0,17.0,34.0,43.0,40.0
1180,2.0,0.0,4.0,6.0,1.0,5.0,3.0,8.0,7.0,18.0,19.0,9.0,12.0,14.0,13.0,10.0,21.0,11.0,40.0,16.0,20.0,41.0,25.0,15.0,55.0,48.0,45.0,53.0,26.0,35.0
1229,4.0,1.0,12.0,0.0,6.0,2.0,5.0,16.0,8.0,22.0,13.0,23.0,7.0,35.0,3.0,10.0,11.0,9.0,19.0,24.0,18.0,39.0,17.0,32.0,26.0,20.0,38.0,90.0,142.0,31.0
1278,5.0,0.0,7.0,1.0,6.0,2.0,4.0,19.0,8.0,9.0,3.0,18.0,10.0,15.0,11.0,26.0,13.0,17.0,20.0,28.0,25.0,47.0,30.0,29.0,24.0,49.0,100.0,34.0,12.0,16.0
1327,1.0,0.0,2.0,5.0,3.0,7.0,8.0,13.0,9.0,16.0,4.0,6.0,14.0,99.0,12.0,24.0,11.0,10.0,26.0,59.0,39.0,21.0,42.0,27.0,48.0,17.0,15.0,37.0,28.0,20.0
1376,0.0,1.0,5.0,6.0,4.0,3.0,2.0,22.0,7.0,9.0,16.0,20.0,10.0,14.0,8.0,12.0,15.0,17.0,28.0,11.0,21.0,33.0,48.0,42.0,41.0,45.0,97.0,35.0,13.0,18.0
1425,2.0,1.0,5.0,6.0,0.0,4.0,3.0,16.0,20.0,7.0,15.0,11.0,14.0,35.0,10.0,13.0,8.0,9.0,22.0,12.0,19.0,34.0,37.0,18.0,28.0,54.0,17.0,23.0,41.0,26.0
1474,1.0,2.0,6.0,0.0,3.0,4.0,5.0,7.0,30.0,9.0,31.0,8.0,25.0,12.0,29.0,19.0,43.0,13.0,28.0,20.0,41.0,32.0,16.0,23.0,44.0,11.0,10.0,36.0,14.0,15.0
1523,1.0,0.0,8.0,4.0,2.0,3.0,5.0,16.0,14.0,11.0,10.0,6.0,7.0,9.0,17.0,19.0,15.0,20.0,18.0,60.0,13.0,27.0,22.0,62.0,31.0,35.0,12.0,40.0,30.0,33.0
1572,0.0,1.0,3.0,4.0,2.0,5.0,7.0,9.0,16.0,10.0,20.0,8.0,13.0,39.0,60.0,12.0,21.0,6.0,33.0,18.0,32.0,17.0,31.0,40.0,35.0,22.0,25.0,15.0,19.0,11.0
1621,0.0,4.0,6.0,2.0,1.0,5.0,3.0,14.0,11.0,8.0,19.0,10.0,22.0,20.0,24.0,12.0,30.0,7.0,15.0,26.0,25.0,16.0,18.0,13.0,58.0,37.0,9.0,41.0,27.0,21.0
1670,1.0,2.0,4.0,3.0,0.0,5.0,16.0,9.0,7.0,15.0,12.0,6.0,21.0,13.0,24.0,14.0,19.0,11.0,8.0,57.0,34.0,31.0,20.0,45.0,35.0,44.0,17.0,41.0,27.0,25.0
1719,1.0,2.0,4.0,0.0,6.0,3.0,5.0,14.0,7.0,11.0,9.0,12.0,22.0,17.0,13.0,16.0,32.0,10.0,15.0,18.0,52.0,35.0,21.0,38.0,23.0,27.0,34.0,29.0,8.0,25.0
1768,0.0,2.0,3.0,4.0,1.0,6.0,5.0,7.0,8.0,12.0,10.0,15.0,9.0,16.0,23.0,18.0,21.0,11.0,17.0,13.0,25.0,14.0,20.0,64.0,22.0,66.0,34.0,26.0,19.0,32.0
1817,1.0,2.0,4.0,3.0,0.0,5.0,9.0,10.0,15.0,8.0,6.0,7.0,16.0,23.0,55.0,24.0,11.0,12.0,39.0,130.0,40.0,17.0,21.0,27.0,31.0,57.0,13.0,66.0,19.0,25.0
1866,0.0,1.0,2.0,3.0,4.0,5.0,8.0,9.0,14.0,6.0,7.0,10.0,16.0,12.0,26.0,13.0,51.0,40.0,20.0,23.0,59.0,27.0,11.0,15.0,17.0,35.0,21.0,24.0,30.0,49.0
1915,1.0,0.0,4.0,2.0,3.0,8.0,6.0,13.0,9.0,5.0,10.0,7.0,47.0,17.0,16.0,12.0,31.0,11.0,19.0,23.0,28.0,14.0,34.0,24.0,20.0,55.0,26.0,65.0,15.0,48.0
1964,0.0,1.0,4.0,2.0,3.0,6.0,5.0,12.0,7.0,9.0,10.0,8.0,20.0,52.0,13.0,14.0,21.0,22.0,37.0,15.0,19.0,16.0,18.0,47.0,11.0,17.0,81.0,34.0,49.0,27.0
2013,2.0,6.0,3.0,0.0,5.0,4.0,1.0,9.0,23.0,11.0,7.0,8.0,27.0,13.0,14.0,10.0,54.0,45.0,30.0,12.0,67.0,17.0,24.0,100.0,36.0,64.0,62.0,25.0,83.0,43.0
2062,1.0,0.0,5.0,3.0,6.0,2.0,4.0,7.0,9.0,10.0,8.0,14.0,28.0,13.0,20.0,17.0,23.0,27.0,19.0,12.0,16.0,11.0,24.0,52.0,21.0,15.0,18.0,77.0,87.0,22.0
2111,0.0,1.0,2.0,3.0,5.0,10.0,6.0,8.0,9.0,19.0,4.0,7.0,28.0,29.0,11.0,27.0,21.0,37.0,18.0,33.0,52.0,12.0,15.0,17.0,13.0,14.0,34.0,35.0,55.0,45.0
2160,3.0,0.0,2.0,1.0,6.0,4.0,5.0,10.0,7.0,12.0,8.0,11.0,62.0,20.0,9.0,15.0,35.0,22.0,18.0,21.0,17.0,60.0,24.0,34.0,32.0,14.0,16.0,13.0,80.0,25.0
2209,0.0,1.0,2.0,3.0,9.0,4.0,6.0,11.0,17.0,8.0,5.0,7.0,18.0,16.0,20.0,19.0,10.0,21.0,12.0,23.0,13.0,24.0,28.0,38.0,37.0,15.0,14.0,30.0,106.0,22.0
2258,1.0,0.0,2.0,3.0,6.0,5.0,8.0,4.0,13.0,12.0,7.0,9.0,34.0,11.0,16.0,18.0,21.0,46.0,48.0,50.0,31.0,10.0,14.0,15.0,26.0,49.0,35.0,20.0,81.0,19.0
2307,2.0,0.0,1.0,3.0,12.0,5.0,4.0,7.0,6.0,10.0,8.0,20.0,11.0,17.0,13.0,49.0,9.0,32.0,33.0,19.0,29.0,16.0,38.0,18.0,30.0,58.0,21.0,15.0,25.0,14.0
2356,3.0,0.0,2.0,1.0,7.0,6.0,5.0,12.0,9.0,10.0,4.0,8.0,11.0,16.0,21.0,20.0,43.0,14.0,18.0,13.0,24.0,22.0,26.0,25.0,41.0,17.0,23.0,29.0,35.0,15.0
2405,1.0,0.0,5.0,4.0,3.0,2.0,6.0,8.0,11.0,16.0,7.0,9.0,22.0,14.0,13.0,12.0,24.0,64.0,32.0,15.0,20.0,61.0,25.0,38.0,10.0,17.0,31.0,19.0,29.0,21.0
2454,0.0,2.0,5.0,1.0,6.0,4.0,3.0,7.0,12.0,18.0,13.0,10.0,15.0,16.0,8.0,9.0,14.0,26.0,19.0,33.0,21.0,35.0,24.0,25.0,23.0,11.0,28.0,22.0,44.0,27.0
2503,2.0,0.0,1.0,3.0,4.0,5.0,6.0,8.0,12.0,14.0,16.0,7.0,17.0,9.0,21.0,18.0,13.0,70.0,11.0,24.0,10.0,30.0,19.0,26.0,27.0,15.0,20.0,22.0,69.0,23.0
2552,0.0,2.0,4.0,1.0,3.0,5.0,6.0,8.0,9.0,11.0,13.0,7.0,10.0,24.0,15.0,18.0,12.0,55.0,19.0,32.0,16.0,59.0,21.0,95.0,22.0,17.0,51.0,31.0,14.0,38.0
2601,0.0,6.0,2.0,3.0,1.0,5.0,4.0,9.0,8.0,14.0,18.0,13.0,7.0,10.0,22.0,12.0,17.0,20.0,15.0,26.0,11.0,45.0,16.0,41.0,25.0,23.0,94.0,27.0,38.0,110.0
2650,0.0,4.0,3.0,2.0,1.0,5.0,9.0,7.0,19.0,26.0,23.0,8.0,12.0,15.0,13.0,24.0,6.0,32.0,17.0,42.0,10.0,27.0,18.0,28.0,14.0,11.0,16.0,21.0,63.0,38.0
2699,0.0,2.0,1.0,3.0,6.0,4.0,5.0,10.0,11.0,19.0,24.0,12.0,16.0,13.0,15.0,7.0,9.0,17.0,20.0,25.0,8.0,21.0,64.0,75.0,43.0,22.0,63.0,14.0,37.0,39.0
2748,2.0,1.0,0.0,3.0,4.0,5.0,6.0,7.0,16.0,12.0,8.0,14.0,21.0,9.0,10.0,17.0,15.0,23.0,11.0,31.0,18.0,38.0,13.0,24.0,25.0,20.0,102.0,22.0,72.0,26.0
2797,1.0,3.0,0.0,2.0,5.0,4.0,6.0,15.0,9.0,32.0,12.0,7.0,10.0,17.0,8.0,18.0,13.0,31.0,16.0,29.0,20.0,34.0,14.0,43.0,21.0,11.0,26.0,24.0,30.0,35.0
2846,0.0,5.0,4.0,6.0,1.0,2.0,3.0,8.0,9.0,11.0,10.0,7.0,23.0,15.0,20.0,12.0,18.0,27.0,26.0,19.0,14.0,48.0,16.0,46.0,21.0,13.0,53.0,38.0,34.0,47.0
2895,1.0,2.0,0.0,3.0,7.0,8.0,4.0,10.0,13.0,16.0,17.0,5.0,12.0,19.0,15.0,9.0,11.0,35.0,21.0,25.0,6.0,67.0,26.0,65.0,23.0,14.0,85.0,31.0,34.0,18.0
2944,2.0,1.0,0.0,4.0,3.0,7.0,5.0,6.0,15.0,8.0,20.0,12.0,11.0,9.0,10.0,17.0,29.0,42.0,54.0,24.0,23.0,14.0,59.0,13.0,91.0,19.0,21.0,22.0,16.0,44.0
2993,1.0,0.0,3.0,8.0,2.0,7.0,6.0,4.0,25.0,10.0,5.0,13.0,9.0,12.0,23.0,27.0,22.0,32.0,31.0,20.0,26.0,16.0,18.0,15.0,11.0,19.0,43.0,30.0,17.0,38.0
3042,0.0,4.0,1.0,3.0,2.0,6.0,5.0,7.0,21.0,10.0,8.0,19.0,44.0,12.0,11.0,13.0,16.0,24.0,20.0,18.0,9.0,22.0,35.0,17.0,29.0,15.0,38.0,14.0,55.0,31.0
3091,1.0,0.0,3.0,5.0,2.0,4.0,7.0,6.0,16.0,8.0,9.0,10.0,24.0,13.0,15.0,12.0,17.0,49.0,32.0,31.0,18.0,41.0,47.0,20.0,14.0,11.0,25.0,40.0,34.0,44.0
3140,0.0,2.0,1.0,8.0,4.0,5.0,3.0,6.0,14.0,7.0,11.0,28.0,16.0,13.0,10.0,12.0,17.0,19.0,68.0,31.0,9.0,24.0,30.0,41.0,15.0,22.0,103.0,25.0,20.0,48.0
3189,0.0,2.0,3.0,1.0,8.0,7.0,4.0,6.0,12.0,25.0,11.0,15.0,9.0,16.0,5.0,17.0,13.0,21.0,30.0,18.0,14.0,10.0,22.0,24.0,33.0,36.0,40.0,26.0,29.0,136.0
3238,1.0,5.0,4.0,0.0,7.0,2.0,3.0,6.0,23.0,19.0,8.0,9.0,13.0,12.0,10.0,15.0,22.0,17.0,38.0,14.0,25.0,30.0,57.0,18.0,44.0,11.0,125.0,40.0,61.0,51.0
3287,0.0,7.0,1.0,5.0,4.0,3.0,2.0,8.0,21.0,10.0,6.0,22.0,23.0,12.0,17.0,11.0,13.0,16.0,27.0,19.0,14.0,15.0,33.0,45.0,18.0,9.0,31.0,25.0,20.0,29.0
3336,1.0,2.0,4.0,0.0,3.0,6.0,5.0,9.0,13.0,10.0,16.0,20.0,21.0,19.0,14.0,12.0,8.0,7.0,17.0,35.0,33.0,36.0,81.0,11.0,29.0,30.0,48.0,27.0,18.0,25.0
3385,0.0,4.0,1.0,2.0,5.0,7.0,3.0,6.0,17.0,11.0,10.0,24.0,9.0,12.0,18.0,20.0,21.0,8.0,99.0,19.0,16.0,13.0,62.0,27.0,25.0,15.0,26.0,28.0,35.0,34.0
3434,3.0,2.0,1.0,0.0,4.0,5.0,6.0,8.0,7.0,20.0,10.0,13.0,21.0,16.0,32.0,12.0,80.0,14.0,18.0,37.0,108.0,33.0,28.0,64.0,40.0,15.0,17.0,19.0,9.0,25.0
3483,0.0,2.0,5.0,6.0,1.0,4.0,3.0,8.0,9.0,7.0,10.0,24.0,46.0,14.0,19.0,11.0,75.0,89.0,12.0,13.0,54.0,65.0,32.0,15.0,28.0,22.0,39.0,17.0,20.0,27.0
3532,0.0,1.0,3.0,6.0,2.0,4.0,5.0,9.0,7.0,10.0,8.0,14.0,26.0,76.0,11.0,15.0,55.0,12.0,31.0,20.0,32.0,30.0,25.0,17.0,16.0,33.0,131.0,13.0,22.0,27.0
3581,0.0,1.0,2.0,4.0,5.0,3.0,6.0,8.0,11.0,19.0,12.0,7.0,29.0,9.0,17.0,22.0,27.0,13.0,45.0,16.0,34.0,24.0,36.0,15.0,35.0,14.0,18.0,10.0,66.0,31.0
3630,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,14.0,25.0,12.0,8.0,18.0,11.0,22.0,30.0,13.0,10.0,19.0,17.0,33.0,15.0,24.0,26.0,52.0,16.0,32.0,20.0,63.0,62.0
3679,3.0,2.0,5.0,1.0,4.0,0.0,6.0,11.0,9.0,13.0,8.0,19.0,38.0,12.0,10.0,17.0,32.0,18.0,14.0,7.0,86.0,15.0,29.0,31.0,62.0,34.0,30.0,20.0,16.0,130.0
3728,0.0,1.0,3.0,5.0,2.0,4.0,6.0,10.0,7.0,8.0,11.0,9.0,27.0,14.0,13.0,25.0,17.0,49.0,42.0,15.0,26.0,21.0,18.0,23.0,34.0,12.0,28.0,39.0,19.0,32.0
3777,0.0,3.0,1.0,4.0,5.0,2.0,6.0,18.0,7.0,39.0,12.0,10.0,25.0,14.0,22.0,37.0,36.0,20.0,23.0,21.0,57.0,61.0,82.0,9.0,26.0,8.0,15.0,11.0,13.0,16.0
3826,0.0,1.0,2.0,5.0,3.0,4.0,7.0,11.0,13.0,12.0,6.0,8.0,38.0,48.0,15.0,16.0,26.0,29.0,72.0,18.0,45.0,22.0,42.0,10.0,17.0,9.0,30.0,31.0,19.0,20.0
3875,4.0,2.0,3.0,6.0,0.0,5.0,1.0,28.0,26.0,9.0,11.0,8.0,10.0,14.0,46.0,19.0,24.0,22.0,23.0,12.0,49.0,17.0,27.0,13.0,25.0,20.0,7.0,15.0,45.0,34.0
3924,0.0,1.0,6.0,3.0,2.0,5.0,7.0,19.0,8.0,4.0,23.0,34.0,13.0,15.0,58.0,18.0,11.0,77.0,28.0,16.0,10.0,12.0,69.0,31.0,9.0,20.0,25.0,27.0,30.0,29.0
3973,0.0,4.0,1.0,2.0,3.0,6.0,5.0,30.0,9.0,11.0,12.0,22.0,19.0,36.0,14.0,20.0,25.0,7.0,13.0,41.0,8.0,23.0,58.0,26.0,18.0,50.0,10.0,88.0,17.0,16.0
4022,1.0,8.0,5.0,2.0,0.0,3.0,4.0,7.0,6.0,10.0,22.0,27.0,12.0,23.0,11.0,14.0,24.0,9.0,20.0,32.0,15.0,18.0,19.0,17.0,13.0,105.0,25.0,31.0,49.0,16.0
4071,0.0,1.0,3.0,4.0,2.0,5.0,6.0,20.0,7.0,8.0,22.0,27.0,14.0,17.0,26.0,10.0,23.0,9.0,16.0,29.0,11.0,44.0,19.0,15.0,21.0,24.0,18.0,51.0,13.0,28.0
4120,0.0,3.0,2.0,1.0,6.0,5.0,4.0,8.0,7.0,10.0,9.0,12.0,52.0,14.0,33.0,11.0,25.0,18.0,35.0,13.0,49.0,24.0,36.0,30.0,27.0,28.0,15.0,22.0,23.0,64.0
4169,1.0,4.0,3.0,0.0,5.0,2.0,6.0,24.0,7.0,13.0,12.0,10.0,9.0,52.0,8.0,27.0,29.0,16.0,18.0,51.0,14.0,47.0,28.0,40.0,11.0,73.0,23.0,17.0,30.0,22.0
4218,0.0,3.0,5.0,2.0,1.0,4.0,6.0,38.0,8.0,7.0,16.0,32.0,12.0,14.0,42.0,11.0,17.0,22.0,10.0,13.0,21.0,26.0,99.0,49.0,20.0,28.0,15.0,35.0,9.0,31.0
4267,0.0,3.0,5.0,1.0,2.0,6.0,4.0,8.0,7.0,9.0,10.0,36.0,15.0,19.0,14.0,27.0,18.0,11.0,16.0,13.0,12.0,22.0,40.0,25.0,17.0,21.0,33.0,28.0,20.0,58.0
4316,0.0,1.0,3.0,2.0,4.0,5.0,6.0,9.0,8.0,7.0,10.0,11.0,13.0,22.0,28.0,20.0,44.0,15.0,70.0,14.0,42.0,12.0,26.0,56.0,25.0,27.0,16.0,33.0,17.0,29.0
4365,0.0,3.0,1.0,2.0,4.0,6.0,7.0,11.0,8.0,5.0,9.0,19.0,16.0,18.0,22.0,10.0,17.0,13.0,23.0,12.0,42.0,53.0,30.0,34.0,28.0,35.0,27.0,29.0,14.0,21.0
4414,0.0,1.0,2.0,5.0,3.0,6.0,4.0,7.0,11.0,8.0,18.0,13.0,14.0,12.0,9.0,28.0,41.0,23.0,17.0,15.0,10.0,16.0,50.0,82.0,25.0,95.0,29.0,38.0,19.0,37.0
4463,1.0,0.0,6.0,4.0,9.0,2.0,5.0,7.0,11.0,3.0,8.0,12.0,19.0,18.0,15.0,17.0,16.0,13.0,10.0,41.0,31.0,23.0,44.0,49.0,22.0,34.0,67.0,42.0,33.0,21.0
4512,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,23.0,10.0,8.0,9.0,11.0,30.0,18.0,20.0,16.0,13.0,52.0,62.0,14.0,19.0,22.0,45.0,12.0,35.0,48.0,26.0,25.0,42.0
4561,2.0,0.0,3.0,5.0,1.0,4.0,7.0,6.0,15.0,8.0,17.0,9.0,13.0,47.0,10.0,20.0,36.0,61.0,14.0,35.0,28.0,12.0,21.0,83.0,31.0,78.0,24.0,29.0,16.0,41.0
4610,0.0,3.0,2.0,7.0,1.0,9.0,5.0,6.0,10.0,4.0,16.0,11.0,29.0,18.0,20.0,21.0,14.0,31.0,8.0,13.0,17.0,19.0,24.0,34.0,15.0,28.0,79.0,70.0,64.0,27.0
4659,0.0,1.0,2.0,6.0,5.0,4.0,3.0,8.0,10.0,11.0,15.0,7.0,18.0,21.0,13.0,23.0,19.0,22.0,9.0,14.0,20.0,32.0,17.0,46.0,16.0,12.0,39.0,48.0,29.0,88.0
4708,1.0,0.0,2.0,3.0,4.0,7.0,6.0,5.0,18.0,10.0,12.0,11.0,14.0,27.0,13.0,22.0,8.0,20.0,15.0,16.0,9.0,28.0,138.0,24.0,53.0,75.0,29.0,21.0,36.0,39.0
4757,1.0,0.0,5.0,2.0,3.0,4.0,6.0,7.0,9.0,8.0,16.0,10.0,14.0,37.0,35.0,97.0,18.0,13.0,17.0,40.0,11.0,63.0,46.0,21.0,36.0,41.0,61.0,50.0,58.0,60.0
4806,0.0,1.0,2.0,4.0,5.0,3.0,7.0,11.0,13.0,6.0,10.0,9.0,20.0,12.0,36.0,21.0,17.0,15.0,8.0,16.0,26.0,19.0,51.0,72.0,29.0,24.0,28.0,60.0,31.0,125.0
4855,0.0,1.0,2.0,6.0,3.0,5.0,4.0,7.0,16.0,9.0,14.0,10.0,24.0,22.0,8.0,17.0,13.0,23.0,26.0,25.0,18.0,12.0,32.0,44.0,19.0,27.0,90.0,31.0,36.0,11.0
