,hsa-miR-148a,hsa-miR-581,hsa-miR-604,hsa-miR-29c,hsa-miR-331-5p,hsa-miR-615-3p,hsa-miR-187,hsa-miR-935,hsa-miR-609,hsv1-miR-H2-3p,hsa-miR-449b,hcmv-miR-US25-1,hsa-miR-300,hsa-miR-220a,hsa-miR-378,hsa-miR-558,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-649,hsa-miR-623,hsa-miR-557,hsa-miR-34a,hcmv-miR-UL70-3p,hsa-miR-541,hsa-miR-934,hsa-miR-1284,hsa-miR-766,hsa-miR-497,hsa-miR-1247,hsa-miR-563
1681,0.0,9.0,3.0,4.0,6.0,38.0,34.0,23.0,13.0,2.0,8.0,10.0,20.0,1.0,62.0,28.0,76.0,22.0,15.0,25.0,24.0,49.0,21.0,129.0,41.0,7.0,71.0,121.0,18.0,40.0
1730,0.0,9.0,4.0,3.0,35.0,25.0,19.0,31.0,29.0,1.0,34.0,11.0,57.0,5.0,39.0,18.0,154.0,7.0,45.0,81.0,10.0,50.0,17.0,82.0,36.0,43.0,26.0,207.0,54.0,51.0
1779,4.0,26.0,1.0,12.0,8.0,19.0,86.0,57.0,0.0,16.0,14.0,10.0,21.0,5.0,38.0,9.0,63.0,25.0,11.0,36.0,35.0,15.0,7.0,48.0,68.0,23.0,65.0,37.0,72.0,97.0
1828,1.0,7.0,0.0,13.0,9.0,61.0,52.0,44.0,22.0,8.0,3.0,4.0,32.0,2.0,73.0,20.0,126.0,71.0,25.0,102.0,38.0,62.0,6.0,53.0,41.0,45.0,64.0,11.0,27.0,12.0
1877,11.0,0.0,9.0,3.0,45.0,46.0,32.0,33.0,1.0,109.0,6.0,13.0,59.0,8.0,87.0,27.0,62.0,31.0,23.0,52.0,14.0,37.0,41.0,72.0,147.0,50.0,30.0,68.0,88.0,53.0
1926,2.0,6.0,0.0,1.0,9.0,16.0,23.0,22.0,8.0,5.0,19.0,10.0,55.0,15.0,68.0,110.0,168.0,27.0,20.0,66.0,13.0,31.0,11.0,105.0,193.0,195.0,47.0,52.0,43.0,28.0
1975,3.0,1.0,54.0,2.0,7.0,11.0,9.0,24.0,27.0,8.0,0.0,48.0,20.0,60.0,18.0,13.0,5.0,32.0,39.0,55.0,19.0,197.0,150.0,30.0,6.0,4.0,29.0,143.0,102.0,36.0
2024,0.0,10.0,25.0,6.0,12.0,8.0,3.0,4.0,65.0,1.0,16.0,20.0,32.0,30.0,9.0,5.0,2.0,39.0,17.0,41.0,23.0,36.0,112.0,126.0,11.0,37.0,19.0,73.0,33.0,15.0
2073,3.0,0.0,10.0,8.0,11.0,2.0,4.0,17.0,14.0,1.0,7.0,35.0,39.0,26.0,28.0,19.0,42.0,32.0,70.0,36.0,51.0,15.0,25.0,9.0,16.0,58.0,12.0,117.0,173.0,37.0
2122,5.0,28.0,4.0,0.0,14.0,7.0,17.0,89.0,12.0,3.0,19.0,1.0,71.0,35.0,29.0,30.0,11.0,6.0,8.0,86.0,66.0,258.0,43.0,33.0,23.0,15.0,10.0,137.0,57.0,158.0
2171,2.0,0.0,5.0,3.0,17.0,31.0,1.0,8.0,46.0,25.0,21.0,26.0,4.0,13.0,19.0,10.0,57.0,11.0,28.0,162.0,23.0,14.0,40.0,55.0,107.0,61.0,16.0,43.0,147.0,103.0
2220,3.0,0.0,13.0,1.0,5.0,21.0,2.0,34.0,71.0,4.0,14.0,47.0,11.0,60.0,8.0,31.0,92.0,73.0,6.0,58.0,66.0,29.0,67.0,20.0,33.0,17.0,16.0,88.0,91.0,65.0
2269,0.0,2.0,7.0,4.0,1.0,12.0,8.0,22.0,29.0,10.0,9.0,34.0,58.0,16.0,3.0,19.0,15.0,39.0,46.0,41.0,18.0,48.0,11.0,17.0,151.0,21.0,163.0,66.0,47.0,107.0
2318,0.0,6.0,3.0,2.0,7.0,4.0,5.0,9.0,17.0,1.0,21.0,16.0,30.0,19.0,24.0,38.0,28.0,13.0,8.0,37.0,87.0,45.0,34.0,25.0,62.0,63.0,20.0,61.0,59.0,23.0
2367,1.0,5.0,9.0,6.0,19.0,34.0,7.0,53.0,94.0,3.0,10.0,18.0,15.0,26.0,20.0,55.0,4.0,78.0,2.0,21.0,58.0,14.0,25.0,22.0,8.0,60.0,39.0,157.0,213.0,13.0
2416,2.0,12.0,16.0,7.0,5.0,11.0,3.0,46.0,40.0,0.0,34.0,29.0,50.0,33.0,8.0,24.0,23.0,44.0,4.0,36.0,27.0,17.0,75.0,1.0,57.0,10.0,51.0,70.0,94.0,147.0
2465,0.0,1.0,9.0,2.0,4.0,11.0,34.0,48.0,30.0,24.0,8.0,12.0,13.0,16.0,23.0,5.0,37.0,71.0,3.0,33.0,77.0,17.0,22.0,21.0,63.0,47.0,20.0,27.0,29.0,66.0
2514,0.0,5.0,4.0,8.0,13.0,27.0,40.0,35.0,19.0,26.0,1.0,23.0,47.0,37.0,7.0,61.0,31.0,3.0,36.0,79.0,58.0,48.0,43.0,18.0,10.0,99.0,22.0,12.0,24.0,57.0
2563,1.0,0.0,4.0,2.0,3.0,25.0,6.0,23.0,44.0,32.0,21.0,16.0,8.0,5.0,35.0,28.0,108.0,146.0,13.0,9.0,76.0,31.0,37.0,10.0,71.0,47.0,11.0,17.0,34.0,20.0
2612,0.0,2.0,4.0,6.0,22.0,13.0,16.0,10.0,21.0,17.0,3.0,32.0,12.0,7.0,8.0,1.0,46.0,30.0,15.0,40.0,101.0,115.0,24.0,36.0,5.0,160.0,31.0,34.0,9.0,59.0
2661,1.0,0.0,6.0,5.0,20.0,8.0,57.0,18.0,4.0,28.0,31.0,17.0,103.0,3.0,11.0,9.0,118.0,10.0,26.0,23.0,60.0,251.0,85.0,35.0,47.0,225.0,34.0,24.0,66.0,48.0
2710,0.0,4.0,2.0,1.0,36.0,23.0,40.0,18.0,5.0,6.0,3.0,26.0,42.0,12.0,14.0,8.0,66.0,32.0,29.0,27.0,82.0,104.0,19.0,20.0,57.0,171.0,28.0,15.0,88.0,92.0
2759,0.0,10.0,5.0,3.0,4.0,11.0,18.0,29.0,12.0,2.0,9.0,28.0,66.0,17.0,31.0,1.0,41.0,171.0,23.0,25.0,26.0,30.0,34.0,54.0,14.0,101.0,19.0,38.0,24.0,32.0
2808,0.0,1.0,2.0,3.0,10.0,53.0,8.0,12.0,31.0,4.0,27.0,17.0,14.0,15.0,5.0,9.0,20.0,66.0,33.0,38.0,72.0,35.0,13.0,94.0,7.0,121.0,28.0,26.0,52.0,78.0
2857,0.0,2.0,1.0,5.0,4.0,6.0,18.0,38.0,8.0,10.0,3.0,48.0,24.0,9.0,40.0,7.0,55.0,20.0,42.0,12.0,53.0,19.0,26.0,13.0,14.0,304.0,11.0,16.0,69.0,81.0
2906,0.0,1.0,7.0,4.0,8.0,49.0,47.0,9.0,2.0,5.0,10.0,46.0,11.0,16.0,19.0,6.0,13.0,78.0,42.0,62.0,14.0,38.0,35.0,51.0,28.0,225.0,37.0,29.0,18.0,118.0
2955,0.0,2.0,4.0,11.0,57.0,7.0,18.0,5.0,1.0,23.0,3.0,9.0,28.0,58.0,8.0,22.0,14.0,27.0,138.0,25.0,124.0,76.0,38.0,34.0,13.0,52.0,31.0,15.0,35.0,21.0
3004,2.0,5.0,1.0,27.0,22.0,0.0,10.0,7.0,6.0,15.0,4.0,23.0,9.0,29.0,84.0,28.0,3.0,17.0,92.0,13.0,30.0,19.0,12.0,26.0,20.0,18.0,35.0,39.0,44.0,68.0
3053,1.0,2.0,10.0,15.0,39.0,3.0,8.0,7.0,11.0,51.0,0.0,22.0,4.0,40.0,14.0,5.0,28.0,37.0,89.0,23.0,194.0,13.0,62.0,100.0,12.0,31.0,21.0,45.0,56.0,70.0
3102,6.0,0.0,7.0,23.0,97.0,3.0,12.0,2.0,22.0,78.0,1.0,21.0,11.0,40.0,17.0,4.0,9.0,90.0,170.0,60.0,27.0,37.0,18.0,107.0,5.0,25.0,64.0,39.0,52.0,43.0
3151,1.0,0.0,7.0,25.0,57.0,2.0,6.0,5.0,15.0,13.0,8.0,30.0,3.0,114.0,9.0,18.0,11.0,34.0,157.0,51.0,10.0,83.0,33.0,27.0,17.0,41.0,14.0,35.0,46.0,88.0
3200,3.0,1.0,4.0,41.0,23.0,7.0,33.0,11.0,12.0,15.0,2.0,24.0,0.0,72.0,9.0,18.0,48.0,49.0,66.0,30.0,21.0,35.0,16.0,28.0,37.0,5.0,47.0,22.0,42.0,39.0
3249,12.0,0.0,1.0,47.0,63.0,4.0,6.0,5.0,104.0,15.0,3.0,40.0,2.0,25.0,11.0,7.0,18.0,23.0,103.0,55.0,49.0,35.0,21.0,33.0,29.0,22.0,36.0,20.0,32.0,14.0
3298,8.0,1.0,11.0,27.0,62.0,4.0,36.0,9.0,0.0,17.0,7.0,15.0,12.0,25.0,5.0,126.0,29.0,14.0,139.0,50.0,68.0,231.0,82.0,24.0,18.0,16.0,30.0,41.0,60.0,103.0
3347,1.0,0.0,12.0,11.0,122.0,4.0,17.0,7.0,8.0,33.0,9.0,19.0,20.0,56.0,5.0,6.0,42.0,13.0,152.0,45.0,54.0,53.0,112.0,10.0,2.0,14.0,23.0,41.0,18.0,35.0
3396,0.0,2.0,5.0,21.0,169.0,3.0,8.0,20.0,27.0,13.0,6.0,11.0,1.0,46.0,9.0,17.0,16.0,15.0,72.0,68.0,40.0,59.0,23.0,61.0,31.0,18.0,10.0,37.0,138.0,43.0
3445,2.0,21.0,3.0,12.0,16.0,27.0,11.0,23.0,4.0,7.0,42.0,1.0,0.0,46.0,24.0,55.0,20.0,44.0,10.0,9.0,68.0,85.0,6.0,188.0,34.0,229.0,93.0,96.0,5.0,58.0
3494,7.0,9.0,3.0,1.0,4.0,20.0,2.0,54.0,35.0,30.0,84.0,8.0,0.0,16.0,6.0,15.0,22.0,19.0,10.0,23.0,67.0,124.0,12.0,52.0,50.0,28.0,41.0,133.0,40.0,11.0
3543,28.0,0.0,3.0,7.0,32.0,17.0,30.0,42.0,1.0,96.0,35.0,21.0,2.0,16.0,60.0,11.0,4.0,26.0,19.0,39.0,127.0,8.0,25.0,205.0,10.0,12.0,36.0,135.0,33.0,24.0
3592,2.0,5.0,0.0,1.0,3.0,42.0,14.0,29.0,11.0,62.0,82.0,8.0,10.0,19.0,6.0,35.0,21.0,30.0,17.0,12.0,93.0,45.0,16.0,58.0,15.0,249.0,124.0,33.0,24.0,20.0
3641,5.0,3.0,23.0,4.0,53.0,31.0,9.0,12.0,17.0,7.0,156.0,27.0,2.0,43.0,1.0,33.0,75.0,22.0,25.0,13.0,61.0,6.0,29.0,129.0,106.0,26.0,20.0,42.0,18.0,35.0
3690,2.0,3.0,1.0,21.0,8.0,56.0,6.0,9.0,51.0,15.0,20.0,5.0,0.0,7.0,19.0,22.0,48.0,23.0,11.0,28.0,50.0,36.0,10.0,38.0,96.0,17.0,57.0,58.0,72.0,4.0
3739,1.0,5.0,0.0,2.0,16.0,33.0,9.0,4.0,24.0,7.0,83.0,14.0,3.0,29.0,31.0,13.0,42.0,8.0,38.0,12.0,18.0,11.0,6.0,134.0,20.0,82.0,41.0,25.0,92.0,27.0
3788,22.0,8.0,0.0,2.0,1.0,10.0,5.0,23.0,4.0,6.0,48.0,15.0,7.0,11.0,21.0,13.0,86.0,45.0,16.0,9.0,99.0,3.0,19.0,20.0,72.0,94.0,91.0,53.0,29.0,44.0
3837,9.0,3.0,20.0,5.0,31.0,12.0,30.0,11.0,1.0,43.0,35.0,13.0,2.0,18.0,33.0,25.0,4.0,47.0,8.0,21.0,37.0,36.0,0.0,49.0,38.0,59.0,159.0,34.0,79.0,10.0
3886,20.0,4.0,0.0,3.0,13.0,5.0,7.0,8.0,10.0,30.0,110.0,1.0,9.0,2.0,17.0,29.0,45.0,37.0,31.0,16.0,142.0,19.0,14.0,23.0,41.0,102.0,73.0,87.0,40.0,34.0
3935,0.0,6.0,26.0,49.0,30.0,2.0,20.0,13.0,44.0,57.0,4.0,8.0,48.0,10.0,3.0,11.0,1.0,17.0,18.0,61.0,5.0,113.0,12.0,25.0,136.0,87.0,56.0,39.0,84.0,35.0
3984,13.0,1.0,9.0,20.0,53.0,54.0,29.0,16.0,14.0,23.0,7.0,25.0,22.0,55.0,4.0,18.0,56.0,47.0,17.0,37.0,8.0,15.0,10.0,2.0,190.0,0.0,78.0,5.0,151.0,44.0
4033,2.0,11.0,22.0,37.0,28.0,6.0,15.0,7.0,20.0,33.0,1.0,34.0,3.0,24.0,25.0,0.0,4.0,40.0,58.0,21.0,8.0,36.0,13.0,9.0,76.0,26.0,30.0,14.0,120.0,57.0
4082,0.0,25.0,16.0,46.0,13.0,9.0,51.0,14.0,8.0,74.0,1.0,7.0,26.0,66.0,24.0,10.0,2.0,5.0,42.0,38.0,11.0,84.0,3.0,30.0,92.0,4.0,124.0,18.0,56.0,47.0
4131,0.0,2.0,15.0,72.0,29.0,10.0,16.0,1.0,23.0,13.0,4.0,35.0,27.0,18.0,50.0,14.0,9.0,7.0,40.0,21.0,5.0,24.0,3.0,22.0,59.0,58.0,96.0,28.0,51.0,78.0
4180,0.0,29.0,2.0,30.0,11.0,3.0,17.0,182.0,4.0,66.0,6.0,18.0,82.0,12.0,41.0,38.0,7.0,19.0,28.0,1.0,5.0,52.0,44.0,16.0,98.0,26.0,113.0,61.0,24.0,63.0
4229,0.0,2.0,19.0,40.0,4.0,9.0,3.0,10.0,11.0,28.0,7.0,15.0,1.0,84.0,6.0,75.0,5.0,21.0,35.0,86.0,14.0,66.0,38.0,33.0,47.0,12.0,70.0,24.0,23.0,105.0
4278,0.0,37.0,16.0,44.0,29.0,53.0,24.0,17.0,56.0,50.0,12.0,20.0,1.0,45.0,8.0,14.0,10.0,15.0,47.0,27.0,2.0,30.0,11.0,100.0,126.0,66.0,99.0,13.0,7.0,54.0
4327,0.0,1.0,10.0,101.0,11.0,3.0,26.0,4.0,19.0,35.0,23.0,14.0,2.0,25.0,29.0,12.0,5.0,50.0,8.0,51.0,18.0,49.0,6.0,21.0,60.0,20.0,98.0,43.0,41.0,56.0
4376,0.0,1.0,7.0,112.0,14.0,4.0,8.0,27.0,39.0,80.0,21.0,22.0,3.0,5.0,24.0,9.0,2.0,46.0,15.0,13.0,16.0,30.0,19.0,74.0,140.0,60.0,78.0,36.0,68.0,66.0
4425,0.0,30.0,19.0,5.0,6.0,1.0,11.0,10.0,16.0,3.0,128.0,35.0,40.0,2.0,8.0,82.0,56.0,25.0,178.0,41.0,58.0,21.0,328.0,36.0,116.0,153.0,29.0,87.0,18.0,4.0
4474,2.0,5.0,28.0,17.0,29.0,35.0,8.0,1.0,58.0,6.0,148.0,15.0,52.0,3.0,4.0,196.0,26.0,9.0,182.0,12.0,11.0,37.0,103.0,50.0,288.0,153.0,85.0,24.0,47.0,0.0
4523,1.0,4.0,38.0,19.0,48.0,5.0,55.0,0.0,70.0,16.0,103.0,35.0,31.0,20.0,6.0,185.0,94.0,24.0,219.0,15.0,30.0,72.0,218.0,45.0,27.0,26.0,9.0,8.0,36.0,14.0
4572,2.0,1.0,38.0,27.0,50.0,8.0,25.0,0.0,30.0,6.0,33.0,61.0,24.0,18.0,22.0,37.0,7.0,20.0,175.0,13.0,3.0,4.0,210.0,60.0,58.0,79.0,85.0,52.0,100.0,9.0
4621,0.0,4.0,58.0,16.0,7.0,23.0,20.0,2.0,83.0,17.0,145.0,31.0,15.0,1.0,19.0,62.0,5.0,22.0,88.0,13.0,25.0,67.0,225.0,73.0,70.0,141.0,36.0,55.0,6.0,3.0
4670,2.0,1.0,16.0,12.0,7.0,23.0,4.0,5.0,66.0,0.0,98.0,47.0,10.0,6.0,14.0,128.0,38.0,15.0,44.0,22.0,42.0,32.0,234.0,56.0,92.0,54.0,75.0,65.0,9.0,3.0
4719,0.0,5.0,67.0,32.0,24.0,29.0,75.0,3.0,36.0,11.0,41.0,63.0,47.0,22.0,6.0,310.0,8.0,1.0,56.0,25.0,33.0,143.0,206.0,35.0,90.0,175.0,69.0,34.0,16.0,4.0
4768,1.0,8.0,26.0,7.0,5.0,18.0,29.0,2.0,21.0,0.0,63.0,15.0,42.0,6.0,16.0,162.0,94.0,4.0,59.0,30.0,78.0,46.0,172.0,99.0,107.0,178.0,54.0,83.0,35.0,3.0
4817,3.0,2.0,60.0,5.0,25.0,15.0,12.0,4.0,77.0,1.0,75.0,9.0,48.0,14.0,8.0,122.0,29.0,26.0,65.0,34.0,49.0,35.0,358.0,40.0,52.0,83.0,46.0,61.0,54.0,0.0
4866,0.0,14.0,16.0,3.0,25.0,29.0,23.0,4.0,56.0,1.0,114.0,13.0,31.0,19.0,11.0,121.0,8.0,83.0,115.0,6.0,68.0,44.0,262.0,302.0,37.0,195.0,58.0,128.0,7.0,2.0
