,KIAA0125_AMP,SMARCA2_DEL,PTPRD_DEL,LPA_AMP,ADAM6_AMP,CDC73_DEL,USP32P1_AMP,SLC25A37_AMP,USP32P2_DEL,KRT16P2_AMP,MRGPRX1_DEL,GALNTL6_DEL,TAG_DEL,ARHGAP22_DEL,TTTY22_DEL,LGALS9C_DEL,FAM106CP_AMP,CCDC144A_AMP,LOC284395_DEL,PSG9_DEL,RBM33_AMP,PCCB_DEL,OR2T34_AMP,SLC14A2_DEL,BTNL3_DEL,LAMA1_MUT,SGCZ_DEL,TMEM132D_DEL,BRAF_MUT,MAPK10_DEL
3949,2.0,3.0,4.0,10.0,6.0,17.0,5.0,33.0,19.0,9.0,60.0,0.0,8.0,7.0,27.0,38.0,11.0,12.0,23.0,112.0,18.0,39.0,71.0,29.0,72.0,22.0,53.0,753.0,337.0,216.0
3998,7.0,1.0,0.0,4.0,20.0,8.0,23.0,12.0,60.0,144.0,88.0,5.0,9.0,11.0,68.0,160.0,24.0,22.0,14.0,392.0,15.0,3.0,61.0,17.0,50.0,18.0,37.0,1057.0,92.0,117.0
4047,12.0,6.0,5.0,0.0,48.0,39.0,1.0,30.0,29.0,14.0,42.0,10.0,4.0,7.0,216.0,80.0,3.0,2.0,27.0,225.0,76.0,18.0,37.0,25.0,252.0,24.0,124.0,1103.0,223.0,254.0
4096,13.0,5.0,4.0,7.0,48.0,0.0,17.0,6.0,203.0,27.0,19.0,14.0,2.0,10.0,52.0,38.0,46.0,47.0,30.0,75.0,31.0,24.0,15.0,60.0,89.0,104.0,458.0,242.0,178.0,140.0
4145,5.0,4.0,13.0,15.0,30.0,2.0,8.0,0.0,23.0,7.0,72.0,9.0,11.0,3.0,6.0,18.0,29.0,28.0,124.0,35.0,172.0,32.0,152.0,85.0,16.0,12.0,65.0,306.0,26.0,86.0
4194,8.0,9.0,2.0,0.0,15.0,7.0,5.0,3.0,16.0,4.0,31.0,1.0,11.0,6.0,53.0,41.0,13.0,14.0,23.0,66.0,25.0,34.0,38.0,18.0,51.0,37.0,36.0,190.0,125.0,81.0
4243,21.0,32.0,0.0,1.0,132.0,92.0,4.0,11.0,10.0,19.0,8.0,2.0,17.0,6.0,81.0,27.0,13.0,12.0,95.0,64.0,30.0,20.0,5.0,79.0,9910.0,113.0,399.0,7117.0,78.0,74.0
4292,5.0,8.0,1.0,2.0,18.0,20.0,3.0,6.0,17.0,28.0,27.0,0.0,23.0,9.0,40.0,31.0,11.0,12.0,30.0,99.0,39.0,21.0,25.0,14.0,38.0,88.0,52.0,269.0,408.0,146.0
4341,1.0,21.0,11.0,0.0,6.0,16.0,7.0,59.0,23.0,12.0,8.0,3.0,20.0,10.0,182.0,103.0,18.0,19.0,42.0,39.0,35.0,4.0,5.0,24.0,51.0,70.0,598.0,694.0,40.0,161.0
4390,12.0,3.0,1.0,26.0,44.0,14.0,4.0,5.0,246.0,20.0,39.0,2.0,32.0,6.0,58.0,2151.0,24.0,23.0,34.0,113.0,27.0,30.0,15.0,16.0,386.0,25.0,7.0,1080.0,819.0,176.0
4439,13.0,17.0,3.0,616.0,31.0,11.0,7.0,180.0,196.0,19.0,12.0,120.0,54.0,27.0,6.0,33.0,22.0,21.0,70.0,5.0,39.0,380.0,426.0,37.0,28.0,20.0,8.0,18.0,418.0,9.0
4488,0.0,8.0,1.0,153.0,3.0,14.0,50.0,6.0,57.0,60.0,11.0,161.0,15.0,67.0,5.0,18.0,149.0,148.0,59.0,10.0,26.0,877.0,346.0,25.0,16.0,19.0,4.0,21.0,64.0,12.0
4537,11.0,5.0,9.0,151.0,24.0,10.0,42.0,164.0,18.0,26.0,27.0,341.0,199.0,129.0,1.0,3.0,43.0,44.0,65.0,13.0,103.0,80.0,7734.0,33.0,8.0,54.0,4.0,15.0,12.0,73.0
4586,8.0,6.0,5.0,4.0,22.0,10.0,2.0,111.0,7.0,24.0,16.0,208.0,0.0,72.0,23.0,1.0,12.0,11.0,51.0,39.0,54.0,2907.0,268.0,31.0,52.0,41.0,3.0,71.0,73.0,18.0
4635,1.0,8.0,2.0,435.0,7.0,21.0,34.0,19.0,13.0,10.0,14.0,27.0,38.0,117.0,3.0,0.0,90.0,89.0,68.0,17.0,37.0,2332.0,60.0,94.0,9.0,36.0,15.0,300.0,28.0,4.0
4684,2.0,38.0,3.0,135.0,5.0,19.0,16.0,12.0,21.0,8.0,29.0,85.0,4.0,213.0,1.0,0.0,44.0,43.0,73.0,7.0,58.0,7360.0,576.0,80.0,47.0,183.0,52.0,30.0,35.0,6.0
4733,20.0,10.0,1.0,25.0,65.0,14.0,19.0,12.0,36.0,6.0,16.0,143.0,124.0,32.0,27.0,18.0,43.0,44.0,35.0,95.0,3.0,1614.0,41.0,57.0,26.0,56.0,72.0,1302.0,67.0,574.0
4782,1.0,3.0,6.0,284.0,8.0,23.0,30.0,2.0,71.0,37.0,7.0,4303.0,14.0,45.0,0.0,13.0,95.0,94.0,807.0,15.0,1723.0,746.0,48.0,28.0,25.0,22.0,184.0,29.0,16.0,9.0
4831,59.0,5.0,7.0,202.0,167.0,11.0,36.0,29.0,13.0,6.0,4.0,432.0,9.0,49.0,1.0,0.0,144.0,143.0,58.0,12.0,75.0,3402.0,105.0,17.0,39.0,69.0,2.0,32.0,211.0,3.0
4880,0.0,7.0,2.0,99.0,3.0,5.0,9.0,24.0,13.0,11.0,18.0,334.0,19.0,42.0,1.0,4.0,22.0,21.0,34.0,23.0,36.0,579.0,378.0,40.0,27.0,41.0,43.0,74.0,32.0,17.0
