,PCDH1,ELF3,KIF2A,NTN4,RP5-914P20.5,FKBP2,HAUS1,F2RL1,SVIL,EPB41L1,USP34,WHSC1L1,RP11-680F8.3,HSPA1A,TRGV5P,LINC00511,ORC1,DMRTA1,MKRN2,SHANK2,HTRA2,ITPRIPL1,PPIE,CD59,TAB1,FA2H,HLA-V,PTHLH,WASL,TFAP2A
893,8.0,0.0,19.0,2.0,50.0,5.0,69.0,17.0,60.0,229.0,15.0,13.0,46.0,117.0,168.0,35.0,65.0,12.0,12696.0,80.0,4.0,110.0,16312.0,5624.0,29.0,22.0,10.0,221.0,230.0,259.0
942,46.0,1.0,13.0,31.0,83.0,3.0,65.0,6.0,1003.0,47.0,4.0,48.0,45.0,35.0,147.0,96.0,161.0,81.0,111.0,25.0,155.0,85.0,16291.0,169.0,0.0,107.0,32.0,4980.0,133.0,206.0
991,53.0,224.0,1.0,37.0,0.0,5979.0,54.0,9.0,20447.0,55.0,25.0,64.0,22.0,10.0,154.0,10794.0,88.0,41.0,272.0,150.0,819.0,2.0,7.0,51.0,14.0,4412.0,34.0,5200.0,290.0,209.0
1040,6.0,5.0,0.0,4.0,9.0,2.0,21.0,36.0,20363.0,1.0,16.0,42.0,63.0,22.0,113.0,11660.0,25.0,98.0,11.0,13.0,17193.0,23.0,16334.0,500.0,157.0,197.0,74.0,7126.0,144.0,128.0
1089,7.0,9.0,5.0,0.0,2.0,6140.0,141.0,47.0,41.0,67.0,404.0,20.0,431.0,61.0,190.0,11640.0,58.0,168.0,72.0,64.0,2593.0,34.0,28.0,110.0,35.0,54.0,19.0,7109.0,22499.0,70.0
1138,1.0,5.0,8.0,3.0,0.0,684.0,2.0,28.0,10.0,67.0,16706.0,64.0,47.0,217.0,49.0,12103.0,91.0,18608.0,104.0,18.0,17258.0,16955.0,2748.0,155.0,418.0,240.0,11.0,4869.0,22490.0,175.0
1187,3.0,101.0,4.0,38.0,1.0,563.0,12.0,36.0,263.0,86.0,9.0,13.0,170.0,74.0,70.0,12143.0,282.0,153.0,32.0,90.0,216.0,22.0,50.0,39.0,0.0,2601.0,142.0,176.0,370.0,214.0
1236,0.0,1.0,5.0,40.0,74.0,5679.0,32.0,16.0,20475.0,2.0,16682.0,11.0,76.0,21071.0,84.0,12119.0,91.0,125.0,13.0,57.0,25.0,45.0,16306.0,5455.0,177.0,174.0,18.0,4946.0,157.0,17.0
1285,5.0,12.0,3.0,8.0,1.0,5669.0,34.0,6.0,54.0,20.0,265.0,71.0,39.0,21189.0,73.0,503.0,64.0,28.0,95.0,90.0,270.0,60.0,124.0,78.0,126.0,970.0,9.0,258.0,118.0,20702.0
1334,59.0,18.0,6.0,86.0,1.0,5683.0,35.0,45.0,20467.0,203.0,4.0,70.0,160.0,199.0,12.0,11890.0,60.0,139.0,157.0,108.0,17236.0,16999.0,22.0,68.0,360.0,11123.0,239.0,4898.0,2.0,106.0
1383,2.0,9.0,0.0,43.0,1.0,1440.0,54.0,173.0,20386.0,11.0,224.0,124.0,3126.0,246.0,71.0,188.0,33.0,18554.0,16.0,40.0,82.0,95.0,20.0,126.0,901.0,122.0,31.0,140.0,22502.0,198.0
1432,2.0,11.0,0.0,171.0,103.0,5746.0,399.0,6.0,20367.0,3.0,5.0,43.0,194.0,801.0,221.0,12113.0,1752.0,18510.0,10.0,97.0,17284.0,134.0,24.0,5442.0,9808.0,11054.0,355.0,4879.0,475.0,400.0
1481,0.0,17409.0,21681.0,88.0,22.0,5.0,42.0,207.0,69.0,9.0,6.0,19280.0,37.0,14.0,29.0,34.0,626.0,50.0,7.0,322.0,47.0,143.0,59.0,85.0,63.0,352.0,81.0,74.0,153.0,94.0
1530,21.0,1.0,27.0,91.0,14.0,221.0,74.0,59.0,33.0,5.0,42.0,19298.0,26.0,54.0,60.0,270.0,240.0,86.0,3022.0,29.0,17182.0,16972.0,67.0,99.0,2.0,156.0,183.0,47.0,55.0,69.0
1579,0.0,65.0,18.0,164.0,182.0,3.0,12.0,93.0,71.0,1.0,69.0,19287.0,33.0,6.0,2.0,118.0,103.0,41.0,7.0,16.0,17258.0,81.0,59.0,5480.0,108.0,26.0,197.0,8.0,143.0,21.0
1628,0.0,9.0,14.0,33.0,26.0,17.0,2.0,29.0,15.0,4.0,8.0,19294.0,69.0,48.0,59.0,260.0,256.0,7.0,12736.0,58.0,564.0,82.0,99.0,143.0,9697.0,257.0,25.0,126.0,74.0,169.0
1677,5.0,137.0,35.0,91.0,4.0,6.0,12208.0,20.0,20478.0,221.0,59.0,19281.0,4493.0,3.0,53.0,96.0,52.0,111.0,129.0,298.0,153.0,62.0,16426.0,248.0,12.0,147.0,1.0,4990.0,125.0,158.0
1726,4.0,6.0,21.0,20.0,31.0,126.0,54.0,66.0,20479.0,9782.0,22.0,19284.0,42.0,39.0,28.0,508.0,168.0,0.0,76.0,43.0,17137.0,767.0,72.0,3313.0,56.0,349.0,341.0,134.0,102.0,67.0
1775,23.0,1025.0,67.0,42.0,2.0,9.0,18.0,58.0,22.0,178.0,8.0,19300.0,249.0,6.0,34.0,266.0,1545.0,35.0,216.0,148.0,17233.0,16995.0,1.0,1399.0,66.0,3.0,388.0,158.0,281.0,74.0
1824,6.0,1320.0,30.0,47.0,14.0,2.0,31.0,21422.0,0.0,74.0,84.0,19288.0,28.0,88.0,86.0,1.0,5.0,17.0,55.0,5500.0,17221.0,56.0,22.0,26.0,167.0,11036.0,21182.0,39.0,147.0,102.0
1873,32.0,67.0,13.0,23.0,16.0,14.0,1.0,74.0,11.0,7141.0,5.0,491.0,3619.0,17.0,55.0,61.0,113.0,8.0,12723.0,105.0,314.0,95.0,16320.0,3945.0,3.0,327.0,7.0,103.0,156.0,34.0
1922,10.0,2.0,13.0,33.0,56.0,221.0,0.0,95.0,32.0,1.0,168.0,19226.0,103.0,5.0,48.0,286.0,16361.0,72.0,91.0,20.0,17118.0,54.0,16295.0,4896.0,237.0,123.0,292.0,19.0,28.0,39.0
1971,2.0,3.0,18.0,16.0,271.0,4.0,12299.0,0.0,91.0,7.0,1291.0,19231.0,50.0,21095.0,42.0,43.0,81.0,203.0,226.0,32.0,17251.0,16928.0,145.0,59.0,312.0,40.0,289.0,85.0,20673.0,20833.0
2020,3.0,0.0,39.0,9.0,23.0,4.0,230.0,19.0,46.0,1.0,112.0,19300.0,11.0,21094.0,91.0,2.0,10.0,31.0,74.0,130.0,56.0,28.0,106.0,67.0,9147.0,5.0,21350.0,64.0,80.0,20846.0
2069,0.0,6.0,15.0,11.0,31.0,74.0,174.0,4.0,1.0,2.0,247.0,45.0,30.0,21315.0,14.0,5.0,16381.0,13.0,148.0,51.0,17246.0,173.0,56.0,59.0,87.0,78.0,57.0,73.0,40.0,20718.0
2118,5.0,4.0,50.0,21.0,24.0,0.0,8561.0,11.0,84.0,1.0,16702.0,19233.0,15.0,2565.0,85.0,55.0,91.0,869.0,87.0,25.0,63.0,112.0,16305.0,5658.0,2.0,49.0,21319.0,284.0,19.0,184.0
2167,18.0,19.0,23.0,50.0,138.0,6.0,8183.0,7.0,4.0,1.0,176.0,30.0,72.0,178.0,22.0,8.0,16358.0,17.0,815.0,70.0,17266.0,16934.0,33.0,35.0,165.0,12.0,357.0,125.0,133.0,20763.0
2216,21.0,2.0,5.0,12.0,158.0,13.0,12281.0,27.0,64.0,1.0,16696.0,180.0,0.0,21064.0,119.0,32.0,24.0,8.0,12803.0,55.0,17251.0,100.0,16285.0,34.0,11.0,31.0,16.0,66.0,18.0,20804.0
2265,8.0,0.0,40.0,31.0,1.0,104.0,71.0,18.0,20426.0,35.0,38.0,19312.0,129.0,21077.0,127.0,6.0,85.0,27.0,29.0,135.0,55.0,156.0,97.0,205.0,165.0,19.0,464.0,52.0,158.0,20822.0
2314,16.0,4.0,7.0,2.0,29.0,9.0,2790.0,0.0,13.0,1.0,557.0,19308.0,50.0,21092.0,74.0,3.0,198.0,147.0,143.0,5.0,19.0,34.0,134.0,30.0,526.0,60.0,20.0,96.0,129.0,20829.0
2363,3.0,5.0,45.0,4.0,428.0,210.0,2524.0,15.0,146.0,1.0,272.0,19275.0,81.0,132.0,46.0,7.0,43.0,197.0,800.0,5500.0,73.0,39.0,55.0,27.0,9782.0,50.0,306.0,175.0,87.0,58.0
2412,3.0,8.0,81.0,43.0,117.0,0.0,12205.0,15.0,63.0,2.0,107.0,55.0,18.0,57.0,122.0,17.0,84.0,829.0,12720.0,39.0,66.0,16953.0,97.0,26.0,40.0,13.0,21332.0,111.0,58.0,1154.0
2461,5.0,1.0,17.0,13.0,49.0,197.0,43.0,4.0,94.0,15.0,73.0,19.0,56.0,0.0,53.0,25.0,11.0,1706.0,59.0,96.0,17250.0,23.0,153.0,5718.0,10049.0,75.0,6.0,7085.0,18849.0,20822.0
2510,7.0,1.0,21668.0,27.0,154.0,3553.0,17.0,89.0,34.0,48.0,12.0,5.0,31.0,3.0,66.0,320.0,79.0,118.0,0.0,22.0,17127.0,9.0,19.0,4680.0,127.0,39.0,15.0,2321.0,64.0,32.0
2559,6.0,8.0,23.0,10.0,5.0,5725.0,13.0,19.0,21.0,101.0,15.0,48.0,3786.0,0.0,4.0,39.0,72.0,18493.0,158.0,79.0,50.0,69.0,111.0,5497.0,9819.0,77.0,7.0,4979.0,59.0,97.0
2608,1.0,5.0,19.0,25.0,0.0,3594.0,16.0,1447.0,9.0,71.0,10.0,28.0,35.0,3.0,27.0,104.0,106.0,18545.0,86.0,138.0,95.0,55.0,58.0,4217.0,9670.0,10986.0,21330.0,5798.0,131.0,83.0
2657,4.0,1.0,22.0,38.0,241.0,5754.0,17.0,691.0,20383.0,1695.0,16774.0,21.0,670.0,3.0,83.0,235.0,1030.0,124.0,57.0,69.0,13.0,60.0,5.0,5445.0,187.0,128.0,21220.0,4873.0,22530.0,63.0
2706,0.0,88.0,3.0,7.0,2.0,4784.0,1.0,73.0,646.0,7278.0,192.0,11.0,92.0,5.0,17.0,11917.0,16362.0,18603.0,15.0,3133.0,28.0,17002.0,102.0,4286.0,9787.0,260.0,6.0,158.0,165.0,20816.0
2755,32.0,3.0,35.0,26.0,7.0,5644.0,21.0,67.0,20.0,7092.0,40.0,36.0,70.0,0.0,29.0,141.0,98.0,84.0,64.0,5515.0,4.0,46.0,16318.0,5424.0,89.0,125.0,5.0,4967.0,22494.0,61.0
2804,5.0,0.0,26.0,7.0,18.0,5665.0,28.0,30.0,21.0,8.0,43.0,49.0,53.0,1.0,44.0,38.0,66.0,18542.0,12.0,96.0,9.0,41.0,675.0,5189.0,108.0,89.0,1040.0,248.0,13.0,59.0
2853,6.0,188.0,4.0,56.0,21.0,5720.0,0.0,21429.0,132.0,94.0,17.0,104.0,49.0,2.0,124.0,426.0,9.0,18615.0,30.0,120.0,5.0,17013.0,89.0,5475.0,1.0,11072.0,114.0,5010.0,66.0,39.0
2902,3.0,1.0,4.0,8.0,11.0,5674.0,12.0,62.0,87.0,48.0,2.0,101.0,4068.0,5.0,9.0,119.0,51.0,121.0,16.0,29.0,0.0,42.0,85.0,5446.0,131.0,58.0,19.0,166.0,95.0,38.0
2951,5.0,14.0,6.0,25.0,1.0,31.0,39.0,160.0,12.0,7165.0,17.0,19307.0,19.0,8.0,206.0,73.0,252.0,103.0,20.0,265.0,2626.0,1740.0,55.0,44.0,1085.0,187.0,183.0,0.0,22483.0,41.0
3000,1.0,17426.0,21645.0,3.0,9912.0,6153.0,7.0,4.0,31.0,9289.0,0.0,44.0,30.0,19.0,22113.0,26.0,11.0,88.0,54.0,134.0,2565.0,92.0,15.0,5775.0,160.0,10533.0,21334.0,27.0,143.0,52.0
3049,23.0,2.0,39.0,8.0,276.0,0.0,22.0,315.0,38.0,11.0,27.0,7.0,28.0,3.0,98.0,160.0,74.0,24.0,57.0,163.0,782.0,96.0,16290.0,49.0,4.0,21.0,814.0,4959.0,18834.0,108.0
3098,7.0,15.0,0.0,6.0,2.0,1.0,57.0,21424.0,49.0,7129.0,53.0,41.0,84.0,114.0,204.0,46.0,77.0,3.0,63.0,20.0,17279.0,16960.0,16350.0,23.0,527.0,11087.0,149.0,153.0,58.0,66.0
3147,15.0,207.0,3.0,5.0,7672.0,2.0,38.0,21369.0,4.0,10.0,16728.0,47.0,34.0,60.0,78.0,67.0,25.0,110.0,87.0,3278.0,289.0,16965.0,1.0,6.0,9821.0,11111.0,21223.0,211.0,22472.0,121.0
3196,2.0,143.0,14.0,35.0,199.0,0.0,51.0,148.0,48.0,145.0,5.0,42.0,4293.0,123.0,75.0,19.0,3.0,196.0,71.0,32.0,1720.0,83.0,74.0,8.0,9783.0,10997.0,21318.0,733.0,22498.0,117.0
3245,22.0,1.0,24.0,2.0,52.0,0.0,18.0,55.0,30.0,7258.0,42.0,91.0,75.0,8.0,74.0,40.0,21.0,5.0,43.0,113.0,17129.0,17016.0,125.0,45.0,572.0,150.0,21330.0,1337.0,126.0,127.0
3294,2.0,11.0,23.0,33.0,3.0,1.0,517.0,21382.0,157.0,1090.0,13.0,50.0,1533.0,7.0,664.0,87.0,190.0,89.0,86.0,10.0,17258.0,16972.0,66.0,47.0,137.0,10550.0,32.0,438.0,22472.0,169.0
3343,1.0,259.0,12.0,6957.0,16.0,0.0,3.0,21376.0,20.0,2.0,35.0,10.0,4127.0,17.0,269.0,98.0,84.0,103.0,59.0,88.0,17229.0,267.0,16292.0,21.0,432.0,10994.0,21319.0,19.0,19311.0,260.0
3392,30.0,1.0,32.0,2.0,5.0,3.0,8.0,78.0,44.0,7132.0,43.0,54.0,135.0,0.0,26.0,60.0,13.0,12.0,89.0,36.0,119.0,51.0,108.0,17.0,7.0,192.0,1414.0,129.0,102.0,73.0
3441,59.0,211.0,45.0,2.0,27.0,3086.0,54.0,23.0,104.0,9.0,16723.0,22.0,303.0,257.0,19.0,28.0,15470.0,73.0,42.0,217.0,21.0,17008.0,5.0,58.0,8.0,331.0,88.0,67.0,220.0,245.0
3490,5.0,152.0,10.0,20.0,257.0,212.0,24.0,21406.0,20367.0,3.0,16709.0,19319.0,89.0,38.0,42.0,94.0,15492.0,56.0,95.0,5573.0,7.0,40.0,35.0,204.0,182.0,139.0,604.0,135.0,132.0,200.0
3539,40.0,0.0,51.0,1.0,633.0,6242.0,12.0,21435.0,138.0,5.0,16697.0,109.0,337.0,3.0,129.0,284.0,16373.0,258.0,169.0,164.0,24.0,961.0,16313.0,5954.0,77.0,204.0,899.0,14.0,385.0,427.0
3588,52.0,17423.0,33.0,9.0,337.0,3611.0,91.0,983.0,20494.0,1.0,17159.0,28.0,62.0,80.0,158.0,12006.0,15457.0,113.0,17.0,6498.0,51.0,16971.0,16301.0,21.0,188.0,11016.0,117.0,108.0,177.0,46.0
3637,2619.0,85.0,30.0,3.0,1294.0,6.0,63.0,21403.0,20365.0,9.0,16700.0,68.0,90.0,57.0,130.0,89.0,2.0,238.0,105.0,243.0,8.0,41.0,102.0,254.0,315.0,70.0,21222.0,19.0,205.0,20766.0
3686,2.0,7.0,8.0,14.0,67.0,6.0,103.0,21424.0,11.0,5.0,16714.0,40.0,210.0,96.0,141.0,12158.0,16363.0,212.0,12757.0,278.0,54.0,1062.0,35.0,65.0,39.0,101.0,21332.0,179.0,98.0,118.0
3735,5.0,17439.0,12.0,24.0,14.0,227.0,129.0,21394.0,62.0,11.0,16715.0,19310.0,162.0,74.0,90.0,12129.0,208.0,333.0,59.0,566.0,31.0,77.0,35.0,149.0,194.0,329.0,691.0,112.0,234.0,226.0
3784,79.0,67.0,10.0,57.0,7680.0,5792.0,13.0,21433.0,20364.0,14.0,16701.0,19313.0,479.0,28.0,170.0,461.0,16390.0,274.0,82.0,273.0,59.0,394.0,0.0,148.0,81.0,303.0,47.0,182.0,22547.0,868.0
3833,14262.0,453.0,45.0,3.0,539.0,15.0,51.0,15494.0,20376.0,7962.0,15831.0,89.0,67.0,113.0,123.0,1501.0,85.0,5.0,1.0,221.0,4.0,219.0,72.0,63.0,451.0,4460.0,398.0,136.0,161.0,350.0
3882,11.0,28.0,46.0,3.0,228.0,209.0,31.0,21359.0,1.0,10.0,356.0,19307.0,344.0,21.0,418.0,224.0,15456.0,146.0,104.0,61.0,91.0,120.0,16293.0,26.0,4.0,242.0,21321.0,236.0,22499.0,115.0
3931,5.0,15.0,0.0,20.0,16.0,4.0,10.0,40.0,62.0,1.0,17156.0,19.0,31.0,86.0,37.0,133.0,26.0,1256.0,49.0,116.0,17201.0,129.0,43.0,1095.0,363.0,59.0,21330.0,113.0,98.0,209.0
3980,15.0,2.0,39.0,18.0,274.0,817.0,4.0,129.0,20.0,5.0,1643.0,11.0,21.0,1.0,68.0,12104.0,24.0,93.0,46.0,111.0,16.0,12.0,45.0,95.0,133.0,50.0,21209.0,43.0,22474.0,101.0
4029,68.0,247.0,6.0,18.0,1.0,3792.0,90.0,3.0,98.0,119.0,80.0,101.0,146.0,111.0,16.0,413.0,81.0,18598.0,8.0,202.0,169.0,29.0,5.0,23.0,449.0,197.0,287.0,14.0,20676.0,20833.0
4078,13.0,7.0,30.0,25.0,86.0,0.0,374.0,41.0,68.0,7250.0,34.0,57.0,90.0,39.0,88.0,15.0,15459.0,18593.0,1.0,168.0,17262.0,91.0,16.0,159.0,76.0,10.0,1904.0,82.0,22491.0,45.0
4127,16.0,5.0,8.0,0.0,60.0,81.0,153.0,41.0,7.0,6.0,11.0,24.0,18.0,12.0,26.0,12102.0,25.0,18553.0,12832.0,17.0,1.0,16948.0,1262.0,117.0,63.0,11038.0,3.0,130.0,66.0,75.0
4176,15.0,125.0,20.0,11.0,43.0,207.0,0.0,6.0,85.0,2.0,5.0,115.0,40.0,192.0,38.0,382.0,52.0,356.0,262.0,183.0,23.0,16945.0,39.0,238.0,7.0,117.0,28.0,92.0,18861.0,103.0
4225,0.0,313.0,27.0,22.0,1.0,177.0,10.0,58.0,91.0,6.0,183.0,65.0,54.0,50.0,48.0,12124.0,36.0,252.0,29.0,5534.0,100.0,53.0,3.0,144.0,188.0,246.0,402.0,182.0,15.0,172.0
4274,17.0,3.0,18.0,15.0,149.0,6.0,43.0,28.0,20495.0,1.0,22.0,19.0,51.0,13.0,26.0,36.0,40.0,47.0,159.0,63.0,142.0,32.0,12.0,112.0,9754.0,10991.0,21341.0,4953.0,18851.0,20830.0
4323,41.0,7.0,0.0,15.0,44.0,9.0,37.0,30.0,136.0,1.0,47.0,25.0,52.0,72.0,12.0,602.0,107.0,71.0,21.0,6.0,68.0,112.0,49.0,2306.0,20.0,147.0,21345.0,13.0,121.0,258.0
4372,122.0,3.0,7.0,24.0,17.0,16.0,83.0,105.0,266.0,9.0,2.0,134.0,179.0,102.0,72.0,11867.0,10.0,144.0,42.0,132.0,117.0,17065.0,97.0,4290.0,1064.0,11110.0,178.0,99.0,18851.0,20820.0
4421,22.0,160.0,21521.0,16.0,2704.0,1.0,204.0,21493.0,20.0,158.0,28.0,11.0,35.0,123.0,127.0,10.0,2249.0,33.0,12793.0,51.0,2774.0,107.0,178.0,94.0,250.0,10971.0,8.0,4904.0,255.0,68.0
4470,4.0,164.0,171.0,7.0,0.0,12.0,212.0,24.0,1777.0,225.0,56.0,19237.0,4037.0,358.0,174.0,30.0,422.0,18505.0,511.0,60.0,17254.0,17012.0,179.0,182.0,2.0,238.0,11.0,110.0,22479.0,637.0
4519,6.0,142.0,29.0,13.0,8712.0,38.0,4.0,27.0,1.0,16.0,55.0,19046.0,109.0,274.0,14.0,44.0,73.0,40.0,241.0,22.0,17250.0,1098.0,35.0,17.0,33.0,10213.0,9.0,6809.0,18857.0,177.0
4568,2.0,86.0,51.0,0.0,11.0,6.0,12232.0,31.0,44.0,7204.0,1.0,95.0,20.0,143.0,111.0,5.0,196.0,131.0,12735.0,24.0,88.0,662.0,99.0,9.0,72.0,183.0,363.0,164.0,246.0,175.0
4617,4.0,268.0,58.0,36.0,1116.0,9.0,42.0,21396.0,2.0,967.0,50.0,19291.0,3950.0,21183.0,110.0,84.0,353.0,126.0,12686.0,48.0,1015.0,17012.0,16310.0,153.0,136.0,209.0,578.0,162.0,22480.0,165.0
4666,14.0,126.0,113.0,26.0,15.0,0.0,2.0,8.0,7.0,7203.0,23.0,51.0,3909.0,161.0,306.0,19.0,110.0,59.0,12834.0,86.0,2145.0,200.0,16288.0,5184.0,65.0,18.0,17.0,389.0,18877.0,271.0
4715,19.0,17433.0,7.0,71.0,7683.0,85.0,130.0,21420.0,43.0,430.0,110.0,94.0,4402.0,21297.0,337.0,668.0,67.0,274.0,88.0,53.0,1886.0,98.0,733.0,251.0,0.0,27.0,16.0,103.0,163.0,268.0
4764,11.0,5.0,48.0,1.0,43.0,6.0,123.0,0.0,16.0,128.0,64.0,19234.0,72.0,164.0,29.0,14.0,109.0,69.0,163.0,21.0,17254.0,63.0,16312.0,115.0,2.0,51.0,15.0,50.0,32.0,159.0
4813,18.0,17421.0,1.0,0.0,356.0,85.0,44.0,65.0,48.0,28.0,8.0,268.0,787.0,200.0,87.0,22.0,16370.0,63.0,304.0,47.0,2289.0,129.0,134.0,133.0,3.0,101.0,435.0,172.0,22486.0,20749.0
4862,1.0,80.0,39.0,2.0,7624.0,183.0,108.0,13.0,4.0,7132.0,9.0,2247.0,40.0,192.0,187.0,12107.0,98.0,314.0,12842.0,6.0,17200.0,145.0,3.0,128.0,36.0,778.0,77.0,1860.0,236.0,169.0
