,KRAS_MUT,NRAS_MUT,BRAF_MUT,KANK1_AMP,OR2T29_AMP,ANKS1B_DEL,DMBT1_DEL,GRIN2A_DEL,GRIN2B_DEL,TMEM230_DEL,GRIN2D_DEL,WDR91_DEL,ZCCHC4_DEL,GRIK4_DEL,ZBTB44_DEL,FOXN3-AS2_DEL,CCDC113_DEL,SETD2_DEL,ABR_DEL,MRPL18_DEL,LINC00339_DEL,MED4_DEL,STXBP6_DEL,TIMM21_DEL,NDUFAF4_DEL,CHMP4A_DEL,CCDC59_DEL,THYN1_DEL,MRPL15_DEL,RANGRF_DEL
1553,0.0,1.0,42.0,23.0,15044.0,11549.0,5455.0,51.0,50.0,48.0,46.0,56.0,49.0,116.0,52.0,53.0,55.0,75.0,117.0,59.0,62.0,72.0,63.0,65.0,74.0,69.0,71.0,67.0,66.0,61.0
1602,0.0,2.0,1.0,14.0,22.0,17.0,5456.0,87.0,86.0,66.0,62.0,61.0,60.0,113.0,58.0,88.0,57.0,35.0,114.0,55.0,63.0,52.0,46.0,47.0,53.0,50.0,51.0,49.0,48.0,75.0
1651,3.0,2.0,0.0,33.0,26.0,4.0,1.0,45.0,53.0,62.0,72.0,63.0,80.0,49.0,79.0,48.0,78.0,76.0,50.0,75.0,123.0,71.0,84.0,65.0,73.0,68.0,69.0,67.0,66.0,124.0
1700,4.0,3.0,0.0,13249.0,19.0,18.0,5452.0,44.0,45.0,69.0,70.0,53.0,67.0,46.0,66.0,51.0,65.0,64.0,47.0,63.0,68.0,56.0,62.0,60.0,57.0,54.0,55.0,52.0,58.0,49.0
1749,0.0,1.0,6.0,11.0,15017.0,11549.0,5.0,41.0,43.0,48.0,49.0,63.0,62.0,45.0,61.0,47.0,60.0,59.0,46.0,56.0,65.0,51.0,64.0,58.0,67.0,52.0,66.0,54.0,57.0,50.0
1798,0.0,37.0,1.0,13245.0,2.0,18.0,36.0,93.0,69.0,102.0,56.0,45.0,48.0,95.0,42.0,94.0,43.0,44.0,96.0,47.0,55.0,58.0,57.0,59.0,49.0,61.0,63.0,60.0,66.0,52.0
1847,0.0,2.0,1.0,13249.0,38.0,11547.0,30.0,85.0,65.0,61.0,60.0,59.0,58.0,86.0,56.0,107.0,55.0,54.0,110.0,62.0,81.0,48.0,82.0,64.0,49.0,46.0,47.0,63.0,74.0,80.0
1896,15988.0,39.0,1.0,13247.0,8.0,11557.0,29.0,79.0,77.0,45.0,55.0,46.0,47.0,78.0,48.0,99.0,49.0,52.0,101.0,53.0,66.0,57.0,68.0,69.0,76.0,74.0,75.0,73.0,72.0,65.0
1945,0.0,2.0,1.0,20.0,10.0,11556.0,5448.0,47.0,46.0,45.0,53.0,43.0,42.0,49.0,41.0,48.0,40.0,39.0,50.0,63.0,59.0,67.0,60.0,61.0,68.0,72.0,65.0,64.0,62.0,58.0
1994,0.0,6.0,3.0,12.0,42.0,11549.0,5455.0,45.0,69.0,51.0,68.0,67.0,50.0,49.0,65.0,46.0,64.0,63.0,48.0,62.0,52.0,59.0,53.0,54.0,60.0,57.0,58.0,56.0,55.0,102.0
2043,3.0,39.0,2.0,30.0,8.0,11550.0,19.0,116.0,96.0,53.0,47.0,56.0,48.0,102.0,51.0,101.0,55.0,49.0,103.0,66.0,62.0,73.0,64.0,67.0,74.0,71.0,72.0,68.0,75.0,61.0
2092,0.0,3.0,1.0,17.0,11.0,11556.0,29.0,92.0,69.0,111.0,62.0,44.0,46.0,94.0,47.0,93.0,48.0,49.0,95.0,52.0,58.0,57.0,65.0,43.0,55.0,59.0,67.0,63.0,64.0,66.0
2141,0.0,2.0,26.0,28.0,15030.0,11548.0,17.0,45.0,53.0,62.0,72.0,64.0,63.0,48.0,79.0,46.0,78.0,76.0,49.0,75.0,126.0,69.0,125.0,124.0,70.0,66.0,67.0,65.0,84.0,186.0
2190,35.0,1.0,3.0,23.0,27.0,11549.0,34.0,48.0,46.0,45.0,55.0,71.0,82.0,52.0,80.0,51.0,79.0,78.0,53.0,77.0,64.0,73.0,65.0,66.0,75.0,69.0,70.0,68.0,67.0,63.0
2239,2.0,1.0,35.0,28.0,37.0,42.0,5453.0,67.0,88.0,68.0,87.0,86.0,85.0,48.0,84.0,65.0,83.0,82.0,49.0,81.0,70.0,77.0,71.0,72.0,78.0,75.0,76.0,74.0,73.0,69.0
2288,0.0,1.0,25.0,13246.0,29.0,11543.0,5450.0,73.0,81.0,79.0,78.0,77.0,76.0,47.0,75.0,63.0,82.0,72.0,48.0,71.0,186.0,68.0,127.0,126.0,69.0,66.0,67.0,85.0,125.0,185.0
2337,0.0,1.0,3.0,13246.0,29.0,11542.0,2.0,76.0,75.0,74.0,73.0,81.0,72.0,78.0,70.0,77.0,69.0,68.0,79.0,67.0,186.0,64.0,187.0,126.0,65.0,84.0,63.0,125.0,168.0,184.0
2386,0.0,2.0,1.0,7.0,15032.0,11549.0,5455.0,48.0,46.0,45.0,50.0,42.0,68.0,58.0,67.0,49.0,65.0,64.0,70.0,63.0,62.0,57.0,60.0,56.0,59.0,44.0,54.0,53.0,55.0,66.0
2435,0.0,40.0,1.0,8.0,14.0,11544.0,5450.0,50.0,68.0,54.0,57.0,58.0,59.0,42.0,60.0,46.0,62.0,65.0,51.0,67.0,47.0,64.0,49.0,52.0,53.0,61.0,63.0,56.0,69.0,45.0
2484,0.0,3.0,1.0,13243.0,15015.0,5.0,2.0,74.0,105.0,71.0,51.0,50.0,49.0,98.0,48.0,97.0,47.0,46.0,99.0,52.0,66.0,45.0,67.0,69.0,41.0,63.0,53.0,55.0,70.0,65.0
2533,0.0,1.0,6.0,13251.0,15042.0,22.0,5454.0,42.0,43.0,50.0,46.0,49.0,44.0,70.0,48.0,65.0,47.0,45.0,105.0,51.0,61.0,68.0,62.0,63.0,53.0,66.0,67.0,52.0,64.0,60.0
2582,0.0,15.0,3.0,2.0,10.0,22.0,5452.0,86.0,85.0,84.0,83.0,82.0,81.0,65.0,80.0,66.0,79.0,78.0,64.0,87.0,67.0,74.0,68.0,69.0,75.0,72.0,73.0,71.0,70.0,88.0
2631,0.0,4.0,16537.0,5.0,15016.0,1.0,5453.0,108.0,106.0,105.0,103.0,97.0,77.0,110.0,59.0,109.0,51.0,50.0,112.0,56.0,72.0,46.0,73.0,75.0,47.0,43.0,44.0,67.0,58.0,71.0
2680,0.0,11.0,2.0,21.0,15017.0,26.0,27.0,57.0,56.0,55.0,54.0,53.0,52.0,59.0,61.0,58.0,51.0,50.0,60.0,49.0,82.0,46.0,83.0,64.0,47.0,44.0,45.0,62.0,63.0,81.0
2729,38.0,2.0,1.0,3.0,31.0,10.0,4.0,47.0,46.0,80.0,79.0,78.0,77.0,50.0,76.0,48.0,74.0,81.0,51.0,73.0,184.0,68.0,125.0,124.0,69.0,66.0,67.0,65.0,123.0,183.0
2778,2.0,6.0,5.0,13242.0,15011.0,4.0,5446.0,61.0,60.0,59.0,58.0,57.0,56.0,86.0,55.0,74.0,54.0,50.0,87.0,49.0,83.0,46.0,65.0,64.0,47.0,44.0,45.0,62.0,63.0,82.0
2827,27.0,3.0,1.0,13246.0,4.0,16.0,7.0,99.0,77.0,96.0,76.0,74.0,55.0,102.0,52.0,101.0,47.0,56.0,107.0,45.0,67.0,53.0,69.0,70.0,51.0,58.0,54.0,72.0,71.0,64.0
2876,0.0,1.0,28.0,3.0,15030.0,9.0,5451.0,78.0,77.0,76.0,75.0,74.0,73.0,58.0,71.0,69.0,70.0,68.0,50.0,67.0,185.0,64.0,166.0,123.0,65.0,62.0,63.0,61.0,104.0,184.0
2925,0.0,5.0,1.0,13241.0,15010.0,4.0,3.0,75.0,46.0,50.0,52.0,54.0,41.0,98.0,51.0,76.0,49.0,47.0,99.0,45.0,67.0,55.0,68.0,69.0,42.0,57.0,65.0,73.0,70.0,66.0
2974,0.0,45.0,1.0,13252.0,22.0,24.0,5455.0,52.0,48.0,49.0,58.0,74.0,61.0,54.0,59.0,53.0,63.0,64.0,96.0,65.0,62.0,69.0,67.0,70.0,68.0,73.0,71.0,50.0,72.0,60.0
3023,1.0,2.0,6.0,19.0,15018.0,4.0,5452.0,76.0,74.0,70.0,69.0,66.0,65.0,60.0,64.0,77.0,63.0,62.0,59.0,61.0,180.0,124.0,181.0,182.0,123.0,185.0,186.0,184.0,183.0,179.0
3072,3.0,6.0,1.0,2.0,22.0,11548.0,5453.0,46.0,53.0,51.0,68.0,55.0,54.0,52.0,57.0,48.0,58.0,60.0,93.0,62.0,50.0,67.0,59.0,61.0,69.0,66.0,56.0,65.0,63.0,49.0
3121,4.0,43.0,0.0,13249.0,15032.0,11550.0,5455.0,44.0,51.0,60.0,62.0,78.0,77.0,48.0,76.0,45.0,75.0,23.0,49.0,74.0,64.0,71.0,65.0,66.0,72.0,69.0,70.0,68.0,67.0,63.0
3170,20.0,2.0,0.0,26.0,34.0,11550.0,5456.0,105.0,74.0,53.0,52.0,48.0,57.0,101.0,47.0,77.0,54.0,55.0,102.0,56.0,63.0,73.0,65.0,67.0,76.0,71.0,72.0,69.0,68.0,62.0
3219,0.0,44.0,22.0,30.0,15045.0,11548.0,18.0,49.0,48.0,47.0,61.0,81.0,62.0,51.0,80.0,50.0,79.0,78.0,60.0,77.0,125.0,73.0,84.0,65.0,75.0,69.0,71.0,68.0,67.0,167.0
3268,7.0,2.0,39.0,13252.0,15044.0,11550.0,5453.0,98.0,94.0,75.0,74.0,54.0,52.0,101.0,50.0,99.0,44.0,43.0,103.0,42.0,64.0,73.0,65.0,66.0,58.0,71.0,72.0,70.0,68.0,63.0
3317,0.0,1.0,2.0,21.0,15016.0,12.0,5451.0,46.0,45.0,50.0,59.0,60.0,78.0,48.0,77.0,47.0,76.0,75.0,57.0,74.0,62.0,70.0,63.0,64.0,79.0,67.0,68.0,66.0,65.0,61.0
3366,0.0,1.0,40.0,3.0,15017.0,6.0,5450.0,100.0,99.0,77.0,115.0,72.0,53.0,104.0,52.0,103.0,51.0,50.0,105.0,49.0,67.0,48.0,70.0,71.0,44.0,65.0,55.0,73.0,56.0,66.0
3415,2.0,4.0,0.0,13253.0,3.0,11560.0,5459.0,46.0,45.0,44.0,62.0,63.0,74.0,48.0,64.0,47.0,83.0,82.0,49.0,81.0,71.0,78.0,72.0,73.0,79.0,76.0,77.0,84.0,75.0,70.0
3464,0.0,1.0,2.0,13251.0,15031.0,11550.0,5453.0,93.0,54.0,46.0,47.0,48.0,49.0,96.0,56.0,71.0,58.0,61.0,97.0,64.0,68.0,57.0,55.0,59.0,67.0,63.0,65.0,62.0,60.0,53.0
3513,0.0,2.0,1.0,13246.0,3.0,11556.0,5453.0,127.0,81.0,58.0,57.0,56.0,55.0,108.0,54.0,84.0,53.0,51.0,109.0,59.0,80.0,44.0,61.0,62.0,46.0,50.0,43.0,60.0,82.0,79.0
3562,0.0,1.0,25.0,34.0,28.0,11548.0,5455.0,49.0,48.0,54.0,71.0,82.0,80.0,59.0,79.0,50.0,78.0,77.0,53.0,76.0,63.0,72.0,64.0,66.0,73.0,69.0,70.0,68.0,67.0,84.0
3611,4.0,1.0,2.0,6.0,9.0,11545.0,5449.0,45.0,50.0,51.0,47.0,67.0,55.0,68.0,56.0,46.0,57.0,59.0,92.0,66.0,52.0,64.0,54.0,58.0,65.0,62.0,63.0,61.0,60.0,49.0
3660,0.0,1.0,4.0,13247.0,12.0,11545.0,5454.0,49.0,48.0,43.0,51.0,67.0,55.0,65.0,56.0,50.0,59.0,61.0,92.0,63.0,52.0,66.0,54.0,53.0,41.0,60.0,62.0,58.0,57.0,45.0
3709,0.0,41.0,1.0,17.0,7.0,16.0,5455.0,53.0,52.0,51.0,49.0,48.0,55.0,105.0,46.0,76.0,66.0,57.0,78.0,73.0,60.0,69.0,61.0,62.0,70.0,65.0,67.0,64.0,63.0,59.0
3758,0.0,37.0,26.0,13246.0,16.0,11548.0,5454.0,51.0,52.0,54.0,55.0,57.0,58.0,60.0,59.0,50.0,61.0,63.0,115.0,71.0,56.0,45.0,49.0,46.0,68.0,64.0,70.0,62.0,53.0,65.0
3807,0.0,35.0,1.0,13242.0,12.0,11544.0,18.0,50.0,52.0,53.0,54.0,56.0,57.0,41.0,58.0,64.0,60.0,62.0,44.0,51.0,158.0,61.0,110.0,46.0,63.0,43.0,55.0,48.0,45.0,112.0
3856,0.0,2.0,4.0,1.0,20.0,11541.0,5450.0,53.0,52.0,66.0,63.0,62.0,68.0,50.0,61.0,60.0,58.0,55.0,45.0,67.0,47.0,57.0,48.0,49.0,56.0,64.0,59.0,65.0,44.0,100.0
3905,0.0,5.0,1.0,3.0,15042.0,11546.0,43.0,95.0,71.0,67.0,47.0,49.0,48.0,98.0,44.0,73.0,45.0,42.0,99.0,46.0,62.0,69.0,63.0,64.0,51.0,50.0,68.0,66.0,65.0,70.0
3954,0.0,40.0,42.0,21.0,19.0,20.0,5455.0,66.0,52.0,51.0,50.0,48.0,46.0,92.0,68.0,69.0,57.0,55.0,71.0,64.0,56.0,47.0,58.0,59.0,67.0,62.0,63.0,61.0,60.0,53.0
4003,0.0,2.0,1.0,34.0,26.0,13.0,5456.0,48.0,47.0,45.0,60.0,61.0,62.0,50.0,79.0,49.0,78.0,77.0,51.0,76.0,63.0,72.0,64.0,65.0,73.0,69.0,71.0,68.0,67.0,167.0
4052,0.0,3.0,40.0,13246.0,12.0,2.0,5450.0,57.0,56.0,55.0,52.0,58.0,49.0,98.0,47.0,97.0,50.0,59.0,101.0,60.0,73.0,63.0,72.0,71.0,62.0,67.0,65.0,69.0,70.0,159.0
4101,0.0,42.0,34.0,24.0,30.0,11544.0,5453.0,45.0,52.0,59.0,79.0,60.0,78.0,47.0,76.0,46.0,75.0,73.0,27.0,68.0,184.0,64.0,186.0,188.0,66.0,62.0,63.0,82.0,123.0,183.0
4150,0.0,5.0,16535.0,15.0,4.0,25.0,35.0,42.0,50.0,64.0,53.0,55.0,57.0,45.0,59.0,49.0,60.0,65.0,47.0,62.0,46.0,61.0,44.0,43.0,51.0,56.0,58.0,54.0,52.0,95.0
4199,1.0,3.0,0.0,13243.0,15013.0,11547.0,5450.0,42.0,46.0,50.0,52.0,44.0,69.0,45.0,70.0,53.0,58.0,59.0,47.0,60.0,56.0,66.0,61.0,64.0,65.0,68.0,67.0,54.0,57.0,55.0
4248,0.0,2.0,1.0,31.0,15016.0,8.0,19.0,62.0,81.0,80.0,79.0,77.0,76.0,52.0,74.0,61.0,72.0,69.0,45.0,68.0,185.0,64.0,186.0,187.0,65.0,125.0,63.0,168.0,211.0,184.0
4297,0.0,2.0,4.0,13248.0,1.0,28.0,3.0,95.0,74.0,72.0,52.0,51.0,49.0,98.0,48.0,75.0,47.0,53.0,17.0,45.0,65.0,71.0,73.0,66.0,56.0,69.0,70.0,68.0,67.0,63.0
4346,0.0,2.0,24.0,13233.0,18.0,11549.0,28.0,94.0,64.0,49.0,48.0,47.0,50.0,97.0,51.0,73.0,46.0,61.0,98.0,53.0,60.0,67.0,62.0,70.0,68.0,65.0,66.0,71.0,63.0,59.0
4395,0.0,2.0,1.0,13250.0,6.0,4.0,33.0,98.0,96.0,114.0,53.0,52.0,51.0,100.0,50.0,99.0,56.0,57.0,101.0,46.0,69.0,72.0,65.0,64.0,48.0,60.0,59.0,73.0,62.0,71.0
4444,0.0,22.0,1.0,13248.0,15017.0,15.0,32.0,112.0,111.0,110.0,87.0,86.0,85.0,116.0,74.0,115.0,61.0,60.0,117.0,59.0,46.0,56.0,48.0,49.0,57.0,54.0,55.0,51.0,50.0,45.0
4493,0.0,43.0,4.0,13250.0,3.0,16.0,5456.0,52.0,48.0,45.0,54.0,55.0,58.0,94.0,61.0,66.0,64.0,65.0,73.0,67.0,62.0,56.0,63.0,51.0,69.0,60.0,57.0,71.0,44.0,59.0
4542,0.0,29.0,1.0,2.0,17.0,11556.0,34.0,66.0,62.0,48.0,47.0,46.0,45.0,68.0,49.0,89.0,42.0,50.0,92.0,51.0,59.0,56.0,64.0,53.0,55.0,61.0,60.0,63.0,43.0,58.0
4591,0.0,39.0,12.0,2.0,15032.0,1.0,24.0,45.0,59.0,60.0,80.0,62.0,61.0,47.0,78.0,46.0,77.0,76.0,48.0,73.0,63.0,70.0,64.0,65.0,71.0,68.0,69.0,67.0,66.0,123.0
4640,0.0,40.0,3.0,13249.0,23.0,11550.0,30.0,46.0,48.0,49.0,51.0,53.0,67.0,44.0,57.0,45.0,58.0,61.0,62.0,64.0,54.0,56.0,55.0,65.0,60.0,59.0,68.0,50.0,63.0,52.0
4689,0.0,36.0,32.0,23.0,15045.0,12.0,20.0,59.0,58.0,55.0,62.0,54.0,52.0,61.0,49.0,60.0,48.0,47.0,63.0,46.0,72.0,65.0,82.0,75.0,73.0,79.0,80.0,77.0,76.0,71.0
4738,1.0,13.0,0.0,20.0,15015.0,11545.0,2.0,116.0,68.0,46.0,45.0,44.0,47.0,95.0,49.0,70.0,48.0,67.0,96.0,51.0,58.0,50.0,59.0,60.0,65.0,63.0,64.0,62.0,61.0,57.0
4787,1.0,19.0,3.0,13246.0,15015.0,16.0,13.0,43.0,62.0,63.0,64.0,82.0,81.0,45.0,80.0,44.0,79.0,78.0,46.0,77.0,67.0,83.0,68.0,69.0,75.0,72.0,74.0,34.0,70.0,66.0
4836,0.0,26.0,2.0,14.0,22.0,11559.0,41.0,96.0,72.0,93.0,70.0,54.0,50.0,98.0,46.0,97.0,49.0,52.0,99.0,47.0,57.0,60.0,68.0,67.0,55.0,63.0,62.0,64.0,66.0,65.0
4885,0.0,24.0,3.0,13245.0,5.0,11549.0,19.0,110.0,109.0,85.0,84.0,62.0,60.0,112.0,59.0,111.0,58.0,57.0,113.0,56.0,46.0,53.0,47.0,48.0,54.0,52.0,61.0,50.0,49.0,45.0
