,HAEMATOPOIETIC,GANGLIA,URINARY,NERVOUS,SKIN,PANCREAS,LUNG,STOMACH,OVARY,LIVER,BREAST,LARGE_INTESTINE,OESOPHAGUS,AERODIGESTIVE,PROSTATE,PLEURA,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,ENDOMETRIUM,BILIARY
1468,1.0,13.0,0.0,3.0,2.0,4.0,6.0,10.0,5.0,11.0,9.0,8.0,12.0,14.0,15.0,16.0,7.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,1.0,0.0,2.0,3.0,8.0,6.0,5.0,4.0,12.0,11.0,7.0,10.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,2.0,1.0,3.0,4.0,8.0,6.0,7.0,5.0,12.0,9.0,11.0,13.0,10.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
1615,1.0,13.0,2.0,3.0,4.0,8.0,5.0,6.0,9.0,7.0,11.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
1664,1.0,0.0,2.0,4.0,6.0,11.0,5.0,3.0,9.0,10.0,12.0,8.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1713,2.0,1.0,5.0,6.0,7.0,13.0,9.0,4.0,8.0,10.0,12.0,11.0,14.0,15.0,16.0,17.0,3.0,18.0,0.0,19.0,20.0,21.0,22.0
1762,2.0,1.0,7.0,8.0,5.0,9.0,10.0,4.0,12.0,6.0,11.0,14.0,13.0,15.0,16.0,17.0,3.0,18.0,0.0,19.0,20.0,21.0,22.0
1811,1.0,0.0,3.0,5.0,6.0,12.0,7.0,4.0,11.0,9.0,10.0,13.0,8.0,14.0,15.0,16.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,1.0,0.0,2.0,5.0,3.0,7.0,6.0,4.0,8.0,9.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1909,3.0,0.0,1.0,4.0,6.0,11.0,7.0,8.0,5.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,2.0,19.0,20.0,21.0,22.0
1958,2.0,0.0,5.0,6.0,11.0,12.0,7.0,9.0,13.0,3.0,8.0,4.0,10.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,21.0,22.0
2007,2.0,1.0,4.0,3.0,7.0,5.0,6.0,8.0,11.0,12.0,13.0,9.0,14.0,15.0,16.0,17.0,10.0,18.0,0.0,19.0,20.0,21.0,22.0
2056,1.0,0.0,2.0,3.0,6.0,4.0,5.0,9.0,7.0,11.0,10.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,1.0,0.0,2.0,3.0,6.0,5.0,7.0,4.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,2.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,21.0,22.0
2203,2.0,0.0,3.0,4.0,9.0,5.0,6.0,8.0,7.0,10.0,14.0,13.0,11.0,15.0,16.0,17.0,12.0,18.0,1.0,19.0,20.0,21.0,22.0
2252,2.0,1.0,4.0,3.0,7.0,8.0,6.0,5.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,9.0,18.0,0.0,19.0,20.0,21.0,22.0
2301,1.0,0.0,2.0,3.0,7.0,5.0,6.0,4.0,13.0,8.0,10.0,12.0,11.0,14.0,15.0,16.0,9.0,17.0,18.0,19.0,20.0,21.0,22.0
2350,2.0,1.0,3.0,6.0,4.0,11.0,7.0,5.0,10.0,8.0,13.0,12.0,14.0,15.0,16.0,17.0,9.0,18.0,0.0,19.0,20.0,21.0,22.0
2399,2.0,1.0,3.0,4.0,8.0,9.0,13.0,7.0,10.0,11.0,6.0,12.0,14.0,15.0,16.0,17.0,5.0,18.0,0.0,19.0,20.0,21.0,22.0
2448,2.0,0.0,1.0,4.0,3.0,6.0,8.0,7.0,5.0,13.0,12.0,11.0,10.0,14.0,15.0,16.0,9.0,17.0,18.0,19.0,20.0,21.0,22.0
2497,1.0,0.0,4.0,5.0,3.0,7.0,9.0,6.0,8.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,2.0,19.0,20.0,21.0,22.0
2546,1.0,0.0,4.0,5.0,3.0,7.0,8.0,11.0,6.0,10.0,12.0,9.0,13.0,14.0,15.0,16.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
2595,0.0,3.0,2.0,5.0,1.0,8.0,9.0,6.0,7.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,4.0,19.0,20.0,21.0,22.0
2644,1.0,3.0,2.0,4.0,0.0,5.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2693,1.0,0.0,2.0,4.0,3.0,8.0,7.0,6.0,5.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2742,0.0,2.0,4.0,5.0,3.0,8.0,7.0,12.0,6.0,11.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,21.0,22.0
2791,0.0,2.0,4.0,5.0,3.0,11.0,6.0,9.0,8.0,7.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,1.0,19.0,20.0,21.0,22.0
2840,1.0,0.0,3.0,4.0,2.0,7.0,9.0,6.0,5.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,1.0,0.0,3.0,5.0,2.0,9.0,7.0,4.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2938,1.0,2.0,0.0,4.0,3.0,6.0,8.0,7.0,5.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2987,0.0,13.0,2.0,3.0,4.0,7.0,6.0,5.0,8.0,10.0,9.0,11.0,12.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
3036,0.0,1.0,2.0,3.0,6.0,4.0,9.0,7.0,5.0,11.0,8.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3085,1.0,0.0,2.0,5.0,7.0,8.0,6.0,4.0,3.0,10.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3134,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,9.0,13.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
3183,1.0,13.0,2.0,4.0,5.0,6.0,8.0,3.0,7.0,10.0,9.0,11.0,12.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,2.0,3.0,4.0,5.0,7.0,6.0,8.0,12.0,10.0,13.0,11.0,9.0,14.0,15.0,16.0,17.0,0.0,18.0,1.0,19.0,20.0,21.0,22.0
3281,2.0,3.0,5.0,7.0,4.0,10.0,9.0,8.0,6.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,0.0,18.0,1.0,19.0,20.0,21.0,22.0
3330,2.0,0.0,1.0,7.0,5.0,9.0,10.0,6.0,8.0,12.0,11.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,3.0,19.0,20.0,21.0,22.0
3379,3.0,2.0,4.0,6.0,8.0,5.0,9.0,7.0,10.0,12.0,11.0,14.0,13.0,15.0,16.0,17.0,0.0,18.0,1.0,19.0,20.0,21.0,22.0
3428,1.0,2.0,4.0,3.0,11.0,6.0,7.0,5.0,8.0,13.0,9.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
3477,2.0,1.0,3.0,5.0,8.0,9.0,7.0,4.0,6.0,12.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
3526,1.0,2.0,3.0,5.0,9.0,7.0,10.0,11.0,8.0,12.0,4.0,13.0,6.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
3575,1.0,2.0,0.0,3.0,7.0,4.0,5.0,11.0,6.0,16.0,9.0,8.0,12.0,13.0,14.0,15.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
3624,3.0,4.0,0.0,5.0,6.0,8.0,7.0,10.0,13.0,12.0,14.0,11.0,1.0,15.0,16.0,17.0,9.0,18.0,2.0,19.0,20.0,21.0,22.0
3673,3.0,2.0,1.0,4.0,10.0,6.0,9.0,12.0,7.0,13.0,5.0,11.0,8.0,14.0,15.0,16.0,17.0,18.0,0.0,19.0,20.0,21.0,22.0
3722,1.0,3.0,0.0,6.0,4.0,11.0,7.0,5.0,9.0,13.0,12.0,14.0,10.0,15.0,16.0,17.0,8.0,18.0,2.0,19.0,20.0,21.0,22.0
3771,2.0,0.0,1.0,4.0,3.0,5.0,8.0,6.0,7.0,12.0,11.0,13.0,9.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
3820,1.0,13.0,0.0,3.0,4.0,2.0,5.0,12.0,6.0,10.0,11.0,9.0,7.0,14.0,15.0,16.0,8.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,3.0,2.0,1.0,4.0,8.0,7.0,11.0,5.0,6.0,12.0,9.0,10.0,13.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,3.0,2.0,0.0,4.0,10.0,8.0,11.0,5.0,7.0,12.0,14.0,13.0,9.0,15.0,16.0,17.0,6.0,18.0,1.0,19.0,20.0,21.0,22.0
3967,1.0,0.0,4.0,3.0,2.0,5.0,8.0,13.0,9.0,7.0,6.0,10.0,12.0,14.0,15.0,16.0,11.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,0.0,1.0,3.0,2.0,5.0,4.0,9.0,10.0,6.0,7.0,11.0,12.0,13.0,14.0,15.0,16.0,8.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,0.0,1.0,2.0,3.0,5.0,6.0,9.0,4.0,8.0,13.0,11.0,10.0,12.0,14.0,15.0,16.0,7.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,1.0,0.0,2.0,3.0,6.0,5.0,9.0,4.0,7.0,12.0,10.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,1.0,2.0,0.0,3.0,5.0,4.0,10.0,11.0,6.0,7.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,0.0,13.0,1.0,2.0,3.0,4.0,5.0,10.0,7.0,8.0,9.0,6.0,11.0,14.0,15.0,16.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,0.0,13.0,2.0,3.0,1.0,4.0,7.0,6.0,5.0,9.0,8.0,11.0,12.0,14.0,15.0,16.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
4310,1.0,0.0,2.0,3.0,8.0,6.0,5.0,9.0,4.0,12.0,10.0,11.0,13.0,14.0,15.0,16.0,7.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,2.0,3.0,4.0,5.0,7.0,8.0,11.0,6.0,12.0,10.0,9.0,13.0,0.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,1.0,0.0,2.0,3.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,1.0,0.0,2.0,3.0,4.0,8.0,5.0,7.0,6.0,10.0,9.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,1.0,0.0,2.0,3.0,4.0,5.0,9.0,7.0,6.0,16.0,10.0,11.0,8.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,22.0
4555,1.0,0.0,2.0,3.0,4.0,5.0,11.0,8.0,6.0,9.0,7.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,0.0,2.0,3.0,4.0,8.0,10.0,7.0,5.0,6.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,1.0,0.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4702,1.0,0.0,2.0,3.0,4.0,7.0,8.0,12.0,11.0,5.0,9.0,6.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,2.0,0.0,1.0,4.0,5.0,8.0,10.0,3.0,9.0,7.0,6.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,1.0,0.0,2.0,4.0,3.0,7.0,9.0,6.0,8.0,5.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,1.0,0.0,2.0,5.0,3.0,7.0,6.0,4.0,12.0,8.0,9.0,11.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4898,1.0,0.0,2.0,3.0,4.0,8.0,5.0,10.0,7.0,6.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
