,CPSF6,NUPR1,ITGB5,WASL,CTSL,ELF3,SHISA4,PPIC,FLI1,ORC1,CEP152,RP11-680F8.3,S100A16,NCAPH,WWTR1,EPHX1,SLC25A19,ITPRIPL1,PERP,THRB,CXCL16,TMEM2,AGAP2,NTN4,HAUS1,RIOK1,VASN,LEPREL1,CAP2,NUAK1
501,8.0,39.0,10.0,29.0,18.0,44.0,81.0,34.0,2.0,3.0,11.0,66.0,19.0,4.0,14415.0,48.0,6.0,396.0,414.0,100.0,10488.0,36.0,6301.0,5359.0,91.0,412.0,16.0,14789.0,21240.0,5504.0
550,2.0,111.0,4.0,38.0,17.0,101.0,1.0,29.0,4195.0,23.0,12.0,18.0,28.0,15.0,487.0,5.0,22.0,8.0,26.0,19.0,1591.0,49.0,67.0,5380.0,66.0,21267.0,59.0,132.0,20990.0,5442.0
599,2.0,1.0,7.0,6.0,21.0,0.0,8.0,16.0,3.0,41.0,5.0,32.0,43.0,20.0,50.0,29.0,45.0,11.0,42.0,33.0,10428.0,46.0,18.0,5324.0,59.0,145.0,40.0,205.0,34.0,5407.0
648,8.0,91.0,3.0,31.0,5.0,0.0,2.0,20.0,4.0,22.0,6.0,39.0,15464.0,23.0,9.0,40.0,67.0,16827.0,7.0,29.0,10462.0,42.0,49.0,5337.0,37.0,21273.0,19.0,65.0,72.0,5480.0
697,2.0,91.0,0.0,7.0,28.0,4.0,5.0,16.0,6384.0,17.0,10.0,35.0,19.0,41.0,55.0,37.0,46.0,20.0,12.0,12159.0,10074.0,45.0,39.0,5996.0,6.0,21264.0,54.0,15.0,21229.0,6079.0
746,1.0,70.0,11.0,31.0,10.0,56.0,0.0,42.0,4274.0,20.0,22.0,3159.0,60.0,19.0,14.0,18.0,6.0,17.0,23194.0,25.0,10467.0,21.0,787.0,5330.0,12100.0,1092.0,43.0,2.0,21240.0,5457.0
795,0.0,80.0,4.0,7.0,12.0,2.0,100.0,21.0,8.0,24.0,3620.0,9.0,3.0,26.0,6.0,14.0,27.0,99.0,35.0,13.0,10546.0,53.0,32.0,15.0,12039.0,72.0,25.0,18.0,20991.0,62.0
844,40.0,63.0,26.0,33.0,3.0,9.0,66.0,20.0,10.0,38.0,6.0,36.0,5.0,18.0,32.0,47.0,17.0,109.0,29.0,52.0,10704.0,30.0,54.0,45.0,71.0,21253.0,25.0,34.0,21242.0,5498.0
893,1.0,43.0,2.0,5.0,3.0,0.0,9.0,27.0,172.0,30.0,11.0,12.0,15475.0,24.0,10.0,8.0,29.0,37.0,22.0,23.0,1306.0,40.0,7.0,42.0,31.0,953.0,48.0,63.0,20980.0,5400.0
942,24.0,50.0,8.0,13.0,12.0,11.0,70.0,17.0,913.0,31.0,18.0,3625.0,333.0,27.0,126.0,29.0,33.0,16806.0,43.0,12289.0,81.0,19.0,6230.0,5297.0,1380.0,3.0,51.0,14656.0,20998.0,5420.0
991,1.0,5.0,10.0,8.0,14.0,0.0,6.0,11.0,7.0,21.0,9.0,17.0,25.0,48.0,2.0,24.0,33.0,35.0,23.0,12275.0,80.0,4.0,31.0,5972.0,46.0,36.0,37.0,14641.0,43.0,69.0
1040,12.0,1.0,4.0,5.0,11.0,39.0,3.0,15.0,6.0,14.0,10.0,22.0,26.0,50.0,2.0,20.0,86.0,59.0,13.0,33.0,70.0,19964.0,51.0,54.0,42.0,61.0,8.0,46.0,32.0,52.0
1089,3.0,0.0,4.0,22.0,11.0,8.0,1.0,6.0,142.0,12.0,14.0,16.0,23.0,27.0,2.0,34.0,17.0,44.0,24.0,20.0,53.0,869.0,40.0,5910.0,51.0,47.0,52.0,49.0,29.0,41.0
1138,2.0,99.0,7.0,10.0,15.0,6.0,1.0,19.0,0.0,16.0,14.0,18.0,55.0,33.0,27.0,73.0,29.0,435.0,44.0,11.0,10705.0,58.0,49.0,75.0,48.0,714.0,50.0,14916.0,53.0,74.0
1187,2.0,8.0,7.0,3.0,18.0,4.0,0.0,9.0,5.0,28.0,3601.0,10.0,24.0,16825.0,39.0,35.0,59.0,42.0,30.0,31.0,46.0,27.0,52.0,47.0,51.0,85.0,33.0,17.0,21239.0,63.0
1236,2.0,4.0,7.0,9.0,6.0,0.0,8.0,10.0,42.0,25.0,2719.0,20.0,27.0,12.0,1.0,16.0,11.0,3.0,34.0,15.0,32.0,17.0,36.0,5445.0,41.0,92.0,3168.0,14886.0,51.0,70.0
1285,0.0,139.0,4.0,7.0,2.0,5.0,1.0,14.0,8.0,24.0,17.0,16.0,22.0,20.0,12.0,31.0,36.0,9.0,23.0,19.0,33.0,39.0,45.0,52.0,25.0,53.0,890.0,41.0,63.0,49.0
1334,5.0,3.0,9.0,4.0,7.0,1.0,10.0,2.0,0.0,15.0,11.0,37.0,34.0,32.0,8.0,43.0,28.0,51.0,33.0,13.0,72.0,27.0,53.0,76.0,46.0,52.0,99.0,376.0,21238.0,20.0
1383,2.0,0.0,7.0,180.0,8.0,9.0,4.0,6.0,3.0,13.0,10.0,28.0,20.0,22.0,1.0,27.0,14.0,57.0,19.0,30.0,38.0,40.0,47.0,5310.0,35.0,77.0,2970.0,306.0,50.0,58.0
1432,4.0,0.0,1.0,284.0,25.0,10.0,7.0,23.0,12.0,22.0,9.0,30.0,33.0,48.0,28.0,69.0,29.0,6.0,14.0,11.0,47.0,52.0,6162.0,50.0,26.0,58.0,446.0,36.0,21014.0,54.0
1481,0.0,108.0,2.0,28.0,4.0,7.0,13.0,12.0,5.0,8.0,25.0,11.0,3.0,19.0,14411.0,6.0,22.0,16825.0,20.0,32.0,39.0,80.0,47.0,5325.0,18.0,24.0,64.0,14653.0,20982.0,65.0
1530,0.0,19.0,3.0,9.0,16.0,8.0,1.0,17.0,22.0,24.0,14.0,11.0,4.0,41.0,14426.0,30.0,94.0,5.0,29.0,25.0,20.0,19962.0,6177.0,23.0,714.0,38.0,1999.0,7.0,36.0,32.0
1579,12.0,35.0,2.0,4.0,0.0,20.0,30.0,6.0,31.0,27.0,3.0,9.0,17.0,70.0,13.0,7.0,69.0,16878.0,23190.0,12158.0,25.0,19955.0,44.0,6178.0,88.0,67.0,2854.0,28.0,45.0,6046.0
1628,0.0,118.0,1.0,10.0,14.0,108.0,3.0,13.0,30.0,15160.0,11.0,15.0,16.0,34.0,52.0,25.0,48.0,45.0,51.0,12121.0,20.0,19912.0,6223.0,5450.0,89.0,24.0,2931.0,6.0,33.0,23.0
1677,0.0,72.0,5.0,35.0,9.0,13.0,1.0,18.0,19.0,21.0,15.0,14.0,25.0,54.0,4.0,50.0,2.0,26.0,29.0,40.0,20.0,36.0,28.0,37.0,38.0,6.0,2942.0,95.0,21231.0,42.0
1726,6.0,27.0,73.0,1.0,7.0,105.0,3.0,5.0,2.0,8.0,18.0,12.0,15444.0,95.0,14405.0,24.0,40.0,49.0,43.0,26.0,54.0,19.0,52.0,58.0,89.0,13.0,56.0,161.0,31.0,42.0
1775,1.0,98.0,0.0,13.0,9.0,19.0,3.0,16.0,7.0,27.0,2858.0,21.0,4.0,61.0,266.0,2.0,39.0,8.0,20.0,1575.0,26.0,47.0,32.0,14.0,33.0,37.0,3390.0,12.0,28.0,29.0
1824,1.0,754.0,5.0,6.0,9.0,7.0,2.0,3.0,24.0,4.0,19.0,15.0,10.0,56.0,487.0,31.0,46.0,309.0,30.0,12300.0,29.0,47.0,35.0,41.0,90.0,28.0,2925.0,39.0,37.0,34.0
1873,1.0,133.0,6.0,37.0,11.0,66.0,3.0,20.0,4215.0,10.0,3181.0,16.0,26.0,19.0,433.0,17.0,40.0,0.0,27.0,56.0,9.0,19897.0,14.0,5372.0,48.0,7.0,1858.0,103.0,59.0,51.0
1922,0.0,2721.0,9.0,5.0,7.0,184.0,1.0,14.0,4170.0,18.0,17.0,13.0,21.0,54.0,324.0,20.0,128.0,41.0,25.0,12255.0,11.0,19903.0,36.0,63.0,122.0,65.0,2924.0,14631.0,20978.0,43.0
1971,1.0,4.0,3.0,5.0,14.0,174.0,7.0,2.0,20.0,31.0,9.0,0.0,34.0,62.0,13.0,37.0,12.0,36.0,61.0,38.0,42.0,35.0,41.0,71.0,89.0,58.0,1755.0,16.0,20994.0,5418.0
2020,3.0,2.0,0.0,10.0,7.0,17649.0,13.0,18.0,11.0,17.0,2735.0,23.0,24.0,44.0,1.0,38.0,12.0,4.0,53.0,28.0,36.0,9.0,19.0,40.0,46.0,42.0,731.0,5.0,39.0,55.0
2069,1.0,5.0,4.0,21.0,2.0,125.0,11.0,3.0,6.0,27.0,2053.0,25.0,22.0,29.0,10.0,33.0,19.0,0.0,38.0,26.0,47.0,28.0,30.0,68.0,54.0,67.0,2979.0,15.0,23.0,6109.0
2118,3.0,2.0,10.0,25.0,16.0,101.0,12.0,11.0,5.0,54.0,22.0,9.0,217.0,16833.0,1.0,42.0,8.0,0.0,45.0,28.0,52.0,39.0,51.0,35.0,62.0,20.0,77.0,48.0,20995.0,5481.0
2167,4.0,1.0,3.0,8.0,5.0,140.0,11.0,0.0,9.0,19.0,13.0,18.0,33.0,29.0,2.0,24.0,22.0,10.0,63.0,12305.0,21.0,6.0,38.0,42.0,92.0,74.0,26.0,14669.0,20997.0,59.0
2216,1.0,0.0,3.0,20.0,11.0,219.0,5.0,10.0,18.0,31.0,23.0,39.0,21.0,16848.0,2.0,41.0,15.0,119.0,23181.0,37.0,57.0,278.0,25.0,93.0,12100.0,71.0,58.0,17.0,21233.0,40.0
2265,2.0,5.0,0.0,22.0,18.0,129.0,17.0,19.0,7.0,50.0,2677.0,34.0,15453.0,16868.0,8.0,17491.0,6.0,1.0,27.0,64.0,56.0,37.0,29.0,13.0,1253.0,21266.0,1877.0,21.0,52.0,5438.0
2314,12.0,42.0,17.0,2.0,11.0,8.0,72.0,19.0,4.0,15.0,2907.0,47.0,28.0,27.0,13.0,40.0,10.0,0.0,58.0,48.0,59.0,41.0,45.0,81.0,142.0,20.0,3412.0,14907.0,54.0,26.0
2363,2.0,5.0,1.0,6.0,3.0,124.0,107.0,9.0,7.0,14.0,2868.0,23.0,20.0,16848.0,12.0,17486.0,10.0,0.0,39.0,13.0,51.0,37.0,24.0,42.0,59.0,77.0,73.0,16.0,36.0,58.0
2412,0.0,3.0,15.0,18472.0,19.0,237.0,9.0,35.0,32.0,981.0,27.0,69.0,15462.0,65.0,84.0,28.0,1.0,25.0,53.0,105.0,10423.0,19888.0,48.0,36.0,38.0,72.0,47.0,2.0,20996.0,5397.0
2461,21.0,18.0,63.0,2.0,4.0,67.0,0.0,7.0,6.0,10.0,31.0,27.0,15472.0,29.0,14428.0,20.0,65.0,90.0,19.0,9.0,30.0,5.0,55.0,44.0,68.0,36.0,54.0,26.0,75.0,93.0
2510,2.0,0.0,43.0,27.0,3.0,200.0,74.0,1.0,59.0,40.0,16.0,30.0,53.0,28.0,14422.0,10.0,20.0,16812.0,62.0,8.0,6.0,57.0,67.0,5.0,60.0,36.0,76.0,9.0,19.0,58.0
2559,15.0,0.0,9.0,4.0,3.0,16.0,49.0,7.0,1.0,5.0,31.0,20.0,30.0,41.0,2.0,8.0,48.0,16899.0,34.0,11.0,53.0,22.0,61.0,57.0,11893.0,47.0,1762.0,14687.0,21246.0,6044.0
2608,2.0,0.0,26.0,5.0,1.0,4.0,7.0,17.0,10.0,20.0,12.0,6.0,15465.0,16824.0,14432.0,3.0,44.0,16825.0,23208.0,13.0,34.0,19958.0,49.0,32.0,12090.0,56.0,59.0,52.0,20987.0,31.0
2657,107.0,83.0,16.0,3.0,7.0,986.0,4.0,14.0,6.0,49.0,19.0,24.0,15457.0,29.0,5.0,32.0,9.0,16820.0,52.0,11.0,26.0,48.0,62.0,45.0,100.0,21.0,28.0,40.0,43.0,53.0
2706,0.0,2.0,37.0,3.0,4.0,8.0,7.0,12.0,1.0,42.0,10.0,19.0,15404.0,16826.0,14428.0,13.0,50.0,32.0,36.0,12221.0,18.0,33.0,61.0,78.0,84.0,30.0,51.0,787.0,261.0,52.0
2755,30.0,0.0,71.0,3.0,1.0,4.0,11.0,12.0,2.0,14.0,18.0,9.0,29.0,68.0,14392.0,20.0,74.0,16815.0,26.0,17.0,23.0,10.0,59.0,54.0,94.0,36.0,31.0,101.0,19.0,83.0
2804,3.0,22.0,6.0,0.0,12.0,14.0,2.0,10.0,16.0,21.0,26.0,24.0,32.0,1.0,51.0,13.0,92.0,16800.0,23205.0,19.0,20.0,42.0,148.0,5335.0,117.0,27.0,68.0,14665.0,20985.0,29.0
2853,1.0,14.0,9.0,4.0,12.0,8.0,11.0,13.0,19.0,34.0,2778.0,25.0,39.0,56.0,6.0,70.0,42.0,3.0,27.0,15.0,28.0,38.0,6232.0,52.0,48.0,37.0,30.0,85.0,21238.0,55.0
2902,33.0,4.0,9.0,37.0,1.0,14.0,17180.0,45.0,5.0,13.0,22.0,44.0,15441.0,2.0,14416.0,25.0,57.0,16806.0,64.0,47.0,10458.0,174.0,6203.0,113.0,23.0,41.0,42.0,14653.0,20989.0,5427.0
2951,18.0,3.0,8.0,18538.0,20015.0,191.0,4.0,14.0,21.0,15180.0,9.0,30.0,44.0,11.0,2.0,55.0,0.0,16806.0,52.0,37.0,33.0,100.0,45.0,51.0,48.0,21214.0,69.0,76.0,39.0,5432.0
3000,3.0,69.0,9.0,5.0,19914.0,53.0,41.0,14.0,38.0,6.0,21.0,33.0,15460.0,203.0,0.0,39.0,26.0,76.0,23192.0,12197.0,91.0,19969.0,62.0,47.0,12100.0,44.0,54.0,36.0,18.0,60.0
3049,0.0,3.0,16.0,20.0,24.0,92.0,78.0,23.0,28.0,18.0,3629.0,36.0,17.0,7.0,4.0,17459.0,33.0,5.0,23142.0,32.0,38.0,19889.0,56.0,5905.0,41.0,63.0,55.0,13.0,37.0,6195.0
3098,3.0,0.0,73.0,18554.0,20035.0,10.0,55.0,23.0,41.0,25.0,13.0,6.0,15460.0,20.0,2.0,17454.0,28.0,211.0,23145.0,18.0,45.0,19898.0,8.0,42.0,83.0,66.0,63.0,56.0,44.0,17.0
3147,1.0,4.0,3.0,22.0,18.0,999.0,42.0,10.0,2.0,35.0,21.0,19.0,16.0,15.0,0.0,24.0,45.0,8.0,49.0,25.0,57.0,59.0,26.0,54.0,53.0,92.0,3006.0,7.0,23.0,65.0
3196,20.0,2.0,79.0,3.0,20034.0,10.0,48.0,0.0,36.0,42.0,12.0,38.0,15344.0,18.0,27.0,17510.0,11.0,16.0,56.0,70.0,29.0,63.0,7.0,6462.0,49.0,41.0,81.0,5.0,53.0,89.0
3245,5.0,1.0,7.0,3.0,18.0,174.0,4.0,16.0,19.0,37.0,21.0,22.0,38.0,15.0,2.0,17424.0,11.0,43.0,23198.0,35.0,25.0,56.0,39.0,67.0,64.0,62.0,59.0,0.0,30.0,51.0
3294,2.0,1.0,98.0,7.0,17.0,66.0,3.0,9.0,12.0,25.0,20.0,27.0,30.0,37.0,0.0,67.0,38.0,10.0,23185.0,23.0,47.0,68.0,41.0,5341.0,88.0,18.0,79.0,90.0,33.0,106.0
3343,21.0,2.0,8.0,143.0,4.0,11.0,35.0,10.0,19.0,12.0,22.0,31.0,38.0,16.0,20.0,939.0,9.0,32.0,50.0,18.0,72.0,66.0,37.0,60.0,57.0,59.0,13.0,3.0,28.0,58.0
3392,26.0,4.0,3.0,24.0,221.0,2.0,83.0,5.0,14.0,46.0,2694.0,33.0,8.0,18.0,0.0,17480.0,54.0,16783.0,6.0,9.0,45.0,19892.0,17.0,19.0,63.0,21200.0,44.0,13.0,23.0,36.0
3441,4.0,8.0,6.0,149.0,1.0,17181.0,5.0,24.0,4205.0,13.0,11.0,26.0,15449.0,331.0,30.0,16.0,38.0,87.0,23179.0,12186.0,277.0,43.0,39.0,73.0,42.0,164.0,65.0,67.0,18.0,53.0
3490,28.0,0.0,4.0,2.0,9.0,17175.0,101.0,31.0,13.0,11.0,10.0,23.0,15441.0,961.0,14397.0,20.0,33.0,3.0,49.0,12274.0,41.0,7.0,47.0,53.0,24.0,36.0,65.0,81.0,20988.0,66.0
3539,2.0,12.0,4.0,20.0,6.0,188.0,7.0,5.0,261.0,16.0,13.0,17.0,26.0,16872.0,46.0,33.0,39.0,16852.0,52.0,12178.0,23.0,45.0,31.0,35.0,44.0,56.0,51.0,14671.0,21240.0,5422.0
3588,1.0,7.0,14516.0,18505.0,3.0,11.0,60.0,39.0,27.0,8.0,20.0,26.0,15462.0,77.0,51.0,48.0,34.0,16836.0,43.0,12272.0,70.0,19880.0,57.0,5327.0,29.0,72.0,3668.0,10.0,64.0,5388.0
3637,26.0,0.0,50.0,18478.0,23.0,44.0,2.0,25.0,4195.0,5.0,11.0,8.0,15318.0,105.0,14326.0,63.0,12.0,16869.0,70.0,12168.0,35.0,19882.0,54.0,1002.0,3.0,41.0,86.0,84.0,21217.0,64.0
3686,24.0,5.0,38.0,18505.0,25.0,1.0,37.0,23.0,6.0,2.0,2683.0,7.0,15479.0,16810.0,14412.0,17488.0,26.0,50.0,30.0,12290.0,48.0,19955.0,46.0,74.0,20.0,45.0,58.0,67.0,21238.0,5477.0
3735,2.0,0.0,14514.0,9.0,14.0,1.0,21.0,25.0,29.0,5.0,4.0,15.0,24.0,106.0,50.0,1107.0,35.0,617.0,26.0,12271.0,56.0,603.0,6176.0,58.0,37.0,76.0,38.0,14681.0,21017.0,5415.0
3784,1.0,0.0,5.0,18482.0,14.0,13.0,30.0,12.0,4172.0,6.0,10.0,11.0,8.0,149.0,14357.0,58.0,54.0,88.0,23205.0,12133.0,23.0,61.0,6179.0,29.0,57.0,56.0,40.0,59.0,21013.0,18.0
3833,29.0,1.0,2.0,5.0,32.0,4.0,88.0,7.0,6.0,15203.0,19.0,15.0,15467.0,121.0,14342.0,23.0,0.0,180.0,17.0,1029.0,37.0,73.0,45.0,27.0,39.0,41.0,36.0,10.0,56.0,5405.0
3882,0.0,6.0,3.0,41.0,25.0,17629.0,1.0,33.0,4134.0,27.0,10.0,19.0,15464.0,54.0,7.0,32.0,24.0,66.0,23215.0,12265.0,83.0,19884.0,99.0,5302.0,31.0,13.0,63.0,129.0,21018.0,5361.0
3931,1.0,0.0,3.0,5.0,20023.0,4.0,40.0,12.0,7.0,24.0,3616.0,17.0,23.0,8.0,14433.0,47.0,55.0,2.0,56.0,46.0,22.0,38.0,53.0,83.0,28.0,20.0,67.0,31.0,21234.0,6505.0
3980,0.0,1.0,3.0,20.0,8.0,16.0,17170.0,17.0,4277.0,7.0,3124.0,6.0,21.0,24.0,237.0,12.0,39.0,2.0,19.0,42.0,25.0,22.0,6195.0,47.0,38.0,49.0,29.0,50.0,37.0,14.0
4029,0.0,1.0,5.0,11.0,9.0,89.0,8.0,22.0,4274.0,19.0,3640.0,6.0,23.0,20.0,59.0,25.0,40.0,3.0,15.0,45.0,26.0,31.0,44.0,27.0,47.0,10.0,39.0,51.0,21241.0,38.0
4078,3.0,0.0,24.0,11.0,5.0,16.0,85.0,10.0,4179.0,17.0,3639.0,18.0,15463.0,209.0,14411.0,26.0,40.0,1.0,23200.0,46.0,30.0,19880.0,65.0,6.0,81.0,29.0,64.0,2.0,56.0,52.0
4127,1.0,0.0,6.0,26.0,8.0,109.0,51.0,17.0,21.0,3.0,3654.0,14.0,23.0,27.0,50.0,34.0,11.0,5.0,23138.0,28.0,52.0,9.0,30.0,39.0,107.0,7.0,70.0,38.0,20982.0,46.0
4176,4.0,1.0,5.0,9.0,12.0,0.0,49.0,17.0,6.0,33.0,3626.0,13.0,30.0,38.0,14423.0,24.0,41.0,3.0,18.0,8.0,53.0,32.0,35.0,48.0,51.0,15.0,34.0,74.0,29.0,16.0
4225,2.0,1.0,9.0,12.0,7.0,13.0,33.0,17.0,25.0,23.0,2643.0,0.0,26.0,16870.0,3.0,18.0,56.0,5.0,31.0,12166.0,35.0,19891.0,6191.0,19.0,46.0,8.0,28.0,6.0,21197.0,22.0
4274,3.0,0.0,1.0,6.0,15.0,4.0,17176.0,32.0,5.0,20.0,3648.0,23.0,31.0,24.0,14413.0,63.0,14.0,2.0,44.0,37.0,33.0,45.0,6192.0,22.0,17.0,61.0,40.0,14657.0,1680.0,27.0
4323,12.0,0.0,2.0,4.0,7.0,17189.0,17203.0,23.0,95.0,15188.0,2795.0,10.0,22.0,28.0,44.0,36.0,1.0,55.0,66.0,56.0,21.0,5.0,43.0,33.0,113.0,40.0,8.0,59.0,21234.0,42.0
4372,2.0,0.0,4.0,25.0,7.0,43.0,17175.0,11.0,15.0,21.0,2810.0,6.0,17.0,44.0,353.0,40.0,8.0,1.0,22.0,33.0,26.0,16.0,31.0,10.0,48.0,66.0,63.0,9.0,32.0,41.0
4421,54.0,2.0,8.0,32.0,7.0,3.0,1.0,17.0,22.0,30.0,28.0,26.0,19.0,42.0,9.0,20.0,33.0,61.0,23180.0,12287.0,23.0,141.0,31.0,14.0,87.0,21276.0,18.0,13.0,29.0,21.0
4470,4.0,80.0,3.0,22.0,1.0,8.0,78.0,11.0,6.0,20.0,23.0,31.0,27.0,14.0,0.0,32.0,36.0,45.0,30.0,13.0,29.0,124.0,24.0,35.0,25.0,86.0,17.0,54.0,21.0,18.0
4519,10.0,43.0,3.0,6.0,1.0,158.0,5.0,11.0,12.0,24.0,16.0,21.0,7.0,25.0,0.0,20.0,45.0,16813.0,23213.0,42.0,26.0,28.0,34.0,15.0,88.0,21270.0,22.0,18.0,8.0,29.0
4568,14.0,91.0,5.0,20.0,1.0,7.0,4.0,15.0,13.0,19.0,263.0,27.0,18.0,34.0,0.0,21.0,66.0,103.0,24.0,28.0,11.0,42.0,29.0,31.0,30.0,57.0,9.0,95.0,21225.0,62.0
4617,44.0,49.0,2.0,3.0,12.0,24.0,1.0,7.0,10.0,19.0,20.0,16.0,13.0,38.0,6.0,21.0,28.0,16829.0,23205.0,39.0,50.0,5.0,31.0,43.0,12087.0,77.0,22.0,106.0,9.0,32.0
4666,47.0,3372.0,3.0,15.0,1.0,7.0,0.0,9.0,38.0,40.0,12.0,19.0,26.0,53.0,2.0,6.0,35.0,33.0,31.0,17.0,13.0,4.0,49.0,21.0,85.0,75.0,20.0,122.0,32.0,25.0
4715,4.0,93.0,0.0,6.0,1.0,2.0,50.0,9.0,20.0,16.0,23.0,24.0,21.0,27.0,8.0,25.0,7.0,34.0,52.0,37.0,13.0,32.0,35.0,5928.0,54.0,21216.0,49.0,14655.0,28.0,42.0
4764,0.0,56.0,4.0,2.0,5.0,197.0,40.0,6.0,13.0,19.0,31.0,22.0,14.0,25.0,38.0,23.0,59.0,369.0,35.0,29.0,30.0,1.0,41.0,20.0,49.0,53.0,28.0,71.0,17.0,43.0
4813,3.0,58.0,2.0,18.0,1.0,8.0,5.0,11.0,14.0,7.0,9.0,15.0,10.0,19.0,0.0,21.0,77.0,105.0,12.0,16.0,22.0,51.0,25.0,13.0,74.0,36.0,6.0,521.0,27.0,41.0
4862,92.0,48.0,2.0,19.0,10.0,112.0,59.0,13.0,12.0,8.0,3627.0,9.0,23.0,16.0,218.0,17499.0,35.0,0.0,23147.0,3.0,14.0,31.0,11.0,4.0,55.0,21218.0,20.0,26.0,20981.0,38.0
