,NQO1,AC074389.9,THAP8,SMO,NSMCE4A,TUBA1A,C7orf13,GPR176,C12orf23,HEG1,ZNF135,ZNF793,BEX4,MED12L,SH3BP1,PAX8,RP4-639F20.1,HAVCR1P1,PGBD5,S100P,KHDRBS3,NPPB,C1RL-AS1,EMB,MARCKS,DIRAS2,PCSK1N,CCDC149,RP3-441A12.1,ZNF91
1628,11.0,46.0,3.0,44.0,89.0,0.0,18703.0,40.0,37.0,136.0,49.0,87.0,9036.0,14862.0,22.0,47.0,1288.0,860.0,224.0,19.0,106.0,221.0,7105.0,248.0,190.0,98.0,184.0,30.0,289.0,11550.0
1677,41.0,25.0,104.0,33.0,112.0,74.0,410.0,47.0,2302.0,218.0,63.0,3.0,6780.0,14821.0,12.0,184.0,15235.0,418.0,17670.0,165.0,18.0,398.0,89.0,432.0,37.0,20222.0,205.0,789.0,137.0,7699.0
1726,5.0,118.0,96.0,10.0,2.0,20.0,713.0,69.0,510.0,70.0,65.0,8.0,9058.0,438.0,24.0,2588.0,61.0,433.0,104.0,14914.0,112.0,23.0,290.0,364.0,79.0,125.0,15.0,15054.0,90.0,11637.0
1775,48.0,112.0,80.0,6.0,2.0,33.0,155.0,75.0,8.0,123.0,27.0,0.0,7125.0,411.0,7.0,433.0,584.0,31.0,197.0,149.0,98.0,12.0,113.0,238.0,368.0,261.0,17.0,14991.0,21114.0,1367.0
1824,65.0,145.0,3.0,4.0,82.0,1.0,53.0,28.0,21.0,34.0,27.0,14.0,69.0,14823.0,17.0,386.0,8.0,62.0,218.0,155.0,107.0,396.0,322.0,21667.0,31.0,159.0,2.0,6.0,254.0,455.0
1873,4.0,3.0,47.0,30.0,181.0,1.0,470.0,42.0,23.0,37.0,69.0,13.0,440.0,14630.0,27.0,202.0,14.0,128.0,125.0,67.0,50.0,21.0,58.0,21682.0,267.0,20212.0,1258.0,19.0,21137.0,11657.0
1922,70.0,23211.0,294.0,12.0,5.0,184.0,33.0,87.0,232.0,67.0,236.0,1.0,7.0,609.0,4.0,42.0,271.0,161.0,219.0,14899.0,452.0,9.0,259.0,202.0,565.0,20.0,8728.0,16.0,211.0,11584.0
1971,39.0,24.0,15.0,38.0,14.0,447.0,64.0,206.0,6381.0,31.0,8986.0,7929.0,49.0,559.0,553.0,9.0,44.0,10.0,53.0,14877.0,143.0,2028.0,110.0,40.0,34.0,13.0,27.0,23.0,21163.0,102.0
2020,0.0,621.0,40.0,12.0,225.0,94.0,116.0,39.0,426.0,250.0,8286.0,8055.0,70.0,17.0,1251.0,68.0,41.0,164.0,13.0,381.0,58.0,15982.0,35.0,208.0,89.0,6.0,8786.0,1.0,14.0,319.0
2069,58.0,23225.0,20.0,10.0,149.0,6690.0,125.0,51.0,2.0,395.0,8265.0,8028.0,59.0,35.0,378.0,14.0,54.0,227.0,3.0,14903.0,301.0,15962.0,134.0,181.0,471.0,20213.0,163.0,9.0,21140.0,304.0
2118,22.0,340.0,35.0,26.0,30.0,854.0,74.0,45.0,446.0,73.0,336.0,299.0,93.0,69.0,9698.0,10.0,55.0,232.0,51.0,362.0,180.0,15978.0,320.0,327.0,357.0,2.0,1212.0,17.0,301.0,8.0
2167,19.0,1030.0,2.0,36.0,0.0,194.0,6.0,193.0,22.0,147.0,63.0,53.0,20.0,54.0,280.0,78.0,15228.0,11634.0,12.0,14915.0,640.0,15953.0,81.0,135.0,26.0,235.0,23.0,3.0,21140.0,55.0
2216,8.0,177.0,18.0,24.0,549.0,100.0,114.0,34.0,58.0,54.0,8305.0,8051.0,6.0,253.0,9670.0,0.0,2.0,23.0,12.0,14935.0,213.0,71.0,198.0,457.0,259.0,68.0,14.0,1.0,21159.0,28.0
2265,6.0,1123.0,16.0,37.0,19.0,139.0,75.0,172.0,480.0,320.0,266.0,114.0,7393.0,15.0,4175.0,115.0,261.0,196.0,268.0,14936.0,182.0,847.0,88.0,296.0,22868.0,0.0,7063.0,2.0,21168.0,12.0
2314,4.0,13.0,20.0,5.0,171.0,27.0,18.0,137.0,315.0,298.0,8276.0,7968.0,9026.0,87.0,371.0,71.0,1694.0,186.0,25.0,14904.0,123.0,1716.0,178.0,115.0,309.0,386.0,557.0,2.0,21.0,367.0
2363,28.0,20.0,17.0,40.0,677.0,153.0,143.0,138.0,276.0,215.0,65.0,150.0,46.0,89.0,414.0,8.0,15231.0,187.0,1704.0,14948.0,411.0,2339.0,105.0,21660.0,60.0,66.0,1072.0,10.0,460.0,236.0
