,FAM190A_DEL,BRAF_MUT,BRAF.V600E_MUT,SGCZ_DEL,ME3_DEL,FLT1_MUT,FARS2_DEL,PAPPA_MUT,ZNF705G_AMP,SCN3B_DEL,CACNA2D3_DEL,PAXIP1_MUT,VPS13B_MUT,DIP2C_MUT,RGPD4_AMP,TRIM37_MUT,NOMO3_AMP,EGFR_MUT,LRRTM4_DEL,ACOT11_DEL,SNORA70E_AMP,MTUS2_MUT,GUSBP3_DEL,MAST4_DEL,SPACA5_AMP,NFKB1_DEL,KSR2_DEL,MBP_DEL,PSG5_DEL,MIER3_DEL
714,60.0,173.0,51.0,39.0,0.0,27.0,192.0,274.0,8.0,48.0,303.0,61.0,1.0,16660.0,13471.0,16453.0,1346.0,385.0,835.0,2462.0,15686.0,618.0,106.0,653.0,139.0,23.0,6078.0,442.0,408.0,85.0
763,0.0,86.0,390.0,17.0,156.0,1099.0,20187.0,9.0,10.0,12233.0,505.0,183.0,2.0,330.0,13295.0,839.0,1521.0,1059.0,369.0,1833.0,15679.0,16583.0,11867.0,759.0,48.0,797.0,430.0,3015.0,200.0,258.0
812,5.0,83.0,20070.0,0.0,9.0,1.0,6.0,32.0,3.0,12227.0,2211.0,1098.0,192.0,315.0,863.0,16453.0,1500.0,16516.0,201.0,46.0,15612.0,16587.0,2513.0,748.0,2323.0,10694.0,6081.0,113.0,390.0,4337.0
861,10.0,23.0,477.0,4.0,0.0,6.0,13.0,127.0,12.0,89.0,12255.0,8.0,16486.0,2130.0,7.0,16450.0,14504.0,16.0,580.0,96.0,802.0,660.0,687.0,1096.0,248.0,10700.0,6183.0,3606.0,519.0,634.0
910,3.0,17.0,6.0,0.0,27.0,16.0,32.0,13.0,5.0,12258.0,90.0,1055.0,10.0,16616.0,201.0,16442.0,1307.0,12.0,63.0,231.0,15670.0,16594.0,11776.0,3436.0,15301.0,801.0,658.0,3009.0,12080.0,26.0
959,0.0,1502.0,26.0,14.0,1.0,16587.0,237.0,2132.0,436.0,12239.0,12217.0,475.0,7.0,552.0,121.0,16437.0,2097.0,1222.0,1413.0,1123.0,15665.0,692.0,2433.0,142.0,1228.0,10683.0,6189.0,3385.0,709.0,126.0
1008,168.0,1.0,207.0,6227.0,15.0,0.0,721.0,156.0,15749.0,12010.0,494.0,16601.0,265.0,16600.0,13314.0,16437.0,1604.0,491.0,176.0,2.0,15585.0,16534.0,1858.0,120.0,11.0,690.0,2421.0,47.0,11860.0,343.0
1057,1193.0,0.0,16.0,285.0,14.0,9.0,20217.0,16466.0,6.0,12223.0,691.0,1647.0,279.0,16651.0,726.0,102.0,90.0,143.0,867.0,25.0,19.0,1156.0,11844.0,1530.0,15504.0,1661.0,1692.0,94.0,12112.0,456.0
1106,270.0,40.0,9.0,0.0,15.0,16580.0,400.0,16408.0,42.0,12246.0,92.0,36.0,7.0,442.0,1129.0,16442.0,574.0,16511.0,832.0,365.0,15674.0,237.0,2489.0,558.0,213.0,869.0,6227.0,14.0,12046.0,259.0
1155,225.0,6.0,0.0,527.0,41.0,3.0,20150.0,292.0,96.0,1079.0,12.0,93.0,88.0,524.0,672.0,16403.0,1300.0,592.0,163.0,48.0,15625.0,506.0,129.0,3266.0,47.0,10607.0,74.0,55.0,415.0,1751.0
1204,42.0,20.0,168.0,41.0,105.0,9.0,235.0,16389.0,34.0,12209.0,25.0,1057.0,16494.0,4.0,11.0,16466.0,465.0,103.0,213.0,478.0,238.0,1402.0,11838.0,868.0,1380.0,442.0,27.0,3.0,12040.0,554.0
1253,36.0,2.0,0.0,1122.0,1.0,1558.0,2282.0,247.0,563.0,74.0,213.0,589.0,16462.0,61.0,86.0,1119.0,2003.0,16549.0,735.0,5706.0,15610.0,774.0,961.0,4223.0,613.0,30.0,6158.0,3363.0,1098.0,4300.0
1302,544.0,1479.0,1.0,58.0,62.0,2.0,20167.0,249.0,16.0,79.0,3.0,660.0,1630.0,1863.0,13404.0,402.0,2328.0,350.0,7635.0,2310.0,15652.0,2316.0,1628.0,2814.0,2252.0,10618.0,6181.0,45.0,1756.0,6888.0
1351,1122.0,165.0,9.0,2518.0,11.0,20.0,196.0,63.0,43.0,12236.0,12238.0,42.0,1994.0,16665.0,13312.0,1222.0,1503.0,16528.0,74.0,41.0,717.0,1609.0,11865.0,1224.0,15532.0,10733.0,427.0,7.0,308.0,4372.0
1400,103.0,5.0,20196.0,4.0,1032.0,23.0,204.0,16442.0,48.0,12370.0,244.0,16620.0,1116.0,16598.0,13436.0,16450.0,150.0,16575.0,277.0,51.0,1249.0,351.0,147.0,35.0,2390.0,187.0,6202.0,36.0,3.0,79.0
1449,3142.0,15.0,206.0,432.0,19925.0,659.0,20188.0,16418.0,351.0,484.0,12222.0,321.0,2.0,965.0,459.0,16425.0,14429.0,16492.0,60.0,5734.0,15651.0,65.0,11763.0,4270.0,15279.0,1091.0,115.0,0.0,860.0,4308.0
1498,32.0,1.0,4.0,24.0,0.0,744.0,15.0,2208.0,6.0,12233.0,12235.0,1314.0,696.0,5.0,59.0,198.0,215.0,83.0,102.0,1130.0,15665.0,213.0,47.0,4296.0,384.0,256.0,6186.0,3397.0,12115.0,4314.0
1547,30.0,1.0,306.0,0.0,122.0,664.0,88.0,113.0,85.0,84.0,220.0,185.0,16476.0,2.0,72.0,17.0,506.0,851.0,7722.0,5938.0,60.0,16569.0,128.0,3194.0,801.0,79.0,6143.0,2574.0,12095.0,679.0
1596,13.0,12.0,2325.0,977.0,3.0,1483.0,7.0,61.0,2.0,12221.0,4.0,16646.0,301.0,220.0,56.0,9.0,48.0,92.0,44.0,1078.0,922.0,16576.0,181.0,35.0,263.0,1049.0,950.0,3370.0,10.0,2204.0
1645,289.0,6.0,0.0,10.0,79.0,1074.0,1094.0,84.0,480.0,12203.0,12205.0,532.0,1932.0,16626.0,34.0,7.0,37.0,1548.0,1610.0,66.0,1677.0,258.0,136.0,3580.0,1013.0,375.0,419.0,3200.0,335.0,4353.0
1694,32.0,2104.0,1273.0,11.0,104.0,38.0,73.0,168.0,1.0,12207.0,13.0,296.0,471.0,35.0,330.0,141.0,154.0,228.0,155.0,219.0,757.0,16566.0,52.0,1137.0,1333.0,1015.0,863.0,1919.0,12088.0,176.0
1743,120.0,9.0,20190.0,5.0,39.0,874.0,0.0,1204.0,319.0,12219.0,818.0,58.0,16465.0,16623.0,1030.0,1458.0,14421.0,2256.0,7580.0,5715.0,668.0,409.0,11777.0,1.0,775.0,10663.0,142.0,2933.0,951.0,35.0
1792,2902.0,657.0,82.0,29.0,1088.0,394.0,20059.0,72.0,0.0,12247.0,119.0,7.0,1000.0,85.0,296.0,335.0,14534.0,132.0,7641.0,5962.0,910.0,44.0,2482.0,3416.0,2217.0,87.0,6076.0,3385.0,616.0,4389.0
1841,9.0,736.0,157.0,17.0,28.0,16606.0,509.0,1671.0,70.0,316.0,12279.0,75.0,16520.0,493.0,13342.0,16410.0,14480.0,2186.0,79.0,6019.0,576.0,1074.0,36.0,0.0,617.0,10668.0,129.0,3308.0,1557.0,1719.0
1890,169.0,20.0,33.0,62.0,19927.0,149.0,20142.0,16391.0,84.0,11752.0,1045.0,40.0,16475.0,99.0,0.0,16433.0,510.0,16495.0,8976.0,3266.0,15594.0,710.0,7984.0,259.0,15289.0,300.0,2557.0,798.0,125.0,5326.0
1939,3.0,205.0,190.0,105.0,19983.0,75.0,12.0,16352.0,88.0,684.0,1142.0,1209.0,55.0,11.0,13306.0,78.0,14158.0,104.0,243.0,387.0,28.0,16527.0,833.0,6.0,2186.0,10602.0,6266.0,2324.0,101.0,5058.0
1988,9.0,342.0,48.0,325.0,19934.0,0.0,405.0,1447.0,15774.0,12203.0,17.0,839.0,735.0,16634.0,147.0,1352.0,74.0,795.0,7624.0,6.0,1971.0,16563.0,1088.0,1395.0,15511.0,10682.0,555.0,4127.0,116.0,4412.0
2037,5.0,1025.0,7.0,335.0,110.0,3.0,0.0,285.0,1850.0,12215.0,919.0,674.0,725.0,814.0,239.0,16462.0,586.0,181.0,128.0,394.0,15584.0,16579.0,2426.0,3528.0,1176.0,134.0,36.0,26.0,304.0,4327.0
2086,31.0,16963.0,0.0,151.0,1683.0,3.0,2.0,587.0,15786.0,12216.0,26.0,1553.0,153.0,126.0,212.0,90.0,898.0,16620.0,422.0,50.0,863.0,2100.0,6.0,333.0,15305.0,1.0,24.0,1901.0,48.0,400.0
2135,103.0,16976.0,6.0,0.0,19928.0,62.0,20169.0,356.0,2177.0,12237.0,263.0,1340.0,15.0,1107.0,1120.0,3.0,1178.0,414.0,1670.0,1.0,15652.0,1037.0,44.0,883.0,15308.0,10643.0,601.0,3771.0,12040.0,4331.0
2184,19.0,535.0,24.0,71.0,19914.0,4.0,32.0,0.0,2482.0,12216.0,481.0,9.0,35.0,862.0,1063.0,1759.0,1005.0,16506.0,1291.0,527.0,153.0,922.0,733.0,664.0,881.0,10636.0,6184.0,1373.0,1464.0,4301.0
2233,0.0,1.0,82.0,4.0,35.0,28.0,27.0,10.0,15792.0,12489.0,1556.0,16645.0,71.0,2397.0,527.0,16451.0,126.0,124.0,1109.0,1151.0,545.0,16577.0,5.0,4794.0,230.0,91.0,3362.0,21.0,11634.0,5807.0
2282,1.0,6.0,0.0,33.0,843.0,80.0,31.0,29.0,236.0,12265.0,100.0,446.0,16489.0,2.0,136.0,1077.0,108.0,1174.0,7645.0,24.0,15610.0,1219.0,370.0,4287.0,1308.0,458.0,358.0,1458.0,766.0,742.0
2331,1.0,235.0,0.0,2490.0,468.0,16562.0,127.0,4.0,2.0,206.0,441.0,27.0,16469.0,319.0,3.0,924.0,187.0,16490.0,1807.0,663.0,15587.0,779.0,1070.0,4263.0,15265.0,144.0,6203.0,3369.0,12018.0,4464.0
2380,5.0,211.0,6.0,18.0,14.0,297.0,20124.0,465.0,1150.0,1.0,0.0,7.0,16.0,16620.0,13332.0,16419.0,91.0,16486.0,7610.0,697.0,15630.0,283.0,301.0,230.0,15270.0,13.0,997.0,3589.0,1305.0,1131.0
2429,1.0,0.0,52.0,3.0,19865.0,572.0,20124.0,16415.0,234.0,12190.0,12183.0,16618.0,801.0,606.0,173.0,16419.0,220.0,7.0,566.0,159.0,15649.0,2297.0,111.0,599.0,15257.0,10652.0,5933.0,42.0,290.0,4752.0
2478,21.0,13.0,267.0,8.0,19920.0,744.0,65.0,3.0,15775.0,12208.0,14.0,937.0,16457.0,128.0,13378.0,1107.0,418.0,2303.0,7603.0,6892.0,15576.0,1827.0,11802.0,778.0,40.0,402.0,88.0,299.0,202.0,142.0
2527,3075.0,9.0,3.0,2144.0,19925.0,195.0,20178.0,1149.0,15769.0,723.0,22.0,671.0,498.0,429.0,124.0,456.0,194.0,303.0,1177.0,5751.0,15662.0,16570.0,92.0,1038.0,841.0,335.0,223.0,3442.0,23.0,940.0
2576,63.0,47.0,2.0,2360.0,1821.0,1006.0,1.0,600.0,8.0,326.0,69.0,24.0,416.0,18.0,495.0,31.0,2029.0,152.0,492.0,1873.0,92.0,19.0,125.0,2776.0,17.0,446.0,6932.0,4780.0,745.0,88.0
2625,4.0,32.0,1.0,353.0,19905.0,1494.0,2.0,535.0,1964.0,409.0,6.0,8.0,16478.0,16635.0,5.0,12.0,572.0,315.0,287.0,484.0,112.0,891.0,95.0,715.0,256.0,255.0,953.0,385.0,970.0,4988.0
2674,0.0,47.0,175.0,4314.0,19941.0,12.0,9.0,799.0,114.0,5.0,12221.0,49.0,16488.0,642.0,681.0,843.0,407.0,67.0,1066.0,6499.0,15661.0,853.0,32.0,83.0,191.0,10675.0,5907.0,1327.0,15.0,56.0
2723,5.0,1.0,20.0,44.0,890.0,42.0,31.0,2131.0,115.0,12201.0,261.0,16629.0,16477.0,246.0,1194.0,165.0,325.0,1892.0,7632.0,240.0,145.0,1989.0,470.0,184.0,15286.0,10675.0,274.0,415.0,1031.0,724.0
2772,57.0,2444.0,20.0,153.0,19857.0,371.0,3.0,52.0,272.0,15.0,2361.0,122.0,10.0,16619.0,1813.0,1950.0,1425.0,63.0,484.0,35.0,155.0,16548.0,474.0,4206.0,305.0,18.0,375.0,2.0,126.0,741.0
2821,9.0,16892.0,115.0,2657.0,19883.0,82.0,42.0,53.0,246.0,12226.0,12228.0,540.0,36.0,118.0,26.0,1628.0,14406.0,3.0,912.0,1326.0,15628.0,16540.0,11773.0,424.0,16.0,69.0,6331.0,10.0,12025.0,5143.0
2870,1.0,112.0,20187.0,5054.0,19892.0,0.0,2126.0,210.0,15757.0,13.0,504.0,42.0,265.0,995.0,2226.0,16416.0,371.0,1431.0,7602.0,5655.0,15645.0,1354.0,9.0,95.0,559.0,712.0,822.0,43.0,103.0,886.0
2919,30.0,87.0,4.0,3397.0,2196.0,75.0,246.0,16362.0,15732.0,156.0,12225.0,361.0,195.0,16574.0,292.0,878.0,14414.0,16527.0,662.0,6674.0,15621.0,16571.0,872.0,938.0,15257.0,10627.0,5848.0,3880.0,55.0,6055.0
2968,7.0,123.0,2.0,5077.0,20.0,14.0,73.0,1211.0,898.0,119.0,0.0,16623.0,943.0,1147.0,312.0,16421.0,1453.0,12.0,2225.0,5714.0,15636.0,16552.0,11808.0,1624.0,1019.0,10650.0,6156.0,344.0,12014.0,670.0
3017,42.0,721.0,782.0,2.0,19867.0,16567.0,20124.0,1182.0,15760.0,23.0,68.0,1377.0,16464.0,16623.0,2336.0,714.0,34.0,324.0,262.0,78.0,5.0,80.0,4.0,2195.0,1399.0,10409.0,117.0,17.0,11771.0,1.0
3066,4016.0,0.0,46.0,1.0,33.0,1158.0,1027.0,32.0,6.0,7.0,2027.0,10.0,51.0,25.0,13302.0,803.0,34.0,13.0,743.0,909.0,15899.0,16626.0,4.0,349.0,752.0,10680.0,73.0,45.0,735.0,42.0
3115,23.0,0.0,397.0,30.0,5.0,1101.0,1636.0,469.0,15771.0,4.0,908.0,1365.0,200.0,6.0,2372.0,704.0,1457.0,114.0,262.0,5969.0,54.0,498.0,1333.0,7.0,1862.0,10618.0,465.0,2859.0,477.0,36.0
3164,43.0,925.0,20074.0,624.0,80.0,684.0,92.0,5.0,56.0,9.0,1953.0,278.0,134.0,16649.0,2063.0,326.0,1538.0,6.0,1929.0,147.0,686.0,167.0,13.0,2759.0,491.0,10687.0,6161.0,34.0,1647.0,49.0
3213,792.0,0.0,8.0,325.0,118.0,84.0,464.0,2342.0,36.0,39.0,12227.0,42.0,129.0,7.0,265.0,447.0,387.0,674.0,276.0,5988.0,71.0,463.0,1431.0,1635.0,416.0,10696.0,6190.0,233.0,12115.0,587.0
3262,1.0,0.0,11.0,62.0,9.0,12.0,265.0,2.0,185.0,247.0,78.0,14.0,18.0,2226.0,1046.0,8779.0,424.0,171.0,686.0,443.0,341.0,8348.0,36.0,1510.0,1121.0,4105.0,181.0,1769.0,10673.0,1834.0
3311,101.0,19.0,0.0,643.0,920.0,16559.0,20126.0,504.0,15779.0,115.0,656.0,676.0,907.0,249.0,13418.0,16461.0,11.0,16489.0,9399.0,1191.0,748.0,1077.0,118.0,3807.0,442.0,10741.0,3278.0,179.0,11943.0,276.0
3360,1100.0,0.0,344.0,652.0,6.0,830.0,257.0,195.0,15784.0,302.0,12256.0,159.0,608.0,49.0,2478.0,16442.0,1357.0,1385.0,7664.0,1216.0,1692.0,260.0,4.0,539.0,1236.0,10643.0,6185.0,1063.0,340.0,4322.0
3409,170.0,3.0,0.0,14.0,18.0,68.0,278.0,37.0,15803.0,12268.0,33.0,110.0,1157.0,59.0,1882.0,1995.0,1177.0,606.0,338.0,167.0,15666.0,16577.0,1270.0,4273.0,510.0,10690.0,6105.0,3932.0,12068.0,6718.0
3458,4.0,207.0,199.0,13.0,373.0,60.0,129.0,1278.0,350.0,12251.0,216.0,674.0,29.0,49.0,13338.0,16466.0,10.0,14.0,278.0,225.0,160.0,1650.0,11870.0,139.0,3.0,1428.0,363.0,3083.0,12137.0,4315.0
3507,258.0,26.0,42.0,5189.0,19952.0,2242.0,35.0,28.0,1.0,12259.0,443.0,471.0,746.0,646.0,1436.0,256.0,1105.0,244.0,17.0,16.0,15646.0,16583.0,11817.0,4.0,818.0,10644.0,6193.0,1386.0,1662.0,1030.0
3556,0.0,16.0,1.0,170.0,2499.0,49.0,20086.0,177.0,2.0,12261.0,809.0,303.0,148.0,399.0,2412.0,39.0,19.0,485.0,256.0,1613.0,15665.0,37.0,40.0,103.0,387.0,159.0,736.0,3667.0,21.0,1028.0
3605,1.0,4.0,11.0,20.0,19930.0,45.0,1535.0,3.0,374.0,12284.0,12240.0,39.0,2149.0,855.0,62.0,92.0,13.0,16622.0,7742.0,2153.0,33.0,16600.0,2477.0,3436.0,54.0,113.0,16.0,8.0,573.0,626.0
3654,104.0,1.0,1777.0,0.0,738.0,13.0,192.0,597.0,2356.0,258.0,12216.0,171.0,848.0,16618.0,387.0,102.0,858.0,122.0,7619.0,5688.0,5.0,584.0,11780.0,8.0,1512.0,249.0,134.0,20.0,168.0,4432.0
3703,15.0,2.0,88.0,1.0,1071.0,0.0,20145.0,44.0,131.0,13.0,70.0,5.0,2193.0,16631.0,614.0,128.0,621.0,294.0,36.0,73.0,439.0,856.0,11834.0,100.0,106.0,820.0,719.0,387.0,119.0,206.0
3752,52.0,16980.0,35.0,0.0,19912.0,1387.0,20214.0,4.0,486.0,12222.0,2.0,714.0,86.0,1539.0,137.0,16443.0,296.0,223.0,877.0,421.0,15674.0,658.0,11813.0,1015.0,34.0,10627.0,491.0,255.0,1364.0,4317.0
3801,218.0,27.0,107.0,225.0,125.0,1.0,591.0,0.0,15789.0,12192.0,4.0,729.0,698.0,583.0,5.0,223.0,14430.0,718.0,436.0,336.0,199.0,906.0,11814.0,266.0,148.0,158.0,6115.0,21.0,128.0,4289.0
3850,2.0,66.0,377.0,64.0,165.0,178.0,1812.0,80.0,15842.0,257.0,2340.0,119.0,1.0,1624.0,13437.0,16332.0,46.0,16520.0,1360.0,5995.0,35.0,701.0,11852.0,312.0,15295.0,10637.0,6187.0,0.0,39.0,4330.0
3899,9.0,1739.0,20193.0,103.0,100.0,0.0,1.0,16442.0,324.0,216.0,2.0,21.0,77.0,782.0,481.0,266.0,1096.0,202.0,190.0,924.0,228.0,305.0,2144.0,674.0,936.0,10594.0,578.0,79.0,1023.0,4427.0
3948,3.0,1896.0,26.0,94.0,645.0,1593.0,20147.0,0.0,104.0,1004.0,924.0,19.0,16444.0,1311.0,13370.0,57.0,45.0,16466.0,415.0,75.0,648.0,363.0,8005.0,28.0,460.0,11185.0,6358.0,3920.0,1122.0,5481.0
3997,54.0,1401.0,520.0,5065.0,19923.0,33.0,0.0,20.0,141.0,12206.0,26.0,1201.0,16465.0,11.0,13398.0,144.0,14434.0,16490.0,2.0,5734.0,52.0,5.0,59.0,1327.0,15261.0,10605.0,6100.0,3391.0,712.0,616.0
4046,3849.0,176.0,48.0,0.0,41.0,760.0,180.0,163.0,2343.0,20.0,28.0,6.0,7766.0,432.0,864.0,21.0,71.0,1076.0,182.0,1933.0,16666.0,4.0,12248.0,4511.0,169.0,3169.0,6417.0,113.0,10632.0,1054.0
4095,32.0,1268.0,20127.0,30.0,19859.0,16556.0,68.0,0.0,15762.0,138.0,514.0,888.0,16461.0,16619.0,313.0,266.0,21.0,356.0,288.0,5730.0,768.0,2.0,11808.0,1078.0,1057.0,255.0,311.0,240.0,12008.0,72.0
4144,6.0,256.0,20188.0,5010.0,27.0,16555.0,116.0,4.0,86.0,12198.0,46.0,419.0,16479.0,109.0,13422.0,16456.0,611.0,16490.0,43.0,1185.0,260.0,869.0,49.0,3226.0,617.0,309.0,658.0,16.0,447.0,400.0
4193,0.0,8.0,21022.0,12.0,20631.0,977.0,14.0,1.0,2.0,87.0,477.0,140.0,7766.0,1968.0,2007.0,131.0,604.0,392.0,78.0,2244.0,16719.0,595.0,12181.0,929.0,15247.0,3236.0,6361.0,375.0,81.0,429.0
4242,0.0,62.0,2401.0,500.0,19939.0,576.0,202.0,117.0,15764.0,45.0,301.0,944.0,229.0,16630.0,13435.0,1359.0,155.0,763.0,813.0,1139.0,193.0,602.0,11828.0,916.0,713.0,10662.0,6103.0,3460.0,1813.0,5428.0
4291,1907.0,1.0,364.0,299.0,19911.0,406.0,5.0,39.0,15779.0,58.0,2337.0,40.0,1465.0,456.0,1035.0,46.0,2389.0,863.0,643.0,396.0,15665.0,8.0,11839.0,493.0,1295.0,553.0,6087.0,84.0,12038.0,886.0
4340,0.0,174.0,20193.0,247.0,19928.0,46.0,213.0,16465.0,732.0,42.0,8.0,67.0,130.0,1604.0,62.0,16453.0,1195.0,1856.0,29.0,6317.0,136.0,16578.0,8619.0,156.0,15532.0,11375.0,163.0,882.0,12542.0,5508.0
4389,1213.0,10.0,7.0,4.0,19932.0,122.0,39.0,46.0,2269.0,55.0,12226.0,16596.0,403.0,16638.0,13387.0,118.0,0.0,647.0,1561.0,1260.0,345.0,471.0,626.0,776.0,124.0,10652.0,6377.0,964.0,158.0,1019.0
4438,13.0,16966.0,11.0,2.0,12.0,0.0,20193.0,284.0,45.0,48.0,12208.0,1257.0,16476.0,416.0,13437.0,16447.0,1675.0,16497.0,254.0,34.0,296.0,1310.0,40.0,24.0,656.0,4.0,6151.0,3448.0,12095.0,4271.0
4487,4.0,16943.0,88.0,204.0,19844.0,16552.0,169.0,16360.0,327.0,3.0,2246.0,522.0,1676.0,90.0,578.0,1.0,127.0,16530.0,847.0,41.0,584.0,16567.0,91.0,775.0,2166.0,121.0,385.0,2258.0,12019.0,103.0
4536,3538.0,7.0,12.0,18.0,6.0,10.0,136.0,27.0,38.0,51.0,254.0,914.0,571.0,9.0,13380.0,0.0,5.0,16480.0,931.0,15.0,1785.0,1104.0,13.0,4052.0,1174.0,37.0,48.0,4036.0,12001.0,4402.0
4585,135.0,106.0,9.0,138.0,3.0,151.0,1411.0,86.0,764.0,115.0,117.0,218.0,15.0,1.0,983.0,702.0,363.0,87.0,9964.0,2351.0,15671.0,51.0,8352.0,4637.0,945.0,0.0,290.0,10910.0,162.0,4897.0
4634,227.0,16900.0,162.0,3.0,19861.0,16551.0,302.0,78.0,178.0,12254.0,12236.0,890.0,16458.0,45.0,563.0,23.0,14413.0,1032.0,7586.0,731.0,108.0,16545.0,21.0,100.0,854.0,7.0,6062.0,192.0,12047.0,799.0
4683,641.0,86.0,11.0,0.0,97.0,1878.0,2320.0,2204.0,5.0,139.0,4.0,145.0,6.0,1.0,579.0,1061.0,1019.0,940.0,7796.0,1537.0,20529.0,354.0,95.0,67.0,36.0,412.0,6961.0,4969.0,190.0,867.0
4732,1002.0,0.0,10.0,3.0,19940.0,1363.0,20204.0,21.0,73.0,436.0,116.0,16634.0,218.0,4.0,2383.0,239.0,20.0,2252.0,1712.0,5731.0,15648.0,250.0,1.0,419.0,52.0,109.0,30.0,192.0,12105.0,106.0
4781,24.0,16964.0,20201.0,866.0,641.0,118.0,1071.0,232.0,20.0,15.0,256.0,2294.0,1525.0,0.0,879.0,438.0,208.0,16494.0,110.0,6660.0,1086.0,184.0,16.0,1262.0,1509.0,10636.0,1310.0,3910.0,12075.0,224.0
4830,2902.0,2.0,121.0,4992.0,19918.0,36.0,20133.0,16378.0,491.0,241.0,64.0,16615.0,358.0,92.0,648.0,1681.0,14407.0,539.0,940.0,5684.0,676.0,16546.0,763.0,2097.0,15259.0,482.0,1855.0,57.0,12071.0,4340.0
