,MSH6,GAPDH,HSP70,P-Cadherin,Porin,Rb_pS807_S811,PI3K-p85,Cyclin_D1,Gab2,Bcl-2,AR,C-Raf_pS338,Claudin-7,FoxM1,Chk1_pS345,ADAR1,CDK1,Cyclin_E2,Rb,Caspase-7_cleavedD198,TIGAR,p90RSK_pT573,Chk2,CD31,TSC1,Beclin,PKC-alpha,Syk,GSK-3-BETA,RAD51
1081,1.0,14.0,4.0,2.0,8.0,18.0,25.0,28.0,0.0,95.0,15.0,6.0,33.0,5.0,29.0,19.0,22.0,21.0,79.0,7.0,3.0,10.0,35.0,24.0,31.0,16.0,32.0,13.0,126.0,9.0
1130,6.0,1.0,5.0,9.0,10.0,4.0,14.0,18.0,15.0,19.0,13.0,2.0,12.0,11.0,32.0,16.0,7.0,24.0,72.0,33.0,3.0,8.0,22.0,28.0,52.0,25.0,20.0,23.0,39.0,21.0
1179,6.0,15.0,18.0,27.0,30.0,8.0,0.0,24.0,28.0,26.0,22.0,16.0,93.0,2.0,29.0,12.0,17.0,11.0,37.0,19.0,3.0,25.0,95.0,21.0,60.0,40.0,5.0,9.0,122.0,23.0
1228,0.0,1.0,18.0,7.0,26.0,13.0,12.0,10.0,35.0,14.0,16.0,9.0,20.0,3.0,34.0,4.0,5.0,2.0,75.0,38.0,27.0,15.0,8.0,23.0,24.0,29.0,82.0,11.0,19.0,25.0
1277,0.0,8.0,1.0,3.0,13.0,4.0,25.0,10.0,11.0,28.0,12.0,2.0,32.0,14.0,31.0,23.0,17.0,6.0,30.0,16.0,7.0,39.0,19.0,15.0,60.0,26.0,22.0,29.0,121.0,20.0
1326,0.0,5.0,23.0,3.0,12.0,14.0,4.0,6.0,7.0,21.0,11.0,2.0,15.0,32.0,111.0,16.0,24.0,10.0,45.0,34.0,17.0,28.0,18.0,13.0,26.0,31.0,30.0,27.0,114.0,25.0
1375,0.0,10.0,12.0,1.0,6.0,3.0,16.0,8.0,5.0,32.0,90.0,21.0,31.0,2.0,23.0,26.0,17.0,13.0,67.0,34.0,28.0,24.0,88.0,15.0,57.0,25.0,7.0,19.0,118.0,11.0
1424,0.0,3.0,11.0,2.0,8.0,5.0,13.0,6.0,15.0,18.0,85.0,21.0,17.0,9.0,22.0,1.0,16.0,23.0,35.0,91.0,7.0,29.0,87.0,10.0,27.0,24.0,28.0,20.0,119.0,25.0
1473,2.0,3.0,10.0,9.0,14.0,4.0,1.0,12.0,0.0,11.0,100.0,5.0,17.0,16.0,37.0,8.0,15.0,116.0,25.0,86.0,7.0,6.0,30.0,27.0,20.0,13.0,18.0,33.0,36.0,63.0
1522,1.0,15.0,2.0,13.0,14.0,11.0,4.0,5.0,0.0,18.0,10.0,6.0,16.0,116.0,96.0,21.0,85.0,128.0,12.0,32.0,33.0,17.0,20.0,23.0,58.0,9.0,77.0,27.0,24.0,70.0
1571,0.0,10.0,12.0,23.0,6.0,7.0,1.0,9.0,5.0,19.0,8.0,2.0,4.0,16.0,93.0,29.0,24.0,85.0,22.0,28.0,13.0,17.0,92.0,20.0,27.0,3.0,71.0,11.0,120.0,37.0
1620,0.0,9.0,5.0,10.0,19.0,21.0,2.0,3.0,1.0,27.0,11.0,6.0,7.0,26.0,32.0,4.0,35.0,113.0,22.0,92.0,17.0,14.0,15.0,91.0,24.0,18.0,16.0,30.0,37.0,78.0
1669,4.0,28.0,8.0,16.0,75.0,2.0,0.0,6.0,5.0,10.0,9.0,7.0,126.0,20.0,13.0,1.0,12.0,14.0,3.0,85.0,11.0,17.0,29.0,108.0,30.0,22.0,26.0,57.0,31.0,23.0
1718,0.0,8.0,2.0,4.0,15.0,14.0,3.0,11.0,1.0,13.0,6.0,5.0,27.0,12.0,127.0,101.0,10.0,32.0,67.0,82.0,16.0,9.0,26.0,94.0,56.0,24.0,17.0,21.0,18.0,69.0
1767,2.0,4.0,9.0,7.0,6.0,25.0,0.0,1.0,3.0,32.0,16.0,12.0,27.0,22.0,85.0,5.0,18.0,28.0,15.0,33.0,10.0,11.0,84.0,19.0,31.0,20.0,14.0,17.0,26.0,71.0
1816,0.0,4.0,6.0,9.0,8.0,21.0,3.0,1.0,5.0,16.0,10.0,2.0,7.0,126.0,27.0,14.0,23.0,26.0,19.0,32.0,18.0,11.0,84.0,87.0,57.0,15.0,20.0,28.0,123.0,33.0
