,niacinamide,C56:5 TAG,GABA,beta-alanine,C18:0 LPE,isocitrate,adenosine,pantothenate,serotonin,alpha-glycerophosphocholine,C34:2 DAG,putrescine,alpha-glycerophosphate,DHAP/glyceraldehyde 3P,glutamine,UMP,C18:0 LPC,inositol,C36:4 PC-B,cystathionine,cis/trans-hydroxyproline,phosphocreatine,C22:6 LPE,C34:4 PC,malondialdehyde,2-deoxycytidine,oxalate,valerylcarnitine,acetylcholine,alpha-hydroxybutyrate
1198,3.0,0.0,1.0,7.0,9.0,6.0,4.0,27.0,2.0,5.0,8.0,25.0,11.0,13.0,26.0,20.0,14.0,33.0,15.0,21.0,24.0,17.0,10.0,23.0,37.0,22.0,45.0,36.0,32.0,42.0
1247,2.0,1.0,0.0,3.0,4.0,9.0,15.0,8.0,10.0,5.0,11.0,19.0,7.0,18.0,38.0,20.0,6.0,46.0,34.0,29.0,31.0,13.0,14.0,28.0,17.0,23.0,44.0,12.0,27.0,26.0
1296,2.0,0.0,1.0,5.0,3.0,7.0,13.0,16.0,11.0,4.0,6.0,18.0,8.0,30.0,27.0,21.0,17.0,25.0,26.0,19.0,15.0,29.0,10.0,33.0,34.0,23.0,22.0,9.0,24.0,41.0
1345,1.0,0.0,2.0,7.0,3.0,9.0,16.0,23.0,4.0,13.0,5.0,8.0,17.0,11.0,6.0,24.0,22.0,37.0,38.0,15.0,19.0,26.0,10.0,33.0,12.0,21.0,20.0,14.0,28.0,35.0
1394,2.0,0.0,1.0,3.0,5.0,8.0,13.0,7.0,12.0,4.0,6.0,19.0,17.0,27.0,10.0,11.0,16.0,14.0,26.0,20.0,31.0,18.0,9.0,40.0,15.0,22.0,32.0,25.0,30.0,38.0
1443,2.0,0.0,1.0,4.0,3.0,5.0,19.0,8.0,13.0,14.0,6.0,7.0,16.0,38.0,9.0,15.0,10.0,36.0,25.0,20.0,21.0,12.0,11.0,27.0,23.0,34.0,31.0,37.0,18.0,17.0
1492,1.0,2.0,0.0,14.0,33.0,26.0,24.0,11.0,8.0,3.0,34.0,12.0,5.0,22.0,39.0,6.0,13.0,35.0,10.0,17.0,36.0,18.0,38.0,23.0,59.0,43.0,28.0,4.0,40.0,9.0
1541,1.0,4.0,0.0,7.0,10.0,26.0,9.0,3.0,2.0,8.0,15.0,18.0,14.0,20.0,36.0,6.0,11.0,17.0,13.0,19.0,30.0,16.0,40.0,31.0,38.0,24.0,25.0,27.0,22.0,5.0
1590,1.0,2.0,0.0,5.0,9.0,11.0,4.0,8.0,10.0,3.0,25.0,16.0,15.0,6.0,24.0,12.0,41.0,43.0,13.0,22.0,19.0,31.0,7.0,51.0,26.0,33.0,27.0,20.0,30.0,18.0
1639,3.0,2.0,0.0,14.0,8.0,6.0,9.0,7.0,10.0,1.0,17.0,33.0,12.0,4.0,28.0,11.0,21.0,25.0,22.0,5.0,19.0,23.0,34.0,41.0,32.0,18.0,20.0,27.0,31.0,16.0
1688,0.0,1.0,3.0,21.0,15.0,4.0,10.0,6.0,2.0,14.0,20.0,17.0,22.0,9.0,19.0,11.0,23.0,28.0,8.0,13.0,42.0,5.0,12.0,47.0,38.0,24.0,18.0,7.0,16.0,37.0
1737,1.0,0.0,2.0,4.0,17.0,9.0,5.0,7.0,21.0,3.0,27.0,16.0,26.0,13.0,18.0,12.0,11.0,20.0,6.0,15.0,14.0,33.0,30.0,40.0,44.0,37.0,31.0,8.0,48.0,19.0
1786,2.0,0.0,1.0,3.0,6.0,16.0,15.0,14.0,5.0,8.0,43.0,20.0,25.0,4.0,21.0,11.0,18.0,40.0,9.0,19.0,26.0,17.0,44.0,29.0,53.0,28.0,7.0,24.0,13.0,10.0
1835,2.0,0.0,1.0,5.0,4.0,6.0,9.0,7.0,13.0,3.0,38.0,16.0,17.0,8.0,15.0,12.0,29.0,23.0,10.0,14.0,19.0,18.0,22.0,35.0,33.0,28.0,24.0,11.0,21.0,25.0
1884,2.0,1.0,0.0,4.0,11.0,8.0,22.0,9.0,5.0,3.0,29.0,15.0,23.0,6.0,21.0,10.0,13.0,14.0,16.0,17.0,44.0,12.0,20.0,36.0,42.0,28.0,34.0,24.0,18.0,7.0
1933,1.0,3.0,0.0,19.0,10.0,24.0,12.0,4.0,2.0,5.0,30.0,33.0,25.0,9.0,18.0,11.0,20.0,26.0,14.0,7.0,32.0,8.0,48.0,31.0,46.0,16.0,21.0,17.0,27.0,13.0
1982,4.0,1.0,0.0,12.0,19.0,5.0,15.0,7.0,3.0,20.0,6.0,2.0,9.0,29.0,13.0,14.0,25.0,16.0,43.0,22.0,27.0,18.0,46.0,10.0,26.0,39.0,28.0,32.0,21.0,24.0
2031,2.0,0.0,1.0,13.0,5.0,26.0,17.0,11.0,3.0,9.0,4.0,7.0,6.0,20.0,12.0,32.0,10.0,40.0,47.0,34.0,31.0,22.0,16.0,25.0,19.0,36.0,33.0,8.0,14.0,15.0
2080,3.0,0.0,6.0,2.0,4.0,10.0,15.0,12.0,5.0,9.0,1.0,21.0,19.0,14.0,8.0,17.0,16.0,7.0,36.0,22.0,11.0,24.0,18.0,52.0,23.0,25.0,13.0,62.0,26.0,42.0
2129,4.0,0.0,2.0,25.0,1.0,5.0,22.0,6.0,3.0,10.0,8.0,14.0,13.0,12.0,17.0,16.0,19.0,33.0,38.0,11.0,9.0,24.0,15.0,31.0,28.0,23.0,40.0,21.0,7.0,29.0
2178,5.0,1.0,0.0,23.0,3.0,4.0,7.0,17.0,6.0,15.0,9.0,2.0,28.0,26.0,8.0,10.0,11.0,13.0,33.0,18.0,14.0,20.0,16.0,12.0,44.0,32.0,39.0,40.0,21.0,25.0
2227,2.0,1.0,0.0,8.0,27.0,5.0,4.0,9.0,23.0,12.0,6.0,3.0,13.0,25.0,17.0,7.0,26.0,21.0,31.0,11.0,10.0,20.0,34.0,29.0,28.0,30.0,40.0,48.0,22.0,15.0
2276,2.0,0.0,1.0,5.0,9.0,4.0,14.0,11.0,10.0,7.0,6.0,12.0,3.0,27.0,13.0,16.0,17.0,25.0,30.0,19.0,8.0,26.0,15.0,31.0,22.0,35.0,34.0,32.0,24.0,23.0
2325,1.0,0.0,2.0,11.0,6.0,12.0,8.0,5.0,7.0,3.0,10.0,13.0,4.0,23.0,18.0,21.0,17.0,25.0,34.0,31.0,9.0,26.0,14.0,30.0,37.0,29.0,22.0,36.0,24.0,27.0
2374,1.0,0.0,3.0,8.0,2.0,13.0,4.0,7.0,6.0,10.0,5.0,12.0,11.0,16.0,14.0,18.0,19.0,22.0,30.0,35.0,23.0,27.0,9.0,44.0,28.0,34.0,32.0,38.0,37.0,21.0
2423,0.0,1.0,2.0,18.0,13.0,9.0,6.0,4.0,5.0,12.0,3.0,10.0,11.0,25.0,16.0,20.0,22.0,7.0,44.0,14.0,19.0,24.0,31.0,21.0,38.0,32.0,34.0,43.0,42.0,27.0
2472,2.0,1.0,3.0,4.0,0.0,11.0,20.0,5.0,7.0,12.0,29.0,13.0,15.0,24.0,19.0,22.0,21.0,8.0,27.0,17.0,31.0,14.0,26.0,16.0,10.0,35.0,32.0,47.0,9.0,18.0
2521,0.0,2.0,5.0,16.0,1.0,6.0,7.0,3.0,4.0,9.0,22.0,23.0,8.0,27.0,12.0,14.0,11.0,13.0,29.0,18.0,15.0,24.0,39.0,17.0,10.0,26.0,25.0,47.0,30.0,35.0
2570,0.0,3.0,1.0,7.0,2.0,4.0,14.0,6.0,18.0,21.0,35.0,13.0,23.0,8.0,9.0,19.0,33.0,5.0,26.0,17.0,20.0,24.0,48.0,10.0,15.0,16.0,34.0,36.0,12.0,30.0
2619,0.0,1.0,3.0,4.0,2.0,5.0,7.0,27.0,19.0,6.0,26.0,20.0,9.0,8.0,16.0,23.0,21.0,17.0,15.0,13.0,22.0,29.0,32.0,11.0,18.0,12.0,52.0,61.0,33.0,42.0
2668,3.0,1.0,5.0,6.0,4.0,2.0,16.0,11.0,0.0,7.0,27.0,28.0,9.0,8.0,12.0,14.0,29.0,25.0,17.0,26.0,35.0,10.0,13.0,15.0,32.0,20.0,31.0,53.0,19.0,54.0
2717,0.0,1.0,3.0,4.0,6.0,27.0,16.0,9.0,5.0,2.0,24.0,32.0,18.0,10.0,15.0,21.0,22.0,7.0,11.0,8.0,25.0,19.0,48.0,23.0,12.0,14.0,38.0,30.0,13.0,29.0
2766,1.0,0.0,2.0,11.0,3.0,16.0,24.0,10.0,8.0,4.0,7.0,29.0,5.0,9.0,32.0,47.0,21.0,22.0,34.0,6.0,25.0,35.0,40.0,13.0,18.0,19.0,28.0,38.0,12.0,30.0
