,Rb,Chk1,p27_pT157,PRDX1,p21,Rab25,Beclin,Bcl-2,p38_pT180_Y182,Rb_pS807_S811,JNK_pT183_Y185,PI3K-p85,p27,RAD51,SHP-2_pY542,VAV1,Lck,SETD2,GSK-3-BETA,HER2_pY1248,GAPDH,Smac,Bax,PTEN,eEF2K,GATA3,Syk,PDCD4,HSP70,Cyclin_D1
983,0.0,2.0,7.0,10.0,17.0,4.0,6.0,11.0,16.0,77.0,23.0,9.0,12.0,13.0,26.0,22.0,24.0,20.0,119.0,8.0,117.0,15.0,91.0,27.0,14.0,1.0,30.0,70.0,3.0,18.0
1032,0.0,7.0,2.0,8.0,1.0,5.0,4.0,19.0,24.0,68.0,79.0,15.0,11.0,13.0,12.0,23.0,16.0,17.0,111.0,6.0,9.0,14.0,90.0,26.0,122.0,112.0,20.0,18.0,3.0,22.0
1081,4.0,6.0,0.0,8.0,2.0,1.0,10.0,33.0,9.0,11.0,47.0,16.0,31.0,3.0,43.0,14.0,46.0,63.0,23.0,5.0,17.0,21.0,76.0,7.0,18.0,22.0,77.0,56.0,12.0,13.0
1130,10.0,1.0,0.0,3.0,5.0,13.0,2.0,34.0,12.0,16.0,14.0,9.0,7.0,24.0,77.0,19.0,25.0,35.0,29.0,4.0,17.0,30.0,92.0,67.0,32.0,8.0,27.0,11.0,6.0,118.0
1179,1.0,4.0,5.0,15.0,2.0,0.0,12.0,30.0,8.0,31.0,20.0,23.0,14.0,10.0,33.0,3.0,27.0,6.0,126.0,11.0,127.0,26.0,86.0,25.0,109.0,13.0,71.0,19.0,17.0,9.0
1228,1.0,2.0,0.0,9.0,5.0,10.0,6.0,35.0,4.0,28.0,14.0,24.0,16.0,18.0,109.0,25.0,15.0,7.0,29.0,3.0,19.0,22.0,89.0,11.0,27.0,12.0,93.0,58.0,8.0,26.0
1277,1.0,2.0,0.0,26.0,15.0,7.0,14.0,25.0,12.0,20.0,82.0,22.0,10.0,9.0,11.0,23.0,35.0,6.0,128.0,18.0,30.0,19.0,91.0,21.0,13.0,17.0,60.0,28.0,4.0,8.0
1326,1.0,0.0,3.0,6.0,4.0,9.0,2.0,90.0,35.0,31.0,79.0,10.0,5.0,8.0,62.0,27.0,15.0,7.0,123.0,14.0,122.0,11.0,91.0,18.0,22.0,20.0,24.0,19.0,13.0,121.0
1375,0.0,11.0,1.0,7.0,4.0,13.0,3.0,8.0,16.0,17.0,31.0,21.0,15.0,24.0,25.0,18.0,10.0,9.0,112.0,5.0,113.0,6.0,95.0,12.0,124.0,26.0,32.0,27.0,2.0,28.0
1424,2.0,4.0,0.0,18.0,1.0,8.0,3.0,29.0,7.0,5.0,17.0,15.0,11.0,10.0,70.0,23.0,21.0,26.0,110.0,12.0,19.0,9.0,87.0,61.0,112.0,13.0,28.0,65.0,6.0,25.0
1473,0.0,2.0,8.0,1.0,6.0,9.0,19.0,4.0,15.0,11.0,14.0,7.0,10.0,17.0,3.0,36.0,18.0,24.0,34.0,25.0,20.0,22.0,31.0,35.0,21.0,129.0,63.0,13.0,28.0,16.0
1522,0.0,1.0,7.0,3.0,8.0,9.0,2.0,27.0,11.0,5.0,12.0,19.0,6.0,15.0,34.0,22.0,16.0,77.0,25.0,17.0,24.0,21.0,18.0,4.0,14.0,120.0,31.0,10.0,87.0,121.0
1571,0.0,5.0,4.0,6.0,9.0,13.0,2.0,26.0,1.0,15.0,11.0,29.0,3.0,22.0,18.0,12.0,7.0,19.0,104.0,24.0,23.0,16.0,21.0,8.0,20.0,106.0,45.0,25.0,46.0,10.0
1620,0.0,7.0,6.0,9.0,4.0,2.0,1.0,8.0,10.0,3.0,16.0,12.0,22.0,11.0,19.0,45.0,5.0,23.0,29.0,78.0,27.0,13.0,88.0,15.0,25.0,120.0,24.0,20.0,32.0,14.0
1669,0.0,3.0,1.0,5.0,7.0,13.0,11.0,8.0,6.0,14.0,4.0,26.0,2.0,17.0,12.0,44.0,16.0,19.0,15.0,25.0,20.0,24.0,18.0,30.0,120.0,118.0,9.0,23.0,77.0,10.0
1718,0.0,1.0,5.0,14.0,3.0,7.0,2.0,18.0,8.0,4.0,10.0,31.0,13.0,12.0,66.0,15.0,9.0,6.0,21.0,27.0,11.0,26.0,28.0,72.0,34.0,19.0,58.0,22.0,36.0,17.0
1767,0.0,2.0,3.0,6.0,14.0,20.0,13.0,91.0,7.0,1.0,4.0,25.0,5.0,19.0,17.0,29.0,11.0,12.0,28.0,15.0,34.0,8.0,9.0,10.0,22.0,26.0,21.0,71.0,27.0,24.0
