,Caveolin-1,PAI-1,Paxillin,4E-BP1_pS65,Akt,p27,ADAR1,Cyclin_D1,Collagen_VI,p27_pT157,PTEN,p62 Lck ligand,Rb,Akt_pS473,MAPK_pT202_Y204,Rb_pS807_S811,VEGFR2,Bax,NF2,PEA15,ACC1,RSK1-2-3,beta-Catenin,PDCD4,RAD51,Annexin_VII,MDM2_pS166,E-Cadherin,N-Cadherin,CD31
2063,93.0,76.0,2.0,47.0,63.0,79.0,55.0,48.0,33.0,19.0,39.0,163.0,24.0,22.0,8.0,43.0,105.0,28.0,51.0,70.0,89.0,81.0,57.0,6.0,61.0,37.0,65.0,30.0,87.0,17.0
2112,12.0,144.0,16.0,9.0,30.0,150.0,135.0,20.0,42.0,53.0,36.0,147.0,28.0,24.0,50.0,75.0,3.0,71.0,77.0,46.0,136.0,57.0,69.0,26.0,15.0,39.0,86.0,5.0,54.0,14.0
2161,6.0,11.0,0.0,23.0,70.0,30.0,17.0,24.0,19.0,163.0,66.0,2.0,5.0,22.0,33.0,8.0,38.0,67.0,29.0,73.0,26.0,120.0,35.0,7.0,36.0,20.0,14.0,45.0,88.0,80.0
2210,142.0,150.0,149.0,2.0,50.0,27.0,25.0,6.0,69.0,39.0,31.0,22.0,15.0,116.0,51.0,26.0,17.0,64.0,95.0,49.0,91.0,60.0,32.0,83.0,19.0,111.0,41.0,62.0,82.0,58.0
2259,9.0,150.0,89.0,47.0,41.0,82.0,63.0,70.0,29.0,19.0,26.0,22.0,34.0,57.0,90.0,46.0,12.0,86.0,39.0,62.0,37.0,72.0,112.0,74.0,49.0,106.0,73.0,17.0,61.0,32.0
2308,161.0,56.0,159.0,7.0,57.0,48.0,65.0,4.0,74.0,71.0,72.0,33.0,35.0,118.0,6.0,101.0,8.0,107.0,145.0,64.0,36.0,110.0,45.0,158.0,11.0,121.0,77.0,98.0,52.0,47.0
2357,2.0,0.0,15.0,121.0,24.0,17.0,16.0,20.0,40.0,18.0,43.0,70.0,42.0,12.0,6.0,116.0,61.0,13.0,96.0,38.0,52.0,41.0,45.0,39.0,65.0,115.0,1.0,77.0,37.0,46.0
2406,85.0,36.0,48.0,5.0,46.0,27.0,50.0,44.0,37.0,60.0,49.0,162.0,7.0,11.0,139.0,69.0,8.0,102.0,86.0,154.0,89.0,76.0,12.0,43.0,21.0,14.0,80.0,54.0,24.0,28.0
2455,21.0,142.0,0.0,13.0,23.0,75.0,10.0,30.0,40.0,146.0,7.0,5.0,76.0,3.0,36.0,82.0,51.0,4.0,150.0,114.0,38.0,27.0,44.0,16.0,62.0,24.0,55.0,81.0,6.0,122.0
2504,101.0,16.0,0.0,13.0,24.0,12.0,19.0,30.0,28.0,18.0,35.0,7.0,103.0,2.0,27.0,74.0,46.0,9.0,161.0,44.0,159.0,37.0,33.0,68.0,51.0,5.0,129.0,96.0,17.0,55.0
2553,0.0,7.0,1.0,5.0,22.0,25.0,18.0,62.0,26.0,6.0,59.0,3.0,52.0,19.0,35.0,135.0,37.0,55.0,163.0,63.0,67.0,89.0,108.0,144.0,49.0,38.0,50.0,73.0,44.0,87.0
2602,1.0,85.0,0.0,38.0,9.0,11.0,41.0,27.0,40.0,34.0,35.0,13.0,133.0,16.0,74.0,163.0,51.0,54.0,45.0,93.0,84.0,114.0,104.0,23.0,57.0,89.0,164.0,91.0,50.0,39.0
2651,16.0,4.0,2.0,21.0,14.0,95.0,26.0,132.0,22.0,0.0,53.0,7.0,10.0,32.0,3.0,97.0,66.0,28.0,160.0,60.0,43.0,34.0,11.0,19.0,47.0,52.0,35.0,1.0,18.0,54.0
2700,1.0,30.0,0.0,11.0,14.0,25.0,20.0,62.0,42.0,37.0,70.0,84.0,160.0,19.0,55.0,65.0,40.0,24.0,29.0,32.0,54.0,52.0,99.0,28.0,48.0,61.0,43.0,162.0,73.0,45.0
2749,17.0,143.0,0.0,12.0,56.0,19.0,29.0,32.0,28.0,147.0,22.0,5.0,53.0,13.0,93.0,52.0,30.0,20.0,26.0,95.0,88.0,10.0,77.0,3.0,45.0,31.0,44.0,4.0,96.0,68.0
2798,16.0,75.0,0.0,39.0,21.0,139.0,40.0,81.0,37.0,1.0,25.0,12.0,137.0,4.0,28.0,24.0,35.0,3.0,49.0,147.0,101.0,22.0,58.0,145.0,69.0,96.0,97.0,153.0,86.0,102.0
2847,21.0,146.0,0.0,5.0,24.0,98.0,10.0,14.0,12.0,3.0,77.0,2.0,34.0,1.0,26.0,61.0,41.0,13.0,37.0,29.0,79.0,18.0,54.0,30.0,45.0,89.0,83.0,103.0,11.0,87.0
2896,36.0,39.0,0.0,31.0,32.0,147.0,58.0,15.0,22.0,146.0,29.0,7.0,14.0,19.0,75.0,21.0,44.0,51.0,9.0,10.0,85.0,20.0,125.0,141.0,83.0,52.0,155.0,13.0,152.0,77.0
2945,3.0,1.0,57.0,6.0,43.0,33.0,16.0,8.0,26.0,27.0,41.0,42.0,38.0,120.0,19.0,20.0,88.0,45.0,55.0,157.0,29.0,79.0,74.0,160.0,64.0,36.0,10.0,9.0,65.0,53.0
2994,0.0,23.0,63.0,16.0,40.0,1.0,27.0,24.0,26.0,15.0,6.0,138.0,37.0,11.0,51.0,161.0,4.0,92.0,28.0,93.0,129.0,68.0,58.0,10.0,66.0,61.0,145.0,46.0,36.0,8.0
3043,0.0,85.0,15.0,60.0,31.0,1.0,22.0,42.0,38.0,11.0,35.0,20.0,66.0,124.0,34.0,13.0,101.0,50.0,41.0,5.0,21.0,78.0,39.0,145.0,80.0,18.0,160.0,55.0,58.0,128.0
3092,129.0,0.0,36.0,15.0,26.0,130.0,28.0,156.0,22.0,21.0,73.0,146.0,62.0,118.0,141.0,48.0,14.0,1.0,18.0,6.0,52.0,66.0,42.0,159.0,76.0,59.0,17.0,56.0,77.0,20.0
3141,75.0,44.0,34.0,63.0,17.0,151.0,61.0,14.0,28.0,71.0,37.0,49.0,53.0,7.0,157.0,21.0,31.0,42.0,67.0,57.0,91.0,58.0,24.0,39.0,77.0,79.0,105.0,98.0,52.0,10.0
3190,0.0,17.0,150.0,5.0,10.0,26.0,30.0,11.0,34.0,16.0,55.0,1.0,48.0,25.0,159.0,113.0,57.0,69.0,52.0,66.0,9.0,77.0,49.0,149.0,79.0,61.0,59.0,41.0,90.0,13.0
3239,128.0,14.0,0.0,26.0,30.0,72.0,19.0,20.0,25.0,32.0,18.0,42.0,78.0,24.0,156.0,45.0,49.0,44.0,68.0,2.0,8.0,51.0,75.0,56.0,47.0,85.0,155.0,35.0,59.0,21.0
3288,0.0,4.0,26.0,7.0,15.0,148.0,20.0,8.0,22.0,24.0,105.0,30.0,58.0,133.0,81.0,27.0,47.0,130.0,71.0,117.0,67.0,69.0,83.0,29.0,80.0,49.0,153.0,66.0,50.0,122.0
3337,139.0,5.0,146.0,10.0,6.0,137.0,111.0,19.0,28.0,12.0,67.0,40.0,14.0,24.0,41.0,17.0,35.0,21.0,42.0,162.0,89.0,90.0,152.0,147.0,59.0,61.0,4.0,46.0,13.0,75.0
3386,4.0,0.0,36.0,83.0,26.0,8.0,62.0,79.0,41.0,14.0,20.0,24.0,11.0,130.0,23.0,69.0,76.0,52.0,15.0,43.0,90.0,72.0,61.0,45.0,66.0,67.0,92.0,81.0,139.0,65.0
3435,0.0,4.0,8.0,16.0,13.0,17.0,9.0,40.0,64.0,133.0,36.0,74.0,19.0,80.0,1.0,37.0,21.0,50.0,49.0,79.0,7.0,41.0,96.0,161.0,59.0,122.0,54.0,52.0,27.0,55.0
3484,0.0,2.0,11.0,8.0,14.0,1.0,103.0,61.0,56.0,94.0,58.0,36.0,73.0,57.0,43.0,50.0,6.0,21.0,160.0,45.0,107.0,80.0,156.0,82.0,24.0,143.0,46.0,38.0,60.0,40.0
3533,1.0,38.0,48.0,25.0,19.0,10.0,79.0,15.0,35.0,145.0,22.0,36.0,24.0,42.0,0.0,9.0,13.0,128.0,70.0,139.0,3.0,65.0,124.0,116.0,29.0,131.0,52.0,27.0,18.0,56.0
3582,1.0,0.0,101.0,38.0,11.0,18.0,139.0,53.0,6.0,26.0,32.0,40.0,42.0,138.0,22.0,19.0,46.0,97.0,95.0,146.0,62.0,73.0,60.0,69.0,50.0,8.0,163.0,37.0,66.0,43.0
3631,0.0,88.0,157.0,19.0,62.0,1.0,9.0,43.0,37.0,12.0,64.0,28.0,75.0,81.0,31.0,15.0,22.0,85.0,68.0,124.0,119.0,94.0,30.0,10.0,21.0,114.0,54.0,29.0,48.0,46.0
3680,0.0,4.0,36.0,76.0,20.0,16.0,33.0,7.0,26.0,66.0,28.0,17.0,72.0,136.0,47.0,18.0,19.0,43.0,3.0,22.0,46.0,11.0,53.0,25.0,55.0,21.0,27.0,54.0,50.0,52.0
3729,17.0,26.0,162.0,10.0,42.0,134.0,24.0,23.0,41.0,16.0,12.0,8.0,49.0,116.0,18.0,14.0,1.0,36.0,139.0,68.0,40.0,9.0,99.0,161.0,88.0,66.0,141.0,6.0,63.0,39.0
3778,0.0,1.0,22.0,14.0,30.0,3.0,24.0,21.0,20.0,53.0,63.0,25.0,44.0,10.0,107.0,19.0,59.0,83.0,133.0,99.0,105.0,69.0,35.0,158.0,42.0,79.0,40.0,70.0,98.0,57.0
3827,0.0,3.0,2.0,113.0,28.0,13.0,10.0,53.0,18.0,44.0,73.0,36.0,55.0,120.0,37.0,54.0,42.0,49.0,88.0,8.0,24.0,57.0,41.0,39.0,66.0,110.0,45.0,52.0,29.0,47.0
3876,2.0,51.0,1.0,135.0,4.0,143.0,6.0,44.0,49.0,3.0,25.0,20.0,14.0,0.0,62.0,16.0,73.0,33.0,87.0,113.0,132.0,111.0,31.0,9.0,24.0,41.0,22.0,80.0,147.0,40.0
3925,33.0,0.0,7.0,11.0,13.0,79.0,5.0,9.0,42.0,136.0,31.0,52.0,19.0,129.0,61.0,4.0,127.0,36.0,116.0,76.0,10.0,75.0,120.0,12.0,46.0,35.0,2.0,49.0,30.0,34.0
3974,160.0,13.0,0.0,25.0,30.0,38.0,18.0,42.0,65.0,80.0,63.0,36.0,54.0,12.0,142.0,24.0,89.0,76.0,39.0,69.0,5.0,2.0,70.0,146.0,49.0,72.0,71.0,56.0,11.0,21.0
4023,16.0,82.0,0.0,49.0,22.0,143.0,61.0,63.0,29.0,62.0,24.0,11.0,9.0,75.0,139.0,72.0,60.0,58.0,84.0,43.0,93.0,27.0,163.0,5.0,13.0,53.0,138.0,30.0,39.0,28.0
4072,120.0,14.0,0.0,33.0,32.0,143.0,39.0,57.0,36.0,61.0,56.0,6.0,5.0,3.0,149.0,16.0,92.0,40.0,50.0,163.0,66.0,21.0,43.0,12.0,29.0,130.0,62.0,80.0,35.0,30.0
4121,10.0,5.0,1.0,15.0,18.0,2.0,106.0,35.0,47.0,43.0,77.0,20.0,23.0,102.0,16.0,103.0,33.0,40.0,32.0,7.0,112.0,14.0,22.0,8.0,60.0,24.0,134.0,56.0,29.0,98.0
4170,157.0,1.0,10.0,41.0,65.0,3.0,123.0,58.0,63.0,79.0,50.0,23.0,8.0,51.0,98.0,106.0,90.0,28.0,44.0,21.0,13.0,111.0,37.0,66.0,93.0,116.0,99.0,39.0,27.0,60.0
4219,73.0,46.0,1.0,47.0,27.0,131.0,77.0,10.0,38.0,31.0,28.0,146.0,11.0,2.0,68.0,23.0,20.0,62.0,29.0,19.0,88.0,21.0,16.0,6.0,55.0,49.0,26.0,44.0,94.0,128.0
4268,7.0,4.0,1.0,25.0,40.0,8.0,17.0,27.0,41.0,88.0,63.0,53.0,3.0,150.0,35.0,28.0,64.0,44.0,99.0,24.0,16.0,48.0,32.0,20.0,110.0,123.0,45.0,76.0,85.0,54.0
4317,0.0,2.0,26.0,8.0,11.0,147.0,37.0,74.0,69.0,28.0,12.0,62.0,23.0,93.0,82.0,87.0,85.0,59.0,54.0,102.0,33.0,38.0,129.0,115.0,71.0,133.0,31.0,116.0,152.0,121.0
4366,10.0,2.0,0.0,7.0,64.0,6.0,111.0,45.0,73.0,162.0,82.0,103.0,14.0,163.0,34.0,15.0,47.0,19.0,136.0,29.0,76.0,37.0,33.0,53.0,61.0,50.0,26.0,86.0,1.0,152.0
4415,9.0,116.0,0.0,49.0,21.0,150.0,134.0,20.0,42.0,149.0,18.0,145.0,113.0,4.0,27.0,30.0,88.0,47.0,26.0,24.0,14.0,99.0,39.0,52.0,37.0,31.0,157.0,71.0,154.0,11.0
4464,0.0,163.0,20.0,34.0,6.0,161.0,42.0,9.0,32.0,160.0,22.0,7.0,107.0,16.0,29.0,26.0,23.0,53.0,57.0,15.0,96.0,112.0,30.0,54.0,55.0,38.0,17.0,56.0,154.0,80.0
4513,24.0,3.0,0.0,14.0,23.0,163.0,12.0,26.0,43.0,147.0,39.0,8.0,65.0,1.0,15.0,20.0,53.0,102.0,83.0,154.0,60.0,101.0,51.0,72.0,86.0,42.0,62.0,41.0,2.0,129.0
4562,1.0,22.0,0.0,72.0,17.0,154.0,18.0,20.0,26.0,21.0,24.0,150.0,14.0,5.0,89.0,51.0,49.0,35.0,99.0,7.0,52.0,75.0,4.0,148.0,54.0,33.0,158.0,83.0,155.0,64.0
4611,9.0,11.0,1.0,105.0,115.0,4.0,55.0,26.0,53.0,13.0,16.0,158.0,0.0,41.0,134.0,22.0,97.0,64.0,8.0,57.0,40.0,30.0,21.0,18.0,47.0,44.0,15.0,23.0,51.0,62.0
4660,19.0,163.0,0.0,20.0,17.0,25.0,28.0,84.0,45.0,22.0,27.0,9.0,16.0,1.0,128.0,95.0,63.0,51.0,29.0,48.0,38.0,39.0,46.0,2.0,71.0,32.0,14.0,44.0,123.0,56.0
4709,12.0,0.0,20.0,11.0,136.0,150.0,13.0,29.0,16.0,47.0,30.0,147.0,18.0,135.0,158.0,42.0,34.0,55.0,40.0,31.0,80.0,84.0,128.0,23.0,44.0,14.0,15.0,35.0,154.0,67.0
4758,19.0,145.0,0.0,29.0,14.0,151.0,36.0,6.0,56.0,51.0,18.0,149.0,115.0,82.0,68.0,72.0,12.0,8.0,41.0,69.0,37.0,103.0,42.0,67.0,45.0,33.0,157.0,96.0,50.0,5.0
4807,0.0,7.0,2.0,56.0,20.0,1.0,11.0,21.0,58.0,26.0,47.0,23.0,8.0,6.0,132.0,87.0,76.0,151.0,13.0,19.0,39.0,36.0,57.0,3.0,31.0,66.0,71.0,74.0,40.0,43.0
4856,90.0,10.0,0.0,22.0,8.0,151.0,5.0,9.0,45.0,150.0,11.0,6.0,58.0,49.0,15.0,68.0,64.0,47.0,51.0,2.0,3.0,109.0,32.0,40.0,31.0,19.0,50.0,55.0,4.0,127.0
