,SETD2,AR,Porin,E-Cadherin,Rictor_pT1135,GAPDH,RAD51,PTEN,PDCD4,G6PD,PDK1,GATA3,PRAS40_pT246,Cyclin_E1,YAP_pS127,Tuberin_pT1462,MAPK_pT202_Y204,Smac,Paxillin,PDK1_pS241,PEA15,Notch1,p90RSK_pT359_S363,p90RSK_pT573,p38_pT180_Y182,TSC1,p70S6K_pT389,NF2,PAI-1,PEA15_pS116
545,2.0,9.0,7.0,1.0,0.0,147.0,3.0,4.0,18.0,19.0,43.0,146.0,78.0,28.0,59.0,35.0,25.0,73.0,39.0,61.0,89.0,53.0,20.0,42.0,6.0,44.0,21.0,54.0,41.0,88.0
594,0.0,112.0,3.0,22.0,82.0,15.0,14.0,18.0,51.0,162.0,19.0,16.0,4.0,156.0,40.0,67.0,6.0,78.0,54.0,43.0,46.0,41.0,57.0,56.0,58.0,69.0,47.0,45.0,55.0,44.0
643,2.0,35.0,0.0,1.0,4.0,19.0,18.0,21.0,3.0,160.0,57.0,161.0,64.0,152.0,65.0,29.0,137.0,25.0,58.0,54.0,51.0,47.0,60.0,49.0,31.0,42.0,59.0,95.0,52.0,61.0
692,0.0,3.0,86.0,4.0,2.0,136.0,82.0,19.0,34.0,146.0,41.0,20.0,8.0,32.0,25.0,1.0,6.0,76.0,42.0,43.0,59.0,55.0,23.0,58.0,45.0,28.0,46.0,56.0,40.0,75.0
741,3.0,111.0,4.0,1.0,6.0,21.0,73.0,7.0,20.0,147.0,19.0,22.0,81.0,11.0,61.0,35.0,2.0,66.0,44.0,54.0,18.0,59.0,48.0,47.0,53.0,33.0,49.0,52.0,45.0,17.0
790,1.0,2.0,31.0,0.0,81.0,6.0,84.0,10.0,11.0,17.0,39.0,146.0,32.0,154.0,61.0,25.0,27.0,5.0,57.0,38.0,37.0,45.0,55.0,56.0,51.0,66.0,54.0,44.0,41.0,58.0
839,3.0,108.0,78.0,26.0,87.0,148.0,15.0,7.0,8.0,20.0,54.0,11.0,79.0,1.0,61.0,65.0,6.0,4.0,9.0,22.0,57.0,53.0,5.0,40.0,50.0,66.0,52.0,43.0,55.0,47.0
888,1.0,31.0,29.0,0.0,3.0,21.0,10.0,14.0,20.0,147.0,19.0,145.0,15.0,152.0,39.0,33.0,2.0,72.0,51.0,65.0,18.0,56.0,22.0,43.0,26.0,45.0,44.0,57.0,47.0,64.0
937,0.0,9.0,6.0,36.0,86.0,11.0,13.0,80.0,19.0,7.0,20.0,10.0,28.0,25.0,59.0,62.0,4.0,37.0,14.0,44.0,42.0,47.0,51.0,43.0,38.0,32.0,56.0,45.0,46.0,27.0
986,2.0,39.0,5.0,26.0,10.0,6.0,12.0,16.0,0.0,148.0,11.0,155.0,19.0,23.0,60.0,31.0,32.0,28.0,7.0,55.0,54.0,4.0,42.0,25.0,36.0,66.0,47.0,45.0,43.0,13.0
1035,4.0,3.0,8.0,157.0,87.0,2.0,6.0,91.0,44.0,11.0,16.0,14.0,10.0,9.0,26.0,63.0,29.0,7.0,1.0,40.0,39.0,52.0,15.0,48.0,13.0,30.0,55.0,49.0,47.0,82.0
1084,3.0,0.0,11.0,7.0,15.0,6.0,5.0,88.0,58.0,22.0,45.0,14.0,91.0,153.0,62.0,27.0,32.0,2.0,50.0,40.0,42.0,47.0,55.0,54.0,57.0,29.0,1.0,41.0,52.0,43.0
1133,1.0,3.0,9.0,19.0,86.0,2.0,13.0,80.0,52.0,17.0,5.0,21.0,0.0,7.0,34.0,66.0,4.0,73.0,15.0,40.0,10.0,39.0,18.0,45.0,43.0,65.0,49.0,38.0,44.0,20.0
1182,4.0,1.0,5.0,25.0,10.0,7.0,24.0,19.0,12.0,162.0,54.0,146.0,6.0,154.0,60.0,31.0,142.0,33.0,11.0,51.0,18.0,50.0,26.0,49.0,42.0,32.0,57.0,48.0,52.0,46.0
1231,1.0,3.0,87.0,158.0,12.0,11.0,7.0,17.0,45.0,136.0,44.0,25.0,4.0,157.0,2.0,32.0,33.0,37.0,5.0,57.0,36.0,52.0,14.0,46.0,38.0,34.0,51.0,28.0,55.0,74.0
1280,0.0,5.0,24.0,156.0,15.0,18.0,84.0,81.0,13.0,20.0,53.0,17.0,4.0,153.0,3.0,1.0,2.0,92.0,7.0,49.0,58.0,45.0,32.0,57.0,52.0,67.0,56.0,83.0,42.0,43.0
1329,0.0,5.0,2.0,6.0,14.0,11.0,9.0,82.0,55.0,8.0,22.0,12.0,4.0,31.0,37.0,1.0,27.0,23.0,44.0,40.0,38.0,26.0,15.0,46.0,48.0,67.0,16.0,43.0,45.0,41.0
1378,10.0,2.0,8.0,0.0,84.0,3.0,21.0,26.0,15.0,18.0,43.0,12.0,7.0,157.0,37.0,33.0,28.0,6.0,42.0,44.0,9.0,48.0,25.0,55.0,56.0,64.0,17.0,47.0,24.0,82.0
1427,38.0,0.0,2.0,8.0,54.0,18.0,32.0,14.0,10.0,16.0,6.0,19.0,1.0,9.0,43.0,66.0,3.0,36.0,20.0,89.0,88.0,64.0,22.0,21.0,25.0,52.0,23.0,31.0,50.0,87.0
1476,9.0,3.0,16.0,18.0,1.0,162.0,12.0,80.0,22.0,161.0,20.0,147.0,83.0,153.0,41.0,42.0,139.0,39.0,43.0,64.0,90.0,60.0,45.0,23.0,53.0,63.0,47.0,61.0,49.0,66.0
1525,27.0,42.0,19.0,0.0,7.0,11.0,86.0,88.0,1.0,22.0,24.0,145.0,17.0,3.0,63.0,66.0,35.0,43.0,25.0,47.0,77.0,52.0,56.0,44.0,49.0,68.0,55.0,48.0,59.0,62.0
1574,1.0,5.0,83.0,8.0,2.0,20.0,4.0,6.0,44.0,11.0,10.0,146.0,81.0,26.0,33.0,31.0,141.0,32.0,43.0,62.0,90.0,56.0,39.0,45.0,47.0,64.0,18.0,57.0,41.0,12.0
1623,7.0,4.0,0.0,5.0,2.0,25.0,76.0,3.0,1.0,23.0,21.0,146.0,82.0,154.0,8.0,31.0,140.0,68.0,41.0,6.0,63.0,59.0,47.0,26.0,11.0,46.0,48.0,52.0,45.0,64.0
1672,1.0,37.0,92.0,23.0,12.0,148.0,5.0,2.0,60.0,22.0,17.0,3.0,91.0,152.0,64.0,29.0,35.0,25.0,50.0,19.0,45.0,44.0,57.0,55.0,59.0,68.0,27.0,87.0,54.0,46.0
1721,6.0,32.0,86.0,157.0,2.0,17.0,0.0,19.0,44.0,136.0,5.0,130.0,85.0,18.0,7.0,63.0,33.0,37.0,41.0,58.0,90.0,28.0,57.0,43.0,46.0,65.0,52.0,47.0,42.0,60.0
1770,0.0,35.0,8.0,156.0,13.0,21.0,73.0,15.0,6.0,146.0,19.0,145.0,80.0,28.0,39.0,54.0,141.0,68.0,53.0,64.0,87.0,50.0,46.0,45.0,62.0,47.0,22.0,3.0,42.0,86.0
1819,27.0,34.0,9.0,8.0,81.0,14.0,3.0,18.0,15.0,4.0,44.0,131.0,87.0,163.0,62.0,66.0,6.0,1.0,46.0,57.0,91.0,40.0,52.0,49.0,47.0,68.0,53.0,41.0,45.0,61.0
1868,90.0,40.0,79.0,31.0,1.0,4.0,43.0,82.0,13.0,16.0,2.0,19.0,42.0,154.0,62.0,30.0,137.0,77.0,12.0,44.0,46.0,84.0,48.0,58.0,52.0,67.0,49.0,94.0,59.0,34.0
1917,2.0,6.0,22.0,163.0,11.0,26.0,8.0,85.0,4.0,147.0,23.0,137.0,88.0,154.0,62.0,3.0,141.0,0.0,48.0,42.0,25.0,46.0,58.0,56.0,59.0,68.0,54.0,45.0,49.0,28.0
1966,1.0,35.0,0.0,23.0,9.0,147.0,87.0,94.0,14.0,18.0,46.0,24.0,81.0,21.0,37.0,3.0,135.0,75.0,59.0,45.0,20.0,43.0,52.0,13.0,57.0,33.0,54.0,42.0,50.0,44.0
2015,16.0,124.0,11.0,1.0,14.0,25.0,21.0,2.0,56.0,12.0,37.0,19.0,29.0,9.0,60.0,65.0,30.0,8.0,40.0,18.0,13.0,43.0,53.0,54.0,50.0,28.0,39.0,42.0,55.0,38.0
2064,23.0,36.0,20.0,0.0,8.0,10.0,6.0,16.0,49.0,13.0,51.0,162.0,4.0,163.0,3.0,65.0,145.0,33.0,44.0,55.0,53.0,27.0,57.0,59.0,56.0,31.0,58.0,42.0,43.0,18.0
2113,88.0,38.0,21.0,0.0,13.0,12.0,7.0,9.0,51.0,15.0,20.0,11.0,4.0,1.0,28.0,30.0,26.0,76.0,18.0,56.0,45.0,2.0,50.0,52.0,41.0,32.0,47.0,46.0,53.0,44.0
2162,0.0,110.0,4.0,5.0,27.0,145.0,9.0,15.0,16.0,146.0,88.0,136.0,3.0,14.0,1.0,42.0,24.0,36.0,19.0,65.0,86.0,2.0,48.0,49.0,21.0,31.0,47.0,57.0,55.0,28.0
2211,9.0,110.0,4.0,0.0,3.0,13.0,8.0,90.0,22.0,136.0,42.0,130.0,83.0,158.0,1.0,30.0,33.0,37.0,21.0,82.0,58.0,34.0,49.0,47.0,51.0,32.0,41.0,52.0,44.0,76.0
2260,8.0,125.0,81.0,1.0,86.0,11.0,16.0,19.0,43.0,137.0,22.0,10.0,23.0,159.0,0.0,41.0,29.0,5.0,46.0,47.0,74.0,44.0,9.0,14.0,27.0,67.0,53.0,42.0,50.0,58.0
2309,7.0,126.0,20.0,157.0,10.0,148.0,15.0,86.0,12.0,162.0,17.0,155.0,19.0,156.0,1.0,31.0,36.0,26.0,56.0,50.0,48.0,30.0,46.0,52.0,51.0,65.0,45.0,43.0,53.0,44.0
2358,8.0,35.0,1.0,17.0,9.0,147.0,78.0,14.0,2.0,19.0,91.0,21.0,15.0,26.0,0.0,6.0,4.0,27.0,49.0,65.0,90.0,59.0,42.0,40.0,62.0,46.0,23.0,60.0,39.0,64.0
2407,27.0,7.0,0.0,28.0,91.0,9.0,20.0,2.0,13.0,11.0,26.0,155.0,1.0,25.0,3.0,68.0,36.0,90.0,19.0,55.0,42.0,4.0,53.0,54.0,49.0,73.0,52.0,41.0,56.0,23.0
2456,87.0,112.0,2.0,25.0,12.0,11.0,15.0,6.0,20.0,147.0,40.0,8.0,21.0,23.0,60.0,0.0,35.0,76.0,49.0,45.0,42.0,56.0,55.0,7.0,32.0,65.0,26.0,27.0,51.0,43.0
2505,8.0,3.0,4.0,160.0,13.0,6.0,10.0,81.0,40.0,0.0,20.0,11.0,1.0,34.0,26.0,5.0,7.0,73.0,41.0,39.0,90.0,32.0,16.0,45.0,24.0,67.0,48.0,49.0,43.0,56.0
2554,0.0,2.0,1.0,10.0,84.0,21.0,20.0,12.0,15.0,4.0,56.0,11.0,5.0,29.0,26.0,30.0,39.0,90.0,13.0,18.0,41.0,54.0,44.0,9.0,24.0,65.0,45.0,28.0,43.0,42.0
2603,3.0,2.0,1.0,13.0,6.0,11.0,58.0,19.0,12.0,148.0,56.0,5.0,59.0,8.0,60.0,9.0,141.0,76.0,45.0,44.0,43.0,47.0,22.0,52.0,27.0,32.0,55.0,46.0,49.0,38.0
2652,7.0,38.0,8.0,2.0,16.0,19.0,33.0,81.0,0.0,162.0,41.0,18.0,4.0,6.0,60.0,3.0,141.0,15.0,56.0,42.0,44.0,31.0,46.0,21.0,48.0,64.0,45.0,55.0,13.0,43.0
2701,27.0,42.0,91.0,2.0,14.0,20.0,85.0,5.0,15.0,161.0,55.0,19.0,90.0,23.0,63.0,4.0,139.0,28.0,10.0,53.0,51.0,29.0,41.0,44.0,34.0,68.0,57.0,43.0,49.0,59.0
2750,6.0,8.0,2.0,34.0,4.0,5.0,17.0,1.0,20.0,146.0,46.0,9.0,22.0,36.0,70.0,10.0,13.0,81.0,15.0,45.0,44.0,51.0,28.0,14.0,35.0,71.0,54.0,27.0,53.0,24.0
2799,5.0,33.0,7.0,1.0,16.0,26.0,2.0,80.0,19.0,130.0,23.0,27.0,3.0,0.0,24.0,37.0,9.0,73.0,53.0,41.0,30.0,43.0,48.0,46.0,6.0,66.0,4.0,40.0,45.0,72.0
2848,8.0,5.0,7.0,156.0,22.0,146.0,71.0,27.0,26.0,9.0,88.0,21.0,6.0,1.0,37.0,0.0,142.0,70.0,10.0,62.0,61.0,38.0,23.0,43.0,49.0,32.0,46.0,59.0,41.0,86.0
2897,0.0,2.0,3.0,34.0,95.0,32.0,41.0,14.0,16.0,17.0,46.0,20.0,81.0,37.0,26.0,4.0,137.0,80.0,47.0,60.0,43.0,59.0,49.0,48.0,52.0,69.0,21.0,12.0,45.0,42.0
2946,17.0,29.0,18.0,159.0,86.0,12.0,81.0,7.0,44.0,5.0,9.0,3.0,6.0,23.0,0.0,4.0,31.0,75.0,47.0,54.0,74.0,30.0,50.0,48.0,45.0,68.0,11.0,43.0,13.0,26.0
2995,5.0,1.0,2.0,0.0,14.0,16.0,81.0,19.0,18.0,4.0,3.0,12.0,20.0,23.0,21.0,10.0,31.0,25.0,47.0,44.0,39.0,7.0,53.0,52.0,29.0,63.0,9.0,50.0,51.0,40.0
3044,72.0,5.0,1.0,14.0,2.0,4.0,84.0,87.0,24.0,18.0,22.0,20.0,15.0,150.0,0.0,45.0,27.0,68.0,25.0,49.0,43.0,94.0,53.0,26.0,57.0,46.0,54.0,30.0,51.0,48.0
3093,13.0,110.0,17.0,22.0,4.0,145.0,11.0,12.0,57.0,6.0,19.0,144.0,15.0,158.0,39.0,32.0,34.0,40.0,47.0,44.0,56.0,38.0,51.0,50.0,46.0,69.0,5.0,83.0,49.0,76.0
3142,2.0,34.0,6.0,0.0,16.0,23.0,9.0,73.0,21.0,145.0,4.0,24.0,3.0,156.0,1.0,43.0,142.0,33.0,22.0,87.0,85.0,55.0,41.0,51.0,46.0,39.0,49.0,27.0,63.0,84.0
3191,21.0,0.0,2.0,163.0,4.0,155.0,39.0,59.0,11.0,18.0,36.0,20.0,38.0,35.0,1.0,5.0,33.0,74.0,57.0,41.0,40.0,55.0,46.0,45.0,48.0,30.0,15.0,56.0,44.0,58.0
3240,6.0,0.0,1.0,158.0,83.0,130.0,18.0,77.0,31.0,13.0,5.0,22.0,75.0,156.0,14.0,9.0,143.0,61.0,35.0,33.0,19.0,44.0,51.0,34.0,39.0,15.0,30.0,45.0,32.0,52.0
3289,18.0,4.0,5.0,13.0,1.0,145.0,81.0,79.0,14.0,15.0,39.0,9.0,77.0,156.0,0.0,7.0,3.0,73.0,37.0,35.0,38.0,50.0,42.0,41.0,40.0,34.0,43.0,6.0,53.0,36.0
3338,19.0,35.0,5.0,157.0,2.0,15.0,25.0,56.0,18.0,146.0,3.0,129.0,4.0,0.0,9.0,62.0,7.0,36.0,16.0,41.0,44.0,54.0,13.0,14.0,30.0,6.0,51.0,39.0,49.0,27.0
3387,17.0,4.0,7.0,18.0,9.0,21.0,76.0,5.0,20.0,146.0,0.0,22.0,28.0,6.0,2.0,41.0,140.0,68.0,46.0,77.0,64.0,27.0,48.0,44.0,62.0,31.0,42.0,58.0,45.0,89.0
3436,6.0,3.0,63.0,25.0,9.0,22.0,19.0,88.0,8.0,160.0,53.0,162.0,91.0,152.0,0.0,36.0,139.0,28.0,7.0,50.0,23.0,42.0,61.0,59.0,56.0,69.0,51.0,45.0,58.0,46.0
3485,81.0,40.0,26.0,1.0,3.0,7.0,62.0,33.0,20.0,34.0,46.0,16.0,92.0,37.0,0.0,30.0,38.0,9.0,19.0,60.0,44.0,88.0,49.0,5.0,53.0,67.0,50.0,95.0,47.0,43.0
3534,25.0,3.0,19.0,0.0,10.0,4.0,7.0,59.0,21.0,136.0,22.0,11.0,18.0,2.0,36.0,30.0,141.0,75.0,45.0,43.0,55.0,46.0,57.0,40.0,56.0,5.0,52.0,34.0,44.0,90.0
3583,9.0,2.0,7.0,42.0,14.0,35.0,84.0,19.0,20.0,17.0,18.0,21.0,89.0,22.0,0.0,66.0,39.0,6.0,59.0,45.0,46.0,29.0,50.0,49.0,54.0,25.0,51.0,27.0,48.0,52.0
3632,2.0,5.0,78.0,157.0,17.0,1.0,70.0,13.0,8.0,144.0,26.0,130.0,77.0,9.0,0.0,50.0,24.0,30.0,59.0,89.0,25.0,20.0,37.0,42.0,44.0,36.0,19.0,51.0,48.0,85.0
3681,37.0,1.0,3.0,4.0,5.0,2.0,69.0,71.0,19.0,145.0,18.0,22.0,17.0,158.0,35.0,41.0,27.0,0.0,77.0,88.0,15.0,55.0,45.0,46.0,24.0,49.0,23.0,56.0,47.0,83.0
3730,5.0,39.0,34.0,6.0,23.0,20.0,41.0,22.0,17.0,16.0,11.0,18.0,0.0,163.0,1.0,4.0,141.0,92.0,58.0,44.0,43.0,30.0,49.0,48.0,52.0,31.0,46.0,57.0,47.0,59.0
3779,8.0,3.0,5.0,2.0,1.0,12.0,4.0,19.0,11.0,130.0,37.0,20.0,57.0,158.0,0.0,29.0,32.0,30.0,39.0,36.0,82.0,43.0,44.0,45.0,52.0,6.0,49.0,42.0,41.0,58.0
3828,10.0,2.0,7.0,0.0,3.0,16.0,1.0,84.0,23.0,147.0,45.0,146.0,87.0,156.0,28.0,5.0,139.0,6.0,48.0,42.0,41.0,49.0,52.0,40.0,38.0,4.0,56.0,47.0,55.0,74.0
3877,10.0,0.0,78.0,22.0,86.0,4.0,81.0,16.0,18.0,5.0,20.0,131.0,17.0,15.0,2.0,1.0,30.0,74.0,54.0,40.0,41.0,28.0,48.0,45.0,52.0,6.0,11.0,31.0,46.0,73.0
3926,5.0,7.0,1.0,4.0,13.0,9.0,2.0,20.0,23.0,0.0,8.0,147.0,89.0,153.0,3.0,6.0,139.0,10.0,54.0,57.0,44.0,46.0,50.0,37.0,42.0,64.0,49.0,41.0,56.0,43.0
3975,8.0,1.0,4.0,5.0,13.0,12.0,2.0,9.0,40.0,15.0,19.0,136.0,78.0,0.0,70.0,30.0,143.0,26.0,41.0,39.0,72.0,43.0,46.0,44.0,35.0,3.0,48.0,53.0,42.0,56.0
4024,7.0,37.0,8.0,25.0,2.0,15.0,12.0,19.0,16.0,0.0,38.0,13.0,32.0,4.0,61.0,65.0,27.0,78.0,57.0,40.0,41.0,54.0,44.0,43.0,48.0,28.0,45.0,55.0,42.0,39.0
4073,1.0,0.0,39.0,40.0,16.0,3.0,2.0,5.0,14.0,18.0,8.0,147.0,23.0,34.0,24.0,66.0,29.0,6.0,58.0,33.0,42.0,56.0,46.0,45.0,49.0,30.0,47.0,57.0,44.0,91.0
4122,2.0,0.0,17.0,10.0,88.0,4.0,1.0,6.0,46.0,5.0,40.0,145.0,80.0,11.0,73.0,69.0,133.0,7.0,44.0,43.0,42.0,56.0,12.0,50.0,38.0,33.0,52.0,41.0,49.0,57.0
4171,6.0,1.0,2.0,0.0,10.0,9.0,75.0,7.0,20.0,3.0,19.0,147.0,83.0,4.0,32.0,41.0,139.0,64.0,38.0,43.0,47.0,56.0,35.0,36.0,46.0,88.0,44.0,57.0,37.0,60.0
4220,4.0,0.0,23.0,26.0,5.0,1.0,15.0,27.0,12.0,13.0,7.0,10.0,59.0,156.0,73.0,68.0,137.0,77.0,57.0,8.0,56.0,80.0,54.0,55.0,36.0,28.0,53.0,94.0,47.0,46.0
4269,26.0,0.0,6.0,25.0,70.0,4.0,3.0,79.0,19.0,5.0,18.0,146.0,13.0,7.0,37.0,33.0,24.0,29.0,43.0,17.0,76.0,23.0,49.0,48.0,21.0,30.0,50.0,57.0,47.0,63.0
4318,6.0,1.0,14.0,16.0,9.0,20.0,12.0,5.0,18.0,2.0,89.0,4.0,82.0,0.0,59.0,37.0,142.0,29.0,48.0,63.0,88.0,54.0,21.0,19.0,47.0,61.0,39.0,55.0,43.0,62.0
4367,6.0,36.0,88.0,27.0,10.0,144.0,70.0,1.0,19.0,2.0,18.0,21.0,13.0,0.0,59.0,60.0,141.0,32.0,75.0,62.0,7.0,24.0,20.0,48.0,39.0,34.0,42.0,55.0,61.0,81.0
4416,5.0,33.0,16.0,1.0,9.0,22.0,72.0,0.0,29.0,3.0,19.0,23.0,78.0,156.0,6.0,4.0,27.0,71.0,62.0,88.0,87.0,7.0,47.0,44.0,53.0,50.0,48.0,8.0,42.0,86.0
4465,12.0,2.0,0.0,7.0,85.0,3.0,22.0,15.0,50.0,23.0,1.0,13.0,9.0,8.0,29.0,38.0,26.0,91.0,11.0,45.0,46.0,41.0,39.0,55.0,4.0,68.0,53.0,79.0,54.0,44.0
4514,2.0,42.0,3.0,4.0,9.0,160.0,13.0,90.0,12.0,158.0,53.0,161.0,65.0,22.0,40.0,0.0,34.0,29.0,10.0,48.0,49.0,46.0,61.0,50.0,5.0,30.0,60.0,89.0,57.0,62.0
4563,0.0,3.0,22.0,15.0,86.0,8.0,13.0,16.0,10.0,162.0,4.0,155.0,20.0,163.0,40.0,2.0,29.0,76.0,7.0,44.0,43.0,30.0,31.0,54.0,38.0,64.0,47.0,35.0,53.0,46.0
4612,11.0,3.0,5.0,25.0,2.0,131.0,13.0,9.0,16.0,12.0,7.0,132.0,18.0,22.0,1.0,69.0,32.0,74.0,53.0,43.0,42.0,30.0,52.0,54.0,8.0,31.0,48.0,44.0,40.0,92.0
4661,0.0,5.0,19.0,157.0,87.0,145.0,14.0,1.0,51.0,147.0,45.0,136.0,79.0,156.0,26.0,63.0,141.0,2.0,23.0,42.0,40.0,48.0,12.0,46.0,32.0,65.0,53.0,47.0,54.0,56.0
4710,0.0,39.0,4.0,3.0,6.0,5.0,14.0,15.0,49.0,20.0,11.0,16.0,91.0,21.0,65.0,67.0,135.0,42.0,48.0,60.0,59.0,38.0,57.0,62.0,44.0,37.0,43.0,50.0,47.0,46.0
4759,4.0,110.0,1.0,10.0,85.0,136.0,81.0,0.0,53.0,146.0,16.0,130.0,7.0,32.0,11.0,66.0,12.0,8.0,47.0,37.0,36.0,45.0,35.0,5.0,24.0,30.0,42.0,44.0,18.0,89.0
4808,0.0,34.0,18.0,154.0,80.0,16.0,28.0,88.0,13.0,161.0,15.0,162.0,23.0,152.0,7.0,33.0,40.0,76.0,52.0,41.0,42.0,44.0,46.0,54.0,1.0,65.0,56.0,36.0,53.0,45.0
4857,7.0,41.0,21.0,0.0,9.0,12.0,82.0,18.0,17.0,147.0,4.0,146.0,20.0,2.0,1.0,62.0,35.0,75.0,25.0,23.0,44.0,6.0,48.0,50.0,49.0,63.0,46.0,5.0,54.0,39.0
