,OVARY,LUNG,HAEMATOPOIETIC,SKIN,AERODIGESTIVE,LIVER,NERVOUS,BREAST,PANCREAS,OESOPHAGUS,THYROID,PLEURA,URINARY,LARGE_INTESTINE,SOFT_TISSUE,GANGLIA,STOMACH,BONE,ENDOMETRIUM,PROSTATE,KIDNEY,SALIVARY,BILIARY
1855,0.0,3.0,2.0,16.0,7.0,1.0,14.0,4.0,9.0,8.0,5.0,6.0,13.0,11.0,10.0,12.0,20.0,19.0,18.0,17.0,15.0,21.0,22.0
1904,1.0,0.0,3.0,9.0,4.0,2.0,10.0,5.0,7.0,6.0,15.0,8.0,14.0,12.0,19.0,13.0,16.0,17.0,11.0,20.0,18.0,21.0,22.0
1953,1.0,0.0,2.0,5.0,12.0,3.0,14.0,4.0,7.0,6.0,8.0,9.0,18.0,10.0,17.0,16.0,13.0,11.0,15.0,20.0,19.0,21.0,22.0
2002,0.0,3.0,1.0,2.0,4.0,5.0,20.0,19.0,8.0,6.0,7.0,13.0,11.0,15.0,17.0,14.0,12.0,10.0,18.0,16.0,9.0,21.0,22.0
2051,1.0,0.0,3.0,2.0,6.0,13.0,15.0,9.0,4.0,5.0,8.0,17.0,10.0,12.0,7.0,16.0,14.0,11.0,19.0,20.0,18.0,21.0,22.0
2100,0.0,3.0,1.0,2.0,4.0,5.0,9.0,11.0,12.0,7.0,18.0,14.0,8.0,13.0,6.0,19.0,16.0,10.0,17.0,15.0,21.0,20.0,22.0
2149,4.0,1.0,2.0,0.0,8.0,3.0,6.0,13.0,10.0,9.0,7.0,15.0,11.0,14.0,5.0,19.0,12.0,16.0,20.0,18.0,17.0,21.0,22.0
2198,6.0,2.0,3.0,0.0,4.0,1.0,8.0,10.0,5.0,7.0,18.0,15.0,11.0,9.0,14.0,17.0,13.0,12.0,16.0,20.0,19.0,21.0,22.0
2247,1.0,0.0,2.0,3.0,4.0,5.0,9.0,19.0,8.0,11.0,7.0,20.0,13.0,10.0,6.0,12.0,16.0,14.0,17.0,18.0,15.0,21.0,22.0
2296,3.0,1.0,5.0,0.0,7.0,2.0,10.0,13.0,4.0,8.0,9.0,14.0,11.0,12.0,6.0,20.0,18.0,16.0,15.0,19.0,17.0,21.0,22.0
2345,6.0,0.0,4.0,3.0,2.0,1.0,5.0,12.0,8.0,7.0,11.0,16.0,13.0,9.0,10.0,18.0,17.0,15.0,14.0,20.0,19.0,21.0,22.0
2394,4.0,2.0,0.0,3.0,1.0,5.0,11.0,12.0,7.0,14.0,8.0,18.0,10.0,13.0,6.0,16.0,9.0,15.0,19.0,20.0,17.0,21.0,22.0
2443,10.0,1.0,0.0,2.0,3.0,5.0,12.0,8.0,9.0,13.0,7.0,6.0,16.0,15.0,4.0,11.0,14.0,19.0,20.0,18.0,17.0,21.0,22.0
2492,0.0,3.0,1.0,4.0,2.0,5.0,11.0,7.0,6.0,15.0,16.0,8.0,18.0,9.0,14.0,10.0,13.0,19.0,12.0,17.0,21.0,20.0,22.0
2541,0.0,7.0,1.0,3.0,4.0,2.0,11.0,6.0,8.0,5.0,16.0,15.0,9.0,10.0,14.0,20.0,12.0,13.0,19.0,17.0,18.0,21.0,22.0
2590,2.0,5.0,0.0,1.0,4.0,9.0,6.0,7.0,3.0,11.0,19.0,13.0,12.0,10.0,17.0,15.0,8.0,14.0,18.0,16.0,20.0,21.0,22.0
2639,0.0,4.0,1.0,3.0,7.0,8.0,11.0,5.0,13.0,10.0,18.0,2.0,6.0,9.0,16.0,12.0,14.0,15.0,20.0,17.0,19.0,21.0,22.0
2688,2.0,9.0,1.0,5.0,4.0,6.0,8.0,3.0,0.0,12.0,18.0,7.0,14.0,10.0,16.0,11.0,15.0,13.0,20.0,17.0,19.0,21.0,22.0
2737,0.0,6.0,3.0,4.0,1.0,2.0,9.0,7.0,10.0,11.0,19.0,5.0,12.0,8.0,15.0,13.0,18.0,14.0,20.0,17.0,16.0,21.0,22.0
2786,0.0,8.0,1.0,4.0,3.0,5.0,11.0,2.0,6.0,9.0,20.0,7.0,17.0,10.0,14.0,16.0,13.0,12.0,19.0,15.0,18.0,21.0,22.0
2835,1.0,8.0,0.0,4.0,19.0,3.0,6.0,2.0,7.0,10.0,17.0,5.0,13.0,9.0,16.0,12.0,14.0,11.0,18.0,20.0,15.0,21.0,22.0
2884,1.0,2.0,3.0,8.0,4.0,5.0,10.0,0.0,6.0,9.0,20.0,7.0,15.0,12.0,11.0,13.0,17.0,14.0,16.0,19.0,18.0,21.0,22.0
2933,1.0,7.0,0.0,2.0,6.0,8.0,3.0,4.0,5.0,16.0,20.0,9.0,18.0,11.0,19.0,14.0,10.0,12.0,13.0,17.0,15.0,21.0,22.0
2982,0.0,1.0,2.0,5.0,3.0,19.0,12.0,8.0,4.0,10.0,6.0,7.0,20.0,14.0,11.0,18.0,9.0,13.0,16.0,15.0,17.0,21.0,22.0
3031,1.0,0.0,2.0,5.0,6.0,3.0,4.0,7.0,12.0,11.0,14.0,13.0,20.0,8.0,10.0,18.0,9.0,15.0,19.0,16.0,17.0,21.0,22.0
3080,2.0,1.0,0.0,7.0,4.0,17.0,12.0,8.0,11.0,6.0,3.0,10.0,13.0,16.0,15.0,5.0,14.0,9.0,20.0,19.0,18.0,21.0,22.0
3129,1.0,2.0,0.0,3.0,4.0,18.0,6.0,8.0,10.0,19.0,13.0,5.0,15.0,9.0,11.0,17.0,7.0,14.0,12.0,16.0,21.0,20.0,22.0
3178,0.0,1.0,2.0,8.0,5.0,18.0,6.0,3.0,13.0,10.0,4.0,7.0,17.0,12.0,14.0,19.0,11.0,20.0,9.0,15.0,16.0,21.0,22.0
3227,0.0,2.0,1.0,5.0,3.0,17.0,7.0,8.0,9.0,11.0,4.0,14.0,20.0,6.0,10.0,18.0,15.0,16.0,19.0,13.0,12.0,21.0,22.0
3276,0.0,2.0,1.0,5.0,3.0,14.0,6.0,7.0,8.0,10.0,4.0,13.0,18.0,9.0,11.0,20.0,12.0,16.0,19.0,15.0,17.0,21.0,22.0
3325,0.0,1.0,4.0,8.0,5.0,10.0,3.0,2.0,14.0,9.0,6.0,7.0,19.0,11.0,12.0,18.0,15.0,17.0,16.0,20.0,13.0,21.0,22.0
3374,1.0,0.0,5.0,7.0,4.0,10.0,9.0,2.0,11.0,13.0,6.0,3.0,12.0,14.0,19.0,17.0,8.0,15.0,18.0,20.0,16.0,21.0,22.0
3423,0.0,1.0,2.0,8.0,5.0,14.0,9.0,4.0,7.0,12.0,3.0,6.0,19.0,11.0,16.0,15.0,13.0,20.0,18.0,17.0,10.0,21.0,22.0
3472,1.0,2.0,0.0,5.0,10.0,3.0,4.0,7.0,8.0,14.0,11.0,12.0,9.0,6.0,16.0,17.0,15.0,13.0,18.0,20.0,19.0,21.0,22.0
3521,0.0,3.0,1.0,7.0,11.0,18.0,4.0,8.0,10.0,5.0,9.0,6.0,2.0,13.0,20.0,16.0,12.0,14.0,15.0,19.0,17.0,21.0,22.0
3570,0.0,4.0,1.0,3.0,8.0,6.0,2.0,13.0,14.0,5.0,16.0,15.0,9.0,7.0,20.0,17.0,19.0,18.0,10.0,12.0,11.0,21.0,22.0
3619,0.0,5.0,2.0,9.0,7.0,4.0,1.0,19.0,10.0,13.0,8.0,6.0,3.0,11.0,20.0,14.0,18.0,15.0,12.0,17.0,16.0,21.0,22.0
3668,0.0,2.0,1.0,6.0,16.0,9.0,3.0,10.0,12.0,7.0,5.0,4.0,11.0,8.0,20.0,17.0,19.0,13.0,14.0,18.0,15.0,21.0,22.0
3717,0.0,2.0,5.0,4.0,6.0,10.0,1.0,18.0,13.0,12.0,7.0,8.0,3.0,9.0,20.0,11.0,16.0,14.0,15.0,19.0,17.0,21.0,22.0
3766,0.0,2.0,1.0,3.0,7.0,5.0,4.0,10.0,12.0,11.0,9.0,6.0,14.0,15.0,20.0,13.0,8.0,16.0,17.0,19.0,18.0,21.0,22.0
3815,0.0,3.0,1.0,10.0,9.0,7.0,4.0,8.0,2.0,12.0,11.0,6.0,5.0,14.0,20.0,15.0,13.0,17.0,16.0,19.0,18.0,21.0,22.0
3864,0.0,4.0,1.0,5.0,8.0,3.0,2.0,6.0,16.0,11.0,13.0,7.0,10.0,9.0,19.0,12.0,18.0,15.0,14.0,17.0,20.0,21.0,22.0
3913,0.0,2.0,1.0,8.0,16.0,9.0,5.0,11.0,6.0,12.0,10.0,4.0,3.0,13.0,17.0,7.0,18.0,15.0,14.0,20.0,19.0,21.0,22.0
3962,0.0,4.0,2.0,5.0,1.0,7.0,9.0,3.0,6.0,13.0,11.0,15.0,8.0,10.0,12.0,16.0,19.0,14.0,17.0,20.0,18.0,21.0,22.0
4011,1.0,3.0,0.0,14.0,2.0,7.0,6.0,4.0,5.0,16.0,9.0,11.0,8.0,15.0,13.0,18.0,12.0,10.0,17.0,20.0,19.0,21.0,22.0
4060,1.0,0.0,3.0,8.0,2.0,4.0,5.0,10.0,6.0,15.0,9.0,18.0,7.0,16.0,13.0,14.0,12.0,19.0,11.0,20.0,17.0,21.0,22.0
4109,5.0,0.0,2.0,9.0,1.0,7.0,4.0,12.0,6.0,19.0,8.0,17.0,11.0,3.0,13.0,14.0,10.0,16.0,15.0,20.0,18.0,21.0,22.0
4158,1.0,0.0,5.0,7.0,3.0,8.0,2.0,6.0,4.0,15.0,17.0,10.0,18.0,11.0,12.0,13.0,9.0,14.0,16.0,20.0,19.0,21.0,22.0
4207,4.0,3.0,2.0,7.0,1.0,5.0,0.0,8.0,10.0,16.0,9.0,11.0,6.0,12.0,18.0,13.0,17.0,15.0,14.0,19.0,20.0,21.0,22.0
4256,3.0,2.0,1.0,4.0,0.0,6.0,10.0,5.0,11.0,14.0,8.0,12.0,7.0,13.0,15.0,16.0,9.0,18.0,17.0,20.0,19.0,21.0,22.0
4305,1.0,0.0,7.0,6.0,17.0,4.0,2.0,10.0,9.0,14.0,8.0,11.0,12.0,5.0,13.0,18.0,3.0,15.0,16.0,20.0,19.0,21.0,22.0
4354,1.0,2.0,0.0,11.0,7.0,4.0,3.0,12.0,9.0,17.0,19.0,8.0,6.0,10.0,16.0,13.0,5.0,15.0,14.0,20.0,18.0,21.0,22.0
4403,2.0,1.0,3.0,6.0,4.0,7.0,0.0,5.0,11.0,18.0,9.0,10.0,8.0,15.0,16.0,17.0,13.0,14.0,12.0,20.0,19.0,21.0,22.0
4452,0.0,2.0,3.0,4.0,5.0,1.0,6.0,17.0,7.0,14.0,19.0,9.0,10.0,11.0,16.0,15.0,13.0,8.0,12.0,18.0,20.0,21.0,22.0
4501,1.0,2.0,0.0,3.0,4.0,6.0,5.0,8.0,7.0,19.0,18.0,13.0,11.0,9.0,16.0,12.0,10.0,15.0,14.0,17.0,20.0,21.0,22.0
4550,0.0,5.0,1.0,3.0,7.0,4.0,6.0,15.0,8.0,12.0,19.0,13.0,2.0,11.0,9.0,14.0,17.0,10.0,16.0,18.0,20.0,21.0,22.0
4599,1.0,6.0,2.0,4.0,3.0,7.0,0.0,8.0,5.0,12.0,17.0,11.0,14.0,9.0,16.0,10.0,19.0,13.0,15.0,18.0,20.0,21.0,22.0
4648,1.0,2.0,0.0,3.0,7.0,5.0,4.0,9.0,8.0,13.0,15.0,12.0,14.0,6.0,11.0,16.0,18.0,10.0,17.0,19.0,20.0,21.0,22.0
4697,0.0,3.0,1.0,2.0,6.0,7.0,4.0,5.0,8.0,12.0,11.0,10.0,13.0,14.0,19.0,16.0,17.0,9.0,15.0,18.0,20.0,21.0,22.0
4746,5.0,1.0,0.0,2.0,3.0,7.0,4.0,8.0,9.0,15.0,11.0,19.0,14.0,12.0,13.0,17.0,16.0,10.0,6.0,18.0,21.0,20.0,22.0
4795,0.0,1.0,3.0,4.0,2.0,7.0,6.0,9.0,10.0,12.0,16.0,14.0,11.0,17.0,5.0,15.0,13.0,18.0,8.0,19.0,20.0,21.0,22.0
4844,1.0,5.0,0.0,2.0,3.0,7.0,6.0,9.0,4.0,11.0,13.0,17.0,10.0,14.0,8.0,16.0,12.0,18.0,15.0,19.0,20.0,21.0,22.0
4893,2.0,5.0,0.0,1.0,3.0,14.0,4.0,6.0,8.0,10.0,16.0,7.0,13.0,9.0,15.0,18.0,17.0,11.0,12.0,19.0,20.0,21.0,22.0
