,XBP1,RSK1-2-3,4E-BP1,AMPK_pT172,Caveolin-1,Cyclin_D1,PRDX1,CD31,p38_pT180_Y182,Bcl-2,Bax,4E-BP1_pT70,beta Actin,c-Kit,SHP-2_pY542,Cyclin_E1,C-Raf_pS338,Annexin 1,Bad_pS112,Src_pY416,4E-BP1_pS65,EGFR_pY1068,S6_pS235_S236,MEK1_pS217_S221,STAT5-alpha,Cyclin_B1,p27_pT157,FOXO3a,Beclin,MDMX_MDM4(BetIHC-00108)
786,0.0,2.0,4.0,3.0,1.0,5.0,14.0,8.0,13.0,27.0,16.0,10.0,6.0,11.0,17.0,29.0,9.0,19.0,7.0,25.0,22.0,31.0,12.0,30.0,63.0,20.0,51.0,69.0,48.0,18.0
835,1.0,0.0,2.0,3.0,7.0,14.0,5.0,6.0,4.0,12.0,9.0,13.0,8.0,31.0,40.0,15.0,17.0,27.0,21.0,33.0,10.0,44.0,29.0,26.0,30.0,35.0,25.0,54.0,61.0,16.0
884,0.0,1.0,5.0,4.0,3.0,2.0,11.0,6.0,9.0,8.0,18.0,14.0,7.0,22.0,33.0,13.0,12.0,25.0,17.0,42.0,20.0,16.0,15.0,34.0,26.0,35.0,30.0,37.0,41.0,50.0
933,1.0,0.0,6.0,4.0,2.0,3.0,13.0,5.0,8.0,9.0,16.0,12.0,14.0,28.0,10.0,20.0,42.0,18.0,30.0,29.0,21.0,27.0,36.0,47.0,54.0,37.0,43.0,68.0,40.0,7.0
982,1.0,0.0,2.0,7.0,5.0,4.0,6.0,3.0,13.0,16.0,31.0,11.0,14.0,25.0,12.0,44.0,8.0,15.0,18.0,19.0,23.0,56.0,32.0,24.0,20.0,43.0,10.0,17.0,72.0,45.0
1031,0.0,1.0,2.0,9.0,13.0,6.0,5.0,3.0,4.0,31.0,29.0,8.0,45.0,10.0,17.0,34.0,21.0,11.0,19.0,14.0,44.0,24.0,33.0,20.0,18.0,30.0,26.0,7.0,54.0,23.0
1080,0.0,2.0,1.0,5.0,29.0,23.0,3.0,4.0,10.0,7.0,42.0,9.0,47.0,17.0,6.0,33.0,13.0,14.0,12.0,22.0,16.0,19.0,20.0,18.0,25.0,36.0,55.0,35.0,28.0,31.0
1129,0.0,1.0,2.0,3.0,10.0,6.0,4.0,5.0,7.0,9.0,21.0,12.0,36.0,11.0,8.0,28.0,25.0,29.0,13.0,20.0,27.0,39.0,46.0,24.0,15.0,55.0,37.0,19.0,22.0,54.0
1178,2.0,0.0,1.0,12.0,6.0,13.0,3.0,9.0,8.0,10.0,39.0,5.0,11.0,25.0,4.0,40.0,20.0,21.0,37.0,15.0,16.0,18.0,43.0,26.0,31.0,28.0,22.0,17.0,19.0,36.0
1227,2.0,1.0,0.0,25.0,9.0,4.0,7.0,5.0,13.0,17.0,32.0,11.0,47.0,31.0,3.0,19.0,24.0,27.0,15.0,10.0,28.0,8.0,45.0,39.0,6.0,14.0,29.0,23.0,40.0,16.0
1276,0.0,1.0,2.0,3.0,11.0,5.0,4.0,6.0,8.0,7.0,22.0,25.0,14.0,16.0,9.0,62.0,35.0,30.0,40.0,15.0,41.0,27.0,20.0,12.0,32.0,28.0,29.0,26.0,58.0,10.0
1325,0.0,1.0,2.0,3.0,10.0,7.0,5.0,4.0,6.0,17.0,34.0,12.0,21.0,29.0,9.0,58.0,15.0,22.0,28.0,14.0,26.0,23.0,35.0,19.0,24.0,36.0,13.0,11.0,60.0,43.0
1374,0.0,1.0,2.0,3.0,11.0,16.0,8.0,4.0,6.0,22.0,36.0,13.0,25.0,18.0,5.0,44.0,21.0,9.0,15.0,7.0,33.0,40.0,27.0,19.0,42.0,32.0,20.0,23.0,55.0,28.0
1423,0.0,2.0,1.0,13.0,4.0,6.0,3.0,12.0,7.0,27.0,46.0,5.0,11.0,9.0,10.0,41.0,16.0,14.0,8.0,21.0,40.0,18.0,20.0,28.0,38.0,30.0,23.0,17.0,50.0,26.0
1472,1.0,0.0,2.0,8.0,5.0,13.0,7.0,10.0,6.0,12.0,15.0,14.0,3.0,9.0,17.0,28.0,4.0,29.0,44.0,18.0,41.0,26.0,36.0,33.0,32.0,19.0,31.0,20.0,92.0,27.0
1521,0.0,1.0,9.0,6.0,3.0,10.0,4.0,8.0,5.0,2.0,7.0,12.0,19.0,47.0,40.0,13.0,11.0,38.0,28.0,17.0,29.0,14.0,18.0,48.0,43.0,16.0,46.0,42.0,24.0,27.0
1570,0.0,1.0,4.0,2.0,7.0,6.0,9.0,5.0,8.0,3.0,18.0,13.0,17.0,14.0,15.0,27.0,12.0,82.0,28.0,40.0,45.0,32.0,16.0,41.0,22.0,11.0,50.0,33.0,56.0,20.0
1619,1.0,0.0,2.0,15.0,13.0,5.0,3.0,12.0,8.0,4.0,7.0,6.0,11.0,14.0,16.0,9.0,26.0,27.0,38.0,10.0,39.0,18.0,25.0,20.0,28.0,19.0,31.0,24.0,49.0,43.0
1668,1.0,0.0,9.0,10.0,3.0,14.0,6.0,5.0,2.0,4.0,11.0,19.0,7.0,8.0,26.0,16.0,12.0,43.0,24.0,18.0,23.0,28.0,13.0,21.0,37.0,20.0,22.0,41.0,61.0,27.0
1717,6.0,0.0,4.0,10.0,2.0,1.0,8.0,9.0,5.0,3.0,12.0,13.0,11.0,26.0,24.0,21.0,7.0,51.0,37.0,17.0,33.0,14.0,22.0,15.0,60.0,16.0,19.0,68.0,73.0,49.0
1766,1.0,0.0,4.0,9.0,5.0,2.0,10.0,6.0,13.0,3.0,7.0,8.0,20.0,11.0,21.0,16.0,12.0,51.0,67.0,14.0,42.0,39.0,15.0,26.0,24.0,19.0,54.0,28.0,53.0,32.0
1815,0.0,1.0,6.0,3.0,10.0,4.0,7.0,8.0,12.0,2.0,5.0,19.0,20.0,13.0,26.0,14.0,9.0,27.0,38.0,24.0,55.0,21.0,18.0,25.0,81.0,17.0,35.0,28.0,54.0,22.0
1864,1.0,0.0,2.0,6.0,18.0,10.0,5.0,8.0,7.0,4.0,3.0,12.0,17.0,21.0,15.0,27.0,9.0,58.0,32.0,14.0,38.0,36.0,11.0,13.0,24.0,44.0,28.0,46.0,72.0,23.0
1913,1.0,0.0,6.0,7.0,8.0,2.0,12.0,9.0,3.0,4.0,13.0,11.0,10.0,23.0,19.0,17.0,5.0,46.0,34.0,14.0,32.0,26.0,22.0,16.0,52.0,18.0,24.0,15.0,89.0,40.0
1962,0.0,1.0,5.0,7.0,2.0,6.0,4.0,12.0,8.0,10.0,30.0,13.0,50.0,19.0,9.0,16.0,35.0,3.0,31.0,29.0,20.0,25.0,84.0,36.0,39.0,69.0,41.0,63.0,23.0,17.0
2011,1.0,0.0,4.0,10.0,2.0,3.0,8.0,13.0,6.0,11.0,20.0,9.0,12.0,7.0,5.0,25.0,34.0,15.0,28.0,21.0,29.0,17.0,16.0,14.0,49.0,51.0,46.0,70.0,30.0,59.0
2060,1.0,0.0,4.0,5.0,2.0,7.0,3.0,10.0,17.0,24.0,18.0,12.0,45.0,8.0,6.0,15.0,19.0,27.0,26.0,16.0,42.0,11.0,9.0,49.0,38.0,25.0,52.0,79.0,41.0,56.0
2109,1.0,0.0,4.0,3.0,2.0,6.0,9.0,7.0,8.0,14.0,23.0,12.0,39.0,16.0,5.0,31.0,35.0,13.0,25.0,33.0,29.0,20.0,27.0,30.0,21.0,56.0,66.0,103.0,28.0,32.0
2158,0.0,1.0,5.0,16.0,2.0,6.0,4.0,10.0,8.0,22.0,15.0,18.0,33.0,11.0,3.0,12.0,23.0,7.0,79.0,21.0,25.0,29.0,30.0,13.0,31.0,36.0,52.0,69.0,27.0,38.0
2207,1.0,0.0,4.0,9.0,3.0,10.0,2.0,7.0,6.0,20.0,12.0,17.0,44.0,21.0,5.0,42.0,35.0,8.0,33.0,13.0,47.0,26.0,30.0,38.0,39.0,75.0,22.0,51.0,29.0,50.0
2256,0.0,1.0,6.0,8.0,3.0,5.0,4.0,18.0,13.0,12.0,20.0,14.0,34.0,2.0,7.0,19.0,37.0,28.0,40.0,38.0,44.0,10.0,30.0,17.0,24.0,39.0,100.0,47.0,27.0,21.0
2305,0.0,1.0,3.0,4.0,5.0,13.0,2.0,7.0,6.0,16.0,35.0,10.0,79.0,14.0,11.0,27.0,38.0,12.0,43.0,17.0,25.0,8.0,21.0,36.0,41.0,20.0,59.0,51.0,30.0,29.0
2354,0.0,1.0,7.0,10.0,4.0,9.0,3.0,6.0,8.0,5.0,19.0,26.0,29.0,14.0,2.0,28.0,27.0,23.0,91.0,35.0,18.0,12.0,37.0,17.0,21.0,38.0,31.0,50.0,33.0,49.0
2403,0.0,2.0,1.0,6.0,3.0,12.0,7.0,9.0,8.0,10.0,45.0,5.0,47.0,13.0,4.0,19.0,25.0,11.0,58.0,33.0,28.0,20.0,67.0,32.0,26.0,42.0,46.0,24.0,43.0,34.0
2452,0.0,1.0,3.0,8.0,5.0,2.0,6.0,10.0,13.0,7.0,15.0,14.0,28.0,4.0,22.0,27.0,20.0,9.0,24.0,42.0,16.0,56.0,25.0,32.0,48.0,40.0,39.0,11.0,41.0,37.0
2501,1.0,0.0,2.0,8.0,21.0,6.0,12.0,10.0,16.0,3.0,17.0,35.0,56.0,37.0,9.0,13.0,38.0,5.0,41.0,25.0,14.0,29.0,83.0,77.0,36.0,11.0,32.0,18.0,40.0,4.0
2550,0.0,1.0,3.0,4.0,9.0,5.0,2.0,13.0,14.0,8.0,11.0,10.0,43.0,6.0,29.0,31.0,44.0,17.0,7.0,39.0,18.0,54.0,48.0,21.0,26.0,27.0,23.0,16.0,24.0,20.0
2599,3.0,0.0,2.0,6.0,4.0,1.0,10.0,8.0,13.0,5.0,9.0,14.0,31.0,7.0,15.0,23.0,18.0,11.0,36.0,22.0,24.0,76.0,21.0,47.0,68.0,17.0,29.0,30.0,19.0,37.0
2648,3.0,0.0,4.0,11.0,5.0,2.0,6.0,7.0,8.0,1.0,18.0,16.0,58.0,13.0,17.0,15.0,9.0,10.0,37.0,30.0,23.0,25.0,35.0,24.0,56.0,22.0,31.0,27.0,21.0,65.0
2697,1.0,0.0,2.0,14.0,7.0,3.0,4.0,9.0,6.0,5.0,12.0,8.0,35.0,15.0,29.0,32.0,28.0,21.0,23.0,39.0,11.0,50.0,25.0,20.0,47.0,16.0,46.0,10.0,24.0,58.0
2746,2.0,0.0,8.0,5.0,3.0,7.0,1.0,15.0,11.0,4.0,10.0,29.0,26.0,6.0,18.0,12.0,24.0,19.0,17.0,69.0,23.0,76.0,48.0,45.0,33.0,25.0,42.0,9.0,13.0,27.0
2795,1.0,0.0,3.0,7.0,4.0,2.0,8.0,9.0,18.0,6.0,12.0,14.0,17.0,5.0,33.0,37.0,32.0,30.0,16.0,27.0,15.0,45.0,13.0,28.0,50.0,10.0,42.0,11.0,29.0,44.0
2844,1.0,0.0,3.0,4.0,6.0,5.0,2.0,8.0,9.0,7.0,11.0,13.0,25.0,12.0,19.0,44.0,17.0,16.0,15.0,31.0,22.0,54.0,21.0,29.0,24.0,26.0,38.0,40.0,14.0,33.0
2893,3.0,0.0,1.0,4.0,13.0,2.0,6.0,8.0,5.0,11.0,7.0,17.0,34.0,26.0,36.0,51.0,12.0,10.0,9.0,41.0,15.0,57.0,47.0,32.0,61.0,18.0,45.0,25.0,20.0,48.0
2942,0.0,3.0,1.0,5.0,4.0,6.0,2.0,11.0,17.0,8.0,7.0,27.0,9.0,18.0,13.0,10.0,20.0,24.0,23.0,15.0,46.0,21.0,60.0,33.0,19.0,40.0,26.0,22.0,12.0,59.0
2991,4.0,1.0,2.0,7.0,6.0,3.0,0.0,8.0,10.0,15.0,19.0,16.0,5.0,14.0,12.0,21.0,13.0,17.0,18.0,28.0,20.0,41.0,61.0,66.0,30.0,47.0,24.0,9.0,64.0,36.0
3040,0.0,2.0,1.0,8.0,6.0,4.0,3.0,14.0,18.0,29.0,7.0,19.0,9.0,12.0,17.0,20.0,5.0,11.0,10.0,32.0,16.0,39.0,41.0,21.0,24.0,51.0,30.0,49.0,23.0,76.0
3089,0.0,1.0,2.0,5.0,3.0,4.0,9.0,18.0,10.0,19.0,8.0,23.0,17.0,28.0,7.0,12.0,6.0,15.0,14.0,13.0,32.0,30.0,38.0,55.0,21.0,44.0,29.0,26.0,48.0,74.0
3138,0.0,1.0,6.0,12.0,3.0,2.0,4.0,7.0,29.0,5.0,8.0,38.0,10.0,21.0,26.0,18.0,15.0,13.0,34.0,11.0,30.0,45.0,24.0,32.0,25.0,43.0,20.0,40.0,16.0,39.0
3187,0.0,2.0,3.0,10.0,1.0,4.0,5.0,8.0,14.0,11.0,7.0,18.0,9.0,13.0,19.0,16.0,6.0,26.0,43.0,12.0,54.0,40.0,25.0,17.0,33.0,50.0,15.0,22.0,29.0,65.0
3236,0.0,2.0,3.0,1.0,7.0,8.0,4.0,5.0,30.0,10.0,9.0,24.0,16.0,31.0,17.0,11.0,19.0,6.0,13.0,44.0,48.0,68.0,35.0,42.0,40.0,60.0,15.0,14.0,18.0,39.0
3285,0.0,1.0,2.0,5.0,6.0,4.0,3.0,11.0,18.0,17.0,9.0,15.0,8.0,12.0,16.0,10.0,13.0,7.0,37.0,23.0,33.0,44.0,34.0,40.0,29.0,59.0,19.0,28.0,22.0,51.0
3334,0.0,2.0,4.0,7.0,3.0,5.0,1.0,8.0,35.0,23.0,6.0,28.0,11.0,10.0,13.0,32.0,9.0,14.0,29.0,51.0,34.0,48.0,19.0,27.0,39.0,38.0,16.0,21.0,26.0,50.0
3383,0.0,1.0,3.0,7.0,9.0,5.0,4.0,8.0,20.0,6.0,2.0,47.0,17.0,44.0,11.0,14.0,12.0,23.0,30.0,25.0,39.0,59.0,52.0,22.0,18.0,35.0,13.0,56.0,15.0,42.0
3432,1.0,0.0,4.0,2.0,5.0,12.0,6.0,9.0,3.0,16.0,13.0,10.0,25.0,26.0,7.0,21.0,17.0,38.0,14.0,8.0,20.0,15.0,11.0,43.0,48.0,30.0,64.0,51.0,42.0,45.0
3481,1.0,0.0,2.0,4.0,5.0,14.0,8.0,9.0,3.0,7.0,13.0,53.0,11.0,16.0,17.0,18.0,41.0,6.0,12.0,15.0,61.0,26.0,28.0,21.0,25.0,32.0,29.0,19.0,10.0,23.0
3530,1.0,0.0,4.0,3.0,5.0,12.0,8.0,7.0,2.0,6.0,11.0,24.0,9.0,16.0,13.0,19.0,14.0,34.0,10.0,28.0,29.0,17.0,21.0,32.0,25.0,30.0,40.0,39.0,49.0,33.0
3579,2.0,0.0,1.0,3.0,9.0,7.0,8.0,6.0,4.0,5.0,11.0,62.0,17.0,21.0,22.0,16.0,28.0,33.0,12.0,39.0,46.0,13.0,24.0,23.0,15.0,34.0,32.0,30.0,10.0,41.0
3628,1.0,0.0,2.0,4.0,3.0,6.0,10.0,7.0,9.0,5.0,8.0,22.0,14.0,52.0,20.0,13.0,16.0,43.0,28.0,30.0,46.0,59.0,15.0,33.0,18.0,24.0,57.0,47.0,21.0,11.0
3677,0.0,3.0,1.0,2.0,6.0,7.0,8.0,14.0,4.0,5.0,11.0,10.0,20.0,15.0,21.0,46.0,32.0,34.0,9.0,24.0,39.0,31.0,13.0,49.0,37.0,27.0,69.0,30.0,12.0,60.0
3726,0.0,1.0,2.0,3.0,4.0,10.0,5.0,8.0,6.0,9.0,12.0,34.0,7.0,14.0,13.0,49.0,19.0,21.0,15.0,11.0,41.0,29.0,20.0,25.0,52.0,27.0,23.0,17.0,24.0,31.0
3775,0.0,1.0,2.0,9.0,4.0,3.0,5.0,11.0,6.0,17.0,12.0,19.0,7.0,31.0,42.0,18.0,24.0,25.0,8.0,32.0,35.0,29.0,13.0,55.0,16.0,28.0,14.0,33.0,37.0,53.0
3824,1.0,0.0,2.0,6.0,7.0,9.0,3.0,12.0,4.0,5.0,8.0,26.0,10.0,15.0,16.0,14.0,13.0,24.0,11.0,18.0,28.0,23.0,20.0,51.0,34.0,50.0,37.0,31.0,36.0,49.0
3873,2.0,0.0,5.0,4.0,8.0,6.0,1.0,7.0,3.0,24.0,16.0,28.0,17.0,15.0,12.0,38.0,10.0,20.0,45.0,18.0,58.0,26.0,13.0,51.0,19.0,33.0,22.0,31.0,14.0,43.0
3922,0.0,1.0,2.0,7.0,20.0,11.0,6.0,18.0,9.0,13.0,4.0,12.0,3.0,5.0,10.0,34.0,41.0,8.0,52.0,21.0,19.0,32.0,33.0,14.0,17.0,45.0,30.0,110.0,42.0,28.0
3971,0.0,1.0,2.0,4.0,15.0,19.0,10.0,9.0,6.0,12.0,17.0,16.0,5.0,3.0,31.0,11.0,27.0,8.0,18.0,43.0,7.0,82.0,32.0,30.0,13.0,35.0,23.0,62.0,37.0,21.0
4020,0.0,1.0,8.0,5.0,20.0,29.0,2.0,14.0,4.0,9.0,10.0,11.0,3.0,7.0,35.0,38.0,6.0,45.0,60.0,19.0,13.0,32.0,12.0,18.0,15.0,21.0,50.0,63.0,31.0,37.0
4069,0.0,3.0,1.0,9.0,11.0,10.0,2.0,24.0,4.0,14.0,7.0,16.0,5.0,6.0,51.0,15.0,18.0,22.0,17.0,48.0,12.0,25.0,21.0,49.0,31.0,44.0,42.0,32.0,64.0,40.0
4118,1.0,0.0,2.0,6.0,5.0,14.0,3.0,24.0,12.0,4.0,11.0,13.0,7.0,10.0,22.0,40.0,9.0,23.0,27.0,39.0,8.0,67.0,53.0,28.0,33.0,52.0,25.0,76.0,20.0,34.0
4167,0.0,4.0,1.0,6.0,34.0,7.0,2.0,15.0,3.0,10.0,9.0,8.0,5.0,16.0,22.0,35.0,26.0,29.0,12.0,21.0,13.0,40.0,14.0,17.0,19.0,33.0,23.0,65.0,49.0,20.0
4216,0.0,5.0,1.0,2.0,20.0,16.0,9.0,13.0,3.0,7.0,11.0,6.0,4.0,8.0,39.0,26.0,25.0,14.0,21.0,28.0,27.0,38.0,17.0,19.0,37.0,24.0,42.0,50.0,33.0,12.0
4265,0.0,2.0,8.0,3.0,4.0,11.0,1.0,16.0,6.0,10.0,15.0,14.0,7.0,9.0,25.0,5.0,26.0,17.0,36.0,29.0,27.0,23.0,24.0,49.0,19.0,46.0,66.0,54.0,32.0,12.0
4314,1.0,0.0,3.0,2.0,17.0,10.0,11.0,18.0,6.0,12.0,5.0,14.0,4.0,7.0,33.0,30.0,21.0,13.0,16.0,32.0,26.0,28.0,29.0,15.0,8.0,38.0,52.0,34.0,35.0,24.0
4363,1.0,0.0,2.0,3.0,32.0,5.0,7.0,24.0,4.0,8.0,11.0,9.0,6.0,14.0,45.0,13.0,16.0,22.0,10.0,62.0,27.0,51.0,48.0,23.0,12.0,39.0,76.0,52.0,30.0,44.0
4412,0.0,1.0,2.0,6.0,3.0,5.0,10.0,4.0,14.0,8.0,16.0,25.0,13.0,29.0,35.0,7.0,15.0,18.0,50.0,38.0,27.0,21.0,113.0,54.0,20.0,28.0,32.0,46.0,43.0,11.0
4461,0.0,1.0,6.0,3.0,2.0,4.0,5.0,7.0,13.0,9.0,10.0,23.0,47.0,33.0,37.0,11.0,36.0,17.0,34.0,21.0,20.0,19.0,57.0,64.0,24.0,26.0,39.0,43.0,25.0,8.0
4510,0.0,3.0,1.0,2.0,5.0,4.0,10.0,6.0,49.0,7.0,14.0,22.0,13.0,40.0,20.0,30.0,18.0,8.0,24.0,79.0,21.0,34.0,41.0,61.0,33.0,52.0,43.0,39.0,42.0,17.0
4559,0.0,1.0,3.0,5.0,8.0,2.0,6.0,4.0,11.0,7.0,17.0,13.0,14.0,33.0,15.0,9.0,39.0,10.0,23.0,41.0,19.0,18.0,52.0,46.0,38.0,25.0,29.0,66.0,37.0,12.0
4608,0.0,1.0,4.0,2.0,3.0,15.0,5.0,9.0,8.0,6.0,7.0,33.0,12.0,45.0,16.0,13.0,30.0,10.0,17.0,31.0,56.0,26.0,40.0,44.0,28.0,79.0,24.0,62.0,32.0,22.0
4657,0.0,1.0,2.0,5.0,3.0,4.0,6.0,8.0,10.0,9.0,11.0,24.0,13.0,51.0,21.0,7.0,33.0,12.0,23.0,74.0,38.0,26.0,89.0,61.0,19.0,31.0,47.0,48.0,35.0,18.0
4706,0.0,1.0,4.0,2.0,3.0,7.0,9.0,8.0,17.0,5.0,11.0,26.0,24.0,47.0,13.0,19.0,27.0,12.0,46.0,35.0,18.0,10.0,78.0,77.0,31.0,16.0,52.0,54.0,25.0,15.0
4755,0.0,1.0,4.0,2.0,3.0,6.0,8.0,5.0,9.0,7.0,13.0,21.0,16.0,42.0,25.0,17.0,23.0,18.0,22.0,53.0,12.0,26.0,35.0,44.0,38.0,19.0,59.0,72.0,47.0,37.0
4804,0.0,1.0,2.0,4.0,9.0,3.0,5.0,7.0,15.0,6.0,8.0,14.0,10.0,42.0,56.0,19.0,54.0,11.0,20.0,65.0,16.0,27.0,49.0,73.0,28.0,24.0,34.0,26.0,17.0,18.0
4853,0.0,1.0,3.0,2.0,7.0,4.0,6.0,5.0,15.0,9.0,28.0,21.0,18.0,62.0,16.0,49.0,73.0,12.0,10.0,46.0,19.0,32.0,70.0,61.0,45.0,36.0,24.0,26.0,47.0,8.0
