,pantothenate,GABA,niacinamide,adenosine,N-carbamoyl-beta-alanine,cytidine,DHAP/glyceraldehyde 3P,hippurate,putrescine,oxalate,uridine,UMP,homocysteine,C34:2 DAG,alpha-glycerophosphocholine,C56:5 TAG,isocitrate,C22:6 LPE,alpha-glycerophosphate,cis/trans-hydroxyproline,taurodeoxycholate,valerylcarnitine,acetylcholine,serotonin,hypoxanthine,hexoses (HILIC neg),SDMA/ADMA,serine,beta-alanine,C56:3 TAG
1297,0.0,1.0,2.0,8.0,11.0,7.0,12.0,14.0,18.0,5.0,3.0,6.0,10.0,17.0,4.0,15.0,23.0,19.0,24.0,33.0,9.0,21.0,26.0,16.0,13.0,27.0,39.0,56.0,35.0,22.0
1346,0.0,1.0,10.0,9.0,6.0,13.0,11.0,8.0,25.0,3.0,5.0,2.0,4.0,30.0,7.0,16.0,27.0,12.0,22.0,15.0,23.0,35.0,14.0,36.0,19.0,26.0,24.0,44.0,28.0,39.0
1395,0.0,1.0,2.0,8.0,14.0,4.0,3.0,9.0,15.0,11.0,6.0,7.0,10.0,23.0,13.0,17.0,12.0,18.0,21.0,16.0,29.0,31.0,22.0,38.0,24.0,27.0,30.0,49.0,5.0,19.0
1444,0.0,9.0,2.0,4.0,11.0,5.0,14.0,1.0,15.0,3.0,6.0,7.0,8.0,19.0,12.0,16.0,31.0,13.0,20.0,23.0,10.0,35.0,22.0,21.0,29.0,39.0,24.0,30.0,18.0,17.0
1493,1.0,3.0,0.0,2.0,7.0,4.0,13.0,6.0,10.0,11.0,8.0,5.0,12.0,16.0,26.0,9.0,27.0,18.0,17.0,15.0,20.0,19.0,24.0,22.0,46.0,25.0,21.0,38.0,14.0,40.0
1542,1.0,2.0,0.0,3.0,10.0,9.0,8.0,5.0,4.0,12.0,18.0,14.0,22.0,11.0,19.0,15.0,7.0,13.0,20.0,6.0,34.0,17.0,27.0,25.0,39.0,16.0,23.0,31.0,30.0,24.0
1591,0.0,1.0,2.0,4.0,23.0,3.0,6.0,8.0,5.0,7.0,9.0,15.0,10.0,17.0,19.0,16.0,14.0,20.0,22.0,11.0,38.0,18.0,28.0,21.0,33.0,31.0,27.0,32.0,13.0,30.0
1640,1.0,2.0,0.0,4.0,6.0,3.0,7.0,8.0,5.0,9.0,10.0,18.0,12.0,16.0,22.0,13.0,14.0,21.0,30.0,19.0,34.0,31.0,11.0,24.0,29.0,33.0,27.0,32.0,25.0,26.0
1689,1.0,4.0,0.0,2.0,5.0,6.0,7.0,12.0,3.0,8.0,19.0,9.0,17.0,13.0,29.0,21.0,14.0,18.0,22.0,27.0,20.0,16.0,10.0,11.0,39.0,23.0,24.0,44.0,28.0,32.0
1738,0.0,3.0,1.0,2.0,7.0,6.0,9.0,4.0,5.0,12.0,10.0,15.0,11.0,18.0,14.0,16.0,8.0,29.0,25.0,21.0,22.0,13.0,26.0,24.0,48.0,20.0,34.0,32.0,52.0,17.0
1787,0.0,3.0,1.0,6.0,2.0,4.0,9.0,7.0,5.0,8.0,13.0,24.0,12.0,15.0,16.0,14.0,20.0,19.0,17.0,10.0,21.0,25.0,22.0,26.0,46.0,33.0,18.0,23.0,36.0,40.0
1836,1.0,3.0,0.0,2.0,4.0,10.0,6.0,7.0,9.0,17.0,8.0,16.0,18.0,13.0,12.0,5.0,11.0,19.0,37.0,25.0,35.0,15.0,24.0,23.0,44.0,26.0,32.0,14.0,21.0,22.0
1885,0.0,2.0,1.0,3.0,5.0,4.0,12.0,6.0,13.0,10.0,15.0,11.0,7.0,30.0,22.0,14.0,18.0,16.0,29.0,8.0,19.0,20.0,17.0,24.0,48.0,27.0,31.0,28.0,23.0,21.0
1934,2.0,3.0,1.0,0.0,5.0,6.0,16.0,15.0,7.0,4.0,10.0,22.0,14.0,24.0,11.0,8.0,18.0,28.0,19.0,13.0,30.0,12.0,17.0,26.0,40.0,45.0,29.0,20.0,27.0,33.0
1983,0.0,1.0,3.0,9.0,6.0,11.0,8.0,7.0,16.0,4.0,19.0,12.0,2.0,5.0,13.0,15.0,14.0,20.0,10.0,23.0,18.0,22.0,26.0,33.0,42.0,21.0,39.0,31.0,52.0,40.0
2032,0.0,3.0,1.0,6.0,9.0,14.0,2.0,7.0,11.0,5.0,26.0,8.0,4.0,12.0,15.0,13.0,17.0,35.0,10.0,21.0,23.0,29.0,40.0,16.0,25.0,27.0,33.0,31.0,49.0,18.0
2081,1.0,4.0,0.0,5.0,7.0,15.0,3.0,10.0,11.0,13.0,8.0,6.0,2.0,9.0,19.0,16.0,17.0,27.0,18.0,14.0,24.0,12.0,31.0,21.0,26.0,28.0,36.0,51.0,34.0,23.0
2130,0.0,4.0,1.0,8.0,3.0,11.0,2.0,10.0,15.0,9.0,12.0,6.0,5.0,7.0,14.0,21.0,18.0,17.0,28.0,22.0,16.0,29.0,33.0,13.0,24.0,30.0,35.0,26.0,34.0,23.0
2179,0.0,5.0,1.0,3.0,4.0,15.0,2.0,10.0,9.0,12.0,13.0,6.0,7.0,11.0,28.0,8.0,14.0,23.0,16.0,31.0,17.0,29.0,30.0,27.0,19.0,25.0,45.0,35.0,39.0,38.0
2228,0.0,2.0,1.0,13.0,4.0,8.0,3.0,7.0,10.0,12.0,17.0,5.0,6.0,11.0,28.0,9.0,27.0,29.0,14.0,25.0,15.0,19.0,20.0,21.0,39.0,30.0,31.0,26.0,44.0,41.0
2277,0.0,6.0,8.0,5.0,1.0,10.0,2.0,4.0,3.0,9.0,24.0,12.0,13.0,11.0,15.0,14.0,18.0,37.0,20.0,17.0,21.0,22.0,16.0,27.0,33.0,31.0,25.0,50.0,52.0,39.0
2326,0.0,3.0,1.0,7.0,6.0,15.0,13.0,9.0,18.0,10.0,2.0,5.0,4.0,8.0,12.0,11.0,16.0,43.0,17.0,25.0,20.0,34.0,33.0,19.0,24.0,28.0,27.0,30.0,46.0,29.0
2375,0.0,2.0,1.0,13.0,4.0,5.0,16.0,9.0,11.0,10.0,15.0,6.0,3.0,7.0,17.0,8.0,21.0,29.0,24.0,42.0,14.0,19.0,23.0,12.0,18.0,28.0,38.0,52.0,36.0,44.0
2424,0.0,3.0,1.0,7.0,9.0,8.0,5.0,4.0,12.0,10.0,11.0,13.0,6.0,2.0,16.0,15.0,17.0,32.0,14.0,23.0,25.0,24.0,31.0,18.0,19.0,42.0,44.0,45.0,30.0,36.0
2473,0.0,1.0,6.0,13.0,4.0,2.0,5.0,11.0,3.0,8.0,21.0,14.0,27.0,9.0,17.0,16.0,7.0,24.0,22.0,25.0,55.0,37.0,15.0,29.0,10.0,20.0,28.0,12.0,34.0,42.0
2522,0.0,1.0,3.0,12.0,6.0,8.0,5.0,14.0,7.0,11.0,19.0,16.0,20.0,2.0,13.0,4.0,15.0,21.0,25.0,10.0,17.0,22.0,42.0,33.0,23.0,29.0,18.0,9.0,54.0,36.0
2571,1.0,0.0,6.0,7.0,5.0,3.0,2.0,13.0,4.0,11.0,18.0,12.0,17.0,9.0,14.0,16.0,8.0,15.0,19.0,24.0,33.0,34.0,23.0,43.0,30.0,22.0,21.0,10.0,50.0,35.0
2620,2.0,0.0,7.0,8.0,10.0,9.0,1.0,13.0,14.0,15.0,18.0,17.0,27.0,3.0,12.0,5.0,4.0,19.0,11.0,16.0,20.0,34.0,22.0,32.0,30.0,21.0,28.0,6.0,52.0,42.0
2669,0.0,1.0,3.0,7.0,4.0,8.0,6.0,5.0,2.0,9.0,25.0,16.0,12.0,20.0,18.0,13.0,17.0,22.0,21.0,11.0,24.0,27.0,15.0,43.0,10.0,34.0,19.0,14.0,42.0,41.0
2718,0.0,1.0,4.0,6.0,15.0,8.0,7.0,16.0,2.0,9.0,17.0,12.0,35.0,5.0,13.0,10.0,3.0,23.0,14.0,20.0,33.0,32.0,18.0,24.0,30.0,29.0,28.0,11.0,47.0,27.0
2767,0.0,1.0,2.0,10.0,4.0,7.0,3.0,9.0,5.0,11.0,20.0,23.0,26.0,8.0,13.0,6.0,25.0,16.0,21.0,15.0,35.0,38.0,12.0,37.0,40.0,18.0,28.0,17.0,44.0,34.0
2816,0.0,1.0,4.0,6.0,13.0,3.0,8.0,10.0,2.0,17.0,15.0,16.0,25.0,5.0,23.0,9.0,7.0,14.0,12.0,24.0,33.0,20.0,27.0,41.0,30.0,22.0,18.0,11.0,47.0,37.0
2865,1.0,0.0,4.0,11.0,5.0,2.0,17.0,12.0,6.0,13.0,7.0,8.0,21.0,3.0,18.0,14.0,10.0,29.0,25.0,24.0,30.0,45.0,19.0,31.0,28.0,20.0,34.0,9.0,50.0,38.0
2914,0.0,1.0,9.0,14.0,8.0,10.0,2.0,7.0,3.0,11.0,15.0,16.0,17.0,4.0,13.0,6.0,12.0,20.0,18.0,22.0,29.0,25.0,27.0,43.0,31.0,21.0,33.0,5.0,36.0,41.0
2963,0.0,1.0,2.0,3.0,4.0,7.0,26.0,24.0,17.0,6.0,5.0,11.0,22.0,9.0,15.0,14.0,10.0,8.0,20.0,21.0,19.0,12.0,25.0,13.0,23.0,31.0,36.0,40.0,27.0,35.0
3012,0.0,2.0,3.0,19.0,5.0,6.0,7.0,13.0,8.0,1.0,16.0,11.0,14.0,20.0,44.0,17.0,10.0,4.0,26.0,21.0,27.0,9.0,37.0,15.0,12.0,30.0,28.0,23.0,18.0,43.0
3061,0.0,2.0,1.0,13.0,15.0,3.0,8.0,7.0,21.0,5.0,6.0,20.0,4.0,10.0,28.0,19.0,9.0,22.0,31.0,11.0,16.0,12.0,46.0,14.0,33.0,17.0,50.0,25.0,39.0,51.0
3110,0.0,3.0,1.0,4.0,12.0,5.0,7.0,13.0,14.0,2.0,6.0,15.0,9.0,19.0,16.0,10.0,11.0,20.0,26.0,33.0,17.0,8.0,38.0,23.0,39.0,41.0,34.0,27.0,25.0,42.0
3159,0.0,3.0,2.0,9.0,4.0,5.0,12.0,13.0,22.0,1.0,18.0,24.0,6.0,10.0,11.0,15.0,20.0,8.0,28.0,16.0,38.0,7.0,44.0,23.0,34.0,35.0,31.0,27.0,25.0,46.0
3208,0.0,1.0,6.0,11.0,7.0,5.0,12.0,4.0,9.0,3.0,8.0,30.0,2.0,31.0,19.0,10.0,13.0,17.0,16.0,34.0,21.0,15.0,27.0,14.0,26.0,23.0,33.0,20.0,35.0,28.0
3257,0.0,1.0,3.0,16.0,8.0,4.0,5.0,6.0,13.0,2.0,7.0,12.0,9.0,27.0,25.0,11.0,10.0,28.0,15.0,17.0,20.0,14.0,34.0,18.0,24.0,33.0,26.0,22.0,31.0,46.0
3306,0.0,1.0,3.0,12.0,7.0,2.0,5.0,6.0,9.0,4.0,14.0,20.0,8.0,17.0,13.0,10.0,18.0,16.0,27.0,15.0,26.0,11.0,23.0,22.0,28.0,36.0,35.0,24.0,29.0,32.0
3355,1.0,0.0,3.0,8.0,6.0,7.0,9.0,10.0,25.0,4.0,2.0,12.0,15.0,17.0,14.0,13.0,5.0,22.0,11.0,24.0,16.0,21.0,39.0,20.0,36.0,29.0,38.0,26.0,23.0,41.0
3404,0.0,1.0,2.0,13.0,6.0,8.0,7.0,9.0,14.0,4.0,5.0,15.0,3.0,23.0,25.0,11.0,12.0,18.0,24.0,33.0,16.0,10.0,52.0,20.0,43.0,35.0,19.0,46.0,36.0,44.0
3453,0.0,3.0,2.0,6.0,10.0,17.0,4.0,15.0,9.0,14.0,20.0,1.0,5.0,12.0,16.0,8.0,13.0,7.0,11.0,25.0,28.0,22.0,23.0,19.0,58.0,31.0,30.0,32.0,47.0,49.0
3502,0.0,2.0,4.0,3.0,11.0,1.0,6.0,8.0,16.0,7.0,19.0,17.0,13.0,21.0,5.0,9.0,15.0,14.0,18.0,20.0,32.0,33.0,22.0,12.0,46.0,57.0,24.0,10.0,45.0,31.0
3551,0.0,4.0,2.0,1.0,16.0,6.0,8.0,13.0,11.0,7.0,10.0,15.0,19.0,5.0,17.0,21.0,18.0,3.0,24.0,31.0,43.0,37.0,12.0,14.0,35.0,39.0,23.0,22.0,20.0,40.0
3600,0.0,1.0,6.0,2.0,25.0,5.0,4.0,7.0,9.0,3.0,18.0,13.0,30.0,19.0,33.0,11.0,17.0,8.0,12.0,23.0,38.0,41.0,15.0,10.0,60.0,32.0,36.0,24.0,26.0,31.0
3649,0.0,5.0,3.0,1.0,16.0,6.0,4.0,9.0,2.0,8.0,12.0,23.0,17.0,15.0,18.0,21.0,13.0,7.0,11.0,22.0,32.0,28.0,10.0,14.0,37.0,52.0,33.0,24.0,30.0,36.0
3698,0.0,2.0,3.0,7.0,17.0,4.0,12.0,9.0,13.0,1.0,18.0,14.0,5.0,15.0,6.0,10.0,23.0,11.0,20.0,29.0,19.0,44.0,8.0,22.0,32.0,53.0,24.0,34.0,37.0,33.0
3747,0.0,4.0,3.0,2.0,14.0,5.0,15.0,6.0,11.0,8.0,1.0,7.0,9.0,19.0,12.0,10.0,13.0,18.0,25.0,22.0,36.0,42.0,27.0,16.0,53.0,31.0,38.0,20.0,46.0,34.0
3796,0.0,8.0,12.0,5.0,4.0,11.0,2.0,7.0,1.0,10.0,3.0,18.0,15.0,34.0,13.0,17.0,9.0,6.0,27.0,14.0,26.0,36.0,16.0,20.0,23.0,40.0,25.0,35.0,29.0,45.0
3845,0.0,6.0,8.0,1.0,11.0,2.0,3.0,7.0,20.0,4.0,5.0,26.0,15.0,25.0,10.0,9.0,17.0,13.0,12.0,22.0,28.0,44.0,14.0,21.0,42.0,45.0,33.0,18.0,23.0,57.0
3894,6.0,1.0,7.0,2.0,14.0,0.0,10.0,13.0,3.0,5.0,15.0,16.0,9.0,11.0,12.0,20.0,27.0,22.0,23.0,28.0,24.0,26.0,8.0,4.0,30.0,49.0,45.0,37.0,33.0,53.0
3943,0.0,2.0,5.0,1.0,7.0,20.0,10.0,14.0,3.0,18.0,15.0,6.0,8.0,4.0,13.0,17.0,16.0,12.0,19.0,9.0,23.0,11.0,32.0,36.0,35.0,40.0,21.0,28.0,38.0,30.0
3992,0.0,9.0,4.0,2.0,7.0,19.0,18.0,12.0,1.0,17.0,5.0,6.0,3.0,14.0,11.0,8.0,21.0,10.0,15.0,13.0,16.0,35.0,29.0,27.0,22.0,41.0,25.0,36.0,20.0,34.0
4041,0.0,12.0,2.0,3.0,4.0,9.0,14.0,10.0,1.0,26.0,6.0,21.0,7.0,5.0,16.0,8.0,13.0,15.0,20.0,19.0,30.0,17.0,22.0,43.0,24.0,40.0,25.0,37.0,41.0,27.0
4090,0.0,12.0,3.0,2.0,11.0,15.0,16.0,20.0,1.0,10.0,13.0,17.0,18.0,5.0,8.0,4.0,6.0,7.0,23.0,9.0,21.0,14.0,42.0,36.0,24.0,26.0,22.0,30.0,40.0,27.0
4139,0.0,9.0,2.0,3.0,13.0,14.0,23.0,16.0,1.0,4.0,19.0,5.0,22.0,7.0,10.0,17.0,8.0,6.0,27.0,12.0,35.0,11.0,33.0,40.0,15.0,45.0,25.0,38.0,32.0,41.0
4188,0.0,14.0,1.0,5.0,20.0,6.0,18.0,21.0,2.0,9.0,7.0,11.0,4.0,12.0,3.0,22.0,8.0,17.0,16.0,10.0,19.0,13.0,24.0,35.0,26.0,40.0,23.0,15.0,34.0,27.0
4237,0.0,3.0,5.0,1.0,10.0,4.0,20.0,12.0,8.0,22.0,25.0,11.0,17.0,2.0,6.0,14.0,15.0,13.0,7.0,16.0,24.0,9.0,28.0,33.0,27.0,40.0,21.0,26.0,48.0,32.0
4286,0.0,5.0,6.0,2.0,7.0,11.0,14.0,18.0,1.0,27.0,13.0,12.0,17.0,8.0,3.0,9.0,10.0,4.0,19.0,15.0,25.0,20.0,22.0,49.0,16.0,38.0,32.0,29.0,28.0,30.0
4335,0.0,9.0,1.0,3.0,16.0,6.0,11.0,13.0,4.0,15.0,12.0,14.0,25.0,2.0,7.0,10.0,21.0,8.0,20.0,5.0,18.0,17.0,24.0,50.0,32.0,38.0,22.0,35.0,31.0,27.0
4384,0.0,5.0,4.0,1.0,17.0,18.0,12.0,16.0,2.0,19.0,13.0,9.0,15.0,6.0,7.0,3.0,14.0,11.0,21.0,10.0,31.0,23.0,27.0,22.0,38.0,44.0,20.0,54.0,35.0,32.0
4433,0.0,1.0,6.0,5.0,8.0,9.0,2.0,3.0,19.0,7.0,11.0,4.0,10.0,16.0,12.0,15.0,17.0,21.0,27.0,18.0,38.0,23.0,22.0,24.0,14.0,13.0,20.0,33.0,29.0,31.0
4482,0.0,2.0,3.0,8.0,7.0,4.0,1.0,6.0,19.0,18.0,10.0,12.0,22.0,14.0,11.0,5.0,15.0,17.0,20.0,13.0,40.0,23.0,28.0,25.0,26.0,9.0,21.0,30.0,16.0,24.0
4531,0.0,1.0,2.0,3.0,13.0,5.0,4.0,15.0,24.0,14.0,9.0,7.0,11.0,8.0,6.0,16.0,19.0,18.0,23.0,10.0,35.0,20.0,25.0,27.0,12.0,28.0,22.0,17.0,21.0,30.0
4580,0.0,1.0,5.0,3.0,11.0,10.0,2.0,7.0,18.0,6.0,17.0,19.0,15.0,13.0,4.0,9.0,22.0,14.0,31.0,8.0,28.0,20.0,12.0,36.0,27.0,16.0,23.0,37.0,24.0,33.0
4629,0.0,5.0,3.0,2.0,29.0,12.0,1.0,8.0,13.0,17.0,11.0,4.0,7.0,14.0,6.0,9.0,16.0,24.0,10.0,15.0,28.0,37.0,26.0,42.0,22.0,19.0,30.0,57.0,23.0,45.0
4678,0.0,1.0,4.0,2.0,5.0,12.0,3.0,7.0,23.0,16.0,6.0,15.0,9.0,14.0,10.0,8.0,18.0,11.0,22.0,17.0,41.0,25.0,24.0,26.0,27.0,21.0,19.0,40.0,13.0,32.0
4727,0.0,1.0,4.0,2.0,16.0,9.0,3.0,15.0,22.0,6.0,5.0,11.0,13.0,17.0,8.0,10.0,19.0,14.0,12.0,24.0,28.0,18.0,23.0,25.0,20.0,21.0,26.0,40.0,7.0,31.0
4776,0.0,1.0,3.0,4.0,15.0,5.0,2.0,11.0,18.0,10.0,14.0,9.0,6.0,19.0,7.0,16.0,17.0,26.0,8.0,13.0,37.0,21.0,25.0,33.0,23.0,20.0,24.0,28.0,22.0,35.0
4825,0.0,2.0,5.0,3.0,6.0,10.0,1.0,7.0,27.0,11.0,4.0,8.0,14.0,12.0,15.0,23.0,13.0,18.0,28.0,16.0,38.0,19.0,29.0,26.0,21.0,9.0,20.0,40.0,22.0,35.0
4874,0.0,1.0,5.0,4.0,3.0,18.0,2.0,8.0,13.0,15.0,17.0,10.0,7.0,23.0,6.0,20.0,11.0,26.0,30.0,9.0,45.0,25.0,14.0,16.0,19.0,12.0,29.0,46.0,28.0,27.0
