,ZBTB20_AMP,NAALADL2_DEL,PKNOX2_DEL,ARID1A_MUT,LRP1B_DEL,MRGPRX1_DEL,MTOR_MUT,GRIN2D_DEL,TMEM230_DEL,ZBTB44_DEL,WDR91_DEL,ZCCHC4_DEL,GRIN2B_DEL,GRIN2A_DEL,MRPL18_DEL,CCDC113_DEL,CHMP4A_DEL,MRPL15_DEL,MED4_DEL,NDUFAF4_DEL,COMMD9_DEL,LINC00652_DEL,THYN1_DEL,STXBP6_DEL,TIMM21_DEL,RANGRF_DEL,CCDC59_DEL,SETD2_DEL,SLC25A4_DEL,LINC00339_DEL
671,12225.0,5079.0,1.0,16258.0,10215.0,5.0,32.0,56.0,57.0,63.0,61.0,62.0,71.0,51.0,72.0,64.0,68.0,65.0,70.0,55.0,49.0,60.0,66.0,58.0,59.0,50.0,69.0,67.0,54.0,53.0
720,9.0,5081.0,18.0,25.0,16.0,12.0,35.0,50.0,53.0,54.0,51.0,49.0,67.0,97.0,56.0,52.0,73.0,65.0,69.0,70.0,60.0,71.0,66.0,63.0,64.0,61.0,68.0,72.0,59.0,62.0
769,1.0,5078.0,17.0,31.0,10.0,1055.0,39.0,72.0,96.0,50.0,105.0,66.0,97.0,98.0,54.0,48.0,60.0,64.0,58.0,57.0,62.0,69.0,63.0,70.0,65.0,67.0,55.0,53.0,61.0,68.0
818,12225.0,5077.0,21.0,1.0,10195.0,27.0,39.0,60.0,59.0,64.0,61.0,63.0,58.0,55.0,66.0,69.0,51.0,47.0,57.0,62.0,185.0,65.0,54.0,53.0,50.0,117.0,56.0,67.0,184.0,211.0
867,13.0,5075.0,21.0,42.0,10215.0,6.0,15897.0,46.0,69.0,54.0,52.0,53.0,70.0,114.0,64.0,60.0,49.0,62.0,68.0,67.0,55.0,65.0,61.0,58.0,59.0,56.0,66.0,63.0,51.0,57.0
916,12223.0,5078.0,23.0,16260.0,18.0,2.0,32.0,54.0,53.0,70.0,64.0,57.0,52.0,48.0,67.0,69.0,59.0,62.0,71.0,61.0,51.0,65.0,60.0,72.0,63.0,56.0,58.0,68.0,50.0,66.0
965,12219.0,5074.0,2.0,10.0,23.0,37.0,28.0,64.0,55.0,67.0,46.0,58.0,56.0,66.0,68.0,48.0,51.0,112.0,61.0,50.0,180.0,65.0,45.0,114.0,208.0,181.0,53.0,47.0,179.0,182.0
1014,5.0,13.0,14.0,16265.0,10214.0,0.0,15897.0,82.0,126.0,56.0,71.0,59.0,83.0,107.0,57.0,43.0,50.0,48.0,53.0,54.0,60.0,55.0,49.0,45.0,46.0,52.0,51.0,58.0,61.0,44.0
1063,1.0,22.0,10770.0,14.0,10197.0,9.0,28.0,44.0,45.0,47.0,46.0,49.0,65.0,69.0,52.0,48.0,63.0,61.0,51.0,66.0,56.0,67.0,62.0,59.0,60.0,57.0,64.0,68.0,55.0,58.0
1112,27.0,5074.0,10765.0,12.0,10215.0,0.0,15896.0,56.0,57.0,53.0,55.0,54.0,58.0,59.0,49.0,52.0,64.0,84.0,46.0,47.0,79.0,48.0,65.0,82.0,83.0,80.0,63.0,50.0,32.0,81.0
1161,22.0,5076.0,20.0,16257.0,14.0,1127.0,43.0,49.0,48.0,58.0,51.0,66.0,53.0,54.0,55.0,67.0,60.0,57.0,62.0,63.0,186.0,65.0,59.0,50.0,56.0,98.0,61.0,64.0,117.0,52.0
1210,12226.0,5079.0,10771.0,16261.0,10197.0,1128.0,42.0,97.0,100.0,113.0,96.0,75.0,104.0,112.0,53.0,93.0,46.0,57.0,47.0,49.0,63.0,51.0,64.0,56.0,71.0,68.0,52.0,73.0,62.0,69.0
1259,0.0,5076.0,10766.0,16259.0,10217.0,24.0,41.0,57.0,51.0,52.0,58.0,49.0,55.0,56.0,76.0,53.0,71.0,68.0,73.0,75.0,62.0,60.0,70.0,66.0,67.0,64.0,72.0,48.0,61.0,65.0
1308,11.0,5077.0,10767.0,16259.0,10215.0,1126.0,15900.0,64.0,83.0,80.0,82.0,81.0,56.0,48.0,77.0,79.0,71.0,68.0,73.0,74.0,129.0,76.0,69.0,127.0,66.0,128.0,72.0,78.0,190.0,192.0
1357,1.0,21.0,13.0,16266.0,10214.0,22.0,15898.0,46.0,48.0,53.0,50.0,61.0,51.0,45.0,66.0,69.0,62.0,59.0,63.0,64.0,54.0,65.0,60.0,57.0,58.0,55.0,70.0,68.0,104.0,56.0
1406,12222.0,13.0,10768.0,3.0,10196.0,40.0,15896.0,43.0,47.0,52.0,50.0,59.0,48.0,44.0,64.0,66.0,60.0,57.0,61.0,62.0,100.0,63.0,58.0,55.0,56.0,53.0,67.0,65.0,113.0,54.0
1455,3.0,5074.0,1.0,16259.0,17.0,1122.0,15899.0,48.0,47.0,65.0,49.0,46.0,45.0,66.0,54.0,52.0,58.0,60.0,57.0,56.0,99.0,55.0,59.0,62.0,61.0,64.0,51.0,53.0,114.0,63.0
1504,33.0,30.0,15.0,24.0,0.0,2.0,43.0,80.0,101.0,53.0,98.0,57.0,102.0,103.0,54.0,49.0,73.0,71.0,76.0,77.0,65.0,47.0,72.0,68.0,78.0,66.0,74.0,51.0,64.0,67.0
1553,1.0,24.0,10768.0,16256.0,2.0,1102.0,15897.0,101.0,102.0,98.0,100.0,99.0,103.0,104.0,50.0,76.0,43.0,71.0,53.0,46.0,65.0,48.0,72.0,69.0,70.0,66.0,44.0,95.0,64.0,68.0
1602,0.0,21.0,4.0,16259.0,23.0,24.0,39.0,58.0,103.0,50.0,55.0,53.0,104.0,105.0,46.0,49.0,76.0,73.0,62.0,61.0,45.0,60.0,79.0,71.0,78.0,64.0,63.0,48.0,66.0,68.0
1651,0.0,14.0,10768.0,16267.0,38.0,3.0,15899.0,48.0,47.0,69.0,60.0,51.0,49.0,45.0,65.0,68.0,61.0,58.0,62.0,63.0,53.0,64.0,59.0,56.0,57.0,54.0,70.0,67.0,52.0,55.0
1700,1.0,5079.0,10767.0,16259.0,0.0,8.0,23.0,76.0,77.0,72.0,74.0,73.0,78.0,79.0,68.0,71.0,185.0,183.0,187.0,128.0,176.0,189.0,184.0,180.0,181.0,178.0,186.0,70.0,175.0,179.0
1749,0.0,5077.0,10769.0,2.0,6.0,1124.0,15898.0,58.0,65.0,46.0,51.0,50.0,66.0,54.0,59.0,60.0,52.0,44.0,62.0,63.0,114.0,61.0,45.0,99.0,43.0,208.0,56.0,67.0,182.0,112.0
1798,0.0,5078.0,10766.0,36.0,10216.0,42.0,15897.0,61.0,60.0,69.0,62.0,64.0,59.0,57.0,67.0,66.0,55.0,53.0,54.0,63.0,186.0,65.0,68.0,51.0,52.0,115.0,56.0,58.0,117.0,49.0
1847,11.0,17.0,23.0,29.0,20.0,1057.0,15899.0,47.0,51.0,57.0,55.0,71.0,49.0,50.0,62.0,60.0,66.0,63.0,69.0,68.0,48.0,65.0,64.0,59.0,56.0,54.0,70.0,61.0,107.0,58.0
1896,1.0,5078.0,11.0,16257.0,4.0,14.0,30.0,49.0,46.0,51.0,48.0,59.0,45.0,47.0,64.0,67.0,60.0,57.0,61.0,62.0,52.0,63.0,58.0,55.0,56.0,53.0,68.0,66.0,101.0,54.0
1945,10.0,5081.0,15.0,21.0,1.0,9.0,25.0,79.0,80.0,74.0,77.0,83.0,81.0,82.0,70.0,72.0,127.0,188.0,67.0,68.0,183.0,69.0,201.0,186.0,187.0,184.0,86.0,71.0,182.0,185.0
1994,0.0,5077.0,21.0,6.0,10217.0,15.0,15899.0,60.0,61.0,56.0,59.0,57.0,75.0,87.0,52.0,55.0,47.0,62.0,49.0,50.0,84.0,51.0,46.0,64.0,63.0,85.0,48.0,54.0,83.0,65.0
2043,17.0,15.0,10768.0,19.0,2.0,1.0,33.0,58.0,56.0,57.0,53.0,52.0,60.0,78.0,54.0,47.0,70.0,69.0,72.0,75.0,61.0,68.0,77.0,64.0,65.0,62.0,71.0,48.0,115.0,63.0
2092,12229.0,5083.0,13.0,16263.0,19.0,3.0,23.0,78.0,79.0,73.0,77.0,76.0,80.0,63.0,70.0,72.0,65.0,84.0,67.0,68.0,188.0,69.0,64.0,170.0,127.0,128.0,66.0,71.0,187.0,129.0
2141,0.0,4.0,18.0,39.0,9.0,41.0,15898.0,56.0,55.0,62.0,57.0,61.0,53.0,46.0,54.0,64.0,67.0,47.0,59.0,60.0,187.0,63.0,48.0,51.0,50.0,113.0,58.0,66.0,115.0,99.0
2190,0.0,25.0,10767.0,2.0,10219.0,1.0,41.0,50.0,51.0,46.0,49.0,48.0,53.0,67.0,73.0,59.0,76.0,66.0,70.0,71.0,60.0,72.0,68.0,63.0,65.0,61.0,69.0,75.0,115.0,62.0
2239,1.0,26.0,10770.0,4.0,22.0,10.0,15899.0,47.0,93.0,53.0,49.0,52.0,71.0,96.0,59.0,55.0,57.0,51.0,69.0,62.0,66.0,61.0,60.0,64.0,63.0,58.0,67.0,56.0,68.0,65.0
2288,0.0,16.0,10774.0,26.0,3.0,1058.0,31.0,47.0,46.0,51.0,48.0,49.0,62.0,70.0,56.0,53.0,44.0,61.0,64.0,59.0,68.0,69.0,63.0,60.0,45.0,67.0,66.0,55.0,65.0,54.0
2337,12239.0,11.0,15.0,16256.0,10215.0,34.0,42.0,67.0,71.0,63.0,66.0,64.0,72.0,58.0,57.0,61.0,69.0,74.0,73.0,62.0,54.0,60.0,70.0,46.0,49.0,53.0,68.0,59.0,55.0,52.0
2386,13.0,5080.0,21.0,16268.0,10197.0,1011.0,15901.0,47.0,48.0,61.0,46.0,59.0,49.0,58.0,71.0,63.0,51.0,62.0,66.0,60.0,73.0,50.0,72.0,69.0,68.0,65.0,64.0,70.0,57.0,67.0
2435,0.0,21.0,10772.0,16256.0,2.0,1057.0,15898.0,46.0,45.0,70.0,71.0,53.0,51.0,49.0,67.0,69.0,62.0,60.0,64.0,65.0,55.0,66.0,61.0,58.0,59.0,56.0,63.0,68.0,54.0,57.0
2484,3.0,23.0,10771.0,24.0,35.0,7.0,29.0,49.0,52.0,50.0,47.0,53.0,106.0,73.0,48.0,51.0,67.0,66.0,69.0,55.0,61.0,62.0,71.0,64.0,65.0,63.0,68.0,46.0,60.0,70.0
2533,1.0,0.0,10769.0,29.0,10198.0,1126.0,12.0,81.0,82.0,78.0,80.0,79.0,83.0,84.0,75.0,86.0,70.0,68.0,72.0,73.0,200.0,74.0,69.0,133.0,110.0,135.0,71.0,77.0,199.0,134.0
2582,0.0,5074.0,10766.0,1.0,2.0,1123.0,21.0,72.0,74.0,69.0,80.0,71.0,75.0,76.0,63.0,68.0,127.0,183.0,125.0,83.0,177.0,62.0,126.0,181.0,182.0,178.0,167.0,65.0,176.0,180.0
2631,0.0,1.0,10768.0,16260.0,2.0,21.0,40.0,78.0,99.0,54.0,96.0,56.0,101.0,102.0,57.0,53.0,67.0,59.0,50.0,49.0,69.0,48.0,60.0,72.0,74.0,70.0,51.0,52.0,68.0,71.0
2680,4.0,25.0,3.0,16255.0,15.0,1124.0,15896.0,44.0,42.0,48.0,45.0,46.0,47.0,41.0,50.0,43.0,61.0,67.0,64.0,65.0,54.0,66.0,60.0,57.0,59.0,55.0,62.0,58.0,53.0,56.0
2729,0.0,11.0,18.0,6.0,10216.0,44.0,15901.0,49.0,51.0,63.0,60.0,61.0,53.0,54.0,67.0,64.0,65.0,62.0,56.0,70.0,46.0,69.0,57.0,58.0,59.0,52.0,68.0,66.0,47.0,71.0
2778,2.0,3.0,4.0,5.0,10214.0,26.0,15895.0,50.0,49.0,68.0,51.0,48.0,45.0,117.0,60.0,56.0,69.0,57.0,64.0,62.0,55.0,61.0,66.0,63.0,67.0,54.0,65.0,59.0,53.0,58.0
2827,4.0,1.0,10772.0,18.0,13.0,1128.0,15900.0,52.0,50.0,45.0,49.0,47.0,48.0,51.0,54.0,46.0,65.0,62.0,67.0,68.0,57.0,69.0,63.0,60.0,61.0,58.0,66.0,70.0,56.0,59.0
2876,0.0,19.0,10763.0,21.0,10215.0,1125.0,15897.0,48.0,53.0,49.0,54.0,51.0,52.0,50.0,45.0,56.0,73.0,68.0,58.0,76.0,63.0,44.0,69.0,66.0,67.0,64.0,74.0,47.0,62.0,65.0
2925,1.0,2.0,17.0,16260.0,10215.0,1059.0,15900.0,63.0,62.0,79.0,81.0,80.0,61.0,60.0,76.0,78.0,70.0,68.0,73.0,82.0,129.0,74.0,69.0,64.0,66.0,128.0,71.0,77.0,190.0,127.0
2974,1.0,12.0,20.0,16257.0,14.0,11.0,32.0,71.0,55.0,72.0,60.0,64.0,52.0,51.0,46.0,67.0,61.0,54.0,66.0,70.0,62.0,59.0,58.0,57.0,56.0,63.0,65.0,68.0,53.0,69.0
3023,12243.0,12.0,24.0,16260.0,9.0,991.0,32.0,62.0,60.0,67.0,64.0,72.0,59.0,55.0,68.0,47.0,71.0,66.0,52.0,57.0,53.0,61.0,70.0,58.0,63.0,54.0,65.0,69.0,50.0,56.0
3072,12222.0,1.0,10766.0,16257.0,0.0,1126.0,39.0,67.0,45.0,59.0,53.0,56.0,48.0,46.0,68.0,61.0,51.0,58.0,66.0,65.0,43.0,64.0,60.0,52.0,57.0,47.0,55.0,62.0,50.0,54.0
3121,10.0,11.0,10766.0,16258.0,20.0,1128.0,15897.0,62.0,60.0,48.0,61.0,47.0,57.0,55.0,66.0,65.0,58.0,56.0,68.0,63.0,97.0,64.0,67.0,52.0,54.0,50.0,59.0,46.0,117.0,51.0
3170,6.0,13.0,10768.0,32.0,10197.0,1062.0,15900.0,50.0,53.0,56.0,49.0,47.0,62.0,73.0,67.0,71.0,58.0,59.0,63.0,65.0,57.0,72.0,44.0,66.0,61.0,69.0,60.0,70.0,64.0,68.0
3219,22.0,13.0,18.0,16257.0,1.0,1121.0,15898.0,43.0,41.0,47.0,44.0,46.0,40.0,42.0,51.0,48.0,57.0,54.0,61.0,62.0,56.0,65.0,55.0,50.0,64.0,53.0,66.0,58.0,59.0,52.0
3268,12222.0,20.0,10767.0,16258.0,1.0,1058.0,15899.0,53.0,56.0,51.0,49.0,57.0,76.0,78.0,68.0,54.0,73.0,71.0,75.0,59.0,63.0,60.0,72.0,69.0,70.0,64.0,74.0,55.0,61.0,66.0
3317,12242.0,24.0,9.0,16257.0,19.0,1060.0,15898.0,61.0,47.0,69.0,52.0,70.0,50.0,48.0,51.0,68.0,62.0,59.0,63.0,64.0,54.0,65.0,60.0,57.0,58.0,55.0,71.0,67.0,53.0,56.0
3366,23.0,24.0,10771.0,16259.0,4.0,1010.0,15899.0,50.0,52.0,46.0,49.0,48.0,75.0,74.0,45.0,47.0,70.0,67.0,54.0,43.0,62.0,44.0,69.0,65.0,66.0,63.0,72.0,53.0,61.0,64.0
3415,25.0,5075.0,10767.0,16267.0,1.0,1124.0,3.0,54.0,52.0,66.0,62.0,63.0,51.0,50.0,64.0,56.0,57.0,43.0,44.0,55.0,45.0,60.0,61.0,53.0,59.0,46.0,67.0,65.0,114.0,47.0
3464,4.0,5081.0,22.0,7.0,2.0,1059.0,15899.0,52.0,50.0,62.0,57.0,61.0,49.0,47.0,44.0,64.0,63.0,58.0,48.0,66.0,98.0,60.0,59.0,53.0,56.0,46.0,54.0,65.0,114.0,51.0
3513,0.0,5081.0,10773.0,16261.0,4.0,1059.0,15902.0,50.0,49.0,46.0,51.0,52.0,48.0,53.0,56.0,54.0,67.0,64.0,69.0,70.0,58.0,71.0,66.0,61.0,62.0,59.0,68.0,74.0,57.0,60.0
3562,4.0,2.0,10768.0,16257.0,10197.0,24.0,35.0,75.0,96.0,43.0,71.0,50.0,97.0,98.0,48.0,42.0,57.0,70.0,54.0,53.0,63.0,49.0,73.0,68.0,69.0,72.0,64.0,44.0,62.0,66.0
3611,0.0,10.0,5.0,34.0,10216.0,14.0,21.0,79.0,80.0,76.0,78.0,77.0,61.0,53.0,71.0,75.0,65.0,127.0,68.0,69.0,187.0,70.0,64.0,129.0,169.0,128.0,67.0,73.0,185.0,188.0
3660,0.0,5.0,24.0,16258.0,10215.0,3.0,15900.0,50.0,53.0,69.0,51.0,72.0,47.0,49.0,65.0,68.0,58.0,56.0,61.0,62.0,55.0,64.0,57.0,70.0,54.0,66.0,60.0,67.0,71.0,59.0
3709,0.0,2.0,11.0,15.0,10211.0,1123.0,15895.0,75.0,76.0,72.0,74.0,73.0,77.0,78.0,69.0,80.0,198.0,185.0,64.0,66.0,180.0,68.0,125.0,183.0,184.0,181.0,105.0,71.0,179.0,182.0
3758,0.0,15.0,22.0,8.0,23.0,1055.0,15896.0,47.0,60.0,42.0,46.0,41.0,90.0,67.0,50.0,43.0,57.0,62.0,53.0,52.0,58.0,51.0,61.0,49.0,64.0,59.0,55.0,45.0,56.0,63.0
3807,3.0,15.0,10766.0,16258.0,10195.0,22.0,27.0,51.0,59.0,65.0,67.0,66.0,49.0,48.0,63.0,64.0,58.0,56.0,68.0,61.0,115.0,62.0,57.0,54.0,55.0,52.0,60.0,50.0,162.0,53.0
3856,0.0,15.0,10766.0,16256.0,10194.0,1125.0,15896.0,53.0,69.0,66.0,68.0,67.0,47.0,46.0,70.0,65.0,58.0,56.0,60.0,61.0,196.0,62.0,57.0,54.0,55.0,115.0,59.0,64.0,117.0,100.0
3905,0.0,19.0,10765.0,16253.0,10212.0,3.0,15895.0,103.0,104.0,96.0,101.0,99.0,105.0,107.0,56.0,76.0,57.0,58.0,54.0,48.0,65.0,46.0,75.0,69.0,74.0,66.0,45.0,52.0,64.0,67.0
3954,18.0,13.0,20.0,12.0,43.0,1059.0,15897.0,70.0,48.0,68.0,52.0,69.0,50.0,47.0,71.0,67.0,61.0,59.0,63.0,64.0,54.0,65.0,60.0,57.0,58.0,55.0,62.0,66.0,53.0,56.0
4003,1.0,5078.0,10771.0,8.0,23.0,12.0,33.0,54.0,51.0,50.0,53.0,48.0,49.0,47.0,56.0,52.0,61.0,63.0,59.0,58.0,68.0,57.0,62.0,65.0,64.0,67.0,60.0,70.0,69.0,66.0
4052,1.0,8.0,17.0,16266.0,10213.0,1057.0,15898.0,53.0,52.0,58.0,54.0,57.0,50.0,72.0,70.0,63.0,73.0,62.0,55.0,64.0,68.0,48.0,56.0,60.0,67.0,69.0,51.0,66.0,65.0,71.0
4101,24.0,5079.0,18.0,31.0,23.0,1060.0,15902.0,82.0,103.0,57.0,80.0,58.0,121.0,105.0,50.0,55.0,78.0,76.0,48.0,49.0,68.0,60.0,62.0,72.0,73.0,70.0,79.0,53.0,67.0,71.0
4150,1.0,22.0,10770.0,16256.0,10215.0,25.0,41.0,101.0,102.0,76.0,100.0,99.0,103.0,104.0,54.0,74.0,48.0,75.0,51.0,52.0,70.0,53.0,46.0,58.0,59.0,71.0,50.0,55.0,69.0,73.0
4199,19.0,20.0,1.0,8.0,3.0,7.0,28.0,46.0,65.0,45.0,44.0,47.0,89.0,67.0,63.0,56.0,58.0,57.0,60.0,61.0,51.0,62.0,64.0,54.0,55.0,52.0,59.0,49.0,50.0,53.0
4248,23.0,5074.0,10766.0,16.0,3.0,1060.0,29.0,51.0,50.0,54.0,67.0,53.0,49.0,46.0,57.0,55.0,62.0,64.0,60.0,59.0,115.0,68.0,63.0,66.0,65.0,161.0,61.0,56.0,183.0,113.0
4297,0.0,15.0,1.0,16258.0,10199.0,1105.0,15899.0,47.0,62.0,45.0,46.0,49.0,102.0,69.0,54.0,66.0,50.0,64.0,59.0,58.0,53.0,57.0,65.0,60.0,63.0,55.0,61.0,51.0,52.0,56.0
4346,4.0,5082.0,8.0,30.0,10200.0,1014.0,15898.0,49.0,50.0,62.0,48.0,53.0,51.0,61.0,83.0,82.0,75.0,73.0,77.0,79.0,66.0,80.0,74.0,70.0,72.0,67.0,76.0,64.0,65.0,68.0
4395,19.0,15.0,10767.0,9.0,10195.0,8.0,15896.0,64.0,69.0,49.0,53.0,51.0,93.0,71.0,50.0,47.0,57.0,59.0,68.0,54.0,67.0,52.0,58.0,63.0,60.0,55.0,56.0,48.0,65.0,66.0
4444,0.0,5079.0,10768.0,16262.0,12.0,1108.0,33.0,64.0,47.0,70.0,57.0,71.0,52.0,49.0,67.0,56.0,59.0,55.0,61.0,62.0,53.0,65.0,58.0,72.0,63.0,69.0,60.0,68.0,54.0,66.0
4493,0.0,5074.0,10769.0,16259.0,32.0,23.0,39.0,77.0,100.0,55.0,108.0,76.0,101.0,105.0,51.0,54.0,57.0,59.0,56.0,47.0,69.0,50.0,75.0,73.0,74.0,70.0,46.0,52.0,68.0,72.0
4542,0.0,6.0,10769.0,4.0,16.0,31.0,1.0,59.0,56.0,63.0,61.0,62.0,49.0,51.0,68.0,65.0,60.0,55.0,66.0,69.0,52.0,57.0,58.0,54.0,70.0,50.0,64.0,71.0,188.0,53.0
4591,0.0,5076.0,23.0,16257.0,10217.0,1125.0,30.0,46.0,49.0,54.0,48.0,70.0,50.0,51.0,71.0,69.0,63.0,61.0,65.0,66.0,56.0,67.0,62.0,59.0,60.0,57.0,64.0,68.0,55.0,58.0
4640,0.0,5078.0,22.0,16258.0,10216.0,3.0,37.0,67.0,72.0,49.0,53.0,50.0,107.0,74.0,46.0,54.0,56.0,64.0,55.0,51.0,69.0,47.0,61.0,66.0,65.0,70.0,58.0,45.0,68.0,48.0
4689,4.0,2.0,10769.0,16260.0,17.0,22.0,15900.0,47.0,45.0,51.0,49.0,50.0,54.0,72.0,48.0,52.0,67.0,66.0,71.0,56.0,58.0,73.0,74.0,62.0,64.0,59.0,69.0,53.0,27.0,61.0
4738,1.0,12.0,13.0,16256.0,0.0,4.0,33.0,80.0,60.0,77.0,62.0,61.0,53.0,46.0,72.0,76.0,65.0,63.0,69.0,70.0,186.0,71.0,64.0,125.0,83.0,127.0,67.0,74.0,126.0,199.0
4787,14.0,0.0,10771.0,16262.0,10217.0,1059.0,45.0,71.0,94.0,50.0,68.0,52.0,73.0,97.0,51.0,48.0,55.0,67.0,46.0,53.0,63.0,49.0,69.0,65.0,66.0,70.0,62.0,47.0,61.0,64.0
4836,0.0,5073.0,4.0,16258.0,10195.0,7.0,3.0,42.0,40.0,47.0,45.0,56.0,39.0,41.0,63.0,65.0,59.0,66.0,61.0,62.0,52.0,46.0,58.0,55.0,57.0,53.0,60.0,64.0,28.0,54.0
4885,1.0,5079.0,10769.0,16267.0,18.0,2.0,34.0,48.0,55.0,56.0,51.0,54.0,53.0,63.0,67.0,70.0,59.0,61.0,57.0,62.0,58.0,66.0,60.0,73.0,64.0,72.0,71.0,69.0,65.0,68.0
