,hsa-miR-210,ebv-miR-BART7,hsa-miR-148a,hsa-miR-888,hsa-miR-597,hsa-miR-485-3p,hsa-miR-135b,hcmv-miR-US5-1,hsa-miR-590-3p,hsa-miR-587,hsa-miR-588,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-586,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-581,hsa-miR-580,hsa-miR-577,hsa-miR-591,hsa-miR-590-5p,hsa-miR-579,hsa-miR-578,hsa-miR-596,hsa-miR-576-5p,hsa-miR-592,hsa-miR-593,hsa-miR-628-5p,hsa-miR-576-3p
2568,0.0,1.0,13.0,292.0,23.0,536.0,342.0,3.0,41.0,54.0,53.0,59.0,58.0,50.0,55.0,42.0,60.0,57.0,56.0,49.0,46.0,44.0,52.0,51.0,24.0,61.0,62.0,79.0,66.0,43.0
2617,37.0,3.0,14.0,31.0,23.0,550.0,44.0,240.0,51.0,55.0,54.0,58.0,57.0,52.0,56.0,60.0,62.0,29.0,49.0,61.0,48.0,50.0,59.0,53.0,26.0,46.0,47.0,17.0,45.0,88.0
2666,587.0,18.0,21.0,31.0,17.0,549.0,331.0,10.0,53.0,57.0,56.0,45.0,55.0,54.0,59.0,50.0,44.0,58.0,51.0,5.0,48.0,52.0,49.0,47.0,62.0,87.0,46.0,6.0,66.0,95.0
2715,0.0,192.0,343.0,41.0,68.0,547.0,364.0,11.0,65.0,54.0,53.0,56.0,66.0,52.0,55.0,58.0,57.0,59.0,60.0,63.0,50.0,49.0,61.0,62.0,92.0,64.0,48.0,46.0,72.0,94.0
2764,0.0,25.0,343.0,295.0,27.0,551.0,350.0,42.0,61.0,64.0,63.0,69.0,67.0,62.0,66.0,72.0,71.0,105.0,108.0,109.0,73.0,58.0,110.0,145.0,57.0,146.0,49.0,47.0,19.0,147.0
2813,38.0,36.0,1.0,296.0,20.0,43.0,14.0,44.0,64.0,61.0,62.0,106.0,59.0,63.0,60.0,158.0,108.0,145.0,146.0,151.0,67.0,66.0,147.0,149.0,0.0,152.0,68.0,70.0,82.0,153.0
2862,4.0,8.0,13.0,20.0,33.0,550.0,362.0,42.0,56.0,53.0,54.0,50.0,51.0,55.0,52.0,49.0,57.0,48.0,46.0,67.0,77.0,60.0,45.0,58.0,98.0,76.0,94.0,78.0,185.0,74.0
2911,34.0,14.0,25.0,290.0,88.0,41.0,342.0,239.0,24.0,48.0,46.0,52.0,50.0,45.0,49.0,56.0,53.0,61.0,62.0,42.0,94.0,67.0,63.0,64.0,89.0,60.0,96.0,93.0,51.0,58.0
2960,2.0,188.0,9.0,25.0,93.0,0.0,3.0,240.0,50.0,53.0,52.0,57.0,56.0,51.0,54.0,59.0,58.0,60.0,49.0,61.0,46.0,47.0,55.0,62.0,64.0,43.0,45.0,94.0,66.0,44.0
3009,27.0,15.0,7.0,290.0,51.0,0.0,1.0,31.0,54.0,58.0,57.0,61.0,60.0,56.0,59.0,63.0,62.0,64.0,65.0,101.0,52.0,67.0,66.0,70.0,43.0,103.0,45.0,21.0,76.0,140.0
3058,586.0,187.0,342.0,292.0,49.0,1.0,0.0,37.0,59.0,62.0,61.0,66.0,64.0,60.0,63.0,68.0,67.0,69.0,70.0,106.0,71.0,58.0,103.0,105.0,50.0,142.0,47.0,53.0,80.0,144.0
3107,36.0,1.0,19.0,25.0,90.0,6.0,12.0,3.0,68.0,49.0,50.0,52.0,47.0,82.0,48.0,44.0,51.0,43.0,46.0,24.0,67.0,96.0,65.0,53.0,91.0,59.0,95.0,94.0,55.0,62.0
3156,587.0,189.0,342.0,24.0,87.0,0.0,26.0,1.0,67.0,46.0,81.0,42.0,43.0,68.0,44.0,48.0,47.0,49.0,50.0,54.0,93.0,94.0,66.0,52.0,88.0,55.0,92.0,91.0,37.0,21.0
3205,583.0,11.0,340.0,295.0,94.0,2.0,3.0,43.0,46.0,49.0,48.0,52.0,51.0,54.0,50.0,57.0,68.0,58.0,59.0,63.0,56.0,53.0,60.0,61.0,95.0,64.0,69.0,23.0,45.0,65.0
3254,4.0,15.0,367.0,311.0,47.0,3.0,31.0,27.0,61.0,57.0,60.0,58.0,49.0,62.0,48.0,55.0,54.0,52.0,46.0,100.0,56.0,59.0,98.0,157.0,50.0,155.0,63.0,53.0,38.0,154.0
3303,587.0,189.0,21.0,35.0,48.0,39.0,19.0,250.0,60.0,64.0,63.0,67.0,66.0,62.0,65.0,69.0,68.0,89.0,106.0,143.0,24.0,71.0,107.0,108.0,46.0,146.0,43.0,44.0,77.0,149.0
3352,0.0,14.0,1.0,16.0,71.0,4.0,30.0,41.0,53.0,57.0,55.0,60.0,59.0,54.0,58.0,63.0,61.0,64.0,65.0,68.0,50.0,52.0,66.0,67.0,70.0,69.0,49.0,48.0,44.0,99.0
3401,588.0,187.0,25.0,5.0,80.0,10.0,6.0,1.0,40.0,44.0,39.0,47.0,46.0,41.0,59.0,49.0,48.0,50.0,45.0,54.0,43.0,42.0,52.0,53.0,62.0,29.0,51.0,60.0,65.0,55.0
3450,30.0,14.0,343.0,18.0,0.0,35.0,329.0,38.0,52.0,58.0,71.0,61.0,60.0,53.0,59.0,63.0,62.0,64.0,65.0,68.0,49.0,50.0,66.0,67.0,55.0,69.0,47.0,46.0,79.0,104.0
3499,0.0,3.0,385.0,19.0,1.0,5.0,332.0,238.0,40.0,55.0,53.0,59.0,58.0,46.0,57.0,61.0,60.0,62.0,63.0,66.0,43.0,42.0,64.0,65.0,47.0,67.0,44.0,51.0,155.0,102.0
3548,6.0,32.0,340.0,293.0,0.0,42.0,28.0,241.0,99.0,68.0,98.0,48.0,47.0,70.0,46.0,67.0,51.0,52.0,53.0,59.0,96.0,97.0,55.0,58.0,91.0,63.0,95.0,94.0,60.0,84.0
3597,588.0,7.0,19.0,295.0,0.0,41.0,333.0,44.0,15.0,58.0,70.0,50.0,48.0,94.0,49.0,54.0,47.0,67.0,57.0,62.0,91.0,92.0,59.0,61.0,87.0,64.0,90.0,89.0,60.0,65.0
3646,38.0,20.0,33.0,1.0,2.0,0.0,18.0,243.0,71.0,67.0,69.0,62.0,63.0,70.0,65.0,60.0,61.0,59.0,58.0,109.0,56.0,57.0,107.0,108.0,46.0,145.0,55.0,49.0,79.0,148.0
3695,584.0,1.0,2.0,19.0,24.0,548.0,17.0,36.0,72.0,59.0,57.0,62.0,61.0,58.0,60.0,65.0,63.0,66.0,67.0,70.0,47.0,46.0,68.0,69.0,51.0,71.0,48.0,55.0,80.0,168.0
3744,581.0,15.0,11.0,3.0,34.0,22.0,346.0,1.0,45.0,49.0,47.0,53.0,52.0,46.0,51.0,55.0,54.0,48.0,56.0,71.0,44.0,43.0,64.0,57.0,74.0,70.0,50.0,73.0,87.0,69.0
3793,38.0,25.0,18.0,12.0,4.0,36.0,2.0,207.0,54.0,51.0,52.0,47.0,49.0,53.0,50.0,45.0,46.0,44.0,43.0,57.0,59.0,55.0,42.0,56.0,95.0,66.0,75.0,76.0,277.0,58.0
