,HAEMATOPOIETIC,LARGE_INTESTINE,OVARY,BREAST,STOMACH,LUNG,SKIN,NERVOUS,PANCREAS,OESOPHAGUS,GANGLIA,AERODIGESTIVE,ENDOMETRIUM,PROSTATE,BONE,LIVER,PLEURA,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,URINARY,BILIARY
635,2.0,5.0,3.0,8.0,11.0,6.0,7.0,10.0,9.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
684,1.0,4.0,3.0,9.0,2.0,7.0,5.0,6.0,8.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
733,2.0,6.0,3.0,8.0,7.0,4.0,5.0,19.0,9.0,10.0,0.0,11.0,12.0,13.0,21.0,14.0,1.0,15.0,16.0,17.0,18.0,20.0,22.0
782,1.0,3.0,2.0,9.0,7.0,5.0,6.0,10.0,8.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
831,0.0,4.0,2.0,9.0,1.0,6.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
880,1.0,6.0,3.0,10.0,4.0,5.0,7.0,9.0,8.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,2.0,18.0,19.0,20.0,22.0
929,0.0,1.0,2.0,6.0,5.0,9.0,10.0,8.0,7.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,15.0,18.0,3.0,19.0,20.0,4.0,22.0
978,2.0,8.0,3.0,10.0,7.0,5.0,6.0,9.0,11.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
1027,1.0,4.0,2.0,5.0,7.0,6.0,9.0,3.0,8.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
1076,1.0,6.0,4.0,8.0,7.0,9.0,5.0,3.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,2.0,15.0,17.0,18.0,19.0,20.0,0.0,22.0
1125,0.0,4.0,8.0,6.0,7.0,5.0,10.0,3.0,9.0,11.0,12.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,18.0,19.0,20.0,2.0,22.0
1174,1.0,4.0,3.0,5.0,6.0,7.0,8.0,2.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,0.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
1223,2.0,5.0,9.0,4.0,8.0,7.0,10.0,3.0,11.0,12.0,0.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,18.0,19.0,20.0,6.0,22.0
1272,2.0,4.0,3.0,8.0,7.0,6.0,9.0,1.0,10.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,5.0,22.0
1321,1.0,4.0,8.0,3.0,11.0,7.0,10.0,5.0,9.0,12.0,0.0,13.0,21.0,14.0,16.0,17.0,15.0,18.0,2.0,19.0,20.0,6.0,22.0
1370,1.0,4.0,5.0,7.0,8.0,6.0,9.0,2.0,10.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
1419,1.0,8.0,5.0,11.0,9.0,10.0,7.0,3.0,6.0,12.0,0.0,13.0,21.0,14.0,16.0,2.0,15.0,17.0,18.0,19.0,20.0,4.0,22.0
1468,2.0,4.0,7.0,6.0,8.0,5.0,10.0,3.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
1517,1.0,2.0,4.0,5.0,3.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
1566,3.0,5.0,6.0,11.0,2.0,7.0,10.0,9.0,8.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
1615,1.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,8.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
1664,2.0,3.0,6.0,9.0,4.0,5.0,7.0,10.0,8.0,11.0,0.0,12.0,13.0,14.0,21.0,15.0,1.0,16.0,17.0,18.0,19.0,20.0,22.0
1713,2.0,5.0,3.0,8.0,7.0,11.0,6.0,10.0,9.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
1762,1.0,3.0,2.0,8.0,5.0,10.0,6.0,9.0,7.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
1811,1.0,2.0,8.0,6.0,5.0,4.0,7.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
1860,1.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,3.0,22.0
1909,2.0,3.0,6.0,10.0,8.0,5.0,7.0,9.0,4.0,11.0,0.0,12.0,13.0,14.0,21.0,15.0,1.0,16.0,17.0,18.0,19.0,20.0,22.0
1958,0.0,1.0,5.0,10.0,2.0,6.0,8.0,9.0,7.0,11.0,12.0,13.0,21.0,14.0,16.0,17.0,15.0,18.0,3.0,19.0,20.0,4.0,22.0
2007,1.0,2.0,4.0,9.0,5.0,8.0,6.0,10.0,7.0,11.0,12.0,13.0,21.0,14.0,15.0,3.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2056,0.0,2.0,4.0,5.0,3.0,8.0,6.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2105,0.0,3.0,2.0,6.0,4.0,5.0,8.0,9.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2154,1.0,4.0,2.0,8.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,3.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2203,1.0,2.0,4.0,3.0,7.0,5.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2252,1.0,2.0,4.0,5.0,3.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2301,1.0,3.0,4.0,9.0,8.0,6.0,5.0,10.0,7.0,11.0,12.0,13.0,21.0,14.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2350,0.0,2.0,3.0,8.0,9.0,4.0,5.0,7.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2399,1.0,3.0,5.0,6.0,4.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2448,1.0,2.0,5.0,6.0,3.0,8.0,4.0,10.0,9.0,11.0,12.0,13.0,21.0,14.0,15.0,7.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2497,1.0,3.0,2.0,5.0,6.0,9.0,7.0,8.0,13.0,10.0,11.0,12.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
2546,1.0,2.0,3.0,5.0,7.0,9.0,6.0,8.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
2595,1.0,5.0,4.0,7.0,3.0,8.0,10.0,11.0,9.0,12.0,13.0,14.0,21.0,15.0,16.0,2.0,0.0,17.0,18.0,19.0,20.0,6.0,22.0
2644,2.0,5.0,4.0,6.0,8.0,7.0,3.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,1.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
2693,1.0,2.0,4.0,6.0,20.0,8.0,5.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,3.0,0.0,15.0,16.0,17.0,18.0,19.0,22.0
2742,0.0,3.0,2.0,4.0,20.0,8.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,5.0,22.0
2791,3.0,5.0,1.0,6.0,2.0,10.0,7.0,8.0,9.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
2840,0.0,3.0,2.0,5.0,6.0,4.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2889,0.0,3.0,1.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,2.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
2938,2.0,4.0,3.0,7.0,1.0,5.0,8.0,10.0,9.0,11.0,12.0,13.0,21.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,6.0,22.0
2987,0.0,2.0,3.0,1.0,6.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3036,1.0,4.0,5.0,3.0,20.0,6.0,2.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,0.0,15.0,16.0,17.0,18.0,19.0,22.0
3085,0.0,2.0,4.0,3.0,9.0,6.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3134,1.0,4.0,5.0,3.0,20.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,2.0,0.0,15.0,16.0,17.0,18.0,19.0,22.0
3183,0.0,5.0,2.0,4.0,8.0,6.0,3.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3232,1.0,3.0,2.0,5.0,9.0,7.0,6.0,8.0,4.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
3281,1.0,4.0,5.0,3.0,10.0,7.0,6.0,8.0,9.0,11.0,12.0,13.0,21.0,14.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
3330,1.0,5.0,8.0,6.0,3.0,7.0,4.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
3379,1.0,3.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,21.0,14.0,15.0,2.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
3428,1.0,2.0,6.0,3.0,8.0,5.0,7.0,9.0,4.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,0.0,16.0,17.0,18.0,19.0,20.0,22.0
3477,0.0,2.0,3.0,8.0,6.0,9.0,5.0,10.0,7.0,11.0,12.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,18.0,19.0,20.0,4.0,22.0
3526,0.0,3.0,4.0,5.0,7.0,8.0,2.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3575,0.0,2.0,3.0,6.0,8.0,9.0,5.0,10.0,7.0,11.0,12.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,18.0,19.0,20.0,4.0,22.0
3624,0.0,3.0,4.0,2.0,9.0,7.0,5.0,8.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3673,0.0,3.0,6.0,5.0,2.0,4.0,7.0,8.0,12.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,1.0,18.0,19.0,20.0,22.0
3722,0.0,2.0,4.0,1.0,9.0,8.0,5.0,6.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,3.0,22.0
3771,0.0,2.0,3.0,7.0,4.0,9.0,5.0,8.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
3820,0.0,3.0,6.0,4.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,2.0,18.0,19.0,20.0,22.0
3869,0.0,6.0,7.0,3.0,8.0,10.0,4.0,11.0,9.0,12.0,13.0,14.0,21.0,15.0,17.0,1.0,16.0,18.0,2.0,19.0,20.0,5.0,22.0
3918,1.0,4.0,7.0,3.0,0.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,21.0,15.0,17.0,5.0,16.0,18.0,2.0,19.0,20.0,6.0,22.0
3967,3.0,5.0,6.0,7.0,8.0,9.0,4.0,11.0,10.0,12.0,0.0,13.0,21.0,14.0,15.0,2.0,1.0,16.0,17.0,18.0,19.0,20.0,22.0
4016,2.0,6.0,7.0,5.0,9.0,10.0,8.0,4.0,11.0,12.0,0.0,13.0,21.0,14.0,15.0,3.0,1.0,16.0,17.0,18.0,19.0,20.0,22.0
4065,0.0,5.0,4.0,8.0,7.0,6.0,2.0,10.0,9.0,11.0,12.0,13.0,21.0,14.0,16.0,1.0,15.0,17.0,18.0,19.0,20.0,3.0,22.0
4114,2.0,3.0,4.0,10.0,7.0,6.0,5.0,9.0,8.0,11.0,0.0,12.0,13.0,14.0,21.0,15.0,1.0,16.0,17.0,18.0,19.0,20.0,22.0
4163,1.0,3.0,6.0,5.0,4.0,8.0,7.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,2.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4212,2.0,3.0,4.0,5.0,7.0,9.0,8.0,11.0,10.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,6.0,22.0
4261,2.0,4.0,5.0,9.0,7.0,8.0,6.0,11.0,10.0,12.0,13.0,14.0,21.0,15.0,16.0,1.0,0.0,17.0,18.0,19.0,20.0,3.0,22.0
4310,2.0,5.0,7.0,6.0,11.0,9.0,8.0,10.0,3.0,12.0,0.0,13.0,21.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,4.0,22.0
4359,1.0,9.0,4.0,10.0,11.0,6.0,5.0,7.0,8.0,12.0,13.0,14.0,21.0,15.0,16.0,2.0,0.0,17.0,18.0,19.0,20.0,3.0,22.0
4408,1.0,3.0,7.0,10.0,6.0,9.0,8.0,11.0,5.0,12.0,13.0,14.0,21.0,15.0,16.0,2.0,0.0,17.0,18.0,19.0,20.0,4.0,22.0
4457,0.0,3.0,6.0,4.0,5.0,10.0,7.0,8.0,9.0,11.0,12.0,13.0,21.0,14.0,16.0,2.0,15.0,17.0,1.0,18.0,19.0,20.0,22.0
4506,1.0,3.0,4.0,10.0,6.0,7.0,5.0,8.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,2.0,18.0,19.0,20.0,22.0
4555,1.0,3.0,4.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4604,1.0,2.0,3.0,6.0,5.0,8.0,4.0,7.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4653,1.0,2.0,3.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4702,0.0,5.0,2.0,3.0,4.0,7.0,6.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4751,1.0,2.0,6.0,5.0,4.0,7.0,8.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,3.0,18.0,19.0,20.0,22.0
4800,1.0,5.0,3.0,4.0,10.0,8.0,6.0,7.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,2.0,18.0,19.0,20.0,22.0
4849,1.0,2.0,4.0,5.0,3.0,6.0,9.0,8.0,7.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
4898,0.0,3.0,1.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,2.0,21.0,16.0,17.0,18.0,19.0,20.0,22.0
