,homocysteine,carnitine,2-deoxycytidine,inosine,alpha-glycerophosphocholine,DHAP/glyceraldehyde 3P,C22:6 LPC,2-deoxyadenosine,beta-alanine,N-carbamoyl-beta-alanine,SDMA/ADMA,PEP,pyroglutamic acid,inositol,3-phosphoglycerate,C34:4 PC,C56:5 TAG,alpha-hydroxybutyrate,C16:0 LPE,C56:3 TAG,phosphocreatine,1-methylnicotinamide,oxalate,cytidine,putrescine,glutamine,NADP,valerylcarnitine,C22:6 CE,pantothenate
1203,26.0,10.0,5.0,6.0,16.0,39.0,8.0,19.0,37.0,1.0,14.0,4.0,55.0,28.0,66.0,2.0,61.0,0.0,20.0,3.0,30.0,22.0,35.0,9.0,23.0,21.0,31.0,65.0,48.0,36.0
1252,0.0,3.0,7.0,5.0,10.0,1.0,9.0,8.0,14.0,12.0,56.0,27.0,64.0,31.0,66.0,11.0,23.0,13.0,47.0,25.0,57.0,2.0,32.0,30.0,65.0,50.0,36.0,18.0,22.0,48.0
1301,33.0,0.0,5.0,7.0,4.0,11.0,8.0,18.0,1.0,64.0,36.0,30.0,16.0,37.0,24.0,20.0,65.0,34.0,9.0,2.0,53.0,15.0,29.0,44.0,6.0,14.0,28.0,50.0,10.0,25.0
1350,11.0,22.0,18.0,2.0,8.0,13.0,19.0,7.0,5.0,1.0,9.0,28.0,44.0,30.0,3.0,4.0,31.0,0.0,21.0,66.0,24.0,6.0,47.0,12.0,32.0,10.0,34.0,43.0,42.0,29.0
1399,2.0,7.0,1.0,9.0,0.0,5.0,4.0,10.0,36.0,13.0,57.0,12.0,11.0,50.0,25.0,21.0,56.0,58.0,19.0,66.0,31.0,48.0,49.0,30.0,16.0,23.0,26.0,33.0,45.0,28.0
1448,0.0,4.0,6.0,30.0,7.0,1.0,22.0,46.0,20.0,17.0,60.0,11.0,44.0,9.0,12.0,26.0,59.0,27.0,42.0,14.0,28.0,5.0,45.0,13.0,33.0,56.0,63.0,36.0,32.0,47.0
1497,2.0,9.0,13.0,0.0,11.0,6.0,20.0,8.0,19.0,58.0,25.0,27.0,23.0,35.0,1.0,7.0,10.0,5.0,41.0,3.0,32.0,16.0,30.0,4.0,15.0,17.0,50.0,48.0,22.0,26.0
1546,0.0,16.0,63.0,9.0,7.0,33.0,8.0,12.0,20.0,58.0,26.0,32.0,13.0,5.0,1.0,47.0,17.0,65.0,21.0,2.0,59.0,14.0,28.0,4.0,24.0,48.0,45.0,46.0,3.0,34.0
1595,2.0,6.0,4.0,1.0,64.0,12.0,27.0,38.0,8.0,5.0,63.0,9.0,17.0,21.0,41.0,25.0,62.0,3.0,23.0,66.0,54.0,39.0,24.0,46.0,18.0,56.0,13.0,19.0,15.0,10.0
1644,1.0,8.0,19.0,7.0,21.0,0.0,16.0,63.0,10.0,4.0,15.0,28.0,17.0,2.0,26.0,12.0,55.0,3.0,11.0,27.0,32.0,6.0,66.0,33.0,25.0,48.0,34.0,13.0,46.0,5.0
1693,1.0,11.0,9.0,8.0,4.0,35.0,5.0,62.0,7.0,12.0,16.0,34.0,15.0,33.0,0.0,3.0,56.0,65.0,39.0,26.0,27.0,49.0,28.0,42.0,24.0,48.0,29.0,25.0,23.0,10.0
1742,0.0,19.0,17.0,1.0,14.0,5.0,7.0,22.0,36.0,6.0,24.0,27.0,10.0,28.0,2.0,4.0,12.0,11.0,38.0,3.0,55.0,18.0,26.0,44.0,56.0,50.0,25.0,33.0,21.0,63.0
1791,0.0,2.0,19.0,9.0,8.0,3.0,15.0,20.0,6.0,23.0,55.0,39.0,18.0,30.0,10.0,13.0,4.0,31.0,14.0,27.0,59.0,17.0,29.0,16.0,7.0,65.0,28.0,34.0,12.0,32.0
1840,22.0,14.0,16.0,1.0,55.0,26.0,8.0,17.0,13.0,4.0,3.0,29.0,2.0,15.0,0.0,40.0,51.0,7.0,10.0,30.0,28.0,64.0,5.0,9.0,49.0,48.0,61.0,46.0,45.0,60.0
1889,9.0,1.0,3.0,8.0,5.0,12.0,23.0,4.0,49.0,6.0,11.0,50.0,20.0,59.0,0.0,26.0,18.0,35.0,24.0,29.0,36.0,54.0,33.0,19.0,2.0,32.0,42.0,52.0,48.0,41.0
1938,4.0,9.0,5.0,8.0,55.0,6.0,1.0,22.0,19.0,24.0,14.0,11.0,2.0,25.0,0.0,41.0,13.0,43.0,38.0,31.0,32.0,63.0,10.0,53.0,64.0,7.0,50.0,18.0,46.0,27.0
1987,9.0,11.0,64.0,25.0,15.0,4.0,40.0,63.0,6.0,16.0,17.0,30.0,65.0,8.0,2.0,24.0,59.0,1.0,41.0,66.0,52.0,7.0,29.0,18.0,20.0,10.0,48.0,13.0,28.0,49.0
2036,2.0,10.0,4.0,11.0,59.0,8.0,6.0,18.0,20.0,9.0,15.0,0.0,54.0,30.0,26.0,42.0,13.0,62.0,22.0,66.0,31.0,50.0,5.0,32.0,17.0,40.0,52.0,49.0,47.0,56.0
2085,0.0,1.0,18.0,39.0,11.0,9.0,3.0,2.0,14.0,57.0,20.0,27.0,48.0,29.0,24.0,41.0,21.0,55.0,37.0,8.0,32.0,49.0,31.0,10.0,65.0,5.0,35.0,17.0,12.0,7.0
2134,3.0,7.0,8.0,1.0,57.0,15.0,6.0,24.0,20.0,55.0,54.0,16.0,0.0,12.0,28.0,4.0,10.0,30.0,5.0,14.0,29.0,49.0,2.0,22.0,48.0,11.0,47.0,31.0,45.0,60.0
2183,2.0,0.0,6.0,1.0,18.0,5.0,4.0,7.0,12.0,58.0,57.0,8.0,21.0,45.0,22.0,37.0,20.0,11.0,15.0,66.0,46.0,13.0,27.0,34.0,28.0,50.0,23.0,30.0,42.0,9.0
2232,15.0,11.0,63.0,45.0,22.0,9.0,10.0,1.0,17.0,13.0,0.0,2.0,46.0,3.0,66.0,6.0,54.0,25.0,36.0,24.0,4.0,65.0,27.0,38.0,23.0,12.0,62.0,32.0,21.0,58.0
2281,28.0,7.0,14.0,32.0,39.0,4.0,21.0,13.0,6.0,53.0,10.0,1.0,58.0,3.0,16.0,24.0,2.0,37.0,22.0,36.0,35.0,57.0,0.0,48.0,66.0,29.0,55.0,18.0,40.0,8.0
2330,13.0,5.0,2.0,45.0,61.0,14.0,0.0,6.0,1.0,8.0,20.0,3.0,39.0,9.0,4.0,27.0,59.0,10.0,31.0,15.0,11.0,16.0,12.0,54.0,33.0,55.0,63.0,37.0,32.0,43.0
2379,26.0,17.0,15.0,38.0,0.0,1.0,2.0,14.0,4.0,13.0,12.0,8.0,51.0,29.0,9.0,21.0,11.0,31.0,19.0,66.0,60.0,50.0,34.0,42.0,24.0,25.0,27.0,37.0,47.0,28.0
2428,9.0,16.0,45.0,12.0,62.0,10.0,2.0,7.0,41.0,60.0,13.0,51.0,30.0,0.0,44.0,37.0,1.0,29.0,32.0,66.0,23.0,42.0,6.0,47.0,11.0,57.0,34.0,39.0,26.0,5.0
2477,0.0,2.0,8.0,27.0,1.0,4.0,21.0,63.0,19.0,12.0,11.0,28.0,9.0,35.0,66.0,10.0,56.0,3.0,40.0,25.0,33.0,23.0,57.0,34.0,15.0,17.0,36.0,7.0,13.0,26.0
2526,1.0,17.0,6.0,13.0,7.0,4.0,26.0,23.0,24.0,16.0,62.0,9.0,2.0,31.0,66.0,28.0,61.0,30.0,42.0,11.0,3.0,40.0,10.0,15.0,37.0,58.0,43.0,5.0,27.0,47.0
2575,1.0,7.0,21.0,0.0,17.0,35.0,39.0,20.0,9.0,14.0,13.0,4.0,6.0,2.0,29.0,23.0,12.0,60.0,40.0,66.0,3.0,25.0,33.0,42.0,52.0,5.0,31.0,49.0,10.0,8.0
2624,9.0,3.0,17.0,45.0,13.0,11.0,21.0,4.0,2.0,61.0,12.0,30.0,18.0,33.0,1.0,24.0,26.0,32.0,22.0,10.0,0.0,53.0,34.0,27.0,19.0,35.0,39.0,49.0,25.0,44.0
2673,11.0,6.0,1.0,17.0,61.0,12.0,5.0,64.0,0.0,59.0,8.0,27.0,65.0,26.0,3.0,40.0,21.0,54.0,42.0,66.0,9.0,25.0,48.0,16.0,43.0,23.0,45.0,37.0,34.0,10.0
2722,0.0,5.0,6.0,16.0,7.0,15.0,19.0,23.0,34.0,8.0,55.0,2.0,22.0,10.0,27.0,40.0,26.0,61.0,47.0,12.0,1.0,21.0,11.0,13.0,20.0,28.0,60.0,31.0,3.0,39.0
2771,0.0,21.0,17.0,15.0,3.0,12.0,23.0,16.0,2.0,28.0,4.0,31.0,18.0,8.0,30.0,26.0,52.0,32.0,24.0,11.0,9.0,19.0,45.0,29.0,20.0,1.0,10.0,47.0,46.0,41.0
2820,9.0,3.0,16.0,46.0,12.0,34.0,22.0,15.0,21.0,55.0,6.0,31.0,4.0,35.0,29.0,41.0,26.0,7.0,38.0,0.0,1.0,63.0,8.0,62.0,66.0,52.0,44.0,19.0,25.0,33.0
2869,2.0,4.0,0.0,25.0,6.0,13.0,3.0,15.0,35.0,7.0,8.0,26.0,40.0,30.0,66.0,22.0,61.0,10.0,21.0,12.0,1.0,5.0,14.0,20.0,18.0,9.0,46.0,34.0,28.0,11.0
2918,11.0,3.0,20.0,10.0,6.0,14.0,18.0,5.0,43.0,23.0,55.0,40.0,64.0,7.0,0.0,1.0,54.0,8.0,17.0,12.0,29.0,4.0,39.0,13.0,48.0,32.0,27.0,46.0,15.0,30.0
2967,4.0,9.0,3.0,26.0,7.0,11.0,12.0,8.0,38.0,17.0,6.0,0.0,66.0,30.0,23.0,18.0,55.0,51.0,15.0,24.0,28.0,65.0,25.0,29.0,14.0,50.0,35.0,41.0,44.0,64.0
3016,2.0,6.0,23.0,9.0,0.0,1.0,29.0,10.0,36.0,15.0,5.0,3.0,14.0,21.0,43.0,12.0,62.0,8.0,41.0,66.0,22.0,38.0,52.0,17.0,16.0,7.0,51.0,32.0,37.0,25.0
3065,13.0,30.0,6.0,3.0,58.0,15.0,1.0,7.0,35.0,23.0,55.0,4.0,21.0,10.0,0.0,40.0,24.0,2.0,17.0,14.0,11.0,20.0,61.0,63.0,46.0,29.0,27.0,32.0,44.0,26.0
3114,3.0,18.0,54.0,8.0,10.0,2.0,31.0,4.0,7.0,66.0,13.0,5.0,15.0,30.0,1.0,26.0,17.0,65.0,28.0,23.0,24.0,14.0,9.0,43.0,12.0,21.0,50.0,33.0,40.0,51.0
3163,0.0,13.0,5.0,35.0,3.0,1.0,11.0,6.0,12.0,66.0,52.0,7.0,14.0,8.0,4.0,22.0,51.0,25.0,10.0,24.0,32.0,64.0,30.0,53.0,49.0,20.0,27.0,38.0,2.0,28.0
3212,3.0,19.0,17.0,60.0,23.0,2.0,5.0,16.0,7.0,13.0,9.0,10.0,18.0,26.0,25.0,22.0,8.0,0.0,38.0,31.0,1.0,66.0,55.0,37.0,50.0,6.0,65.0,39.0,46.0,53.0
3261,3.0,11.0,4.0,10.0,1.0,29.0,6.0,12.0,42.0,44.0,63.0,13.0,20.0,25.0,0.0,30.0,62.0,5.0,41.0,66.0,55.0,23.0,31.0,43.0,16.0,58.0,50.0,15.0,7.0,26.0
3310,2.0,21.0,4.0,7.0,17.0,1.0,24.0,20.0,11.0,23.0,10.0,9.0,22.0,35.0,0.0,32.0,8.0,56.0,47.0,66.0,34.0,31.0,33.0,27.0,25.0,16.0,30.0,42.0,44.0,53.0
3359,2.0,18.0,3.0,9.0,20.0,6.0,34.0,4.0,17.0,63.0,66.0,53.0,7.0,57.0,15.0,33.0,23.0,1.0,27.0,0.0,25.0,36.0,52.0,29.0,21.0,12.0,51.0,16.0,35.0,32.0
3408,0.0,2.0,5.0,10.0,20.0,17.0,24.0,16.0,1.0,7.0,22.0,9.0,4.0,8.0,11.0,31.0,23.0,30.0,36.0,12.0,55.0,3.0,50.0,13.0,65.0,33.0,48.0,14.0,37.0,51.0
3457,4.0,3.0,64.0,30.0,1.0,10.0,17.0,15.0,21.0,58.0,6.0,7.0,14.0,13.0,66.0,12.0,56.0,9.0,47.0,23.0,25.0,65.0,26.0,41.0,22.0,5.0,24.0,35.0,36.0,60.0
3506,66.0,2.0,5.0,33.0,60.0,31.0,13.0,64.0,9.0,18.0,19.0,27.0,14.0,8.0,0.0,16.0,20.0,6.0,10.0,24.0,1.0,23.0,26.0,35.0,56.0,50.0,25.0,7.0,12.0,62.0
3555,20.0,14.0,34.0,52.0,8.0,9.0,43.0,29.0,16.0,1.0,10.0,32.0,15.0,2.0,44.0,3.0,64.0,12.0,4.0,66.0,21.0,36.0,31.0,25.0,13.0,60.0,33.0,38.0,23.0,53.0
3604,66.0,9.0,12.0,4.0,8.0,5.0,16.0,19.0,15.0,10.0,1.0,3.0,36.0,18.0,45.0,32.0,20.0,0.0,17.0,21.0,6.0,43.0,52.0,25.0,42.0,58.0,30.0,44.0,7.0,33.0
3653,66.0,9.0,17.0,2.0,14.0,7.0,8.0,23.0,19.0,1.0,0.0,3.0,18.0,10.0,11.0,21.0,56.0,33.0,20.0,25.0,6.0,49.0,64.0,30.0,57.0,24.0,28.0,46.0,4.0,29.0
3702,45.0,2.0,12.0,8.0,22.0,9.0,36.0,11.0,41.0,7.0,3.0,6.0,55.0,56.0,0.0,40.0,13.0,23.0,38.0,66.0,25.0,24.0,30.0,10.0,19.0,57.0,1.0,43.0,27.0,52.0
3751,66.0,2.0,22.0,0.0,16.0,31.0,46.0,63.0,12.0,1.0,6.0,32.0,13.0,26.0,23.0,14.0,20.0,25.0,37.0,3.0,28.0,49.0,27.0,4.0,9.0,51.0,24.0,33.0,45.0,30.0
3800,66.0,10.0,13.0,5.0,12.0,0.0,23.0,46.0,17.0,1.0,7.0,3.0,2.0,20.0,45.0,6.0,14.0,34.0,33.0,22.0,11.0,43.0,31.0,8.0,41.0,58.0,4.0,44.0,42.0,30.0
3849,11.0,5.0,19.0,22.0,24.0,1.0,3.0,20.0,4.0,7.0,8.0,33.0,63.0,34.0,28.0,2.0,25.0,65.0,16.0,0.0,9.0,6.0,10.0,18.0,49.0,29.0,12.0,17.0,13.0,47.0
3898,45.0,5.0,28.0,23.0,0.0,24.0,38.0,55.0,8.0,63.0,19.0,9.0,13.0,54.0,3.0,29.0,6.0,25.0,1.0,66.0,30.0,16.0,10.0,20.0,43.0,58.0,12.0,7.0,37.0,27.0
3947,26.0,16.0,24.0,1.0,12.0,31.0,20.0,8.0,18.0,10.0,9.0,30.0,14.0,4.0,3.0,5.0,0.0,36.0,21.0,27.0,37.0,66.0,2.0,32.0,50.0,49.0,64.0,7.0,47.0,62.0
3996,5.0,11.0,4.0,26.0,0.0,27.0,3.0,1.0,12.0,6.0,2.0,8.0,21.0,9.0,23.0,13.0,56.0,10.0,35.0,66.0,65.0,45.0,62.0,32.0,44.0,50.0,63.0,18.0,43.0,61.0
4045,3.0,13.0,7.0,47.0,2.0,46.0,16.0,6.0,10.0,56.0,1.0,28.0,14.0,27.0,24.0,41.0,12.0,31.0,40.0,66.0,32.0,64.0,8.0,33.0,49.0,51.0,65.0,11.0,0.0,25.0
4094,4.0,10.0,2.0,26.0,1.0,9.0,0.0,7.0,16.0,17.0,6.0,29.0,3.0,49.0,22.0,11.0,5.0,24.0,45.0,23.0,32.0,50.0,27.0,47.0,20.0,21.0,63.0,34.0,36.0,28.0
4143,46.0,15.0,3.0,2.0,6.0,51.0,45.0,0.0,7.0,16.0,64.0,31.0,23.0,22.0,14.0,8.0,63.0,57.0,43.0,66.0,10.0,20.0,54.0,30.0,18.0,59.0,34.0,21.0,25.0,32.0
4192,4.0,13.0,8.0,3.0,0.0,29.0,9.0,6.0,14.0,19.0,20.0,5.0,64.0,2.0,25.0,16.0,55.0,51.0,38.0,66.0,33.0,12.0,28.0,30.0,24.0,50.0,27.0,45.0,43.0,60.0
4241,2.0,57.0,14.0,29.0,6.0,28.0,18.0,8.0,9.0,5.0,4.0,35.0,12.0,1.0,25.0,0.0,20.0,26.0,19.0,66.0,27.0,49.0,61.0,10.0,50.0,24.0,30.0,23.0,11.0,32.0
4290,3.0,38.0,11.0,13.0,1.0,22.0,27.0,0.0,8.0,63.0,2.0,30.0,33.0,56.0,44.0,14.0,5.0,25.0,39.0,66.0,23.0,15.0,9.0,18.0,42.0,60.0,10.0,43.0,12.0,52.0
4339,2.0,36.0,15.0,8.0,0.0,28.0,12.0,16.0,39.0,6.0,3.0,27.0,48.0,7.0,1.0,23.0,5.0,50.0,46.0,26.0,29.0,66.0,10.0,33.0,11.0,49.0,63.0,43.0,40.0,62.0
4388,10.0,41.0,12.0,3.0,16.0,55.0,21.0,13.0,19.0,61.0,2.0,29.0,32.0,34.0,0.0,5.0,60.0,7.0,26.0,66.0,54.0,65.0,9.0,1.0,42.0,23.0,48.0,17.0,4.0,8.0
4437,6.0,1.0,3.0,9.0,7.0,5.0,17.0,22.0,38.0,62.0,61.0,11.0,31.0,51.0,0.0,25.0,15.0,50.0,21.0,66.0,20.0,8.0,10.0,24.0,2.0,55.0,47.0,16.0,26.0,48.0
4486,23.0,7.0,0.0,14.0,9.0,10.0,21.0,22.0,37.0,13.0,15.0,6.0,32.0,16.0,45.0,44.0,63.0,8.0,29.0,66.0,26.0,3.0,4.0,25.0,36.0,19.0,53.0,17.0,30.0,54.0
4535,1.0,2.0,10.0,26.0,0.0,23.0,3.0,12.0,19.0,8.0,64.0,11.0,20.0,5.0,43.0,38.0,29.0,21.0,39.0,66.0,4.0,41.0,14.0,9.0,34.0,59.0,17.0,33.0,31.0,51.0
4584,25.0,11.0,13.0,27.0,1.0,2.0,15.0,16.0,46.0,59.0,4.0,29.0,54.0,35.0,0.0,37.0,3.0,34.0,19.0,26.0,32.0,66.0,6.0,9.0,52.0,14.0,8.0,49.0,42.0,28.0
4633,0.0,22.0,4.0,10.0,6.0,14.0,1.0,5.0,35.0,27.0,54.0,9.0,64.0,2.0,11.0,18.0,53.0,8.0,19.0,66.0,49.0,3.0,42.0,13.0,23.0,7.0,15.0,32.0,45.0,41.0
4682,12.0,6.0,8.0,51.0,1.0,16.0,5.0,0.0,18.0,62.0,23.0,29.0,44.0,53.0,4.0,39.0,2.0,10.0,20.0,66.0,11.0,31.0,34.0,13.0,7.0,65.0,14.0,43.0,30.0,47.0
4731,13.0,3.0,6.0,14.0,8.0,1.0,2.0,7.0,40.0,21.0,22.0,12.0,65.0,30.0,0.0,44.0,9.0,10.0,15.0,66.0,11.0,4.0,18.0,24.0,17.0,54.0,28.0,36.0,29.0,45.0
4780,11.0,5.0,7.0,12.0,57.0,22.0,3.0,8.0,35.0,55.0,54.0,41.0,6.0,59.0,0.0,40.0,24.0,1.0,17.0,66.0,62.0,19.0,10.0,20.0,48.0,49.0,13.0,32.0,45.0,42.0
4829,10.0,4.0,6.0,9.0,16.0,11.0,1.0,7.0,19.0,17.0,60.0,49.0,65.0,52.0,0.0,36.0,18.0,33.0,25.0,66.0,32.0,5.0,48.0,13.0,42.0,55.0,27.0,2.0,41.0,28.0
4878,23.0,10.0,8.0,1.0,7.0,11.0,4.0,64.0,14.0,58.0,6.0,24.0,65.0,46.0,22.0,42.0,3.0,9.0,18.0,5.0,13.0,45.0,62.0,27.0,30.0,2.0,47.0,33.0,36.0,61.0
