,EEF1A1,AP000974.1,CELF2-AS1,NTN4,PREB,RP11-517B11.7,PTS,RP11-161I2.1,TSC22D2,GALNT5,THRB,GABRE,CLPX,AC006159.5,ACSS1,APLN,PCDHB15,LINC00511,THAP10,FAT4,RAET1G,TCEAL3,NR2F1-AS1,RP11-235E17.6,PLEKHA8P1,NCL,B3GNT5,SERP2,CLYBL,LA16c-380H5.5
2412,1.0,19.0,24.0,47.0,6.0,204.0,5.0,25.0,220.0,13220.0,76.0,64.0,35.0,530.0,23.0,52.0,21719.0,117.0,18.0,94.0,155.0,161.0,154.0,207.0,6633.0,236.0,14655.0,5902.0,88.0,3424.0
2461,0.0,23.0,20411.0,4.0,16846.0,2.0,31.0,39.0,498.0,12.0,12783.0,28.0,4700.0,18850.0,94.0,175.0,37.0,60.0,103.0,224.0,118.0,9038.0,80.0,10924.0,322.0,233.0,96.0,5408.0,7.0,4124.0
2510,3.0,20.0,40.0,32.0,1042.0,69.0,0.0,51.0,1.0,73.0,204.0,66.0,4556.0,37.0,11.0,67.0,79.0,145.0,329.0,29.0,93.0,125.0,265.0,11967.0,438.0,13657.0,181.0,218.0,13.0,370.0
2559,13.0,12.0,22.0,71.0,2.0,24.0,11.0,1.0,42.0,1818.0,105.0,217.0,4751.0,6.0,58.0,162.0,28.0,11902.0,266.0,120.0,1350.0,596.0,21481.0,10993.0,534.0,13683.0,1404.0,6634.0,374.0,3945.0
2608,1.0,13.0,37.0,22.0,16892.0,30.0,56.0,0.0,321.0,150.0,12779.0,192.0,43.0,2.0,126.0,90.0,21719.0,11420.0,165.0,40.0,52.0,276.0,21456.0,10566.0,156.0,994.0,109.0,3511.0,50.0,580.0
2657,0.0,27.0,20392.0,8.0,160.0,3.0,5751.0,6.0,5.0,32.0,433.0,153.0,4781.0,1.0,29.0,55.0,21726.0,8495.0,7.0,11.0,372.0,315.0,21483.0,1453.0,150.0,651.0,14681.0,1716.0,102.0,460.0
2706,0.0,2.0,42.0,3.0,100.0,118.0,1.0,24.0,14611.0,112.0,9.0,253.0,171.0,13.0,25.0,50.0,75.0,11885.0,113.0,67.0,14.0,384.0,21911.0,10971.0,169.0,13659.0,27.0,16.0,5.0,3284.0
2755,22.0,9.0,18.0,1.0,301.0,310.0,106.0,6.0,327.0,141.0,219.0,497.0,3817.0,120.0,20.0,8.0,21701.0,2800.0,175.0,30.0,181.0,33.0,1404.0,1218.0,256.0,1624.0,14729.0,2168.0,153.0,3515.0
2804,19.0,57.0,2818.0,9.0,23.0,8.0,110.0,22.0,3.0,169.0,12800.0,643.0,113.0,88.0,27.0,150.0,105.0,11896.0,39.0,69.0,228.0,9036.0,21469.0,1809.0,229.0,13668.0,309.0,87.0,187.0,250.0
2853,4.0,3.0,71.0,9.0,18.0,0.0,65.0,23.0,48.0,7.0,29.0,58.0,16.0,5.0,111.0,589.0,62.0,113.0,26.0,76.0,23331.0,9057.0,142.0,10968.0,4947.0,13683.0,56.0,5832.0,78.0,184.0
2902,0.0,75.0,20639.0,32.0,13.0,21.0,159.0,29.0,20.0,317.0,61.0,363.0,48.0,11.0,3.0,199.0,179.0,78.0,155.0,100.0,2384.0,9063.0,84.0,10886.0,5025.0,2450.0,14737.0,352.0,228.0,153.0
2951,1.0,29.0,38.0,24.0,6.0,367.0,69.0,25.0,16.0,2.0,31.0,82.0,12.0,109.0,7.0,157.0,100.0,163.0,128.0,206.0,93.0,26.0,21927.0,77.0,28.0,4.0,129.0,13.0,14.0,5.0
3000,0.0,13.0,20618.0,162.0,3.0,27.0,4.0,53.0,107.0,17.0,122.0,157.0,25.0,71.0,156.0,12.0,51.0,297.0,1128.0,16.0,86.0,9044.0,52.0,10989.0,30.0,70.0,186.0,5128.0,207.0,438.0
3049,5.0,15.0,33.0,70.0,16.0,284.0,9.0,40.0,149.0,179.0,65.0,83.0,88.0,22537.0,181.0,18.0,64.0,12134.0,538.0,14438.0,161.0,27.0,21451.0,148.0,11.0,295.0,17.0,5878.0,267.0,1.0
3098,0.0,1.0,96.0,197.0,255.0,392.0,69.0,57.0,105.0,18.0,68.0,93.0,31.0,1096.0,81.0,140.0,17.0,86.0,264.0,181.0,248.0,95.0,397.0,133.0,39.0,5.0,141.0,414.0,3408.0,413.0
3147,10.0,8.0,2.0,193.0,0.0,31.0,168.0,30.0,36.0,213.0,4.0,272.0,107.0,6.0,199.0,19.0,46.0,12167.0,1148.0,178.0,155.0,9036.0,21916.0,21.0,54.0,2063.0,225.0,869.0,538.0,1471.0
3196,0.0,7.0,42.0,1.0,163.0,37.0,136.0,39.0,14849.0,46.0,49.0,6.0,3725.0,45.0,135.0,5.0,105.0,11907.0,445.0,12.0,33.0,2879.0,21482.0,364.0,114.0,29.0,235.0,5877.0,389.0,505.0
3245,3.0,21.0,45.0,92.0,16882.0,16.0,109.0,52.0,48.0,25.0,0.0,444.0,32.0,230.0,212.0,9.0,112.0,11915.0,541.0,192.0,159.0,22.0,21458.0,115.0,59.0,162.0,221.0,5615.0,55.0,4185.0
3294,65.0,10.0,2.0,71.0,625.0,14764.0,0.0,215.0,33.0,13258.0,88.0,327.0,211.0,22531.0,278.0,19.0,39.0,11900.0,263.0,219.0,151.0,247.0,21482.0,27.0,126.0,111.0,14.0,7010.0,405.0,381.0
3343,12.0,9.0,73.0,134.0,117.0,761.0,5.0,19.0,353.0,98.0,8.0,165.0,24.0,62.0,160.0,678.0,52.0,266.0,1335.0,14448.0,23396.0,9045.0,477.0,26.0,0.0,50.0,332.0,5825.0,6310.0,3565.0
3392,16.0,14.0,116.0,10.0,149.0,26.0,0.0,172.0,76.0,297.0,277.0,281.0,79.0,22485.0,94.0,37.0,17.0,5.0,54.0,187.0,341.0,189.0,21452.0,23.0,84.0,20.0,58.0,620.0,6313.0,49.0
3441,1.0,2.0,6.0,123.0,16894.0,89.0,144.0,103.0,87.0,5.0,39.0,17.0,80.0,102.0,192.0,23.0,112.0,8.0,137.0,73.0,133.0,382.0,57.0,82.0,21.0,143.0,14659.0,5853.0,461.0,151.0
3490,60.0,11.0,55.0,73.0,1196.0,16.0,138.0,64.0,20.0,208.0,12829.0,0.0,278.0,196.0,197.0,18.0,21731.0,1569.0,4802.0,14467.0,206.0,125.0,1420.0,337.0,40.0,348.0,141.0,6868.0,446.0,57.0
3539,2.0,1.0,20.0,42.0,264.0,25.0,31.0,145.0,53.0,159.0,17.0,74.0,4457.0,112.0,90.0,4.0,21834.0,109.0,13.0,14437.0,233.0,9063.0,21528.0,51.0,71.0,187.0,84.0,15.0,6922.0,214.0
3588,1.0,14.0,27.0,9.0,10.0,234.0,49.0,35.0,2.0,4.0,22.0,16.0,4656.0,163.0,140.0,173.0,21740.0,59.0,30.0,251.0,72.0,119.0,43.0,1568.0,133.0,13573.0,36.0,6853.0,7.0,106.0
3637,25.0,6.0,39.0,29.0,329.0,43.0,362.0,85.0,14640.0,0.0,12831.0,7.0,3909.0,44.0,14.0,61.0,21834.0,12150.0,26.0,32.0,23315.0,292.0,21926.0,381.0,133.0,167.0,18.0,5836.0,153.0,122.0
3686,13.0,0.0,34.0,125.0,16940.0,4.0,279.0,25.0,8.0,70.0,9.0,12.0,4304.0,103.0,136.0,9115.0,1808.0,12146.0,832.0,199.0,23255.0,484.0,21504.0,617.0,18.0,260.0,14713.0,152.0,372.0,2.0
3735,1.0,32.0,40.0,15.0,2869.0,10.0,195.0,174.0,3.0,75.0,0.0,132.0,4417.0,368.0,145.0,6.0,138.0,142.0,4423.0,14464.0,238.0,170.0,65.0,239.0,35.0,74.0,185.0,116.0,266.0,68.0
3784,6.0,0.0,28.0,42.0,12.0,426.0,79.0,59.0,39.0,43.0,45.0,9.0,264.0,22481.0,167.0,16.0,128.0,129.0,19.0,111.0,100.0,259.0,4.0,206.0,30.0,3.0,176.0,420.0,1460.0,98.0
3833,15.0,3.0,6.0,1.0,16880.0,133.0,95.0,57.0,9.0,29.0,12795.0,77.0,180.0,11.0,19.0,2050.0,21772.0,212.0,33.0,163.0,24.0,9038.0,43.0,10968.0,58.0,13573.0,113.0,164.0,760.0,10.0
3882,32.0,1.0,3.0,73.0,28.0,346.0,115.0,2.0,23.0,7.0,18.0,68.0,106.0,151.0,17.0,113.0,21712.0,142.0,4645.0,101.0,110.0,9056.0,21520.0,10.0,16.0,13687.0,14661.0,6884.0,453.0,208.0
3931,2.0,8.0,6.0,20.0,2979.0,5.0,25.0,19.0,14799.0,165.0,12766.0,76.0,63.0,22526.0,4.0,9073.0,21717.0,3.0,153.0,14435.0,38.0,11.0,74.0,109.0,1233.0,71.0,133.0,93.0,6348.0,86.0
3980,0.0,29.0,4.0,12.0,2.0,28.0,116.0,129.0,38.0,220.0,12791.0,33.0,67.0,1896.0,7188.0,527.0,112.0,92.0,1101.0,14443.0,114.0,195.0,24.0,144.0,5382.0,69.0,228.0,16.0,6813.0,479.0
4029,0.0,11.0,1.0,13.0,260.0,38.0,69.0,64.0,50.0,20.0,1688.0,12.0,29.0,22483.0,60.0,9034.0,37.0,23.0,54.0,39.0,86.0,221.0,21923.0,160.0,3759.0,96.0,777.0,107.0,6850.0,245.0
4078,6.0,4.0,18.0,47.0,425.0,27.0,24.0,150.0,14847.0,81.0,8.0,3.0,4401.0,22478.0,114.0,9101.0,121.0,10.0,0.0,14440.0,23321.0,710.0,57.0,93.0,4939.0,46.0,282.0,5.0,6316.0,393.0
4127,4.0,2056.0,2.0,8.0,17.0,14821.0,107.0,23.0,164.0,20.0,423.0,3.0,25.0,22468.0,35.0,9092.0,54.0,9.0,7.0,123.0,170.0,9068.0,21466.0,11013.0,5866.0,15.0,44.0,119.0,6144.0,39.0
4176,12.0,0.0,7.0,20.0,167.0,87.0,116.0,113.0,91.0,503.0,12783.0,2.0,3485.0,22465.0,50.0,624.0,46.0,58.0,16.0,1280.0,128.0,208.0,57.0,103.0,4917.0,27.0,129.0,206.0,6401.0,266.0
4225,4.0,26.0,19.0,13.0,16.0,5.0,151.0,119.0,43.0,46.0,31.0,49.0,22.0,3.0,102.0,828.0,178.0,56.0,7.0,14403.0,175.0,309.0,57.0,113.0,4953.0,109.0,14898.0,21.0,6308.0,205.0
4274,2.0,0.0,14.0,8.0,1.0,151.0,85.0,18794.0,68.0,38.0,67.0,6.0,3867.0,24.0,35.0,9083.0,21706.0,19.0,158.0,63.0,180.0,104.0,21486.0,2780.0,69.0,251.0,14663.0,287.0,162.0,1021.0
4323,0.0,21.0,26.0,33.0,6.0,1.0,191.0,12.0,97.0,172.0,68.0,75.0,4650.0,22546.0,82.0,9069.0,85.0,23.0,4.0,170.0,174.0,101.0,53.0,120.0,2522.0,2.0,14662.0,16.0,6696.0,182.0
