,PXDN,GLB1L2,ZNF853,CDC20P1,SPIN3,EPSTI1,FUZ,AGAP4,C1orf233,GPX3,H2AFY2,MAGEA1,VAMP5,PPARG,PNMAL1,ACKR3,SLC7A2,RHOU,XAGE1E,H3F3B,LINC00942,EMR1,SPON2,TMEM101,AC016683.6,HIC1,OAS1,CLDN11,PKD1P5,MXRA8
1871,0.0,5.0,46.0,12.0,13.0,74.0,17.0,3.0,9.0,2.0,77.0,10.0,57.0,918.0,45.0,20.0,26.0,68.0,39.0,44.0,65.0,243.0,172.0,6.0,4.0,54.0,1065.0,67.0,1109.0,22.0
1920,0.0,7.0,13.0,32.0,11.0,109.0,17.0,28.0,4.0,2.0,39.0,3.0,36.0,195.0,25.0,329.0,9.0,33.0,1.0,27.0,6.0,12.0,21.0,26.0,18.0,51.0,45.0,19.0,252.0,279.0
1969,2.0,4.0,28.0,3.0,245.0,0.0,19.0,5.0,208.0,66.0,9.0,6.0,11.0,58.0,14.0,18.0,115.0,30.0,40.0,190.0,26.0,57.0,44.0,43.0,41.0,35.0,17.0,154.0,32.0,8.0
2018,4.0,2.0,1.0,12.0,43.0,68.0,28.0,3.0,109.0,7.0,9.0,596.0,8.0,16.0,0.0,25.0,39.0,89.0,15.0,307.0,21.0,11.0,24.0,93.0,50.0,66.0,29.0,103.0,59.0,38.0
2067,0.0,3.0,5.0,10.0,155.0,2.0,4.0,7.0,86.0,68.0,11.0,6.0,27.0,62.0,13.0,51.0,66.0,58.0,36.0,274.0,20.0,40.0,21.0,34.0,24.0,108.0,1.0,1353.0,47.0,76.0
2116,4.0,0.0,2.0,3.0,637.0,12.0,7.0,1.0,306.0,43.0,17.0,14.0,173.0,5.0,6.0,36.0,166.0,33.0,146.0,247.0,66.0,120.0,55.0,63.0,8.0,32.0,56.0,136.0,35.0,106.0
2165,0.0,53.0,1.0,2.0,116.0,101.0,27.0,8.0,443.0,10.0,6.0,18.0,7.0,59.0,11.0,265.0,321.0,42.0,71.0,73.0,9.0,142.0,5.0,46.0,98.0,41.0,16.0,171.0,19.0,48.0
2214,25.0,7.0,2.0,1.0,47.0,22.0,12.0,9.0,92.0,26.0,6.0,90.0,84.0,619.0,0.0,23.0,34.0,61.0,11.0,163.0,3.0,16.0,4.0,103.0,32.0,55.0,58.0,88.0,5.0,60.0
2263,0.0,4.0,23.0,38.0,133.0,31.0,25.0,10.0,100.0,7.0,19.0,46.0,15.0,53.0,47.0,3.0,32.0,41.0,430.0,300.0,208.0,14.0,13.0,84.0,2.0,60.0,66.0,139.0,16.0,12.0
2312,0.0,4.0,2.0,14.0,257.0,38.0,5.0,1.0,130.0,46.0,33.0,223.0,8.0,35.0,7.0,26.0,127.0,27.0,11.0,193.0,55.0,50.0,10.0,80.0,21.0,42.0,31.0,202.0,687.0,18.0
2361,0.0,3.0,1.0,14.0,108.0,18.0,9.0,2.0,358.0,233.0,126.0,11.0,31.0,22.0,27.0,40.0,124.0,111.0,15.0,104.0,24.0,152.0,432.0,74.0,159.0,105.0,71.0,1824.0,147.0,44.0
2410,5.0,1.0,4.0,2.0,706.0,16.0,3.0,36.0,51.0,18.0,69.0,123.0,11.0,8.0,30.0,243.0,71.0,63.0,33.0,217.0,29.0,14.0,31.0,13.0,156.0,224.0,20.0,672.0,47.0,25.0
2459,4.0,1.0,7.0,8.0,14.0,6.0,3.0,395.0,37.0,20.0,131.0,5.0,140.0,160.0,65.0,48.0,72.0,85.0,43.0,22.0,9.0,40.0,57.0,34.0,0.0,97.0,26.0,354.0,291.0,13.0
2508,9.0,0.0,12.0,2.0,13.0,11.0,23.0,69.0,5.0,38.0,190.0,123.0,10.0,63.0,76.0,8.0,57.0,51.0,41.0,32.0,435.0,100.0,42.0,141.0,3.0,20.0,117.0,4.0,48.0,39.0
2557,3.0,8.0,0.0,45.0,1.0,16.0,4.0,328.0,2.0,10.0,22.0,469.0,55.0,18.0,32.0,19.0,6.0,49.0,108.0,38.0,9.0,73.0,13.0,36.0,34.0,80.0,143.0,7.0,15.0,41.0
2606,1.0,6.0,9.0,0.0,24.0,5.0,3.0,14.0,13.0,8.0,49.0,38.0,15.0,23.0,31.0,138.0,145.0,44.0,30.0,64.0,12.0,59.0,29.0,117.0,7.0,22.0,66.0,4.0,20.0,2.0
2655,0.0,12.0,1.0,26.0,10.0,4.0,7.0,23.0,9.0,6.0,90.0,19.0,35.0,22.0,882.0,14.0,48.0,83.0,38.0,8.0,3.0,65.0,139.0,77.0,2.0,1053.0,66.0,1153.0,144.0,46.0
2704,9.0,1.0,0.0,2.0,14.0,3.0,11.0,134.0,4.0,10.0,18.0,8.0,21.0,38.0,57.0,105.0,20.0,26.0,139.0,32.0,55.0,40.0,191.0,147.0,78.0,29.0,70.0,35.0,16.0,15.0
2753,5.0,9.0,1.0,21.0,19.0,40.0,64.0,568.0,4.0,6.0,24.0,53.0,86.0,39.0,28.0,61.0,17.0,57.0,132.0,22.0,20.0,13.0,12.0,11.0,3.0,42.0,250.0,23.0,361.0,8.0
2802,9.0,6.0,10.0,0.0,13.0,15.0,22.0,196.0,80.0,2.0,12.0,36.0,109.0,85.0,43.0,3.0,7.0,65.0,2857.0,23.0,1.0,53.0,62.0,324.0,8.0,14.0,45.0,40.0,4.0,37.0
2851,3.0,8.0,2.0,11.0,1.0,18.0,0.0,21.0,12.0,51.0,44.0,282.0,6.0,134.0,30.0,22.0,5.0,31.0,66.0,9.0,47.0,119.0,76.0,85.0,4.0,25.0,222.0,49.0,462.0,16.0
2900,62.0,1.0,6.0,2.0,10.0,8.0,5.0,181.0,244.0,281.0,1274.0,291.0,3.0,108.0,15.0,111.0,14.0,68.0,89.0,18.0,24.0,17.0,25.0,231.0,7.0,22.0,27.0,23.0,32.0,33.0
2949,1.0,0.0,9.0,120.0,127.0,2.0,15.0,34.0,33.0,6.0,69.0,61.0,55.0,17.0,142.0,80.0,49.0,65.0,19.0,177.0,2638.0,38.0,7.0,3.0,21.0,44.0,11.0,433.0,4.0,46.0
2998,1.0,11.0,7.0,148.0,153.0,0.0,22.0,503.0,16.0,13.0,132.0,915.0,114.0,9.0,1856.0,305.0,48.0,70.0,8.0,86.0,260.0,58.0,15.0,5.0,1612.0,99.0,4.0,415.0,61.0,60.0
3047,5.0,2.0,6.0,3.0,214.0,0.0,31.0,1.0,287.0,10.0,38.0,47.0,48.0,62.0,25.0,210.0,2174.0,131.0,128.0,531.0,780.0,37.0,150.0,52.0,123.0,32.0,4.0,3395.0,9.0,8.0
3096,0.0,2.0,149.0,104.0,160.0,1.0,68.0,9.0,34.0,7.0,11.0,50.0,1045.0,23.0,119.0,90.0,32.0,216.0,6.0,95.0,705.0,31.0,158.0,21.0,88.0,44.0,4.0,563.0,170.0,150.0
3145,0.0,6.0,535.0,150.0,34.0,3.0,18.0,49.0,76.0,95.0,202.0,19.0,33.0,24.0,38.0,167.0,85.0,97.0,14.0,120.0,2513.0,98.0,260.0,45.0,411.0,179.0,13.0,214.0,4.0,50.0
3194,1.0,0.0,34.0,112.0,178.0,2.0,21.0,106.0,4.0,10.0,15.0,11.0,236.0,36.0,173.0,163.0,119.0,122.0,13.0,151.0,1899.0,19.0,24.0,30.0,177.0,172.0,6.0,2061.0,184.0,26.0
3243,2.0,3.0,5.0,155.0,94.0,0.0,45.0,34.0,7.0,17.0,9.0,88.0,272.0,54.0,196.0,30.0,26.0,46.0,6.0,112.0,2787.0,192.0,103.0,62.0,451.0,105.0,15.0,442.0,1.0,1199.0
3292,1.0,0.0,22.0,30.0,61.0,2.0,13.0,50.0,58.0,26.0,53.0,142.0,7.0,16.0,321.0,193.0,123.0,99.0,10.0,162.0,803.0,56.0,17.0,12.0,65.0,42.0,11.0,69.0,24.0,74.0
3341,4.0,1.0,10.0,20.0,462.0,0.0,8.0,18.0,32.0,22.0,129.0,92.0,102.0,31.0,502.0,100.0,98.0,51.0,24.0,42.0,667.0,26.0,66.0,16.0,117.0,115.0,3.0,320.0,5.0,46.0
3390,2.0,5.0,51.0,96.0,178.0,0.0,206.0,30.0,82.0,81.0,19.0,194.0,203.0,53.0,23.0,427.0,369.0,115.0,10.0,152.0,575.0,18.0,13.0,28.0,3201.0,25.0,1.0,659.0,66.0,45.0
3439,1.0,4.0,15.0,0.0,170.0,2.0,43.0,12.0,75.0,39.0,5.0,81.0,345.0,31.0,17.0,13.0,67.0,42.0,16.0,59.0,25.0,8.0,341.0,161.0,91.0,78.0,21.0,463.0,143.0,28.0
3488,4.0,53.0,13.0,0.0,12.0,69.0,29.0,3.0,6.0,442.0,7.0,9.0,214.0,8.0,20.0,31.0,108.0,28.0,15.0,89.0,65.0,5.0,422.0,51.0,80.0,42.0,749.0,24.0,159.0,55.0
3537,37.0,24.0,1.0,0.0,7.0,31.0,44.0,130.0,8.0,16.0,11.0,625.0,35.0,59.0,144.0,3.0,4.0,19.0,33.0,32.0,46.0,6.0,240.0,22.0,4102.0,265.0,198.0,47.0,570.0,40.0
3586,4.0,12.0,32.0,0.0,41.0,14.0,226.0,28.0,6.0,25.0,1.0,58.0,54.0,3.0,13.0,11.0,341.0,9.0,30.0,39.0,23.0,5.0,96.0,197.0,3115.0,175.0,74.0,53.0,51.0,69.0
3635,3.0,12.0,63.0,0.0,41.0,23.0,25.0,77.0,17.0,8.0,6.0,1415.0,498.0,22.0,5.0,1.0,14.0,54.0,210.0,32.0,13.0,16.0,129.0,29.0,516.0,67.0,126.0,112.0,27.0,43.0
3684,100.0,1.0,2.0,0.0,11.0,8.0,55.0,7.0,29.0,3.0,52.0,809.0,258.0,10.0,36.0,6.0,70.0,33.0,81.0,43.0,5.0,12.0,1891.0,129.0,95.0,549.0,21.0,879.0,204.0,35.0
3733,15.0,13.0,33.0,1.0,37.0,8.0,83.0,0.0,60.0,3.0,5.0,1098.0,47.0,46.0,24.0,18.0,10.0,23.0,20.0,31.0,63.0,29.0,173.0,88.0,3639.0,152.0,151.0,48.0,87.0,28.0
3782,3.0,17.0,75.0,0.0,12.0,7.0,135.0,52.0,65.0,22.0,5.0,1115.0,182.0,21.0,195.0,13.0,31.0,79.0,185.0,8.0,15.0,1.0,118.0,41.0,10.0,81.0,209.0,144.0,39.0,23.0
3831,1.0,50.0,7.0,0.0,29.0,11.0,35.0,284.0,10.0,5.0,21.0,257.0,33.0,12.0,275.0,9.0,69.0,75.0,521.0,68.0,13.0,2.0,180.0,77.0,272.0,39.0,30.0,134.0,159.0,16.0
3880,9.0,15.0,20.0,0.0,6.0,7.0,82.0,45.0,44.0,2.0,22.0,1533.0,77.0,150.0,8.0,25.0,31.0,225.0,71.0,21.0,5.0,3.0,530.0,35.0,34.0,26.0,63.0,70.0,36.0,19.0
3929,15.0,69.0,33.0,13.0,3.0,35.0,6.0,113.0,10.0,3209.0,19.0,29.0,0.0,27.0,26.0,5.0,191.0,11.0,36.0,59.0,238.0,40.0,32.0,80.0,7.0,52.0,221.0,90.0,54.0,39.0
3978,12.0,15.0,88.0,8.0,6.0,42.0,18.0,37.0,30.0,44.0,48.0,293.0,2.0,76.0,177.0,5.0,308.0,22.0,31.0,11.0,70.0,20.0,4.0,50.0,0.0,35.0,131.0,369.0,328.0,80.0
4027,3.0,25.0,100.0,16.0,2.0,9.0,47.0,134.0,10.0,34.0,27.0,117.0,6.0,83.0,35.0,0.0,39.0,20.0,36.0,41.0,276.0,5.0,7.0,49.0,4.0,22.0,206.0,184.0,38.0,79.0
4076,6.0,140.0,868.0,7.0,4.0,16.0,34.0,740.0,32.0,144.0,67.0,35.0,3.0,283.0,92.0,0.0,115.0,81.0,25.0,51.0,1995.0,98.0,13.0,36.0,2.0,31.0,192.0,9.0,28.0,45.0
4125,16.0,17.0,25.0,19.0,3.0,24.0,26.0,489.0,15.0,52.0,32.0,228.0,4.0,43.0,340.0,0.0,97.0,107.0,190.0,18.0,33.0,233.0,89.0,28.0,185.0,266.0,80.0,103.0,14.0,2339.0
4174,2.0,204.0,80.0,1.0,4.0,56.0,3.0,63.0,15.0,64.0,16.0,254.0,5.0,74.0,8.0,0.0,14.0,32.0,23.0,43.0,191.0,111.0,10.0,27.0,13.0,24.0,108.0,49.0,73.0,183.0
4223,51.0,41.0,36.0,0.0,3.0,17.0,7.0,151.0,28.0,75.0,557.0,3354.0,1.0,623.0,5.0,4.0,16.0,37.0,165.0,83.0,826.0,29.0,15.0,40.0,11.0,21.0,71.0,172.0,12.0,108.0
4272,4.0,15.0,74.0,5.0,12.0,114.0,11.0,448.0,14.0,31.0,54.0,55.0,6.0,87.0,49.0,3.0,13.0,37.0,128.0,39.0,186.0,350.0,17.0,33.0,0.0,9.0,208.0,18.0,2.0,123.0
4321,1.0,26.0,17.0,3.0,11.0,28.0,12.0,1058.0,59.0,289.0,302.0,73.0,4.0,30.0,19.0,0.0,58.0,25.0,46.0,60.0,144.0,107.0,5.0,7.0,6.0,92.0,293.0,15.0,36.0,80.0
4370,3.0,55.0,53.0,1.0,8.0,5.0,2.0,25.0,37.0,48.0,6.0,2182.0,18.0,145.0,12.0,4.0,74.0,43.0,249.0,59.0,848.0,14.0,41.0,127.0,0.0,82.0,336.0,114.0,39.0,54.0
4419,1.0,0.0,7.0,10.0,4.0,2.0,16.0,78.0,110.0,130.0,32.0,29.0,37.0,3.0,212.0,12.0,76.0,15.0,300.0,18.0,84.0,702.0,757.0,48.0,111.0,392.0,19.0,119.0,8.0,1637.0
4468,19.0,5.0,6.0,8.0,32.0,2.0,9.0,240.0,64.0,153.0,691.0,3.0,0.0,7.0,1268.0,79.0,217.0,13.0,62.0,39.0,26.0,329.0,76.0,15.0,42.0,195.0,18.0,11.0,183.0,447.0
4517,3.0,5.0,2.0,0.0,1.0,8.0,6.0,64.0,76.0,89.0,33.0,265.0,26.0,30.0,186.0,44.0,111.0,22.0,180.0,21.0,9.0,139.0,98.0,52.0,143.0,62.0,73.0,4.0,50.0,307.0
4566,6.0,1.0,11.0,0.0,4.0,2.0,9.0,19.0,106.0,17.0,165.0,533.0,108.0,91.0,27.0,139.0,41.0,22.0,438.0,47.0,3.0,156.0,53.0,15.0,2952.0,191.0,24.0,63.0,65.0,176.0
4615,0.0,22.0,28.0,114.0,14.0,21.0,8.0,5.0,17.0,6.0,2.0,133.0,32.0,12.0,192.0,73.0,155.0,15.0,205.0,11.0,1.0,687.0,67.0,31.0,20.0,152.0,35.0,3.0,1499.0,255.0
4664,0.0,7.0,5.0,3.0,11.0,1.0,2.0,14.0,82.0,40.0,15.0,31.0,12.0,91.0,146.0,19.0,78.0,73.0,50.0,23.0,10.0,298.0,35.0,53.0,946.0,241.0,18.0,16.0,140.0,259.0
4713,1.0,3.0,0.0,9.0,32.0,24.0,2.0,44.0,138.0,25.0,13.0,15.0,14.0,4.0,217.0,58.0,465.0,12.0,487.0,115.0,17.0,155.0,73.0,65.0,47.0,163.0,19.0,64.0,167.0,111.0
4762,12.0,179.0,1.0,0.0,3.0,20.0,4.0,53.0,27.0,9.0,54.0,107.0,31.0,325.0,24.0,242.0,100.0,232.0,4374.0,15.0,2.0,252.0,1762.0,535.0,378.0,269.0,257.0,10.0,58.0,661.0
4811,10.0,22.0,0.0,18.0,6.0,7.0,5.0,9.0,2.0,38.0,39.0,94.0,23.0,35.0,58.0,111.0,89.0,32.0,257.0,19.0,8.0,248.0,68.0,13.0,583.0,107.0,229.0,12.0,91.0,283.0
4860,1.0,15.0,8.0,0.0,5.0,4.0,2.0,17.0,11.0,28.0,16.0,200.0,41.0,23.0,36.0,26.0,188.0,12.0,97.0,35.0,87.0,130.0,21.0,75.0,126.0,186.0,43.0,7.0,61.0,59.0
