,1-methylnicotinamide,alpha-glycerophosphate,C22:6 CE,C20:4 CE,C16:0 LPE,pantothenate,oxalate,UMP,niacinamide,N-carbamoyl-beta-alanine,C22:6 LPC,2-deoxycytidine,SDMA/ADMA,3-phosphoglycerate,pyroglutamic acid,phosphocreatine,urate,NADP,isocitrate,C34:2 DAG,5-HIAA,adenosine,2-deoxyadenosine,cystathionine,malondialdehyde,serine,creatinine,hypoxanthine,carnitine,inosine
1491,0.0,6.0,8.0,5.0,4.0,2.0,3.0,1.0,30.0,10.0,50.0,13.0,16.0,31.0,60.0,9.0,32.0,61.0,17.0,12.0,40.0,26.0,39.0,14.0,56.0,46.0,21.0,35.0,20.0,41.0
1540,0.0,7.0,4.0,10.0,3.0,11.0,6.0,2.0,12.0,1.0,41.0,46.0,5.0,18.0,37.0,9.0,14.0,48.0,36.0,20.0,24.0,8.0,26.0,60.0,44.0,61.0,19.0,31.0,22.0,17.0
1589,0.0,4.0,11.0,8.0,6.0,1.0,2.0,5.0,10.0,3.0,14.0,16.0,22.0,23.0,13.0,12.0,20.0,33.0,26.0,28.0,36.0,9.0,18.0,64.0,25.0,59.0,19.0,51.0,15.0,30.0
1638,0.0,5.0,2.0,6.0,4.0,3.0,13.0,1.0,17.0,7.0,57.0,26.0,14.0,37.0,38.0,15.0,28.0,58.0,16.0,43.0,23.0,10.0,20.0,53.0,8.0,42.0,47.0,41.0,9.0,18.0
1687,0.0,1.0,2.0,5.0,11.0,4.0,13.0,3.0,7.0,9.0,12.0,10.0,25.0,14.0,21.0,15.0,19.0,34.0,46.0,18.0,23.0,6.0,20.0,31.0,57.0,47.0,24.0,62.0,17.0,40.0
1736,0.0,1.0,2.0,6.0,3.0,8.0,7.0,4.0,5.0,10.0,15.0,27.0,13.0,18.0,17.0,11.0,41.0,9.0,20.0,30.0,34.0,19.0,24.0,55.0,52.0,45.0,57.0,32.0,38.0,33.0
1785,0.0,1.0,2.0,6.0,5.0,4.0,3.0,9.0,12.0,7.0,13.0,8.0,39.0,11.0,49.0,19.0,10.0,47.0,15.0,28.0,22.0,32.0,18.0,42.0,36.0,27.0,41.0,40.0,29.0,52.0
1834,0.0,5.0,2.0,1.0,6.0,3.0,8.0,4.0,7.0,13.0,18.0,24.0,28.0,11.0,33.0,21.0,23.0,55.0,38.0,19.0,53.0,9.0,27.0,10.0,22.0,64.0,29.0,37.0,16.0,14.0
1883,0.0,2.0,6.0,3.0,4.0,5.0,9.0,1.0,7.0,11.0,44.0,8.0,15.0,10.0,35.0,16.0,29.0,55.0,60.0,20.0,50.0,14.0,25.0,12.0,22.0,59.0,33.0,26.0,17.0,45.0
1932,0.0,4.0,2.0,6.0,1.0,3.0,7.0,5.0,24.0,11.0,26.0,8.0,21.0,15.0,39.0,9.0,10.0,54.0,31.0,28.0,51.0,13.0,20.0,12.0,14.0,19.0,48.0,61.0,16.0,17.0
1981,0.0,1.0,2.0,5.0,6.0,4.0,3.0,9.0,7.0,10.0,8.0,24.0,35.0,14.0,23.0,18.0,12.0,11.0,32.0,25.0,20.0,34.0,15.0,61.0,19.0,28.0,36.0,30.0,13.0,21.0
2030,0.0,4.0,1.0,2.0,7.0,3.0,5.0,11.0,8.0,12.0,28.0,9.0,35.0,15.0,54.0,26.0,18.0,34.0,6.0,33.0,47.0,19.0,20.0,25.0,13.0,50.0,30.0,43.0,16.0,10.0
2079,0.0,2.0,6.0,1.0,4.0,7.0,3.0,21.0,9.0,5.0,10.0,13.0,23.0,19.0,8.0,11.0,16.0,15.0,14.0,34.0,24.0,62.0,49.0,43.0,48.0,56.0,20.0,32.0,18.0,12.0
2128,1.0,0.0,4.0,3.0,11.0,5.0,2.0,18.0,10.0,14.0,7.0,16.0,39.0,58.0,6.0,36.0,15.0,31.0,9.0,29.0,8.0,34.0,25.0,62.0,55.0,44.0,20.0,27.0,19.0,12.0
2177,0.0,5.0,2.0,1.0,7.0,3.0,4.0,6.0,9.0,15.0,13.0,18.0,11.0,47.0,10.0,52.0,12.0,28.0,14.0,22.0,20.0,40.0,29.0,42.0,37.0,44.0,21.0,34.0,8.0,24.0
2226,0.0,7.0,6.0,2.0,1.0,12.0,4.0,3.0,10.0,5.0,19.0,16.0,28.0,14.0,8.0,18.0,38.0,11.0,9.0,31.0,24.0,59.0,20.0,62.0,26.0,39.0,21.0,43.0,53.0,58.0
2275,1.0,4.0,13.0,0.0,5.0,3.0,2.0,6.0,7.0,10.0,31.0,8.0,41.0,17.0,9.0,12.0,35.0,16.0,11.0,18.0,22.0,33.0,38.0,42.0,48.0,21.0,34.0,15.0,19.0,27.0
2324,2.0,4.0,3.0,0.0,7.0,1.0,6.0,5.0,19.0,8.0,29.0,17.0,10.0,24.0,11.0,13.0,12.0,21.0,14.0,18.0,23.0,16.0,45.0,47.0,39.0,20.0,49.0,30.0,9.0,15.0
2373,0.0,2.0,3.0,1.0,6.0,8.0,5.0,7.0,4.0,13.0,9.0,18.0,27.0,53.0,45.0,20.0,24.0,21.0,11.0,14.0,17.0,40.0,51.0,48.0,42.0,32.0,57.0,22.0,30.0,15.0
2422,0.0,7.0,4.0,1.0,2.0,3.0,6.0,8.0,5.0,9.0,12.0,22.0,15.0,17.0,33.0,14.0,16.0,11.0,13.0,26.0,29.0,23.0,47.0,48.0,25.0,58.0,62.0,39.0,18.0,21.0
2471,0.0,1.0,5.0,3.0,8.0,4.0,2.0,7.0,10.0,6.0,12.0,9.0,20.0,15.0,11.0,17.0,23.0,27.0,31.0,14.0,44.0,32.0,33.0,21.0,30.0,13.0,49.0,25.0,39.0,28.0
2520,0.0,1.0,8.0,2.0,6.0,3.0,4.0,10.0,5.0,7.0,20.0,11.0,14.0,31.0,9.0,18.0,44.0,27.0,28.0,55.0,45.0,42.0,22.0,30.0,36.0,12.0,60.0,37.0,24.0,32.0
2569,0.0,2.0,5.0,1.0,7.0,8.0,4.0,11.0,3.0,9.0,30.0,28.0,6.0,10.0,13.0,14.0,20.0,55.0,24.0,47.0,12.0,36.0,43.0,25.0,37.0,23.0,48.0,41.0,29.0,27.0
2618,0.0,1.0,9.0,8.0,3.0,2.0,4.0,7.0,14.0,6.0,17.0,25.0,20.0,11.0,5.0,12.0,15.0,40.0,13.0,26.0,32.0,16.0,10.0,38.0,18.0,22.0,42.0,50.0,27.0,54.0
2667,0.0,4.0,5.0,2.0,1.0,3.0,9.0,10.0,6.0,17.0,21.0,26.0,7.0,11.0,8.0,18.0,25.0,34.0,13.0,49.0,12.0,16.0,36.0,23.0,52.0,38.0,64.0,37.0,47.0,35.0
2716,0.0,1.0,6.0,2.0,3.0,8.0,17.0,7.0,4.0,9.0,13.0,21.0,10.0,11.0,5.0,25.0,14.0,36.0,19.0,20.0,39.0,22.0,16.0,62.0,41.0,18.0,29.0,27.0,35.0,34.0
2765,0.0,1.0,2.0,5.0,10.0,7.0,11.0,4.0,6.0,3.0,9.0,34.0,30.0,19.0,12.0,23.0,27.0,17.0,32.0,33.0,39.0,25.0,20.0,41.0,37.0,13.0,60.0,18.0,24.0,28.0
2814,0.0,2.0,4.0,23.0,3.0,1.0,5.0,10.0,7.0,6.0,26.0,9.0,8.0,13.0,12.0,14.0,19.0,17.0,47.0,18.0,46.0,40.0,22.0,45.0,29.0,28.0,34.0,21.0,48.0,31.0
2863,0.0,4.0,2.0,3.0,7.0,5.0,1.0,6.0,8.0,16.0,9.0,15.0,10.0,18.0,43.0,25.0,14.0,41.0,11.0,55.0,47.0,21.0,33.0,51.0,49.0,19.0,13.0,32.0,35.0,46.0
2912,0.0,2.0,1.0,7.0,3.0,6.0,4.0,9.0,8.0,5.0,25.0,14.0,11.0,18.0,10.0,17.0,30.0,21.0,15.0,22.0,24.0,31.0,46.0,52.0,38.0,20.0,29.0,19.0,59.0,39.0
2961,0.0,1.0,3.0,2.0,9.0,6.0,5.0,13.0,31.0,14.0,20.0,12.0,7.0,37.0,17.0,25.0,4.0,8.0,26.0,29.0,18.0,38.0,41.0,22.0,15.0,43.0,34.0,62.0,47.0,51.0
3010,0.0,1.0,2.0,3.0,7.0,5.0,4.0,9.0,27.0,12.0,13.0,10.0,29.0,44.0,43.0,59.0,32.0,8.0,28.0,15.0,6.0,52.0,31.0,18.0,23.0,21.0,34.0,56.0,16.0,20.0
3059,0.0,1.0,3.0,2.0,7.0,6.0,4.0,8.0,12.0,9.0,5.0,15.0,43.0,49.0,21.0,35.0,11.0,27.0,16.0,13.0,20.0,33.0,39.0,14.0,18.0,46.0,36.0,30.0,19.0,41.0
3108,0.0,1.0,2.0,3.0,7.0,9.0,5.0,4.0,6.0,11.0,12.0,30.0,29.0,50.0,18.0,17.0,15.0,33.0,24.0,10.0,13.0,22.0,27.0,8.0,19.0,47.0,34.0,38.0,57.0,42.0
3157,0.0,4.0,2.0,1.0,5.0,9.0,3.0,10.0,20.0,11.0,13.0,22.0,8.0,35.0,14.0,27.0,7.0,39.0,31.0,19.0,6.0,64.0,16.0,12.0,17.0,47.0,15.0,32.0,30.0,36.0
3206,0.0,4.0,1.0,2.0,5.0,3.0,6.0,12.0,7.0,13.0,8.0,10.0,32.0,26.0,44.0,21.0,9.0,34.0,25.0,27.0,18.0,52.0,48.0,22.0,14.0,53.0,30.0,11.0,29.0,54.0
3255,0.0,4.0,3.0,1.0,17.0,5.0,6.0,2.0,20.0,12.0,7.0,13.0,34.0,11.0,8.0,16.0,28.0,49.0,46.0,15.0,9.0,54.0,33.0,38.0,53.0,63.0,36.0,41.0,24.0,37.0
3304,0.0,3.0,2.0,1.0,4.0,9.0,5.0,7.0,6.0,17.0,8.0,13.0,15.0,29.0,11.0,28.0,31.0,25.0,19.0,14.0,22.0,27.0,23.0,51.0,16.0,66.0,12.0,10.0,20.0,44.0
3353,0.0,1.0,2.0,3.0,40.0,4.0,7.0,6.0,8.0,5.0,32.0,12.0,18.0,13.0,24.0,60.0,9.0,38.0,22.0,11.0,10.0,14.0,17.0,29.0,15.0,58.0,19.0,43.0,63.0,39.0
3402,0.0,4.0,2.0,1.0,5.0,8.0,6.0,3.0,7.0,21.0,11.0,27.0,29.0,22.0,13.0,20.0,15.0,24.0,17.0,9.0,60.0,14.0,34.0,19.0,28.0,59.0,38.0,12.0,61.0,31.0
3451,0.0,4.0,2.0,1.0,3.0,6.0,5.0,32.0,7.0,22.0,12.0,27.0,8.0,9.0,11.0,62.0,33.0,10.0,25.0,37.0,60.0,59.0,19.0,18.0,30.0,15.0,43.0,21.0,58.0,48.0
3500,1.0,0.0,2.0,3.0,4.0,7.0,5.0,9.0,10.0,6.0,12.0,31.0,24.0,8.0,23.0,39.0,16.0,19.0,14.0,53.0,51.0,22.0,27.0,34.0,20.0,11.0,21.0,17.0,15.0,29.0
3549,0.0,1.0,2.0,3.0,9.0,4.0,6.0,12.0,10.0,7.0,33.0,36.0,53.0,5.0,11.0,26.0,17.0,21.0,13.0,30.0,29.0,45.0,34.0,20.0,54.0,31.0,19.0,37.0,39.0,27.0
3598,0.0,4.0,1.0,2.0,3.0,8.0,5.0,20.0,7.0,11.0,15.0,36.0,10.0,6.0,23.0,40.0,58.0,26.0,19.0,12.0,30.0,17.0,55.0,16.0,35.0,14.0,29.0,21.0,24.0,32.0
3647,0.0,2.0,1.0,3.0,4.0,7.0,9.0,8.0,6.0,26.0,14.0,20.0,18.0,5.0,13.0,39.0,10.0,17.0,11.0,23.0,16.0,24.0,36.0,28.0,52.0,12.0,43.0,22.0,31.0,32.0
3696,0.0,1.0,2.0,3.0,7.0,6.0,4.0,5.0,15.0,22.0,12.0,9.0,13.0,8.0,49.0,11.0,41.0,25.0,10.0,34.0,19.0,48.0,28.0,24.0,16.0,26.0,55.0,43.0,35.0,14.0
3745,0.0,1.0,2.0,4.0,5.0,7.0,3.0,10.0,11.0,8.0,20.0,39.0,13.0,6.0,17.0,22.0,42.0,47.0,38.0,21.0,26.0,9.0,18.0,19.0,25.0,15.0,62.0,16.0,12.0,44.0
3794,2.0,3.0,0.0,1.0,4.0,14.0,5.0,6.0,11.0,7.0,20.0,51.0,31.0,12.0,17.0,29.0,25.0,40.0,15.0,10.0,50.0,9.0,23.0,52.0,21.0,8.0,24.0,18.0,37.0,39.0
3843,1.0,3.0,2.0,0.0,5.0,6.0,4.0,10.0,9.0,8.0,14.0,50.0,11.0,7.0,33.0,43.0,17.0,37.0,15.0,30.0,12.0,13.0,21.0,28.0,24.0,26.0,25.0,18.0,20.0,16.0
3892,3.0,2.0,1.0,0.0,5.0,8.0,4.0,10.0,6.0,11.0,21.0,29.0,9.0,7.0,48.0,50.0,16.0,31.0,14.0,33.0,19.0,30.0,49.0,47.0,42.0,12.0,15.0,17.0,23.0,25.0
3941,0.0,2.0,1.0,7.0,3.0,4.0,5.0,13.0,10.0,12.0,14.0,11.0,44.0,6.0,8.0,51.0,33.0,9.0,20.0,35.0,63.0,22.0,39.0,29.0,40.0,16.0,36.0,25.0,32.0,30.0
3990,0.0,4.0,1.0,5.0,2.0,6.0,3.0,7.0,10.0,33.0,31.0,8.0,27.0,15.0,12.0,49.0,13.0,14.0,29.0,38.0,28.0,36.0,19.0,40.0,9.0,11.0,21.0,37.0,34.0,20.0
4039,0.0,2.0,1.0,6.0,4.0,3.0,7.0,5.0,10.0,56.0,11.0,47.0,34.0,8.0,17.0,27.0,31.0,9.0,12.0,30.0,24.0,21.0,36.0,14.0,13.0,16.0,42.0,51.0,59.0,32.0
4088,0.0,5.0,2.0,4.0,1.0,10.0,3.0,7.0,8.0,35.0,11.0,28.0,36.0,13.0,23.0,29.0,18.0,16.0,24.0,20.0,46.0,22.0,15.0,6.0,14.0,12.0,33.0,60.0,50.0,27.0
4137,0.0,6.0,1.0,8.0,2.0,4.0,3.0,7.0,16.0,11.0,10.0,12.0,5.0,13.0,31.0,35.0,22.0,9.0,26.0,47.0,20.0,23.0,42.0,53.0,14.0,19.0,17.0,61.0,60.0,15.0
4186,0.0,3.0,1.0,4.0,2.0,5.0,6.0,8.0,21.0,14.0,13.0,11.0,25.0,12.0,29.0,46.0,44.0,17.0,15.0,19.0,55.0,27.0,10.0,20.0,28.0,18.0,7.0,23.0,43.0,35.0
4235,0.0,4.0,2.0,3.0,1.0,5.0,7.0,42.0,14.0,9.0,13.0,11.0,25.0,8.0,58.0,12.0,20.0,6.0,19.0,24.0,37.0,59.0,45.0,29.0,31.0,35.0,32.0,27.0,55.0,18.0
4284,0.0,1.0,4.0,6.0,2.0,3.0,5.0,19.0,14.0,24.0,20.0,16.0,15.0,18.0,13.0,32.0,30.0,7.0,21.0,33.0,10.0,9.0,23.0,59.0,11.0,8.0,51.0,40.0,29.0,60.0
4333,1.0,4.0,0.0,7.0,2.0,3.0,5.0,9.0,16.0,10.0,18.0,8.0,12.0,25.0,17.0,22.0,38.0,6.0,13.0,41.0,11.0,23.0,35.0,14.0,47.0,15.0,62.0,39.0,34.0,30.0
4382,0.0,5.0,2.0,6.0,1.0,4.0,3.0,8.0,13.0,19.0,14.0,10.0,40.0,9.0,26.0,16.0,15.0,7.0,27.0,34.0,53.0,20.0,33.0,17.0,18.0,12.0,61.0,42.0,44.0,11.0
4431,0.0,2.0,1.0,6.0,7.0,3.0,10.0,14.0,5.0,43.0,39.0,8.0,4.0,12.0,30.0,27.0,13.0,11.0,66.0,40.0,44.0,25.0,61.0,41.0,23.0,35.0,54.0,36.0,22.0,31.0
4480,0.0,1.0,3.0,2.0,6.0,7.0,4.0,9.0,15.0,5.0,10.0,27.0,57.0,12.0,22.0,64.0,37.0,46.0,48.0,35.0,44.0,43.0,31.0,11.0,39.0,52.0,40.0,17.0,21.0,30.0
4529,0.0,3.0,6.0,2.0,4.0,1.0,5.0,10.0,21.0,8.0,24.0,7.0,9.0,16.0,19.0,23.0,52.0,17.0,48.0,15.0,30.0,20.0,22.0,38.0,28.0,33.0,11.0,62.0,40.0,43.0
4578,0.0,1.0,4.0,2.0,5.0,3.0,6.0,9.0,14.0,8.0,19.0,16.0,7.0,24.0,15.0,50.0,30.0,26.0,42.0,12.0,22.0,31.0,21.0,10.0,17.0,29.0,41.0,37.0,20.0,49.0
4627,0.0,1.0,3.0,2.0,11.0,5.0,4.0,38.0,24.0,6.0,27.0,16.0,32.0,63.0,15.0,25.0,29.0,36.0,26.0,34.0,22.0,37.0,60.0,9.0,35.0,61.0,41.0,53.0,14.0,49.0
4676,0.0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,9.0,12.0,46.0,41.0,33.0,13.0,23.0,36.0,57.0,15.0,39.0,62.0,17.0,27.0,44.0,14.0,47.0,26.0,20.0,45.0,28.0
4725,0.0,3.0,6.0,1.0,8.0,4.0,2.0,9.0,5.0,27.0,19.0,17.0,20.0,15.0,12.0,11.0,38.0,26.0,30.0,39.0,23.0,28.0,32.0,34.0,59.0,31.0,25.0,16.0,45.0,42.0
4774,1.0,0.0,3.0,2.0,7.0,4.0,6.0,5.0,20.0,42.0,17.0,8.0,29.0,40.0,12.0,28.0,18.0,58.0,31.0,51.0,27.0,22.0,49.0,10.0,24.0,15.0,41.0,13.0,35.0,37.0
4823,0.0,1.0,3.0,2.0,6.0,5.0,9.0,8.0,15.0,10.0,12.0,7.0,18.0,23.0,16.0,37.0,28.0,11.0,50.0,43.0,17.0,42.0,24.0,13.0,25.0,35.0,47.0,14.0,20.0,54.0
4872,0.0,3.0,1.0,2.0,5.0,4.0,10.0,6.0,20.0,8.0,47.0,7.0,44.0,22.0,29.0,16.0,35.0,21.0,64.0,18.0,31.0,14.0,48.0,15.0,33.0,50.0,45.0,59.0,55.0,54.0
