,LEPREL2,CORO6,IFI27,HERC5,CHRNB1,MYEOV,AC005624.2,AFAP1-AS1,EDA2R,GBP5,PLEKHG4,IFITM1,ARTN,RP11-366M4.17,C8orf58,FAM110C,RP11-834C11.4,ZNF625,SLFN12,MFAP2,ABC7-42389800N19.1,SESN1,MT1E,CSAG1,C3orf18,GPX3,CKB,ZNF703,RGL3,FBXO22
3634,1.0,4.0,3.0,15.0,2.0,28.0,24.0,5.0,30.0,13.0,44.0,9.0,41.0,37.0,67.0,34.0,14.0,19.0,695.0,40.0,27.0,45.0,0.0,6.0,25.0,102.0,35.0,43.0,99.0,42.0
3683,2.0,1.0,7.0,9.0,3.0,21.0,4.0,6.0,15.0,5.0,11.0,26.0,37.0,28.0,86.0,43.0,25.0,58.0,48.0,14.0,167.0,46.0,0.0,30.0,118.0,17.0,49.0,35.0,304.0,36.0
3732,0.0,7.0,1.0,3.0,2.0,40.0,36.0,8.0,35.0,9.0,83.0,74.0,134.0,42.0,29.0,15.0,22.0,23.0,162.0,88.0,27.0,17.0,4.0,24.0,46.0,63.0,33.0,60.0,76.0,61.0
3781,2.0,0.0,7.0,27.0,3.0,42.0,12.0,18.0,113.0,17.0,14.0,159.0,11.0,96.0,35.0,49.0,59.0,22.0,311.0,83.0,294.0,170.0,1.0,4.0,26.0,20.0,28.0,32.0,23.0,63.0
3830,2.0,5.0,0.0,10.0,55.0,14.0,74.0,15.0,18.0,43.0,316.0,73.0,20.0,141.0,7.0,4.0,184.0,27.0,17.0,16.0,202.0,24.0,3.0,196.0,130.0,13.0,145.0,76.0,126.0,118.0
3879,2.0,0.0,5.0,7.0,3.0,82.0,124.0,12.0,32.0,9.0,65.0,4.0,16.0,34.0,37.0,91.0,395.0,41.0,51.0,23.0,88.0,149.0,6.0,213.0,80.0,30.0,57.0,290.0,95.0,139.0
3928,1.0,25.0,13.0,108.0,4.0,77.0,16.0,113.0,3.0,30.0,17.0,43.0,302.0,75.0,45.0,10.0,9.0,188.0,5.0,313.0,64.0,2.0,6.0,20.0,141.0,73.0,49.0,14.0,215.0,32.0
3977,0.0,3.0,2.0,15.0,4.0,20.0,25.0,44.0,16.0,36.0,28.0,154.0,40.0,11.0,17.0,47.0,24.0,80.0,31.0,71.0,7.0,22.0,97.0,1.0,75.0,26.0,6.0,32.0,48.0,30.0
4026,0.0,5.0,31.0,14.0,12.0,55.0,32.0,9.0,10.0,22.0,1.0,11.0,62.0,24.0,23.0,787.0,21.0,43.0,57.0,7.0,25.0,8.0,28.0,2.0,85.0,110.0,3.0,4.0,942.0,54.0
4075,0.0,3.0,2.0,18.0,1.0,19.0,8.0,38.0,5.0,20.0,29.0,23.0,41.0,26.0,32.0,25.0,123.0,78.0,40.0,16.0,31.0,9.0,250.0,7.0,51.0,43.0,86.0,21.0,35.0,17.0
4124,0.0,14.0,1.0,17.0,4.0,16.0,45.0,23.0,18.0,56.0,24.0,25.0,21.0,58.0,19.0,38.0,72.0,152.0,20.0,3.0,26.0,54.0,34.0,2.0,150.0,8.0,6.0,7.0,74.0,55.0
4173,3.0,8.0,2.0,10.0,7.0,42.0,89.0,19.0,25.0,14.0,0.0,13.0,66.0,1.0,24.0,38.0,106.0,60.0,27.0,21.0,58.0,64.0,50.0,78.0,240.0,5.0,11.0,26.0,121.0,72.0
4222,0.0,3.0,1.0,21.0,4.0,10.0,181.0,12.0,35.0,55.0,13.0,15.0,20.0,5.0,19.0,57.0,259.0,67.0,44.0,59.0,18.0,25.0,38.0,2.0,96.0,54.0,16.0,11.0,95.0,32.0
4271,0.0,56.0,2.0,1.0,47.0,18.0,160.0,3.0,6.0,49.0,200.0,25.0,295.0,37.0,13.0,19.0,24.0,35.0,21.0,169.0,9.0,8.0,42.0,16.0,100.0,39.0,31.0,23.0,1305.0,71.0
4320,1.0,6.0,3.0,77.0,2.0,5.0,20.0,53.0,94.0,25.0,42.0,102.0,44.0,64.0,28.0,4.0,269.0,21.0,32.0,152.0,27.0,15.0,168.0,0.0,142.0,130.0,14.0,31.0,50.0,63.0
4369,0.0,25.0,31.0,114.0,9.0,74.0,232.0,255.0,18.0,23.0,8.0,3.0,157.0,83.0,14.0,32.0,6.0,202.0,24.0,40.0,17.0,42.0,347.0,10.0,187.0,104.0,13.0,4.0,229.0,101.0
4418,6.0,101.0,5.0,3.0,0.0,22.0,9.0,2.0,14.0,246.0,62.0,146.0,7.0,64.0,31.0,12.0,231.0,4.0,34.0,38.0,39.0,28.0,8.0,59.0,17.0,153.0,341.0,40.0,29.0,19.0
4467,15.0,0.0,6.0,23.0,3.0,1.0,12.0,79.0,20.0,33.0,51.0,63.0,31.0,35.0,77.0,5.0,16.0,26.0,54.0,25.0,193.0,22.0,98.0,85.0,21.0,109.0,467.0,136.0,4.0,52.0
4516,14.0,1.0,0.0,4.0,2.0,20.0,7.0,9.0,17.0,12.0,3.0,23.0,25.0,15.0,130.0,91.0,35.0,21.0,45.0,11.0,963.0,34.0,18.0,2079.0,58.0,37.0,183.0,26.0,204.0,27.0
4565,0.0,5.0,2.0,12.0,3.0,168.0,10.0,22.0,4.0,14.0,11.0,31.0,25.0,32.0,30.0,27.0,9.0,13.0,90.0,83.0,104.0,141.0,81.0,64.0,20.0,26.0,71.0,47.0,24.0,33.0
4614,7.0,1.0,4.0,2.0,12.0,44.0,3.0,187.0,14.0,54.0,15.0,8.0,69.0,70.0,67.0,56.0,9.0,25.0,89.0,58.0,22.0,65.0,11.0,211.0,16.0,41.0,154.0,24.0,88.0,39.0
4663,9.0,0.0,28.0,14.0,3.0,8.0,2.0,54.0,51.0,42.0,26.0,27.0,17.0,358.0,78.0,29.0,4.0,24.0,118.0,7.0,35.0,101.0,13.0,233.0,41.0,72.0,114.0,6.0,18.0,77.0
4712,4.0,0.0,31.0,3.0,1.0,30.0,15.0,6.0,39.0,16.0,141.0,28.0,116.0,12.0,45.0,110.0,19.0,46.0,50.0,2.0,17.0,43.0,9.0,10.0,38.0,183.0,64.0,11.0,5.0,47.0
4761,0.0,58.0,11.0,33.0,4.0,2.0,6.0,16.0,102.0,28.0,26.0,13.0,184.0,21.0,47.0,79.0,14.0,30.0,17.0,10.0,36.0,56.0,258.0,84.0,42.0,40.0,85.0,3.0,15.0,61.0
4810,12.0,0.0,8.0,112.0,1.0,9.0,3.0,125.0,134.0,14.0,4.0,79.0,31.0,2.0,26.0,17.0,440.0,15.0,70.0,42.0,65.0,34.0,25.0,49.0,21.0,32.0,299.0,51.0,5.0,50.0
4859,0.0,9.0,14.0,1.0,2.0,12.0,4.0,90.0,53.0,18.0,81.0,29.0,54.0,3.0,45.0,35.0,10.0,19.0,42.0,5.0,50.0,380.0,228.0,159.0,13.0,74.0,406.0,64.0,23.0,44.0
