,CNTN5_DEL,FBXO31_DEL,EIF5AL1_DEL,CHD1_MUT,CWF19L2_AMP,DEFB127_DEL,FGFR1_DEL,LOC653786_DEL,PGLYRP4_AMP,LINC00642_DEL,ETS1_DEL,DCAF4_DEL,SPRR2C_AMP,DEFB125_DEL,P2RX7_MUT,SPRR2G_AMP,SPRR2F_AMP,UNC13C_DEL,PGLYRP3_AMP,LCE1C_AMP,PRB1_AMP,INADL_AMP,C20orf96_DEL,DEFB129_DEL,AMHR2_MUT,LCE6A_AMP,SMARCA4_MUT,LOC285401_DEL,OR2T2_DEL,TPM3_AMP
1649,128.0,0.0,4.0,28.0,651.0,168.0,52.0,26.0,13.0,61.0,315.0,15.0,126.0,661.0,744.0,144.0,143.0,307.0,122.0,88.0,42.0,91.0,6751.0,87.0,23.0,66.0,37.0,125.0,29.0,95.0
1698,138.0,1.0,83.0,237.0,457.0,27.0,4.0,53.0,50.0,351.0,128.0,10.0,55.0,144.0,32.0,56.0,17.0,891.0,14.0,23.0,126.0,73.0,5846.0,526.0,333.0,215.0,34.0,208.0,1951.0,71.0
1747,2703.0,1.0,539.0,200.0,330.0,52.0,5.0,4.0,22.0,3485.0,218.0,20.0,225.0,1004.0,16.0,27.0,18.0,1279.0,85.0,3.0,867.0,1370.0,714.0,73.0,1372.0,153.0,88.0,572.0,137.0,37.0
1796,300.0,2.0,1.0,16745.0,332.0,522.0,27.0,7.0,49.0,84.0,2684.0,0.0,58.0,673.0,47.0,59.0,15.0,591.0,43.0,26.0,22152.0,16288.0,4536.0,4476.0,1423.0,227.0,328.0,97.0,229.0,23.0
1845,2.0,4.0,3.0,125.0,3459.0,670.0,7.0,1.0,15.0,165.0,953.0,45.0,39.0,6970.0,74.0,310.0,34.0,113.0,33.0,6.0,862.0,131.0,270.0,966.0,24.0,307.0,26.0,133.0,18.0,237.0
1894,4.0,3.0,2.0,256.0,603.0,113.0,24.0,220.0,48.0,221.0,1.0,83.0,19.0,550.0,142.0,44.0,13.0,9.0,49.0,100.0,383.0,1466.0,15.0,218.0,16804.0,40.0,33.0,22.0,47.0,179.0
1943,0.0,17.0,9.0,127.0,47.0,5779.0,8.0,2219.0,39.0,79.0,246.0,117.0,23720.0,7388.0,6.0,264.0,11.0,185.0,24.0,113.0,97.0,122.0,5754.0,2167.0,95.0,267.0,14.0,424.0,478.0,207.0
1992,0.0,12874.0,2.0,36.0,74.0,32.0,23.0,1.0,669.0,7.0,79.0,35.0,135.0,18.0,49.0,136.0,534.0,600.0,16.0,119.0,1145.0,874.0,142.0,411.0,495.0,30.0,655.0,2966.0,219.0,88.0
2041,0.0,104.0,5.0,19.0,119.0,39.0,2033.0,133.0,81.0,51.0,3.0,258.0,29.0,4.0,10.0,443.0,441.0,31.0,101.0,40.0,1.0,18.0,63.0,261.0,1417.0,112.0,46.0,136.0,22.0,69.0
2090,0.0,758.0,57.0,1.0,15.0,97.0,23.0,11.0,288.0,754.0,6632.0,59.0,752.0,25.0,56.0,172.0,755.0,101.0,78.0,314.0,50.0,55.0,73.0,13.0,5.0,757.0,98.0,49.0,20.0,143.0
