, TNFa, JAK-STAT, MAPK_only, TLR, PI3K_only, Wnt, H2O2, MAPK_PI3K, IL-1, TGFB, VEGF
3565,1.0,0.0,4.0,2.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0
3614,0.0,3.0,5.0,4.0,1.0,2.0,7.0,9.0,8.0,6.0,10.0
3663,1.0,0.0,3.0,2.0,4.0,5.0,6.0,9.0,8.0,7.0,10.0
3712,0.0,1.0,4.0,3.0,2.0,5.0,6.0,9.0,8.0,7.0,10.0
3761,0.0,2.0,4.0,1.0,5.0,3.0,6.0,9.0,7.0,8.0,10.0
3810,0.0,1.0,5.0,2.0,3.0,4.0,7.0,6.0,9.0,8.0,10.0
3859,2.0,0.0,4.0,1.0,3.0,5.0,7.0,9.0,8.0,6.0,10.0
3908,0.0,3.0,5.0,4.0,1.0,2.0,6.0,7.0,9.0,8.0,10.0
3957,0.0,4.0,3.0,5.0,1.0,2.0,7.0,8.0,9.0,6.0,10.0
4006,0.0,3.0,2.0,1.0,4.0,5.0,6.0,8.0,9.0,7.0,10.0
4055,0.0,2.0,1.0,5.0,4.0,3.0,6.0,9.0,8.0,7.0,10.0
4104,0.0,5.0,2.0,4.0,1.0,3.0,6.0,8.0,9.0,7.0,10.0
4153,0.0,1.0,2.0,5.0,3.0,4.0,6.0,8.0,9.0,7.0,10.0
4202,0.0,1.0,3.0,4.0,2.0,5.0,6.0,8.0,7.0,9.0,10.0
4251,0.0,3.0,2.0,5.0,4.0,1.0,7.0,9.0,8.0,6.0,10.0
4300,0.0,4.0,1.0,3.0,2.0,5.0,7.0,9.0,8.0,6.0,10.0
4349,0.0,2.0,3.0,5.0,1.0,4.0,6.0,9.0,7.0,8.0,10.0
4398,0.0,2.0,4.0,5.0,1.0,3.0,7.0,9.0,8.0,6.0,10.0
4447,1.0,0.0,5.0,2.0,3.0,4.0,8.0,7.0,9.0,6.0,10.0
4496,0.0,2.0,4.0,1.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0
4545,1.0,0.0,5.0,3.0,2.0,4.0,8.0,6.0,7.0,9.0,10.0
4594,0.0,1.0,4.0,2.0,3.0,5.0,9.0,7.0,8.0,6.0,10.0
4643,0.0,1.0,5.0,2.0,3.0,4.0,6.0,8.0,9.0,7.0,10.0
4692,2.0,0.0,5.0,1.0,3.0,4.0,8.0,7.0,9.0,6.0,10.0
4741,1.0,0.0,5.0,3.0,2.0,4.0,9.0,7.0,6.0,8.0,10.0
4790,1.0,0.0,5.0,3.0,2.0,4.0,6.0,7.0,9.0,8.0,10.0
4839,0.0,1.0,5.0,2.0,3.0,4.0,6.0,8.0,7.0,9.0,10.0
4888,1.0,0.0,3.0,4.0,2.0,5.0,8.0,6.0,9.0,7.0,10.0
