,STOMACH,GANGLIA,HAEMATOPOIETIC,THYROID,LARGE_INTESTINE,URINARY,SKIN,AERODIGESTIVE,PANCREAS,SOFT_TISSUE,BILIARY,KIDNEY,SALIVARY,OESOPHAGUS,BREAST,PROSTATE,PLEURA,BONE,LIVER,OVARY,NERVOUS,ENDOMETRIUM,LUNG
2836,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2885,0.0,1.0,2.0,3.0,5.0,8.0,4.0,6.0,7.0,17.0,9.0,10.0,11.0,13.0,14.0,22.0,12.0,16.0,21.0,18.0,19.0,20.0,15.0
2934,0.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,22.0,16.0,17.0,21.0,18.0,19.0,20.0,15.0
2983,7.0,0.0,2.0,3.0,1.0,9.0,4.0,5.0,6.0,11.0,8.0,10.0,12.0,20.0,15.0,13.0,21.0,16.0,17.0,18.0,19.0,14.0,22.0
3032,0.0,1.0,3.0,7.0,2.0,9.0,4.0,5.0,6.0,11.0,8.0,10.0,12.0,20.0,15.0,13.0,21.0,16.0,17.0,18.0,19.0,14.0,22.0
3081,0.0,2.0,4.0,6.0,3.0,1.0,7.0,5.0,9.0,8.0,11.0,13.0,12.0,20.0,18.0,10.0,15.0,14.0,21.0,16.0,19.0,17.0,22.0
3130,0.0,1.0,2.0,6.0,4.0,10.0,3.0,8.0,5.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3179,0.0,1.0,2.0,3.0,5.0,9.0,4.0,6.0,7.0,11.0,8.0,10.0,12.0,13.0,14.0,22.0,16.0,21.0,17.0,18.0,19.0,20.0,15.0
3228,3.0,4.0,1.0,5.0,0.0,10.0,6.0,8.0,2.0,7.0,9.0,11.0,12.0,20.0,15.0,13.0,21.0,16.0,17.0,18.0,19.0,14.0,22.0
3277,3.0,7.0,4.0,5.0,0.0,10.0,6.0,1.0,2.0,8.0,9.0,11.0,12.0,14.0,21.0,15.0,17.0,13.0,18.0,19.0,20.0,16.0,22.0
3326,0.0,9.0,3.0,4.0,1.0,15.0,5.0,2.0,6.0,7.0,8.0,10.0,11.0,21.0,18.0,13.0,12.0,22.0,19.0,14.0,20.0,17.0,16.0
3375,0.0,1.0,2.0,3.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,22.0,20.0
3424,0.0,1.0,2.0,3.0,6.0,10.0,4.0,7.0,8.0,5.0,9.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
3473,0.0,1.0,2.0,6.0,4.0,10.0,3.0,8.0,5.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3522,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3571,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3620,0.0,2.0,3.0,4.0,6.0,1.0,5.0,8.0,7.0,11.0,9.0,10.0,12.0,13.0,14.0,22.0,21.0,16.0,17.0,18.0,19.0,20.0,15.0
3669,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3718,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3767,0.0,7.0,2.0,3.0,5.0,1.0,4.0,12.0,6.0,10.0,8.0,9.0,11.0,14.0,21.0,15.0,17.0,18.0,19.0,20.0,13.0,16.0,22.0
3816,6.0,1.0,7.0,3.0,2.0,0.0,4.0,10.0,8.0,5.0,12.0,14.0,13.0,19.0,22.0,9.0,11.0,20.0,15.0,17.0,18.0,16.0,21.0
3865,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3914,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3963,5.0,6.0,1.0,2.0,0.0,20.0,3.0,7.0,4.0,10.0,8.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4012,0.0,1.0,5.0,2.0,4.0,7.0,3.0,8.0,6.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,18.0,19.0,22.0,20.0
4061,0.0,1.0,2.0,3.0,6.0,10.0,4.0,7.0,8.0,5.0,9.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
4110,0.0,2.0,3.0,4.0,7.0,1.0,5.0,8.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4159,3.0,4.0,1.0,7.0,0.0,13.0,6.0,5.0,2.0,8.0,10.0,11.0,12.0,21.0,18.0,9.0,16.0,15.0,14.0,19.0,20.0,17.0,22.0
4208,0.0,1.0,8.0,2.0,5.0,10.0,3.0,6.0,7.0,4.0,9.0,11.0,12.0,13.0,14.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0,15.0
4257,3.0,7.0,0.0,4.0,1.0,10.0,5.0,6.0,2.0,8.0,9.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
4306,3.0,8.0,0.0,4.0,1.0,10.0,5.0,6.0,2.0,7.0,9.0,11.0,12.0,14.0,21.0,15.0,17.0,18.0,19.0,13.0,20.0,16.0,22.0
4355,7.0,3.0,0.0,4.0,1.0,10.0,5.0,6.0,2.0,8.0,9.0,11.0,12.0,14.0,21.0,15.0,13.0,17.0,18.0,19.0,20.0,16.0,22.0
4404,0.0,1.0,8.0,2.0,5.0,10.0,3.0,6.0,7.0,4.0,9.0,11.0,12.0,13.0,14.0,22.0,16.0,17.0,18.0,19.0,20.0,21.0,15.0
4453,0.0,10.0,7.0,3.0,6.0,1.0,8.0,2.0,5.0,4.0,12.0,14.0,13.0,20.0,17.0,9.0,11.0,22.0,15.0,18.0,19.0,16.0,21.0
4502,0.0,2.0,4.0,6.0,3.0,1.0,7.0,15.0,5.0,8.0,11.0,13.0,12.0,20.0,18.0,9.0,10.0,16.0,21.0,14.0,19.0,17.0,22.0
4551,0.0,10.0,7.0,3.0,6.0,1.0,8.0,2.0,5.0,4.0,12.0,14.0,13.0,20.0,17.0,9.0,11.0,22.0,15.0,18.0,19.0,16.0,21.0
4600,0.0,9.0,2.0,7.0,1.0,15.0,4.0,6.0,3.0,5.0,11.0,13.0,12.0,20.0,18.0,8.0,10.0,17.0,21.0,14.0,19.0,16.0,22.0
4649,0.0,19.0,4.0,6.0,2.0,1.0,7.0,3.0,5.0,8.0,11.0,13.0,12.0,20.0,16.0,9.0,10.0,14.0,21.0,17.0,18.0,15.0,22.0
4698,0.0,10.0,3.0,5.0,2.0,1.0,6.0,4.0,8.0,7.0,12.0,14.0,13.0,20.0,18.0,9.0,11.0,21.0,16.0,15.0,19.0,17.0,22.0
4747,3.0,9.0,1.0,7.0,0.0,14.0,2.0,6.0,4.0,5.0,11.0,13.0,12.0,20.0,17.0,8.0,10.0,15.0,21.0,18.0,19.0,16.0,22.0
4796,0.0,15.0,4.0,6.0,2.0,1.0,7.0,3.0,5.0,8.0,11.0,13.0,12.0,20.0,18.0,9.0,10.0,16.0,21.0,14.0,19.0,17.0,22.0
4845,0.0,10.0,3.0,5.0,2.0,1.0,6.0,4.0,8.0,7.0,12.0,14.0,13.0,20.0,18.0,9.0,11.0,21.0,16.0,15.0,19.0,17.0,22.0
4894,3.0,4.0,6.0,2.0,5.0,0.0,7.0,1.0,9.0,8.0,12.0,14.0,13.0,19.0,17.0,10.0,11.0,20.0,22.0,15.0,18.0,16.0,21.0
