, H2O2, MAPK_only, IL-1, TLR, JAK-STAT, TNFa, PI3K_only, MAPK_PI3K, Wnt, VEGF, TGFB
2344,1.0,8.0,5.0,10.0,2.0,3.0,7.0,6.0,0.0,4.0,9.0
2393,0.0,1.0,6.0,2.0,5.0,7.0,3.0,8.0,9.0,4.0,10.0
2442,0.0,5.0,2.0,6.0,10.0,7.0,1.0,8.0,4.0,3.0,9.0
2491,3.0,0.0,9.0,1.0,4.0,6.0,7.0,5.0,2.0,8.0,10.0
2540,0.0,1.0,4.0,10.0,5.0,6.0,7.0,2.0,9.0,8.0,3.0
2589,1.0,0.0,4.0,2.0,8.0,3.0,5.0,9.0,7.0,6.0,10.0
2638,1.0,0.0,4.0,7.0,5.0,2.0,8.0,6.0,3.0,10.0,9.0
2687,2.0,3.0,7.0,8.0,0.0,5.0,10.0,4.0,1.0,6.0,9.0
2736,0.0,1.0,6.0,2.0,4.0,3.0,10.0,7.0,5.0,9.0,8.0
2785,0.0,7.0,6.0,3.0,2.0,4.0,8.0,1.0,5.0,9.0,10.0
2834,0.0,8.0,5.0,4.0,6.0,2.0,7.0,10.0,3.0,1.0,9.0
2883,0.0,1.0,10.0,4.0,7.0,6.0,8.0,5.0,3.0,2.0,9.0
2932,3.0,0.0,7.0,6.0,8.0,5.0,1.0,4.0,9.0,2.0,10.0
2981,4.0,2.0,6.0,1.0,8.0,3.0,7.0,9.0,0.0,10.0,5.0
3030,0.0,1.0,10.0,5.0,4.0,7.0,9.0,8.0,3.0,2.0,6.0
3079,0.0,6.0,5.0,2.0,1.0,3.0,8.0,7.0,4.0,9.0,10.0
3128,5.0,2.0,1.0,3.0,0.0,6.0,4.0,8.0,7.0,10.0,9.0
3177,2.0,4.0,3.0,0.0,5.0,7.0,6.0,10.0,1.0,8.0,9.0
3226,2.0,3.0,8.0,0.0,4.0,6.0,9.0,5.0,1.0,7.0,10.0
3275,1.0,2.0,8.0,0.0,4.0,6.0,5.0,9.0,3.0,7.0,10.0
3324,2.0,3.0,6.0,0.0,4.0,8.0,1.0,7.0,5.0,10.0,9.0
3373,0.0,4.0,5.0,1.0,3.0,7.0,6.0,9.0,2.0,8.0,10.0
3422,2.0,0.0,8.0,3.0,1.0,7.0,4.0,6.0,9.0,5.0,10.0
3471,1.0,2.0,4.0,8.0,6.0,0.0,7.0,10.0,3.0,9.0,5.0
3520,0.0,1.0,4.0,9.0,7.0,6.0,8.0,5.0,3.0,2.0,10.0
3569,1.0,2.0,6.0,8.0,7.0,4.0,3.0,10.0,0.0,5.0,9.0
3618,1.0,0.0,6.0,8.0,10.0,3.0,2.0,5.0,4.0,7.0,9.0
3667,0.0,3.0,1.0,7.0,5.0,2.0,8.0,6.0,4.0,10.0,9.0
3716,4.0,2.0,1.0,6.0,10.0,0.0,7.0,5.0,9.0,8.0,3.0
3765,1.0,0.0,8.0,10.0,2.0,7.0,4.0,3.0,6.0,5.0,9.0
3814,6.0,0.0,9.0,8.0,7.0,3.0,2.0,1.0,5.0,4.0,10.0
3863,0.0,5.0,2.0,7.0,3.0,4.0,8.0,6.0,1.0,9.0,10.0
3912,0.0,3.0,4.0,7.0,5.0,1.0,6.0,9.0,2.0,8.0,10.0
3961,0.0,4.0,2.0,1.0,7.0,5.0,8.0,9.0,6.0,3.0,10.0
4010,0.0,4.0,2.0,1.0,6.0,3.0,9.0,8.0,10.0,5.0,7.0
4059,0.0,4.0,2.0,1.0,6.0,3.0,8.0,5.0,10.0,7.0,9.0
4108,0.0,6.0,3.0,10.0,5.0,9.0,7.0,4.0,2.0,1.0,8.0
4157,0.0,2.0,4.0,1.0,5.0,7.0,6.0,9.0,8.0,3.0,10.0
4206,0.0,1.0,4.0,2.0,5.0,3.0,6.0,8.0,9.0,7.0,10.0
4255,0.0,4.0,2.0,8.0,3.0,1.0,7.0,9.0,6.0,5.0,10.0
4304,0.0,6.0,2.0,3.0,1.0,7.0,4.0,8.0,9.0,5.0,10.0
4353,1.0,5.0,4.0,0.0,3.0,2.0,8.0,9.0,7.0,6.0,10.0
4402,0.0,2.0,1.0,6.0,3.0,4.0,7.0,5.0,9.0,8.0,10.0
4451,2.0,6.0,8.0,4.0,3.0,7.0,0.0,9.0,1.0,5.0,10.0
4500,0.0,5.0,8.0,3.0,1.0,2.0,4.0,9.0,7.0,6.0,10.0
4549,0.0,5.0,9.0,7.0,1.0,6.0,3.0,4.0,8.0,2.0,10.0
4598,0.0,4.0,9.0,7.0,1.0,3.0,5.0,8.0,2.0,6.0,10.0
4647,0.0,1.0,4.0,2.0,7.0,5.0,3.0,9.0,8.0,6.0,10.0
4696,6.0,7.0,10.0,8.0,5.0,2.0,0.0,4.0,1.0,3.0,9.0
4745,2.0,5.0,9.0,3.0,6.0,4.0,0.0,7.0,1.0,8.0,10.0
4794,0.0,3.0,10.0,7.0,2.0,1.0,5.0,6.0,9.0,4.0,8.0
4843,2.0,0.0,6.0,8.0,5.0,4.0,3.0,7.0,1.0,9.0,10.0
4892,0.0,7.0,3.0,5.0,6.0,2.0,8.0,9.0,1.0,4.0,10.0
