,guanosine,C22:6 CE,C16:0 LPE,asparagine,creatine,N-carbamoyl-beta-alanine,beta-alanine,sarcosine,carnitine,putrescine,2-deoxycytidine,C56:5 TAG,1-methylnicotinamide,butyrylcarnitine/isobutyrylcarnitine,GABA,C22:6 LPE,homocysteine,3-phosphoglycerate,C36:1 DAG,C20:4 CE,C18:0 LPE,taurodeoxycholate,inositol,PEP,cis/trans-hydroxyproline,serine,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,C22:6 LPC
1693,11.0,0.0,7.0,5.0,6.0,14.0,16.0,13.0,19.0,2.0,15.0,61.0,33.0,40.0,60.0,32.0,41.0,20.0,37.0,38.0,1.0,51.0,65.0,28.0,57.0,9.0,27.0,3.0,26.0,17.0
1742,2.0,9.0,1.0,0.0,5.0,23.0,45.0,14.0,16.0,6.0,20.0,33.0,18.0,24.0,57.0,17.0,25.0,8.0,36.0,35.0,15.0,4.0,7.0,26.0,63.0,29.0,59.0,11.0,46.0,12.0
1791,0.0,13.0,10.0,8.0,2.0,18.0,30.0,22.0,7.0,1.0,16.0,19.0,32.0,21.0,6.0,33.0,4.0,41.0,40.0,34.0,11.0,23.0,54.0,26.0,58.0,55.0,12.0,24.0,27.0,9.0
1840,0.0,44.0,11.0,1.0,20.0,65.0,7.0,8.0,15.0,56.0,18.0,14.0,16.0,37.0,54.0,39.0,23.0,66.0,22.0,43.0,13.0,31.0,26.0,5.0,51.0,36.0,19.0,25.0,29.0,45.0
1889,27.0,46.0,1.0,25.0,2.0,13.0,38.0,21.0,19.0,5.0,17.0,56.0,49.0,20.0,55.0,3.0,10.0,66.0,44.0,45.0,40.0,65.0,51.0,9.0,4.0,28.0,8.0,31.0,7.0,23.0
1938,3.0,0.0,5.0,7.0,12.0,61.0,37.0,8.0,31.0,11.0,65.0,15.0,17.0,32.0,60.0,40.0,44.0,20.0,27.0,13.0,41.0,10.0,18.0,2.0,57.0,54.0,45.0,28.0,9.0,39.0
1987,0.0,19.0,24.0,12.0,4.0,55.0,14.0,1.0,17.0,56.0,5.0,21.0,47.0,16.0,53.0,15.0,9.0,25.0,10.0,11.0,13.0,28.0,6.0,3.0,22.0,26.0,62.0,46.0,36.0,45.0
2036,7.0,20.0,3.0,0.0,58.0,53.0,21.0,35.0,2.0,50.0,61.0,16.0,64.0,12.0,33.0,13.0,1.0,22.0,10.0,15.0,40.0,32.0,11.0,29.0,18.0,45.0,60.0,39.0,27.0,38.0
2085,7.0,0.0,6.0,38.0,11.0,9.0,8.0,18.0,25.0,14.0,13.0,4.0,53.0,15.0,62.0,22.0,2.0,27.0,23.0,24.0,21.0,33.0,36.0,1.0,26.0,64.0,12.0,43.0,47.0,20.0
2134,1.0,13.0,10.0,7.0,3.0,65.0,22.0,8.0,5.0,4.0,17.0,2.0,56.0,6.0,55.0,39.0,9.0,24.0,16.0,12.0,38.0,52.0,0.0,27.0,20.0,37.0,63.0,25.0,35.0,14.0
2183,0.0,24.0,21.0,1.0,13.0,12.0,45.0,20.0,17.0,16.0,25.0,53.0,26.0,18.0,3.0,39.0,27.0,14.0,23.0,2.0,22.0,7.0,34.0,30.0,9.0,50.0,60.0,6.0,57.0,43.0
2232,3.0,0.0,19.0,8.0,60.0,57.0,18.0,17.0,10.0,4.0,64.0,55.0,65.0,9.0,54.0,20.0,24.0,16.0,5.0,35.0,41.0,28.0,1.0,11.0,2.0,48.0,15.0,37.0,27.0,47.0
2281,13.0,3.0,0.0,10.0,9.0,26.0,18.0,19.0,7.0,8.0,23.0,27.0,64.0,21.0,51.0,5.0,2.0,30.0,4.0,14.0,38.0,11.0,1.0,40.0,28.0,32.0,24.0,22.0,31.0,6.0
2330,3.0,1.0,2.0,10.0,20.0,18.0,11.0,5.0,15.0,16.0,39.0,14.0,17.0,21.0,61.0,4.0,0.0,42.0,8.0,26.0,25.0,23.0,22.0,27.0,13.0,56.0,41.0,46.0,30.0,32.0
2379,2.0,4.0,19.0,22.0,62.0,58.0,1.0,6.0,16.0,8.0,10.0,56.0,9.0,17.0,55.0,20.0,3.0,23.0,5.0,44.0,37.0,0.0,25.0,11.0,12.0,50.0,15.0,28.0,45.0,39.0
2428,1.0,0.0,3.0,2.0,57.0,15.0,8.0,33.0,18.0,49.0,10.0,14.0,17.0,47.0,50.0,21.0,25.0,12.0,9.0,44.0,20.0,6.0,26.0,7.0,13.0,24.0,23.0,39.0,48.0,36.0
2477,22.0,0.0,38.0,16.0,1.0,13.0,18.0,43.0,21.0,32.0,14.0,58.0,8.0,34.0,57.0,15.0,7.0,66.0,28.0,24.0,35.0,5.0,4.0,10.0,20.0,17.0,64.0,51.0,6.0,37.0
2526,5.0,9.0,4.0,2.0,0.0,19.0,42.0,15.0,35.0,34.0,18.0,62.0,33.0,36.0,6.0,25.0,45.0,20.0,43.0,31.0,32.0,7.0,58.0,1.0,14.0,16.0,10.0,8.0,51.0,29.0
2575,2.0,0.0,12.0,6.0,13.0,16.0,28.0,10.0,7.0,21.0,9.0,18.0,1.0,26.0,19.0,36.0,66.0,42.0,37.0,41.0,27.0,3.0,59.0,29.0,20.0,24.0,11.0,48.0,23.0,30.0
2624,2.0,25.0,6.0,3.0,10.0,8.0,7.0,21.0,57.0,20.0,18.0,54.0,19.0,48.0,12.0,5.0,28.0,16.0,24.0,46.0,39.0,33.0,1.0,32.0,4.0,50.0,17.0,34.0,9.0,22.0
2673,0.0,1.0,9.0,24.0,2.0,16.0,34.0,37.0,41.0,19.0,36.0,63.0,18.0,22.0,62.0,38.0,31.0,43.0,14.0,39.0,23.0,32.0,33.0,28.0,21.0,59.0,11.0,50.0,10.0,29.0
2722,3.0,0.0,5.0,4.0,2.0,17.0,38.0,37.0,33.0,21.0,64.0,16.0,45.0,34.0,15.0,43.0,10.0,46.0,44.0,30.0,23.0,8.0,56.0,7.0,13.0,12.0,63.0,28.0,1.0,11.0
