,DYNC2H1_AMP,TRIM49_DEL,BIRC3_AMP,KRAS.G12_13_MUT,YAP1_AMP,EYA1_DEL,TMEM123_AMP,ETS1_DEL,CRTAM_DEL,MMP13_AMP,OR2T35_AMP,OR8B2_DEL,MIR4697_DEL,BCAS3_DEL,UQCC_AMP,DENND4C_DEL,LOC283174_DEL,BARX2_DEL,LOC341056_DEL,HLA-DRB6_AMP,C11orf70_AMP,MMP27_AMP,NOMO3_AMP,HEPACAM_DEL,CHN2_DEL,NCOA1_MUT,BOD1L2_DEL,PRH1-PRR4_AMP,LMAN1_DEL,CCBE1_DEL
1061,0.0,2593.0,42.0,260.0,65.0,1564.0,201.0,139.0,67.0,32.0,3.0,90.0,46.0,11898.0,26.0,297.0,209.0,138.0,251.0,97.0,57.0,1.0,2352.0,66.0,161.0,55.0,638.0,442.0,73.0,53.0
1110,12.0,10.0,33.0,0.0,1.0,1358.0,2.0,74.0,390.0,26.0,8.0,7258.0,48.0,12564.0,5.0,12930.0,49.0,151.0,395.0,243.0,40.0,21.0,65.0,389.0,158.0,23.0,182.0,17.0,164.0,2696.0
1159,2.0,8.0,17.0,9.0,27.0,636.0,37.0,674.0,12826.0,7.0,4.0,798.0,2755.0,10517.0,3.0,42.0,7643.0,15.0,4352.0,156.0,11.0,18.0,113.0,578.0,21220.0,40.0,2791.0,0.0,535.0,20.0
1208,22.0,5.0,387.0,4.0,22156.0,290.0,527.0,182.0,286.0,89.0,7.0,297.0,173.0,12155.0,12.0,91.0,35.0,3.0,284.0,311.0,542.0,15488.0,276.0,296.0,21102.0,320.0,180.0,27.0,328.0,17.0
1257,236.0,704.0,39.0,1640.0,66.0,142.0,2.0,84.0,11084.0,235.0,5.0,7785.0,839.0,10966.0,14954.0,17.0,407.0,8.0,517.0,1037.0,30.0,228.0,54.0,5654.0,21288.0,18.0,444.0,103.0,528.0,205.0
1306,17.0,71.0,253.0,1.0,379.0,669.0,18514.0,6741.0,12457.0,14685.0,1168.0,365.0,202.0,10916.0,83.0,9.0,37.0,14.0,329.0,520.0,558.0,21970.0,98.0,371.0,1190.0,672.0,7.0,47.0,23.0,31.0
1355,6.0,12.0,5.0,220.0,82.0,441.0,50.0,130.0,9.0,73.0,0.0,206.0,24.0,11022.0,1.0,12490.0,1608.0,15.0,4259.0,13469.0,169.0,196.0,190.0,203.0,20188.0,65.0,92.0,13.0,334.0,51.0
1404,148.0,2.0,87.0,18.0,240.0,3378.0,193.0,65.0,81.0,761.0,23.0,353.0,41.0,473.0,7.0,518.0,42.0,6.0,86.0,845.0,24029.0,67.0,964.0,80.0,20895.0,43.0,328.0,1.0,171.0,13.0
1453,4.0,492.0,18.0,0.0,317.0,1773.0,72.0,184.0,63.0,212.0,20.0,67.0,29.0,10535.0,92.0,474.0,28.0,1.0,62.0,33.0,432.0,16.0,126.0,5447.0,21093.0,2.0,144.0,5.0,299.0,4914.0
1502,32.0,7.0,10.0,110.0,14.0,459.0,210.0,39.0,19.0,2.0,107.0,78.0,41.0,34.0,6.0,43.0,227.0,10438.0,15.0,2126.0,8.0,11.0,33.0,56.0,65.0,1800.0,24.0,405.0,64.0,219.0
