,LUNG,OESOPHAGUS,SKIN,URINARY,HAEMATOPOIETIC,LIVER,LARGE_INTESTINE,PANCREAS,STOMACH,OVARY,BREAST,ENDOMETRIUM,BONE,PROSTATE,NERVOUS,PLEURA,SOFT_TISSUE,GANGLIA,AERODIGESTIVE,KIDNEY,SALIVARY,THYROID,BILIARY
1028,8.0,16.0,2.0,13.0,1.0,10.0,4.0,0.0,14.0,11.0,5.0,6.0,7.0,3.0,12.0,19.0,9.0,15.0,20.0,18.0,17.0,21.0,22.0
1077,0.0,10.0,6.0,4.0,5.0,9.0,12.0,1.0,3.0,15.0,7.0,8.0,2.0,13.0,16.0,19.0,14.0,11.0,17.0,18.0,20.0,21.0,22.0
1126,12.0,10.0,0.0,15.0,5.0,1.0,6.0,7.0,3.0,4.0,8.0,9.0,16.0,2.0,14.0,17.0,13.0,11.0,19.0,20.0,18.0,21.0,22.0
1175,6.0,16.0,9.0,8.0,1.0,11.0,3.0,0.0,14.0,7.0,13.0,4.0,5.0,2.0,12.0,18.0,10.0,15.0,19.0,20.0,17.0,21.0,22.0
1224,5.0,12.0,2.0,7.0,1.0,9.0,8.0,3.0,6.0,0.0,4.0,11.0,10.0,15.0,19.0,20.0,17.0,13.0,14.0,18.0,16.0,21.0,22.0
1273,4.0,9.0,2.0,6.0,13.0,3.0,0.0,10.0,5.0,14.0,7.0,1.0,8.0,11.0,15.0,16.0,12.0,19.0,18.0,17.0,20.0,21.0,22.0
1322,3.0,10.0,2.0,19.0,0.0,6.0,5.0,14.0,4.0,1.0,9.0,8.0,7.0,16.0,11.0,20.0,13.0,12.0,15.0,18.0,17.0,21.0,22.0
1371,12.0,10.0,1.0,4.0,0.0,8.0,5.0,6.0,3.0,14.0,11.0,2.0,7.0,9.0,15.0,16.0,13.0,19.0,18.0,17.0,20.0,21.0,22.0
1420,5.0,10.0,0.0,6.0,8.0,3.0,1.0,9.0,7.0,2.0,4.0,15.0,13.0,17.0,11.0,21.0,12.0,16.0,14.0,19.0,18.0,20.0,22.0
1469,0.0,9.0,4.0,1.0,3.0,8.0,2.0,5.0,14.0,12.0,6.0,7.0,10.0,11.0,13.0,16.0,15.0,19.0,18.0,17.0,20.0,21.0,22.0
1518,12.0,3.0,14.0,4.0,5.0,1.0,10.0,0.0,17.0,15.0,11.0,6.0,8.0,2.0,16.0,7.0,13.0,9.0,19.0,18.0,20.0,21.0,22.0
1567,16.0,2.0,0.0,19.0,7.0,3.0,4.0,6.0,8.0,11.0,5.0,14.0,1.0,17.0,12.0,20.0,10.0,9.0,13.0,15.0,18.0,21.0,22.0
1616,9.0,6.0,7.0,16.0,5.0,0.0,18.0,2.0,1.0,14.0,3.0,4.0,8.0,19.0,15.0,10.0,11.0,17.0,12.0,13.0,20.0,21.0,22.0
1665,4.0,1.0,0.0,13.0,6.0,14.0,2.0,3.0,5.0,18.0,7.0,9.0,8.0,11.0,12.0,10.0,16.0,20.0,19.0,17.0,15.0,21.0,22.0
1714,0.0,3.0,12.0,4.0,5.0,8.0,9.0,1.0,15.0,13.0,6.0,2.0,7.0,10.0,14.0,16.0,11.0,19.0,18.0,17.0,20.0,21.0,22.0
1763,3.0,2.0,8.0,4.0,0.0,9.0,5.0,6.0,1.0,13.0,7.0,16.0,11.0,12.0,14.0,10.0,15.0,19.0,18.0,17.0,20.0,21.0,22.0
1812,2.0,4.0,9.0,3.0,6.0,11.0,5.0,7.0,0.0,18.0,8.0,10.0,1.0,13.0,14.0,12.0,15.0,19.0,17.0,16.0,20.0,21.0,22.0
1861,9.0,1.0,5.0,4.0,0.0,2.0,6.0,14.0,10.0,12.0,8.0,7.0,3.0,16.0,11.0,20.0,18.0,15.0,13.0,19.0,17.0,21.0,22.0
1910,12.0,5.0,3.0,0.0,2.0,4.0,1.0,10.0,16.0,14.0,11.0,6.0,7.0,8.0,15.0,17.0,13.0,19.0,9.0,18.0,21.0,20.0,22.0
1959,0.0,11.0,4.0,2.0,3.0,7.0,5.0,6.0,1.0,19.0,13.0,9.0,8.0,16.0,10.0,12.0,17.0,14.0,15.0,18.0,20.0,21.0,22.0
2008,13.0,5.0,2.0,4.0,6.0,10.0,7.0,1.0,3.0,0.0,8.0,9.0,11.0,12.0,19.0,14.0,15.0,18.0,16.0,17.0,20.0,21.0,22.0
2057,4.0,5.0,6.0,11.0,0.0,2.0,7.0,9.0,1.0,13.0,3.0,10.0,8.0,16.0,12.0,19.0,17.0,14.0,15.0,18.0,20.0,21.0,22.0
2106,0.0,1.0,8.0,5.0,3.0,11.0,18.0,6.0,4.0,2.0,7.0,9.0,10.0,12.0,13.0,14.0,15.0,19.0,17.0,16.0,21.0,20.0,22.0
2155,4.0,10.0,3.0,5.0,1.0,9.0,0.0,7.0,14.0,6.0,2.0,8.0,15.0,12.0,13.0,11.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
2204,16.0,10.0,0.0,8.0,1.0,4.0,13.0,6.0,9.0,7.0,5.0,2.0,3.0,17.0,14.0,19.0,12.0,11.0,15.0,18.0,20.0,21.0,22.0
2253,0.0,5.0,13.0,4.0,7.0,10.0,6.0,1.0,3.0,14.0,2.0,8.0,9.0,12.0,15.0,11.0,16.0,19.0,18.0,17.0,21.0,20.0,22.0
2302,0.0,4.0,1.0,3.0,6.0,16.0,7.0,8.0,2.0,5.0,11.0,9.0,10.0,13.0,15.0,12.0,14.0,19.0,17.0,18.0,20.0,21.0,22.0
2351,13.0,5.0,7.0,4.0,2.0,9.0,1.0,6.0,0.0,14.0,11.0,8.0,3.0,10.0,15.0,12.0,16.0,19.0,18.0,17.0,21.0,20.0,22.0
2400,3.0,0.0,2.0,16.0,14.0,8.0,1.0,6.0,4.0,5.0,7.0,11.0,17.0,12.0,15.0,18.0,13.0,9.0,10.0,19.0,20.0,21.0,22.0
2449,7.0,12.0,0.0,10.0,8.0,4.0,5.0,11.0,1.0,9.0,6.0,2.0,3.0,17.0,14.0,15.0,13.0,16.0,19.0,18.0,20.0,21.0,22.0
2498,0.0,7.0,8.0,5.0,6.0,2.0,9.0,3.0,4.0,1.0,11.0,19.0,13.0,16.0,12.0,10.0,18.0,14.0,15.0,21.0,17.0,20.0,22.0
2547,4.0,8.0,3.0,5.0,2.0,7.0,6.0,10.0,0.0,1.0,11.0,12.0,14.0,13.0,16.0,17.0,15.0,19.0,9.0,21.0,18.0,20.0,22.0
2596,0.0,3.0,4.0,2.0,8.0,5.0,14.0,1.0,13.0,11.0,6.0,17.0,9.0,19.0,12.0,7.0,10.0,16.0,15.0,20.0,18.0,21.0,22.0
2645,4.0,2.0,0.0,6.0,1.0,8.0,3.0,9.0,5.0,7.0,10.0,14.0,13.0,16.0,11.0,18.0,12.0,20.0,15.0,21.0,17.0,19.0,22.0
2694,13.0,7.0,17.0,4.0,0.0,2.0,9.0,5.0,3.0,1.0,11.0,12.0,14.0,6.0,18.0,19.0,16.0,8.0,10.0,21.0,15.0,20.0,22.0
2743,0.0,12.0,2.0,9.0,4.0,1.0,6.0,3.0,7.0,11.0,5.0,19.0,14.0,17.0,10.0,8.0,13.0,15.0,16.0,21.0,18.0,20.0,22.0
2792,0.0,8.0,6.0,7.0,4.0,1.0,2.0,15.0,13.0,9.0,3.0,14.0,12.0,17.0,11.0,5.0,10.0,16.0,18.0,21.0,19.0,20.0,22.0
2841,4.0,0.0,2.0,15.0,7.0,3.0,5.0,1.0,16.0,6.0,8.0,17.0,11.0,12.0,14.0,10.0,13.0,18.0,9.0,21.0,19.0,20.0,22.0
2890,15.0,2.0,5.0,6.0,0.0,3.0,4.0,1.0,7.0,8.0,10.0,14.0,12.0,17.0,9.0,19.0,11.0,16.0,13.0,21.0,18.0,20.0,22.0
2939,0.0,2.0,8.0,1.0,7.0,4.0,3.0,5.0,10.0,6.0,9.0,19.0,17.0,16.0,11.0,13.0,12.0,14.0,15.0,21.0,18.0,20.0,22.0
2988,0.0,3.0,2.0,4.0,1.0,8.0,10.0,11.0,15.0,5.0,12.0,6.0,9.0,13.0,14.0,7.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
3037,0.0,5.0,1.0,3.0,12.0,7.0,6.0,8.0,10.0,4.0,2.0,9.0,20.0,16.0,11.0,13.0,18.0,14.0,15.0,19.0,17.0,21.0,22.0
3086,0.0,1.0,12.0,11.0,9.0,7.0,2.0,3.0,14.0,10.0,4.0,13.0,6.0,8.0,18.0,5.0,15.0,20.0,19.0,17.0,16.0,21.0,22.0
3135,2.0,3.0,0.0,15.0,6.0,1.0,4.0,7.0,16.0,5.0,8.0,11.0,9.0,12.0,14.0,17.0,13.0,10.0,19.0,18.0,20.0,21.0,22.0
3184,9.0,14.0,3.0,13.0,2.0,8.0,1.0,5.0,0.0,10.0,11.0,17.0,7.0,4.0,12.0,6.0,20.0,19.0,18.0,16.0,15.0,21.0,22.0
3233,0.0,1.0,7.0,5.0,6.0,8.0,3.0,12.0,4.0,2.0,10.0,11.0,9.0,15.0,19.0,20.0,17.0,13.0,14.0,18.0,16.0,21.0,22.0
3282,2.0,3.0,9.0,4.0,6.0,1.0,5.0,7.0,15.0,0.0,8.0,12.0,11.0,13.0,14.0,10.0,16.0,19.0,18.0,17.0,21.0,20.0,22.0
3331,1.0,3.0,0.0,4.0,12.0,8.0,9.0,5.0,15.0,13.0,2.0,6.0,7.0,11.0,14.0,10.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
3380,12.0,6.0,7.0,5.0,0.0,15.0,10.0,1.0,4.0,13.0,2.0,8.0,3.0,9.0,14.0,11.0,17.0,20.0,19.0,18.0,16.0,21.0,22.0
3429,3.0,1.0,10.0,5.0,7.0,2.0,9.0,15.0,4.0,0.0,11.0,6.0,8.0,17.0,13.0,20.0,14.0,12.0,16.0,19.0,18.0,21.0,22.0
3478,7.0,0.0,1.0,9.0,12.0,6.0,14.0,3.0,10.0,8.0,4.0,19.0,5.0,2.0,13.0,18.0,11.0,15.0,20.0,16.0,17.0,21.0,22.0
3527,13.0,5.0,0.0,4.0,7.0,1.0,11.0,8.0,3.0,6.0,12.0,9.0,10.0,2.0,14.0,15.0,17.0,20.0,18.0,19.0,16.0,21.0,22.0
3576,6.0,1.0,8.0,7.0,18.0,3.0,16.0,0.0,19.0,12.0,5.0,14.0,2.0,17.0,13.0,4.0,10.0,9.0,11.0,15.0,20.0,21.0,22.0
3625,2.0,3.0,1.0,4.0,6.0,8.0,5.0,0.0,16.0,14.0,7.0,11.0,9.0,13.0,15.0,12.0,17.0,10.0,19.0,18.0,20.0,21.0,22.0
3674,2.0,5.0,0.0,4.0,6.0,1.0,11.0,7.0,3.0,14.0,8.0,12.0,9.0,13.0,15.0,16.0,18.0,10.0,19.0,20.0,17.0,21.0,22.0
3723,13.0,0.0,1.0,4.0,18.0,2.0,6.0,7.0,3.0,5.0,8.0,12.0,10.0,11.0,14.0,9.0,15.0,19.0,17.0,16.0,20.0,21.0,22.0
3772,0.0,16.0,6.0,8.0,3.0,5.0,14.0,10.0,9.0,7.0,2.0,4.0,1.0,17.0,11.0,12.0,18.0,13.0,15.0,19.0,20.0,21.0,22.0
3821,0.0,3.0,14.0,10.0,11.0,2.0,4.0,1.0,13.0,9.0,5.0,6.0,16.0,8.0,12.0,7.0,15.0,19.0,18.0,17.0,20.0,21.0,22.0
3870,2.0,5.0,1.0,4.0,0.0,10.0,7.0,8.0,3.0,6.0,12.0,9.0,11.0,13.0,20.0,14.0,16.0,19.0,17.0,18.0,15.0,21.0,22.0
3919,4.0,0.0,2.0,19.0,13.0,3.0,6.0,1.0,5.0,7.0,8.0,10.0,9.0,11.0,14.0,15.0,12.0,18.0,17.0,16.0,20.0,21.0,22.0
3968,0.0,3.0,11.0,4.0,12.0,2.0,1.0,6.0,13.0,5.0,16.0,7.0,9.0,10.0,18.0,8.0,14.0,19.0,17.0,15.0,20.0,21.0,22.0
4017,13.0,2.0,15.0,18.0,3.0,7.0,11.0,0.0,1.0,16.0,4.0,5.0,8.0,9.0,17.0,6.0,14.0,10.0,12.0,19.0,20.0,21.0,22.0
4066,3.0,1.0,11.0,14.0,5.0,8.0,2.0,0.0,15.0,12.0,4.0,9.0,7.0,10.0,13.0,6.0,16.0,19.0,18.0,17.0,20.0,21.0,22.0
4115,0.0,1.0,12.0,4.0,6.0,10.0,7.0,2.0,3.0,5.0,15.0,14.0,9.0,11.0,19.0,8.0,13.0,18.0,16.0,17.0,20.0,21.0,22.0
4164,9.0,3.0,13.0,11.0,10.0,12.0,0.0,4.0,19.0,1.0,5.0,6.0,8.0,2.0,14.0,7.0,15.0,18.0,17.0,16.0,20.0,21.0,22.0
4213,0.0,4.0,13.0,15.0,6.0,2.0,1.0,7.0,3.0,5.0,8.0,10.0,9.0,11.0,14.0,16.0,12.0,19.0,18.0,17.0,20.0,21.0,22.0
4262,0.0,3.0,10.0,1.0,7.0,5.0,8.0,4.0,6.0,2.0,14.0,13.0,11.0,20.0,9.0,12.0,16.0,19.0,15.0,17.0,18.0,21.0,22.0
4311,6.0,3.0,15.0,12.0,8.0,1.0,11.0,0.0,7.0,2.0,5.0,14.0,13.0,17.0,9.0,4.0,10.0,16.0,20.0,19.0,18.0,21.0,22.0
4360,3.0,0.0,14.0,4.0,2.0,7.0,5.0,10.0,16.0,1.0,6.0,11.0,8.0,13.0,15.0,12.0,17.0,9.0,18.0,19.0,20.0,21.0,22.0
4409,17.0,12.0,15.0,5.0,3.0,10.0,7.0,0.0,1.0,2.0,4.0,6.0,9.0,11.0,13.0,20.0,14.0,16.0,8.0,19.0,18.0,21.0,22.0
4458,0.0,6.0,3.0,5.0,2.0,1.0,7.0,10.0,8.0,4.0,11.0,13.0,19.0,17.0,14.0,9.0,12.0,15.0,16.0,18.0,20.0,21.0,22.0
4507,15.0,2.0,0.0,8.0,9.0,1.0,5.0,6.0,13.0,7.0,10.0,14.0,4.0,17.0,12.0,3.0,11.0,16.0,20.0,19.0,18.0,21.0,22.0
4556,4.0,0.0,2.0,12.0,1.0,7.0,6.0,3.0,11.0,5.0,13.0,10.0,8.0,16.0,19.0,9.0,17.0,14.0,15.0,18.0,20.0,21.0,22.0
4605,3.0,7.0,8.0,4.0,6.0,9.0,1.0,11.0,0.0,5.0,2.0,13.0,10.0,16.0,12.0,20.0,18.0,14.0,15.0,19.0,17.0,21.0,22.0
4654,10.0,12.0,0.0,3.0,13.0,9.0,1.0,8.0,15.0,5.0,2.0,4.0,7.0,18.0,14.0,6.0,16.0,11.0,17.0,19.0,20.0,21.0,22.0
4703,8.0,0.0,11.0,4.0,14.0,2.0,1.0,20.0,3.0,6.0,5.0,9.0,7.0,18.0,15.0,10.0,12.0,16.0,17.0,13.0,19.0,21.0,22.0
4752,3.0,2.0,6.0,1.0,5.0,0.0,7.0,9.0,15.0,13.0,10.0,4.0,8.0,20.0,14.0,11.0,12.0,16.0,18.0,17.0,19.0,21.0,22.0
4801,0.0,4.0,2.0,8.0,3.0,5.0,14.0,9.0,6.0,11.0,20.0,7.0,1.0,17.0,10.0,15.0,13.0,12.0,16.0,19.0,18.0,21.0,22.0
4850,0.0,1.0,2.0,4.0,6.0,3.0,7.0,9.0,10.0,5.0,13.0,12.0,8.0,16.0,11.0,20.0,18.0,14.0,15.0,19.0,17.0,21.0,22.0
4899,11.0,2.0,5.0,0.0,1.0,7.0,6.0,9.0,12.0,4.0,3.0,10.0,8.0,16.0,13.0,20.0,18.0,14.0,15.0,19.0,17.0,21.0,22.0
