,hsa-miR-222,hsa-miR-10a,hsa-miR-34a,hsa-miR-483-3p,hsa-miR-582-5p,hsa-miR-584,hsa-miR-616,hsa-miR-1307,hsa-miR-223,hsa-miR-26a,hsa-miR-204,hsa-miR-219-2-3p,hsa-miR-662,hsa-miR-126,hsa-miR-1252,hsa-miR-10b,hsa-miR-34c-5p,hsa-miR-591,hsa-miR-1276,hsa-miR-888,hsa-miR-612,hsa-miR-323-5p,hsa-miR-27b,hsa-miR-1908,hsa-miR-671-5p,hsa-miR-2054,hsa-miR-574-5p,kshv-miR-K12-3,hsa-miR-30d,hsa-miR-654-3p
750,0.0,2.0,1.0,10.0,20.0,18.0,8.0,11.0,14.0,29.0,4.0,23.0,13.0,34.0,31.0,54.0,16.0,32.0,7.0,17.0,6.0,58.0,49.0,48.0,50.0,69.0,9.0,90.0,87.0,88.0
799,2.0,22.0,0.0,9.0,27.0,28.0,46.0,12.0,1.0,30.0,4.0,29.0,129.0,116.0,18.0,148.0,16.0,58.0,10.0,14.0,19.0,33.0,13.0,32.0,71.0,139.0,5.0,133.0,6.0,52.0
848,0.0,1.0,2.0,6.0,7.0,45.0,37.0,4.0,3.0,33.0,8.0,34.0,43.0,41.0,29.0,36.0,5.0,87.0,16.0,32.0,25.0,15.0,52.0,49.0,78.0,84.0,40.0,154.0,55.0,39.0
897,1.0,0.0,3.0,15.0,5.0,8.0,7.0,13.0,6.0,30.0,4.0,9.0,46.0,75.0,64.0,127.0,2.0,31.0,29.0,28.0,45.0,23.0,39.0,58.0,83.0,48.0,14.0,115.0,22.0,55.0
946,2.0,5.0,22.0,1.0,10.0,13.0,7.0,0.0,4.0,17.0,14.0,20.0,31.0,106.0,74.0,77.0,9.0,23.0,24.0,36.0,21.0,49.0,8.0,90.0,73.0,50.0,3.0,242.0,16.0,87.0
995,2.0,1.0,3.0,27.0,0.0,23.0,4.0,6.0,21.0,5.0,16.0,14.0,25.0,51.0,47.0,119.0,8.0,29.0,42.0,33.0,28.0,34.0,7.0,31.0,75.0,38.0,65.0,164.0,40.0,24.0
1044,1.0,0.0,2.0,5.0,4.0,14.0,8.0,6.0,24.0,9.0,29.0,18.0,3.0,10.0,95.0,17.0,16.0,65.0,62.0,7.0,48.0,82.0,125.0,22.0,52.0,26.0,76.0,30.0,27.0,64.0
1093,0.0,3.0,5.0,12.0,2.0,4.0,26.0,1.0,11.0,19.0,16.0,7.0,10.0,6.0,25.0,18.0,8.0,89.0,14.0,17.0,98.0,45.0,99.0,43.0,40.0,28.0,94.0,23.0,31.0,56.0
1142,0.0,1.0,3.0,2.0,5.0,6.0,9.0,4.0,10.0,8.0,15.0,17.0,30.0,14.0,46.0,7.0,28.0,205.0,13.0,32.0,41.0,37.0,197.0,19.0,12.0,40.0,76.0,117.0,118.0,21.0
1191,0.0,3.0,5.0,2.0,1.0,26.0,18.0,8.0,46.0,6.0,74.0,23.0,9.0,4.0,16.0,7.0,30.0,29.0,14.0,36.0,25.0,105.0,49.0,15.0,27.0,37.0,75.0,24.0,170.0,107.0
1240,0.0,3.0,4.0,6.0,1.0,8.0,13.0,2.0,49.0,5.0,17.0,12.0,10.0,9.0,46.0,7.0,15.0,43.0,35.0,30.0,84.0,48.0,34.0,19.0,21.0,22.0,111.0,73.0,50.0,41.0
1289,1.0,0.0,7.0,10.0,2.0,4.0,15.0,3.0,11.0,5.0,24.0,8.0,23.0,6.0,41.0,14.0,26.0,25.0,20.0,18.0,17.0,34.0,28.0,37.0,12.0,56.0,129.0,120.0,72.0,40.0
1338,2.0,1.0,7.0,4.0,0.0,9.0,6.0,3.0,12.0,5.0,28.0,24.0,10.0,8.0,25.0,13.0,14.0,54.0,39.0,15.0,70.0,127.0,20.0,18.0,26.0,57.0,136.0,45.0,62.0,31.0
1387,1.0,0.0,11.0,5.0,3.0,14.0,24.0,2.0,25.0,32.0,19.0,33.0,20.0,4.0,16.0,6.0,27.0,18.0,9.0,12.0,13.0,234.0,8.0,48.0,41.0,17.0,121.0,54.0,43.0,10.0
1436,0.0,1.0,13.0,3.0,4.0,14.0,10.0,2.0,20.0,5.0,51.0,15.0,36.0,6.0,32.0,9.0,17.0,35.0,42.0,12.0,11.0,82.0,8.0,31.0,23.0,19.0,37.0,96.0,117.0,7.0
1485,0.0,2.0,1.0,9.0,16.0,3.0,6.0,30.0,13.0,4.0,34.0,15.0,49.0,37.0,44.0,138.0,123.0,11.0,46.0,104.0,74.0,14.0,20.0,25.0,5.0,27.0,31.0,53.0,103.0,29.0
1534,0.0,2.0,1.0,8.0,61.0,23.0,3.0,15.0,10.0,16.0,7.0,9.0,117.0,13.0,14.0,62.0,19.0,45.0,18.0,43.0,101.0,39.0,106.0,44.0,5.0,25.0,34.0,4.0,171.0,26.0
1583,0.0,2.0,1.0,94.0,4.0,3.0,5.0,57.0,15.0,22.0,10.0,26.0,90.0,82.0,66.0,140.0,43.0,36.0,37.0,136.0,91.0,27.0,59.0,30.0,8.0,13.0,12.0,16.0,39.0,20.0
1632,0.0,2.0,1.0,25.0,5.0,9.0,8.0,30.0,13.0,15.0,110.0,7.0,3.0,81.0,6.0,106.0,62.0,33.0,56.0,48.0,59.0,36.0,272.0,32.0,199.0,60.0,122.0,18.0,79.0,168.0
1681,0.0,1.0,2.0,13.0,8.0,3.0,4.0,20.0,36.0,12.0,27.0,10.0,28.0,6.0,21.0,236.0,63.0,25.0,44.0,42.0,55.0,59.0,134.0,19.0,14.0,7.0,53.0,9.0,129.0,97.0
1730,0.0,2.0,1.0,5.0,20.0,4.0,3.0,6.0,23.0,8.0,15.0,10.0,17.0,12.0,39.0,127.0,83.0,21.0,42.0,92.0,178.0,61.0,67.0,24.0,16.0,11.0,41.0,13.0,159.0,40.0
1779,1.0,3.0,0.0,5.0,13.0,4.0,2.0,42.0,14.0,9.0,7.0,26.0,18.0,12.0,51.0,167.0,11.0,10.0,22.0,181.0,23.0,39.0,121.0,28.0,62.0,8.0,68.0,6.0,72.0,75.0
1828,1.0,0.0,2.0,17.0,7.0,13.0,3.0,10.0,30.0,42.0,40.0,5.0,25.0,24.0,16.0,128.0,63.0,20.0,15.0,46.0,49.0,11.0,35.0,52.0,36.0,14.0,156.0,9.0,44.0,115.0
1877,1.0,0.0,6.0,10.0,3.0,4.0,2.0,16.0,22.0,5.0,71.0,14.0,90.0,31.0,9.0,60.0,48.0,32.0,42.0,76.0,167.0,41.0,63.0,27.0,38.0,28.0,47.0,50.0,61.0,100.0
1926,0.0,1.0,2.0,4.0,9.0,3.0,5.0,15.0,57.0,13.0,14.0,12.0,18.0,16.0,10.0,67.0,157.0,23.0,33.0,77.0,28.0,34.0,79.0,22.0,39.0,25.0,122.0,17.0,69.0,49.0
1975,0.0,2.0,5.0,33.0,1.0,8.0,10.0,4.0,24.0,9.0,47.0,12.0,99.0,40.0,7.0,14.0,69.0,32.0,11.0,18.0,54.0,6.0,51.0,16.0,13.0,21.0,98.0,35.0,28.0,42.0
2024,0.0,1.0,6.0,37.0,3.0,2.0,5.0,8.0,4.0,18.0,20.0,15.0,41.0,79.0,10.0,26.0,65.0,93.0,12.0,72.0,128.0,13.0,64.0,27.0,17.0,23.0,47.0,19.0,11.0,42.0
2073,0.0,3.0,9.0,22.0,1.0,12.0,4.0,23.0,2.0,72.0,32.0,48.0,53.0,225.0,5.0,8.0,10.0,60.0,14.0,24.0,118.0,20.0,21.0,44.0,25.0,39.0,26.0,36.0,11.0,92.0
2122,0.0,2.0,32.0,20.0,1.0,8.0,11.0,23.0,4.0,9.0,19.0,18.0,79.0,41.0,24.0,33.0,3.0,48.0,17.0,21.0,71.0,7.0,27.0,13.0,6.0,26.0,12.0,137.0,15.0,72.0
2171,0.0,6.0,7.0,5.0,2.0,9.0,18.0,15.0,1.0,10.0,13.0,26.0,16.0,49.0,11.0,12.0,20.0,148.0,54.0,59.0,100.0,21.0,69.0,44.0,53.0,47.0,169.0,43.0,34.0,73.0
2220,0.0,2.0,7.0,29.0,1.0,20.0,18.0,44.0,4.0,13.0,11.0,23.0,25.0,74.0,33.0,10.0,17.0,60.0,16.0,47.0,201.0,15.0,43.0,6.0,14.0,54.0,61.0,116.0,8.0,22.0
2269,0.0,2.0,42.0,38.0,3.0,1.0,4.0,13.0,16.0,7.0,28.0,21.0,20.0,112.0,14.0,49.0,5.0,12.0,10.0,63.0,153.0,18.0,271.0,45.0,24.0,22.0,26.0,182.0,9.0,110.0
2318,0.0,3.0,18.0,33.0,1.0,4.0,38.0,14.0,2.0,11.0,28.0,10.0,5.0,29.0,71.0,41.0,8.0,22.0,31.0,50.0,144.0,15.0,81.0,32.0,25.0,23.0,137.0,191.0,6.0,49.0
2367,0.0,1.0,24.0,12.0,2.0,10.0,19.0,17.0,8.0,28.0,18.0,11.0,20.0,67.0,25.0,72.0,7.0,64.0,5.0,29.0,56.0,47.0,85.0,21.0,13.0,61.0,194.0,41.0,48.0,52.0
2416,0.0,3.0,23.0,31.0,6.0,7.0,36.0,40.0,4.0,21.0,35.0,22.0,24.0,78.0,19.0,30.0,33.0,25.0,27.0,64.0,16.0,15.0,1.0,13.0,38.0,29.0,84.0,117.0,28.0,2.0
2465,0.0,3.0,7.0,2.0,19.0,14.0,5.0,17.0,44.0,38.0,18.0,6.0,45.0,39.0,4.0,37.0,8.0,12.0,1.0,43.0,35.0,13.0,11.0,140.0,16.0,29.0,102.0,40.0,50.0,62.0
2514,0.0,4.0,27.0,7.0,1.0,12.0,22.0,23.0,24.0,19.0,33.0,9.0,17.0,2.0,13.0,16.0,25.0,43.0,10.0,34.0,50.0,8.0,11.0,132.0,100.0,65.0,138.0,3.0,18.0,122.0
2563,0.0,13.0,9.0,2.0,21.0,7.0,4.0,54.0,55.0,12.0,3.0,6.0,35.0,5.0,10.0,28.0,38.0,14.0,1.0,66.0,8.0,29.0,11.0,139.0,27.0,17.0,41.0,16.0,42.0,77.0
2612,0.0,1.0,15.0,3.0,7.0,13.0,4.0,25.0,10.0,30.0,17.0,2.0,8.0,11.0,5.0,9.0,6.0,26.0,14.0,27.0,12.0,39.0,18.0,177.0,77.0,22.0,53.0,29.0,31.0,63.0
2661,0.0,1.0,10.0,2.0,6.0,14.0,4.0,8.0,28.0,9.0,12.0,7.0,13.0,3.0,16.0,21.0,45.0,20.0,5.0,29.0,27.0,24.0,11.0,162.0,48.0,18.0,30.0,38.0,23.0,66.0
2710,0.0,9.0,4.0,8.0,11.0,7.0,5.0,19.0,54.0,18.0,15.0,2.0,14.0,43.0,13.0,28.0,71.0,32.0,62.0,45.0,49.0,3.0,6.0,157.0,22.0,23.0,1.0,107.0,24.0,59.0
2759,1.0,2.0,0.0,3.0,9.0,22.0,6.0,27.0,10.0,20.0,12.0,16.0,13.0,41.0,4.0,8.0,128.0,24.0,5.0,71.0,14.0,51.0,18.0,202.0,56.0,25.0,32.0,30.0,23.0,40.0
2808,11.0,0.0,15.0,8.0,1.0,9.0,6.0,19.0,10.0,39.0,30.0,14.0,5.0,37.0,7.0,2.0,24.0,45.0,20.0,27.0,3.0,95.0,13.0,93.0,28.0,41.0,17.0,21.0,12.0,34.0
2857,0.0,11.0,7.0,4.0,13.0,3.0,2.0,10.0,32.0,12.0,22.0,6.0,1.0,24.0,29.0,5.0,40.0,19.0,9.0,28.0,21.0,23.0,16.0,143.0,69.0,27.0,35.0,14.0,20.0,114.0
2906,0.0,17.0,3.0,1.0,2.0,9.0,6.0,20.0,36.0,4.0,8.0,15.0,13.0,5.0,25.0,28.0,24.0,56.0,7.0,110.0,22.0,75.0,19.0,177.0,121.0,54.0,43.0,21.0,69.0,101.0
2955,0.0,3.0,60.0,23.0,16.0,2.0,4.0,1.0,14.0,15.0,12.0,7.0,17.0,137.0,6.0,51.0,8.0,10.0,90.0,18.0,156.0,27.0,107.0,37.0,69.0,9.0,5.0,183.0,20.0,101.0
3004,0.0,3.0,19.0,2.0,10.0,4.0,11.0,1.0,13.0,18.0,16.0,12.0,8.0,21.0,32.0,17.0,7.0,5.0,23.0,20.0,34.0,54.0,247.0,33.0,24.0,62.0,26.0,38.0,22.0,25.0
3053,0.0,3.0,63.0,2.0,35.0,5.0,22.0,1.0,28.0,43.0,8.0,12.0,33.0,15.0,36.0,17.0,104.0,4.0,9.0,13.0,7.0,202.0,19.0,14.0,18.0,34.0,6.0,45.0,41.0,25.0
3102,0.0,3.0,7.0,2.0,13.0,4.0,5.0,1.0,12.0,10.0,14.0,6.0,11.0,8.0,20.0,25.0,35.0,15.0,46.0,24.0,19.0,88.0,69.0,70.0,41.0,33.0,42.0,21.0,73.0,45.0
3151,0.0,5.0,11.0,2.0,3.0,8.0,6.0,1.0,10.0,7.0,77.0,13.0,4.0,30.0,36.0,29.0,16.0,9.0,60.0,12.0,23.0,66.0,26.0,14.0,64.0,20.0,39.0,45.0,34.0,41.0
3200,1.0,12.0,8.0,3.0,5.0,4.0,10.0,0.0,18.0,2.0,9.0,7.0,11.0,14.0,101.0,26.0,105.0,13.0,38.0,20.0,6.0,78.0,88.0,30.0,23.0,28.0,15.0,93.0,64.0,24.0
3249,0.0,1.0,2.0,4.0,28.0,10.0,15.0,5.0,39.0,8.0,12.0,11.0,16.0,3.0,41.0,19.0,149.0,38.0,13.0,110.0,56.0,93.0,27.0,47.0,9.0,24.0,14.0,43.0,25.0,34.0
3298,0.0,3.0,15.0,4.0,14.0,1.0,8.0,2.0,7.0,16.0,5.0,13.0,86.0,6.0,20.0,32.0,42.0,29.0,10.0,89.0,68.0,80.0,102.0,50.0,27.0,76.0,28.0,21.0,19.0,56.0
3347,1.0,7.0,2.0,5.0,6.0,3.0,4.0,0.0,10.0,11.0,12.0,8.0,47.0,9.0,59.0,31.0,37.0,14.0,41.0,17.0,32.0,82.0,52.0,25.0,98.0,33.0,51.0,36.0,50.0,24.0
3396,1.0,10.0,0.0,14.0,4.0,5.0,9.0,2.0,20.0,6.0,16.0,22.0,11.0,13.0,74.0,3.0,73.0,65.0,150.0,21.0,8.0,17.0,204.0,54.0,50.0,39.0,136.0,34.0,40.0,37.0
3445,0.0,22.0,9.0,1.0,3.0,2.0,7.0,4.0,12.0,13.0,5.0,35.0,11.0,8.0,59.0,10.0,39.0,50.0,55.0,58.0,15.0,54.0,31.0,36.0,20.0,30.0,26.0,125.0,47.0,16.0
3494,0.0,5.0,16.0,7.0,19.0,3.0,2.0,8.0,6.0,12.0,4.0,11.0,17.0,38.0,37.0,15.0,14.0,20.0,71.0,28.0,1.0,32.0,56.0,58.0,26.0,39.0,18.0,91.0,43.0,22.0
3543,0.0,4.0,21.0,10.0,1.0,2.0,19.0,14.0,5.0,7.0,8.0,15.0,12.0,24.0,37.0,27.0,51.0,16.0,42.0,56.0,3.0,116.0,11.0,50.0,99.0,28.0,25.0,35.0,48.0,6.0
3592,0.0,25.0,18.0,1.0,5.0,3.0,12.0,13.0,4.0,6.0,9.0,15.0,47.0,42.0,137.0,10.0,11.0,48.0,27.0,23.0,8.0,60.0,147.0,62.0,40.0,114.0,37.0,57.0,55.0,16.0
3641,0.0,14.0,1.0,15.0,12.0,4.0,5.0,19.0,7.0,17.0,3.0,13.0,81.0,26.0,41.0,2.0,83.0,66.0,25.0,33.0,36.0,32.0,85.0,11.0,10.0,61.0,9.0,94.0,57.0,6.0
3690,0.0,4.0,11.0,2.0,5.0,1.0,6.0,19.0,15.0,13.0,10.0,21.0,9.0,31.0,32.0,7.0,23.0,16.0,29.0,24.0,3.0,110.0,66.0,30.0,26.0,43.0,14.0,65.0,52.0,12.0
3739,0.0,1.0,4.0,15.0,3.0,5.0,13.0,35.0,8.0,12.0,30.0,33.0,6.0,76.0,18.0,26.0,38.0,21.0,17.0,93.0,47.0,90.0,7.0,9.0,204.0,96.0,88.0,61.0,74.0,31.0
3788,0.0,15.0,16.0,2.0,3.0,1.0,11.0,9.0,13.0,14.0,6.0,17.0,12.0,10.0,26.0,5.0,83.0,27.0,37.0,8.0,7.0,69.0,36.0,50.0,53.0,45.0,38.0,20.0,58.0,19.0
3837,0.0,15.0,22.0,4.0,1.0,5.0,8.0,7.0,3.0,11.0,6.0,14.0,21.0,17.0,39.0,2.0,10.0,128.0,35.0,55.0,13.0,215.0,9.0,92.0,47.0,61.0,24.0,32.0,60.0,18.0
3886,0.0,9.0,12.0,2.0,16.0,1.0,7.0,6.0,4.0,51.0,5.0,40.0,11.0,94.0,17.0,22.0,24.0,13.0,19.0,56.0,3.0,34.0,15.0,75.0,8.0,68.0,39.0,29.0,41.0,38.0
3935,0.0,1.0,5.0,7.0,6.0,12.0,10.0,4.0,41.0,35.0,89.0,16.0,15.0,58.0,57.0,207.0,37.0,22.0,27.0,19.0,199.0,17.0,21.0,29.0,23.0,48.0,11.0,40.0,78.0,53.0
3984,0.0,12.0,2.0,1.0,5.0,7.0,36.0,6.0,25.0,8.0,79.0,26.0,9.0,29.0,23.0,24.0,18.0,14.0,46.0,16.0,4.0,113.0,15.0,28.0,52.0,34.0,13.0,50.0,49.0,3.0
4033,0.0,10.0,1.0,2.0,20.0,11.0,4.0,3.0,5.0,15.0,9.0,16.0,23.0,25.0,44.0,13.0,28.0,84.0,32.0,12.0,18.0,31.0,6.0,47.0,33.0,98.0,29.0,45.0,74.0,21.0
4082,0.0,3.0,1.0,8.0,6.0,4.0,10.0,2.0,12.0,24.0,17.0,11.0,21.0,63.0,53.0,18.0,16.0,36.0,15.0,32.0,195.0,105.0,9.0,58.0,28.0,102.0,7.0,37.0,38.0,57.0
4131,0.0,2.0,1.0,3.0,32.0,17.0,7.0,5.0,10.0,41.0,30.0,6.0,12.0,24.0,29.0,57.0,11.0,25.0,13.0,27.0,52.0,101.0,28.0,47.0,8.0,85.0,35.0,21.0,34.0,9.0
4180,0.0,4.0,2.0,6.0,32.0,9.0,20.0,1.0,16.0,13.0,12.0,18.0,58.0,28.0,37.0,35.0,14.0,8.0,39.0,17.0,31.0,70.0,19.0,96.0,11.0,34.0,3.0,71.0,36.0,5.0
4229,2.0,1.0,0.0,10.0,8.0,4.0,3.0,9.0,5.0,73.0,24.0,13.0,46.0,26.0,6.0,7.0,36.0,30.0,11.0,25.0,151.0,49.0,51.0,12.0,88.0,90.0,47.0,28.0,61.0,18.0
4278,0.0,8.0,1.0,4.0,15.0,20.0,11.0,10.0,6.0,17.0,7.0,9.0,32.0,34.0,21.0,16.0,47.0,28.0,40.0,42.0,137.0,38.0,13.0,39.0,2.0,55.0,22.0,188.0,31.0,5.0
4327,0.0,2.0,1.0,3.0,17.0,6.0,12.0,7.0,47.0,5.0,16.0,21.0,4.0,26.0,33.0,22.0,31.0,29.0,14.0,13.0,95.0,39.0,8.0,28.0,48.0,72.0,43.0,27.0,96.0,11.0
4376,0.0,2.0,1.0,35.0,30.0,19.0,15.0,43.0,11.0,3.0,51.0,9.0,44.0,27.0,8.0,48.0,26.0,32.0,16.0,31.0,6.0,42.0,70.0,105.0,68.0,73.0,41.0,4.0,142.0,5.0
4425,6.0,3.0,7.0,46.0,1.0,2.0,23.0,26.0,8.0,24.0,10.0,14.0,25.0,5.0,11.0,0.0,41.0,87.0,108.0,17.0,218.0,18.0,127.0,19.0,132.0,95.0,115.0,32.0,47.0,91.0
4474,0.0,9.0,7.0,3.0,2.0,10.0,43.0,22.0,29.0,33.0,5.0,15.0,12.0,1.0,39.0,4.0,101.0,53.0,49.0,58.0,336.0,55.0,123.0,30.0,24.0,75.0,79.0,21.0,59.0,82.0
4523,0.0,28.0,6.0,10.0,43.0,7.0,26.0,1.0,8.0,64.0,9.0,17.0,153.0,5.0,19.0,2.0,32.0,49.0,35.0,27.0,255.0,18.0,67.0,37.0,34.0,39.0,72.0,22.0,14.0,60.0
4572,0.0,9.0,2.0,16.0,15.0,1.0,41.0,7.0,21.0,57.0,4.0,12.0,58.0,5.0,42.0,8.0,66.0,77.0,90.0,45.0,329.0,35.0,86.0,24.0,84.0,68.0,48.0,56.0,13.0,158.0
4621,0.0,33.0,1.0,57.0,4.0,2.0,22.0,15.0,9.0,20.0,13.0,8.0,43.0,7.0,29.0,18.0,23.0,47.0,85.0,12.0,255.0,73.0,313.0,34.0,60.0,45.0,53.0,11.0,27.0,71.0
4670,0.0,6.0,1.0,43.0,2.0,11.0,18.0,3.0,39.0,12.0,24.0,29.0,25.0,44.0,21.0,31.0,188.0,71.0,273.0,9.0,251.0,15.0,20.0,42.0,83.0,30.0,36.0,40.0,16.0,45.0
4719,0.0,2.0,1.0,21.0,6.0,13.0,40.0,7.0,12.0,57.0,4.0,31.0,63.0,10.0,29.0,3.0,27.0,42.0,41.0,9.0,399.0,18.0,43.0,19.0,75.0,99.0,189.0,11.0,20.0,34.0
4768,0.0,17.0,2.0,21.0,16.0,1.0,54.0,41.0,6.0,132.0,4.0,10.0,158.0,12.0,15.0,8.0,33.0,51.0,20.0,13.0,245.0,18.0,88.0,97.0,79.0,50.0,121.0,32.0,11.0,104.0
4817,0.0,2.0,7.0,10.0,1.0,8.0,44.0,19.0,9.0,125.0,4.0,26.0,14.0,11.0,27.0,6.0,30.0,176.0,94.0,21.0,258.0,92.0,63.0,15.0,132.0,181.0,67.0,17.0,18.0,65.0
4866,0.0,20.0,7.0,13.0,3.0,2.0,51.0,41.0,5.0,28.0,6.0,46.0,61.0,10.0,9.0,1.0,44.0,94.0,66.0,18.0,52.0,30.0,112.0,15.0,164.0,106.0,34.0,29.0,26.0,65.0
