,Akt_pS473,PRAS40_pT246,Acetyl-a-Tubulin (Lys40),HER3,CDK1,CD49b,YB-1_pS102,FRA1,AR,MEK1_pS217_S221,Tuberin_pT1462,TIGAR,RBM15,C-Raf(MP05-739),Heregulin,TFRC,E-Cadherin,Transglutaminase,PKC-pan_BetaII_pS660,alpha-Catenin,JNK2,Src_pY416,Bim(EP1036),Shc_pY317,Syk,MSH6,Chk2_pT68,Lck,Src,Bax
490,1.0,0.0,2.0,24.0,3.0,25.0,14.0,29.0,8.0,21.0,10.0,78.0,4.0,6.0,23.0,13.0,101.0,145.0,7.0,22.0,9.0,19.0,28.0,31.0,46.0,58.0,48.0,11.0,54.0,51.0
539,0.0,1.0,3.0,28.0,4.0,8.0,16.0,9.0,6.0,12.0,97.0,85.0,2.0,10.0,48.0,27.0,51.0,15.0,5.0,88.0,20.0,32.0,61.0,76.0,41.0,19.0,13.0,21.0,14.0,101.0
588,0.0,7.0,1.0,12.0,4.0,18.0,2.0,6.0,11.0,22.0,45.0,19.0,3.0,17.0,5.0,9.0,68.0,53.0,10.0,49.0,13.0,16.0,81.0,32.0,31.0,29.0,54.0,84.0,59.0,23.0
637,1.0,0.0,2.0,4.0,3.0,6.0,12.0,23.0,28.0,10.0,21.0,69.0,9.0,5.0,22.0,11.0,68.0,16.0,8.0,35.0,31.0,18.0,44.0,7.0,27.0,13.0,20.0,115.0,46.0,34.0
686,0.0,1.0,3.0,14.0,12.0,6.0,11.0,44.0,5.0,4.0,132.0,8.0,2.0,27.0,10.0,9.0,70.0,7.0,32.0,21.0,13.0,18.0,53.0,35.0,91.0,115.0,64.0,17.0,31.0,23.0
735,0.0,1.0,2.0,13.0,16.0,8.0,7.0,14.0,10.0,21.0,73.0,19.0,6.0,5.0,11.0,4.0,62.0,31.0,33.0,38.0,12.0,3.0,24.0,23.0,36.0,105.0,57.0,9.0,27.0,25.0
784,0.0,1.0,2.0,6.0,5.0,4.0,7.0,25.0,22.0,12.0,69.0,36.0,9.0,10.0,8.0,17.0,34.0,16.0,37.0,11.0,3.0,39.0,44.0,18.0,29.0,45.0,81.0,51.0,92.0,48.0
833,1.0,0.0,2.0,8.0,16.0,13.0,9.0,32.0,3.0,7.0,17.0,21.0,5.0,25.0,12.0,24.0,68.0,11.0,39.0,26.0,72.0,14.0,45.0,46.0,74.0,85.0,71.0,62.0,51.0,28.0
882,0.0,1.0,2.0,35.0,8.0,10.0,9.0,15.0,12.0,25.0,32.0,43.0,13.0,3.0,7.0,6.0,50.0,11.0,31.0,34.0,5.0,4.0,36.0,26.0,41.0,17.0,20.0,16.0,23.0,81.0
931,0.0,1.0,5.0,21.0,7.0,2.0,3.0,30.0,37.0,24.0,13.0,53.0,6.0,4.0,50.0,11.0,71.0,42.0,8.0,9.0,12.0,20.0,65.0,33.0,55.0,74.0,28.0,22.0,26.0,61.0
980,0.0,2.0,1.0,11.0,5.0,16.0,10.0,12.0,3.0,17.0,14.0,35.0,20.0,4.0,9.0,6.0,18.0,43.0,7.0,68.0,26.0,72.0,21.0,47.0,8.0,88.0,103.0,32.0,55.0,28.0
1029,1.0,11.0,0.0,58.0,5.0,12.0,2.0,3.0,6.0,8.0,10.0,16.0,7.0,4.0,59.0,22.0,23.0,14.0,13.0,31.0,15.0,75.0,37.0,103.0,49.0,68.0,18.0,17.0,48.0,41.0
1078,1.0,10.0,0.0,30.0,9.0,26.0,8.0,4.0,6.0,5.0,3.0,25.0,155.0,2.0,13.0,60.0,15.0,12.0,34.0,17.0,29.0,32.0,23.0,22.0,7.0,49.0,48.0,31.0,47.0,21.0
1127,3.0,4.0,0.0,35.0,2.0,1.0,5.0,11.0,28.0,34.0,8.0,23.0,6.0,15.0,18.0,16.0,32.0,12.0,20.0,7.0,24.0,117.0,14.0,13.0,27.0,30.0,47.0,66.0,92.0,74.0
1176,0.0,10.0,1.0,2.0,7.0,3.0,13.0,6.0,4.0,33.0,9.0,42.0,54.0,8.0,22.0,27.0,11.0,69.0,17.0,48.0,12.0,19.0,15.0,72.0,5.0,77.0,30.0,14.0,80.0,23.0
1225,0.0,2.0,1.0,6.0,3.0,4.0,9.0,10.0,7.0,5.0,20.0,90.0,11.0,48.0,14.0,18.0,13.0,8.0,78.0,12.0,31.0,128.0,19.0,97.0,17.0,35.0,99.0,72.0,109.0,136.0
1274,0.0,11.0,4.0,5.0,3.0,6.0,9.0,2.0,17.0,10.0,1.0,7.0,88.0,8.0,29.0,47.0,20.0,98.0,14.0,23.0,76.0,34.0,21.0,48.0,16.0,30.0,38.0,13.0,125.0,67.0
1323,0.0,15.0,11.0,1.0,21.0,7.0,8.0,10.0,18.0,4.0,2.0,20.0,65.0,12.0,6.0,17.0,14.0,23.0,5.0,13.0,19.0,29.0,74.0,50.0,3.0,33.0,63.0,52.0,56.0,41.0
1372,4.0,3.0,1.0,0.0,8.0,11.0,7.0,14.0,48.0,2.0,9.0,16.0,21.0,10.0,71.0,12.0,25.0,45.0,19.0,13.0,39.0,29.0,5.0,22.0,6.0,36.0,24.0,96.0,55.0,26.0
1421,4.0,0.0,1.0,3.0,10.0,5.0,6.0,17.0,15.0,2.0,13.0,42.0,12.0,7.0,18.0,11.0,16.0,67.0,8.0,31.0,30.0,23.0,40.0,25.0,9.0,21.0,95.0,72.0,57.0,14.0
1470,2.0,0.0,1.0,41.0,9.0,17.0,3.0,6.0,13.0,48.0,10.0,30.0,22.0,12.0,21.0,7.0,11.0,14.0,83.0,16.0,15.0,5.0,85.0,40.0,28.0,38.0,97.0,81.0,18.0,78.0
1519,0.0,1.0,3.0,15.0,18.0,6.0,4.0,11.0,10.0,20.0,2.0,5.0,70.0,32.0,7.0,13.0,8.0,21.0,60.0,48.0,34.0,23.0,24.0,42.0,9.0,12.0,81.0,61.0,107.0,35.0
1568,1.0,4.0,0.0,9.0,14.0,15.0,3.0,16.0,10.0,32.0,2.0,24.0,7.0,11.0,13.0,37.0,6.0,43.0,20.0,5.0,29.0,25.0,41.0,62.0,21.0,18.0,19.0,38.0,12.0,71.0
1617,1.0,0.0,2.0,6.0,3.0,35.0,9.0,44.0,41.0,19.0,4.0,50.0,11.0,31.0,36.0,32.0,21.0,16.0,20.0,54.0,8.0,15.0,13.0,17.0,23.0,12.0,56.0,61.0,34.0,65.0
1666,1.0,2.0,0.0,19.0,3.0,24.0,7.0,9.0,53.0,14.0,5.0,4.0,11.0,57.0,22.0,13.0,8.0,26.0,38.0,30.0,6.0,95.0,56.0,23.0,37.0,27.0,39.0,34.0,10.0,105.0
1715,0.0,2.0,13.0,23.0,8.0,19.0,1.0,18.0,38.0,7.0,5.0,15.0,3.0,98.0,11.0,6.0,20.0,76.0,14.0,22.0,4.0,52.0,53.0,95.0,24.0,30.0,9.0,55.0,25.0,28.0
1764,0.0,2.0,1.0,6.0,3.0,11.0,8.0,15.0,27.0,25.0,9.0,23.0,49.0,130.0,10.0,7.0,5.0,50.0,60.0,4.0,57.0,92.0,29.0,12.0,95.0,38.0,31.0,20.0,16.0,67.0
1813,0.0,1.0,3.0,5.0,2.0,6.0,11.0,8.0,34.0,9.0,21.0,4.0,10.0,17.0,25.0,7.0,18.0,36.0,14.0,24.0,26.0,73.0,56.0,42.0,27.0,16.0,79.0,12.0,15.0,72.0
1862,0.0,1.0,2.0,4.0,16.0,25.0,3.0,15.0,17.0,13.0,10.0,7.0,8.0,32.0,34.0,14.0,23.0,19.0,26.0,5.0,6.0,72.0,29.0,77.0,12.0,45.0,20.0,54.0,11.0,46.0
1911,0.0,3.0,1.0,2.0,8.0,30.0,20.0,5.0,38.0,7.0,4.0,85.0,15.0,11.0,104.0,9.0,22.0,29.0,24.0,17.0,42.0,10.0,88.0,103.0,19.0,40.0,137.0,89.0,55.0,82.0
1960,2.0,0.0,8.0,3.0,12.0,1.0,14.0,5.0,18.0,6.0,30.0,4.0,23.0,19.0,36.0,21.0,11.0,20.0,9.0,17.0,97.0,98.0,15.0,61.0,13.0,35.0,50.0,40.0,22.0,107.0
2009,1.0,0.0,28.0,2.0,7.0,5.0,19.0,15.0,51.0,6.0,14.0,3.0,34.0,10.0,31.0,122.0,9.0,57.0,86.0,12.0,4.0,55.0,85.0,83.0,47.0,13.0,65.0,8.0,22.0,61.0
2058,0.0,3.0,10.0,8.0,17.0,1.0,18.0,9.0,4.0,7.0,19.0,2.0,31.0,6.0,27.0,35.0,5.0,12.0,21.0,14.0,20.0,25.0,104.0,44.0,15.0,41.0,57.0,135.0,30.0,63.0
2107,2.0,0.0,1.0,11.0,8.0,4.0,5.0,15.0,7.0,9.0,73.0,3.0,52.0,10.0,16.0,17.0,12.0,62.0,18.0,26.0,31.0,88.0,30.0,22.0,96.0,23.0,42.0,21.0,68.0,75.0
2156,0.0,3.0,9.0,25.0,6.0,2.0,7.0,19.0,12.0,13.0,27.0,4.0,95.0,5.0,8.0,11.0,10.0,21.0,1.0,15.0,30.0,107.0,79.0,22.0,28.0,26.0,47.0,20.0,50.0,99.0
2205,0.0,1.0,7.0,4.0,9.0,20.0,3.0,31.0,14.0,6.0,23.0,8.0,67.0,22.0,11.0,12.0,10.0,21.0,18.0,32.0,98.0,62.0,26.0,13.0,5.0,16.0,41.0,15.0,93.0,79.0
2254,0.0,1.0,20.0,4.0,49.0,3.0,13.0,19.0,2.0,12.0,28.0,6.0,17.0,5.0,54.0,40.0,21.0,8.0,7.0,11.0,31.0,27.0,10.0,66.0,16.0,24.0,131.0,44.0,50.0,81.0
2303,1.0,0.0,9.0,2.0,3.0,11.0,10.0,6.0,5.0,4.0,21.0,7.0,88.0,18.0,40.0,19.0,22.0,8.0,43.0,61.0,52.0,17.0,83.0,34.0,76.0,25.0,127.0,27.0,20.0,68.0
2352,0.0,5.0,3.0,7.0,10.0,4.0,17.0,30.0,9.0,2.0,16.0,1.0,36.0,8.0,18.0,11.0,33.0,25.0,50.0,6.0,32.0,15.0,43.0,92.0,115.0,12.0,44.0,53.0,19.0,100.0
2401,1.0,0.0,8.0,7.0,4.0,2.0,37.0,19.0,9.0,3.0,24.0,6.0,26.0,20.0,14.0,30.0,10.0,13.0,11.0,22.0,21.0,23.0,88.0,16.0,5.0,39.0,42.0,63.0,90.0,83.0
2450,0.0,2.0,1.0,4.0,5.0,8.0,16.0,23.0,6.0,10.0,11.0,3.0,15.0,21.0,44.0,59.0,82.0,142.0,40.0,58.0,24.0,20.0,80.0,18.0,22.0,13.0,33.0,52.0,9.0,7.0
2499,0.0,1.0,8.0,12.0,10.0,18.0,2.0,6.0,7.0,19.0,11.0,5.0,24.0,21.0,4.0,42.0,40.0,25.0,15.0,125.0,56.0,3.0,39.0,77.0,28.0,22.0,82.0,16.0,105.0,9.0
2548,0.0,1.0,2.0,3.0,16.0,10.0,7.0,23.0,8.0,14.0,28.0,19.0,4.0,58.0,60.0,29.0,26.0,6.0,27.0,93.0,12.0,5.0,54.0,21.0,118.0,17.0,32.0,34.0,67.0,22.0
2597,1.0,0.0,2.0,10.0,7.0,20.0,6.0,12.0,3.0,9.0,14.0,11.0,5.0,35.0,4.0,66.0,100.0,58.0,141.0,43.0,39.0,13.0,44.0,25.0,117.0,86.0,48.0,60.0,46.0,16.0
2646,0.0,3.0,1.0,5.0,2.0,6.0,8.0,30.0,9.0,10.0,11.0,4.0,22.0,35.0,7.0,13.0,158.0,33.0,71.0,113.0,60.0,12.0,14.0,40.0,64.0,26.0,133.0,48.0,44.0,15.0
2695,0.0,1.0,3.0,4.0,18.0,30.0,5.0,17.0,15.0,8.0,7.0,11.0,6.0,9.0,26.0,22.0,13.0,102.0,35.0,161.0,32.0,45.0,24.0,27.0,12.0,2.0,153.0,37.0,10.0,43.0
2744,0.0,2.0,1.0,4.0,14.0,12.0,5.0,8.0,16.0,10.0,15.0,9.0,19.0,11.0,3.0,30.0,18.0,6.0,48.0,98.0,31.0,7.0,32.0,21.0,137.0,13.0,69.0,77.0,27.0,126.0
2793,0.0,1.0,2.0,18.0,15.0,3.0,31.0,30.0,5.0,13.0,24.0,6.0,8.0,19.0,9.0,12.0,22.0,10.0,71.0,81.0,46.0,7.0,26.0,66.0,120.0,4.0,76.0,21.0,61.0,114.0
2842,2.0,1.0,0.0,11.0,12.0,10.0,34.0,55.0,4.0,16.0,43.0,3.0,13.0,6.0,9.0,7.0,53.0,21.0,22.0,66.0,19.0,8.0,38.0,105.0,26.0,37.0,17.0,122.0,60.0,54.0
2891,0.0,1.0,2.0,4.0,3.0,17.0,22.0,9.0,13.0,6.0,15.0,14.0,35.0,7.0,5.0,18.0,23.0,27.0,104.0,111.0,21.0,8.0,156.0,28.0,43.0,16.0,29.0,56.0,86.0,40.0
2940,0.0,3.0,2.0,6.0,60.0,5.0,9.0,15.0,39.0,16.0,102.0,97.0,12.0,7.0,4.0,11.0,10.0,56.0,17.0,1.0,19.0,75.0,32.0,87.0,89.0,54.0,13.0,83.0,23.0,82.0
2989,0.0,5.0,1.0,11.0,9.0,13.0,6.0,19.0,20.0,21.0,129.0,22.0,16.0,8.0,14.0,10.0,12.0,44.0,2.0,7.0,46.0,28.0,89.0,94.0,3.0,102.0,15.0,32.0,61.0,73.0
3038,0.0,10.0,4.0,7.0,8.0,3.0,5.0,16.0,6.0,20.0,39.0,94.0,15.0,2.0,1.0,21.0,11.0,103.0,12.0,22.0,27.0,31.0,29.0,18.0,37.0,126.0,24.0,32.0,70.0,33.0
3087,0.0,1.0,3.0,5.0,8.0,2.0,4.0,7.0,14.0,80.0,110.0,59.0,31.0,6.0,10.0,16.0,81.0,89.0,9.0,13.0,47.0,29.0,26.0,48.0,33.0,19.0,40.0,30.0,55.0,49.0
3136,0.0,3.0,2.0,9.0,6.0,5.0,7.0,1.0,13.0,24.0,25.0,19.0,49.0,4.0,10.0,28.0,15.0,21.0,27.0,52.0,33.0,101.0,47.0,79.0,67.0,11.0,41.0,59.0,99.0,76.0
3185,0.0,2.0,1.0,7.0,6.0,3.0,5.0,4.0,28.0,30.0,45.0,9.0,15.0,17.0,11.0,37.0,78.0,43.0,8.0,19.0,29.0,150.0,106.0,59.0,36.0,35.0,12.0,90.0,80.0,158.0
3234,0.0,2.0,3.0,13.0,6.0,8.0,15.0,1.0,10.0,18.0,42.0,14.0,28.0,5.0,4.0,53.0,35.0,11.0,12.0,23.0,7.0,39.0,156.0,31.0,67.0,72.0,27.0,32.0,30.0,108.0
3283,0.0,5.0,1.0,12.0,4.0,3.0,7.0,8.0,6.0,22.0,65.0,20.0,97.0,11.0,2.0,35.0,32.0,29.0,10.0,101.0,36.0,92.0,26.0,21.0,59.0,31.0,15.0,52.0,30.0,44.0
3332,0.0,4.0,6.0,8.0,11.0,2.0,1.0,7.0,5.0,36.0,33.0,13.0,47.0,44.0,3.0,19.0,27.0,29.0,12.0,118.0,83.0,139.0,26.0,31.0,28.0,99.0,30.0,72.0,15.0,70.0
3381,0.0,2.0,4.0,12.0,8.0,5.0,1.0,16.0,20.0,6.0,41.0,111.0,46.0,10.0,3.0,106.0,53.0,27.0,37.0,102.0,17.0,139.0,22.0,80.0,44.0,61.0,103.0,38.0,25.0,28.0
3430,0.0,1.0,37.0,2.0,4.0,19.0,5.0,20.0,7.0,3.0,12.0,21.0,16.0,9.0,17.0,51.0,34.0,6.0,27.0,44.0,13.0,14.0,75.0,15.0,30.0,63.0,18.0,8.0,95.0,54.0
3479,0.0,1.0,6.0,2.0,17.0,10.0,32.0,7.0,9.0,4.0,13.0,24.0,12.0,5.0,23.0,16.0,99.0,8.0,48.0,62.0,14.0,18.0,21.0,26.0,20.0,55.0,11.0,3.0,56.0,57.0
3528,0.0,1.0,4.0,3.0,5.0,14.0,17.0,13.0,6.0,9.0,10.0,12.0,29.0,16.0,18.0,30.0,39.0,7.0,11.0,22.0,8.0,25.0,51.0,33.0,61.0,46.0,19.0,2.0,47.0,111.0
3577,0.0,1.0,2.0,3.0,4.0,19.0,11.0,61.0,35.0,17.0,13.0,7.0,14.0,6.0,21.0,25.0,8.0,5.0,16.0,33.0,38.0,12.0,15.0,36.0,119.0,52.0,9.0,24.0,40.0,37.0
3626,1.0,0.0,7.0,5.0,2.0,15.0,6.0,39.0,28.0,8.0,10.0,3.0,12.0,19.0,18.0,26.0,20.0,4.0,42.0,61.0,9.0,17.0,23.0,95.0,45.0,34.0,22.0,11.0,25.0,90.0
3675,0.0,1.0,6.0,2.0,21.0,49.0,9.0,11.0,12.0,38.0,3.0,18.0,23.0,16.0,19.0,51.0,5.0,4.0,53.0,36.0,7.0,15.0,13.0,27.0,31.0,17.0,29.0,8.0,47.0,25.0
3724,0.0,1.0,3.0,9.0,2.0,45.0,11.0,6.0,26.0,82.0,7.0,33.0,17.0,5.0,22.0,84.0,35.0,4.0,19.0,56.0,15.0,8.0,30.0,14.0,133.0,31.0,12.0,21.0,29.0,18.0
3773,0.0,1.0,5.0,3.0,2.0,25.0,4.0,16.0,32.0,9.0,21.0,55.0,10.0,11.0,102.0,46.0,17.0,6.0,8.0,76.0,7.0,78.0,28.0,63.0,56.0,51.0,13.0,12.0,24.0,18.0
3822,0.0,1.0,15.0,3.0,2.0,22.0,8.0,6.0,48.0,20.0,4.0,14.0,24.0,12.0,144.0,59.0,17.0,10.0,32.0,108.0,11.0,18.0,36.0,27.0,112.0,30.0,7.0,13.0,54.0,9.0
3871,0.0,3.0,6.0,1.0,2.0,19.0,14.0,4.0,7.0,8.0,5.0,10.0,35.0,15.0,59.0,36.0,18.0,31.0,81.0,43.0,20.0,37.0,29.0,17.0,46.0,44.0,75.0,12.0,34.0,56.0
3920,0.0,2.0,1.0,3.0,17.0,12.0,9.0,10.0,4.0,39.0,14.0,38.0,5.0,66.0,7.0,92.0,31.0,18.0,13.0,26.0,30.0,11.0,22.0,46.0,33.0,20.0,6.0,124.0,61.0,16.0
3969,1.0,6.0,0.0,4.0,10.0,7.0,5.0,24.0,16.0,25.0,2.0,20.0,9.0,11.0,31.0,15.0,14.0,17.0,13.0,26.0,12.0,8.0,50.0,18.0,56.0,51.0,22.0,49.0,60.0,23.0
4018,0.0,2.0,4.0,1.0,3.0,9.0,10.0,45.0,153.0,16.0,8.0,26.0,12.0,7.0,6.0,17.0,13.0,11.0,77.0,60.0,5.0,54.0,85.0,69.0,91.0,32.0,25.0,15.0,14.0,22.0
4067,0.0,1.0,2.0,5.0,8.0,9.0,7.0,44.0,39.0,4.0,14.0,40.0,6.0,53.0,3.0,22.0,72.0,79.0,32.0,19.0,93.0,118.0,17.0,15.0,29.0,109.0,10.0,42.0,46.0,24.0
4116,0.0,2.0,1.0,5.0,3.0,8.0,20.0,14.0,18.0,6.0,11.0,52.0,4.0,12.0,15.0,23.0,51.0,19.0,129.0,22.0,89.0,140.0,21.0,91.0,37.0,27.0,7.0,48.0,10.0,64.0
4165,1.0,3.0,0.0,12.0,8.0,2.0,6.0,29.0,10.0,16.0,5.0,30.0,4.0,35.0,7.0,49.0,17.0,9.0,78.0,31.0,27.0,87.0,37.0,24.0,93.0,23.0,14.0,28.0,18.0,21.0
4214,0.0,5.0,1.0,4.0,8.0,21.0,2.0,20.0,11.0,10.0,12.0,6.0,22.0,42.0,17.0,14.0,73.0,27.0,19.0,52.0,3.0,13.0,7.0,32.0,37.0,28.0,24.0,72.0,64.0,40.0
4263,1.0,0.0,18.0,13.0,3.0,4.0,16.0,80.0,11.0,131.0,5.0,10.0,2.0,35.0,9.0,25.0,73.0,20.0,8.0,32.0,77.0,74.0,90.0,19.0,28.0,66.0,23.0,40.0,15.0,14.0
4312,0.0,2.0,3.0,1.0,5.0,22.0,7.0,89.0,9.0,32.0,21.0,13.0,4.0,30.0,59.0,49.0,18.0,158.0,6.0,108.0,14.0,58.0,11.0,17.0,12.0,42.0,10.0,65.0,31.0,62.0
4361,2.0,0.0,4.0,6.0,7.0,8.0,16.0,57.0,5.0,17.0,18.0,37.0,1.0,30.0,3.0,41.0,25.0,24.0,52.0,12.0,29.0,103.0,9.0,51.0,93.0,31.0,32.0,26.0,43.0,13.0
4410,1.0,0.0,4.0,3.0,2.0,8.0,12.0,6.0,20.0,38.0,5.0,7.0,22.0,51.0,107.0,27.0,18.0,15.0,28.0,16.0,9.0,106.0,24.0,25.0,39.0,14.0,34.0,17.0,40.0,50.0
4459,6.0,2.0,12.0,0.0,5.0,1.0,21.0,19.0,18.0,7.0,32.0,16.0,15.0,17.0,50.0,11.0,4.0,37.0,36.0,13.0,3.0,74.0,35.0,34.0,40.0,38.0,30.0,10.0,9.0,28.0
4508,4.0,0.0,14.0,2.0,7.0,5.0,3.0,1.0,110.0,13.0,15.0,8.0,48.0,36.0,17.0,41.0,25.0,20.0,12.0,22.0,26.0,52.0,6.0,23.0,11.0,10.0,81.0,27.0,34.0,37.0
4557,4.0,1.0,21.0,2.0,0.0,6.0,10.0,9.0,5.0,12.0,20.0,3.0,15.0,23.0,14.0,17.0,8.0,11.0,28.0,53.0,7.0,43.0,16.0,52.0,94.0,33.0,13.0,38.0,19.0,68.0
4606,0.0,1.0,8.0,6.0,18.0,3.0,2.0,16.0,21.0,7.0,4.0,19.0,10.0,22.0,33.0,15.0,11.0,23.0,9.0,5.0,13.0,26.0,20.0,12.0,79.0,17.0,27.0,42.0,38.0,30.0
4655,1.0,0.0,14.0,4.0,5.0,2.0,3.0,8.0,13.0,27.0,20.0,18.0,17.0,43.0,40.0,85.0,25.0,9.0,10.0,11.0,7.0,80.0,6.0,28.0,57.0,19.0,22.0,49.0,36.0,115.0
4704,3.0,0.0,10.0,5.0,6.0,1.0,2.0,12.0,71.0,14.0,13.0,11.0,79.0,17.0,50.0,9.0,8.0,7.0,74.0,4.0,15.0,42.0,20.0,22.0,19.0,27.0,45.0,99.0,21.0,23.0
4753,0.0,2.0,7.0,3.0,4.0,1.0,13.0,5.0,128.0,69.0,14.0,11.0,70.0,38.0,57.0,19.0,17.0,8.0,65.0,6.0,50.0,16.0,74.0,10.0,44.0,30.0,23.0,63.0,21.0,64.0
4802,0.0,3.0,46.0,2.0,5.0,1.0,8.0,6.0,18.0,24.0,25.0,14.0,79.0,49.0,7.0,15.0,13.0,17.0,11.0,35.0,58.0,36.0,4.0,26.0,59.0,10.0,63.0,96.0,22.0,50.0
4851,0.0,2.0,8.0,1.0,14.0,3.0,4.0,12.0,49.0,36.0,62.0,5.0,47.0,7.0,10.0,24.0,96.0,65.0,27.0,16.0,26.0,38.0,32.0,21.0,51.0,6.0,9.0,53.0,15.0,37.0
