,Shc_pY317,HER2_pY1248,EGFR_pY1068,SHP-2_pY542,E-Cadherin,Akt,B-Raf,Annexin 1,RAD51,alpha-Catenin,RSK1-2-3,EGFR,Src,C-Raf_pS338,VHL,MDMX_MDM4(BetIHC-00108),Smac,PEA15,eEF2,P-Cadherin,p38_pT180_Y182,Rb,4E-BP1_pS65,Bim(EP1036),Syk,YB-1_pS102,C-Raf(BD610151),Src_pY416,4E-BP1_pT70,Claudin-7
1225,7.0,1.0,8.0,40.0,3.0,2.0,0.0,5.0,18.0,13.0,23.0,58.0,9.0,15.0,6.0,120.0,10.0,16.0,143.0,11.0,14.0,46.0,105.0,103.0,38.0,43.0,91.0,39.0,134.0,17.0
1274,7.0,1.0,3.0,10.0,8.0,6.0,0.0,5.0,14.0,4.0,12.0,83.0,23.0,60.0,120.0,55.0,30.0,2.0,31.0,9.0,22.0,150.0,96.0,88.0,38.0,13.0,32.0,16.0,144.0,20.0
1323,61.0,23.0,4.0,6.0,0.0,22.0,8.0,1.0,3.0,7.0,25.0,14.0,5.0,11.0,60.0,64.0,31.0,2.0,32.0,68.0,12.0,127.0,91.0,113.0,50.0,20.0,9.0,116.0,62.0,81.0
1372,1.0,0.0,2.0,6.0,3.0,9.0,17.0,4.0,60.0,12.0,10.0,11.0,14.0,99.0,19.0,50.0,49.0,24.0,44.0,31.0,47.0,32.0,164.0,68.0,29.0,43.0,8.0,39.0,20.0,22.0
1421,5.0,2.0,6.0,21.0,18.0,72.0,10.0,0.0,54.0,11.0,15.0,32.0,25.0,12.0,4.0,52.0,1.0,3.0,40.0,14.0,22.0,68.0,75.0,122.0,51.0,105.0,9.0,47.0,111.0,60.0
1470,0.0,1.0,14.0,3.0,20.0,48.0,22.0,24.0,4.0,11.0,6.0,2.0,69.0,8.0,16.0,5.0,7.0,63.0,123.0,67.0,23.0,65.0,140.0,37.0,30.0,28.0,36.0,78.0,108.0,129.0
1519,1.0,12.0,22.0,14.0,6.0,19.0,2.0,4.0,13.0,10.0,9.0,0.0,36.0,8.0,24.0,3.0,59.0,11.0,153.0,51.0,21.0,5.0,85.0,15.0,86.0,16.0,122.0,141.0,67.0,57.0
1568,0.0,4.0,10.0,15.0,14.0,59.0,1.0,6.0,3.0,5.0,13.0,8.0,21.0,77.0,7.0,9.0,49.0,53.0,146.0,18.0,24.0,39.0,33.0,2.0,55.0,26.0,28.0,30.0,37.0,66.0
1617,2.0,10.0,0.0,23.0,17.0,7.0,22.0,1.0,5.0,4.0,6.0,9.0,20.0,79.0,91.0,3.0,54.0,75.0,32.0,59.0,48.0,12.0,102.0,8.0,57.0,27.0,15.0,140.0,87.0,107.0
1666,1.0,2.0,0.0,16.0,20.0,6.0,3.0,4.0,8.0,12.0,35.0,5.0,22.0,9.0,33.0,14.0,28.0,120.0,34.0,48.0,92.0,7.0,21.0,10.0,80.0,99.0,77.0,25.0,40.0,15.0
1715,2.0,8.0,11.0,32.0,13.0,12.0,0.0,1.0,10.0,40.0,7.0,3.0,17.0,31.0,21.0,4.0,26.0,89.0,87.0,76.0,18.0,23.0,28.0,9.0,85.0,37.0,6.0,65.0,20.0,45.0
1764,0.0,1.0,3.0,41.0,10.0,40.0,5.0,4.0,7.0,6.0,11.0,23.0,63.0,49.0,15.0,2.0,9.0,46.0,67.0,123.0,17.0,20.0,31.0,8.0,62.0,43.0,72.0,140.0,39.0,125.0
1813,3.0,0.0,1.0,8.0,7.0,19.0,21.0,2.0,12.0,4.0,10.0,11.0,42.0,77.0,76.0,9.0,20.0,83.0,119.0,14.0,81.0,13.0,45.0,5.0,148.0,101.0,15.0,29.0,22.0,150.0
1862,1.0,2.0,5.0,4.0,7.0,21.0,10.0,0.0,22.0,32.0,9.0,6.0,20.0,3.0,51.0,60.0,17.0,15.0,70.0,31.0,14.0,12.0,73.0,8.0,49.0,152.0,23.0,28.0,41.0,47.0
1911,3.0,6.0,0.0,2.0,11.0,18.0,4.0,5.0,1.0,57.0,24.0,9.0,22.0,81.0,70.0,10.0,16.0,8.0,154.0,98.0,15.0,29.0,39.0,7.0,58.0,13.0,62.0,91.0,32.0,134.0
1960,3.0,0.0,6.0,17.0,5.0,46.0,2.0,61.0,25.0,1.0,7.0,139.0,39.0,86.0,28.0,79.0,11.0,26.0,10.0,23.0,51.0,82.0,9.0,62.0,133.0,35.0,132.0,32.0,47.0,146.0
2009,0.0,10.0,36.0,20.0,6.0,13.0,1.0,5.0,14.0,2.0,12.0,40.0,9.0,30.0,16.0,111.0,32.0,11.0,144.0,33.0,37.0,7.0,8.0,19.0,63.0,126.0,22.0,4.0,121.0,43.0
2058,0.0,4.0,36.0,9.0,24.0,14.0,1.0,7.0,19.0,8.0,22.0,115.0,42.0,5.0,28.0,10.0,17.0,62.0,34.0,89.0,129.0,103.0,12.0,110.0,56.0,50.0,127.0,3.0,18.0,76.0
2107,3.0,0.0,16.0,2.0,6.0,46.0,4.0,17.0,62.0,1.0,11.0,29.0,7.0,61.0,53.0,41.0,33.0,39.0,9.0,90.0,65.0,20.0,31.0,38.0,8.0,83.0,124.0,5.0,32.0,120.0
2156,4.0,1.0,16.0,46.0,2.0,37.0,10.0,0.0,8.0,3.0,19.0,7.0,30.0,60.0,43.0,6.0,42.0,14.0,64.0,18.0,84.0,27.0,22.0,62.0,21.0,12.0,26.0,11.0,50.0,94.0
2205,0.0,2.0,18.0,7.0,4.0,17.0,5.0,11.0,26.0,3.0,6.0,43.0,20.0,29.0,23.0,32.0,22.0,34.0,9.0,51.0,132.0,13.0,1.0,99.0,53.0,30.0,40.0,16.0,21.0,70.0
2254,0.0,1.0,7.0,3.0,5.0,27.0,8.0,13.0,11.0,4.0,25.0,16.0,10.0,6.0,117.0,22.0,2.0,53.0,9.0,35.0,72.0,12.0,17.0,52.0,83.0,101.0,149.0,62.0,42.0,153.0
2303,5.0,11.0,3.0,4.0,14.0,50.0,7.0,12.0,0.0,6.0,15.0,48.0,18.0,76.0,70.0,32.0,2.0,150.0,64.0,10.0,31.0,28.0,17.0,16.0,44.0,67.0,112.0,38.0,81.0,99.0
2352,6.0,5.0,145.0,9.0,4.0,45.0,18.0,13.0,23.0,1.0,26.0,2.0,62.0,65.0,43.0,22.0,14.0,110.0,37.0,29.0,64.0,7.0,3.0,20.0,148.0,36.0,88.0,8.0,44.0,67.0
2401,0.0,1.0,89.0,37.0,29.0,73.0,4.0,11.0,7.0,2.0,31.0,48.0,20.0,30.0,25.0,6.0,8.0,54.0,10.0,14.0,135.0,15.0,13.0,32.0,125.0,34.0,26.0,12.0,94.0,61.0
2450,20.0,4.0,1.0,0.0,9.0,3.0,2.0,11.0,17.0,8.0,19.0,31.0,6.0,100.0,21.0,23.0,30.0,15.0,5.0,69.0,107.0,110.0,12.0,35.0,28.0,106.0,129.0,34.0,13.0,14.0
2499,1.0,2.0,0.0,3.0,5.0,8.0,11.0,108.0,9.0,6.0,16.0,13.0,7.0,12.0,4.0,23.0,75.0,58.0,47.0,89.0,21.0,15.0,14.0,35.0,54.0,19.0,41.0,76.0,30.0,34.0
2548,0.0,4.0,7.0,5.0,19.0,10.0,1.0,2.0,11.0,30.0,8.0,65.0,21.0,14.0,17.0,13.0,42.0,23.0,133.0,155.0,15.0,18.0,3.0,124.0,40.0,121.0,102.0,44.0,54.0,59.0
2597,1.0,0.0,3.0,4.0,10.0,37.0,8.0,2.0,13.0,5.0,97.0,12.0,14.0,53.0,20.0,57.0,56.0,87.0,9.0,43.0,7.0,21.0,19.0,18.0,44.0,40.0,25.0,6.0,75.0,39.0
2646,4.0,0.0,5.0,6.0,72.0,1.0,2.0,10.0,31.0,7.0,12.0,9.0,57.0,11.0,118.0,8.0,19.0,15.0,20.0,18.0,23.0,53.0,26.0,80.0,22.0,30.0,107.0,16.0,46.0,59.0
2695,19.0,30.0,2.0,13.0,0.0,9.0,5.0,1.0,72.0,16.0,3.0,26.0,4.0,24.0,12.0,53.0,134.0,32.0,8.0,85.0,88.0,27.0,25.0,54.0,18.0,41.0,20.0,7.0,82.0,33.0
2744,0.0,9.0,1.0,3.0,8.0,104.0,7.0,2.0,13.0,21.0,5.0,115.0,29.0,56.0,145.0,78.0,4.0,14.0,123.0,38.0,90.0,16.0,22.0,15.0,121.0,89.0,31.0,12.0,20.0,53.0
2793,2.0,10.0,0.0,1.0,5.0,33.0,6.0,13.0,15.0,72.0,8.0,92.0,25.0,4.0,30.0,125.0,17.0,16.0,71.0,90.0,39.0,7.0,21.0,26.0,22.0,37.0,66.0,27.0,98.0,36.0
2842,1.0,0.0,2.0,3.0,9.0,41.0,5.0,4.0,7.0,130.0,12.0,115.0,11.0,44.0,10.0,85.0,103.0,107.0,39.0,16.0,20.0,8.0,18.0,75.0,122.0,25.0,101.0,13.0,47.0,114.0
2891,0.0,1.0,2.0,9.0,11.0,64.0,3.0,44.0,4.0,139.0,20.0,33.0,34.0,5.0,100.0,57.0,26.0,12.0,19.0,88.0,14.0,52.0,144.0,53.0,56.0,17.0,157.0,28.0,8.0,61.0
2940,8.0,4.0,2.0,34.0,6.0,5.0,11.0,1.0,12.0,17.0,7.0,0.0,19.0,15.0,3.0,9.0,40.0,64.0,27.0,92.0,38.0,13.0,90.0,21.0,16.0,46.0,29.0,163.0,63.0,10.0
2989,2.0,0.0,8.0,22.0,3.0,57.0,5.0,1.0,4.0,20.0,11.0,10.0,18.0,14.0,9.0,25.0,7.0,12.0,17.0,15.0,90.0,43.0,64.0,115.0,30.0,42.0,107.0,109.0,106.0,71.0
3038,1.0,3.0,4.0,11.0,8.0,6.0,2.0,0.0,9.0,14.0,16.0,12.0,34.0,75.0,18.0,5.0,15.0,7.0,32.0,26.0,109.0,10.0,79.0,164.0,22.0,101.0,27.0,63.0,45.0,66.0
3087,2.0,0.0,14.0,1.0,6.0,11.0,44.0,5.0,23.0,3.0,31.0,33.0,50.0,7.0,15.0,24.0,13.0,60.0,4.0,43.0,130.0,19.0,108.0,57.0,8.0,79.0,62.0,20.0,37.0,66.0
3136,0.0,1.0,14.0,7.0,9.0,3.0,11.0,47.0,5.0,8.0,2.0,41.0,16.0,4.0,10.0,15.0,19.0,17.0,23.0,22.0,152.0,21.0,31.0,101.0,12.0,147.0,33.0,20.0,51.0,144.0
3185,1.0,2.0,10.0,9.0,0.0,3.0,26.0,18.0,6.0,5.0,16.0,22.0,27.0,7.0,14.0,17.0,8.0,41.0,35.0,13.0,36.0,33.0,57.0,114.0,4.0,30.0,105.0,77.0,24.0,11.0
3234,2.0,8.0,5.0,3.0,1.0,7.0,30.0,15.0,21.0,0.0,10.0,19.0,11.0,108.0,12.0,23.0,33.0,37.0,78.0,73.0,32.0,18.0,4.0,40.0,48.0,55.0,39.0,17.0,6.0,85.0
3283,6.0,11.0,2.0,5.0,9.0,0.0,85.0,3.0,13.0,1.0,25.0,95.0,34.0,22.0,38.0,18.0,12.0,32.0,4.0,43.0,127.0,29.0,16.0,80.0,26.0,37.0,45.0,14.0,53.0,30.0
3332,0.0,23.0,7.0,20.0,14.0,1.0,2.0,3.0,5.0,4.0,29.0,19.0,39.0,12.0,13.0,22.0,9.0,49.0,35.0,102.0,33.0,16.0,6.0,121.0,30.0,37.0,40.0,67.0,149.0,52.0
3381,0.0,10.0,9.0,25.0,4.0,1.0,24.0,14.0,2.0,85.0,26.0,3.0,8.0,22.0,15.0,18.0,5.0,33.0,12.0,7.0,155.0,35.0,79.0,62.0,92.0,39.0,16.0,51.0,32.0,88.0
3430,22.0,2.0,4.0,0.0,12.0,7.0,6.0,3.0,16.0,8.0,10.0,5.0,15.0,19.0,133.0,27.0,13.0,9.0,1.0,74.0,59.0,33.0,51.0,34.0,24.0,45.0,123.0,87.0,38.0,14.0
3479,8.0,0.0,2.0,1.0,9.0,5.0,68.0,4.0,7.0,10.0,3.0,6.0,20.0,32.0,22.0,23.0,16.0,57.0,119.0,26.0,81.0,12.0,28.0,11.0,53.0,108.0,44.0,71.0,43.0,29.0
3528,2.0,1.0,52.0,0.0,3.0,28.0,14.0,5.0,19.0,4.0,6.0,15.0,79.0,39.0,33.0,31.0,10.0,156.0,9.0,64.0,40.0,27.0,54.0,23.0,18.0,46.0,44.0,143.0,73.0,26.0
3577,4.0,0.0,10.0,2.0,1.0,24.0,30.0,9.0,23.0,8.0,3.0,33.0,15.0,26.0,11.0,39.0,35.0,111.0,12.0,83.0,36.0,19.0,96.0,7.0,28.0,34.0,84.0,80.0,58.0,20.0
3626,2.0,3.0,7.0,0.0,5.0,1.0,11.0,12.0,4.0,8.0,14.0,123.0,149.0,47.0,24.0,132.0,81.0,10.0,9.0,106.0,71.0,75.0,21.0,32.0,25.0,140.0,26.0,30.0,20.0,16.0
3675,1.0,11.0,6.0,0.0,3.0,76.0,29.0,15.0,30.0,2.0,31.0,57.0,21.0,32.0,73.0,9.0,27.0,4.0,5.0,62.0,95.0,38.0,104.0,17.0,80.0,52.0,99.0,50.0,23.0,8.0
3724,1.0,0.0,2.0,3.0,4.0,44.0,24.0,27.0,19.0,99.0,16.0,76.0,23.0,82.0,12.0,10.0,41.0,15.0,7.0,20.0,14.0,18.0,58.0,6.0,17.0,62.0,109.0,36.0,106.0,22.0
3773,1.0,2.0,3.0,0.0,11.0,12.0,28.0,15.0,23.0,31.0,4.0,13.0,18.0,26.0,14.0,20.0,74.0,93.0,21.0,122.0,43.0,6.0,151.0,55.0,61.0,115.0,60.0,68.0,159.0,7.0
3822,2.0,0.0,3.0,1.0,4.0,19.0,146.0,13.0,11.0,5.0,12.0,70.0,7.0,58.0,33.0,55.0,38.0,45.0,8.0,36.0,108.0,149.0,14.0,56.0,50.0,37.0,68.0,24.0,46.0,40.0
3871,4.0,0.0,10.0,2.0,5.0,11.0,25.0,14.0,68.0,1.0,7.0,18.0,6.0,8.0,15.0,17.0,79.0,73.0,3.0,162.0,47.0,88.0,35.0,55.0,36.0,123.0,27.0,44.0,71.0,32.0
3920,1.0,7.0,24.0,4.0,28.0,26.0,3.0,14.0,17.0,15.0,6.0,129.0,8.0,2.0,9.0,19.0,72.0,25.0,11.0,22.0,23.0,70.0,33.0,10.0,59.0,55.0,0.0,18.0,60.0,118.0
3969,1.0,0.0,8.0,31.0,17.0,6.0,2.0,19.0,14.0,25.0,18.0,12.0,26.0,7.0,21.0,36.0,44.0,37.0,10.0,99.0,33.0,102.0,68.0,5.0,57.0,3.0,9.0,114.0,66.0,64.0
4018,3.0,14.0,17.0,16.0,5.0,12.0,0.0,24.0,49.0,83.0,1.0,15.0,10.0,13.0,2.0,26.0,29.0,18.0,4.0,117.0,6.0,48.0,28.0,11.0,47.0,20.0,8.0,46.0,51.0,7.0
4067,0.0,2.0,35.0,9.0,6.0,24.0,11.0,13.0,8.0,15.0,10.0,72.0,4.0,7.0,1.0,12.0,110.0,47.0,5.0,150.0,3.0,73.0,51.0,56.0,17.0,36.0,29.0,84.0,16.0,27.0
4116,1.0,0.0,18.0,3.0,22.0,23.0,8.0,31.0,5.0,25.0,16.0,6.0,17.0,4.0,10.0,40.0,44.0,39.0,2.0,92.0,24.0,66.0,14.0,29.0,110.0,56.0,32.0,152.0,19.0,63.0
4165,1.0,3.0,6.0,11.0,8.0,13.0,40.0,32.0,69.0,29.0,0.0,53.0,7.0,20.0,2.0,35.0,36.0,9.0,21.0,24.0,15.0,87.0,66.0,94.0,16.0,25.0,26.0,56.0,5.0,131.0
4214,3.0,9.0,11.0,5.0,6.0,4.0,22.0,28.0,7.0,31.0,17.0,60.0,15.0,12.0,1.0,23.0,76.0,21.0,0.0,53.0,44.0,89.0,50.0,152.0,101.0,33.0,19.0,128.0,47.0,42.0
4263,18.0,1.0,13.0,0.0,8.0,4.0,7.0,11.0,23.0,87.0,3.0,57.0,39.0,54.0,9.0,22.0,24.0,21.0,6.0,106.0,10.0,109.0,25.0,148.0,15.0,17.0,2.0,117.0,12.0,48.0
4312,28.0,1.0,2.0,0.0,3.0,7.0,8.0,16.0,22.0,140.0,42.0,10.0,20.0,12.0,6.0,19.0,48.0,4.0,5.0,56.0,18.0,103.0,59.0,36.0,26.0,32.0,9.0,25.0,69.0,105.0
4361,4.0,0.0,15.0,1.0,36.0,3.0,45.0,10.0,11.0,105.0,7.0,64.0,16.0,23.0,5.0,6.0,53.0,62.0,2.0,8.0,24.0,56.0,100.0,80.0,89.0,51.0,40.0,77.0,31.0,85.0
4410,13.0,0.0,1.0,3.0,5.0,2.0,7.0,9.0,12.0,138.0,6.0,4.0,54.0,50.0,14.0,136.0,17.0,23.0,68.0,8.0,11.0,116.0,33.0,85.0,27.0,25.0,32.0,102.0,69.0,24.0
4459,1.0,0.0,8.0,6.0,7.0,2.0,21.0,17.0,15.0,26.0,78.0,22.0,31.0,10.0,3.0,85.0,12.0,19.0,45.0,11.0,29.0,44.0,49.0,33.0,73.0,102.0,92.0,47.0,36.0,13.0
4508,1.0,4.0,2.0,6.0,3.0,0.0,10.0,12.0,107.0,9.0,17.0,5.0,16.0,24.0,83.0,49.0,11.0,33.0,19.0,13.0,23.0,106.0,7.0,18.0,20.0,25.0,100.0,123.0,22.0,30.0
4557,4.0,18.0,3.0,6.0,7.0,10.0,16.0,9.0,5.0,38.0,0.0,15.0,14.0,31.0,8.0,43.0,22.0,60.0,92.0,17.0,25.0,96.0,12.0,39.0,146.0,11.0,119.0,37.0,24.0,1.0
4606,3.0,5.0,11.0,1.0,2.0,0.0,8.0,28.0,13.0,68.0,7.0,16.0,9.0,25.0,24.0,82.0,90.0,74.0,34.0,26.0,20.0,35.0,4.0,18.0,23.0,29.0,49.0,37.0,12.0,10.0
4655,0.0,2.0,1.0,8.0,3.0,6.0,54.0,33.0,10.0,28.0,9.0,14.0,68.0,57.0,32.0,23.0,4.0,53.0,21.0,25.0,15.0,13.0,16.0,17.0,73.0,30.0,133.0,18.0,141.0,39.0
4704,1.0,0.0,2.0,23.0,4.0,9.0,8.0,17.0,3.0,83.0,34.0,6.0,19.0,20.0,5.0,28.0,15.0,50.0,11.0,22.0,10.0,38.0,14.0,29.0,7.0,82.0,59.0,37.0,139.0,79.0
4753,2.0,0.0,9.0,12.0,1.0,14.0,17.0,6.0,5.0,15.0,61.0,49.0,11.0,21.0,153.0,45.0,10.0,159.0,39.0,22.0,25.0,93.0,7.0,4.0,46.0,120.0,3.0,26.0,79.0,47.0
4802,1.0,12.0,34.0,28.0,3.0,8.0,4.0,5.0,0.0,11.0,143.0,2.0,9.0,7.0,61.0,159.0,10.0,40.0,23.0,55.0,18.0,14.0,48.0,59.0,84.0,50.0,26.0,25.0,65.0,103.0
4851,2.0,0.0,19.0,3.0,7.0,26.0,1.0,30.0,10.0,6.0,11.0,15.0,155.0,75.0,20.0,16.0,21.0,23.0,13.0,47.0,131.0,14.0,4.0,149.0,99.0,24.0,34.0,44.0,56.0,79.0
