,hsa-miR-34c-5p,hsa-miR-323-5p,hsa-miR-486-3p,hsa-miR-483-3p,hsa-miR-513a-5p,hsa-miR-105,hsa-miR-363,hsa-miR-130a,hsa-miR-216a,hsa-miR-26b,hsa-miR-10a,hsa-miR-151-3p,hsa-miR-1307,hsa-miR-605,hsa-miR-192,hsa-miR-148a,hsa-miR-296-5p,hsa-miR-765,hsa-let-7c,hsa-miR-589,kshv-miR-K12-6-5p,hsa-let-7a,hsa-miR-210,hsa-miR-424,hsa-miR-545,hsa-miR-214,hsa-miR-21,hsa-miR-1321,kshv-miR-K12-4-3p,hsa-miR-577
847,40.0,7.0,4.0,87.0,256.0,167.0,0.0,1.0,44.0,441.0,2.0,5.0,89.0,30.0,36.0,8.0,133.0,91.0,399.0,194.0,184.0,76.0,25.0,77.0,279.0,211.0,54.0,273.0,554.0,119.0
896,30.0,1.0,0.0,7.0,190.0,2.0,65.0,18.0,13.0,323.0,3.0,33.0,90.0,12.0,32.0,9.0,79.0,121.0,302.0,66.0,326.0,87.0,49.0,100.0,382.0,60.0,338.0,29.0,369.0,19.0
945,155.0,4.0,1.0,55.0,390.0,143.0,10.0,42.0,57.0,5.0,9.0,0.0,2.0,7.0,488.0,67.0,110.0,73.0,82.0,46.0,171.0,154.0,411.0,141.0,131.0,500.0,47.0,111.0,27.0,206.0
994,2.0,24.0,1.0,61.0,189.0,33.0,4.0,152.0,40.0,90.0,18.0,41.0,151.0,74.0,532.0,32.0,50.0,65.0,167.0,249.0,68.0,42.0,7.0,562.0,14.0,239.0,288.0,220.0,293.0,112.0
1043,0.0,228.0,7.0,15.0,248.0,11.0,21.0,22.0,187.0,9.0,34.0,155.0,33.0,43.0,26.0,38.0,332.0,59.0,48.0,3.0,8.0,92.0,6.0,73.0,5.0,269.0,214.0,424.0,451.0,4.0
1092,68.0,20.0,3.0,21.0,214.0,123.0,186.0,28.0,2.0,9.0,122.0,41.0,23.0,12.0,58.0,398.0,49.0,265.0,302.0,46.0,27.0,212.0,16.0,60.0,1.0,61.0,26.0,56.0,62.0,0.0
1141,13.0,100.0,1.0,6.0,37.0,58.0,195.0,125.0,342.0,52.0,19.0,46.0,2.0,39.0,158.0,374.0,106.0,257.0,203.0,5.0,38.0,458.0,150.0,14.0,287.0,155.0,193.0,84.0,22.0,33.0
1190,39.0,31.0,22.0,6.0,12.0,18.0,222.0,232.0,233.0,57.0,245.0,142.0,11.0,4.0,65.0,566.0,16.0,51.0,376.0,53.0,224.0,187.0,3.0,62.0,350.0,68.0,27.0,265.0,100.0,25.0
1239,7.0,50.0,1.0,72.0,11.0,14.0,71.0,28.0,4.0,80.0,70.0,19.0,41.0,167.0,24.0,27.0,13.0,287.0,306.0,6.0,232.0,118.0,122.0,31.0,59.0,193.0,270.0,487.0,17.0,202.0
1288,7.0,138.0,1.0,21.0,54.0,9.0,10.0,13.0,36.0,25.0,270.0,8.0,33.0,57.0,102.0,130.0,4.0,169.0,19.0,44.0,96.0,5.0,6.0,175.0,267.0,68.0,12.0,112.0,35.0,30.0
1337,19.0,6.0,4.0,454.0,13.0,2.0,180.0,12.0,422.0,179.0,498.0,33.0,10.0,22.0,133.0,208.0,3.0,7.0,489.0,49.0,51.0,54.0,104.0,35.0,109.0,583.0,103.0,40.0,156.0,246.0
1386,33.0,154.0,13.0,93.0,95.0,2.0,4.0,10.0,17.0,128.0,425.0,208.0,126.0,1.0,265.0,391.0,0.0,36.0,292.0,52.0,12.0,59.0,6.0,23.0,38.0,423.0,130.0,620.0,161.0,312.0
1435,69.0,10.0,23.0,7.0,56.0,9.0,1.0,135.0,12.0,67.0,65.0,222.0,0.0,84.0,16.0,600.0,8.0,170.0,414.0,37.0,40.0,102.0,20.0,207.0,227.0,299.0,145.0,229.0,570.0,79.0
1484,1.0,417.0,10.0,368.0,61.0,4.0,0.0,153.0,49.0,362.0,101.0,28.0,69.0,248.0,52.0,27.0,58.0,12.0,168.0,5.0,78.0,315.0,359.0,235.0,88.0,286.0,2.0,22.0,117.0,42.0
1533,101.0,1.0,0.0,48.0,23.0,67.0,15.0,6.0,5.0,198.0,588.0,13.0,579.0,60.0,358.0,239.0,571.0,62.0,75.0,250.0,326.0,452.0,117.0,219.0,108.0,302.0,19.0,94.0,174.0,381.0
1582,0.0,5.0,3.0,122.0,35.0,2.0,169.0,234.0,1.0,61.0,269.0,68.0,500.0,218.0,21.0,53.0,286.0,167.0,30.0,63.0,29.0,533.0,119.0,13.0,165.0,11.0,17.0,8.0,599.0,522.0
1631,3.0,31.0,1.0,19.0,7.0,16.0,0.0,257.0,2.0,29.0,30.0,36.0,73.0,529.0,55.0,321.0,49.0,43.0,268.0,398.0,259.0,13.0,502.0,67.0,189.0,270.0,27.0,84.0,228.0,161.0
1680,1.0,0.0,52.0,174.0,7.0,8.0,16.0,9.0,38.0,27.0,213.0,131.0,286.0,34.0,115.0,10.0,231.0,437.0,54.0,67.0,111.0,541.0,117.0,101.0,200.0,73.0,24.0,99.0,91.0,132.0
1729,5.0,182.0,94.0,6.0,50.0,11.0,0.0,152.0,47.0,160.0,52.0,3.0,414.0,89.0,265.0,51.0,172.0,305.0,260.0,15.0,59.0,270.0,64.0,392.0,196.0,249.0,57.0,45.0,61.0,68.0
1778,4.0,127.0,72.0,33.0,22.0,12.0,0.0,394.0,29.0,13.0,107.0,1.0,473.0,64.0,253.0,25.0,427.0,238.0,171.0,203.0,536.0,124.0,194.0,367.0,3.0,104.0,26.0,37.0,116.0,166.0
1827,157.0,17.0,1.0,3.0,22.0,297.0,4.0,60.0,91.0,5.0,27.0,20.0,21.0,124.0,31.0,46.0,224.0,40.0,481.0,72.0,135.0,273.0,155.0,94.0,13.0,248.0,99.0,567.0,37.0,174.0
1876,1.0,12.0,0.0,341.0,46.0,34.0,20.0,265.0,153.0,107.0,19.0,11.0,59.0,255.0,48.0,61.0,26.0,3.0,170.0,210.0,27.0,36.0,38.0,42.0,18.0,100.0,5.0,32.0,187.0,469.0
1925,7.0,161.0,45.0,50.0,1.0,52.0,2.0,228.0,6.0,106.0,259.0,4.0,3.0,23.0,60.0,29.0,10.0,22.0,372.0,103.0,37.0,95.0,40.0,423.0,0.0,33.0,35.0,96.0,330.0,586.0
1974,17.0,2.0,96.0,72.0,156.0,83.0,107.0,5.0,176.0,19.0,11.0,26.0,67.0,103.0,90.0,432.0,0.0,368.0,23.0,52.0,82.0,35.0,69.0,197.0,13.0,208.0,46.0,71.0,42.0,8.0
2023,26.0,62.0,12.0,9.0,28.0,7.0,399.0,19.0,322.0,55.0,14.0,143.0,385.0,1.0,132.0,212.0,3.0,72.0,5.0,45.0,6.0,377.0,16.0,8.0,24.0,207.0,389.0,59.0,25.0,21.0
2072,9.0,1.0,0.0,58.0,15.0,52.0,33.0,17.0,29.0,45.0,47.0,8.0,118.0,92.0,2.0,376.0,139.0,396.0,44.0,112.0,262.0,133.0,5.0,138.0,141.0,284.0,290.0,90.0,204.0,235.0
2121,10.0,0.0,190.0,51.0,55.0,3.0,15.0,26.0,33.0,157.0,80.0,257.0,2.0,134.0,8.0,209.0,37.0,135.0,13.0,231.0,113.0,5.0,74.0,69.0,186.0,322.0,62.0,20.0,1.0,156.0
2170,4.0,1.0,0.0,56.0,20.0,51.0,440.0,22.0,208.0,14.0,185.0,8.0,6.0,143.0,219.0,180.0,71.0,9.0,55.0,10.0,21.0,259.0,276.0,75.0,11.0,275.0,148.0,149.0,35.0,16.0
2219,34.0,0.0,1.0,36.0,3.0,17.0,74.0,179.0,20.0,33.0,5.0,10.0,4.0,89.0,19.0,141.0,15.0,22.0,30.0,8.0,18.0,105.0,376.0,28.0,7.0,449.0,277.0,247.0,172.0,2.0
2268,8.0,5.0,30.0,44.0,1.0,9.0,109.0,89.0,50.0,230.0,2.0,10.0,12.0,46.0,22.0,35.0,28.0,3.0,13.0,6.0,485.0,138.0,100.0,489.0,114.0,25.0,260.0,11.0,501.0,54.0
2317,33.0,52.0,6.0,21.0,15.0,0.0,57.0,1.0,13.0,62.0,92.0,11.0,2.0,407.0,38.0,627.0,43.0,20.0,4.0,3.0,90.0,160.0,8.0,118.0,337.0,18.0,19.0,87.0,149.0,14.0
2366,296.0,21.0,187.0,109.0,26.0,1.0,35.0,8.0,10.0,111.0,14.0,498.0,56.0,50.0,6.0,243.0,308.0,4.0,92.0,11.0,5.0,45.0,38.0,44.0,438.0,53.0,146.0,7.0,75.0,23.0
2415,206.0,4.0,17.0,38.0,7.0,6.0,140.0,11.0,43.0,13.0,20.0,141.0,32.0,567.0,40.0,523.0,57.0,3.0,8.0,0.0,440.0,14.0,10.0,130.0,55.0,21.0,37.0,25.0,59.0,1.0
2464,22.0,0.0,1.0,46.0,216.0,128.0,3.0,14.0,78.0,5.0,158.0,365.0,11.0,2.0,514.0,54.0,60.0,141.0,110.0,515.0,33.0,105.0,456.0,192.0,97.0,9.0,294.0,30.0,291.0,174.0
2513,5.0,0.0,4.0,151.0,19.0,131.0,8.0,7.0,202.0,37.0,14.0,23.0,40.0,1.0,91.0,209.0,9.0,158.0,220.0,579.0,115.0,66.0,237.0,297.0,6.0,11.0,318.0,32.0,25.0,47.0
2562,1.0,2.0,0.0,10.0,431.0,42.0,17.0,16.0,52.0,31.0,9.0,60.0,374.0,82.0,18.0,3.0,21.0,5.0,7.0,387.0,36.0,11.0,29.0,65.0,50.0,45.0,23.0,310.0,281.0,4.0
2611,11.0,7.0,32.0,2.0,52.0,1.0,6.0,14.0,16.0,31.0,19.0,55.0,38.0,12.0,24.0,25.0,9.0,100.0,89.0,57.0,85.0,5.0,29.0,157.0,102.0,144.0,233.0,310.0,15.0,194.0
2660,8.0,1.0,183.0,36.0,28.0,2.0,86.0,24.0,14.0,12.0,9.0,35.0,33.0,0.0,16.0,7.0,23.0,26.0,190.0,20.0,25.0,141.0,130.0,58.0,171.0,46.0,32.0,43.0,309.0,54.0
2709,3.0,0.0,86.0,4.0,60.0,17.0,22.0,19.0,71.0,59.0,32.0,79.0,284.0,6.0,57.0,7.0,5.0,73.0,15.0,30.0,56.0,296.0,62.0,134.0,27.0,9.0,21.0,244.0,349.0,8.0
2758,2.0,11.0,22.0,0.0,5.0,3.0,13.0,30.0,86.0,138.0,4.0,24.0,264.0,1.0,7.0,6.0,101.0,193.0,29.0,62.0,291.0,39.0,107.0,622.0,132.0,51.0,118.0,131.0,462.0,55.0
2807,59.0,198.0,14.0,88.0,2.0,64.0,0.0,40.0,103.0,559.0,3.0,317.0,470.0,169.0,282.0,300.0,53.0,406.0,52.0,32.0,49.0,505.0,332.0,76.0,479.0,42.0,301.0,205.0,28.0,323.0
2856,0.0,1.0,40.0,12.0,41.0,4.0,3.0,16.0,13.0,125.0,21.0,345.0,104.0,2.0,369.0,37.0,172.0,53.0,20.0,336.0,18.0,19.0,42.0,439.0,162.0,9.0,598.0,68.0,23.0,60.0
2905,53.0,0.0,2.0,15.0,27.0,134.0,4.0,22.0,237.0,10.0,101.0,100.0,13.0,5.0,305.0,3.0,199.0,81.0,40.0,58.0,20.0,254.0,289.0,148.0,140.0,17.0,105.0,59.0,24.0,578.0
2954,5.0,1.0,52.0,14.0,11.0,2.0,286.0,49.0,432.0,353.0,15.0,13.0,554.0,264.0,418.0,275.0,161.0,122.0,189.0,328.0,67.0,131.0,4.0,170.0,411.0,19.0,12.0,211.0,132.0,435.0
3003,1.0,0.0,124.0,36.0,3.0,2.0,82.0,76.0,135.0,112.0,8.0,10.0,223.0,96.0,162.0,288.0,310.0,25.0,29.0,568.0,42.0,248.0,58.0,17.0,292.0,218.0,51.0,376.0,587.0,437.0
3052,7.0,0.0,68.0,169.0,9.0,103.0,1.0,50.0,65.0,51.0,46.0,71.0,74.0,328.0,199.0,17.0,513.0,272.0,4.0,404.0,498.0,397.0,14.0,340.0,106.0,84.0,2.0,548.0,48.0,541.0
3101,2.0,4.0,237.0,74.0,7.0,1.0,12.0,41.0,161.0,128.0,17.0,88.0,180.0,65.0,185.0,22.0,29.0,102.0,66.0,80.0,165.0,67.0,68.0,38.0,3.0,49.0,26.0,124.0,59.0,6.0
3150,3.0,1.0,36.0,28.0,12.0,51.0,40.0,52.0,111.0,46.0,44.0,441.0,598.0,210.0,127.0,4.0,240.0,188.0,2.0,138.0,169.0,11.0,7.0,135.0,43.0,9.0,170.0,479.0,26.0,361.0
3199,8.0,0.0,4.0,109.0,29.0,10.0,80.0,25.0,56.0,161.0,1.0,7.0,30.0,141.0,70.0,3.0,101.0,171.0,22.0,210.0,58.0,418.0,248.0,21.0,75.0,99.0,11.0,452.0,62.0,617.0
3248,0.0,1.0,5.0,109.0,6.0,4.0,390.0,218.0,446.0,49.0,14.0,210.0,62.0,372.0,365.0,26.0,426.0,20.0,73.0,370.0,46.0,630.0,3.0,94.0,70.0,30.0,74.0,157.0,41.0,2.0
3297,0.0,1.0,179.0,416.0,2.0,13.0,491.0,4.0,53.0,245.0,232.0,59.0,55.0,171.0,140.0,466.0,60.0,38.0,24.0,316.0,8.0,66.0,27.0,82.0,56.0,95.0,3.0,515.0,23.0,7.0
3346,3.0,142.0,5.0,362.0,77.0,0.0,8.0,41.0,115.0,189.0,21.0,111.0,45.0,176.0,32.0,56.0,262.0,52.0,14.0,229.0,15.0,19.0,35.0,33.0,55.0,85.0,7.0,226.0,106.0,2.0
3395,0.0,169.0,66.0,18.0,4.0,2.0,3.0,30.0,10.0,19.0,168.0,389.0,62.0,612.0,39.0,28.0,105.0,7.0,27.0,207.0,248.0,36.0,67.0,162.0,95.0,34.0,60.0,134.0,29.0,98.0
3444,14.0,8.0,0.0,95.0,1.0,2.0,7.0,11.0,35.0,26.0,32.0,17.0,5.0,4.0,346.0,78.0,101.0,150.0,15.0,72.0,377.0,177.0,117.0,132.0,328.0,123.0,324.0,64.0,362.0,599.0
3493,1.0,2.0,0.0,6.0,14.0,9.0,25.0,29.0,7.0,5.0,126.0,12.0,94.0,20.0,57.0,86.0,53.0,216.0,8.0,179.0,296.0,421.0,35.0,426.0,131.0,391.0,320.0,115.0,11.0,48.0
3542,4.0,5.0,2.0,8.0,12.0,3.0,0.0,15.0,17.0,23.0,256.0,13.0,10.0,6.0,104.0,52.0,547.0,53.0,14.0,302.0,31.0,28.0,111.0,48.0,200.0,286.0,297.0,70.0,34.0,147.0
3591,0.0,54.0,16.0,12.0,7.0,263.0,78.0,11.0,24.0,4.0,305.0,37.0,27.0,5.0,139.0,71.0,183.0,202.0,8.0,209.0,599.0,33.0,3.0,1.0,20.0,371.0,171.0,112.0,339.0,73.0
3640,16.0,12.0,1.0,31.0,66.0,17.0,5.0,22.0,2.0,36.0,18.0,10.0,21.0,0.0,81.0,271.0,64.0,3.0,30.0,265.0,203.0,93.0,11.0,73.0,244.0,622.0,95.0,33.0,61.0,62.0
3689,22.0,12.0,9.0,2.0,28.0,1.0,6.0,79.0,31.0,20.0,73.0,0.0,25.0,17.0,62.0,319.0,146.0,4.0,30.0,74.0,15.0,8.0,24.0,286.0,502.0,205.0,19.0,65.0,13.0,23.0
3738,0.0,7.0,11.0,8.0,1.0,6.0,44.0,10.0,4.0,293.0,34.0,2.0,28.0,3.0,75.0,234.0,471.0,15.0,360.0,285.0,510.0,147.0,47.0,88.0,63.0,202.0,223.0,76.0,55.0,23.0
3787,0.0,162.0,15.0,9.0,19.0,3.0,66.0,6.0,12.0,229.0,57.0,13.0,61.0,273.0,382.0,51.0,204.0,461.0,90.0,48.0,523.0,5.0,14.0,27.0,65.0,104.0,17.0,177.0,43.0,20.0
3836,0.0,74.0,43.0,1.0,46.0,7.0,5.0,20.0,18.0,240.0,4.0,54.0,99.0,11.0,63.0,586.0,105.0,79.0,25.0,67.0,412.0,182.0,55.0,171.0,136.0,61.0,151.0,52.0,34.0,10.0
3885,0.0,56.0,4.0,2.0,7.0,26.0,1.0,15.0,42.0,27.0,78.0,551.0,80.0,30.0,94.0,152.0,546.0,59.0,159.0,123.0,69.0,40.0,584.0,23.0,291.0,31.0,208.0,480.0,355.0,3.0
3934,19.0,0.0,52.0,4.0,137.0,53.0,17.0,120.0,1.0,54.0,20.0,3.0,2.0,41.0,34.0,127.0,63.0,28.0,181.0,99.0,276.0,184.0,13.0,102.0,139.0,325.0,306.0,163.0,29.0,541.0
3983,10.0,18.0,51.0,4.0,2.0,26.0,0.0,3.0,37.0,5.0,23.0,139.0,8.0,75.0,9.0,54.0,35.0,45.0,6.0,24.0,333.0,49.0,239.0,308.0,14.0,149.0,433.0,266.0,486.0,15.0
4032,20.0,2.0,323.0,0.0,1.0,3.0,5.0,50.0,49.0,29.0,192.0,461.0,18.0,54.0,120.0,174.0,11.0,39.0,10.0,7.0,548.0,444.0,8.0,69.0,16.0,74.0,129.0,181.0,239.0,4.0
4081,18.0,143.0,7.0,0.0,2.0,22.0,3.0,6.0,29.0,8.0,25.0,73.0,1.0,353.0,172.0,92.0,64.0,23.0,19.0,284.0,476.0,58.0,297.0,381.0,82.0,285.0,39.0,5.0,329.0,291.0
4130,12.0,57.0,309.0,116.0,1.0,38.0,16.0,21.0,101.0,14.0,102.0,273.0,5.0,259.0,40.0,6.0,4.0,195.0,338.0,87.0,168.0,19.0,79.0,78.0,2.0,345.0,335.0,256.0,53.0,52.0
4179,4.0,5.0,527.0,6.0,0.0,12.0,17.0,100.0,109.0,228.0,232.0,423.0,48.0,120.0,23.0,598.0,10.0,79.0,96.0,175.0,93.0,7.0,248.0,378.0,36.0,13.0,51.0,101.0,38.0,66.0
4228,8.0,16.0,419.0,4.0,44.0,14.0,7.0,1.0,3.0,5.0,30.0,505.0,0.0,123.0,10.0,446.0,28.0,48.0,40.0,71.0,17.0,2.0,21.0,97.0,15.0,23.0,88.0,101.0,456.0,234.0
4277,31.0,55.0,201.0,0.0,2.0,18.0,19.0,3.0,136.0,26.0,43.0,611.0,48.0,411.0,30.0,498.0,85.0,38.0,21.0,6.0,70.0,7.0,356.0,421.0,87.0,39.0,483.0,403.0,260.0,54.0
4326,408.0,6.0,17.0,10.0,2.0,22.0,0.0,68.0,12.0,9.0,40.0,222.0,1.0,93.0,52.0,16.0,15.0,154.0,11.0,20.0,48.0,202.0,105.0,113.0,34.0,86.0,533.0,115.0,27.0,246.0
4375,9.0,30.0,297.0,5.0,0.0,21.0,1.0,48.0,34.0,3.0,255.0,481.0,4.0,25.0,187.0,64.0,47.0,14.0,308.0,19.0,77.0,32.0,123.0,259.0,146.0,22.0,140.0,38.0,389.0,502.0
4424,0.0,5.0,28.0,1.0,38.0,33.0,18.0,21.0,4.0,200.0,47.0,405.0,509.0,16.0,3.0,17.0,58.0,204.0,203.0,271.0,361.0,59.0,40.0,62.0,577.0,9.0,281.0,178.0,80.0,235.0
4473,0.0,3.0,12.0,28.0,27.0,95.0,68.0,128.0,62.0,195.0,589.0,174.0,159.0,2.0,43.0,45.0,11.0,15.0,238.0,35.0,140.0,36.0,146.0,75.0,504.0,54.0,90.0,317.0,132.0,512.0
4522,0.0,1.0,4.0,3.0,82.0,20.0,169.0,9.0,18.0,94.0,8.0,473.0,457.0,65.0,2.0,22.0,67.0,19.0,162.0,205.0,315.0,14.0,87.0,182.0,208.0,27.0,170.0,432.0,69.0,246.0
4571,0.0,45.0,12.0,2.0,8.0,111.0,74.0,3.0,20.0,23.0,168.0,44.0,22.0,246.0,9.0,5.0,11.0,1.0,68.0,282.0,46.0,28.0,38.0,215.0,30.0,42.0,291.0,217.0,36.0,383.0
4620,12.0,34.0,8.0,25.0,5.0,21.0,29.0,105.0,24.0,42.0,3.0,73.0,221.0,55.0,13.0,10.0,149.0,6.0,481.0,151.0,136.0,79.0,596.0,98.0,279.0,252.0,7.0,175.0,285.0,449.0
4669,8.0,6.0,102.0,0.0,1.0,337.0,27.0,19.0,9.0,11.0,2.0,270.0,175.0,65.0,168.0,184.0,269.0,52.0,24.0,15.0,259.0,174.0,332.0,403.0,86.0,43.0,384.0,350.0,30.0,251.0
4718,72.0,167.0,8.0,9.0,0.0,185.0,21.0,11.0,160.0,10.0,265.0,590.0,189.0,64.0,4.0,3.0,47.0,81.0,67.0,23.0,98.0,40.0,117.0,42.0,74.0,87.0,31.0,95.0,111.0,175.0
4767,0.0,137.0,16.0,1.0,6.0,165.0,27.0,24.0,156.0,12.0,112.0,41.0,129.0,117.0,13.0,19.0,100.0,49.0,21.0,38.0,230.0,102.0,128.0,4.0,210.0,33.0,234.0,28.0,7.0,179.0
4816,120.0,72.0,0.0,5.0,12.0,176.0,466.0,7.0,1.0,51.0,24.0,157.0,41.0,329.0,14.0,3.0,100.0,2.0,86.0,17.0,350.0,6.0,73.0,53.0,52.0,59.0,26.0,47.0,44.0,381.0
4865,1.0,9.0,10.0,0.0,4.0,118.0,162.0,6.0,11.0,16.0,529.0,15.0,89.0,3.0,38.0,167.0,64.0,7.0,73.0,316.0,306.0,453.0,28.0,296.0,65.0,21.0,511.0,124.0,56.0,174.0
