,hsa-miR-744,hsa-miR-875-3p,hsa-miR-1284,hsa-miR-1538,hsa-miR-1308,hsa-miR-132,hsa-miR-644,hsa-miR-422a,hsa-miR-578,hsa-miR-148a,hsa-miR-620,hsa-miR-126,hsa-miR-147b,hsa-miR-665,hsa-miR-579,hsa-miR-671-3p,hsa-miR-590-5p,hsa-miR-491-5p,hsa-miR-1246,hsa-miR-103,hcmv-miR-US33-5p,hsa-miR-142-5p,hsa-miR-125a-3p,hsa-miR-877,hsa-miR-2110,hsa-miR-550,hsa-miR-938,hsa-miR-384,hsa-miR-330-3p,hsa-miR-92a
848,5.0,9.0,16.0,6.0,11.0,24.0,0.0,22.0,14.0,1.0,8.0,4.0,20.0,17.0,37.0,29.0,18.0,7.0,128.0,27.0,13.0,15.0,12.0,84.0,107.0,54.0,10.0,36.0,71.0,35.0
897,2.0,14.0,33.0,6.0,0.0,5.0,18.0,58.0,29.0,1.0,11.0,8.0,45.0,10.0,42.0,185.0,40.0,23.0,70.0,19.0,17.0,22.0,44.0,16.0,68.0,353.0,51.0,43.0,124.0,82.0
946,4.0,135.0,10.0,2.0,17.0,25.0,0.0,13.0,14.0,39.0,47.0,1.0,32.0,11.0,23.0,68.0,78.0,48.0,102.0,72.0,9.0,35.0,26.0,175.0,18.0,28.0,111.0,22.0,159.0,15.0
995,1.0,3.0,18.0,2.0,38.0,16.0,12.0,17.0,20.0,25.0,13.0,22.0,65.0,29.0,15.0,39.0,4.0,7.0,21.0,36.0,8.0,0.0,58.0,14.0,40.0,6.0,77.0,118.0,37.0,64.0
1044,0.0,11.0,198.0,9.0,42.0,13.0,8.0,50.0,1.0,52.0,16.0,58.0,88.0,87.0,5.0,102.0,7.0,44.0,26.0,12.0,45.0,15.0,47.0,2.0,51.0,21.0,83.0,63.0,36.0,106.0
1093,0.0,4.0,18.0,3.0,9.0,11.0,70.0,21.0,6.0,5.0,10.0,48.0,136.0,87.0,71.0,94.0,7.0,1.0,34.0,50.0,120.0,8.0,66.0,2.0,30.0,13.0,29.0,242.0,38.0,69.0
1142,0.0,4.0,2.0,12.0,47.0,9.0,25.0,16.0,1.0,18.0,15.0,53.0,87.0,91.0,5.0,19.0,7.0,27.0,14.0,30.0,28.0,6.0,31.0,3.0,46.0,8.0,44.0,60.0,29.0,56.0
1191,3.0,7.0,11.0,4.0,34.0,8.0,30.0,12.0,9.0,17.0,10.0,26.0,53.0,86.0,21.0,15.0,0.0,22.0,13.0,70.0,59.0,5.0,115.0,2.0,63.0,6.0,38.0,88.0,25.0,50.0
1240,1.0,22.0,8.0,2.0,7.0,10.0,20.0,15.0,5.0,4.0,0.0,38.0,141.0,59.0,6.0,49.0,13.0,11.0,17.0,21.0,109.0,9.0,23.0,18.0,19.0,41.0,147.0,69.0,33.0,52.0
1289,1.0,17.0,49.0,7.0,119.0,64.0,21.0,5.0,10.0,2.0,3.0,36.0,51.0,74.0,6.0,4.0,39.0,67.0,24.0,20.0,86.0,0.0,34.0,12.0,180.0,16.0,43.0,50.0,45.0,33.0
1338,1.0,0.0,17.0,13.0,65.0,30.0,28.0,15.0,4.0,2.0,10.0,33.0,80.0,92.0,49.0,31.0,9.0,6.0,12.0,26.0,16.0,5.0,37.0,3.0,34.0,8.0,46.0,118.0,47.0,121.0
1387,2.0,17.0,5.0,9.0,24.0,8.0,38.0,13.0,0.0,4.0,3.0,25.0,75.0,133.0,14.0,10.0,18.0,7.0,22.0,32.0,47.0,1.0,41.0,11.0,31.0,60.0,88.0,89.0,30.0,56.0
1436,0.0,7.0,14.0,39.0,51.0,60.0,229.0,2.0,12.0,10.0,8.0,114.0,66.0,73.0,1.0,47.0,6.0,9.0,5.0,27.0,103.0,4.0,28.0,24.0,21.0,287.0,96.0,61.0,38.0,90.0
1485,9.0,27.0,2.0,11.0,16.0,0.0,49.0,5.0,28.0,63.0,19.0,25.0,44.0,129.0,3.0,103.0,72.0,62.0,1.0,20.0,99.0,53.0,41.0,23.0,134.0,114.0,135.0,7.0,101.0,26.0
1534,0.0,109.0,18.0,5.0,3.0,9.0,67.0,10.0,2.0,70.0,51.0,46.0,13.0,4.0,15.0,30.0,92.0,73.0,25.0,27.0,136.0,56.0,39.0,17.0,112.0,72.0,57.0,19.0,64.0,20.0
1583,0.0,16.0,12.0,1.0,6.0,5.0,15.0,3.0,9.0,21.0,18.0,117.0,10.0,22.0,4.0,13.0,44.0,34.0,25.0,27.0,37.0,40.0,17.0,11.0,123.0,67.0,35.0,20.0,42.0,24.0
1632,0.0,14.0,4.0,11.0,1.0,6.0,19.0,15.0,20.0,61.0,28.0,37.0,8.0,3.0,26.0,12.0,119.0,39.0,17.0,78.0,67.0,32.0,48.0,76.0,233.0,24.0,40.0,18.0,93.0,9.0
1681,0.0,21.0,3.0,6.0,4.0,28.0,33.0,11.0,7.0,9.0,48.0,26.0,13.0,17.0,2.0,29.0,118.0,51.0,20.0,16.0,117.0,76.0,35.0,92.0,290.0,34.0,30.0,5.0,49.0,15.0
1730,0.0,12.0,40.0,2.0,1.0,14.0,9.0,5.0,3.0,25.0,10.0,50.0,15.0,16.0,11.0,47.0,97.0,48.0,26.0,19.0,43.0,27.0,155.0,4.0,206.0,61.0,35.0,13.0,201.0,18.0
1779,1.0,49.0,3.0,27.0,32.0,12.0,38.0,0.0,33.0,78.0,227.0,103.0,6.0,17.0,5.0,40.0,174.0,28.0,10.0,59.0,58.0,50.0,19.0,63.0,8.0,13.0,77.0,16.0,37.0,26.0
1828,0.0,3.0,53.0,4.0,2.0,13.0,42.0,22.0,79.0,5.0,50.0,17.0,29.0,21.0,24.0,20.0,62.0,19.0,1.0,27.0,43.0,28.0,41.0,7.0,122.0,10.0,153.0,33.0,234.0,32.0
1877,0.0,40.0,1.0,6.0,4.0,3.0,36.0,2.0,14.0,27.0,39.0,50.0,9.0,15.0,5.0,12.0,109.0,61.0,22.0,42.0,114.0,106.0,28.0,47.0,41.0,83.0,57.0,7.0,49.0,8.0
1926,0.0,9.0,2.0,11.0,4.0,18.0,59.0,10.0,7.0,6.0,57.0,79.0,12.0,22.0,17.0,15.0,111.0,35.0,24.0,27.0,48.0,126.0,16.0,121.0,141.0,43.0,77.0,8.0,99.0,38.0
1975,1.0,0.0,17.0,21.0,3.0,9.0,78.0,11.0,29.0,22.0,2.0,23.0,8.0,4.0,26.0,10.0,156.0,6.0,61.0,33.0,45.0,28.0,60.0,13.0,12.0,184.0,38.0,41.0,84.0,44.0
2024,10.0,13.0,2.0,3.0,1.0,19.0,37.0,4.0,28.0,25.0,15.0,27.0,29.0,8.0,7.0,31.0,61.0,0.0,38.0,34.0,26.0,6.0,77.0,64.0,14.0,73.0,44.0,56.0,43.0,22.0
2073,6.0,5.0,4.0,11.0,22.0,0.0,44.0,10.0,8.0,27.0,39.0,16.0,56.0,18.0,33.0,3.0,12.0,15.0,1.0,82.0,69.0,9.0,31.0,29.0,36.0,34.0,25.0,104.0,21.0,81.0
2122,1.0,6.0,0.0,11.0,3.0,18.0,42.0,12.0,4.0,5.0,16.0,9.0,19.0,2.0,10.0,13.0,27.0,8.0,34.0,32.0,81.0,31.0,15.0,64.0,17.0,204.0,23.0,43.0,61.0,77.0
2171,0.0,16.0,3.0,20.0,1.0,10.0,28.0,7.0,31.0,32.0,94.0,30.0,6.0,2.0,18.0,29.0,12.0,5.0,57.0,58.0,11.0,15.0,9.0,33.0,19.0,117.0,59.0,172.0,120.0,147.0
2220,0.0,1.0,6.0,3.0,10.0,4.0,23.0,5.0,18.0,31.0,11.0,15.0,16.0,7.0,12.0,8.0,30.0,2.0,82.0,62.0,68.0,44.0,24.0,45.0,9.0,243.0,17.0,113.0,28.0,53.0
2269,4.0,10.0,2.0,18.0,1.0,8.0,51.0,0.0,11.0,26.0,13.0,14.0,21.0,9.0,20.0,7.0,34.0,5.0,24.0,76.0,53.0,22.0,36.0,38.0,6.0,150.0,31.0,80.0,33.0,123.0
2318,1.0,6.0,0.0,18.0,8.0,17.0,13.0,5.0,7.0,24.0,23.0,15.0,20.0,3.0,41.0,12.0,50.0,2.0,26.0,76.0,46.0,38.0,25.0,42.0,9.0,53.0,21.0,66.0,36.0,183.0
2367,2.0,30.0,1.0,23.0,21.0,18.0,47.0,6.0,12.0,5.0,29.0,0.0,11.0,10.0,35.0,8.0,27.0,4.0,14.0,28.0,72.0,38.0,9.0,16.0,3.0,174.0,58.0,129.0,44.0,31.0
2416,0.0,2.0,7.0,36.0,5.0,4.0,3.0,20.0,6.0,49.0,31.0,27.0,13.0,1.0,14.0,18.0,38.0,12.0,71.0,86.0,91.0,51.0,40.0,90.0,39.0,63.0,17.0,132.0,87.0,44.0
2465,35.0,0.0,4.0,31.0,73.0,27.0,10.0,19.0,2.0,28.0,3.0,29.0,94.0,107.0,1.0,36.0,20.0,66.0,7.0,13.0,21.0,15.0,11.0,133.0,25.0,40.0,23.0,8.0,30.0,55.0
2514,4.0,2.0,10.0,5.0,1.0,7.0,6.0,11.0,12.0,9.0,3.0,17.0,34.0,23.0,24.0,155.0,31.0,0.0,18.0,38.0,39.0,29.0,124.0,15.0,16.0,28.0,36.0,47.0,63.0,14.0
2563,5.0,1.0,0.0,3.0,9.0,11.0,12.0,13.0,6.0,14.0,7.0,4.0,20.0,16.0,2.0,18.0,17.0,8.0,19.0,28.0,15.0,42.0,41.0,35.0,27.0,50.0,23.0,30.0,33.0,45.0
2612,7.0,46.0,1.0,18.0,119.0,29.0,14.0,0.0,17.0,3.0,48.0,12.0,5.0,6.0,22.0,8.0,31.0,65.0,9.0,26.0,87.0,37.0,28.0,25.0,19.0,114.0,51.0,35.0,44.0,15.0
2661,12.0,2.0,5.0,7.0,4.0,13.0,19.0,17.0,15.0,6.0,49.0,10.0,11.0,0.0,9.0,25.0,3.0,1.0,24.0,45.0,14.0,18.0,53.0,83.0,26.0,33.0,22.0,28.0,20.0,44.0
2710,0.0,1.0,10.0,14.0,3.0,21.0,2.0,20.0,13.0,27.0,11.0,8.0,18.0,16.0,5.0,56.0,29.0,38.0,32.0,65.0,7.0,48.0,43.0,9.0,66.0,154.0,26.0,49.0,37.0,15.0
2759,2.0,4.0,55.0,1.0,6.0,8.0,5.0,10.0,22.0,11.0,18.0,23.0,32.0,14.0,3.0,19.0,50.0,30.0,60.0,20.0,82.0,99.0,43.0,17.0,68.0,12.0,105.0,9.0,87.0,56.0
2808,0.0,2.0,1.0,8.0,3.0,25.0,6.0,11.0,9.0,4.0,13.0,36.0,18.0,21.0,5.0,55.0,29.0,20.0,26.0,22.0,16.0,67.0,7.0,62.0,15.0,58.0,42.0,46.0,49.0,30.0
2857,29.0,3.0,0.0,1.0,4.0,69.0,5.0,17.0,12.0,19.0,18.0,9.0,23.0,11.0,2.0,55.0,21.0,14.0,26.0,8.0,13.0,34.0,43.0,73.0,30.0,15.0,24.0,7.0,64.0,33.0
2906,1.0,17.0,2.0,18.0,12.0,16.0,0.0,5.0,23.0,15.0,65.0,3.0,26.0,21.0,13.0,106.0,4.0,14.0,10.0,58.0,8.0,107.0,92.0,50.0,9.0,41.0,78.0,38.0,76.0,134.0
2955,0.0,9.0,1.0,2.0,6.0,4.0,5.0,27.0,3.0,7.0,13.0,67.0,28.0,24.0,19.0,20.0,18.0,22.0,42.0,10.0,59.0,85.0,11.0,127.0,134.0,16.0,61.0,8.0,107.0,54.0
3004,0.0,1.0,12.0,22.0,18.0,3.0,4.0,10.0,6.0,2.0,5.0,17.0,30.0,28.0,180.0,11.0,19.0,7.0,52.0,88.0,9.0,69.0,24.0,39.0,59.0,14.0,42.0,51.0,76.0,81.0
3053,4.0,1.0,8.0,2.0,6.0,3.0,0.0,9.0,17.0,11.0,7.0,12.0,19.0,34.0,41.0,50.0,29.0,5.0,32.0,33.0,10.0,31.0,23.0,61.0,97.0,48.0,45.0,22.0,79.0,47.0
3102,0.0,13.0,7.0,15.0,36.0,1.0,19.0,3.0,2.0,8.0,35.0,44.0,37.0,33.0,30.0,4.0,16.0,70.0,59.0,60.0,51.0,10.0,42.0,108.0,47.0,29.0,25.0,57.0,18.0,34.0
3151,3.0,1.0,32.0,16.0,21.0,0.0,14.0,7.0,4.0,13.0,22.0,142.0,47.0,150.0,23.0,59.0,2.0,27.0,19.0,67.0,18.0,5.0,9.0,82.0,20.0,11.0,44.0,79.0,17.0,62.0
3200,0.0,2.0,44.0,6.0,4.0,1.0,12.0,5.0,7.0,9.0,3.0,15.0,39.0,53.0,62.0,34.0,28.0,10.0,27.0,33.0,20.0,79.0,47.0,8.0,77.0,256.0,21.0,63.0,24.0,36.0
3249,1.0,2.0,8.0,6.0,4.0,5.0,0.0,16.0,12.0,13.0,3.0,31.0,25.0,18.0,43.0,66.0,37.0,11.0,27.0,9.0,68.0,65.0,72.0,33.0,56.0,10.0,77.0,14.0,149.0,46.0
3298,0.0,2.0,6.0,3.0,10.0,4.0,5.0,33.0,12.0,8.0,1.0,14.0,17.0,16.0,50.0,7.0,67.0,13.0,77.0,25.0,81.0,37.0,46.0,48.0,85.0,28.0,32.0,45.0,84.0,11.0
3347,0.0,5.0,22.0,3.0,20.0,9.0,4.0,13.0,2.0,11.0,1.0,12.0,29.0,88.0,10.0,30.0,17.0,14.0,82.0,63.0,16.0,38.0,165.0,61.0,229.0,67.0,8.0,122.0,41.0,52.0
3396,0.0,10.0,9.0,2.0,22.0,12.0,47.0,6.0,27.0,1.0,4.0,29.0,63.0,44.0,80.0,5.0,7.0,3.0,86.0,232.0,148.0,37.0,20.0,13.0,54.0,46.0,141.0,67.0,26.0,58.0
3445,26.0,6.0,1.0,37.0,32.0,66.0,27.0,40.0,18.0,10.0,31.0,11.0,8.0,17.0,35.0,3.0,13.0,34.0,16.0,9.0,12.0,45.0,4.0,53.0,23.0,14.0,21.0,28.0,44.0,81.0
3494,35.0,10.0,1.0,88.0,3.0,84.0,30.0,23.0,6.0,0.0,50.0,2.0,15.0,9.0,21.0,31.0,25.0,28.0,5.0,8.0,7.0,27.0,18.0,75.0,40.0,14.0,26.0,42.0,91.0,303.0
3543,1.0,3.0,2.0,8.0,4.0,42.0,37.0,40.0,9.0,15.0,85.0,178.0,24.0,10.0,11.0,12.0,14.0,41.0,65.0,19.0,7.0,28.0,5.0,137.0,20.0,0.0,43.0,39.0,62.0,82.0
3592,10.0,0.0,2.0,53.0,18.0,57.0,11.0,37.0,12.0,3.0,44.0,14.0,21.0,5.0,29.0,4.0,6.0,17.0,9.0,16.0,8.0,54.0,7.0,46.0,78.0,1.0,24.0,28.0,33.0,107.0
3641,8.0,19.0,1.0,46.0,37.0,52.0,22.0,17.0,9.0,12.0,47.0,7.0,16.0,5.0,29.0,4.0,6.0,53.0,14.0,15.0,28.0,20.0,13.0,26.0,148.0,0.0,11.0,35.0,31.0,117.0
3690,61.0,0.0,2.0,90.0,8.0,40.0,6.0,31.0,13.0,34.0,46.0,47.0,19.0,24.0,7.0,18.0,1.0,21.0,4.0,15.0,20.0,17.0,23.0,111.0,9.0,3.0,10.0,22.0,29.0,105.0
3739,7.0,14.0,2.0,9.0,13.0,19.0,18.0,97.0,24.0,4.0,51.0,17.0,26.0,10.0,25.0,35.0,1.0,6.0,32.0,8.0,5.0,11.0,3.0,36.0,80.0,0.0,55.0,57.0,124.0,210.0
3788,17.0,2.0,0.0,36.0,9.0,68.0,15.0,31.0,23.0,7.0,43.0,22.0,8.0,5.0,44.0,14.0,3.0,27.0,16.0,10.0,4.0,21.0,24.0,45.0,75.0,1.0,6.0,30.0,39.0,81.0
3837,9.0,4.0,91.0,72.0,1.0,54.0,44.0,100.0,49.0,7.0,115.0,27.0,20.0,8.0,70.0,86.0,10.0,31.0,16.0,19.0,6.0,14.0,5.0,17.0,13.0,0.0,45.0,29.0,35.0,71.0
3886,8.0,1.0,13.0,39.0,20.0,72.0,6.0,113.0,15.0,7.0,23.0,2.0,9.0,4.0,33.0,3.0,63.0,109.0,29.0,10.0,11.0,65.0,60.0,55.0,249.0,0.0,17.0,12.0,166.0,40.0
3935,13.0,0.0,11.0,6.0,1.0,2.0,29.0,5.0,86.0,64.0,15.0,68.0,9.0,28.0,25.0,20.0,31.0,24.0,14.0,10.0,12.0,19.0,46.0,3.0,35.0,27.0,22.0,63.0,43.0,49.0
3984,67.0,4.0,1.0,21.0,14.0,11.0,10.0,13.0,77.0,219.0,0.0,18.0,148.0,122.0,2.0,47.0,90.0,99.0,9.0,8.0,41.0,6.0,15.0,26.0,16.0,91.0,32.0,12.0,64.0,33.0
4033,12.0,0.0,7.0,24.0,2.0,20.0,18.0,3.0,41.0,96.0,1.0,4.0,31.0,17.0,8.0,9.0,45.0,197.0,14.0,15.0,19.0,28.0,95.0,52.0,11.0,70.0,22.0,27.0,56.0,37.0
4082,34.0,1.0,25.0,10.0,6.0,3.0,20.0,0.0,143.0,78.0,2.0,17.0,15.0,56.0,16.0,12.0,42.0,62.0,19.0,9.0,35.0,31.0,54.0,14.0,4.0,148.0,18.0,29.0,11.0,13.0
4131,42.0,0.0,6.0,41.0,12.0,64.0,34.0,14.0,116.0,21.0,1.0,5.0,22.0,20.0,54.0,17.0,50.0,30.0,16.0,7.0,15.0,10.0,55.0,2.0,11.0,9.0,8.0,18.0,31.0,25.0
4180,8.0,0.0,60.0,18.0,6.0,5.0,2.0,4.0,43.0,51.0,1.0,10.0,27.0,102.0,3.0,30.0,34.0,49.0,17.0,16.0,9.0,7.0,72.0,14.0,88.0,23.0,56.0,179.0,90.0,44.0
4229,11.0,2.0,34.0,90.0,4.0,8.0,9.0,5.0,92.0,198.0,29.0,10.0,24.0,30.0,15.0,125.0,42.0,127.0,6.0,20.0,23.0,25.0,19.0,7.0,21.0,22.0,66.0,31.0,35.0,27.0
4278,58.0,0.0,15.0,7.0,5.0,2.0,14.0,6.0,65.0,49.0,1.0,13.0,33.0,74.0,11.0,62.0,21.0,61.0,26.0,4.0,10.0,44.0,17.0,8.0,31.0,135.0,20.0,67.0,64.0,32.0
4327,11.0,0.0,9.0,2.0,3.0,1.0,5.0,7.0,28.0,53.0,4.0,38.0,13.0,21.0,12.0,41.0,65.0,52.0,23.0,10.0,43.0,20.0,101.0,6.0,18.0,68.0,17.0,16.0,40.0,54.0
4376,19.0,8.0,4.0,21.0,20.0,13.0,43.0,1.0,74.0,18.0,15.0,118.0,10.0,3.0,28.0,12.0,25.0,54.0,30.0,23.0,84.0,5.0,39.0,77.0,52.0,26.0,9.0,59.0,6.0,99.0
4425,4.0,28.0,13.0,0.0,35.0,6.0,7.0,24.0,15.0,1.0,2.0,5.0,16.0,19.0,32.0,11.0,14.0,53.0,154.0,21.0,18.0,60.0,20.0,46.0,10.0,152.0,40.0,83.0,27.0,43.0
4474,1.0,5.0,14.0,0.0,27.0,10.0,2.0,22.0,7.0,12.0,11.0,4.0,54.0,13.0,3.0,15.0,18.0,6.0,78.0,32.0,112.0,97.0,132.0,74.0,40.0,104.0,8.0,45.0,26.0,33.0
4523,4.0,15.0,8.0,0.0,11.0,1.0,9.0,31.0,23.0,18.0,21.0,10.0,17.0,5.0,44.0,7.0,3.0,39.0,96.0,30.0,32.0,46.0,38.0,12.0,22.0,47.0,14.0,42.0,20.0,53.0
4572,16.0,2.0,3.0,0.0,27.0,11.0,1.0,44.0,4.0,38.0,6.0,12.0,99.0,75.0,19.0,20.0,7.0,50.0,36.0,34.0,28.0,24.0,41.0,29.0,8.0,42.0,9.0,13.0,15.0,60.0
4621,0.0,14.0,9.0,3.0,4.0,13.0,1.0,29.0,5.0,18.0,23.0,2.0,12.0,22.0,36.0,10.0,6.0,30.0,130.0,52.0,35.0,27.0,39.0,11.0,48.0,103.0,8.0,77.0,58.0,49.0
4670,0.0,11.0,66.0,7.0,31.0,8.0,24.0,42.0,15.0,5.0,116.0,2.0,38.0,34.0,14.0,12.0,1.0,13.0,76.0,103.0,57.0,108.0,10.0,30.0,3.0,131.0,119.0,123.0,22.0,85.0
4719,0.0,17.0,21.0,1.0,2.0,16.0,3.0,12.0,44.0,52.0,13.0,99.0,20.0,14.0,23.0,25.0,22.0,50.0,96.0,48.0,29.0,78.0,36.0,11.0,9.0,157.0,37.0,32.0,19.0,18.0
4768,4.0,8.0,13.0,0.0,15.0,17.0,5.0,36.0,29.0,9.0,1.0,3.0,16.0,19.0,57.0,11.0,55.0,40.0,76.0,21.0,56.0,125.0,43.0,28.0,27.0,164.0,18.0,34.0,23.0,10.0
4817,0.0,73.0,3.0,1.0,79.0,31.0,4.0,8.0,26.0,5.0,74.0,2.0,13.0,7.0,44.0,12.0,10.0,53.0,45.0,25.0,104.0,47.0,16.0,17.0,27.0,63.0,23.0,21.0,36.0,42.0
4866,34.0,12.0,27.0,1.0,7.0,16.0,4.0,30.0,84.0,11.0,2.0,13.0,6.0,20.0,23.0,42.0,25.0,57.0,162.0,14.0,61.0,17.0,75.0,3.0,5.0,131.0,9.0,43.0,38.0,22.0
