,ZNF490_DEL,APBA1_AMP,MTAP_DEL,C1orf227_DEL,GLI3_MUT,FLT3_MUT,AFF2_DEL,NRAS_MUT,FOXK2_AMP,AXDND1_AMP,CDH11_MUT,JAK2_AMP,DACH2_DEL,C15orf55_MUT,ADARB2_DEL,CERS6_DEL,PRAMEF2_DEL,C9orf53_DEL,DPP6_DEL,FAM58BP_AMP,C17orf62_AMP,MIR4683_DEL,SECTM1_AMP,ZMAT4_DEL,ELMO1_DEL,LRRC37A_AMP,TOR3A_AMP,DEFB109P1_DEL,PLD1_MUT,NXPH1_DEL
522,12.0,26.0,7.0,36.0,2.0,87.0,14.0,181.0,17.0,3.0,40.0,70.0,20.0,16838.0,1.0,7918.0,166.0,8.0,11.0,1368.0,23.0,10.0,112.0,45.0,4.0,751.0,104.0,2217.0,1260.0,35.0
571,35.0,1511.0,31.0,4.0,34.0,38.0,96.0,70.0,8.0,22.0,2.0,98.0,0.0,125.0,10.0,6212.0,37.0,33.0,23.0,122.0,445.0,6.0,21940.0,12.0,451.0,88.0,19.0,306.0,40.0,256.0
620,3.0,13517.0,25.0,20.0,113.0,255.0,932.0,0.0,21.0,13.0,5.0,111.0,8.0,16832.0,81.0,7170.0,125.0,9.0,4.0,115.0,44.0,6.0,99.0,22.0,933.0,12.0,73.0,7086.0,683.0,499.0
669,2.0,1.0,125.0,12.0,30.0,16.0,887.0,3.0,38.0,24.0,46.0,7.0,5.0,2199.0,0.0,8.0,72.0,112.0,23.0,19.0,113.0,6.0,29.0,61.0,5612.0,151.0,102.0,1017.0,753.0,129.0
718,9.0,13441.0,1.0,78.0,14.0,868.0,7238.0,39.0,47.0,147.0,21.0,55.0,1131.0,41.0,0.0,230.0,4.0,11.0,954.0,571.0,132.0,58.0,146.0,408.0,32.0,735.0,77.0,119.0,40.0,134.0
767,6.0,18.0,4.0,110.0,37.0,2642.0,61.0,146.0,15.0,5.0,58.0,20.0,29.0,405.0,2.0,194.0,60.0,0.0,8.0,676.0,30.0,19.0,10.0,192.0,9484.0,19959.0,100.0,62.0,1419.0,54.0
816,14.0,147.0,1.0,49.0,11.0,16840.0,27.0,269.0,0.0,54.0,28.0,12.0,96.0,24.0,6.0,2597.0,106.0,8.0,57.0,624.0,16.0,3.0,56.0,2014.0,150.0,191.0,21929.0,64.0,3300.0,5.0
865,9.0,75.0,27.0,1.0,7.0,113.0,19.0,4.0,342.0,70.0,10.0,32.0,602.0,1020.0,3.0,7076.0,45.0,21.0,6.0,560.0,341.0,558.0,64.0,38.0,16.0,108.0,99.0,42.0,1093.0,1429.0
914,1.0,7.0,100.0,63.0,10.0,1050.0,256.0,37.0,5.0,13.0,19.0,0.0,67.0,8486.0,17.0,226.0,76.0,57.0,1381.0,220.0,24.0,78.0,15228.0,8521.0,127.0,1137.0,115.0,6113.0,13149.0,181.0
963,5.0,3362.0,4.0,8.0,1.0,103.0,115.0,278.0,9.0,409.0,45.0,7.0,42.0,487.0,14.0,1037.0,86.0,0.0,19.0,546.0,38.0,10.0,44.0,37.0,43.0,167.0,21434.0,3370.0,14609.0,6630.0
1012,2.0,3.0,5.0,4.0,38.0,1776.0,23.0,7.0,376.0,94.0,0.0,114.0,1.0,135.0,6.0,120.0,943.0,11400.0,22.0,107.0,958.0,466.0,121.0,20.0,296.0,699.0,51.0,782.0,16.0,1024.0
1061,2.0,109.0,5.0,7.0,521.0,72.0,9.0,1.0,77.0,110.0,10.0,14.0,25.0,124.0,0.0,19.0,142.0,117.0,26.0,99.0,3.0,61.0,108.0,7729.0,15.0,3482.0,82.0,214.0,66.0,6731.0
1110,5.0,135.0,190.0,9.0,11.0,1.0,2019.0,3.0,80.0,66.0,0.0,157.0,6.0,41.0,7.0,60.0,25.0,2704.0,64.0,138.0,193.0,16.0,124.0,81.0,38.0,43.0,560.0,54.0,4.0,7805.0
1159,12.0,34.0,3297.0,175.0,29.0,406.0,75.0,2.0,39.0,301.0,49.0,1877.0,100.0,66.0,25.0,194.0,33.0,352.0,69.0,13518.0,18.0,152.0,17.0,401.0,746.0,285.0,124.0,444.0,0.0,6794.0
1208,808.0,19.0,249.0,1.0,177.0,22.0,133.0,31.0,348.0,9.0,1488.0,69.0,3.0,2.0,0.0,18.0,3672.0,10.0,40.0,203.0,347.0,20914.0,68.0,455.0,553.0,3262.0,83.0,25.0,14.0,6861.0
1257,4.0,361.0,33.0,2.0,405.0,190.0,72.0,11.0,9.0,19.0,0.0,23.0,166.0,38.0,1.0,5.0,132.0,92.0,63.0,478.0,399.0,947.0,396.0,138.0,44.0,37.0,21899.0,7.0,48.0,3855.0
1306,7.0,535.0,35.0,0.0,31.0,72.0,10.0,32.0,938.0,18301.0,4.0,25.0,1.0,70.0,38.0,27.0,284.0,102.0,159.0,13538.0,68.0,21018.0,101.0,3387.0,9.0,71.0,22041.0,33.0,134.0,3783.0
1355,13.0,10.0,72.0,17.0,127.0,956.0,43.0,1.0,28.0,151.0,4.0,0.0,5.0,420.0,46.0,3.0,115.0,14.0,2.0,3374.0,40.0,255.0,7.0,1307.0,2077.0,715.0,612.0,61.0,271.0,3967.0
1404,3.0,1035.0,13.0,5.0,76.0,257.0,188.0,12.0,15492.0,78.0,1.0,36.0,2.0,43.0,24.0,224.0,500.0,35.0,0.0,30.0,140.0,130.0,21938.0,7778.0,80.0,2193.0,181.0,4.0,16.0,6560.0
1453,158.0,51.0,8.0,42.0,2352.0,16888.0,16.0,93.0,1090.0,396.0,50.0,19.0,1.0,41.0,647.0,1329.0,12114.0,59.0,75.0,1706.0,96.0,309.0,21472.0,52.0,7.0,19864.0,21941.0,28.0,61.0,6569.0
1502,8.0,7.0,22.0,374.0,3.0,12.0,9.0,89.0,259.0,26.0,365.0,6.0,24.0,378.0,105.0,568.0,10.0,4.0,0.0,13596.0,581.0,20877.0,384.0,18.0,5591.0,33.0,281.0,2877.0,214.0,3000.0
1551,0.0,7.0,89.0,10.0,76.0,4.0,144.0,44.0,15517.0,17.0,25.0,9.0,8.0,16830.0,857.0,136.0,21.0,471.0,13.0,119.0,23938.0,1455.0,21494.0,7800.0,923.0,3067.0,92.0,969.0,262.0,1062.0
1600,23.0,2.0,14.0,1.0,45.0,30.0,4.0,37.0,106.0,36.0,58.0,7.0,93.0,399.0,515.0,531.0,40.0,188.0,51.0,1879.0,97.0,434.0,419.0,7714.0,9434.0,18.0,110.0,5.0,209.0,109.0
1649,36.0,0.0,4.0,45.0,8.0,1.0,28.0,9.0,93.0,108.0,1344.0,10.0,3.0,1495.0,39.0,82.0,145.0,208.0,3558.0,574.0,886.0,20927.0,3552.0,18.0,55.0,2.0,27.0,23.0,265.0,882.0
1698,1.0,2136.0,34.0,43.0,16.0,0.0,12.0,72.0,15437.0,47.0,91.0,14.0,6.0,16843.0,1101.0,62.0,35.0,111.0,9.0,13607.0,97.0,20893.0,796.0,5.0,2634.0,316.0,40.0,193.0,37.0,3764.0
1747,24.0,7.0,0.0,18.0,32.0,1.0,2392.0,269.0,625.0,46.0,2544.0,35.0,2.0,8878.0,138.0,2053.0,52.0,298.0,13.0,575.0,718.0,18926.0,623.0,5.0,9882.0,129.0,22138.0,1077.0,1104.0,39.0
1796,4.0,1.0,0.0,14.0,493.0,2.0,34.0,56.0,294.0,168.0,208.0,3.0,43.0,16814.0,5.0,21.0,6.0,54.0,16.0,13583.0,1647.0,20862.0,552.0,289.0,536.0,3196.0,21925.0,7198.0,16682.0,184.0
1845,0.0,9.0,798.0,23.0,3.0,142.0,7.0,121.0,228.0,11.0,73.0,15.0,1.0,237.0,47.0,70.0,12225.0,614.0,20.0,13630.0,221.0,39.0,161.0,303.0,19.0,95.0,607.0,69.0,21.0,143.0
1894,6.0,3.0,344.0,42.0,9.0,153.0,13.0,28.0,7.0,191.0,1356.0,1.0,205.0,57.0,21280.0,32.0,11.0,1371.0,8.0,13521.0,415.0,20014.0,56.0,137.0,102.0,19887.0,21952.0,2701.0,243.0,90.0
1943,24.0,0.0,4.0,3.0,299.0,18.0,8.0,168.0,616.0,460.0,51.0,21.0,5.0,390.0,21347.0,55.0,917.0,127.0,88.0,798.0,22976.0,21008.0,21901.0,27.0,10.0,1086.0,650.0,225.0,41.0,77.0
1992,0.0,9.0,34.0,231.0,82.0,1.0,29.0,4.0,157.0,10.0,813.0,15.0,925.0,71.0,28.0,227.0,269.0,3523.0,3596.0,671.0,205.0,670.0,58.0,3.0,1884.0,125.0,171.0,36.0,468.0,6670.0
2041,0.0,45.0,5.0,3.0,519.0,15.0,24.0,60.0,13753.0,412.0,486.0,4.0,20365.0,9.0,130.0,47.0,103.0,620.0,345.0,74.0,23561.0,170.0,21662.0,77.0,205.0,217.0,368.0,239.0,999.0,141.0
2090,6.0,1.0,14.0,10.0,5.0,0.0,70.0,19.0,15465.0,7.0,48.0,87.0,20014.0,946.0,2.0,112.0,101.0,916.0,277.0,136.0,23922.0,4.0,21959.0,92.0,12.0,13.0,97.0,25.0,386.0,3978.0
2139,4.0,2.0,11.0,3.0,46.0,0.0,169.0,9.0,944.0,7.0,5.0,502.0,16.0,10.0,14.0,1642.0,12628.0,199.0,2367.0,25.0,21822.0,33.0,1046.0,31.0,1231.0,483.0,104.0,596.0,50.0,7508.0
2188,9.0,1.0,5.0,27.0,7.0,2.0,98.0,3314.0,160.0,25.0,483.0,20.0,0.0,31.0,505.0,6.0,1143.0,68.0,159.0,116.0,472.0,336.0,21950.0,33.0,5544.0,413.0,52.0,32.0,181.0,335.0
2237,15.0,0.0,23.0,6.0,1.0,3.0,22.0,9.0,290.0,16.0,10.0,38.0,126.0,5.0,21.0,4.0,54.0,186.0,3582.0,52.0,634.0,19957.0,2356.0,2.0,25.0,41.0,15055.0,6277.0,31.0,556.0
2286,33.0,3.0,7.0,42.0,1.0,0.0,39.0,202.0,292.0,122.0,16794.0,80.0,20079.0,280.0,21286.0,22.0,3308.0,1350.0,2557.0,27.0,23814.0,634.0,331.0,74.0,15.0,1041.0,38.0,5462.0,418.0,215.0
2335,20.0,1.0,7.0,0.0,52.0,2.0,9.0,87.0,768.0,34.0,92.0,3.0,20033.0,4.0,37.0,6.0,3491.0,2890.0,115.0,14.0,23898.0,69.0,2059.0,31.0,88.0,50.0,276.0,74.0,805.0,740.0
2384,4.0,1.0,11.0,10.0,7.0,3.0,1910.0,86.0,62.0,26.0,783.0,6.0,21192.0,2703.0,892.0,273.0,207.0,28.0,7015.0,94.0,146.0,13.0,996.0,2.0,399.0,30.0,84.0,14.0,39.0,7926.0
2433,871.0,1.0,14.0,12.0,4.0,24.0,662.0,939.0,35.0,154.0,16784.0,5.0,1244.0,274.0,89.0,23.0,7.0,174.0,5222.0,13474.0,196.0,426.0,124.0,3.0,9.0,1305.0,21958.0,7006.0,2256.0,3958.0
2482,11.0,2559.0,2.0,72.0,10.0,21.0,1000.0,16681.0,4.0,12.0,16777.0,59.0,37.0,8.0,21238.0,6946.0,350.0,100.0,5789.0,60.0,22.0,20860.0,418.0,3034.0,1162.0,1789.0,21895.0,317.0,74.0,51.0
2531,98.0,233.0,24.0,0.0,1.0,16.0,199.0,38.0,7.0,40.0,16791.0,106.0,20078.0,3.0,67.0,32.0,31.0,127.0,5224.0,13598.0,11.0,1123.0,9.0,62.0,30.0,135.0,21973.0,55.0,2371.0,3901.0
2580,6.0,7.0,0.0,188.0,67.0,353.0,360.0,9388.0,4.0,25.0,10190.0,35.0,27.0,262.0,72.0,137.0,261.0,1079.0,10.0,17912.0,44.0,189.0,18.0,1017.0,10131.0,1109.0,184.0,83.0,57.0,7543.0
2629,0.0,13448.0,148.0,51.0,636.0,104.0,603.0,338.0,263.0,3.0,682.0,16.0,191.0,20.0,21232.0,105.0,38.0,3491.0,783.0,440.0,261.0,2485.0,262.0,10.0,138.0,39.0,21956.0,871.0,113.0,289.0
2678,30.0,80.0,59.0,0.0,16828.0,10.0,35.0,2.0,108.0,12.0,16771.0,40.0,102.0,52.0,66.0,877.0,34.0,376.0,18.0,63.0,136.0,20862.0,371.0,33.0,3031.0,570.0,220.0,7044.0,16702.0,73.0
2727,0.0,37.0,320.0,56.0,31.0,20.0,280.0,10.0,6.0,12.0,167.0,1335.0,74.0,8.0,155.0,25.0,85.0,3405.0,1342.0,625.0,634.0,14.0,257.0,179.0,30.0,39.0,516.0,34.0,18.0,176.0
2776,10.0,41.0,0.0,18.0,19.0,30.0,105.0,185.0,3.0,153.0,204.0,23.0,125.0,338.0,1184.0,574.0,36.0,2611.0,909.0,65.0,25.0,119.0,110.0,156.0,302.0,4.0,21909.0,761.0,16645.0,410.0
2825,1.0,33.0,19.0,0.0,12.0,16800.0,48.0,85.0,163.0,17.0,190.0,3.0,90.0,57.0,410.0,30.0,10415.0,267.0,3525.0,16.0,23945.0,967.0,21968.0,7.0,168.0,15.0,712.0,2925.0,1057.0,123.0
2874,18.0,35.0,7.0,8.0,2.0,170.0,382.0,124.0,4.0,137.0,10.0,1286.0,269.0,22.0,407.0,123.0,31.0,65.0,3353.0,93.0,454.0,720.0,112.0,371.0,682.0,5.0,22034.0,3410.0,118.0,338.0
2923,18.0,0.0,90.0,48.0,57.0,42.0,7110.0,63.0,7.0,167.0,231.0,96.0,6.0,5.0,43.0,7354.0,26.0,211.0,15.0,13457.0,25.0,1468.0,40.0,494.0,1195.0,47.0,201.0,39.0,1712.0,76.0
2972,1.0,741.0,33.0,75.0,12.0,0.0,18.0,61.0,24.0,15.0,19.0,15461.0,1205.0,3.0,1139.0,135.0,391.0,4.0,28.0,1694.0,23.0,123.0,49.0,199.0,66.0,82.0,94.0,43.0,241.0,27.0
3021,0.0,4.0,188.0,20.0,44.0,3.0,21.0,13.0,2.0,105.0,19.0,88.0,67.0,100.0,19013.0,54.0,25.0,4700.0,6611.0,31.0,28.0,68.0,276.0,65.0,32.0,278.0,671.0,440.0,99.0,14.0
3070,0.0,2.0,12.0,13.0,74.0,182.0,21.0,19.0,37.0,49.0,10.0,475.0,24.0,6.0,21358.0,62.0,8064.0,3303.0,2785.0,75.0,107.0,3.0,704.0,83.0,523.0,29.0,198.0,1470.0,16624.0,65.0
3119,0.0,33.0,6.0,1.0,4.0,18.0,11.0,12.0,7.0,3.0,106.0,243.0,101.0,37.0,14.0,9.0,12172.0,114.0,2684.0,436.0,52.0,2.0,21.0,211.0,1520.0,385.0,19.0,246.0,168.0,1036.0
3168,18.0,11.0,155.0,7.0,6.0,13.0,3.0,53.0,1.0,24.0,12.0,15449.0,92.0,15.0,1050.0,9.0,844.0,11417.0,164.0,188.0,27.0,10.0,72.0,790.0,724.0,3485.0,588.0,6998.0,579.0,4.0
3217,29.0,3329.0,36.0,6.0,0.0,2.0,25.0,16677.0,27.0,32.0,8.0,1071.0,1.0,24.0,48.0,1066.0,3372.0,3518.0,5282.0,73.0,35.0,38.0,1093.0,76.0,52.0,60.0,271.0,2955.0,2214.0,4.0
3266,29.0,26.0,2.0,48.0,334.0,18.0,1.0,1853.0,21.0,10.0,300.0,2451.0,0.0,3.0,306.0,14.0,181.0,2537.0,27.0,68.0,860.0,71.0,467.0,4.0,1692.0,83.0,67.0,3026.0,366.0,46.0
3315,2.0,8.0,22.0,1.0,9.0,4.0,5.0,84.0,47.0,95.0,59.0,215.0,0.0,10.0,128.0,79.0,61.0,1277.0,1072.0,37.0,24094.0,14.0,133.0,2474.0,9620.0,1279.0,21481.0,51.0,17.0,7.0
3364,2.0,3.0,0.0,8.0,6.0,57.0,50.0,112.0,24.0,83.0,1744.0,490.0,221.0,204.0,49.0,15.0,12680.0,351.0,357.0,52.0,234.0,1.0,22770.0,136.0,11.0,30.0,100.0,3731.0,454.0,12.0
3413,289.0,0.0,24.0,3.0,28.0,574.0,12.0,117.0,10.0,11.0,15.0,896.0,44.0,5.0,506.0,710.0,21.0,187.0,884.0,147.0,22.0,20952.0,51.0,7.0,33.0,82.0,38.0,1715.0,61.0,218.0
3462,362.0,1.0,0.0,5.0,147.0,176.0,32.0,22.0,192.0,31.0,66.0,260.0,369.0,335.0,12.0,8.0,25.0,34.0,80.0,49.0,1083.0,139.0,132.0,44.0,10189.0,56.0,74.0,10.0,12503.0,1760.0
3511,15.0,0.0,102.0,10.0,11.0,224.0,30.0,4.0,604.0,5.0,27.0,83.0,1.0,66.0,18.0,23.0,56.0,677.0,694.0,115.0,22711.0,179.0,654.0,1113.0,10307.0,45.0,111.0,57.0,309.0,100.0
3560,30.0,1.0,64.0,23.0,777.0,10946.0,16.0,2.0,14314.0,7.0,19.0,795.0,90.0,5.0,34.0,0.0,10.0,6.0,8.0,43.0,141.0,178.0,2828.0,70.0,5938.0,1224.0,1092.0,188.0,104.0,35.0
3609,1.0,6.0,25.0,20.0,30.0,78.0,6114.0,691.0,18777.0,8.0,698.0,218.0,1067.0,115.0,521.0,46.0,21.0,4791.0,86.0,268.0,871.0,114.0,15292.0,201.0,10261.0,27.0,52.0,23.0,12819.0,71.0
3658,34.0,1.0,0.0,58.0,199.0,224.0,45.0,21.0,35.0,20.0,195.0,13.0,40.0,7.0,300.0,261.0,4.0,18.0,101.0,32.0,436.0,20997.0,115.0,1699.0,1269.0,266.0,10.0,64.0,2900.0,97.0
3707,97.0,0.0,17.0,14.0,9429.0,451.0,234.0,8.0,431.0,5.0,7.0,146.0,1384.0,62.0,11.0,123.0,3.0,444.0,35.0,25.0,430.0,159.0,157.0,407.0,9949.0,23326.0,22446.0,110.0,704.0,871.0
3756,0.0,6.0,46.0,71.0,1136.0,1256.0,35.0,2.0,480.0,10.0,139.0,38.0,26.0,28.0,106.0,15.0,12208.0,304.0,650.0,32.0,60.0,5.0,56.0,64.0,102.0,2309.0,137.0,4.0,3021.0,155.0
3805,517.0,97.0,112.0,2.0,15.0,76.0,18.0,23.0,15452.0,78.0,526.0,197.0,72.0,4.0,155.0,121.0,854.0,42.0,389.0,27.0,1221.0,20988.0,223.0,46.0,43.0,331.0,21912.0,25.0,216.0,54.0
3854,41.0,3.0,7.0,92.0,129.0,90.0,57.0,0.0,15455.0,14.0,16768.0,2951.0,20021.0,558.0,19.0,128.0,5.0,212.0,359.0,58.0,160.0,20875.0,178.0,641.0,114.0,3456.0,43.0,2.0,962.0,112.0
3903,7.0,0.0,6.0,126.0,16805.0,904.0,9.0,14.0,719.0,5.0,16748.0,464.0,22.0,37.0,34.0,51.0,102.0,833.0,4385.0,56.0,23904.0,3144.0,1090.0,134.0,17.0,19897.0,4.0,36.0,1133.0,20.0
3952,0.0,9.0,1.0,5276.0,8.0,1019.0,1930.0,13.0,10.0,403.0,16816.0,44.0,151.0,16882.0,2596.0,14.0,11.0,46.0,2.0,136.0,5.0,36.0,294.0,963.0,9552.0,2216.0,112.0,12.0,16682.0,1260.0
4001,6.0,9.0,480.0,360.0,4.0,7.0,0.0,2.0,8.0,18280.0,68.0,15208.0,25.0,22.0,56.0,32.0,179.0,1023.0,748.0,10.0,145.0,3.0,36.0,151.0,99.0,438.0,868.0,94.0,109.0,233.0
4050,0.0,17.0,59.0,2140.0,3.0,116.0,8.0,38.0,1.0,16357.0,2.0,91.0,29.0,56.0,57.0,7631.0,30.0,539.0,122.0,1363.0,4.0,146.0,15.0,93.0,358.0,1479.0,80.0,3556.0,112.0,1265.0
4099,9.0,3.0,0.0,6362.0,122.0,54.0,6.0,8.0,50.0,18348.0,7.0,24.0,23.0,28.0,464.0,182.0,2.0,94.0,3573.0,504.0,128.0,126.0,47.0,9910.0,127.0,1126.0,21965.0,1243.0,10.0,522.0
4148,0.0,1.0,8.0,1332.0,3.0,2.0,7.0,40.0,10.0,157.0,11.0,67.0,71.0,115.0,17.0,312.0,30.0,35.0,2257.0,840.0,110.0,13.0,137.0,83.0,44.0,39.0,82.0,95.0,56.0,1442.0
4197,0.0,16.0,2.0,239.0,52.0,487.0,96.0,10.0,161.0,398.0,4.0,85.0,5.0,135.0,413.0,146.0,12.0,19.0,110.0,74.0,23959.0,23.0,59.0,2350.0,467.0,3522.0,773.0,1520.0,162.0,1246.0
4246,5.0,7.0,0.0,292.0,746.0,224.0,71.0,287.0,2.0,18337.0,490.0,39.0,14.0,3109.0,85.0,4.0,16.0,207.0,21.0,112.0,18.0,60.0,214.0,2482.0,9505.0,55.0,54.0,196.0,16668.0,7440.0
4295,4.0,1.0,2.0,13.0,3.0,106.0,10.0,0.0,6.0,342.0,38.0,34.0,20002.0,9.0,21210.0,7.0,36.0,75.0,55.0,15.0,29.0,173.0,77.0,7796.0,3027.0,525.0,463.0,188.0,1966.0,1525.0
4344,1.0,4.0,12.0,307.0,0.0,13.0,28.0,119.0,9.0,77.0,42.0,350.0,49.0,36.0,137.0,16.0,19.0,70.0,91.0,538.0,39.0,26.0,331.0,43.0,799.0,222.0,78.0,629.0,16864.0,817.0
4393,2.0,3.0,1.0,1766.0,19.0,0.0,67.0,1456.0,5.0,113.0,32.0,1036.0,285.0,87.0,732.0,40.0,6.0,63.0,69.0,1164.0,60.0,4.0,13.0,7737.0,176.0,19948.0,2020.0,5328.0,16629.0,6805.0
4442,0.0,41.0,1.0,1392.0,10.0,4.0,31.0,337.0,14.0,68.0,149.0,20.0,2.0,15.0,381.0,45.0,164.0,85.0,958.0,25.0,32.0,3.0,87.0,2502.0,6.0,1411.0,15550.0,165.0,12515.0,1596.0
4491,6.0,4.0,1.0,630.0,104.0,35.0,12.0,18.0,17.0,607.0,3.0,27.0,88.0,82.0,143.0,3342.0,115.0,28.0,29.0,32.0,46.0,5.0,182.0,43.0,9745.0,2258.0,174.0,222.0,4286.0,246.0
4540,2.0,9.0,0.0,1892.0,5.0,7.0,14.0,83.0,3.0,18558.0,6.0,4.0,20094.0,38.0,1.0,96.0,338.0,29.0,3457.0,219.0,141.0,13.0,1238.0,1496.0,10.0,86.0,21952.0,90.0,169.0,294.0
4589,0.0,14082.0,12.0,2539.0,1136.0,71.0,42.0,2.0,374.0,1633.0,46.0,55.0,21145.0,8.0,14.0,162.0,1568.0,113.0,85.0,242.0,375.0,1.0,372.0,600.0,152.0,67.0,22672.0,176.0,96.0,7222.0
4638,7.0,9.0,11.0,22.0,2.0,1.0,183.0,5.0,16.0,109.0,16833.0,31.0,245.0,442.0,1408.0,28.0,1595.0,15.0,82.0,13610.0,18.0,4.0,81.0,144.0,50.0,1558.0,658.0,14.0,1037.0,914.0
4687,7.0,391.0,369.0,19.0,12.0,13.0,2.0,17.0,21.0,33.0,1.0,8.0,309.0,10.0,29.0,2735.0,102.0,9.0,4004.0,65.0,28.0,0.0,21471.0,265.0,14.0,115.0,21941.0,678.0,66.0,6653.0
4736,0.0,7.0,106.0,109.0,2.0,1.0,9.0,125.0,1164.0,27.0,16798.0,13.0,46.0,808.0,11.0,29.0,15.0,103.0,154.0,25.0,1239.0,3.0,21506.0,8.0,21.0,105.0,21975.0,865.0,45.0,1573.0
4785,1.0,19.0,1057.0,145.0,0.0,2.0,49.0,34.0,46.0,280.0,15.0,134.0,208.0,18.0,106.0,30.0,11.0,59.0,39.0,20.0,110.0,4.0,453.0,213.0,97.0,1477.0,129.0,12.0,185.0,83.0
4834,1.0,87.0,0.0,11.0,94.0,3.0,25.0,62.0,16.0,2327.0,2.0,68.0,98.0,8.0,53.0,230.0,619.0,12.0,3616.0,56.0,89.0,6.0,362.0,90.0,192.0,91.0,21980.0,46.0,104.0,133.0
4883,8.0,0.0,2.0,82.0,3.0,37.0,9.0,1.0,208.0,11.0,17.0,15.0,680.0,40.0,80.0,57.0,128.0,66.0,358.0,22.0,100.0,4.0,21561.0,653.0,83.0,24.0,21514.0,7297.0,154.0,186.0
