, H2O2, TNFa, TLR, TGFB, PI3K_only, MAPK_PI3K, VEGF, Wnt, IL-1, JAK-STAT, MAPK_only
3960,1.0,2.0,5.0,0.0,7.0,6.0,3.0,10.0,4.0,8.0,9.0
4009,0.0,1.0,3.0,4.0,2.0,10.0,7.0,5.0,9.0,8.0,6.0
4058,0.0,6.0,3.0,1.0,4.0,7.0,8.0,10.0,5.0,2.0,9.0
4107,3.0,2.0,8.0,0.0,9.0,6.0,10.0,7.0,1.0,4.0,5.0
4156,0.0,7.0,8.0,1.0,5.0,3.0,4.0,2.0,9.0,10.0,6.0
4205,0.0,5.0,6.0,3.0,2.0,8.0,1.0,7.0,4.0,9.0,10.0
4254,0.0,8.0,4.0,1.0,2.0,9.0,6.0,7.0,3.0,5.0,10.0
4303,0.0,2.0,9.0,4.0,6.0,1.0,10.0,7.0,3.0,5.0,8.0
4352,0.0,2.0,9.0,3.0,1.0,4.0,8.0,10.0,7.0,6.0,5.0
4401,0.0,1.0,2.0,4.0,3.0,6.0,5.0,9.0,10.0,7.0,8.0
4450,1.0,0.0,3.0,2.0,5.0,7.0,4.0,10.0,8.0,9.0,6.0
4499,0.0,2.0,8.0,1.0,5.0,3.0,6.0,10.0,7.0,4.0,9.0
4548,3.0,0.0,1.0,4.0,2.0,5.0,10.0,8.0,9.0,6.0,7.0
4597,1.0,0.0,3.0,5.0,2.0,6.0,4.0,7.0,10.0,8.0,9.0
4646,3.0,0.0,1.0,2.0,4.0,8.0,7.0,5.0,6.0,10.0,9.0
4695,1.0,0.0,2.0,4.0,7.0,6.0,3.0,9.0,8.0,10.0,5.0
4744,0.0,1.0,2.0,4.0,6.0,5.0,10.0,8.0,3.0,9.0,7.0
4793,2.0,0.0,3.0,1.0,4.0,5.0,10.0,7.0,6.0,8.0,9.0
4842,1.0,0.0,4.0,3.0,2.0,7.0,6.0,8.0,9.0,10.0,5.0
4891,0.0,2.0,1.0,3.0,4.0,7.0,8.0,6.0,10.0,5.0,9.0
