,LEPREL2,MAGEA6,SPANXD,SLFN11,ANPEP,ZYG11A,RCOR2,TUSC3,ZNF215,RCN3,CCZ1B,FAM98B,EVC2,KRT13,LYPD6B,MEIS3P1,RP11-305M3.2,PDLIM4,SEMA3F,RPUSD2,P2RX5,CORO2A,ROBO1,PLA2G4A,ANKRD19P,CBS,LINC00665,COL18A1,LGALS9,AP000783.1
596,7.0,0.0,1.0,44.0,4.0,11.0,48.0,26.0,47.0,17.0,12.0,14.0,23.0,5.0,172.0,32.0,145.0,194.0,61.0,58.0,33.0,103.0,60.0,170.0,62.0,13.0,10.0,72.0,29.0,43.0
645,0.0,29.0,211.0,9.0,89.0,26.0,13.0,78.0,34.0,5.0,4.0,22.0,12.0,8.0,6.0,63.0,38.0,4300.0,23.0,72.0,106.0,62.0,32.0,64.0,7.0,10.0,36.0,1094.0,43.0,70.0
694,0.0,3.0,11.0,213.0,2.0,15.0,13.0,40.0,59.0,1.0,37.0,38.0,18.0,7.0,21.0,32.0,133.0,448.0,10.0,131.0,36.0,70.0,26.0,6.0,25.0,8.0,118.0,150.0,27.0,50.0
743,0.0,12.0,7.0,2.0,46.0,9.0,56.0,81.0,65.0,30.0,34.0,21.0,5.0,4.0,3.0,24.0,110.0,666.0,101.0,37.0,28.0,95.0,92.0,109.0,57.0,14.0,58.0,417.0,66.0,11.0
792,6.0,0.0,3.0,94.0,4.0,20.0,15.0,46.0,54.0,24.0,5.0,22.0,11.0,17.0,16.0,2.0,45.0,154.0,111.0,61.0,8.0,288.0,57.0,35.0,26.0,37.0,141.0,134.0,51.0,67.0
841,2.0,6.0,5.0,106.0,26.0,3.0,34.0,19.0,104.0,84.0,8.0,16.0,17.0,9.0,1.0,31.0,68.0,2147.0,43.0,39.0,23.0,83.0,25.0,18.0,28.0,7.0,67.0,93.0,33.0,41.0
890,1.0,0.0,4.0,2.0,17.0,16.0,33.0,12.0,37.0,83.0,85.0,65.0,40.0,44.0,3.0,51.0,62.0,150.0,133.0,188.0,98.0,38.0,24.0,349.0,27.0,9.0,177.0,79.0,30.0,11.0
939,0.0,1.0,42.0,217.0,2.0,109.0,20.0,52.0,4.0,17.0,3.0,5.0,36.0,56.0,9.0,12.0,31.0,63.0,114.0,75.0,8.0,1155.0,183.0,10.0,51.0,134.0,71.0,124.0,29.0,26.0
988,1.0,13.0,57.0,10.0,19.0,46.0,9.0,2.0,6.0,53.0,79.0,17.0,85.0,73.0,3.0,32.0,4.0,505.0,30.0,71.0,52.0,7.0,102.0,14.0,15.0,1007.0,5.0,36.0,31.0,431.0
1037,0.0,3.0,13.0,70.0,18.0,2.0,8.0,15.0,30.0,6.0,119.0,19.0,41.0,14.0,11.0,23.0,22.0,4.0,168.0,48.0,27.0,5.0,57.0,26.0,39.0,58.0,1.0,53.0,51.0,71.0
1086,1.0,26.0,12.0,963.0,4.0,5.0,3.0,0.0,75.0,151.0,34.0,10.0,22.0,18.0,13.0,2.0,19.0,41.0,97.0,57.0,45.0,6.0,23.0,47.0,40.0,53.0,21.0,30.0,84.0,220.0
1135,6.0,2.0,9.0,114.0,12.0,4.0,0.0,16.0,29.0,1.0,32.0,33.0,31.0,41.0,14.0,17.0,18.0,165.0,688.0,71.0,23.0,11.0,21.0,53.0,60.0,268.0,19.0,25.0,34.0,62.0
1184,0.0,22.0,28.0,69.0,1.0,4.0,2.0,6.0,26.0,11.0,32.0,15.0,50.0,9.0,24.0,23.0,17.0,27.0,244.0,51.0,20.0,7.0,16.0,8.0,3.0,94.0,13.0,35.0,18.0,86.0
1233,1.0,3.0,2.0,7.0,23.0,24.0,13.0,15.0,22.0,5.0,118.0,14.0,244.0,28.0,19.0,0.0,33.0,59.0,20.0,29.0,71.0,4.0,34.0,17.0,10.0,108.0,8.0,26.0,55.0,25.0
1282,0.0,2.0,14.0,66.0,7.0,37.0,3.0,1.0,31.0,41.0,16.0,24.0,88.0,8.0,12.0,118.0,18.0,25.0,94.0,36.0,11.0,6.0,29.0,83.0,81.0,61.0,4.0,38.0,21.0,92.0
1331,2.0,0.0,3.0,9.0,42.0,10.0,6.0,13.0,7.0,35.0,99.0,50.0,33.0,17.0,1.0,53.0,11.0,31.0,59.0,55.0,67.0,5.0,8.0,92.0,34.0,61.0,4.0,19.0,14.0,26.0
1380,0.0,10.0,28.0,163.0,3.0,4.0,1.0,5.0,41.0,46.0,67.0,56.0,20.0,8.0,111.0,6.0,51.0,66.0,22.0,83.0,34.0,13.0,103.0,40.0,800.0,12.0,9.0,21.0,49.0,113.0
1429,0.0,1.0,6.0,85.0,2.0,10.0,5.0,8.0,78.0,19.0,29.0,15.0,32.0,13.0,11.0,7.0,14.0,16.0,45.0,47.0,21.0,12.0,25.0,24.0,137.0,202.0,3.0,74.0,54.0,131.0
1478,4.0,1.0,5.0,0.0,2.0,10.0,7.0,18.0,39.0,24.0,12.0,29.0,8.0,20.0,11.0,88.0,13.0,9.0,27.0,19.0,3.0,44.0,6.0,316.0,34.0,14.0,43.0,63.0,46.0,100.0
1527,5.0,3.0,46.0,1.0,2.0,128.0,4.0,14.0,7.0,64.0,8.0,16.0,9.0,18.0,22.0,26.0,12.0,0.0,17.0,29.0,41.0,44.0,154.0,133.0,28.0,295.0,98.0,68.0,40.0,43.0
1576,1.0,7.0,3.0,22.0,9.0,14.0,6.0,4.0,34.0,5.0,10.0,16.0,2.0,27.0,30.0,45.0,66.0,13.0,125.0,49.0,24.0,81.0,12.0,105.0,65.0,72.0,39.0,111.0,97.0,25.0
1625,5.0,62.0,9.0,13.0,1.0,26.0,10.0,21.0,7.0,16.0,3.0,15.0,14.0,22.0,23.0,0.0,12.0,2.0,32.0,41.0,18.0,6.0,136.0,11.0,17.0,77.0,73.0,71.0,45.0,450.0
1674,3.0,28.0,22.0,0.0,2.0,12.0,1.0,17.0,8.0,19.0,37.0,27.0,9.0,13.0,10.0,53.0,15.0,35.0,6.0,20.0,21.0,5.0,115.0,296.0,237.0,36.0,31.0,153.0,44.0,81.0
1723,28.0,2.0,1.0,0.0,108.0,36.0,26.0,57.0,6.0,25.0,5.0,22.0,31.0,3.0,18.0,20.0,53.0,4.0,40.0,29.0,9.0,15.0,121.0,670.0,65.0,32.0,38.0,102.0,12.0,13.0
1772,2.0,1.0,6.0,0.0,19.0,45.0,8.0,10.0,21.0,34.0,136.0,60.0,46.0,13.0,3.0,70.0,22.0,11.0,36.0,54.0,82.0,26.0,16.0,1908.0,62.0,37.0,12.0,28.0,41.0,17.0
1821,1.0,17.0,24.0,29.0,0.0,10.0,8.0,21.0,25.0,2.0,11.0,19.0,5.0,4.0,15.0,47.0,45.0,28.0,36.0,38.0,7.0,20.0,16.0,35.0,42.0,59.0,93.0,54.0,46.0,116.0
1870,17.0,11.0,3.0,6.0,4.0,15.0,13.0,14.0,5.0,253.0,1.0,9.0,2.0,7.0,88.0,27.0,56.0,0.0,133.0,32.0,57.0,293.0,127.0,69.0,62.0,241.0,46.0,65.0,53.0,120.0
1919,0.0,6.0,15.0,295.0,1.0,3.0,4.0,64.0,14.0,31.0,2.0,44.0,40.0,10.0,12.0,61.0,47.0,32.0,55.0,58.0,5.0,33.0,160.0,198.0,42.0,23.0,96.0,180.0,60.0,419.0
1968,1.0,0.0,8.0,4.0,110.0,37.0,56.0,2.0,173.0,7.0,40.0,50.0,53.0,21.0,13.0,139.0,74.0,121.0,47.0,133.0,130.0,19.0,15.0,197.0,28.0,9.0,12.0,39.0,16.0,24.0
2017,2.0,0.0,8.0,1.0,81.0,32.0,7.0,3.0,18.0,4.0,169.0,6.0,20.0,46.0,14.0,130.0,16.0,25.0,66.0,13.0,64.0,10.0,72.0,192.0,11.0,17.0,51.0,40.0,55.0,19.0
2066,2.0,1.0,7.0,0.0,59.0,27.0,24.0,11.0,22.0,3.0,202.0,29.0,10.0,19.0,8.0,91.0,87.0,5.0,30.0,37.0,68.0,16.0,13.0,41.0,12.0,6.0,39.0,64.0,25.0,9.0
2115,17.0,2.0,8.0,0.0,66.0,19.0,13.0,1.0,31.0,67.0,30.0,41.0,15.0,10.0,33.0,655.0,9.0,14.0,11.0,60.0,26.0,40.0,18.0,184.0,159.0,4.0,24.0,35.0,44.0,12.0
2164,3.0,1.0,16.0,0.0,19.0,2.0,23.0,4.0,52.0,6.0,27.0,28.0,12.0,152.0,18.0,40.0,20.0,22.0,10.0,57.0,44.0,50.0,9.0,36.0,8.0,7.0,67.0,24.0,82.0,33.0
2213,3.0,0.0,5.0,6.0,47.0,20.0,13.0,1.0,71.0,2.0,59.0,21.0,7.0,52.0,12.0,125.0,26.0,8.0,10.0,39.0,79.0,28.0,4.0,37.0,23.0,14.0,38.0,87.0,29.0,11.0
2262,6.0,4.0,3.0,1.0,42.0,0.0,23.0,2.0,113.0,5.0,47.0,14.0,7.0,20.0,19.0,55.0,37.0,34.0,50.0,22.0,92.0,29.0,16.0,32.0,15.0,11.0,12.0,44.0,33.0,84.0
2311,4.0,0.0,5.0,9.0,6.0,7.0,23.0,2.0,40.0,16.0,12.0,21.0,42.0,13.0,162.0,183.0,60.0,1.0,152.0,34.0,64.0,44.0,80.0,14.0,39.0,18.0,33.0,72.0,31.0,43.0
2360,4.0,0.0,3.0,1.0,68.0,8.0,9.0,2.0,38.0,7.0,23.0,22.0,18.0,85.0,55.0,94.0,52.0,5.0,200.0,30.0,42.0,32.0,16.0,119.0,13.0,6.0,15.0,11.0,31.0,19.0
2409,6.0,0.0,4.0,3.0,50.0,9.0,20.0,1.0,56.0,5.0,62.0,18.0,8.0,37.0,60.0,49.0,59.0,7.0,66.0,30.0,12.0,72.0,31.0,45.0,44.0,16.0,13.0,423.0,51.0,11.0
2458,0.0,2.0,14.0,6.0,16.0,8.0,32.0,1.0,3.0,17.0,653.0,54.0,25.0,30.0,4.0,22.0,62.0,7.0,19.0,53.0,21.0,5.0,36.0,196.0,44.0,279.0,11.0,49.0,34.0,85.0
2507,7.0,54.0,29.0,0.0,1.0,3.0,12.0,25.0,4.0,2.0,63.0,23.0,13.0,34.0,14.0,9.0,19.0,6.0,99.0,15.0,8.0,131.0,21.0,53.0,10.0,44.0,55.0,62.0,93.0,64.0
2556,4.0,2.0,30.0,0.0,1.0,3.0,8.0,7.0,15.0,6.0,174.0,32.0,9.0,12.0,31.0,44.0,48.0,45.0,42.0,11.0,5.0,64.0,38.0,26.0,19.0,35.0,17.0,99.0,47.0,25.0
2605,5.0,0.0,94.0,1.0,37.0,2.0,36.0,46.0,63.0,6.0,307.0,33.0,9.0,14.0,16.0,218.0,56.0,177.0,12.0,25.0,23.0,19.0,32.0,264.0,8.0,11.0,7.0,134.0,28.0,4.0
2654,7.0,1.0,29.0,2.0,0.0,10.0,12.0,13.0,4.0,9.0,31.0,17.0,8.0,28.0,23.0,54.0,27.0,48.0,16.0,43.0,38.0,80.0,70.0,66.0,18.0,107.0,51.0,78.0,105.0,41.0
2703,9.0,18.0,43.0,4.0,1.0,0.0,19.0,16.0,127.0,6.0,58.0,50.0,2.0,11.0,10.0,33.0,26.0,5.0,24.0,66.0,3.0,163.0,12.0,62.0,76.0,22.0,27.0,383.0,44.0,15.0
2752,4.0,3.0,24.0,2.0,0.0,1.0,10.0,6.0,71.0,11.0,89.0,20.0,9.0,7.0,15.0,19.0,46.0,85.0,42.0,34.0,45.0,184.0,31.0,23.0,48.0,8.0,12.0,130.0,76.0,44.0
2801,2.0,1.0,263.0,4.0,3.0,15.0,13.0,0.0,19.0,34.0,20.0,25.0,5.0,12.0,29.0,125.0,23.0,26.0,10.0,45.0,24.0,181.0,11.0,35.0,9.0,48.0,28.0,57.0,40.0,54.0
2850,3.0,14.0,69.0,1.0,0.0,7.0,13.0,5.0,10.0,2.0,35.0,23.0,4.0,9.0,25.0,17.0,41.0,26.0,39.0,40.0,11.0,135.0,34.0,28.0,6.0,36.0,18.0,110.0,29.0,38.0
2899,13.0,2.0,20.0,0.0,3.0,1.0,18.0,15.0,21.0,8.0,31.0,22.0,4.0,19.0,24.0,73.0,32.0,55.0,7.0,35.0,23.0,151.0,33.0,5.0,14.0,67.0,11.0,45.0,75.0,36.0
2948,1.0,312.0,6.0,104.0,14.0,0.0,33.0,91.0,2.0,15.0,8.0,32.0,112.0,175.0,3.0,25.0,20.0,688.0,9.0,39.0,74.0,10.0,58.0,41.0,50.0,13.0,17.0,12.0,145.0,53.0
2997,0.0,318.0,26.0,2.0,1.0,6.0,18.0,17.0,3.0,4.0,7.0,8.0,207.0,43.0,24.0,34.0,21.0,208.0,5.0,31.0,239.0,11.0,133.0,14.0,15.0,46.0,126.0,10.0,38.0,118.0
3046,1.0,8.0,2.0,0.0,52.0,3.0,43.0,15.0,19.0,9.0,53.0,16.0,241.0,36.0,7.0,61.0,26.0,263.0,5.0,24.0,616.0,11.0,295.0,56.0,22.0,71.0,51.0,17.0,60.0,73.0
3095,0.0,162.0,27.0,109.0,4.0,14.0,5.0,35.0,18.0,54.0,7.0,2.0,22.0,46.0,9.0,21.0,1.0,114.0,19.0,24.0,180.0,61.0,374.0,10.0,67.0,125.0,85.0,16.0,62.0,1660.0
3144,2.0,10.0,1.0,20.0,16.0,0.0,9.0,17.0,5.0,13.0,4.0,3.0,35.0,42.0,26.0,33.0,81.0,1260.0,11.0,14.0,78.0,377.0,488.0,15.0,43.0,61.0,88.0,27.0,205.0,503.0
3193,1.0,63.0,27.0,10.0,37.0,5.0,8.0,33.0,0.0,18.0,25.0,9.0,11.0,58.0,41.0,194.0,2.0,273.0,4.0,39.0,540.0,102.0,184.0,20.0,26.0,129.0,118.0,31.0,159.0,634.0
3242,1.0,17.0,7.0,9.0,3.0,0.0,18.0,22.0,10.0,4.0,2.0,14.0,58.0,52.0,122.0,42.0,13.0,269.0,8.0,41.0,407.0,5.0,498.0,23.0,24.0,45.0,97.0,6.0,50.0,321.0
3291,0.0,66.0,5.0,24.0,9.0,1.0,14.0,118.0,8.0,3.0,2.0,21.0,36.0,175.0,35.0,61.0,10.0,116.0,6.0,29.0,210.0,17.0,347.0,19.0,102.0,43.0,554.0,4.0,138.0,2249.0
3340,4.0,104.0,10.0,3.0,0.0,2.0,29.0,31.0,16.0,14.0,56.0,34.0,41.0,51.0,28.0,22.0,5.0,371.0,1.0,33.0,61.0,59.0,101.0,23.0,191.0,42.0,206.0,12.0,113.0,259.0
3389,0.0,5.0,41.0,11.0,1.0,2.0,15.0,237.0,67.0,9.0,3.0,29.0,108.0,17.0,48.0,111.0,55.0,741.0,7.0,21.0,179.0,35.0,392.0,4.0,146.0,27.0,22.0,30.0,38.0,516.0
3438,7.0,38.0,12.0,3.0,1.0,53.0,20.0,33.0,0.0,4.0,6.0,5.0,29.0,31.0,188.0,2.0,15.0,22.0,76.0,32.0,37.0,122.0,215.0,11.0,24.0,91.0,97.0,106.0,112.0,136.0
3487,9.0,19.0,0.0,3.0,4.0,14.0,26.0,6.0,1.0,32.0,51.0,17.0,79.0,21.0,56.0,18.0,27.0,7.0,5.0,20.0,29.0,39.0,253.0,101.0,205.0,70.0,52.0,28.0,123.0,23.0
3536,9.0,6.0,8.0,16.0,1.0,43.0,5.0,2.0,3.0,11.0,10.0,12.0,15.0,22.0,84.0,0.0,21.0,35.0,42.0,41.0,40.0,86.0,127.0,17.0,58.0,256.0,225.0,24.0,100.0,140.0
3585,6.0,13.0,3.0,7.0,1.0,18.0,14.0,25.0,11.0,2.0,8.0,10.0,52.0,28.0,76.0,0.0,16.0,91.0,62.0,12.0,58.0,17.0,182.0,4.0,66.0,38.0,51.0,84.0,72.0,73.0
3634,10.0,12.0,4.0,11.0,15.0,54.0,44.0,20.0,0.0,33.0,14.0,36.0,58.0,22.0,99.0,1.0,38.0,7.0,92.0,25.0,27.0,203.0,240.0,96.0,195.0,89.0,197.0,37.0,52.0,23.0
3683,12.0,46.0,6.0,18.0,1.0,19.0,8.0,25.0,0.0,40.0,9.0,16.0,10.0,56.0,106.0,2.0,29.0,5.0,44.0,26.0,21.0,279.0,558.0,20.0,119.0,90.0,438.0,105.0,78.0,69.0
3732,2.0,93.0,16.0,329.0,0.0,14.0,24.0,1.0,7.0,29.0,4.0,3.0,49.0,36.0,68.0,5.0,25.0,126.0,89.0,12.0,22.0,59.0,145.0,37.0,10.0,20.0,1509.0,293.0,112.0,113.0
3781,1.0,27.0,14.0,6.0,3.0,30.0,25.0,13.0,0.0,2.0,17.0,21.0,16.0,42.0,46.0,8.0,19.0,50.0,33.0,22.0,7.0,536.0,242.0,80.0,32.0,24.0,78.0,309.0,281.0,29.0
3830,12.0,2.0,4.0,1.0,3.0,20.0,15.0,7.0,0.0,6.0,8.0,9.0,13.0,21.0,149.0,10.0,39.0,26.0,62.0,19.0,65.0,135.0,238.0,95.0,59.0,23.0,72.0,44.0,49.0,51.0
3879,8.0,9.0,2.0,48.0,0.0,60.0,15.0,30.0,4.0,1.0,6.0,14.0,58.0,351.0,121.0,11.0,56.0,33.0,54.0,49.0,38.0,27.0,275.0,23.0,173.0,176.0,394.0,13.0,66.0,61.0
3928,20.0,1.0,7.0,76.0,5.0,9.0,4.0,15.0,3.0,35.0,12.0,24.0,2.0,26.0,72.0,6.0,18.0,0.0,84.0,239.0,19.0,59.0,179.0,164.0,235.0,322.0,101.0,14.0,67.0,92.0
3977,30.0,19.0,4.0,20.0,10.0,8.0,11.0,5.0,6.0,24.0,1.0,7.0,0.0,22.0,53.0,3.0,12.0,2.0,29.0,32.0,41.0,9.0,18.0,84.0,33.0,101.0,76.0,34.0,59.0,62.0
4026,14.0,23.0,11.0,9.0,0.0,4.0,8.0,12.0,17.0,15.0,5.0,10.0,6.0,49.0,16.0,1.0,7.0,2.0,28.0,31.0,41.0,3.0,33.0,61.0,51.0,362.0,42.0,59.0,64.0,63.0
4075,4.0,0.0,44.0,90.0,2.0,25.0,7.0,5.0,23.0,45.0,1.0,12.0,8.0,22.0,72.0,13.0,86.0,3.0,53.0,49.0,33.0,73.0,217.0,92.0,454.0,107.0,85.0,18.0,50.0,47.0
4124,4.0,12.0,7.0,50.0,0.0,5.0,14.0,6.0,90.0,16.0,2.0,40.0,3.0,47.0,52.0,29.0,13.0,1.0,43.0,126.0,113.0,11.0,54.0,77.0,59.0,33.0,369.0,55.0,49.0,133.0
4173,4.0,6.0,7.0,26.0,5.0,2.0,18.0,3.0,11.0,12.0,9.0,13.0,1.0,25.0,22.0,8.0,10.0,0.0,45.0,116.0,20.0,16.0,81.0,43.0,56.0,231.0,31.0,28.0,47.0,23.0
4222,2.0,16.0,18.0,6.0,4.0,3.0,14.0,61.0,22.0,12.0,11.0,5.0,1.0,20.0,55.0,0.0,21.0,78.0,30.0,83.0,67.0,8.0,69.0,43.0,28.0,88.0,47.0,34.0,98.0,92.0
4271,27.0,2.0,1.0,5.0,10.0,4.0,24.0,22.0,15.0,19.0,9.0,25.0,7.0,32.0,28.0,0.0,26.0,3.0,17.0,54.0,52.0,8.0,13.0,33.0,53.0,207.0,61.0,11.0,58.0,20.0
4320,14.0,16.0,5.0,27.0,0.0,2.0,11.0,9.0,19.0,32.0,6.0,12.0,1.0,36.0,51.0,7.0,25.0,4.0,56.0,44.0,26.0,61.0,58.0,85.0,174.0,116.0,195.0,118.0,62.0,112.0
4369,7.0,2.0,9.0,0.0,27.0,8.0,52.0,18.0,11.0,112.0,16.0,39.0,15.0,37.0,1.0,6.0,4.0,5.0,23.0,60.0,1012.0,3.0,69.0,12.0,31.0,359.0,43.0,29.0,34.0,58.0
4418,2.0,18.0,4.0,36.0,20.0,8.0,21.0,23.0,15.0,29.0,3.0,5.0,0.0,43.0,400.0,14.0,344.0,34.0,44.0,13.0,83.0,204.0,10.0,115.0,269.0,22.0,66.0,122.0,191.0,6.0
4467,2.0,6.0,14.0,141.0,74.0,186.0,12.0,42.0,132.0,59.0,1.0,7.0,35.0,22.0,452.0,47.0,26.0,0.0,70.0,10.0,3.0,149.0,38.0,683.0,1235.0,298.0,67.0,212.0,319.0,11.0
4516,0.0,1.0,2.0,356.0,52.0,29.0,9.0,40.0,54.0,11.0,24.0,31.0,16.0,35.0,77.0,19.0,21.0,8.0,41.0,30.0,45.0,342.0,25.0,36.0,949.0,18.0,34.0,174.0,482.0,4.0
4565,25.0,0.0,10.0,2.0,321.0,57.0,14.0,6.0,47.0,24.0,50.0,13.0,1.0,15.0,128.0,9.0,67.0,3.0,70.0,17.0,37.0,263.0,5.0,609.0,90.0,154.0,36.0,43.0,58.0,7.0
4614,8.0,46.0,47.0,10.0,340.0,14.0,28.0,54.0,32.0,16.0,11.0,17.0,1.0,12.0,61.0,4.0,124.0,53.0,13.0,25.0,42.0,168.0,5.0,246.0,342.0,48.0,7.0,1084.0,57.0,2.0
4663,7.0,4.0,17.0,1.0,109.0,10.0,20.0,28.0,27.0,76.0,43.0,3.0,2.0,35.0,94.0,6.0,67.0,8.0,98.0,13.0,22.0,111.0,37.0,146.0,195.0,56.0,9.0,276.0,112.0,0.0
4712,11.0,10.0,1.0,8.0,81.0,28.0,9.0,16.0,6.0,18.0,0.0,12.0,4.0,20.0,373.0,25.0,34.0,85.0,2.0,13.0,50.0,170.0,5.0,38.0,212.0,84.0,47.0,107.0,110.0,19.0
4761,3.0,1.0,61.0,191.0,13.0,21.0,16.0,47.0,5.0,25.0,2.0,7.0,9.0,30.0,379.0,28.0,36.0,17.0,22.0,20.0,6.0,110.0,14.0,149.0,293.0,136.0,59.0,27.0,172.0,4.0
4810,9.0,37.0,2.0,0.0,1517.0,13.0,156.0,17.0,5.0,21.0,50.0,33.0,35.0,16.0,258.0,6.0,86.0,20.0,3.0,14.0,120.0,62.0,8.0,361.0,242.0,22.0,4.0,73.0,70.0,1.0
4859,2.0,4.0,3.0,43.0,26.0,49.0,29.0,13.0,12.0,19.0,1.0,9.0,16.0,28.0,629.0,7.0,48.0,0.0,51.0,15.0,5.0,86.0,56.0,173.0,865.0,118.0,34.0,208.0,127.0,11.0
