,Bax,Caspase-7_cleavedD198,XBP1,YB-1_pS102,GAPDH,HER3,FRA1,Notch1,p38_pT180_Y182,CD49b,CDK1,RAD51,ASNS,PEA15_pS116,HSP70,Beclin,14-3-3_zeta,Src_pY527,G6PD,Annexin 1,NDRG1_pT346,PAI-1,ACVRL1,MEK1_pS217_S221,PDCD4,p14 Arf(BetA300-340A),Cyclin_B1,FoxM1,Caveolin-1,MDMX_MDM4(BetIHC-00108)
3188,0.0,7.0,4.0,1.0,3.0,2.0,23.0,10.0,9.0,14.0,13.0,27.0,20.0,24.0,11.0,29.0,16.0,12.0,15.0,118.0,17.0,26.0,6.0,48.0,5.0,21.0,81.0,18.0,8.0,49.0
3237,0.0,1.0,2.0,3.0,8.0,21.0,13.0,6.0,5.0,11.0,15.0,18.0,9.0,20.0,7.0,27.0,110.0,16.0,119.0,100.0,14.0,12.0,4.0,25.0,22.0,26.0,34.0,35.0,10.0,33.0
3286,0.0,3.0,1.0,7.0,2.0,9.0,18.0,6.0,21.0,8.0,91.0,13.0,5.0,79.0,4.0,102.0,26.0,17.0,16.0,92.0,23.0,19.0,14.0,22.0,10.0,42.0,20.0,128.0,27.0,46.0
3335,0.0,5.0,1.0,4.0,6.0,2.0,28.0,10.0,3.0,8.0,14.0,23.0,7.0,13.0,15.0,16.0,21.0,12.0,22.0,99.0,29.0,11.0,9.0,24.0,27.0,32.0,114.0,20.0,34.0,33.0
3384,0.0,4.0,7.0,3.0,1.0,8.0,18.0,9.0,21.0,6.0,26.0,13.0,2.0,31.0,5.0,16.0,20.0,32.0,33.0,30.0,17.0,15.0,10.0,56.0,19.0,28.0,37.0,122.0,25.0,29.0
3433,0.0,8.0,4.0,2.0,14.0,6.0,7.0,20.0,27.0,34.0,18.0,23.0,3.0,35.0,1.0,21.0,31.0,9.0,30.0,5.0,48.0,29.0,17.0,28.0,70.0,40.0,26.0,15.0,36.0,13.0
3482,0.0,1.0,4.0,3.0,6.0,7.0,2.0,12.0,5.0,15.0,33.0,17.0,11.0,14.0,9.0,16.0,19.0,63.0,25.0,8.0,49.0,39.0,122.0,24.0,54.0,28.0,13.0,18.0,36.0,20.0
3531,0.0,4.0,2.0,1.0,7.0,3.0,9.0,29.0,12.0,22.0,89.0,25.0,21.0,30.0,6.0,8.0,26.0,31.0,33.0,17.0,24.0,23.0,106.0,11.0,28.0,16.0,15.0,13.0,20.0,27.0
3580,0.0,2.0,1.0,3.0,10.0,4.0,7.0,6.0,23.0,19.0,9.0,18.0,8.0,24.0,5.0,35.0,29.0,27.0,12.0,20.0,51.0,21.0,28.0,16.0,81.0,30.0,11.0,15.0,25.0,71.0
3629,4.0,10.0,0.0,3.0,5.0,2.0,1.0,34.0,28.0,17.0,6.0,24.0,13.0,16.0,15.0,12.0,21.0,18.0,35.0,23.0,27.0,20.0,118.0,38.0,52.0,37.0,36.0,30.0,25.0,32.0
3678,0.0,4.0,2.0,1.0,5.0,3.0,10.0,24.0,14.0,21.0,26.0,36.0,27.0,13.0,8.0,11.0,9.0,6.0,33.0,34.0,20.0,18.0,31.0,12.0,28.0,25.0,17.0,16.0,19.0,15.0
3727,0.0,1.0,3.0,2.0,8.0,4.0,9.0,21.0,10.0,15.0,26.0,20.0,6.0,27.0,11.0,28.0,22.0,13.0,35.0,5.0,48.0,32.0,24.0,31.0,76.0,41.0,33.0,17.0,19.0,16.0
3776,1.0,8.0,5.0,7.0,3.0,0.0,4.0,22.0,15.0,12.0,38.0,23.0,14.0,39.0,6.0,13.0,10.0,9.0,112.0,2.0,11.0,21.0,20.0,33.0,78.0,25.0,32.0,115.0,29.0,44.0
3825,1.0,5.0,3.0,4.0,16.0,0.0,2.0,9.0,8.0,33.0,30.0,11.0,13.0,26.0,6.0,126.0,110.0,10.0,119.0,12.0,41.0,55.0,25.0,19.0,20.0,40.0,29.0,121.0,24.0,15.0
3874,0.0,1.0,4.0,3.0,6.0,2.0,8.0,41.0,17.0,11.0,12.0,72.0,5.0,22.0,10.0,24.0,109.0,7.0,25.0,15.0,18.0,13.0,31.0,45.0,52.0,50.0,14.0,20.0,27.0,34.0
3923,0.0,1.0,11.0,2.0,3.0,4.0,8.0,12.0,15.0,27.0,14.0,20.0,6.0,9.0,5.0,18.0,19.0,22.0,26.0,7.0,23.0,17.0,28.0,49.0,24.0,31.0,33.0,36.0,92.0,13.0
3972,0.0,1.0,8.0,5.0,4.0,3.0,2.0,7.0,13.0,20.0,15.0,6.0,23.0,14.0,10.0,94.0,34.0,33.0,36.0,11.0,19.0,21.0,9.0,24.0,25.0,18.0,17.0,122.0,89.0,16.0
4021,0.0,4.0,14.0,1.0,2.0,11.0,6.0,3.0,23.0,13.0,16.0,7.0,9.0,26.0,12.0,33.0,15.0,35.0,27.0,10.0,8.0,19.0,25.0,28.0,77.0,32.0,17.0,24.0,110.0,5.0
4070,0.0,1.0,4.0,23.0,2.0,5.0,3.0,16.0,30.0,22.0,8.0,9.0,7.0,20.0,15.0,125.0,24.0,28.0,25.0,6.0,14.0,11.0,19.0,40.0,13.0,35.0,27.0,34.0,32.0,71.0
4119,0.0,1.0,6.0,3.0,7.0,11.0,8.0,4.0,5.0,16.0,10.0,14.0,9.0,32.0,2.0,90.0,24.0,22.0,20.0,13.0,21.0,17.0,23.0,67.0,81.0,28.0,27.0,19.0,99.0,36.0
4168,1.0,2.0,13.0,4.0,12.0,3.0,0.0,16.0,9.0,15.0,5.0,11.0,27.0,20.0,7.0,10.0,107.0,58.0,113.0,29.0,6.0,19.0,18.0,43.0,8.0,14.0,26.0,122.0,101.0,31.0
4217,0.0,1.0,9.0,5.0,3.0,26.0,2.0,13.0,6.0,7.0,17.0,8.0,4.0,38.0,21.0,96.0,23.0,19.0,121.0,15.0,16.0,12.0,22.0,28.0,54.0,24.0,39.0,123.0,35.0,20.0
4266,0.0,2.0,3.0,4.0,6.0,11.0,1.0,7.0,28.0,21.0,10.0,15.0,8.0,20.0,5.0,35.0,12.0,19.0,36.0,9.0,41.0,31.0,17.0,16.0,66.0,32.0,26.0,114.0,29.0,14.0
4315,0.0,1.0,5.0,3.0,12.0,13.0,6.0,10.0,15.0,4.0,27.0,22.0,16.0,7.0,2.0,100.0,20.0,56.0,24.0,9.0,26.0,32.0,8.0,23.0,28.0,41.0,17.0,118.0,96.0,11.0
4364,0.0,3.0,22.0,4.0,1.0,5.0,21.0,28.0,6.0,10.0,11.0,9.0,26.0,2.0,114.0,90.0,109.0,30.0,17.0,13.0,56.0,18.0,7.0,51.0,36.0,15.0,16.0,20.0,83.0,12.0
4413,0.0,2.0,10.0,6.0,1.0,7.0,15.0,11.0,26.0,9.0,33.0,14.0,4.0,12.0,21.0,3.0,22.0,5.0,116.0,30.0,46.0,20.0,8.0,17.0,64.0,19.0,29.0,18.0,96.0,16.0
4462,1.0,3.0,14.0,0.0,4.0,28.0,17.0,10.0,15.0,21.0,20.0,19.0,9.0,16.0,8.0,2.0,12.0,5.0,26.0,31.0,52.0,18.0,11.0,6.0,7.0,23.0,32.0,33.0,24.0,41.0
4511,1.0,5.0,4.0,6.0,0.0,13.0,2.0,12.0,18.0,7.0,30.0,15.0,10.0,17.0,9.0,8.0,107.0,3.0,19.0,96.0,25.0,16.0,11.0,22.0,73.0,23.0,29.0,33.0,85.0,50.0
4560,0.0,1.0,7.0,4.0,6.0,19.0,24.0,5.0,3.0,30.0,21.0,9.0,16.0,2.0,8.0,10.0,40.0,22.0,23.0,20.0,33.0,31.0,27.0,11.0,12.0,37.0,89.0,14.0,101.0,26.0
4609,0.0,1.0,2.0,3.0,10.0,7.0,15.0,9.0,33.0,4.0,19.0,17.0,5.0,8.0,22.0,6.0,110.0,11.0,16.0,111.0,32.0,42.0,18.0,26.0,14.0,23.0,24.0,13.0,91.0,81.0
4658,6.0,1.0,0.0,2.0,5.0,31.0,9.0,15.0,4.0,19.0,3.0,22.0,12.0,10.0,20.0,7.0,107.0,35.0,123.0,18.0,50.0,32.0,27.0,26.0,72.0,34.0,13.0,11.0,86.0,42.0
4707,3.0,1.0,8.0,11.0,0.0,10.0,21.0,4.0,6.0,9.0,36.0,7.0,5.0,16.0,14.0,13.0,20.0,2.0,23.0,101.0,55.0,79.0,24.0,38.0,15.0,12.0,110.0,40.0,32.0,28.0
4756,0.0,2.0,12.0,5.0,4.0,14.0,11.0,1.0,6.0,9.0,84.0,25.0,10.0,7.0,16.0,8.0,23.0,3.0,114.0,24.0,43.0,22.0,18.0,19.0,20.0,38.0,103.0,13.0,86.0,27.0
4805,6.0,2.0,15.0,11.0,0.0,7.0,12.0,3.0,1.0,9.0,30.0,4.0,14.0,13.0,16.0,5.0,24.0,8.0,22.0,34.0,28.0,49.0,10.0,33.0,35.0,46.0,121.0,117.0,85.0,37.0
4854,0.0,9.0,14.0,3.0,7.0,4.0,6.0,24.0,15.0,13.0,29.0,5.0,11.0,2.0,8.0,10.0,33.0,1.0,12.0,25.0,35.0,27.0,16.0,28.0,22.0,17.0,30.0,26.0,96.0,36.0
