,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-425,hsa-miR-574-5p,hsa-miR-155,hsa-miR-642,hsa-miR-744,hsa-miR-769-5p,hsa-miR-944,hsa-miR-630,hsa-miR-34c-5p,hsa-miR-223,hsa-miR-762,hsa-miR-133b,hsa-miR-186,hsa-miR-551b,hsa-miR-582-5p,ebv-miR-BART18-3p,hsa-miR-1248,hsa-miR-330-3p,hsa-miR-581,hsa-miR-579,hsa-miR-1197,hsa-miR-1301,hsa-miR-125a-3p,hsa-miR-491-3p,hsa-miR-601,hsa-miR-885-3p,hsa-miR-584
1340,1.0,13.0,2.0,0.0,15.0,16.0,35.0,12.0,4.0,5.0,21.0,26.0,48.0,3.0,19.0,14.0,40.0,85.0,17.0,8.0,39.0,18.0,6.0,11.0,45.0,28.0,37.0,10.0,25.0,7.0
1389,2.0,18.0,0.0,3.0,11.0,17.0,23.0,6.0,8.0,9.0,12.0,45.0,26.0,19.0,25.0,30.0,39.0,33.0,82.0,4.0,34.0,74.0,1.0,90.0,100.0,16.0,78.0,15.0,5.0,14.0
1438,4.0,8.0,1.0,0.0,3.0,6.0,20.0,39.0,5.0,13.0,28.0,21.0,7.0,10.0,19.0,54.0,31.0,27.0,24.0,2.0,29.0,18.0,9.0,11.0,89.0,26.0,32.0,12.0,16.0,17.0
1487,8.0,3.0,1.0,6.0,4.0,5.0,33.0,14.0,0.0,54.0,2.0,7.0,44.0,16.0,30.0,38.0,59.0,53.0,32.0,11.0,15.0,12.0,31.0,58.0,13.0,23.0,17.0,41.0,72.0,24.0
1536,7.0,2.0,1.0,0.0,16.0,5.0,8.0,19.0,3.0,13.0,11.0,10.0,15.0,4.0,12.0,18.0,87.0,6.0,37.0,31.0,14.0,20.0,9.0,62.0,24.0,33.0,25.0,41.0,295.0,22.0
1585,5.0,1.0,8.0,0.0,2.0,4.0,9.0,20.0,17.0,27.0,10.0,12.0,51.0,7.0,6.0,33.0,31.0,11.0,30.0,42.0,13.0,29.0,3.0,112.0,14.0,22.0,46.0,156.0,21.0,18.0
1634,13.0,3.0,8.0,0.0,5.0,11.0,1.0,4.0,9.0,68.0,6.0,19.0,15.0,16.0,7.0,44.0,24.0,22.0,27.0,18.0,23.0,29.0,21.0,33.0,38.0,407.0,20.0,12.0,53.0,26.0
1683,11.0,0.0,2.0,3.0,7.0,15.0,23.0,12.0,9.0,40.0,1.0,6.0,29.0,17.0,13.0,18.0,35.0,20.0,19.0,4.0,14.0,34.0,10.0,37.0,8.0,89.0,31.0,41.0,16.0,5.0
1732,7.0,2.0,1.0,3.0,11.0,5.0,34.0,17.0,9.0,28.0,0.0,36.0,13.0,6.0,23.0,22.0,56.0,4.0,44.0,14.0,16.0,12.0,8.0,33.0,18.0,19.0,48.0,97.0,32.0,27.0
1781,2.0,1.0,6.0,0.0,14.0,10.0,5.0,12.0,4.0,26.0,3.0,17.0,19.0,29.0,11.0,20.0,23.0,8.0,40.0,15.0,9.0,18.0,7.0,51.0,24.0,39.0,76.0,42.0,56.0,28.0
1830,15.0,0.0,8.0,2.0,1.0,22.0,29.0,7.0,5.0,19.0,3.0,11.0,45.0,4.0,9.0,21.0,34.0,10.0,25.0,53.0,38.0,23.0,12.0,74.0,59.0,24.0,43.0,68.0,81.0,47.0
1879,1.0,0.0,15.0,4.0,25.0,8.0,18.0,6.0,5.0,19.0,3.0,11.0,17.0,12.0,7.0,46.0,69.0,2.0,13.0,26.0,21.0,16.0,14.0,42.0,10.0,67.0,49.0,43.0,28.0,22.0
1928,32.0,0.0,17.0,8.0,20.0,6.0,21.0,4.0,16.0,39.0,2.0,1.0,3.0,26.0,11.0,14.0,19.0,9.0,42.0,12.0,22.0,24.0,13.0,99.0,5.0,63.0,18.0,74.0,7.0,108.0
1977,14.0,42.0,2.0,17.0,1.0,10.0,8.0,0.0,16.0,13.0,6.0,29.0,22.0,25.0,51.0,4.0,5.0,57.0,23.0,44.0,12.0,37.0,3.0,15.0,7.0,11.0,21.0,20.0,49.0,9.0
2026,7.0,1.0,0.0,17.0,3.0,4.0,9.0,14.0,30.0,6.0,41.0,2.0,38.0,18.0,51.0,25.0,19.0,16.0,28.0,27.0,11.0,46.0,10.0,32.0,33.0,12.0,55.0,13.0,64.0,22.0
2075,2.0,11.0,3.0,8.0,0.0,6.0,24.0,13.0,7.0,26.0,18.0,22.0,27.0,28.0,25.0,14.0,9.0,15.0,1.0,40.0,31.0,16.0,4.0,113.0,19.0,20.0,39.0,29.0,64.0,5.0
2124,4.0,8.0,0.0,5.0,1.0,7.0,21.0,20.0,27.0,26.0,10.0,13.0,12.0,3.0,55.0,23.0,9.0,73.0,16.0,72.0,39.0,18.0,2.0,31.0,30.0,11.0,47.0,40.0,35.0,6.0
2173,5.0,23.0,1.0,8.0,0.0,4.0,21.0,3.0,27.0,6.0,13.0,22.0,17.0,7.0,58.0,12.0,11.0,32.0,33.0,26.0,39.0,20.0,2.0,61.0,10.0,16.0,122.0,24.0,15.0,18.0
2222,2.0,11.0,0.0,20.0,1.0,3.0,5.0,10.0,32.0,15.0,22.0,17.0,43.0,6.0,50.0,9.0,4.0,19.0,14.0,28.0,44.0,8.0,7.0,52.0,13.0,24.0,27.0,16.0,18.0,26.0
2271,1.0,12.0,0.0,5.0,2.0,28.0,16.0,10.0,24.0,7.0,17.0,55.0,31.0,29.0,47.0,21.0,3.0,18.0,19.0,14.0,56.0,20.0,4.0,61.0,30.0,15.0,46.0,11.0,6.0,13.0
2320,4.0,19.0,0.0,15.0,1.0,9.0,5.0,6.0,42.0,32.0,12.0,13.0,39.0,11.0,25.0,3.0,16.0,57.0,31.0,20.0,28.0,22.0,2.0,10.0,17.0,40.0,33.0,44.0,37.0,26.0
2369,2.0,3.0,0.0,9.0,1.0,6.0,22.0,48.0,35.0,12.0,14.0,8.0,4.0,10.0,17.0,7.0,28.0,13.0,11.0,53.0,89.0,38.0,5.0,24.0,21.0,19.0,69.0,87.0,36.0,29.0
2418,13.0,6.0,0.0,10.0,1.0,2.0,24.0,310.0,38.0,14.0,7.0,5.0,15.0,11.0,34.0,9.0,17.0,51.0,25.0,4.0,40.0,37.0,3.0,478.0,16.0,33.0,60.0,27.0,19.0,8.0
2467,28.0,6.0,12.0,1.0,4.0,3.0,10.0,16.0,8.0,15.0,25.0,7.0,0.0,19.0,18.0,49.0,27.0,17.0,39.0,2.0,58.0,37.0,11.0,14.0,21.0,24.0,13.0,32.0,44.0,22.0
2516,33.0,0.0,4.0,2.0,1.0,3.0,13.0,65.0,36.0,12.0,37.0,15.0,16.0,32.0,42.0,39.0,38.0,35.0,20.0,5.0,466.0,29.0,49.0,10.0,9.0,27.0,11.0,6.0,8.0,43.0
2565,10.0,0.0,15.0,4.0,2.0,1.0,27.0,38.0,9.0,12.0,25.0,5.0,3.0,21.0,33.0,34.0,16.0,47.0,6.0,20.0,19.0,45.0,23.0,102.0,26.0,46.0,7.0,63.0,17.0,35.0
2614,32.0,0.0,16.0,1.0,15.0,3.0,17.0,53.0,4.0,22.0,11.0,10.0,2.0,14.0,19.0,34.0,20.0,38.0,18.0,6.0,24.0,69.0,30.0,48.0,7.0,93.0,26.0,79.0,21.0,9.0
2663,26.0,2.0,16.0,0.0,1.0,3.0,20.0,10.0,18.0,4.0,11.0,8.0,5.0,17.0,15.0,34.0,14.0,6.0,13.0,9.0,24.0,45.0,21.0,68.0,25.0,110.0,36.0,46.0,12.0,37.0
2712,19.0,0.0,7.0,4.0,3.0,2.0,6.0,50.0,37.0,8.0,21.0,9.0,1.0,13.0,20.0,52.0,17.0,18.0,5.0,15.0,32.0,30.0,22.0,29.0,12.0,86.0,16.0,27.0,11.0,24.0
2761,16.0,3.0,11.0,0.0,5.0,2.0,1.0,17.0,26.0,14.0,36.0,7.0,4.0,18.0,23.0,6.0,10.0,8.0,9.0,25.0,39.0,52.0,35.0,63.0,21.0,30.0,31.0,19.0,89.0,15.0
2810,6.0,1.0,36.0,3.0,0.0,4.0,27.0,32.0,12.0,8.0,24.0,2.0,5.0,15.0,20.0,33.0,21.0,13.0,11.0,7.0,59.0,18.0,30.0,9.0,39.0,106.0,14.0,47.0,34.0,37.0
2859,32.0,0.0,17.0,7.0,3.0,1.0,6.0,9.0,36.0,8.0,21.0,2.0,4.0,23.0,14.0,51.0,30.0,5.0,13.0,19.0,38.0,28.0,50.0,53.0,47.0,46.0,12.0,11.0,16.0,15.0
2908,18.0,0.0,4.0,8.0,1.0,2.0,3.0,34.0,33.0,12.0,19.0,10.0,16.0,32.0,29.0,27.0,39.0,31.0,9.0,7.0,5.0,21.0,40.0,6.0,17.0,20.0,75.0,47.0,13.0,37.0
2957,1.0,0.0,5.0,9.0,2.0,13.0,42.0,10.0,6.0,3.0,11.0,4.0,15.0,16.0,14.0,23.0,44.0,90.0,19.0,64.0,24.0,7.0,8.0,28.0,76.0,35.0,49.0,205.0,12.0,31.0
3006,5.0,0.0,1.0,23.0,2.0,11.0,7.0,22.0,3.0,8.0,9.0,10.0,12.0,53.0,15.0,17.0,29.0,77.0,13.0,28.0,20.0,59.0,6.0,37.0,39.0,24.0,27.0,19.0,40.0,34.0
3055,7.0,0.0,2.0,15.0,6.0,19.0,40.0,3.0,1.0,10.0,8.0,4.0,20.0,16.0,9.0,24.0,33.0,93.0,5.0,22.0,26.0,90.0,13.0,21.0,63.0,42.0,14.0,64.0,82.0,25.0
3104,0.0,1.0,8.0,5.0,11.0,4.0,19.0,2.0,3.0,9.0,18.0,21.0,10.0,32.0,22.0,13.0,17.0,143.0,23.0,6.0,20.0,30.0,7.0,27.0,65.0,15.0,34.0,85.0,25.0,58.0
3153,3.0,1.0,15.0,8.0,6.0,12.0,2.0,17.0,0.0,10.0,14.0,4.0,7.0,25.0,21.0,5.0,18.0,147.0,40.0,23.0,11.0,38.0,13.0,36.0,50.0,64.0,30.0,59.0,16.0,53.0
3202,2.0,0.0,12.0,6.0,1.0,7.0,11.0,5.0,3.0,8.0,16.0,4.0,14.0,26.0,9.0,24.0,32.0,105.0,22.0,44.0,21.0,10.0,19.0,82.0,17.0,36.0,29.0,101.0,63.0,40.0
3251,6.0,1.0,2.0,18.0,8.0,3.0,43.0,20.0,0.0,5.0,24.0,14.0,22.0,41.0,17.0,7.0,21.0,50.0,27.0,55.0,12.0,11.0,33.0,13.0,105.0,9.0,4.0,83.0,19.0,54.0
3300,13.0,0.0,12.0,6.0,10.0,9.0,7.0,20.0,4.0,1.0,3.0,8.0,2.0,11.0,15.0,19.0,14.0,45.0,5.0,16.0,18.0,35.0,22.0,26.0,43.0,17.0,24.0,123.0,23.0,49.0
3349,7.0,1.0,6.0,0.0,12.0,27.0,19.0,2.0,13.0,14.0,3.0,16.0,10.0,35.0,5.0,9.0,30.0,40.0,22.0,20.0,34.0,36.0,4.0,72.0,15.0,11.0,43.0,44.0,33.0,62.0
3398,2.0,0.0,4.0,7.0,3.0,10.0,16.0,18.0,1.0,9.0,12.0,8.0,5.0,33.0,15.0,19.0,22.0,35.0,6.0,32.0,29.0,36.0,65.0,67.0,71.0,40.0,20.0,62.0,34.0,38.0
3447,0.0,3.0,1.0,31.0,7.0,9.0,13.0,24.0,11.0,10.0,5.0,16.0,8.0,15.0,14.0,46.0,39.0,2.0,12.0,45.0,30.0,28.0,17.0,78.0,27.0,38.0,33.0,82.0,25.0,47.0
3496,2.0,10.0,9.0,4.0,43.0,11.0,5.0,0.0,14.0,8.0,18.0,31.0,20.0,7.0,28.0,75.0,3.0,27.0,23.0,51.0,6.0,45.0,36.0,30.0,53.0,47.0,58.0,80.0,37.0,50.0
3545,1.0,0.0,8.0,24.0,36.0,3.0,2.0,17.0,6.0,12.0,10.0,14.0,21.0,16.0,5.0,86.0,45.0,11.0,13.0,65.0,22.0,30.0,44.0,32.0,34.0,47.0,25.0,67.0,19.0,26.0
3594,1.0,7.0,0.0,18.0,17.0,5.0,2.0,27.0,15.0,12.0,21.0,23.0,4.0,20.0,10.0,104.0,19.0,14.0,8.0,47.0,44.0,41.0,57.0,40.0,22.0,111.0,43.0,48.0,3.0,56.0
3643,0.0,8.0,6.0,2.0,54.0,20.0,7.0,4.0,1.0,17.0,5.0,501.0,29.0,26.0,21.0,42.0,9.0,3.0,11.0,36.0,10.0,61.0,12.0,75.0,56.0,68.0,83.0,95.0,15.0,38.0
3692,3.0,0.0,4.0,10.0,9.0,13.0,19.0,6.0,2.0,12.0,8.0,35.0,23.0,7.0,11.0,49.0,22.0,1.0,5.0,107.0,33.0,36.0,31.0,30.0,47.0,69.0,53.0,113.0,32.0,112.0
3741,0.0,3.0,1.0,5.0,29.0,30.0,18.0,7.0,12.0,33.0,35.0,9.0,22.0,14.0,23.0,39.0,97.0,2.0,4.0,32.0,28.0,16.0,38.0,74.0,52.0,56.0,20.0,42.0,8.0,65.0
3790,0.0,2.0,3.0,4.0,20.0,32.0,7.0,31.0,1.0,37.0,10.0,12.0,14.0,8.0,6.0,83.0,15.0,23.0,9.0,19.0,13.0,22.0,17.0,24.0,39.0,73.0,30.0,96.0,5.0,54.0
3839,3.0,0.0,2.0,25.0,36.0,7.0,27.0,6.0,1.0,35.0,12.0,18.0,16.0,10.0,4.0,39.0,24.0,9.0,33.0,59.0,31.0,34.0,19.0,22.0,50.0,46.0,8.0,64.0,21.0,47.0
3888,4.0,2.0,1.0,14.0,13.0,11.0,15.0,0.0,23.0,26.0,5.0,16.0,86.0,6.0,18.0,20.0,64.0,3.0,44.0,30.0,40.0,39.0,47.0,21.0,73.0,118.0,27.0,84.0,28.0,104.0
3937,4.0,33.0,31.0,1.0,0.0,5.0,3.0,18.0,13.0,17.0,9.0,11.0,27.0,32.0,25.0,2.0,21.0,15.0,67.0,6.0,23.0,24.0,28.0,16.0,99.0,387.0,34.0,8.0,110.0,36.0
3986,0.0,12.0,10.0,7.0,2.0,9.0,4.0,38.0,11.0,27.0,5.0,1.0,16.0,34.0,87.0,17.0,3.0,8.0,24.0,22.0,14.0,29.0,25.0,20.0,64.0,58.0,82.0,15.0,6.0,109.0
4035,1.0,13.0,0.0,2.0,3.0,4.0,7.0,8.0,17.0,26.0,5.0,16.0,10.0,23.0,29.0,6.0,12.0,11.0,32.0,9.0,22.0,15.0,25.0,14.0,56.0,62.0,41.0,24.0,60.0,82.0
4084,6.0,8.0,1.0,7.0,2.0,9.0,20.0,3.0,0.0,22.0,4.0,15.0,5.0,43.0,51.0,11.0,12.0,18.0,38.0,76.0,27.0,48.0,14.0,99.0,71.0,69.0,31.0,13.0,86.0,33.0
4133,4.0,5.0,7.0,17.0,1.0,3.0,6.0,0.0,15.0,20.0,2.0,26.0,10.0,32.0,58.0,8.0,25.0,12.0,45.0,9.0,14.0,24.0,48.0,44.0,47.0,27.0,28.0,13.0,99.0,67.0
4182,0.0,2.0,4.0,3.0,5.0,6.0,1.0,44.0,16.0,39.0,26.0,27.0,25.0,29.0,47.0,8.0,35.0,22.0,15.0,13.0,24.0,53.0,80.0,48.0,66.0,23.0,28.0,9.0,45.0,61.0
4231,0.0,3.0,26.0,14.0,4.0,7.0,15.0,8.0,21.0,9.0,5.0,1.0,10.0,12.0,13.0,2.0,19.0,6.0,22.0,27.0,24.0,25.0,57.0,20.0,67.0,51.0,465.0,17.0,55.0,133.0
4280,0.0,5.0,2.0,9.0,1.0,3.0,4.0,17.0,15.0,27.0,8.0,11.0,7.0,19.0,38.0,10.0,14.0,16.0,32.0,22.0,6.0,47.0,114.0,59.0,30.0,51.0,75.0,25.0,44.0,48.0
4329,1.0,9.0,28.0,2.0,11.0,7.0,0.0,5.0,22.0,4.0,16.0,17.0,15.0,21.0,30.0,8.0,12.0,3.0,44.0,26.0,14.0,72.0,25.0,102.0,419.0,20.0,43.0,24.0,114.0,53.0
4378,1.0,21.0,2.0,3.0,0.0,4.0,9.0,8.0,26.0,24.0,16.0,5.0,7.0,13.0,10.0,23.0,14.0,43.0,28.0,12.0,11.0,6.0,110.0,57.0,67.0,383.0,50.0,15.0,30.0,52.0
4427,3.0,1.0,6.0,0.0,11.0,25.0,16.0,2.0,10.0,8.0,4.0,44.0,12.0,22.0,35.0,27.0,15.0,80.0,37.0,14.0,76.0,9.0,13.0,28.0,66.0,65.0,50.0,7.0,110.0,20.0
4476,0.0,9.0,11.0,6.0,12.0,7.0,23.0,2.0,20.0,1.0,10.0,5.0,4.0,28.0,33.0,37.0,14.0,76.0,13.0,16.0,63.0,26.0,93.0,77.0,22.0,35.0,94.0,3.0,113.0,81.0
4525,0.0,5.0,9.0,6.0,10.0,7.0,13.0,1.0,18.0,4.0,2.0,3.0,8.0,17.0,14.0,46.0,15.0,31.0,12.0,16.0,48.0,39.0,30.0,43.0,28.0,23.0,492.0,11.0,102.0,19.0
4574,2.0,3.0,29.0,1.0,10.0,12.0,4.0,13.0,30.0,6.0,8.0,5.0,11.0,89.0,14.0,32.0,31.0,22.0,7.0,16.0,58.0,9.0,43.0,61.0,21.0,71.0,77.0,17.0,42.0,56.0
4623,9.0,4.0,6.0,3.0,30.0,8.0,5.0,2.0,24.0,0.0,18.0,1.0,7.0,19.0,20.0,54.0,14.0,53.0,29.0,13.0,38.0,26.0,23.0,12.0,21.0,10.0,47.0,22.0,90.0,33.0
4672,0.0,4.0,12.0,2.0,10.0,1.0,3.0,7.0,31.0,14.0,8.0,15.0,20.0,22.0,23.0,43.0,18.0,5.0,33.0,25.0,17.0,34.0,11.0,108.0,13.0,6.0,107.0,60.0,32.0,47.0
4721,0.0,8.0,9.0,1.0,4.0,14.0,11.0,34.0,16.0,3.0,5.0,7.0,2.0,12.0,20.0,54.0,15.0,24.0,36.0,22.0,56.0,10.0,76.0,19.0,27.0,80.0,86.0,13.0,60.0,35.0
4770,5.0,0.0,8.0,30.0,9.0,4.0,2.0,14.0,43.0,3.0,12.0,1.0,7.0,17.0,35.0,6.0,20.0,13.0,16.0,19.0,100.0,10.0,25.0,45.0,23.0,21.0,471.0,29.0,111.0,95.0
4819,4.0,6.0,9.0,3.0,5.0,22.0,2.0,23.0,25.0,1.0,8.0,11.0,0.0,24.0,33.0,17.0,18.0,7.0,13.0,26.0,78.0,16.0,38.0,51.0,15.0,10.0,88.0,28.0,291.0,98.0
4868,0.0,1.0,13.0,18.0,3.0,2.0,6.0,4.0,7.0,8.0,5.0,15.0,14.0,24.0,10.0,37.0,17.0,19.0,26.0,23.0,46.0,29.0,50.0,39.0,9.0,27.0,69.0,30.0,295.0,51.0
