,ZNF625,SNHG18,PDE10A,ZSCAN18,NDN,HS3ST3A1,BHLHE41,DACH1,ZNF502,GREM1,ZNF334,CCND2,UBA6-AS1,LPHN2,TSPYL5,CCDC8,C17orf97,AC073052.1,UBA6,SPRY1,ROR2,MDFI,GPX1P1,ARL14,GRIN2A,ALDH2,HPDL,RPL39P6,CXADR,ALPK3
1429,5.0,13.0,24.0,20.0,22.0,11.0,40.0,0.0,6.0,76.0,3.0,8.0,65.0,16.0,4.0,1.0,32.0,83.0,56.0,88.0,2.0,26.0,15.0,203.0,1174.0,217.0,349.0,62.0,158.0,52.0
1478,4.0,11.0,2.0,8.0,0.0,6.0,10.0,5.0,24.0,26.0,13.0,33.0,14.0,7.0,21.0,1926.0,76.0,53.0,46.0,41.0,267.0,35.0,17.0,82.0,1975.0,107.0,16.0,211.0,183.0,27.0
1527,1.0,3.0,10.0,0.0,4.0,6.0,41.0,31.0,1124.0,19.0,45.0,44.0,9.0,12.0,155.0,101.0,8.0,99.0,18.0,14.0,164.0,269.0,306.0,263.0,160.0,23.0,363.0,562.0,331.0,20.0
1576,2.0,8.0,13.0,3.0,0.0,1.0,45.0,5.0,140.0,21.0,44.0,25.0,20.0,15.0,271.0,1085.0,14.0,90.0,73.0,91.0,445.0,124.0,6.0,29.0,273.0,18.0,272.0,80.0,227.0,30.0
1625,8.0,2.0,18.0,19.0,0.0,1.0,7.0,10.0,583.0,539.0,119.0,41.0,6.0,4.0,56.0,1622.0,9.0,132.0,37.0,16.0,661.0,46.0,5.0,242.0,287.0,3.0,402.0,709.0,117.0,351.0
1674,2.0,4.0,10.0,15.0,1.0,0.0,11.0,3.0,156.0,87.0,32.0,9.0,27.0,6.0,20.0,2665.0,18.0,521.0,7.0,19.0,16.0,37.0,256.0,46.0,343.0,33.0,354.0,90.0,80.0,780.0
1723,11.0,5.0,0.0,10.0,8.0,1.0,40.0,2.0,95.0,230.0,7.0,29.0,3.0,14.0,15.0,1321.0,20.0,44.0,27.0,25.0,698.0,117.0,1464.0,42.0,187.0,9.0,247.0,262.0,355.0,368.0
1772,7.0,6.0,3.0,4.0,0.0,1.0,18.0,2.0,200.0,45.0,16.0,9.0,28.0,23.0,90.0,758.0,25.0,104.0,46.0,10.0,292.0,110.0,79.0,64.0,155.0,8.0,121.0,463.0,94.0,91.0
1821,4.0,7.0,31.0,5.0,0.0,6.0,18.0,3.0,312.0,13.0,215.0,23.0,60.0,1.0,122.0,455.0,11.0,302.0,412.0,10.0,749.0,2.0,529.0,30.0,187.0,56.0,191.0,80.0,446.0,32.0
1870,3.0,22.0,2.0,7.0,0.0,5.0,36.0,1.0,136.0,23.0,12.0,45.0,10.0,6.0,65.0,634.0,71.0,101.0,14.0,17.0,353.0,26.0,67.0,85.0,2638.0,4.0,175.0,130.0,166.0,46.0
1919,1.0,252.0,3.0,18.0,0.0,12.0,10.0,2.0,187.0,34.0,20.0,5.0,44.0,24.0,142.0,360.0,6.0,35.0,175.0,15.0,157.0,13.0,58.0,152.0,159.0,25.0,387.0,19.0,122.0,64.0
1968,10.0,4.0,0.0,34.0,1.0,39.0,6.0,49.0,114.0,11.0,160.0,105.0,36.0,106.0,12.0,58.0,2.0,96.0,61.0,66.0,1664.0,107.0,166.0,925.0,5.0,94.0,823.0,35.0,91.0,497.0
2017,1.0,0.0,3.0,13.0,4.0,10.0,6.0,15.0,223.0,172.0,74.0,7.0,25.0,12.0,114.0,221.0,2.0,8.0,38.0,16.0,317.0,71.0,133.0,26.0,23.0,112.0,21.0,63.0,20.0,39.0
2066,4.0,1.0,0.0,7.0,11.0,9.0,5.0,12.0,6.0,52.0,50.0,8.0,32.0,2.0,156.0,40.0,18.0,24.0,75.0,26.0,98.0,37.0,213.0,29.0,33.0,65.0,22.0,28.0,25.0,352.0
2115,9.0,0.0,16.0,73.0,1.0,15.0,6.0,10.0,306.0,1004.0,25.0,3.0,101.0,2.0,5.0,58.0,8.0,53.0,389.0,51.0,279.0,7.0,720.0,48.0,54.0,445.0,4.0,930.0,684.0,1764.0
2164,4.0,1.0,0.0,23.0,6.0,19.0,15.0,38.0,7.0,236.0,101.0,3.0,27.0,42.0,16.0,137.0,31.0,84.0,20.0,52.0,121.0,32.0,143.0,13.0,10.0,58.0,28.0,11.0,18.0,102.0
2213,4.0,0.0,1.0,70.0,2.0,6.0,3.0,14.0,33.0,108.0,10.0,7.0,21.0,16.0,12.0,29.0,13.0,35.0,48.0,117.0,24.0,17.0,201.0,8.0,98.0,62.0,40.0,5.0,58.0,185.0
2262,1.0,0.0,3.0,12.0,25.0,2.0,4.0,7.0,67.0,102.0,89.0,8.0,46.0,30.0,61.0,212.0,5.0,73.0,51.0,31.0,1241.0,14.0,1476.0,41.0,6.0,66.0,98.0,10.0,28.0,728.0
2311,2.0,1.0,0.0,17.0,22.0,5.0,4.0,10.0,6.0,168.0,153.0,9.0,30.0,20.0,19.0,34.0,7.0,79.0,36.0,21.0,120.0,3.0,441.0,23.0,31.0,33.0,14.0,51.0,59.0,279.0
2360,3.0,1.0,0.0,9.0,2.0,13.0,6.0,11.0,5.0,146.0,18.0,4.0,12.0,109.0,46.0,24.0,61.0,134.0,10.0,64.0,293.0,198.0,366.0,52.0,34.0,365.0,23.0,62.0,7.0,453.0
2409,4.0,0.0,6.0,3.0,1.0,22.0,34.0,77.0,8.0,86.0,178.0,2.0,9.0,142.0,40.0,518.0,10.0,20.0,30.0,78.0,135.0,81.0,89.0,27.0,26.0,5.0,13.0,25.0,31.0,730.0
2458,4.0,300.0,7.0,3.0,0.0,1.0,8.0,49.0,2.0,6.0,39.0,19.0,28.0,16.0,31.0,162.0,38.0,69.0,14.0,24.0,235.0,88.0,114.0,424.0,58.0,17.0,113.0,13.0,23.0,102.0
2507,2.0,105.0,4.0,1.0,0.0,93.0,5.0,8.0,3.0,7.0,62.0,34.0,63.0,59.0,66.0,200.0,129.0,21.0,139.0,6.0,12.0,16.0,9.0,74.0,67.0,44.0,19.0,23.0,13.0,17.0
2556,0.0,6.0,1.0,4.0,2.0,7.0,11.0,25.0,3.0,5.0,90.0,47.0,263.0,13.0,76.0,26.0,12.0,78.0,169.0,31.0,167.0,30.0,158.0,27.0,17.0,104.0,79.0,15.0,9.0,106.0
2605,0.0,20.0,2.0,1.0,24.0,3.0,6.0,7.0,9.0,4.0,124.0,8.0,79.0,12.0,13.0,15.0,40.0,47.0,69.0,162.0,116.0,18.0,774.0,22.0,59.0,151.0,98.0,5.0,67.0,214.0
2654,0.0,5.0,13.0,1.0,2.0,3.0,6.0,10.0,4.0,8.0,34.0,18.0,95.0,9.0,98.0,25.0,33.0,76.0,69.0,16.0,7.0,27.0,71.0,129.0,79.0,53.0,43.0,47.0,24.0,57.0
2703,2.0,9.0,4.0,3.0,0.0,13.0,5.0,16.0,1.0,6.0,15.0,47.0,76.0,56.0,73.0,74.0,54.0,45.0,30.0,23.0,7.0,22.0,12.0,55.0,50.0,78.0,40.0,42.0,14.0,61.0
2752,1.0,18.0,3.0,2.0,0.0,4.0,10.0,9.0,5.0,6.0,108.0,219.0,55.0,16.0,203.0,24.0,41.0,104.0,36.0,19.0,17.0,12.0,511.0,96.0,34.0,13.0,56.0,57.0,15.0,77.0
2801,1.0,15.0,32.0,5.0,0.0,4.0,10.0,8.0,16.0,42.0,13.0,190.0,99.0,19.0,11.0,24.0,96.0,76.0,22.0,124.0,50.0,70.0,12.0,429.0,491.0,25.0,40.0,185.0,147.0,1140.0
2850,6.0,30.0,11.0,0.0,21.0,19.0,33.0,24.0,1.0,2.0,7.0,5.0,149.0,39.0,52.0,203.0,1748.0,36.0,332.0,37.0,42.0,26.0,45.0,74.0,71.0,55.0,144.0,13.0,14.0,43.0
2899,0.0,16.0,13.0,18.0,56.0,4.0,8.0,2.0,5.0,11.0,23.0,34.0,124.0,12.0,3.0,57.0,44.0,50.0,28.0,31.0,29.0,7.0,762.0,42.0,1148.0,75.0,17.0,20.0,106.0,22.0
2948,0.0,4.0,2.0,7.0,1.0,3.0,13.0,54.0,247.0,21.0,725.0,382.0,20.0,43.0,241.0,61.0,44.0,29.0,52.0,140.0,9.0,42.0,8.0,39.0,31.0,16.0,109.0,15.0,161.0,19.0
2997,0.0,2.0,41.0,4.0,5.0,3.0,6.0,52.0,893.0,81.0,77.0,280.0,111.0,29.0,1.0,35.0,25.0,87.0,86.0,7.0,12.0,15.0,257.0,141.0,125.0,10.0,238.0,313.0,105.0,74.0
3046,2.0,0.0,3.0,4.0,1.0,28.0,8.0,56.0,14.0,27.0,7.0,52.0,21.0,95.0,1090.0,79.0,359.0,15.0,20.0,177.0,58.0,119.0,10.0,238.0,44.0,5.0,199.0,113.0,32.0,54.0
3095,2.0,5.0,6.0,38.0,0.0,1.0,3.0,55.0,630.0,14.0,48.0,705.0,26.0,29.0,4.0,21.0,105.0,114.0,20.0,25.0,711.0,93.0,129.0,578.0,238.0,9.0,645.0,145.0,144.0,128.0
3144,1.0,2.0,14.0,3.0,0.0,10.0,16.0,33.0,105.0,8.0,27.0,48.0,34.0,22.0,85.0,6.0,999.0,66.0,26.0,7.0,86.0,50.0,15.0,370.0,13.0,29.0,574.0,61.0,178.0,60.0
3193,1.0,3.0,4.0,7.0,0.0,11.0,13.0,20.0,130.0,14.0,76.0,90.0,65.0,52.0,6.0,10.0,158.0,17.0,174.0,96.0,70.0,40.0,5.0,59.0,9.0,25.0,765.0,78.0,12.0,21.0
3242,3.0,7.0,8.0,4.0,2.0,0.0,42.0,31.0,388.0,39.0,135.0,28.0,19.0,37.0,17.0,13.0,815.0,84.0,30.0,95.0,440.0,11.0,240.0,78.0,24.0,5.0,112.0,47.0,198.0,54.0
3291,5.0,4.0,9.0,3.0,0.0,1.0,11.0,26.0,66.0,33.0,70.0,37.0,10.0,40.0,2.0,53.0,116.0,86.0,12.0,147.0,93.0,8.0,330.0,48.0,19.0,7.0,169.0,30.0,155.0,240.0
3340,2.0,1.0,4.0,9.0,3.0,0.0,15.0,45.0,190.0,5.0,83.0,53.0,24.0,158.0,23.0,13.0,915.0,32.0,55.0,128.0,306.0,21.0,138.0,25.0,16.0,64.0,151.0,12.0,8.0,48.0
3389,3.0,0.0,2.0,80.0,1.0,9.0,7.0,142.0,127.0,103.0,32.0,25.0,21.0,11.0,174.0,6.0,321.0,22.0,8.0,201.0,317.0,5.0,474.0,133.0,296.0,35.0,128.0,72.0,49.0,156.0
3438,2.0,36.0,0.0,64.0,9.0,11.0,3.0,32.0,7.0,39.0,107.0,23.0,128.0,266.0,5.0,612.0,760.0,111.0,431.0,50.0,735.0,10.0,12.0,144.0,215.0,1196.0,6.0,14.0,124.0,270.0
3487,0.0,18.0,2.0,19.0,26.0,1.0,3.0,104.0,10.0,5.0,351.0,7.0,265.0,8.0,11.0,235.0,328.0,79.0,299.0,32.0,196.0,46.0,4.0,99.0,315.0,782.0,55.0,45.0,17.0,23.0
3536,0.0,3.0,23.0,47.0,13.0,1.0,4.0,77.0,10.0,6.0,126.0,17.0,37.0,44.0,245.0,156.0,1396.0,51.0,34.0,98.0,96.0,220.0,52.0,105.0,286.0,180.0,725.0,7.0,5.0,21.0
3585,0.0,5.0,17.0,14.0,15.0,2.0,4.0,89.0,10.0,1.0,1851.0,6.0,269.0,83.0,171.0,18.0,37.0,94.0,660.0,150.0,313.0,12.0,80.0,56.0,144.0,562.0,54.0,8.0,48.0,58.0
3634,6.0,20.0,13.0,26.0,7.0,5.0,24.0,127.0,12.0,0.0,1092.0,136.0,200.0,19.0,1.0,76.0,211.0,46.0,598.0,22.0,132.0,192.0,15.0,186.0,169.0,179.0,11.0,3.0,336.0,29.0
3683,7.0,28.0,26.0,110.0,431.0,11.0,3.0,63.0,2.0,0.0,386.0,1.0,56.0,18.0,8.0,637.0,641.0,92.0,206.0,57.0,31.0,39.0,9.0,221.0,305.0,162.0,5.0,6.0,54.0,32.0
3732,3.0,14.0,4.0,53.0,25.0,2.0,10.0,117.0,11.0,0.0,1554.0,5.0,54.0,171.0,41.0,196.0,884.0,162.0,118.0,64.0,16.0,18.0,7.0,30.0,287.0,341.0,31.0,6.0,66.0,9.0
3781,4.0,353.0,6.0,25.0,5.0,28.0,9.0,63.0,3.0,1.0,215.0,24.0,635.0,150.0,38.0,122.0,96.0,10.0,2380.0,359.0,76.0,12.0,0.0,20.0,72.0,393.0,33.0,16.0,264.0,41.0
3830,0.0,2.0,244.0,3.0,62.0,17.0,7.0,31.0,1.0,5.0,138.0,16.0,95.0,79.0,9.0,266.0,604.0,54.0,199.0,21.0,91.0,24.0,4.0,30.0,68.0,242.0,14.0,13.0,85.0,25.0
3879,3.0,8.0,33.0,95.0,2.0,446.0,0.0,136.0,9.0,6.0,142.0,5.0,189.0,53.0,183.0,23.0,98.0,116.0,517.0,54.0,248.0,67.0,29.0,89.0,5244.0,668.0,43.0,10.0,3359.0,21.0
3928,4.0,2.0,10.0,0.0,373.0,3.0,37.0,5.0,32.0,67.0,20.0,26.0,13.0,1.0,35.0,322.0,83.0,29.0,23.0,86.0,62.0,28.0,42.0,45.0,142.0,59.0,14.0,52.0,340.0,46.0
3977,2.0,1.0,18.0,5.0,217.0,7.0,68.0,10.0,16.0,40.0,17.0,6.0,49.0,0.0,13.0,3.0,176.0,47.0,28.0,181.0,4.0,281.0,41.0,84.0,2042.0,124.0,27.0,131.0,939.0,8.0
4026,5.0,11.0,9.0,1.0,81.0,0.0,4.0,6.0,3.0,45.0,22.0,14.0,133.0,2.0,88.0,7.0,110.0,111.0,20.0,39.0,163.0,240.0,15.0,200.0,458.0,33.0,12.0,742.0,329.0,63.0
4075,0.0,7.0,41.0,2.0,19.0,1.0,78.0,8.0,272.0,39.0,55.0,16.0,127.0,10.0,14.0,29.0,203.0,43.0,84.0,109.0,38.0,68.0,31.0,85.0,326.0,61.0,66.0,799.0,275.0,3.0
4124,1.0,7.0,18.0,0.0,117.0,3.0,53.0,2.0,8.0,35.0,443.0,85.0,75.0,6.0,28.0,36.0,142.0,45.0,51.0,40.0,67.0,57.0,73.0,39.0,157.0,26.0,19.0,326.0,72.0,5.0
4173,1.0,0.0,8.0,3.0,59.0,2.0,18.0,5.0,6.0,70.0,11.0,14.0,45.0,24.0,26.0,4.0,55.0,33.0,30.0,229.0,78.0,103.0,41.0,184.0,227.0,144.0,9.0,46.0,153.0,44.0
4222,1.0,7.0,4.0,0.0,55.0,2.0,76.0,8.0,3.0,16.0,52.0,12.0,29.0,15.0,30.0,46.0,1060.0,62.0,23.0,125.0,32.0,47.0,48.0,27.0,333.0,13.0,26.0,113.0,602.0,11.0
4271,8.0,185.0,3.0,9.0,11.0,5.0,7.0,2.0,16.0,14.0,1.0,15.0,52.0,10.0,406.0,42.0,393.0,195.0,75.0,35.0,80.0,99.0,498.0,235.0,3259.0,51.0,12.0,32.0,768.0,18.0
4320,3.0,129.0,127.0,2.0,0.0,1.0,23.0,11.0,34.0,7.0,19.0,29.0,308.0,12.0,65.0,4.0,52.0,58.0,223.0,170.0,89.0,14.0,16.0,45.0,396.0,47.0,119.0,36.0,83.0,21.0
4369,5.0,3.0,33.0,0.0,964.0,1.0,48.0,20.0,32.0,7.0,12.0,18.0,101.0,6.0,22.0,15.0,98.0,87.0,93.0,13.0,162.0,815.0,386.0,37.0,203.0,160.0,23.0,99.0,223.0,24.0
4418,0.0,13.0,5.0,1.0,7.0,2.0,4.0,24.0,77.0,29.0,6.0,88.0,380.0,42.0,127.0,461.0,33.0,69.0,22.0,17.0,330.0,146.0,48.0,44.0,53.0,23.0,70.0,340.0,97.0,1787.0
4467,1.0,0.0,81.0,2.0,11.0,21.0,6.0,10.0,29.0,173.0,3.0,277.0,69.0,65.0,19.0,62.0,9.0,8.0,22.0,7.0,5.0,116.0,20.0,117.0,602.0,14.0,54.0,1036.0,36.0,216.0
4516,0.0,4.0,1.0,3.0,45.0,6.0,23.0,36.0,40.0,46.0,15.0,49.0,189.0,119.0,30.0,9.0,92.0,31.0,25.0,64.0,2.0,87.0,19.0,70.0,28.0,101.0,141.0,1160.0,12.0,270.0
4565,1.0,7.0,2.0,3.0,234.0,16.0,45.0,56.0,65.0,24.0,8.0,947.0,40.0,49.0,4.0,30.0,39.0,12.0,26.0,17.0,10.0,345.0,21.0,22.0,23.0,85.0,15.0,199.0,35.0,64.0
4614,0.0,19.0,43.0,1.0,324.0,61.0,8.0,2.0,22.0,10.0,3.0,79.0,69.0,110.0,191.0,99.0,684.0,20.0,27.0,37.0,5.0,127.0,7.0,106.0,1294.0,77.0,17.0,124.0,31.0,85.0
4663,1.0,0.0,2.0,3.0,22.0,11.0,31.0,20.0,78.0,127.0,4.0,207.0,32.0,186.0,44.0,19.0,169.0,23.0,5.0,12.0,25.0,98.0,16.0,26.0,40.0,45.0,17.0,228.0,7.0,499.0
4712,1.0,4.0,13.0,2.0,24.0,27.0,44.0,30.0,48.0,152.0,31.0,416.0,42.0,102.0,83.0,59.0,82.0,17.0,16.0,23.0,20.0,125.0,0.0,43.0,36.0,18.0,89.0,472.0,38.0,219.0
4761,2.0,1.0,5.0,0.0,32.0,25.0,17.0,35.0,10.0,108.0,14.0,97.0,27.0,41.0,854.0,36.0,47.0,15.0,12.0,100.0,9.0,53.0,29.0,43.0,19.0,6.0,139.0,814.0,3.0,144.0
4810,0.0,1.0,7.0,16.0,173.0,8.0,31.0,11.0,131.0,121.0,139.0,685.0,22.0,421.0,25.0,36.0,3.0,17.0,9.0,45.0,24.0,183.0,143.0,14.0,18.0,6.0,2.0,135.0,129.0,550.0
4859,0.0,1.0,4.0,5.0,40.0,9.0,73.0,69.0,17.0,83.0,45.0,335.0,74.0,240.0,92.0,39.0,500.0,34.0,6.0,11.0,10.0,1158.0,3.0,180.0,41.0,13.0,51.0,190.0,16.0,113.0
