,HAEMATOPOIETIC,ENDOMETRIUM,PANCREAS,LIVER,NERVOUS,BREAST,LUNG,OVARY,SKIN,URINARY,OESOPHAGUS,GANGLIA,LARGE_INTESTINE,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,STOMACH,PLEURA,BILIARY
1468,0.0,13.0,3.0,1.0,4.0,5.0,7.0,8.0,6.0,2.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1517,0.0,12.0,3.0,15.0,5.0,7.0,2.0,4.0,6.0,1.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,0.0,12.0,5.0,2.0,6.0,4.0,3.0,8.0,7.0,19.0,9.0,10.0,1.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1615,0.0,1.0,3.0,14.0,5.0,7.0,4.0,8.0,6.0,19.0,9.0,10.0,2.0,11.0,13.0,21.0,15.0,16.0,17.0,18.0,20.0,12.0,22.0
1664,0.0,2.0,4.0,5.0,6.0,8.0,1.0,7.0,9.0,19.0,10.0,11.0,3.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1713,0.0,1.0,3.0,4.0,5.0,6.0,2.0,7.0,8.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1762,0.0,12.0,3.0,2.0,4.0,6.0,5.0,19.0,7.0,1.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
1811,0.0,3.0,2.0,15.0,4.0,5.0,7.0,8.0,6.0,1.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1860,0.0,2.0,3.0,15.0,5.0,7.0,4.0,6.0,8.0,1.0,9.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1909,0.0,1.0,3.0,5.0,6.0,7.0,4.0,8.0,9.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,0.0,1.0,3.0,2.0,5.0,6.0,4.0,8.0,7.0,19.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2007,0.0,12.0,3.0,15.0,2.0,5.0,7.0,6.0,4.0,20.0,8.0,9.0,10.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,1.0,21.0,22.0
2056,0.0,12.0,4.0,2.0,3.0,6.0,1.0,5.0,7.0,19.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
2105,0.0,13.0,3.0,2.0,1.0,5.0,7.0,6.0,4.0,8.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,0.0,13.0,2.0,1.0,3.0,5.0,8.0,4.0,6.0,7.0,9.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2203,0.0,21.0,4.0,1.0,2.0,5.0,9.0,7.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,3.0,15.0,22.0
2252,0.0,12.0,3.0,1.0,2.0,5.0,6.0,7.0,4.0,19.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
