,LUNG,BREAST,ENDOMETRIUM,NERVOUS,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,STOMACH,PANCREAS,LIVER,OESOPHAGUS,OVARY,URINARY,SOFT_TISSUE,BONE,GANGLIA,PLEURA,AERODIGESTIVE,PROSTATE,THYROID,KIDNEY,SALIVARY,BILIARY
3380,0.0,2.0,15.0,12.0,11.0,1.0,7.0,9.0,6.0,4.0,8.0,10.0,13.0,5.0,3.0,17.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0
3429,10.0,2.0,0.0,6.0,3.0,8.0,15.0,13.0,4.0,9.0,1.0,7.0,12.0,14.0,5.0,11.0,19.0,16.0,17.0,18.0,21.0,20.0,22.0
3478,1.0,10.0,11.0,3.0,9.0,5.0,13.0,2.0,7.0,14.0,0.0,4.0,15.0,8.0,16.0,6.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
3527,15.0,10.0,4.0,1.0,2.0,7.0,3.0,9.0,6.0,12.0,8.0,20.0,0.0,11.0,5.0,14.0,13.0,16.0,17.0,18.0,19.0,21.0,22.0
3576,2.0,5.0,3.0,9.0,1.0,7.0,6.0,0.0,15.0,4.0,14.0,8.0,10.0,18.0,12.0,11.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0
3625,17.0,7.0,5.0,1.0,3.0,13.0,0.0,4.0,11.0,8.0,12.0,2.0,14.0,15.0,10.0,6.0,9.0,20.0,16.0,18.0,19.0,21.0,22.0
3674,0.0,13.0,7.0,2.0,5.0,11.0,1.0,8.0,9.0,6.0,4.0,3.0,10.0,14.0,15.0,12.0,16.0,20.0,17.0,18.0,19.0,21.0,22.0
3723,16.0,4.0,15.0,8.0,3.0,0.0,1.0,10.0,6.0,2.0,11.0,7.0,9.0,12.0,13.0,5.0,14.0,19.0,17.0,18.0,21.0,20.0,22.0
3772,15.0,7.0,2.0,14.0,5.0,9.0,1.0,0.0,8.0,4.0,12.0,10.0,11.0,6.0,13.0,16.0,3.0,20.0,17.0,18.0,19.0,21.0,22.0
3821,1.0,3.0,15.0,9.0,6.0,13.0,12.0,11.0,2.0,0.0,5.0,8.0,10.0,7.0,4.0,16.0,14.0,18.0,20.0,19.0,17.0,21.0,22.0
3870,11.0,1.0,9.0,5.0,2.0,13.0,3.0,0.0,16.0,8.0,6.0,14.0,4.0,15.0,7.0,12.0,10.0,20.0,17.0,18.0,19.0,21.0,22.0
3919,11.0,2.0,5.0,1.0,12.0,0.0,3.0,4.0,15.0,14.0,7.0,6.0,13.0,8.0,10.0,16.0,9.0,20.0,17.0,18.0,19.0,21.0,22.0
3968,15.0,11.0,20.0,7.0,5.0,0.0,2.0,14.0,6.0,4.0,1.0,9.0,8.0,12.0,13.0,10.0,3.0,16.0,17.0,18.0,19.0,21.0,22.0
4017,2.0,5.0,20.0,14.0,13.0,1.0,6.0,8.0,10.0,4.0,9.0,7.0,0.0,12.0,3.0,11.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
4066,15.0,4.0,20.0,8.0,12.0,0.0,1.0,10.0,6.0,13.0,14.0,7.0,9.0,11.0,3.0,5.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
4115,6.0,10.0,20.0,2.0,4.0,7.0,15.0,1.0,0.0,12.0,14.0,8.0,9.0,11.0,13.0,5.0,3.0,16.0,17.0,18.0,19.0,21.0,22.0
4164,0.0,5.0,14.0,1.0,7.0,4.0,6.0,3.0,2.0,9.0,8.0,12.0,17.0,15.0,13.0,19.0,10.0,11.0,20.0,18.0,16.0,21.0,22.0
4213,1.0,4.0,20.0,13.0,0.0,7.0,6.0,10.0,11.0,3.0,15.0,8.0,9.0,12.0,14.0,5.0,2.0,16.0,17.0,18.0,19.0,21.0,22.0
4262,13.0,10.0,11.0,4.0,8.0,6.0,1.0,2.0,0.0,16.0,7.0,5.0,3.0,14.0,9.0,15.0,12.0,17.0,18.0,19.0,20.0,21.0,22.0
4311,0.0,1.0,20.0,4.0,8.0,5.0,7.0,2.0,11.0,9.0,6.0,12.0,3.0,17.0,10.0,13.0,14.0,15.0,16.0,18.0,19.0,21.0,22.0
4360,1.0,5.0,20.0,2.0,4.0,0.0,15.0,12.0,6.0,3.0,8.0,10.0,7.0,11.0,13.0,9.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4409,13.0,7.0,11.0,4.0,8.0,0.0,1.0,2.0,16.0,9.0,14.0,5.0,3.0,15.0,10.0,6.0,20.0,12.0,17.0,18.0,19.0,21.0,22.0
4458,0.0,5.0,7.0,19.0,1.0,4.0,9.0,12.0,3.0,13.0,2.0,10.0,8.0,6.0,14.0,11.0,15.0,16.0,17.0,20.0,18.0,21.0,22.0
4507,12.0,2.0,4.0,20.0,1.0,7.0,3.0,0.0,14.0,10.0,5.0,6.0,13.0,9.0,11.0,15.0,8.0,16.0,17.0,18.0,19.0,21.0,22.0
4556,4.0,1.0,6.0,13.0,3.0,2.0,8.0,5.0,0.0,15.0,9.0,12.0,14.0,11.0,10.0,19.0,7.0,18.0,20.0,16.0,17.0,21.0,22.0
4605,6.0,4.0,1.0,20.0,5.0,11.0,0.0,9.0,10.0,3.0,7.0,12.0,8.0,13.0,2.0,15.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4654,2.0,5.0,3.0,11.0,0.0,1.0,6.0,8.0,16.0,4.0,9.0,7.0,13.0,18.0,14.0,10.0,15.0,12.0,17.0,19.0,20.0,21.0,22.0
4703,10.0,5.0,1.0,15.0,16.0,2.0,3.0,0.0,12.0,7.0,6.0,14.0,4.0,11.0,9.0,13.0,8.0,17.0,18.0,19.0,20.0,21.0,22.0
4752,1.0,6.0,2.0,13.0,4.0,9.0,7.0,0.0,11.0,3.0,8.0,12.0,10.0,5.0,14.0,15.0,20.0,16.0,17.0,18.0,19.0,21.0,22.0
4801,3.0,6.0,0.0,12.0,1.0,2.0,7.0,9.0,15.0,5.0,10.0,8.0,14.0,18.0,13.0,16.0,4.0,11.0,17.0,19.0,20.0,21.0,22.0
4850,2.0,11.0,3.0,20.0,10.0,1.0,7.0,0.0,15.0,5.0,8.0,13.0,9.0,6.0,4.0,12.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
4899,11.0,8.0,9.0,15.0,7.0,2.0,0.0,1.0,5.0,6.0,13.0,14.0,3.0,16.0,4.0,12.0,10.0,17.0,18.0,19.0,20.0,21.0,22.0
