,hsa-let-7e,hsa-miR-30a,hsa-miR-142-5p,hsa-miR-21,hsa-miR-22,hsa-miR-30d,hsa-miR-30e,hsa-miR-766,hsa-miR-220b,hsa-miR-34a,hsa-miR-30c,hsa-miR-199b-5p,hsa-miR-214,hsa-miR-744,hsa-miR-92a,hsa-miR-378,hsa-miR-193a-5p,hsa-miR-28-5p,hsa-miR-200a,hsa-miR-607,hsa-miR-574-5p,hsa-miR-24,hsa-miR-190b,hsa-miR-223,hsa-miR-210,hsa-miR-222,hsa-miR-643,hsa-miR-1246,hsa-miR-146b-5p,hsa-miR-193b
557,4.0,6.0,0.0,3.0,9.0,2.0,7.0,18.0,1.0,10.0,5.0,12.0,67.0,14.0,16.0,52.0,11.0,470.0,28.0,76.0,36.0,13.0,17.0,8.0,30.0,101.0,29.0,45.0,42.0,49.0
606,0.0,4.0,1.0,5.0,2.0,10.0,8.0,16.0,3.0,6.0,9.0,7.0,11.0,28.0,17.0,13.0,24.0,60.0,248.0,50.0,107.0,25.0,42.0,19.0,219.0,23.0,46.0,183.0,63.0,14.0
655,6.0,0.0,5.0,1.0,8.0,13.0,4.0,7.0,2.0,3.0,10.0,59.0,15.0,9.0,17.0,140.0,11.0,160.0,21.0,30.0,50.0,12.0,14.0,26.0,32.0,48.0,19.0,298.0,18.0,36.0
704,6.0,0.0,3.0,1.0,7.0,5.0,2.0,29.0,4.0,10.0,9.0,14.0,11.0,49.0,85.0,169.0,8.0,52.0,90.0,25.0,40.0,47.0,15.0,32.0,37.0,71.0,366.0,76.0,75.0,39.0
753,4.0,2.0,0.0,3.0,8.0,12.0,6.0,13.0,7.0,1.0,10.0,14.0,29.0,22.0,24.0,17.0,16.0,58.0,11.0,55.0,31.0,26.0,9.0,5.0,48.0,38.0,401.0,360.0,28.0,49.0
802,1.0,0.0,3.0,2.0,16.0,5.0,17.0,14.0,7.0,4.0,10.0,12.0,47.0,6.0,22.0,18.0,11.0,53.0,223.0,83.0,41.0,20.0,13.0,8.0,36.0,9.0,140.0,31.0,42.0,40.0
851,2.0,3.0,0.0,1.0,17.0,6.0,8.0,19.0,4.0,7.0,5.0,22.0,20.0,13.0,15.0,11.0,14.0,31.0,535.0,50.0,18.0,34.0,33.0,10.0,36.0,56.0,413.0,9.0,57.0,21.0
900,6.0,0.0,2.0,3.0,21.0,5.0,4.0,26.0,7.0,1.0,14.0,16.0,36.0,8.0,13.0,44.0,38.0,212.0,77.0,133.0,17.0,22.0,32.0,10.0,9.0,19.0,102.0,24.0,11.0,29.0
949,9.0,3.0,2.0,0.0,4.0,10.0,8.0,6.0,1.0,5.0,7.0,13.0,15.0,11.0,18.0,48.0,12.0,63.0,118.0,77.0,16.0,37.0,71.0,17.0,96.0,31.0,20.0,138.0,22.0,14.0
998,0.0,4.0,3.0,2.0,1.0,6.0,9.0,5.0,14.0,18.0,15.0,12.0,65.0,113.0,19.0,101.0,8.0,13.0,7.0,20.0,10.0,25.0,17.0,28.0,21.0,22.0,163.0,100.0,253.0,189.0
1047,0.0,2.0,5.0,6.0,11.0,3.0,1.0,4.0,10.0,45.0,7.0,13.0,20.0,446.0,158.0,18.0,297.0,9.0,26.0,8.0,339.0,83.0,86.0,23.0,154.0,355.0,397.0,43.0,307.0,46.0
1096,2.0,0.0,1.0,3.0,6.0,5.0,38.0,7.0,16.0,4.0,62.0,11.0,8.0,257.0,10.0,20.0,12.0,17.0,85.0,9.0,46.0,42.0,133.0,25.0,153.0,48.0,156.0,171.0,18.0,15.0
1145,0.0,4.0,1.0,3.0,6.0,5.0,7.0,2.0,8.0,14.0,16.0,17.0,9.0,420.0,29.0,37.0,20.0,13.0,11.0,26.0,40.0,454.0,10.0,19.0,28.0,15.0,177.0,100.0,50.0,243.0
1194,2.0,1.0,0.0,6.0,5.0,7.0,4.0,12.0,15.0,3.0,8.0,10.0,19.0,45.0,9.0,48.0,165.0,64.0,13.0,16.0,141.0,98.0,56.0,18.0,78.0,23.0,31.0,111.0,55.0,32.0
1243,1.0,2.0,0.0,4.0,3.0,12.0,14.0,5.0,10.0,22.0,16.0,7.0,13.0,49.0,84.0,18.0,11.0,65.0,9.0,27.0,39.0,8.0,41.0,24.0,63.0,533.0,75.0,66.0,29.0,169.0
1292,1.0,0.0,3.0,5.0,4.0,7.0,8.0,2.0,12.0,79.0,14.0,13.0,27.0,6.0,154.0,46.0,132.0,18.0,109.0,10.0,72.0,54.0,21.0,31.0,42.0,34.0,353.0,22.0,24.0,52.0
1341,1.0,2.0,0.0,3.0,7.0,19.0,8.0,22.0,17.0,6.0,54.0,9.0,5.0,51.0,15.0,154.0,53.0,27.0,37.0,4.0,12.0,34.0,68.0,10.0,45.0,62.0,20.0,75.0,25.0,73.0
1390,0.0,2.0,1.0,12.0,3.0,17.0,4.0,10.0,18.0,39.0,13.0,6.0,5.0,204.0,24.0,79.0,65.0,20.0,36.0,7.0,37.0,183.0,8.0,35.0,14.0,53.0,26.0,16.0,189.0,15.0
1439,0.0,2.0,1.0,5.0,3.0,7.0,9.0,4.0,10.0,8.0,140.0,46.0,18.0,17.0,13.0,6.0,35.0,26.0,21.0,11.0,265.0,25.0,191.0,16.0,31.0,19.0,28.0,146.0,68.0,248.0
1488,0.0,3.0,1.0,16.0,6.0,4.0,2.0,5.0,7.0,8.0,14.0,197.0,9.0,27.0,198.0,25.0,84.0,12.0,10.0,54.0,136.0,28.0,11.0,58.0,388.0,23.0,18.0,254.0,19.0,604.0
1537,2.0,0.0,1.0,11.0,7.0,10.0,8.0,18.0,3.0,33.0,9.0,6.0,12.0,5.0,31.0,32.0,14.0,13.0,38.0,179.0,252.0,357.0,39.0,48.0,93.0,136.0,19.0,168.0,43.0,55.0
1586,2.0,0.0,7.0,3.0,5.0,4.0,1.0,9.0,6.0,12.0,10.0,53.0,8.0,11.0,21.0,375.0,48.0,69.0,13.0,33.0,178.0,23.0,138.0,51.0,140.0,16.0,54.0,188.0,82.0,293.0
1635,6.0,1.0,0.0,2.0,4.0,5.0,7.0,8.0,9.0,3.0,13.0,11.0,12.0,19.0,18.0,42.0,251.0,16.0,22.0,103.0,82.0,35.0,10.0,30.0,17.0,85.0,93.0,60.0,26.0,33.0
1684,7.0,2.0,0.0,3.0,1.0,6.0,10.0,4.0,8.0,9.0,11.0,241.0,24.0,139.0,16.0,19.0,22.0,5.0,12.0,23.0,15.0,13.0,235.0,20.0,39.0,14.0,17.0,21.0,53.0,128.0
1733,7.0,10.0,0.0,5.0,1.0,3.0,2.0,6.0,13.0,8.0,12.0,19.0,20.0,79.0,15.0,25.0,9.0,16.0,32.0,24.0,17.0,21.0,22.0,325.0,60.0,197.0,4.0,11.0,64.0,35.0
1782,0.0,3.0,2.0,5.0,9.0,8.0,6.0,1.0,13.0,11.0,4.0,363.0,10.0,232.0,17.0,104.0,71.0,12.0,266.0,90.0,89.0,40.0,18.0,80.0,93.0,31.0,7.0,42.0,28.0,179.0
1831,3.0,1.0,0.0,5.0,7.0,23.0,4.0,9.0,12.0,6.0,2.0,14.0,8.0,18.0,11.0,15.0,175.0,16.0,44.0,370.0,30.0,28.0,73.0,17.0,353.0,26.0,21.0,140.0,87.0,66.0
1880,3.0,2.0,0.0,13.0,6.0,8.0,33.0,1.0,4.0,9.0,5.0,37.0,53.0,157.0,7.0,26.0,30.0,15.0,18.0,32.0,23.0,25.0,24.0,42.0,510.0,224.0,10.0,16.0,107.0,59.0
1929,10.0,0.0,2.0,1.0,3.0,7.0,4.0,17.0,5.0,6.0,9.0,19.0,223.0,159.0,15.0,92.0,44.0,13.0,94.0,18.0,16.0,89.0,14.0,11.0,20.0,132.0,30.0,146.0,22.0,24.0
1978,0.0,2.0,1.0,6.0,8.0,3.0,7.0,4.0,14.0,5.0,109.0,11.0,10.0,17.0,32.0,237.0,34.0,200.0,31.0,18.0,9.0,19.0,16.0,68.0,23.0,70.0,62.0,52.0,272.0,85.0
2027,0.0,2.0,3.0,10.0,7.0,1.0,5.0,4.0,8.0,9.0,12.0,6.0,17.0,239.0,29.0,27.0,20.0,224.0,24.0,41.0,30.0,468.0,31.0,11.0,184.0,238.0,19.0,23.0,64.0,13.0
2076,0.0,1.0,3.0,2.0,7.0,8.0,4.0,5.0,29.0,10.0,15.0,13.0,9.0,230.0,18.0,35.0,26.0,116.0,74.0,12.0,100.0,31.0,167.0,19.0,82.0,25.0,20.0,22.0,42.0,99.0
2125,4.0,0.0,1.0,7.0,3.0,6.0,14.0,8.0,9.0,5.0,10.0,2.0,17.0,39.0,11.0,62.0,54.0,68.0,58.0,12.0,45.0,18.0,33.0,13.0,259.0,80.0,30.0,38.0,146.0,115.0
2174,0.0,3.0,1.0,6.0,9.0,5.0,2.0,4.0,23.0,8.0,31.0,18.0,19.0,63.0,25.0,32.0,17.0,206.0,14.0,10.0,167.0,231.0,99.0,11.0,86.0,105.0,141.0,12.0,70.0,65.0
2223,0.0,1.0,2.0,8.0,3.0,7.0,15.0,6.0,12.0,4.0,39.0,9.0,14.0,234.0,237.0,200.0,21.0,17.0,27.0,24.0,13.0,40.0,139.0,56.0,50.0,62.0,31.0,37.0,49.0,47.0
2272,1.0,2.0,0.0,6.0,3.0,4.0,13.0,9.0,22.0,5.0,17.0,7.0,8.0,11.0,34.0,10.0,50.0,137.0,28.0,26.0,35.0,21.0,138.0,14.0,145.0,38.0,129.0,24.0,12.0,65.0
2321,2.0,1.0,0.0,11.0,6.0,8.0,4.0,3.0,9.0,5.0,16.0,14.0,7.0,10.0,90.0,39.0,102.0,23.0,12.0,59.0,120.0,54.0,21.0,45.0,364.0,34.0,220.0,106.0,22.0,37.0
2370,0.0,1.0,2.0,4.0,3.0,6.0,10.0,7.0,9.0,12.0,32.0,5.0,16.0,166.0,31.0,45.0,20.0,28.0,8.0,15.0,21.0,53.0,54.0,17.0,93.0,14.0,81.0,24.0,67.0,140.0
2419,0.0,1.0,5.0,3.0,16.0,6.0,10.0,19.0,26.0,12.0,8.0,11.0,13.0,98.0,197.0,109.0,185.0,17.0,70.0,2.0,82.0,417.0,119.0,65.0,583.0,14.0,439.0,9.0,24.0,79.0
2468,3.0,1.0,0.0,6.0,14.0,5.0,4.0,12.0,8.0,7.0,2.0,10.0,18.0,32.0,23.0,24.0,11.0,22.0,21.0,31.0,17.0,9.0,61.0,119.0,13.0,386.0,15.0,16.0,37.0,44.0
2517,3.0,0.0,2.0,1.0,4.0,8.0,12.0,6.0,22.0,55.0,5.0,10.0,9.0,7.0,17.0,93.0,11.0,41.0,47.0,14.0,15.0,19.0,20.0,51.0,26.0,352.0,30.0,35.0,487.0,133.0
2566,0.0,6.0,1.0,2.0,3.0,7.0,4.0,12.0,14.0,11.0,8.0,13.0,9.0,10.0,28.0,27.0,33.0,15.0,24.0,20.0,46.0,39.0,50.0,82.0,5.0,29.0,48.0,190.0,187.0,43.0
2615,1.0,0.0,3.0,2.0,5.0,6.0,4.0,11.0,8.0,16.0,9.0,22.0,31.0,155.0,51.0,40.0,7.0,19.0,15.0,14.0,24.0,13.0,12.0,43.0,25.0,168.0,163.0,110.0,166.0,26.0
2664,0.0,1.0,2.0,4.0,3.0,43.0,21.0,7.0,9.0,6.0,5.0,8.0,11.0,22.0,137.0,19.0,12.0,13.0,49.0,24.0,14.0,20.0,60.0,58.0,16.0,48.0,89.0,73.0,34.0,87.0
2713,1.0,2.0,0.0,5.0,10.0,3.0,6.0,7.0,9.0,16.0,4.0,22.0,8.0,40.0,11.0,78.0,27.0,19.0,30.0,14.0,113.0,12.0,117.0,39.0,128.0,37.0,195.0,54.0,287.0,192.0
2762,2.0,0.0,1.0,5.0,3.0,7.0,10.0,4.0,8.0,24.0,6.0,15.0,11.0,365.0,17.0,26.0,16.0,23.0,53.0,12.0,90.0,50.0,88.0,36.0,37.0,49.0,25.0,33.0,95.0,124.0
2811,1.0,2.0,0.0,9.0,3.0,4.0,13.0,6.0,7.0,50.0,8.0,44.0,10.0,35.0,17.0,11.0,15.0,5.0,53.0,22.0,18.0,20.0,47.0,24.0,16.0,75.0,49.0,71.0,567.0,81.0
2860,1.0,0.0,2.0,5.0,16.0,8.0,4.0,7.0,9.0,3.0,6.0,34.0,12.0,19.0,10.0,14.0,15.0,42.0,20.0,32.0,18.0,11.0,299.0,31.0,26.0,285.0,22.0,33.0,54.0,17.0
2909,1.0,4.0,0.0,3.0,12.0,5.0,7.0,2.0,9.0,11.0,8.0,6.0,15.0,189.0,13.0,10.0,40.0,192.0,29.0,22.0,23.0,17.0,54.0,42.0,27.0,20.0,31.0,46.0,520.0,16.0
2958,0.0,5.0,1.0,4.0,2.0,6.0,3.0,8.0,12.0,35.0,69.0,15.0,56.0,51.0,14.0,40.0,88.0,10.0,22.0,93.0,17.0,13.0,7.0,110.0,21.0,23.0,73.0,477.0,84.0,9.0
3007,0.0,9.0,2.0,3.0,1.0,4.0,6.0,5.0,8.0,7.0,24.0,11.0,10.0,39.0,31.0,12.0,13.0,16.0,38.0,132.0,17.0,75.0,69.0,193.0,116.0,15.0,14.0,112.0,328.0,29.0
3056,1.0,13.0,0.0,2.0,6.0,5.0,11.0,7.0,3.0,8.0,10.0,20.0,24.0,68.0,63.0,14.0,43.0,38.0,15.0,61.0,12.0,16.0,21.0,185.0,9.0,149.0,79.0,4.0,457.0,69.0
3105,0.0,6.0,5.0,3.0,2.0,10.0,14.0,1.0,11.0,4.0,9.0,15.0,34.0,16.0,148.0,19.0,23.0,8.0,35.0,185.0,7.0,110.0,13.0,153.0,56.0,12.0,53.0,229.0,28.0,214.0
3154,2.0,1.0,0.0,4.0,8.0,5.0,3.0,6.0,10.0,7.0,27.0,12.0,23.0,274.0,153.0,59.0,22.0,20.0,16.0,67.0,33.0,18.0,32.0,95.0,17.0,29.0,28.0,15.0,14.0,49.0
3203,1.0,7.0,0.0,11.0,4.0,6.0,2.0,19.0,8.0,197.0,5.0,48.0,43.0,93.0,15.0,13.0,10.0,16.0,20.0,107.0,9.0,53.0,3.0,54.0,18.0,81.0,46.0,55.0,122.0,265.0
3252,5.0,2.0,4.0,1.0,8.0,6.0,0.0,3.0,10.0,9.0,20.0,12.0,24.0,23.0,33.0,50.0,136.0,53.0,65.0,75.0,49.0,223.0,7.0,11.0,36.0,29.0,312.0,55.0,15.0,45.0
3301,0.0,8.0,1.0,2.0,7.0,9.0,4.0,3.0,11.0,13.0,19.0,16.0,10.0,23.0,18.0,64.0,34.0,144.0,27.0,89.0,6.0,125.0,42.0,47.0,12.0,5.0,108.0,35.0,92.0,53.0
3350,0.0,2.0,1.0,6.0,5.0,4.0,7.0,3.0,10.0,16.0,19.0,8.0,17.0,218.0,302.0,54.0,52.0,9.0,113.0,43.0,27.0,188.0,45.0,21.0,12.0,94.0,24.0,26.0,222.0,106.0
3399,0.0,16.0,1.0,3.0,10.0,4.0,5.0,7.0,2.0,18.0,9.0,13.0,15.0,31.0,11.0,48.0,51.0,33.0,44.0,105.0,32.0,47.0,12.0,54.0,21.0,6.0,74.0,43.0,23.0,20.0
3448,0.0,2.0,3.0,4.0,6.0,5.0,1.0,16.0,7.0,9.0,10.0,11.0,12.0,216.0,13.0,14.0,181.0,110.0,25.0,55.0,45.0,63.0,28.0,70.0,19.0,64.0,421.0,68.0,54.0,23.0
3497,2.0,4.0,0.0,1.0,5.0,7.0,8.0,22.0,10.0,11.0,32.0,57.0,14.0,6.0,12.0,26.0,3.0,234.0,28.0,369.0,13.0,60.0,44.0,194.0,37.0,21.0,41.0,18.0,179.0,15.0
3546,1.0,2.0,0.0,4.0,5.0,15.0,8.0,6.0,3.0,10.0,7.0,27.0,14.0,31.0,21.0,11.0,9.0,75.0,24.0,105.0,107.0,26.0,168.0,25.0,339.0,22.0,16.0,117.0,49.0,237.0
3595,1.0,0.0,3.0,7.0,10.0,6.0,2.0,5.0,4.0,23.0,15.0,17.0,40.0,8.0,16.0,14.0,9.0,19.0,50.0,162.0,364.0,429.0,131.0,18.0,66.0,49.0,97.0,30.0,69.0,123.0
3644,2.0,1.0,0.0,8.0,10.0,3.0,5.0,47.0,4.0,28.0,16.0,33.0,15.0,102.0,32.0,9.0,20.0,142.0,46.0,13.0,63.0,510.0,29.0,17.0,26.0,64.0,114.0,53.0,101.0,21.0
3693,1.0,2.0,3.0,10.0,4.0,0.0,5.0,7.0,8.0,6.0,19.0,27.0,12.0,14.0,25.0,15.0,97.0,29.0,49.0,254.0,37.0,179.0,22.0,322.0,28.0,23.0,17.0,135.0,163.0,259.0
3742,1.0,2.0,0.0,6.0,3.0,7.0,4.0,27.0,12.0,5.0,10.0,15.0,19.0,13.0,40.0,18.0,8.0,34.0,24.0,17.0,42.0,84.0,14.0,37.0,162.0,45.0,9.0,28.0,44.0,67.0
3791,5.0,1.0,3.0,4.0,7.0,2.0,0.0,12.0,6.0,15.0,8.0,13.0,11.0,76.0,42.0,16.0,89.0,45.0,51.0,120.0,72.0,33.0,24.0,39.0,22.0,69.0,57.0,49.0,9.0,25.0
3840,1.0,3.0,4.0,7.0,8.0,5.0,0.0,11.0,2.0,45.0,17.0,9.0,26.0,24.0,19.0,16.0,28.0,99.0,14.0,37.0,59.0,191.0,6.0,48.0,43.0,107.0,79.0,113.0,44.0,60.0
3889,2.0,0.0,1.0,3.0,4.0,8.0,5.0,13.0,6.0,7.0,10.0,38.0,21.0,12.0,26.0,65.0,11.0,19.0,9.0,175.0,104.0,123.0,58.0,44.0,49.0,60.0,48.0,236.0,29.0,18.0
3938,3.0,0.0,6.0,1.0,8.0,4.0,5.0,16.0,7.0,2.0,17.0,13.0,25.0,10.0,41.0,19.0,49.0,12.0,31.0,209.0,15.0,43.0,21.0,40.0,42.0,14.0,37.0,102.0,9.0,23.0
3987,1.0,0.0,2.0,9.0,6.0,8.0,10.0,84.0,7.0,3.0,11.0,12.0,19.0,4.0,359.0,330.0,5.0,15.0,72.0,14.0,74.0,20.0,90.0,34.0,39.0,40.0,265.0,25.0,58.0,13.0
4036,0.0,1.0,5.0,6.0,2.0,14.0,10.0,28.0,8.0,4.0,24.0,7.0,9.0,3.0,226.0,117.0,142.0,13.0,150.0,43.0,15.0,183.0,59.0,22.0,16.0,32.0,19.0,36.0,11.0,27.0
4085,7.0,0.0,9.0,3.0,4.0,17.0,1.0,14.0,6.0,10.0,5.0,8.0,26.0,2.0,16.0,33.0,23.0,20.0,181.0,19.0,43.0,95.0,271.0,202.0,71.0,74.0,37.0,61.0,39.0,31.0
4134,1.0,5.0,8.0,2.0,7.0,9.0,4.0,12.0,6.0,0.0,13.0,26.0,27.0,3.0,19.0,40.0,11.0,81.0,107.0,246.0,15.0,189.0,118.0,108.0,14.0,30.0,21.0,10.0,38.0,37.0
4183,4.0,0.0,3.0,2.0,10.0,5.0,9.0,11.0,6.0,1.0,13.0,8.0,17.0,7.0,40.0,330.0,67.0,26.0,228.0,95.0,430.0,146.0,205.0,180.0,182.0,74.0,82.0,50.0,18.0,24.0
4232,1.0,2.0,4.0,7.0,6.0,11.0,8.0,25.0,5.0,0.0,12.0,14.0,13.0,3.0,88.0,112.0,29.0,36.0,22.0,86.0,21.0,32.0,363.0,49.0,60.0,26.0,27.0,10.0,51.0,15.0
4281,0.0,1.0,3.0,7.0,2.0,9.0,12.0,35.0,5.0,6.0,15.0,8.0,52.0,4.0,37.0,10.0,27.0,54.0,53.0,16.0,11.0,28.0,34.0,171.0,23.0,247.0,21.0,13.0,26.0,213.0
4330,8.0,7.0,15.0,0.0,2.0,1.0,3.0,32.0,5.0,13.0,6.0,9.0,38.0,4.0,314.0,111.0,20.0,12.0,23.0,16.0,59.0,272.0,17.0,22.0,33.0,36.0,180.0,75.0,26.0,19.0
4379,6.0,0.0,1.0,4.0,5.0,7.0,8.0,14.0,12.0,2.0,9.0,10.0,132.0,3.0,61.0,66.0,15.0,39.0,142.0,33.0,316.0,231.0,69.0,19.0,424.0,70.0,17.0,232.0,21.0,147.0
4428,0.0,1.0,2.0,11.0,6.0,28.0,17.0,12.0,5.0,52.0,4.0,3.0,8.0,97.0,37.0,24.0,22.0,27.0,14.0,26.0,19.0,106.0,48.0,16.0,50.0,64.0,51.0,57.0,152.0,183.0
4477,1.0,4.0,0.0,5.0,2.0,10.0,8.0,15.0,50.0,101.0,6.0,17.0,110.0,7.0,33.0,3.0,184.0,12.0,106.0,36.0,21.0,51.0,13.0,378.0,16.0,14.0,111.0,28.0,47.0,42.0
4526,0.0,3.0,1.0,9.0,4.0,5.0,11.0,10.0,2.0,12.0,44.0,66.0,26.0,134.0,32.0,8.0,22.0,40.0,7.0,24.0,19.0,15.0,23.0,382.0,27.0,16.0,58.0,29.0,46.0,345.0
4575,0.0,1.0,2.0,3.0,5.0,45.0,83.0,22.0,8.0,4.0,49.0,10.0,16.0,7.0,130.0,6.0,34.0,40.0,13.0,19.0,9.0,41.0,31.0,242.0,14.0,85.0,20.0,27.0,35.0,68.0
4624,2.0,0.0,3.0,4.0,1.0,10.0,11.0,16.0,13.0,21.0,6.0,49.0,50.0,222.0,8.0,38.0,32.0,149.0,14.0,98.0,7.0,60.0,20.0,90.0,5.0,324.0,71.0,9.0,47.0,18.0
4673,0.0,4.0,1.0,7.0,2.0,13.0,20.0,3.0,8.0,6.0,15.0,33.0,217.0,19.0,68.0,22.0,106.0,62.0,5.0,16.0,17.0,9.0,18.0,100.0,41.0,21.0,39.0,136.0,417.0,198.0
4722,0.0,1.0,2.0,4.0,3.0,8.0,11.0,5.0,7.0,6.0,17.0,28.0,42.0,12.0,43.0,13.0,139.0,30.0,10.0,24.0,49.0,15.0,128.0,337.0,9.0,87.0,44.0,52.0,482.0,25.0
4771,0.0,1.0,3.0,6.0,2.0,4.0,14.0,13.0,10.0,39.0,8.0,5.0,20.0,19.0,124.0,24.0,109.0,43.0,7.0,37.0,28.0,25.0,83.0,50.0,32.0,272.0,26.0,23.0,487.0,29.0
4820,1.0,3.0,0.0,14.0,2.0,19.0,31.0,5.0,7.0,46.0,11.0,183.0,259.0,271.0,10.0,6.0,13.0,105.0,27.0,4.0,17.0,22.0,146.0,194.0,15.0,54.0,40.0,8.0,163.0,84.0
4869,1.0,0.0,2.0,5.0,6.0,8.0,7.0,4.0,3.0,25.0,14.0,41.0,47.0,12.0,78.0,10.0,69.0,16.0,26.0,37.0,35.0,329.0,18.0,84.0,13.0,24.0,29.0,11.0,77.0,22.0
