,hsa-miR-216a,hsa-miR-205,hsa-miR-223,hsa-miR-375,hsa-miR-934,hsa-miR-1539,hsa-miR-615-3p,hsa-let-7e,hsa-miR-9,hsa-miR-671-3p,hsa-miR-339-5p,hsa-miR-139-5p,hsa-miR-142-5p,hsa-miR-220b,hsa-miR-28-3p,hsa-miR-1246,hsa-miR-135b,hsa-miR-30e,hsa-miR-2053,hsa-miR-320d,hsa-miR-296-5p,hsa-miR-30c,hsa-miR-222,hsa-miR-323-3p,hsa-miR-518b,hsa-miR-1180,hsa-miR-515-3p,hsa-miR-557,hsa-miR-509-5p,hsa-miR-155
1635,1.0,4.0,3.0,48.0,8.0,17.0,7.0,2.0,26.0,114.0,145.0,16.0,0.0,27.0,74.0,91.0,29.0,83.0,32.0,66.0,34.0,237.0,142.0,481.0,340.0,22.0,25.0,57.0,115.0,12.0
1684,0.0,14.0,1.0,32.0,31.0,11.0,10.0,28.0,4.0,124.0,6.0,3.0,2.0,7.0,25.0,33.0,52.0,79.0,208.0,108.0,111.0,547.0,103.0,15.0,97.0,27.0,17.0,45.0,203.0,217.0
1733,1.0,3.0,0.0,6.0,4.0,93.0,75.0,79.0,50.0,12.0,13.0,23.0,2.0,8.0,119.0,197.0,19.0,40.0,5.0,7.0,66.0,14.0,190.0,272.0,11.0,98.0,62.0,125.0,29.0,45.0
1782,2.0,4.0,1.0,24.0,0.0,46.0,31.0,9.0,84.0,13.0,23.0,8.0,26.0,18.0,62.0,407.0,19.0,315.0,119.0,69.0,161.0,77.0,67.0,156.0,130.0,5.0,16.0,142.0,34.0,336.0
1831,36.0,5.0,7.0,26.0,13.0,6.0,1.0,0.0,27.0,66.0,38.0,42.0,3.0,17.0,47.0,200.0,120.0,341.0,14.0,2.0,325.0,105.0,51.0,116.0,339.0,12.0,154.0,80.0,39.0,34.0
1880,19.0,1.0,0.0,6.0,3.0,15.0,449.0,39.0,5.0,7.0,27.0,23.0,8.0,21.0,2.0,558.0,164.0,4.0,10.0,33.0,69.0,28.0,111.0,9.0,97.0,140.0,30.0,78.0,307.0,74.0
1929,0.0,1.0,2.0,35.0,9.0,79.0,15.0,3.0,34.0,403.0,22.0,7.0,237.0,17.0,42.0,429.0,518.0,36.0,11.0,142.0,133.0,89.0,8.0,301.0,48.0,78.0,29.0,511.0,84.0,96.0
1978,5.0,28.0,11.0,16.0,0.0,2.0,49.0,1.0,133.0,231.0,32.0,4.0,53.0,35.0,327.0,174.0,455.0,172.0,351.0,33.0,63.0,23.0,18.0,152.0,190.0,153.0,54.0,70.0,20.0,40.0
2027,1.0,7.0,141.0,0.0,5.0,26.0,31.0,42.0,10.0,46.0,3.0,6.0,24.0,189.0,253.0,427.0,60.0,33.0,53.0,134.0,55.0,18.0,2.0,12.0,392.0,418.0,82.0,77.0,25.0,30.0
2076,0.0,100.0,212.0,2.0,8.0,30.0,70.0,12.0,259.0,109.0,6.0,46.0,123.0,42.0,27.0,5.0,63.0,104.0,35.0,9.0,44.0,378.0,40.0,18.0,238.0,126.0,19.0,68.0,61.0,187.0
2125,2.0,10.0,11.0,0.0,1.0,7.0,4.0,81.0,103.0,56.0,45.0,99.0,12.0,39.0,113.0,15.0,42.0,171.0,224.0,8.0,191.0,29.0,16.0,65.0,9.0,119.0,6.0,25.0,48.0,96.0
2174,6.0,66.0,8.0,3.0,29.0,4.0,56.0,2.0,9.0,173.0,1.0,219.0,11.0,187.0,275.0,5.0,130.0,71.0,122.0,87.0,143.0,46.0,332.0,10.0,0.0,118.0,13.0,63.0,76.0,26.0
2223,0.0,9.0,44.0,3.0,35.0,5.0,19.0,23.0,11.0,45.0,29.0,145.0,109.0,117.0,37.0,2.0,38.0,18.0,71.0,52.0,382.0,55.0,47.0,270.0,7.0,212.0,112.0,8.0,42.0,286.0
2272,9.0,1.0,8.0,2.0,0.0,26.0,34.0,199.0,50.0,370.0,4.0,139.0,30.0,76.0,15.0,20.0,17.0,3.0,12.0,234.0,122.0,37.0,70.0,28.0,18.0,14.0,423.0,11.0,136.0,23.0
2321,1.0,25.0,75.0,0.0,10.0,4.0,30.0,2.0,34.0,303.0,19.0,153.0,3.0,174.0,238.0,60.0,40.0,13.0,24.0,18.0,69.0,9.0,149.0,32.0,121.0,97.0,61.0,6.0,7.0,229.0
2370,7.0,4.0,57.0,3.0,0.0,23.0,93.0,36.0,21.0,384.0,20.0,34.0,11.0,2.0,30.0,121.0,63.0,8.0,43.0,48.0,72.0,52.0,507.0,15.0,295.0,143.0,12.0,14.0,192.0,150.0
2419,0.0,39.0,18.0,2.0,19.0,3.0,6.0,10.0,43.0,521.0,23.0,177.0,9.0,94.0,181.0,15.0,106.0,37.0,178.0,79.0,250.0,46.0,33.0,1.0,56.0,305.0,21.0,8.0,137.0,300.0
2468,1.0,10.0,44.0,18.0,6.0,0.0,23.0,7.0,101.0,153.0,21.0,24.0,29.0,30.0,8.0,32.0,2.0,104.0,90.0,22.0,72.0,15.0,51.0,127.0,5.0,129.0,11.0,13.0,70.0,3.0
2517,0.0,17.0,9.0,6.0,3.0,1.0,166.0,7.0,27.0,30.0,125.0,5.0,80.0,12.0,74.0,161.0,380.0,454.0,520.0,35.0,4.0,19.0,233.0,456.0,56.0,196.0,2.0,98.0,51.0,26.0
2566,3.0,12.0,0.0,9.0,120.0,1.0,39.0,2.0,15.0,88.0,5.0,18.0,83.0,11.0,40.0,6.0,26.0,22.0,228.0,287.0,30.0,251.0,106.0,63.0,91.0,14.0,84.0,41.0,148.0,13.0
2615,17.0,14.0,48.0,4.0,3.0,2.0,0.0,8.0,7.0,102.0,101.0,68.0,24.0,188.0,21.0,15.0,41.0,25.0,247.0,190.0,125.0,27.0,20.0,23.0,9.0,6.0,501.0,137.0,31.0,1.0
2664,28.0,45.0,141.0,56.0,9.0,4.0,41.0,7.0,39.0,92.0,14.0,1.0,82.0,74.0,17.0,66.0,279.0,298.0,274.0,67.0,30.0,136.0,27.0,15.0,11.0,128.0,20.0,353.0,76.0,29.0
2713,2.0,5.0,288.0,51.0,9.0,17.0,19.0,37.0,103.0,0.0,3.0,55.0,239.0,56.0,1.0,44.0,31.0,136.0,101.0,12.0,41.0,232.0,242.0,63.0,184.0,43.0,47.0,4.0,69.0,10.0
2762,0.0,4.0,33.0,11.0,3.0,2.0,9.0,1.0,21.0,17.0,16.0,37.0,182.0,18.0,36.0,14.0,8.0,59.0,421.0,393.0,13.0,88.0,57.0,166.0,84.0,173.0,5.0,312.0,63.0,28.0
2811,25.0,0.0,34.0,9.0,35.0,7.0,139.0,38.0,2.0,106.0,22.0,1.0,177.0,387.0,6.0,49.0,277.0,614.0,180.0,11.0,32.0,293.0,3.0,169.0,12.0,318.0,129.0,114.0,20.0,5.0
2860,0.0,2.0,60.0,1.0,10.0,32.0,6.0,75.0,126.0,50.0,24.0,39.0,191.0,434.0,9.0,52.0,14.0,135.0,43.0,26.0,125.0,198.0,53.0,145.0,4.0,42.0,55.0,93.0,58.0,248.0
