,HAEMATOPOIETIC,LUNG,PANCREAS,OESOPHAGUS,LARGE_INTESTINE,SKIN,SOFT_TISSUE,BREAST,OVARY,BONE,ENDOMETRIUM,URINARY,AERODIGESTIVE,PROSTATE,NERVOUS,GANGLIA,LIVER,STOMACH,THYROID,KIDNEY,PLEURA,SALIVARY,BILIARY
1028,1.0,9.0,2.0,3.0,6.0,0.0,5.0,4.0,11.0,7.0,15.0,16.0,8.0,17.0,10.0,13.0,14.0,12.0,21.0,18.0,19.0,20.0,22.0
1077,13.0,0.0,11.0,3.0,4.0,1.0,2.0,6.0,5.0,8.0,7.0,20.0,10.0,12.0,14.0,9.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
1126,1.0,2.0,6.0,8.0,0.0,7.0,5.0,3.0,9.0,4.0,14.0,12.0,17.0,18.0,10.0,16.0,11.0,15.0,19.0,20.0,13.0,21.0,22.0
1175,7.0,0.0,2.0,1.0,6.0,3.0,4.0,8.0,12.0,5.0,10.0,17.0,9.0,11.0,16.0,18.0,20.0,19.0,14.0,15.0,13.0,21.0,22.0
1224,1.0,3.0,2.0,9.0,0.0,13.0,6.0,5.0,4.0,8.0,7.0,20.0,11.0,12.0,14.0,10.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
1273,1.0,0.0,6.0,2.0,4.0,12.0,3.0,9.0,5.0,7.0,10.0,19.0,18.0,11.0,13.0,8.0,14.0,20.0,16.0,17.0,15.0,21.0,22.0
1322,8.0,0.0,1.0,9.0,12.0,5.0,2.0,11.0,4.0,3.0,14.0,6.0,16.0,17.0,7.0,10.0,13.0,15.0,18.0,19.0,20.0,21.0,22.0
1371,2.0,0.0,12.0,4.0,5.0,7.0,3.0,1.0,11.0,9.0,10.0,19.0,6.0,8.0,13.0,14.0,17.0,15.0,20.0,16.0,18.0,21.0,22.0
1420,1.0,3.0,6.0,0.0,11.0,2.0,8.0,7.0,5.0,10.0,9.0,18.0,4.0,12.0,13.0,19.0,14.0,20.0,16.0,17.0,15.0,21.0,22.0
1469,0.0,1.0,2.0,4.0,5.0,6.0,3.0,9.0,13.0,11.0,10.0,20.0,8.0,12.0,14.0,7.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
1518,4.0,0.0,7.0,3.0,5.0,1.0,6.0,9.0,12.0,2.0,8.0,10.0,14.0,16.0,11.0,13.0,15.0,19.0,17.0,18.0,20.0,21.0,22.0
1567,1.0,0.0,9.0,3.0,2.0,4.0,10.0,8.0,12.0,6.0,7.0,16.0,5.0,19.0,11.0,14.0,15.0,13.0,20.0,17.0,18.0,21.0,22.0
1616,7.0,11.0,9.0,4.0,8.0,0.0,1.0,3.0,6.0,2.0,10.0,5.0,14.0,15.0,12.0,13.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
1665,5.0,0.0,7.0,6.0,3.0,1.0,2.0,8.0,11.0,14.0,20.0,4.0,15.0,16.0,10.0,12.0,13.0,9.0,18.0,19.0,17.0,21.0,22.0
1714,1.0,4.0,10.0,5.0,7.0,8.0,9.0,3.0,0.0,2.0,11.0,6.0,14.0,15.0,12.0,13.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
1763,1.0,0.0,8.0,3.0,6.0,7.0,2.0,15.0,5.0,14.0,9.0,4.0,12.0,16.0,10.0,11.0,13.0,19.0,17.0,18.0,20.0,21.0,22.0
1812,2.0,6.0,0.0,8.0,4.0,9.0,5.0,1.0,7.0,3.0,15.0,12.0,16.0,17.0,11.0,10.0,13.0,14.0,18.0,19.0,20.0,21.0,22.0
1861,4.0,3.0,2.0,0.0,5.0,7.0,8.0,9.0,1.0,10.0,11.0,18.0,6.0,14.0,13.0,12.0,15.0,19.0,16.0,17.0,20.0,21.0,22.0
1910,9.0,0.0,1.0,8.0,3.0,6.0,5.0,2.0,10.0,4.0,14.0,7.0,17.0,18.0,13.0,11.0,12.0,15.0,19.0,16.0,20.0,21.0,22.0
1959,1.0,0.0,6.0,4.0,2.0,12.0,3.0,7.0,18.0,15.0,8.0,5.0,11.0,14.0,9.0,10.0,13.0,19.0,16.0,17.0,20.0,21.0,22.0
2008,11.0,8.0,2.0,19.0,0.0,7.0,6.0,3.0,13.0,5.0,4.0,15.0,16.0,1.0,14.0,18.0,10.0,17.0,21.0,9.0,12.0,20.0,22.0
2057,0.0,11.0,4.0,1.0,2.0,6.0,12.0,5.0,13.0,8.0,7.0,3.0,19.0,9.0,14.0,10.0,16.0,15.0,21.0,18.0,17.0,20.0,22.0
2106,2.0,0.0,3.0,1.0,6.0,4.0,8.0,10.0,13.0,9.0,11.0,5.0,7.0,12.0,14.0,17.0,19.0,18.0,21.0,16.0,15.0,20.0,22.0
2155,7.0,0.0,1.0,3.0,5.0,9.0,10.0,11.0,6.0,12.0,2.0,4.0,8.0,13.0,16.0,17.0,14.0,18.0,21.0,15.0,19.0,20.0,22.0
2204,1.0,10.0,3.0,0.0,2.0,5.0,6.0,9.0,4.0,15.0,8.0,18.0,7.0,16.0,12.0,13.0,14.0,11.0,21.0,17.0,19.0,20.0,22.0
2253,2.0,0.0,10.0,1.0,3.0,7.0,12.0,6.0,5.0,9.0,8.0,14.0,4.0,11.0,13.0,19.0,16.0,15.0,21.0,18.0,17.0,20.0,22.0
2302,0.0,2.0,1.0,3.0,4.0,6.0,7.0,8.0,5.0,17.0,9.0,15.0,11.0,12.0,14.0,10.0,13.0,16.0,21.0,19.0,18.0,20.0,22.0
2351,1.0,6.0,4.0,0.0,2.0,3.0,8.0,5.0,11.0,9.0,13.0,7.0,12.0,15.0,10.0,14.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
2400,4.0,1.0,0.0,2.0,3.0,6.0,12.0,8.0,13.0,10.0,9.0,5.0,19.0,11.0,14.0,7.0,16.0,15.0,21.0,18.0,17.0,20.0,22.0
2449,2.0,4.0,0.0,1.0,9.0,3.0,7.0,6.0,12.0,8.0,10.0,14.0,5.0,11.0,13.0,18.0,15.0,19.0,21.0,17.0,16.0,20.0,22.0
2498,13.0,12.0,0.0,9.0,11.0,1.0,2.0,5.0,3.0,7.0,6.0,15.0,4.0,8.0,14.0,10.0,17.0,16.0,19.0,20.0,18.0,21.0,22.0
2547,12.0,11.0,3.0,0.0,1.0,5.0,18.0,10.0,2.0,7.0,6.0,14.0,4.0,8.0,13.0,9.0,16.0,15.0,19.0,20.0,17.0,21.0,22.0
2596,13.0,0.0,8.0,4.0,7.0,5.0,6.0,2.0,3.0,1.0,9.0,11.0,15.0,16.0,12.0,14.0,17.0,10.0,18.0,19.0,20.0,21.0,22.0
2645,12.0,0.0,7.0,1.0,3.0,5.0,6.0,4.0,2.0,8.0,9.0,10.0,13.0,15.0,11.0,14.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
2694,10.0,0.0,2.0,1.0,4.0,9.0,6.0,3.0,8.0,5.0,11.0,13.0,19.0,7.0,12.0,14.0,17.0,15.0,20.0,16.0,18.0,21.0,22.0
2743,13.0,0.0,2.0,10.0,1.0,8.0,4.0,3.0,6.0,9.0,11.0,5.0,7.0,12.0,17.0,18.0,20.0,19.0,15.0,16.0,14.0,21.0,22.0
2792,12.0,0.0,1.0,2.0,3.0,11.0,7.0,13.0,9.0,6.0,5.0,10.0,4.0,8.0,14.0,19.0,16.0,20.0,15.0,17.0,18.0,21.0,22.0
2841,13.0,0.0,3.0,1.0,5.0,12.0,7.0,10.0,2.0,8.0,6.0,4.0,9.0,11.0,14.0,19.0,15.0,20.0,17.0,18.0,16.0,21.0,22.0
2890,11.0,0.0,2.0,1.0,3.0,7.0,6.0,4.0,9.0,5.0,12.0,10.0,14.0,8.0,13.0,18.0,16.0,19.0,20.0,15.0,17.0,21.0,22.0
2939,10.0,0.0,2.0,14.0,1.0,4.0,6.0,3.0,8.0,17.0,5.0,9.0,12.0,7.0,11.0,13.0,16.0,19.0,21.0,15.0,18.0,20.0,22.0
2988,2.0,7.0,0.0,10.0,5.0,8.0,6.0,9.0,1.0,4.0,3.0,13.0,14.0,17.0,11.0,16.0,12.0,15.0,18.0,19.0,20.0,21.0,22.0
3037,0.0,3.0,2.0,9.0,1.0,13.0,14.0,8.0,4.0,6.0,7.0,10.0,5.0,16.0,11.0,12.0,15.0,19.0,17.0,18.0,20.0,21.0,22.0
3086,4.0,8.0,2.0,16.0,5.0,0.0,13.0,1.0,10.0,15.0,7.0,3.0,6.0,17.0,9.0,11.0,14.0,12.0,18.0,19.0,20.0,21.0,22.0
3135,5.0,0.0,9.0,11.0,1.0,6.0,7.0,10.0,4.0,8.0,2.0,3.0,15.0,16.0,12.0,13.0,14.0,19.0,17.0,18.0,20.0,21.0,22.0
3184,6.0,10.0,8.0,12.0,1.0,2.0,11.0,0.0,5.0,7.0,4.0,3.0,17.0,18.0,14.0,16.0,9.0,15.0,19.0,13.0,20.0,21.0,22.0
3233,0.0,1.0,2.0,10.0,5.0,15.0,12.0,4.0,3.0,6.0,7.0,8.0,14.0,17.0,9.0,16.0,13.0,19.0,18.0,11.0,20.0,21.0,22.0
3282,2.0,0.0,4.0,9.0,5.0,3.0,6.0,14.0,1.0,8.0,13.0,10.0,7.0,16.0,11.0,15.0,12.0,19.0,17.0,18.0,20.0,21.0,22.0
3331,18.0,0.0,2.0,9.0,7.0,4.0,5.0,16.0,10.0,1.0,3.0,6.0,11.0,19.0,14.0,12.0,13.0,17.0,20.0,8.0,15.0,21.0,22.0
3380,7.0,1.0,10.0,16.0,0.0,6.0,5.0,12.0,8.0,4.0,2.0,9.0,3.0,17.0,14.0,11.0,13.0,15.0,18.0,19.0,20.0,21.0,22.0
3429,7.0,5.0,3.0,10.0,8.0,2.0,0.0,4.0,11.0,1.0,17.0,6.0,12.0,19.0,15.0,13.0,14.0,18.0,20.0,9.0,16.0,21.0,22.0
3478,0.0,1.0,3.0,9.0,2.0,6.0,7.0,5.0,4.0,8.0,11.0,14.0,10.0,12.0,13.0,18.0,20.0,19.0,16.0,17.0,15.0,21.0,22.0
3527,6.0,0.0,4.0,1.0,2.0,9.0,3.0,7.0,5.0,10.0,8.0,12.0,17.0,11.0,16.0,18.0,20.0,19.0,14.0,15.0,13.0,21.0,22.0
3576,0.0,3.0,1.0,4.0,6.0,2.0,12.0,18.0,13.0,16.0,8.0,5.0,7.0,11.0,14.0,9.0,10.0,15.0,19.0,20.0,17.0,21.0,22.0
3625,6.0,12.0,7.0,0.0,3.0,1.0,2.0,8.0,5.0,9.0,11.0,14.0,4.0,10.0,13.0,19.0,20.0,15.0,17.0,18.0,16.0,21.0,22.0
3674,13.0,3.0,6.0,4.0,0.0,12.0,2.0,7.0,1.0,9.0,8.0,15.0,5.0,11.0,14.0,10.0,20.0,19.0,17.0,18.0,16.0,21.0,22.0
3723,0.0,3.0,2.0,4.0,6.0,1.0,7.0,13.0,12.0,9.0,10.0,5.0,8.0,15.0,11.0,14.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
3772,2.0,0.0,5.0,3.0,4.0,6.0,12.0,10.0,1.0,7.0,18.0,14.0,9.0,11.0,13.0,8.0,16.0,15.0,19.0,20.0,17.0,21.0,22.0
3821,5.0,0.0,7.0,3.0,1.0,2.0,6.0,13.0,4.0,8.0,9.0,10.0,12.0,15.0,11.0,14.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
3870,3.0,16.0,7.0,9.0,5.0,0.0,2.0,6.0,10.0,1.0,4.0,8.0,13.0,17.0,11.0,15.0,12.0,14.0,21.0,18.0,19.0,20.0,22.0
3919,0.0,1.0,3.0,5.0,6.0,16.0,7.0,14.0,2.0,8.0,4.0,19.0,12.0,15.0,10.0,11.0,13.0,9.0,17.0,18.0,20.0,21.0,22.0
3968,0.0,12.0,2.0,5.0,1.0,8.0,13.0,3.0,7.0,11.0,10.0,6.0,18.0,4.0,14.0,9.0,16.0,15.0,17.0,19.0,20.0,21.0,22.0
4017,0.0,12.0,5.0,3.0,1.0,6.0,7.0,2.0,13.0,11.0,18.0,4.0,10.0,8.0,14.0,9.0,16.0,15.0,19.0,20.0,17.0,21.0,22.0
4066,10.0,7.0,4.0,16.0,3.0,1.0,6.0,0.0,8.0,12.0,5.0,9.0,19.0,2.0,13.0,15.0,11.0,14.0,20.0,17.0,18.0,21.0,22.0
4115,0.0,3.0,8.0,1.0,7.0,2.0,6.0,10.0,5.0,14.0,9.0,4.0,15.0,16.0,12.0,13.0,17.0,11.0,18.0,19.0,20.0,21.0,22.0
4164,9.0,8.0,4.0,0.0,3.0,7.0,1.0,5.0,10.0,17.0,6.0,11.0,19.0,2.0,13.0,14.0,12.0,15.0,21.0,16.0,18.0,20.0,22.0
4213,0.0,4.0,2.0,12.0,8.0,7.0,1.0,3.0,6.0,14.0,9.0,5.0,15.0,16.0,11.0,13.0,17.0,10.0,18.0,19.0,20.0,21.0,22.0
4262,4.0,0.0,2.0,1.0,9.0,5.0,6.0,7.0,3.0,17.0,11.0,15.0,10.0,12.0,14.0,8.0,13.0,16.0,19.0,21.0,18.0,20.0,22.0
4311,0.0,12.0,6.0,4.0,10.0,1.0,2.0,7.0,13.0,11.0,8.0,5.0,20.0,3.0,14.0,9.0,16.0,15.0,18.0,19.0,17.0,21.0,22.0
4360,12.0,0.0,5.0,1.0,4.0,3.0,7.0,6.0,2.0,16.0,9.0,14.0,20.0,11.0,13.0,8.0,10.0,15.0,18.0,19.0,17.0,21.0,22.0
4409,3.0,0.0,2.0,1.0,5.0,4.0,8.0,6.0,19.0,15.0,7.0,13.0,20.0,11.0,12.0,9.0,10.0,14.0,17.0,18.0,16.0,21.0,22.0
4458,2.0,0.0,1.0,4.0,5.0,3.0,9.0,7.0,12.0,10.0,8.0,13.0,6.0,11.0,17.0,18.0,20.0,19.0,15.0,16.0,14.0,21.0,22.0
4507,5.0,3.0,8.0,0.0,1.0,2.0,6.0,10.0,4.0,9.0,14.0,11.0,7.0,15.0,12.0,13.0,16.0,19.0,17.0,18.0,20.0,21.0,22.0
4556,9.0,7.0,4.0,0.0,1.0,2.0,6.0,5.0,8.0,11.0,12.0,15.0,14.0,3.0,13.0,16.0,10.0,19.0,20.0,17.0,18.0,21.0,22.0
4605,3.0,12.0,0.0,8.0,2.0,13.0,5.0,1.0,15.0,6.0,4.0,17.0,10.0,7.0,16.0,9.0,19.0,18.0,20.0,14.0,11.0,21.0,22.0
4654,1.0,8.0,0.0,4.0,5.0,10.0,7.0,6.0,9.0,2.0,11.0,14.0,13.0,3.0,12.0,19.0,16.0,20.0,15.0,17.0,18.0,21.0,22.0
4703,7.0,0.0,13.0,3.0,4.0,2.0,9.0,1.0,8.0,11.0,12.0,19.0,5.0,6.0,14.0,15.0,10.0,16.0,17.0,20.0,18.0,21.0,22.0
4752,6.0,3.0,7.0,4.0,0.0,8.0,1.0,9.0,14.0,2.0,10.0,5.0,12.0,13.0,15.0,11.0,16.0,18.0,21.0,17.0,19.0,20.0,22.0
4801,1.0,3.0,10.0,4.0,5.0,12.0,8.0,2.0,0.0,9.0,7.0,14.0,6.0,11.0,13.0,19.0,15.0,20.0,17.0,18.0,16.0,21.0,22.0
4850,0.0,1.0,8.0,7.0,11.0,6.0,5.0,2.0,19.0,4.0,3.0,13.0,16.0,17.0,10.0,9.0,12.0,14.0,18.0,15.0,20.0,21.0,22.0
4899,4.0,13.0,6.0,0.0,3.0,1.0,7.0,8.0,15.0,9.0,12.0,2.0,5.0,10.0,16.0,11.0,14.0,19.0,17.0,18.0,20.0,21.0,22.0
