,C22:6 CE,PEP,1-methylnicotinamide,C18:0 LPC,creatinine,C56:5 TAG,dCMP,isocitrate,beta-alanine,palmitoylcarnitine,putrescine,malondialdehyde,leucine,C16:0 LPE,GABA,urate,pantothenate,niacinamide,UMP,uridine,alpha-glycerophosphate,oxalate,hypoxanthine,C22:6 LPE,C34:2 DAG,butyrylcarnitine/isobutyrylcarnitine,cotinine,valerylcarnitine,DHAP/glyceraldehyde 3P,C34:4 PC
517,4.0,2.0,0.0,19.0,9.0,5.0,29.0,32.0,42.0,18.0,56.0,26.0,50.0,7.0,11.0,60.0,61.0,8.0,10.0,31.0,33.0,62.0,47.0,6.0,22.0,17.0,14.0,45.0,39.0,20.0
566,0.0,13.0,8.0,7.0,11.0,2.0,37.0,31.0,38.0,17.0,56.0,49.0,53.0,1.0,57.0,28.0,59.0,58.0,29.0,4.0,32.0,60.0,25.0,44.0,5.0,41.0,66.0,33.0,40.0,6.0
615,1.0,12.0,5.0,3.0,16.0,6.0,36.0,26.0,8.0,18.0,4.0,37.0,2.0,7.0,56.0,24.0,29.0,58.0,11.0,28.0,45.0,61.0,30.0,40.0,20.0,31.0,64.0,32.0,35.0,19.0
664,3.0,9.0,1.0,17.0,7.0,6.0,11.0,44.0,15.0,14.0,13.0,51.0,24.0,46.0,5.0,29.0,27.0,57.0,8.0,0.0,45.0,48.0,38.0,18.0,42.0,23.0,63.0,31.0,39.0,20.0
713,0.0,2.0,3.0,10.0,9.0,11.0,12.0,1.0,15.0,37.0,16.0,18.0,58.0,22.0,13.0,23.0,50.0,63.0,7.0,6.0,44.0,8.0,27.0,4.0,29.0,40.0,33.0,36.0,26.0,25.0
762,22.0,4.0,7.0,38.0,5.0,0.0,47.0,46.0,13.0,12.0,11.0,8.0,15.0,16.0,2.0,32.0,35.0,19.0,34.0,3.0,26.0,59.0,6.0,9.0,44.0,48.0,63.0,41.0,30.0,21.0
811,12.0,2.0,17.0,13.0,5.0,1.0,26.0,0.0,7.0,47.0,64.0,22.0,16.0,42.0,21.0,30.0,65.0,53.0,29.0,4.0,34.0,28.0,6.0,15.0,10.0,8.0,18.0,48.0,40.0,9.0
860,19.0,3.0,20.0,7.0,0.0,1.0,2.0,40.0,8.0,15.0,4.0,49.0,21.0,16.0,14.0,30.0,9.0,58.0,64.0,28.0,32.0,23.0,25.0,34.0,17.0,13.0,12.0,43.0,37.0,6.0
909,0.0,28.0,5.0,12.0,4.0,3.0,38.0,26.0,11.0,34.0,21.0,32.0,6.0,39.0,8.0,7.0,9.0,57.0,27.0,25.0,45.0,29.0,65.0,18.0,42.0,14.0,64.0,33.0,31.0,1.0
958,13.0,1.0,10.0,2.0,12.0,14.0,26.0,0.0,39.0,16.0,9.0,65.0,17.0,3.0,60.0,4.0,25.0,62.0,5.0,23.0,45.0,51.0,28.0,38.0,31.0,42.0,33.0,20.0,47.0,6.0
1007,5.0,3.0,0.0,20.0,4.0,9.0,2.0,6.0,16.0,13.0,17.0,1.0,58.0,22.0,60.0,31.0,49.0,63.0,50.0,51.0,43.0,32.0,29.0,30.0,35.0,19.0,38.0,33.0,25.0,27.0
1056,0.0,4.0,8.0,12.0,7.0,17.0,48.0,6.0,41.0,3.0,20.0,31.0,15.0,2.0,22.0,1.0,28.0,19.0,54.0,10.0,26.0,53.0,11.0,36.0,30.0,18.0,25.0,38.0,9.0,43.0
1105,12.0,0.0,1.0,4.0,16.0,17.0,10.0,27.0,2.0,8.0,29.0,6.0,58.0,21.0,62.0,28.0,51.0,64.0,52.0,15.0,13.0,5.0,24.0,22.0,14.0,18.0,31.0,33.0,9.0,37.0
1154,5.0,0.0,7.0,13.0,6.0,3.0,28.0,29.0,19.0,1.0,17.0,12.0,16.0,15.0,24.0,23.0,25.0,14.0,31.0,22.0,2.0,11.0,48.0,37.0,39.0,41.0,33.0,35.0,8.0,10.0
1203,1.0,0.0,6.0,2.0,62.0,5.0,9.0,32.0,16.0,3.0,28.0,17.0,13.0,38.0,10.0,34.0,23.0,59.0,52.0,21.0,8.0,51.0,48.0,40.0,26.0,33.0,65.0,35.0,31.0,24.0
1252,1.0,0.0,7.0,10.0,14.0,5.0,28.0,31.0,3.0,8.0,41.0,12.0,52.0,16.0,57.0,6.0,26.0,60.0,27.0,65.0,32.0,62.0,30.0,19.0,11.0,34.0,48.0,35.0,29.0,2.0
1301,2.0,8.0,6.0,4.0,14.0,17.0,23.0,12.0,42.0,3.0,19.0,22.0,20.0,35.0,63.0,7.0,26.0,16.0,53.0,29.0,45.0,9.0,51.0,21.0,28.0,31.0,39.0,33.0,47.0,11.0
1350,10.0,30.0,8.0,26.0,11.0,4.0,12.0,9.0,38.0,21.0,2.0,0.0,61.0,31.0,5.0,1.0,54.0,7.0,55.0,6.0,14.0,32.0,51.0,34.0,35.0,19.0,43.0,20.0,47.0,39.0
1399,1.0,0.0,9.0,4.0,5.0,7.0,24.0,26.0,2.0,34.0,8.0,3.0,11.0,12.0,28.0,6.0,50.0,63.0,14.0,10.0,27.0,49.0,20.0,37.0,21.0,40.0,30.0,33.0,23.0,17.0
1448,9.0,4.0,2.0,18.0,15.0,6.0,8.0,1.0,5.0,0.0,22.0,14.0,19.0,7.0,16.0,28.0,30.0,61.0,3.0,27.0,10.0,31.0,35.0,25.0,36.0,13.0,65.0,40.0,48.0,39.0
1497,3.0,2.0,10.0,1.0,22.0,5.0,6.0,29.0,8.0,18.0,15.0,64.0,17.0,7.0,11.0,9.0,33.0,58.0,35.0,57.0,26.0,31.0,28.0,42.0,21.0,40.0,63.0,36.0,25.0,43.0
1546,2.0,4.0,6.0,0.0,29.0,1.0,27.0,11.0,3.0,13.0,32.0,56.0,58.0,21.0,30.0,8.0,50.0,62.0,20.0,52.0,28.0,5.0,24.0,23.0,37.0,18.0,10.0,34.0,26.0,36.0
1595,4.0,10.0,0.0,11.0,64.0,7.0,31.0,3.0,9.0,19.0,5.0,54.0,18.0,1.0,59.0,8.0,51.0,16.0,24.0,22.0,25.0,27.0,49.0,43.0,30.0,42.0,20.0,38.0,47.0,41.0
1644,3.0,0.0,17.0,18.0,11.0,1.0,9.0,10.0,16.0,2.0,33.0,4.0,14.0,8.0,12.0,21.0,5.0,13.0,24.0,29.0,22.0,25.0,49.0,39.0,27.0,34.0,31.0,36.0,28.0,37.0
1693,8.0,6.0,17.0,15.0,21.0,0.0,3.0,1.0,5.0,13.0,7.0,65.0,4.0,40.0,11.0,2.0,14.0,63.0,24.0,12.0,43.0,49.0,22.0,37.0,31.0,34.0,10.0,19.0,45.0,36.0
1742,12.0,6.0,3.0,24.0,18.0,2.0,11.0,23.0,1.0,39.0,20.0,14.0,0.0,5.0,61.0,55.0,51.0,63.0,52.0,65.0,13.0,27.0,49.0,41.0,34.0,36.0,42.0,37.0,46.0,35.0
1791,2.0,5.0,11.0,6.0,23.0,0.0,22.0,21.0,1.0,20.0,9.0,57.0,16.0,8.0,15.0,4.0,10.0,26.0,51.0,7.0,17.0,28.0,48.0,14.0,39.0,33.0,27.0,34.0,13.0,37.0
1840,0.0,28.0,18.0,5.0,11.0,13.0,3.0,1.0,4.0,9.0,46.0,26.0,49.0,6.0,19.0,7.0,47.0,65.0,10.0,8.0,27.0,2.0,35.0,21.0,22.0,31.0,23.0,17.0,39.0,40.0
1889,1.0,5.0,14.0,0.0,26.0,10.0,23.0,13.0,3.0,19.0,8.0,4.0,9.0,40.0,16.0,51.0,2.0,12.0,27.0,52.0,43.0,6.0,25.0,29.0,33.0,17.0,11.0,7.0,24.0,31.0
1938,36.0,0.0,1.0,15.0,11.0,2.0,33.0,8.0,9.0,12.0,35.0,21.0,6.0,20.0,60.0,53.0,52.0,16.0,25.0,4.0,7.0,26.0,29.0,43.0,27.0,38.0,30.0,13.0,32.0,42.0
1987,8.0,3.0,15.0,21.0,5.0,1.0,4.0,6.0,40.0,18.0,2.0,19.0,17.0,0.0,16.0,9.0,25.0,14.0,27.0,10.0,43.0,26.0,7.0,34.0,38.0,31.0,13.0,29.0,12.0,35.0
2036,19.0,0.0,12.0,5.0,13.0,6.0,14.0,1.0,4.0,26.0,10.0,2.0,16.0,3.0,17.0,53.0,27.0,28.0,52.0,8.0,18.0,51.0,15.0,36.0,38.0,41.0,42.0,11.0,22.0,37.0
2085,23.0,3.0,17.0,8.0,6.0,1.0,4.0,9.0,39.0,35.0,0.0,55.0,15.0,2.0,60.0,20.0,24.0,10.0,22.0,28.0,46.0,25.0,29.0,38.0,30.0,42.0,41.0,13.0,7.0,27.0
2134,1.0,3.0,5.0,7.0,14.0,0.0,11.0,13.0,19.0,32.0,2.0,28.0,25.0,21.0,18.0,59.0,27.0,4.0,61.0,6.0,44.0,56.0,35.0,38.0,10.0,17.0,63.0,31.0,41.0,39.0
2183,4.0,19.0,0.0,3.0,14.0,1.0,25.0,12.0,11.0,41.0,24.0,15.0,17.0,42.0,5.0,51.0,2.0,61.0,49.0,28.0,13.0,22.0,7.0,35.0,38.0,9.0,18.0,29.0,10.0,36.0
2232,32.0,1.0,4.0,13.0,25.0,2.0,29.0,0.0,6.0,36.0,31.0,3.0,57.0,9.0,16.0,20.0,22.0,5.0,21.0,52.0,46.0,23.0,49.0,33.0,40.0,34.0,65.0,15.0,28.0,39.0
2281,1.0,0.0,4.0,3.0,61.0,5.0,13.0,2.0,36.0,11.0,9.0,10.0,14.0,39.0,54.0,6.0,7.0,17.0,58.0,27.0,34.0,64.0,29.0,41.0,37.0,21.0,8.0,33.0,12.0,43.0
2330,5.0,12.0,1.0,29.0,20.0,2.0,0.0,4.0,22.0,39.0,17.0,7.0,13.0,3.0,21.0,33.0,30.0,8.0,52.0,24.0,25.0,11.0,50.0,31.0,37.0,15.0,9.0,38.0,26.0,36.0
2379,9.0,12.0,13.0,17.0,5.0,4.0,6.0,11.0,16.0,38.0,1.0,2.0,58.0,0.0,61.0,52.0,51.0,64.0,23.0,3.0,26.0,10.0,48.0,25.0,28.0,36.0,8.0,37.0,7.0,33.0
2428,0.0,49.0,48.0,16.0,12.0,8.0,1.0,3.0,15.0,24.0,14.0,2.0,25.0,17.0,7.0,36.0,5.0,9.0,31.0,59.0,45.0,28.0,40.0,19.0,22.0,47.0,62.0,39.0,43.0,20.0
2477,3.0,10.0,35.0,21.0,6.0,4.0,5.0,46.0,15.0,23.0,33.0,7.0,9.0,24.0,18.0,22.0,26.0,36.0,25.0,0.0,2.0,53.0,50.0,39.0,30.0,17.0,65.0,42.0,48.0,28.0
2526,1.0,7.0,10.0,2.0,27.0,60.0,4.0,44.0,17.0,14.0,33.0,0.0,13.0,22.0,59.0,21.0,5.0,15.0,51.0,9.0,11.0,50.0,48.0,23.0,34.0,18.0,16.0,36.0,25.0,37.0
2575,12.0,6.0,11.0,13.0,27.0,16.0,29.0,2.0,9.0,19.0,40.0,8.0,57.0,10.0,60.0,22.0,7.0,17.0,49.0,51.0,26.0,1.0,25.0,5.0,38.0,34.0,32.0,37.0,45.0,3.0
2624,8.0,0.0,31.0,2.0,9.0,30.0,4.0,29.0,1.0,11.0,41.0,3.0,57.0,14.0,60.0,5.0,21.0,63.0,20.0,53.0,45.0,7.0,50.0,23.0,39.0,16.0,33.0,37.0,27.0,24.0
2673,1.0,17.0,22.0,10.0,53.0,59.0,0.0,44.0,3.0,11.0,9.0,4.0,55.0,16.0,27.0,8.0,6.0,62.0,18.0,15.0,43.0,7.0,48.0,26.0,36.0,39.0,29.0,19.0,24.0,2.0
2722,4.0,0.0,21.0,7.0,5.0,8.0,2.0,23.0,1.0,13.0,44.0,9.0,58.0,11.0,61.0,33.0,35.0,15.0,31.0,34.0,49.0,29.0,30.0,46.0,38.0,42.0,18.0,14.0,25.0,20.0
2771,2.0,31.0,21.0,11.0,3.0,14.0,4.0,47.0,0.0,5.0,18.0,23.0,59.0,34.0,61.0,6.0,10.0,9.0,33.0,35.0,26.0,25.0,28.0,8.0,27.0,22.0,32.0,43.0,50.0,7.0
2820,4.0,3.0,6.0,14.0,1.0,16.0,0.0,5.0,15.0,19.0,7.0,2.0,58.0,32.0,9.0,24.0,12.0,63.0,53.0,23.0,46.0,52.0,50.0,38.0,8.0,36.0,29.0,10.0,27.0,35.0
2869,28.0,26.0,20.0,11.0,3.0,2.0,5.0,31.0,21.0,16.0,19.0,9.0,56.0,38.0,17.0,25.0,12.0,60.0,10.0,24.0,45.0,27.0,49.0,8.0,7.0,41.0,23.0,1.0,33.0,30.0
2918,4.0,11.0,21.0,25.0,5.0,24.0,1.0,46.0,9.0,13.0,19.0,3.0,60.0,35.0,23.0,33.0,10.0,62.0,34.0,26.0,45.0,31.0,51.0,32.0,27.0,39.0,2.0,7.0,48.0,29.0
2967,1.0,32.0,3.0,11.0,0.0,2.0,39.0,35.0,12.0,15.0,21.0,7.0,9.0,44.0,6.0,36.0,31.0,14.0,33.0,37.0,4.0,30.0,52.0,23.0,27.0,18.0,19.0,17.0,38.0,29.0
3016,4.0,8.0,24.0,0.0,20.0,16.0,1.0,3.0,14.0,18.0,43.0,34.0,11.0,45.0,22.0,7.0,31.0,60.0,30.0,28.0,2.0,32.0,36.0,29.0,6.0,44.0,47.0,19.0,49.0,33.0
3065,0.0,27.0,1.0,6.0,2.0,8.0,30.0,4.0,13.0,19.0,16.0,7.0,58.0,43.0,9.0,5.0,28.0,15.0,26.0,24.0,46.0,29.0,52.0,38.0,3.0,40.0,65.0,10.0,32.0,42.0
3114,27.0,24.0,9.0,31.0,0.0,3.0,29.0,12.0,21.0,4.0,33.0,58.0,59.0,25.0,19.0,65.0,53.0,64.0,2.0,7.0,23.0,52.0,28.0,38.0,42.0,36.0,11.0,1.0,46.0,6.0
3163,11.0,31.0,0.0,24.0,1.0,17.0,28.0,13.0,4.0,14.0,43.0,5.0,58.0,32.0,18.0,55.0,8.0,60.0,7.0,6.0,48.0,9.0,53.0,12.0,27.0,41.0,34.0,2.0,50.0,36.0
3212,3.0,34.0,2.0,20.0,17.0,15.0,4.0,32.0,5.0,6.0,49.0,63.0,51.0,1.0,14.0,10.0,33.0,57.0,30.0,8.0,27.0,31.0,64.0,0.0,43.0,47.0,16.0,7.0,28.0,41.0
3261,1.0,28.0,20.0,0.0,4.0,17.0,5.0,25.0,15.0,21.0,6.0,10.0,57.0,26.0,9.0,7.0,13.0,19.0,2.0,53.0,3.0,29.0,50.0,38.0,41.0,16.0,42.0,12.0,32.0,30.0
3310,11.0,1.0,9.0,2.0,20.0,17.0,0.0,12.0,36.0,6.0,18.0,22.0,15.0,35.0,4.0,7.0,32.0,13.0,14.0,10.0,25.0,28.0,50.0,42.0,8.0,33.0,29.0,3.0,27.0,37.0
3359,12.0,3.0,11.0,0.0,7.0,10.0,9.0,22.0,36.0,1.0,13.0,19.0,16.0,40.0,60.0,30.0,4.0,62.0,28.0,52.0,43.0,5.0,49.0,32.0,24.0,14.0,38.0,6.0,8.0,27.0
3408,9.0,5.0,0.0,3.0,8.0,22.0,49.0,26.0,14.0,12.0,43.0,23.0,13.0,31.0,1.0,32.0,28.0,19.0,29.0,4.0,11.0,2.0,53.0,36.0,6.0,40.0,25.0,7.0,50.0,30.0
3457,4.0,2.0,11.0,13.0,5.0,32.0,29.0,1.0,3.0,16.0,24.0,14.0,58.0,36.0,62.0,6.0,52.0,31.0,21.0,22.0,45.0,10.0,27.0,25.0,38.0,7.0,20.0,17.0,47.0,26.0
3506,3.0,2.0,23.0,17.0,1.0,25.0,12.0,0.0,6.0,33.0,10.0,7.0,5.0,28.0,11.0,8.0,26.0,9.0,24.0,21.0,45.0,27.0,19.0,37.0,39.0,41.0,35.0,32.0,16.0,38.0
3555,27.0,12.0,18.0,9.0,1.0,2.0,5.0,26.0,3.0,11.0,7.0,14.0,58.0,8.0,62.0,24.0,30.0,16.0,31.0,53.0,25.0,4.0,49.0,40.0,29.0,22.0,19.0,21.0,45.0,32.0
3604,25.0,0.0,9.0,13.0,8.0,10.0,30.0,27.0,3.0,6.0,14.0,17.0,59.0,23.0,62.0,22.0,4.0,64.0,24.0,29.0,44.0,5.0,7.0,1.0,41.0,12.0,34.0,19.0,47.0,38.0
3653,38.0,9.0,0.0,6.0,7.0,61.0,25.0,14.0,26.0,5.0,4.0,32.0,58.0,29.0,20.0,8.0,10.0,62.0,50.0,52.0,18.0,16.0,13.0,30.0,37.0,22.0,17.0,23.0,46.0,34.0
3702,25.0,3.0,17.0,7.0,0.0,60.0,5.0,43.0,2.0,36.0,1.0,13.0,57.0,23.0,10.0,4.0,21.0,14.0,20.0,52.0,24.0,22.0,8.0,26.0,29.0,9.0,16.0,35.0,46.0,40.0
3751,24.0,3.0,0.0,13.0,11.0,9.0,47.0,2.0,34.0,7.0,10.0,1.0,15.0,41.0,19.0,31.0,5.0,62.0,29.0,32.0,23.0,53.0,26.0,33.0,37.0,12.0,25.0,20.0,48.0,28.0
3800,0.0,29.0,4.0,2.0,19.0,17.0,5.0,1.0,6.0,20.0,18.0,65.0,14.0,22.0,16.0,26.0,11.0,61.0,28.0,52.0,45.0,30.0,3.0,27.0,31.0,39.0,36.0,10.0,48.0,23.0
3849,1.0,3.0,23.0,2.0,0.0,55.0,33.0,6.0,19.0,18.0,4.0,30.0,11.0,7.0,12.0,28.0,48.0,58.0,27.0,60.0,5.0,10.0,8.0,36.0,21.0,46.0,15.0,44.0,35.0,20.0
3898,4.0,11.0,6.0,3.0,2.0,15.0,28.0,0.0,1.0,29.0,37.0,22.0,10.0,8.0,62.0,26.0,13.0,18.0,27.0,55.0,45.0,12.0,9.0,36.0,35.0,40.0,20.0,14.0,48.0,41.0
3947,12.0,1.0,6.0,0.0,22.0,28.0,2.0,13.0,17.0,9.0,21.0,18.0,8.0,11.0,61.0,10.0,26.0,23.0,24.0,51.0,27.0,49.0,25.0,38.0,34.0,32.0,5.0,33.0,15.0,39.0
3996,12.0,7.0,3.0,1.0,9.0,16.0,11.0,13.0,5.0,4.0,32.0,17.0,57.0,6.0,60.0,2.0,8.0,62.0,52.0,22.0,14.0,51.0,49.0,25.0,28.0,34.0,30.0,36.0,45.0,38.0
4045,1.0,6.0,13.0,3.0,2.0,14.0,0.0,22.0,8.0,37.0,12.0,5.0,9.0,41.0,60.0,21.0,7.0,16.0,24.0,52.0,46.0,25.0,28.0,30.0,36.0,42.0,65.0,35.0,29.0,39.0
4094,1.0,3.0,6.0,9.0,18.0,0.0,25.0,23.0,22.0,10.0,16.0,5.0,12.0,8.0,13.0,2.0,7.0,62.0,32.0,65.0,45.0,53.0,30.0,37.0,27.0,34.0,36.0,42.0,26.0,29.0
4143,20.0,3.0,0.0,2.0,9.0,56.0,7.0,24.0,17.0,16.0,50.0,22.0,10.0,18.0,55.0,8.0,4.0,65.0,34.0,29.0,5.0,33.0,26.0,42.0,6.0,48.0,63.0,41.0,30.0,43.0
4192,0.0,9.0,10.0,18.0,12.0,4.0,29.0,3.0,17.0,16.0,22.0,64.0,2.0,19.0,56.0,35.0,30.0,7.0,8.0,25.0,46.0,26.0,37.0,1.0,20.0,57.0,63.0,48.0,42.0,43.0
4241,31.0,6.0,0.0,1.0,19.0,14.0,2.0,4.0,15.0,17.0,39.0,21.0,12.0,11.0,13.0,5.0,7.0,16.0,51.0,52.0,29.0,8.0,30.0,44.0,28.0,35.0,46.0,18.0,33.0,42.0
4290,11.0,24.0,2.0,4.0,1.0,14.0,9.0,44.0,17.0,0.0,3.0,56.0,15.0,19.0,18.0,20.0,6.0,63.0,22.0,28.0,23.0,7.0,50.0,27.0,40.0,34.0,10.0,37.0,47.0,13.0
4339,24.0,0.0,2.0,18.0,8.0,1.0,6.0,4.0,17.0,9.0,49.0,29.0,26.0,19.0,53.0,7.0,11.0,13.0,62.0,28.0,30.0,31.0,37.0,21.0,45.0,25.0,63.0,41.0,33.0,22.0
4388,32.0,1.0,34.0,11.0,3.0,4.0,29.0,31.0,16.0,9.0,5.0,18.0,57.0,33.0,61.0,52.0,10.0,7.0,22.0,53.0,45.0,23.0,49.0,20.0,40.0,41.0,15.0,37.0,28.0,39.0
4437,1.0,5.0,3.0,0.0,20.0,17.0,4.0,2.0,36.0,9.0,7.0,22.0,60.0,11.0,14.0,55.0,54.0,62.0,10.0,56.0,46.0,53.0,24.0,27.0,34.0,13.0,43.0,39.0,49.0,37.0
4486,1.0,7.0,2.0,14.0,0.0,11.0,3.0,13.0,19.0,16.0,12.0,8.0,58.0,21.0,17.0,22.0,50.0,63.0,6.0,51.0,44.0,49.0,26.0,23.0,25.0,15.0,32.0,37.0,29.0,4.0
4535,12.0,8.0,5.0,2.0,4.0,61.0,0.0,1.0,25.0,22.0,15.0,32.0,21.0,6.0,18.0,31.0,51.0,62.0,7.0,53.0,45.0,33.0,9.0,36.0,40.0,19.0,28.0,39.0,30.0,26.0
4584,2.0,1.0,11.0,4.0,18.0,64.0,0.0,3.0,24.0,34.0,37.0,20.0,61.0,5.0,14.0,25.0,9.0,8.0,26.0,10.0,45.0,55.0,51.0,6.0,28.0,39.0,33.0,40.0,47.0,22.0
4633,3.0,28.0,6.0,4.0,8.0,7.0,1.0,0.0,40.0,41.0,5.0,17.0,58.0,30.0,62.0,22.0,26.0,11.0,51.0,25.0,10.0,50.0,2.0,32.0,35.0,13.0,38.0,14.0,24.0,27.0
4682,0.0,12.0,7.0,9.0,6.0,10.0,2.0,1.0,11.0,3.0,38.0,5.0,20.0,34.0,62.0,31.0,32.0,64.0,29.0,65.0,47.0,56.0,26.0,28.0,25.0,36.0,22.0,16.0,50.0,39.0
4731,11.0,1.0,9.0,0.0,10.0,15.0,2.0,12.0,5.0,8.0,18.0,7.0,4.0,43.0,59.0,27.0,29.0,21.0,28.0,53.0,25.0,6.0,32.0,40.0,37.0,14.0,55.0,36.0,26.0,39.0
4780,3.0,28.0,7.0,12.0,20.0,14.0,0.0,13.0,33.0,10.0,8.0,47.0,51.0,4.0,56.0,5.0,24.0,59.0,6.0,26.0,2.0,27.0,1.0,37.0,40.0,15.0,45.0,9.0,41.0,38.0
4829,7.0,4.0,2.0,0.0,19.0,59.0,8.0,1.0,39.0,20.0,9.0,3.0,12.0,22.0,15.0,25.0,51.0,17.0,28.0,52.0,6.0,23.0,5.0,29.0,35.0,10.0,42.0,16.0,26.0,31.0
4878,5.0,11.0,25.0,6.0,20.0,8.0,31.0,2.0,15.0,38.0,21.0,0.0,14.0,9.0,24.0,27.0,10.0,18.0,29.0,26.0,28.0,52.0,34.0,4.0,41.0,19.0,33.0,7.0,32.0,43.0
