,C16:0 LPE,3-phosphoglycerate,pantothenate,1-methylnicotinamide,acetylcholine,C36:1 DAG,C34:2 DAG,niacinamide,C22:6 CE,C18:0 LPC,putrescine,guanosine,creatinine,hypoxanthine,NADP,creatine,inositol,C56:3 TAG,SDMA/ADMA,C18:0 LPE,carnitine,GABA,PEP,alpha-glycerophosphocholine,alpha-hydroxybutyrate,2-deoxyadenosine,DHAP/glyceraldehyde 3P,inosine,UMP,dCMP
3113,5.0,45.0,4.0,11.0,56.0,36.0,17.0,34.0,30.0,13.0,2.0,21.0,10.0,15.0,46.0,9.0,22.0,41.0,8.0,42.0,37.0,16.0,58.0,20.0,55.0,14.0,48.0,18.0,29.0,32.0
3162,3.0,8.0,5.0,35.0,41.0,57.0,15.0,6.0,24.0,14.0,1.0,19.0,40.0,10.0,4.0,43.0,0.0,16.0,17.0,21.0,42.0,12.0,13.0,27.0,50.0,39.0,2.0,26.0,64.0,7.0
3211,45.0,13.0,22.0,18.0,58.0,12.0,17.0,29.0,37.0,47.0,28.0,14.0,4.0,48.0,10.0,43.0,33.0,34.0,24.0,19.0,15.0,63.0,8.0,42.0,20.0,62.0,21.0,59.0,9.0,0.0
3260,13.0,22.0,9.0,16.0,3.0,34.0,8.0,26.0,52.0,21.0,31.0,14.0,6.0,43.0,41.0,56.0,60.0,1.0,64.0,29.0,36.0,30.0,47.0,24.0,54.0,55.0,2.0,28.0,17.0,39.0
3309,50.0,40.0,3.0,12.0,27.0,5.0,7.0,22.0,44.0,19.0,43.0,15.0,2.0,61.0,23.0,30.0,11.0,35.0,39.0,34.0,31.0,10.0,41.0,16.0,25.0,28.0,56.0,8.0,55.0,64.0
3358,26.0,0.0,7.0,23.0,16.0,32.0,20.0,29.0,34.0,8.0,25.0,58.0,1.0,49.0,6.0,33.0,42.0,41.0,63.0,27.0,19.0,28.0,15.0,59.0,5.0,47.0,13.0,57.0,14.0,40.0
3407,32.0,3.0,0.0,13.0,59.0,19.0,11.0,23.0,25.0,24.0,29.0,21.0,38.0,33.0,8.0,39.0,50.0,46.0,53.0,37.0,28.0,45.0,12.0,34.0,5.0,42.0,57.0,31.0,17.0,65.0
3456,24.0,8.0,33.0,2.0,28.0,7.0,54.0,17.0,16.0,14.0,4.0,19.0,46.0,11.0,21.0,22.0,45.0,44.0,12.0,18.0,48.0,5.0,31.0,34.0,52.0,27.0,41.0,38.0,53.0,25.0
3505,8.0,38.0,39.0,12.0,10.0,54.0,5.0,30.0,14.0,25.0,11.0,31.0,13.0,60.0,21.0,22.0,29.0,34.0,24.0,44.0,59.0,16.0,52.0,23.0,37.0,64.0,2.0,49.0,17.0,43.0
3554,8.0,10.0,31.0,11.0,1.0,4.0,22.0,36.0,15.0,14.0,38.0,35.0,0.0,33.0,50.0,24.0,28.0,49.0,9.0,47.0,29.0,13.0,17.0,30.0,20.0,34.0,5.0,26.0,56.0,23.0
