, H2O2, IL-1, MAPK_PI3K, JAK-STAT, TLR, VEGF, MAPK_only, PI3K_only, TGFB, TNFa, Wnt
2491,5.0,1.0,2.0,3.0,0.0,9.0,4.0,8.0,6.0,10.0,7.0
2540,2.0,7.0,8.0,10.0,3.0,1.0,0.0,4.0,5.0,6.0,9.0
2589,1.0,2.0,5.0,4.0,0.0,3.0,8.0,9.0,6.0,10.0,7.0
2638,1.0,4.0,0.0,3.0,5.0,7.0,9.0,6.0,2.0,10.0,8.0
2687,3.0,1.0,7.0,6.0,8.0,0.0,4.0,2.0,5.0,10.0,9.0
2736,4.0,5.0,2.0,0.0,3.0,1.0,9.0,10.0,6.0,7.0,8.0
2785,1.0,2.0,5.0,4.0,0.0,3.0,8.0,9.0,6.0,7.0,10.0
2834,2.0,9.0,4.0,0.0,1.0,7.0,3.0,8.0,5.0,6.0,10.0
2883,3.0,4.0,5.0,1.0,0.0,2.0,7.0,10.0,6.0,8.0,9.0
2932,0.0,5.0,4.0,1.0,2.0,6.0,7.0,10.0,3.0,8.0,9.0
2981,1.0,4.0,0.0,2.0,6.0,7.0,5.0,3.0,8.0,9.0,10.0
3030,1.0,2.0,4.0,3.0,9.0,0.0,8.0,5.0,10.0,6.0,7.0
3079,0.0,3.0,1.0,4.0,5.0,7.0,8.0,2.0,9.0,6.0,10.0
3128,2.0,0.0,5.0,1.0,6.0,4.0,9.0,7.0,8.0,3.0,10.0
3177,4.0,1.0,3.0,0.0,6.0,2.0,5.0,10.0,7.0,8.0,9.0
3226,1.0,8.0,2.0,3.0,4.0,6.0,10.0,5.0,0.0,9.0,7.0
3275,1.0,7.0,0.0,2.0,6.0,5.0,8.0,3.0,4.0,10.0,9.0
3324,3.0,7.0,0.0,1.0,9.0,6.0,4.0,2.0,5.0,10.0,8.0
3373,3.0,7.0,0.0,4.0,8.0,1.0,10.0,2.0,5.0,9.0,6.0
3422,3.0,1.0,0.0,2.0,4.0,6.0,7.0,5.0,10.0,8.0,9.0
3471,9.0,2.0,0.0,3.0,4.0,7.0,1.0,5.0,6.0,8.0,10.0
3520,3.0,0.0,1.0,9.0,4.0,5.0,7.0,2.0,6.0,10.0,8.0
3569,6.0,1.0,0.0,3.0,4.0,5.0,2.0,9.0,8.0,7.0,10.0
3618,1.0,2.0,0.0,4.0,3.0,8.0,5.0,6.0,7.0,9.0,10.0
3667,1.0,0.0,3.0,5.0,7.0,4.0,2.0,10.0,6.0,8.0,9.0
3716,3.0,1.0,0.0,4.0,5.0,9.0,7.0,6.0,8.0,2.0,10.0
3765,2.0,3.0,0.0,6.0,10.0,9.0,8.0,1.0,7.0,4.0,5.0
3814,0.0,1.0,2.0,5.0,6.0,4.0,9.0,3.0,7.0,10.0,8.0
3863,0.0,4.0,2.0,5.0,10.0,7.0,1.0,6.0,8.0,3.0,9.0
3912,5.0,1.0,0.0,6.0,2.0,3.0,7.0,8.0,4.0,9.0,10.0
3961,1.0,2.0,6.0,4.0,0.0,5.0,9.0,7.0,8.0,10.0,3.0
4010,2.0,3.0,7.0,6.0,0.0,1.0,4.0,5.0,8.0,9.0,10.0
4059,0.0,1.0,8.0,2.0,3.0,5.0,6.0,7.0,4.0,10.0,9.0
4108,0.0,3.0,5.0,2.0,1.0,9.0,4.0,7.0,8.0,10.0,6.0
4157,0.0,1.0,7.0,5.0,4.0,3.0,6.0,8.0,2.0,10.0,9.0
4206,2.0,3.0,5.0,4.0,7.0,0.0,9.0,6.0,8.0,10.0,1.0
4255,0.0,1.0,2.0,4.0,3.0,6.0,8.0,10.0,5.0,7.0,9.0
4304,0.0,1.0,2.0,5.0,7.0,4.0,6.0,3.0,9.0,10.0,8.0
4353,8.0,2.0,4.0,3.0,6.0,0.0,9.0,7.0,5.0,10.0,1.0
4402,2.0,3.0,8.0,0.0,4.0,1.0,7.0,5.0,9.0,10.0,6.0
4451,4.0,2.0,8.0,3.0,1.0,0.0,5.0,6.0,7.0,9.0,10.0
4500,5.0,1.0,2.0,3.0,4.0,0.0,6.0,7.0,9.0,8.0,10.0
4549,4.0,5.0,0.0,8.0,2.0,7.0,1.0,10.0,9.0,6.0,3.0
4598,5.0,3.0,1.0,0.0,2.0,4.0,9.0,7.0,6.0,8.0,10.0
4647,4.0,3.0,2.0,0.0,1.0,7.0,8.0,10.0,5.0,6.0,9.0
4696,5.0,2.0,4.0,6.0,0.0,10.0,3.0,7.0,1.0,8.0,9.0
4745,4.0,2.0,1.0,3.0,0.0,7.0,5.0,6.0,8.0,9.0,10.0
4794,5.0,3.0,2.0,1.0,4.0,7.0,8.0,9.0,0.0,6.0,10.0
4843,0.0,5.0,6.0,1.0,2.0,4.0,8.0,7.0,3.0,9.0,10.0
4892,4.0,2.0,0.0,5.0,3.0,9.0,8.0,6.0,1.0,7.0,10.0
