,XBP1,Lck,eEF2,Chk2,FRA1,Cyclin_B1,Src_pY416,Notch1,Caspase-7_cleavedD198,PDCD4,MSH6,PTEN,Myosin IIa pS1943,Annexin 1,GAPDH,Caveolin-1,CD49b,4E-BP1,VAV1,Bax,Porin,AMPK_pT172,Stathmin,MDMX_MDM4(BetIHC-00108),p38_pT180_Y182,PI3K-p110-alpha,SF2,Chk1_pS345,C-Raf(BD610151),c-Myc
1865,0.0,3.0,1.0,2.0,13.0,23.0,5.0,12.0,24.0,8.0,9.0,63.0,35.0,32.0,4.0,6.0,26.0,14.0,15.0,38.0,7.0,21.0,11.0,43.0,20.0,17.0,10.0,16.0,19.0,28.0
1914,0.0,3.0,1.0,5.0,2.0,9.0,6.0,30.0,11.0,10.0,13.0,19.0,31.0,24.0,4.0,32.0,87.0,20.0,22.0,21.0,67.0,16.0,27.0,47.0,17.0,7.0,12.0,14.0,95.0,96.0
1963,0.0,7.0,6.0,3.0,2.0,11.0,8.0,1.0,4.0,16.0,12.0,27.0,5.0,18.0,36.0,14.0,10.0,25.0,22.0,28.0,15.0,23.0,21.0,9.0,20.0,19.0,30.0,85.0,26.0,24.0
2012,0.0,2.0,3.0,14.0,1.0,7.0,4.0,6.0,8.0,11.0,10.0,21.0,5.0,17.0,25.0,16.0,18.0,27.0,22.0,13.0,19.0,26.0,23.0,20.0,15.0,31.0,65.0,86.0,9.0,89.0
2061,0.0,1.0,2.0,5.0,6.0,8.0,3.0,7.0,4.0,11.0,15.0,13.0,33.0,9.0,21.0,12.0,10.0,32.0,20.0,16.0,19.0,25.0,31.0,26.0,17.0,28.0,72.0,27.0,23.0,96.0
2110,0.0,3.0,7.0,1.0,2.0,26.0,6.0,4.0,8.0,10.0,28.0,5.0,12.0,19.0,15.0,21.0,16.0,11.0,20.0,24.0,23.0,32.0,56.0,22.0,34.0,27.0,18.0,29.0,9.0,89.0
2159,0.0,1.0,4.0,8.0,5.0,12.0,3.0,2.0,7.0,10.0,11.0,16.0,6.0,9.0,19.0,15.0,33.0,20.0,18.0,13.0,25.0,98.0,27.0,22.0,28.0,76.0,26.0,24.0,14.0,85.0
2208,0.0,1.0,2.0,4.0,5.0,12.0,10.0,3.0,6.0,15.0,11.0,30.0,8.0,7.0,13.0,26.0,17.0,23.0,16.0,14.0,24.0,21.0,18.0,29.0,19.0,32.0,28.0,87.0,9.0,93.0
2257,0.0,1.0,4.0,3.0,2.0,9.0,13.0,12.0,10.0,5.0,11.0,33.0,14.0,6.0,8.0,90.0,17.0,18.0,7.0,23.0,27.0,31.0,44.0,22.0,19.0,26.0,75.0,16.0,15.0,92.0
2306,0.0,1.0,4.0,3.0,5.0,2.0,6.0,8.0,18.0,29.0,17.0,12.0,14.0,10.0,16.0,19.0,7.0,13.0,26.0,21.0,9.0,23.0,11.0,45.0,15.0,33.0,22.0,24.0,27.0,87.0
2355,0.0,1.0,2.0,7.0,3.0,8.0,6.0,4.0,11.0,5.0,20.0,26.0,9.0,10.0,21.0,22.0,19.0,12.0,25.0,13.0,51.0,29.0,18.0,31.0,23.0,15.0,27.0,85.0,16.0,90.0
2404,0.0,1.0,2.0,7.0,14.0,13.0,12.0,3.0,6.0,8.0,51.0,18.0,5.0,4.0,21.0,25.0,10.0,17.0,35.0,11.0,22.0,33.0,15.0,19.0,20.0,68.0,23.0,26.0,9.0,109.0
2453,0.0,2.0,1.0,13.0,9.0,4.0,21.0,31.0,3.0,15.0,33.0,7.0,22.0,23.0,11.0,14.0,8.0,110.0,6.0,10.0,19.0,5.0,27.0,42.0,16.0,17.0,18.0,84.0,20.0,90.0
2502,0.0,1.0,2.0,4.0,7.0,3.0,9.0,15.0,20.0,5.0,39.0,16.0,17.0,28.0,19.0,18.0,11.0,23.0,6.0,30.0,10.0,8.0,24.0,31.0,14.0,33.0,64.0,29.0,12.0,25.0
2551,0.0,3.0,1.0,4.0,10.0,2.0,32.0,6.0,8.0,20.0,14.0,9.0,23.0,16.0,15.0,12.0,13.0,30.0,5.0,29.0,22.0,7.0,33.0,21.0,11.0,75.0,65.0,34.0,17.0,31.0
2600,0.0,2.0,1.0,4.0,16.0,3.0,12.0,10.0,8.0,5.0,17.0,6.0,7.0,18.0,21.0,14.0,26.0,116.0,13.0,22.0,24.0,9.0,54.0,25.0,11.0,23.0,75.0,30.0,82.0,31.0
