,hsa-miR-142-5p,hsa-miR-10a,hsa-miR-21,hsa-miR-24,hsa-let-7e,hsa-miR-22,hsa-miR-223,hsa-miR-766,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-216a,hsa-miR-222,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-130a,hsa-miR-424,hsa-miR-31,hsa-miR-151-3p,hsa-miR-224,hsa-miR-148a,hsa-miR-126,hsa-miR-593,hsa-miR-1180,hsa-miR-29b,hsa-miR-193a-5p,hsa-miR-135b,hsa-miR-34c-3p,hsa-miR-137,hsa-miR-28-5p,hsa-miR-545,hsa-miR-369-5p
1439,0.0,2.0,5.0,3.0,36.0,6.0,1.0,13.0,4.0,18.0,82.0,9.0,56.0,22.0,387.0,17.0,8.0,113.0,38.0,45.0,32.0,33.0,245.0,10.0,19.0,42.0,611.0,59.0,46.0,534.0
1488,0.0,1.0,2.0,4.0,6.0,13.0,3.0,23.0,7.0,5.0,16.0,55.0,12.0,203.0,14.0,21.0,10.0,54.0,40.0,108.0,69.0,17.0,29.0,32.0,48.0,78.0,124.0,9.0,65.0,96.0
1537,0.0,1.0,3.0,7.0,13.0,8.0,2.0,16.0,5.0,4.0,34.0,117.0,52.0,66.0,24.0,35.0,28.0,25.0,30.0,78.0,39.0,17.0,37.0,6.0,68.0,23.0,59.0,10.0,12.0,21.0
1586,0.0,1.0,6.0,7.0,3.0,11.0,2.0,19.0,10.0,13.0,8.0,41.0,18.0,30.0,9.0,26.0,25.0,100.0,15.0,63.0,32.0,270.0,5.0,14.0,107.0,427.0,4.0,24.0,44.0,16.0
1635,0.0,1.0,12.0,19.0,13.0,2.0,6.0,10.0,4.0,3.0,5.0,18.0,17.0,32.0,160.0,21.0,8.0,48.0,29.0,30.0,62.0,57.0,26.0,11.0,31.0,24.0,88.0,34.0,91.0,353.0
1684,0.0,4.0,2.0,5.0,1.0,13.0,6.0,8.0,3.0,70.0,12.0,18.0,51.0,16.0,9.0,10.0,21.0,24.0,412.0,37.0,54.0,40.0,133.0,7.0,35.0,151.0,11.0,38.0,118.0,56.0
1733,0.0,1.0,19.0,3.0,2.0,13.0,4.0,8.0,17.0,31.0,18.0,32.0,5.0,23.0,22.0,12.0,6.0,26.0,39.0,405.0,9.0,25.0,16.0,21.0,56.0,33.0,145.0,7.0,40.0,24.0
1782,0.0,1.0,14.0,3.0,44.0,20.0,2.0,8.0,13.0,74.0,9.0,49.0,10.0,18.0,4.0,7.0,5.0,46.0,21.0,36.0,31.0,12.0,45.0,15.0,69.0,185.0,197.0,152.0,210.0,11.0
1831,0.0,1.0,5.0,115.0,18.0,3.0,7.0,10.0,8.0,6.0,39.0,136.0,2.0,64.0,9.0,14.0,37.0,11.0,279.0,28.0,61.0,92.0,12.0,15.0,27.0,142.0,60.0,4.0,31.0,439.0
1880,0.0,2.0,1.0,11.0,30.0,5.0,9.0,3.0,8.0,64.0,4.0,70.0,6.0,13.0,43.0,16.0,7.0,32.0,88.0,95.0,14.0,17.0,44.0,29.0,174.0,31.0,36.0,52.0,12.0,146.0
1929,0.0,1.0,2.0,9.0,8.0,4.0,3.0,11.0,5.0,24.0,6.0,10.0,16.0,14.0,12.0,7.0,43.0,19.0,32.0,79.0,57.0,28.0,23.0,77.0,48.0,26.0,102.0,82.0,17.0,20.0
1978,0.0,1.0,3.0,2.0,4.0,5.0,36.0,11.0,166.0,10.0,19.0,6.0,17.0,30.0,47.0,15.0,178.0,12.0,75.0,7.0,21.0,24.0,31.0,8.0,14.0,148.0,22.0,173.0,64.0,177.0
2027,0.0,3.0,4.0,1.0,79.0,41.0,40.0,2.0,20.0,22.0,93.0,80.0,29.0,7.0,45.0,141.0,13.0,232.0,158.0,47.0,60.0,24.0,336.0,18.0,62.0,75.0,16.0,154.0,192.0,44.0
2076,0.0,1.0,2.0,4.0,191.0,133.0,16.0,5.0,68.0,150.0,32.0,9.0,28.0,8.0,144.0,360.0,49.0,89.0,48.0,10.0,388.0,13.0,30.0,36.0,23.0,397.0,31.0,17.0,72.0,6.0
2125,0.0,2.0,1.0,4.0,6.0,16.0,3.0,7.0,5.0,127.0,63.0,9.0,25.0,11.0,78.0,34.0,15.0,21.0,18.0,129.0,19.0,67.0,440.0,13.0,192.0,103.0,43.0,239.0,360.0,76.0
2174,0.0,2.0,1.0,4.0,5.0,8.0,34.0,3.0,36.0,39.0,40.0,43.0,44.0,6.0,30.0,377.0,16.0,71.0,9.0,11.0,14.0,38.0,17.0,24.0,164.0,66.0,7.0,12.0,426.0,35.0
2223,0.0,31.0,23.0,1.0,13.0,18.0,6.0,20.0,27.0,271.0,19.0,3.0,68.0,30.0,39.0,388.0,9.0,10.0,5.0,72.0,2.0,11.0,29.0,213.0,80.0,135.0,12.0,26.0,191.0,14.0
2272,0.0,3.0,2.0,4.0,7.0,1.0,8.0,9.0,14.0,112.0,5.0,12.0,11.0,23.0,157.0,178.0,54.0,19.0,31.0,13.0,45.0,89.0,26.0,225.0,20.0,58.0,42.0,18.0,62.0,37.0
2321,0.0,2.0,1.0,3.0,4.0,9.0,14.0,6.0,7.0,42.0,15.0,17.0,25.0,78.0,63.0,400.0,33.0,27.0,20.0,41.0,223.0,12.0,43.0,100.0,330.0,8.0,403.0,19.0,10.0,54.0
2370,0.0,1.0,2.0,3.0,4.0,35.0,6.0,5.0,18.0,168.0,96.0,37.0,48.0,21.0,105.0,45.0,77.0,23.0,11.0,25.0,34.0,50.0,15.0,141.0,147.0,462.0,244.0,40.0,203.0,51.0
2419,0.0,1.0,3.0,30.0,4.0,10.0,5.0,2.0,33.0,42.0,70.0,14.0,18.0,231.0,31.0,73.0,51.0,97.0,26.0,7.0,122.0,15.0,6.0,34.0,175.0,16.0,41.0,17.0,72.0,369.0
2468,0.0,2.0,6.0,42.0,3.0,1.0,11.0,17.0,26.0,39.0,33.0,13.0,8.0,125.0,5.0,12.0,59.0,198.0,4.0,81.0,56.0,14.0,35.0,421.0,89.0,405.0,24.0,58.0,7.0,247.0
2517,0.0,5.0,1.0,12.0,9.0,2.0,3.0,6.0,41.0,102.0,25.0,4.0,132.0,24.0,15.0,46.0,7.0,153.0,37.0,13.0,8.0,30.0,165.0,39.0,119.0,231.0,518.0,287.0,306.0,59.0
2566,1.0,8.0,0.0,17.0,4.0,3.0,13.0,12.0,40.0,47.0,7.0,2.0,16.0,15.0,27.0,6.0,79.0,68.0,5.0,438.0,32.0,94.0,156.0,80.0,18.0,83.0,297.0,409.0,112.0,20.0
2615,1.0,5.0,50.0,9.0,21.0,19.0,3.0,184.0,11.0,251.0,55.0,28.0,20.0,14.0,6.0,23.0,10.0,302.0,0.0,49.0,4.0,40.0,7.0,58.0,421.0,45.0,26.0,256.0,29.0,298.0
2664,0.0,10.0,2.0,9.0,18.0,17.0,8.0,25.0,3.0,26.0,22.0,11.0,20.0,46.0,32.0,1.0,16.0,29.0,23.0,5.0,12.0,315.0,39.0,60.0,120.0,27.0,19.0,225.0,40.0,49.0
2713,0.0,10.0,15.0,3.0,2.0,8.0,7.0,4.0,36.0,132.0,5.0,150.0,33.0,47.0,41.0,9.0,16.0,75.0,25.0,12.0,207.0,1.0,278.0,6.0,65.0,145.0,388.0,439.0,11.0,79.0
2762,0.0,30.0,22.0,34.0,5.0,3.0,2.0,45.0,80.0,36.0,15.0,6.0,39.0,11.0,8.0,7.0,23.0,20.0,1.0,25.0,173.0,101.0,122.0,198.0,13.0,140.0,12.0,279.0,155.0,61.0
2811,0.0,28.0,19.0,8.0,3.0,36.0,2.0,1.0,15.0,88.0,5.0,17.0,10.0,22.0,7.0,4.0,26.0,249.0,9.0,11.0,12.0,13.0,415.0,51.0,14.0,188.0,24.0,83.0,33.0,21.0
2860,0.0,4.0,5.0,3.0,178.0,18.0,2.0,9.0,44.0,41.0,7.0,1.0,25.0,23.0,16.0,13.0,30.0,299.0,43.0,54.0,53.0,92.0,35.0,235.0,15.0,32.0,82.0,19.0,14.0,36.0
2909,0.0,8.0,36.0,12.0,20.0,13.0,22.0,3.0,19.0,161.0,68.0,2.0,25.0,31.0,21.0,4.0,24.0,73.0,75.0,58.0,5.0,215.0,71.0,399.0,298.0,11.0,570.0,16.0,28.0,134.0
