,CHD1_MUT,RYR3_DEL,SMURF2_MUT,UQCRFS1_AMP,PUS3_DEL,FTL_DEL,HYLS1_DEL,RPUSD4_DEL,KIRREL3-AS2_DEL,LOC284395_AMP,NFATC1_MUT,VSTM2B_AMP,SNTG1_AMP,DDX25_DEL,NCAPD3_DEL,ZNF521_MUT,TIRAP_DEL,BAX_DEL,MIR4697_DEL,HIF1A_MUT,CLEC4E_DEL,PATE3_DEL,TMEM191C_DEL,RPN1_MUT,DHDH_DEL,LINC00665_AMP,NRK_MUT,KIRREL3-AS3_DEL,PASK_DEL,LOC283174_DEL
522,0.0,2.0,129.0,46.0,3.0,9.0,4.0,7.0,13.0,103.0,303.0,34.0,17.0,58.0,51.0,100.0,73.0,43.0,183.0,77.0,33.0,1423.0,378.0,5.0,59.0,48.0,21.0,24.0,294.0,6769.0
571,52.0,0.0,16.0,12.0,9739.0,47.0,1039.0,421.0,304.0,25.0,4.0,3.0,29.0,58.0,6836.0,51.0,20076.0,20.0,20839.0,102.0,33.0,1748.0,256.0,71.0,37.0,6.0,226.0,98.0,61.0,6621.0
620,0.0,3.0,7.0,10.0,20.0,27.0,16.0,22.0,32.0,386.0,6.0,15.0,4.0,60.0,61.0,76.0,66.0,72.0,67.0,56.0,58.0,69.0,172.0,106.0,77.0,14.0,44.0,170.0,291.0,47.0
669,0.0,8.0,3.0,82.0,32.0,10.0,14.0,62.0,30.0,67.0,19.0,39.0,69.0,54.0,27.0,2539.0,344.0,1.0,97.0,5.0,9.0,116.0,2.0,6.0,21.0,28.0,24.0,204.0,167.0,96.0
718,0.0,2.0,16.0,24133.0,35.0,24.0,17.0,7.0,18.0,32.0,8.0,484.0,140.0,270.0,54.0,73.0,44.0,181.0,58.0,1.0,29.0,430.0,64.0,82.0,440.0,15946.0,16734.0,211.0,7160.0,39.0
767,8.0,1.0,4.0,26.0,5.0,7.0,46.0,9.0,13.0,161.0,0.0,57.0,2.0,55.0,15.0,34.0,6.0,29.0,47.0,145.0,37.0,10.0,204.0,126.0,101.0,121.0,800.0,174.0,137.0,48.0
816,7.0,54.0,1859.0,6.0,3.0,74.0,4.0,5.0,25.0,1.0,11.0,51.0,219.0,106.0,97.0,136.0,119.0,8.0,82.0,198.0,213.0,31.0,716.0,32.0,10.0,124.0,616.0,7264.0,6124.0,19.0
865,0.0,36.0,1.0,99.0,3.0,13.0,4.0,42.0,25.0,91.0,2.0,100.0,1085.0,158.0,53.0,132.0,65.0,49.0,64.0,38.0,9.0,14.0,223.0,48.0,177.0,35.0,937.0,33.0,556.0,18.0
914,0.0,328.0,205.0,47.0,20.0,5.0,1.0,148.0,29.0,66.0,42.0,4.0,2.0,3.0,73.0,138.0,203.0,62.0,79.0,44.0,48.0,94.0,97.0,17064.0,167.0,75.0,2315.0,185.0,811.0,6529.0
963,0.0,16.0,1.0,20.0,28.0,3.0,10.0,147.0,25.0,51.0,72.0,624.0,5.0,132.0,43.0,1075.0,46.0,76.0,26.0,4.0,23.0,7.0,1031.0,74.0,21.0,33.0,205.0,133.0,35.0,47.0
1012,3.0,1698.0,19.0,24100.0,12.0,370.0,16.0,67.0,54.0,13229.0,16679.0,2127.0,17.0,258.0,259.0,498.0,40.0,9098.0,15.0,32.0,194.0,126.0,8.0,4.0,4214.0,15948.0,29.0,438.0,53.0,35.0
1061,1.0,8.0,0.0,97.0,6.0,7.0,57.0,30.0,16.0,169.0,72.0,18635.0,35.0,40.0,4.0,136.0,58.0,43.0,59.0,105.0,122.0,9.0,42.0,34.0,52.0,832.0,504.0,209.0,11.0,56.0
1110,6.0,17.0,3.0,1.0,42.0,20.0,28.0,33.0,252.0,280.0,236.0,8.0,7.0,11.0,37.0,146.0,92.0,52.0,76.0,0.0,131.0,103.0,40.0,831.0,22.0,445.0,925.0,108.0,126.0,25.0
1159,14.0,11.0,85.0,67.0,17.0,24.0,114.0,359.0,83.0,134.0,9664.0,439.0,23.0,137.0,57.0,20.0,69.0,71.0,113.0,29.0,545.0,34.0,63.0,2610.0,236.0,48.0,274.0,190.0,3.0,448.0
1208,5.0,27.0,21.0,45.0,64.0,22.0,25.0,130.0,30.0,176.0,1711.0,2859.0,2.0,2059.0,24.0,7.0,54.0,35.0,1206.0,1454.0,201.0,161.0,240.0,10.0,66.0,810.0,16840.0,114.0,260.0,1495.0
1257,877.0,55.0,389.0,36.0,125.0,15.0,58.0,56.0,335.0,227.0,203.0,44.0,0.0,12.0,1424.0,184.0,20322.0,4.0,734.0,198.0,127.0,35.0,21.0,166.0,11.0,15958.0,122.0,140.0,103.0,6555.0
1306,25.0,3.0,24.0,5.0,84.0,103.0,65.0,249.0,48.0,13176.0,16516.0,49.0,4.0,247.0,44.0,1049.0,64.0,1126.0,66.0,396.0,6418.0,7.0,991.0,512.0,143.0,403.0,211.0,248.0,877.0,67.0
1355,16781.0,2.0,6.0,3.0,19.0,0.0,56.0,212.0,46.0,13091.0,1889.0,118.0,24.0,47.0,53.0,1237.0,4.0,530.0,22.0,2769.0,99.0,10.0,74.0,61.0,94.0,326.0,54.0,48.0,5.0,111.0
1404,9.0,14.0,5.0,104.0,2.0,21.0,64.0,10.0,23.0,298.0,1070.0,15387.0,1.0,120.0,81.0,6.0,65.0,16.0,39.0,19.0,647.0,34.0,52.0,309.0,132.0,15967.0,838.0,228.0,33.0,66.0
1453,7.0,80.0,56.0,8.0,25.0,83.0,102.0,10206.0,76.0,61.0,2901.0,27.0,57.0,115.0,42.0,1192.0,4.0,9.0,158.0,3.0,38.0,37.0,287.0,330.0,125.0,137.0,16762.0,310.0,12.0,168.0
1502,1.0,3.0,5.0,6.0,48.0,22.0,130.0,121.0,14.0,2.0,20.0,4.0,52.0,34.0,24.0,30.0,73.0,19.0,19003.0,239.0,70.0,439.0,0.0,10.0,146.0,47.0,72.0,17.0,5750.0,180.0
1551,0.0,11.0,3.0,1.0,39.0,47.0,18.0,7.0,33.0,12.0,15.0,10.0,31.0,14.0,99.0,41.0,72.0,12770.0,19085.0,657.0,6328.0,19.0,25.0,280.0,43.0,89.0,146.0,55.0,149.0,5785.0
1600,5.0,0.0,126.0,12.0,24.0,110.0,18.0,37.0,13.0,25.0,57.0,284.0,14992.0,213.0,60.0,50.0,69.0,109.0,71.0,773.0,197.0,34.0,1.0,583.0,4607.0,155.0,16765.0,22.0,7.0,224.0
1649,0.0,53.0,5.0,21.0,34.0,6.0,32.0,63.0,35.0,11.0,26.0,73.0,155.0,70.0,160.0,24.0,43.0,299.0,44.0,27.0,970.0,17.0,1.0,315.0,80.0,9.0,177.0,14.0,979.0,31.0
1698,0.0,27.0,16.0,13.0,237.0,514.0,4.0,389.0,24.0,5.0,2.0,344.0,8.0,7.0,294.0,112.0,69.0,286.0,73.0,16603.0,900.0,70.0,1.0,14.0,114.0,30.0,22.0,25.0,129.0,71.0
1747,2.0,12.0,5.0,29.0,49.0,19.0,23.0,18.0,73.0,1.0,3.0,9.0,259.0,24.0,109.0,27.0,20285.0,42.0,101.0,438.0,51.0,378.0,0.0,70.0,63.0,75.0,4.0,103.0,2500.0,377.0
1796,6.0,4.0,85.0,7.0,26.0,5.0,39.0,50.0,12.0,2.0,129.0,13.0,0.0,52.0,93.0,102.0,32.0,29.0,87.0,23.0,128.0,455.0,1.0,82.0,135.0,1245.0,10.0,229.0,49.0,55.0
1845,0.0,7.0,3.0,43.0,8.0,75.0,10.0,56.0,50.0,19.0,18.0,168.0,29.0,102.0,63.0,15.0,380.0,67.0,110.0,44.0,96.0,47.0,4.0,13.0,28.0,31.0,30.0,21.0,36.0,42.0
1894,24.0,3.0,1602.0,26.0,11.0,111.0,33.0,36.0,69.0,2.0,100.0,9.0,22289.0,440.0,176.0,116.0,91.0,181.0,157.0,43.0,340.0,18806.0,0.0,199.0,183.0,66.0,108.0,136.0,142.0,158.0
1943,2.0,7.0,8.0,5.0,26.0,74.0,90.0,28.0,49.0,0.0,4.0,15.0,31.0,79.0,92.0,2416.0,523.0,279.0,19030.0,14.0,163.0,522.0,3.0,27.0,372.0,38.0,10.0,13.0,9.0,47.0
1992,1.0,9.0,189.0,4.0,5.0,20.0,10.0,36.0,46.0,6.0,41.0,2.0,14.0,28.0,49.0,16758.0,73.0,7.0,39.0,30.0,215.0,276.0,10021.0,8.0,266.0,15957.0,3.0,197.0,126.0,72.0
2041,0.0,4.0,442.0,27.0,18.0,77.0,6.0,202.0,58.0,115.0,971.0,1.0,47.0,12.0,8.0,16796.0,45.0,16.0,9.0,57.0,140.0,128.0,222.0,654.0,309.0,44.0,28.0,88.0,239.0,131.0
2090,1.0,16.0,30.0,19.0,23.0,11.0,2.0,6.0,8.0,22.0,3.0,77.0,155.0,74.0,34.0,165.0,83.0,139.0,84.0,5.0,57.0,86.0,7.0,26.0,314.0,15979.0,12.0,20.0,31.0,85.0
2139,0.0,762.0,116.0,8.0,36.0,16.0,10.0,11.0,17.0,9.0,81.0,15.0,25.0,163.0,77.0,548.0,64.0,283.0,63.0,3.0,144.0,65.0,1391.0,514.0,39.0,26.0,4.0,24.0,502.0,29.0
2188,4.0,7.0,92.0,3.0,16.0,77.0,9.0,54.0,11.0,8.0,144.0,0.0,14876.0,208.0,55.0,16775.0,96.0,104.0,378.0,2.0,51.0,17.0,229.0,109.0,587.0,2195.0,53.0,209.0,1374.0,95.0
2237,4.0,29.0,12.0,14.0,26.0,9.0,27.0,17.0,49.0,33.0,219.0,22.0,10.0,241.0,614.0,82.0,20275.0,468.0,19059.0,0.0,133.0,31.0,64.0,84.0,2385.0,81.0,1.0,48.0,13.0,4393.0
2286,1.0,16.0,63.0,9.0,6.0,538.0,17.0,10.0,8.0,2.0,13.0,5.0,12.0,252.0,72.0,142.0,100.0,12807.0,19.0,3.0,647.0,98.0,288.0,223.0,1458.0,44.0,134.0,1477.0,37.0,99.0
2335,24.0,6.0,4.0,9.0,374.0,110.0,274.0,17.0,58.0,3.0,14.0,2.0,32.0,227.0,228.0,141.0,27.0,406.0,80.0,1.0,53.0,81.0,204.0,118.0,705.0,68.0,385.0,230.0,23.0,42.0
2384,28.0,11.0,9.0,43.0,3.0,5.0,12.0,221.0,23.0,10.0,61.0,30.0,14.0,22.0,82.0,537.0,87.0,52.0,349.0,1.0,85.0,20.0,54.0,482.0,31.0,13.0,146.0,77.0,139.0,135.0
2433,12.0,268.0,185.0,22.0,8.0,5.0,6.0,24.0,15.0,10.0,58.0,11.0,18.0,32.0,73.0,35.0,88.0,8277.0,90.0,9.0,19.0,89.0,521.0,21.0,183.0,129.0,13.0,78.0,2644.0,56.0
2482,4.0,44.0,2.0,16.0,8.0,108.0,7.0,18.0,14.0,0.0,1095.0,126.0,98.0,226.0,28.0,106.0,68.0,1281.0,1859.0,17.0,934.0,157.0,275.0,854.0,536.0,16002.0,16725.0,61.0,1293.0,6340.0
2531,0.0,317.0,25.0,2.0,117.0,15.0,3.0,5.0,4.0,57.0,79.0,26.0,83.0,172.0,90.0,80.0,65.0,198.0,66.0,1650.0,70.0,292.0,304.0,341.0,38.0,113.0,174.0,6.0,173.0,99.0
2580,0.0,557.0,76.0,7.0,18.0,14.0,16.0,11.0,24.0,3.0,966.0,41.0,78.0,106.0,119.0,9.0,93.0,154.0,393.0,891.0,29.0,396.0,287.0,144.0,109.0,770.0,13.0,239.0,267.0,395.0
2629,5.0,34.0,11.0,19.0,121.0,26.0,79.0,259.0,59.0,8.0,1.0,379.0,40.0,46.0,6.0,177.0,77.0,101.0,76.0,331.0,31.0,44.0,720.0,161.0,195.0,263.0,32.0,37.0,22.0,38.0
2678,266.0,671.0,5.0,8.0,67.0,83.0,12.0,15.0,17.0,47.0,299.0,292.0,200.0,62.0,46.0,10.0,109.0,49.0,118.0,242.0,37.0,411.0,1095.0,28.0,77.0,495.0,3406.0,261.0,35.0,110.0
2727,0.0,12004.0,2.0,7.0,179.0,426.0,38.0,10.0,79.0,23.0,1.0,31.0,238.0,5.0,204.0,109.0,16.0,472.0,56.0,16607.0,177.0,29.0,688.0,785.0,7484.0,260.0,14.0,41.0,1607.0,80.0
2776,0.0,12044.0,289.0,7.0,12.0,194.0,32.0,26.0,5.0,1.0,1038.0,11.0,99.0,3.0,31.0,16.0,25.0,12839.0,296.0,523.0,576.0,292.0,13.0,447.0,7259.0,16028.0,34.0,14.0,181.0,7129.0
2825,1.0,25.0,27.0,5.0,41.0,65.0,44.0,20.0,52.0,0.0,131.0,165.0,379.0,63.0,7.0,513.0,1022.0,833.0,49.0,1763.0,56.0,142.0,282.0,6.0,67.0,289.0,223.0,130.0,90.0,7490.0
2874,7.0,68.0,1.0,24047.0,8.0,59.0,3.0,9.0,14.0,13107.0,17.0,217.0,160.0,2.0,154.0,430.0,36.0,12730.0,35.0,16589.0,96.0,37.0,18.0,375.0,6525.0,151.0,16782.0,46.0,51.0,232.0
2923,4.0,295.0,18.0,75.0,8.0,343.0,22.0,11.0,27.0,32.0,14.0,521.0,15004.0,104.0,128.0,423.0,89.0,119.0,18992.0,766.0,72.0,18864.0,0.0,1243.0,58.0,1185.0,239.0,26.0,55.0,6476.0
2972,2.0,32.0,588.0,45.0,55.0,51.0,165.0,6.0,107.0,86.0,110.0,5.0,350.0,18.0,27.0,9.0,12.0,163.0,8.0,16539.0,83.0,81.0,42.0,17023.0,161.0,16378.0,0.0,11.0,19.0,417.0
3021,47.0,1.0,283.0,25.0,40.0,15.0,11.0,24.0,26.0,10.0,1234.0,0.0,2.0,4.0,33.0,410.0,53.0,12.0,243.0,1042.0,300.0,240.0,415.0,17081.0,38.0,182.0,6.0,3.0,127.0,242.0
3070,0.0,438.0,206.0,770.0,16.0,9.0,2.0,11.0,13.0,49.0,803.0,63.0,5.0,117.0,32.0,1046.0,42.0,23.0,43.0,16604.0,14.0,40.0,1.0,17128.0,168.0,568.0,19.0,18.0,148.0,44.0
3119,3.0,2.0,16.0,5.0,64.0,4.0,27.0,24.0,57.0,77.0,909.0,93.0,1.0,46.0,73.0,356.0,521.0,6.0,19061.0,360.0,111.0,18864.0,7987.0,2018.0,61.0,18.0,25.0,58.0,89.0,623.0
3168,5.0,4.0,1068.0,868.0,6.0,565.0,14.0,35.0,20.0,90.0,42.0,459.0,11.0,7.0,54.0,22.0,32.0,59.0,17.0,16589.0,76.0,57.0,130.0,17126.0,1362.0,19.0,2.0,316.0,5880.0,48.0
3217,347.0,13.0,16.0,0.0,14.0,18.0,4.0,1.0,15.0,7.0,244.0,12.0,21.0,132.0,22.0,8.0,41.0,52.0,44.0,8696.0,64.0,43.0,34.0,2063.0,36.0,9.0,23.0,133.0,277.0,45.0
3266,192.0,7.0,301.0,24.0,9.0,5.0,8.0,27.0,3.0,31.0,2306.0,49.0,67.0,150.0,26.0,12.0,17.0,297.0,20.0,16606.0,533.0,59.0,10.0,17089.0,11.0,704.0,101.0,151.0,237.0,60.0
3315,87.0,1.0,462.0,185.0,6.0,2.0,14.0,34.0,7.0,383.0,363.0,169.0,12.0,55.0,70.0,608.0,4.0,96.0,79.0,16599.0,109.0,76.0,0.0,17043.0,119.0,3002.0,159.0,48.0,130.0,25.0
3364,42.0,84.0,157.0,44.0,107.0,7.0,2.0,24.0,11.0,5.0,936.0,223.0,1316.0,6.0,40.0,36.0,28.0,23.0,29.0,743.0,90.0,174.0,10.0,311.0,12.0,263.0,247.0,6368.0,1151.0,27.0
3413,5.0,24.0,2406.0,68.0,16.0,7062.0,71.0,30.0,9.0,54.0,23.0,3.0,15.0,39.0,17.0,1124.0,91.0,12773.0,67.0,16615.0,20.0,312.0,89.0,17052.0,6291.0,16418.0,64.0,12.0,2891.0,578.0
3462,13.0,124.0,3.0,76.0,32.0,12.0,256.0,48.0,83.0,73.0,88.0,28.0,198.0,55.0,29.0,7.0,257.0,558.0,20.0,2.0,65.0,62.0,1027.0,12716.0,133.0,19.0,270.0,8321.0,18.0,22.0
3511,1.0,142.0,3.0,440.0,96.0,98.0,75.0,783.0,301.0,449.0,11.0,285.0,1315.0,14.0,150.0,70.0,451.0,9.0,120.0,121.0,112.0,453.0,219.0,1237.0,12.0,90.0,114.0,907.0,1890.0,206.0
3560,0.0,24.0,113.0,23.0,321.0,8.0,48.0,74.0,192.0,20.0,19.0,141.0,1095.0,43.0,420.0,251.0,21389.0,71.0,18796.0,244.0,151.0,19572.0,49.0,1578.0,9.0,5.0,1287.0,985.0,572.0,7648.0
3609,0.0,4.0,2.0,244.0,44.0,21.0,67.0,439.0,25.0,553.0,1.0,31.0,14919.0,15.0,146.0,10.0,96.0,51.0,110.0,304.0,153.0,158.0,199.0,1060.0,54.0,15940.0,361.0,6414.0,1537.0,6413.0
3658,1.0,12.0,2.0,46.0,29.0,22.0,32.0,35.0,31.0,138.0,1349.0,153.0,164.0,43.0,36.0,8.0,50.0,212.0,52.0,66.0,336.0,20.0,0.0,17116.0,33.0,25.0,273.0,7168.0,117.0,51.0
3707,0.0,42.0,437.0,285.0,26.0,4.0,54.0,38.0,256.0,1262.0,19.0,15394.0,53.0,43.0,197.0,13.0,55.0,105.0,119.0,142.0,125.0,135.0,6.0,93.0,37.0,15939.0,115.0,166.0,57.0,4391.0
3756,9.0,166.0,2.0,11.0,168.0,137.0,232.0,10190.0,245.0,6.0,207.0,46.0,82.0,18.0,342.0,165.0,103.0,19.0,102.0,16595.0,110.0,39.0,437.0,1381.0,6353.0,0.0,33.0,407.0,56.0,366.0
3805,1.0,938.0,74.0,19.0,12.0,24.0,66.0,76.0,87.0,53.0,25.0,5.0,354.0,132.0,181.0,15.0,198.0,13148.0,790.0,383.0,512.0,606.0,9.0,10989.0,62.0,294.0,149.0,305.0,374.0,7134.0
3854,2.0,1.0,17053.0,48.0,61.0,67.0,63.0,60.0,64.0,43.0,44.0,21.0,1394.0,35.0,128.0,160.0,104.0,125.0,103.0,449.0,535.0,105.0,23.0,34.0,19.0,407.0,5.0,313.0,37.0,1237.0
3903,11.0,108.0,70.0,1057.0,146.0,16.0,556.0,422.0,20691.0,39.0,1156.0,1290.0,49.0,3866.0,2776.0,0.0,20257.0,564.0,19114.0,56.0,114.0,18922.0,12.0,2113.0,69.0,67.0,16725.0,7080.0,89.0,7079.0
3952,0.0,160.0,61.0,76.0,1056.0,206.0,5572.0,10206.0,20712.0,19.0,57.0,23.0,31.0,1808.0,7225.0,24.0,20260.0,912.0,19086.0,10.0,105.0,18930.0,288.0,67.0,82.0,66.0,34.0,6413.0,124.0,6420.0
4001,0.0,339.0,2.0,44.0,5.0,5427.0,29.0,105.0,72.0,4.0,51.0,19.0,27.0,71.0,118.0,65.0,20333.0,2835.0,21.0,6.0,41.0,110.0,704.0,1.0,1204.0,278.0,82.0,85.0,38.0,628.0
4050,28.0,3.0,532.0,44.0,57.0,7539.0,53.0,1.0,85.0,4.0,0.0,217.0,112.0,23.0,286.0,11.0,357.0,1890.0,365.0,16591.0,37.0,361.0,869.0,34.0,1789.0,202.0,41.0,174.0,349.0,4229.0
4099,2.0,143.0,0.0,11.0,21.0,5481.0,19.0,15.0,18.0,7.0,9.0,10.0,231.0,75.0,58.0,176.0,23.0,12798.0,74.0,3.0,37.0,339.0,12395.0,28.0,7454.0,574.0,1.0,187.0,133.0,25.0
4148,17.0,27.0,0.0,28.0,12.0,211.0,396.0,6.0,33.0,7.0,8.0,11.0,14957.0,71.0,129.0,13.0,640.0,152.0,19099.0,361.0,91.0,470.0,41.0,3.0,681.0,621.0,16755.0,7078.0,140.0,541.0
4197,2.0,7.0,38.0,29.0,12.0,5668.0,431.0,14.0,327.0,1.0,15.0,141.0,9.0,26.0,122.0,114.0,303.0,537.0,437.0,76.0,7091.0,77.0,195.0,784.0,151.0,1424.0,0.0,326.0,41.0,1564.0
4246,15.0,5.0,29.0,40.0,676.0,39.0,5625.0,12.0,20755.0,3.0,1187.0,131.0,710.0,52.0,7228.0,276.0,498.0,180.0,19100.0,37.0,35.0,948.0,668.0,71.0,770.0,85.0,0.0,213.0,210.0,235.0
4295,2.0,2597.0,0.0,98.0,12.0,137.0,89.0,5.0,491.0,42.0,1.0,70.0,14926.0,237.0,243.0,3.0,396.0,25.0,18988.0,50.0,82.0,619.0,982.0,23.0,3859.0,273.0,200.0,439.0,144.0,4277.0
4344,4.0,2.0,8.0,5.0,44.0,76.0,39.0,1.0,100.0,7.0,14.0,29.0,9.0,333.0,183.0,75.0,20324.0,491.0,18986.0,6.0,167.0,18876.0,12450.0,53.0,697.0,3.0,800.0,78.0,138.0,6486.0
4393,0.0,4.0,209.0,24115.0,3.0,6963.0,103.0,5.0,6.0,13.0,35.0,87.0,123.0,40.0,10.0,67.0,79.0,294.0,12.0,50.0,7322.0,19.0,705.0,99.0,1684.0,62.0,129.0,75.0,56.0,23.0
4442,2.0,132.0,0.0,32.0,542.0,18.0,721.0,10209.0,106.0,59.0,31.0,213.0,1.0,19.0,450.0,52.0,20020.0,12.0,826.0,8.0,25.0,3037.0,10.0,162.0,382.0,117.0,296.0,23.0,566.0,554.0
4491,60.0,139.0,170.0,2.0,9883.0,86.0,3331.0,207.0,20703.0,36.0,23.0,9.0,21.0,6918.0,3100.0,0.0,20267.0,12744.0,19032.0,1092.0,7223.0,768.0,8.0,45.0,7559.0,1389.0,17.0,7416.0,699.0,7415.0
4540,1.0,389.0,286.0,23.0,501.0,96.0,5298.0,48.0,27.0,6.0,79.0,2.0,17.0,22.0,143.0,12.0,20016.0,45.0,19038.0,4.0,280.0,638.0,250.0,39.0,493.0,106.0,30.0,84.0,44.0,6949.0
4589,21.0,0.0,851.0,32.0,134.0,75.0,132.0,378.0,209.0,7.0,1375.0,4.0,186.0,3860.0,8046.0,11.0,20296.0,44.0,776.0,6.0,42.0,660.0,10206.0,59.0,73.0,16.0,191.0,4484.0,101.0,4485.0
4638,6.0,8.0,7.0,9.0,49.0,69.0,18.0,44.0,42.0,12.0,0.0,2.0,37.0,79.0,335.0,4.0,419.0,32.0,421.0,226.0,265.0,99.0,90.0,2793.0,609.0,73.0,1137.0,41.0,250.0,418.0
4687,0.0,8.0,20.0,27.0,575.0,4.0,5498.0,99.0,180.0,53.0,3.0,1.0,199.0,3726.0,548.0,5.0,20150.0,9.0,669.0,768.0,650.0,277.0,823.0,14.0,15.0,443.0,23.0,6555.0,64.0,6597.0
4736,2.0,3.0,1.0,22.0,4.0,37.0,28.0,13.0,9.0,307.0,12.0,39.0,97.0,65.0,112.0,0.0,489.0,49.0,1396.0,23.0,7216.0,127.0,19.0,21.0,700.0,223.0,932.0,57.0,24.0,491.0
4785,0.0,4.0,12.0,6.0,117.0,119.0,46.0,29.0,461.0,353.0,36.0,52.0,13774.0,255.0,194.0,22.0,977.0,60.0,1261.0,2.0,111.0,799.0,1.0,61.0,131.0,132.0,59.0,462.0,3.0,7439.0
4834,56.0,1.0,17112.0,3.0,540.0,44.0,539.0,14.0,20.0,2.0,7.0,23.0,92.0,86.0,65.0,97.0,20030.0,234.0,19042.0,188.0,66.0,763.0,189.0,25.0,43.0,84.0,33.0,49.0,10.0,6334.0
4883,0.0,15.0,16.0,9.0,26.0,312.0,72.0,59.0,32.0,41.0,4.0,11.0,3.0,286.0,111.0,2.0,691.0,86.0,491.0,869.0,6517.0,248.0,10.0,192.0,171.0,135.0,129.0,52.0,12.0,6823.0
