,GABA,C16:0 LPE,hypoxanthine,putrescine,uracil,alpha-glycerophosphate,C22:6 LPC,alpha-glycerophosphocholine,serotonin,pyroglutamic acid,1-methylnicotinamide,inositol,sarcosine,beta-alanine,malondialdehyde,uridine,3-phosphoglycerate,C34:4 PC,DHAP/glyceraldehyde 3P,dCMP,cytidine,pantothenate,creatine,cystathionine,C34:2 DAG,C36:1 DAG,asparagine,oxalate,C20:4 CE,glutamine
1056,3.0,7.0,1.0,39.0,8.0,13.0,10.0,62.0,19.0,15.0,40.0,6.0,42.0,21.0,56.0,28.0,0.0,9.0,14.0,25.0,11.0,27.0,64.0,20.0,41.0,24.0,22.0,50.0,38.0,5.0
1105,9.0,3.0,30.0,1.0,21.0,4.0,31.0,61.0,19.0,17.0,6.0,18.0,34.0,33.0,13.0,0.0,43.0,27.0,2.0,23.0,7.0,28.0,63.0,22.0,26.0,25.0,11.0,50.0,24.0,55.0
1154,4.0,8.0,7.0,5.0,20.0,1.0,33.0,61.0,57.0,42.0,15.0,16.0,6.0,36.0,2.0,18.0,45.0,17.0,3.0,47.0,9.0,30.0,63.0,22.0,29.0,35.0,13.0,50.0,44.0,53.0
1203,15.0,21.0,2.0,3.0,31.0,8.0,12.0,5.0,4.0,19.0,49.0,1.0,22.0,38.0,26.0,53.0,24.0,17.0,34.0,9.0,10.0,30.0,6.0,32.0,43.0,44.0,7.0,64.0,14.0,0.0
1252,3.0,1.0,29.0,2.0,6.0,5.0,9.0,16.0,12.0,18.0,17.0,10.0,19.0,40.0,11.0,4.0,43.0,27.0,0.0,47.0,32.0,24.0,64.0,28.0,31.0,34.0,8.0,25.0,33.0,57.0
1301,3.0,6.0,9.0,8.0,28.0,1.0,7.0,65.0,14.0,17.0,22.0,0.0,37.0,38.0,2.0,53.0,15.0,5.0,30.0,4.0,26.0,24.0,60.0,44.0,43.0,19.0,11.0,31.0,20.0,12.0
1350,1.0,3.0,2.0,10.0,57.0,7.0,38.0,59.0,53.0,8.0,13.0,4.0,14.0,19.0,9.0,6.0,0.0,34.0,25.0,5.0,29.0,26.0,61.0,32.0,11.0,22.0,21.0,47.0,37.0,20.0
1399,10.0,5.0,49.0,9.0,28.0,27.0,6.0,15.0,21.0,36.0,11.0,1.0,34.0,17.0,55.0,0.0,33.0,7.0,25.0,13.0,2.0,3.0,8.0,14.0,40.0,23.0,12.0,52.0,41.0,56.0
1448,2.0,12.0,6.0,0.0,30.0,1.0,13.0,17.0,4.0,16.0,49.0,28.0,5.0,23.0,8.0,53.0,24.0,41.0,29.0,9.0,10.0,25.0,59.0,11.0,14.0,20.0,15.0,65.0,44.0,22.0
1497,14.0,0.0,6.0,7.0,1.0,28.0,17.0,16.0,13.0,64.0,20.0,3.0,23.0,38.0,29.0,4.0,66.0,43.0,40.0,9.0,44.0,30.0,5.0,8.0,10.0,45.0,36.0,49.0,46.0,35.0
1546,4.0,0.0,25.0,9.0,22.0,11.0,42.0,7.0,1.0,32.0,12.0,17.0,37.0,16.0,56.0,30.0,34.0,39.0,28.0,48.0,47.0,23.0,64.0,46.0,10.0,29.0,57.0,51.0,2.0,58.0
1595,7.0,0.0,30.0,1.0,34.0,3.0,18.0,11.0,5.0,14.0,66.0,26.0,2.0,17.0,56.0,35.0,15.0,19.0,28.0,6.0,27.0,32.0,63.0,41.0,21.0,22.0,16.0,55.0,4.0,42.0
1644,11.0,6.0,9.0,2.0,31.0,28.0,20.0,65.0,14.0,12.0,18.0,32.0,36.0,19.0,23.0,53.0,3.0,41.0,1.0,7.0,0.0,25.0,59.0,39.0,21.0,4.0,10.0,48.0,43.0,5.0
1693,18.0,1.0,32.0,5.0,59.0,12.0,8.0,57.0,17.0,64.0,48.0,3.0,35.0,26.0,49.0,31.0,9.0,41.0,10.0,11.0,13.0,33.0,20.0,43.0,15.0,21.0,0.0,36.0,16.0,56.0
1742,16.0,0.0,2.0,22.0,6.0,45.0,11.0,59.0,15.0,1.0,48.0,27.0,41.0,12.0,7.0,55.0,66.0,21.0,9.0,10.0,31.0,28.0,61.0,34.0,18.0,24.0,25.0,33.0,14.0,13.0
1791,4.0,1.0,30.0,13.0,55.0,26.0,7.0,60.0,54.0,47.0,48.0,0.0,36.0,6.0,32.0,51.0,66.0,42.0,28.0,9.0,27.0,29.0,19.0,10.0,17.0,12.0,49.0,5.0,43.0,15.0
1840,14.0,12.0,0.0,4.0,59.0,37.0,22.0,54.0,7.0,6.0,3.0,63.0,20.0,21.0,27.0,31.0,66.0,8.0,39.0,28.0,1.0,29.0,17.0,9.0,11.0,36.0,2.0,48.0,35.0,19.0
1889,58.0,2.0,1.0,15.0,32.0,24.0,18.0,61.0,13.0,43.0,20.0,21.0,11.0,5.0,12.0,33.0,44.0,41.0,46.0,26.0,0.0,3.0,14.0,25.0,34.0,28.0,19.0,4.0,27.0,55.0
1938,21.0,1.0,23.0,2.0,11.0,5.0,4.0,19.0,12.0,18.0,10.0,54.0,38.0,14.0,55.0,9.0,42.0,31.0,46.0,8.0,45.0,51.0,6.0,44.0,32.0,29.0,20.0,28.0,27.0,56.0
1987,3.0,12.0,6.0,7.0,29.0,28.0,10.0,17.0,53.0,14.0,23.0,64.0,22.0,13.0,8.0,26.0,0.0,43.0,9.0,34.0,11.0,4.0,16.0,47.0,20.0,21.0,51.0,60.0,45.0,5.0
2036,0.0,22.0,1.0,2.0,6.0,26.0,5.0,17.0,58.0,30.0,18.0,11.0,8.0,39.0,19.0,53.0,9.0,28.0,4.0,3.0,10.0,7.0,62.0,31.0,36.0,37.0,16.0,51.0,32.0,15.0
2085,1.0,19.0,10.0,11.0,58.0,4.0,15.0,3.0,54.0,16.0,49.0,33.0,42.0,17.0,26.0,30.0,12.0,9.0,8.0,0.0,7.0,25.0,14.0,32.0,20.0,6.0,50.0,31.0,21.0,23.0
2134,0.0,34.0,1.0,19.0,8.0,21.0,3.0,5.0,16.0,12.0,65.0,56.0,4.0,45.0,23.0,53.0,2.0,27.0,26.0,11.0,13.0,9.0,15.0,35.0,29.0,43.0,20.0,32.0,31.0,58.0
2183,2.0,8.0,27.0,5.0,28.0,10.0,21.0,19.0,13.0,16.0,15.0,25.0,12.0,6.0,48.0,3.0,23.0,37.0,31.0,36.0,32.0,24.0,0.0,33.0,9.0,18.0,7.0,49.0,20.0,51.0
2232,0.0,10.0,8.0,64.0,6.0,11.0,12.0,1.0,52.0,18.0,7.0,33.0,9.0,13.0,26.0,5.0,25.0,2.0,29.0,37.0,28.0,49.0,20.0,27.0,19.0,21.0,24.0,47.0,22.0,14.0
2281,59.0,0.0,2.0,6.0,33.0,3.0,7.0,1.0,58.0,41.0,18.0,4.0,16.0,15.0,52.0,23.0,43.0,32.0,27.0,46.0,26.0,31.0,19.0,25.0,10.0,28.0,55.0,49.0,5.0,13.0
2330,2.0,20.0,4.0,17.0,35.0,11.0,19.0,7.0,26.0,25.0,5.0,31.0,3.0,38.0,9.0,58.0,27.0,21.0,33.0,8.0,45.0,1.0,13.0,47.0,23.0,46.0,29.0,51.0,24.0,28.0
2379,1.0,6.0,44.0,10.0,65.0,3.0,7.0,14.0,53.0,11.0,17.0,33.0,9.0,45.0,34.0,30.0,2.0,4.0,5.0,28.0,29.0,26.0,15.0,48.0,20.0,21.0,49.0,50.0,22.0,24.0
2428,6.0,20.0,50.0,31.0,4.0,14.0,9.0,27.0,7.0,65.0,45.0,22.0,37.0,38.0,3.0,25.0,36.0,30.0,18.0,16.0,15.0,29.0,62.0,1.0,21.0,42.0,56.0,53.0,12.0,57.0
2477,18.0,6.0,3.0,7.0,12.0,10.0,0.0,9.0,26.0,16.0,25.0,33.0,36.0,19.0,57.0,29.0,17.0,22.0,39.0,42.0,32.0,2.0,59.0,30.0,23.0,8.0,52.0,28.0,24.0,49.0
2526,0.0,4.0,47.0,14.0,3.0,1.0,5.0,2.0,31.0,30.0,32.0,6.0,35.0,9.0,15.0,51.0,33.0,38.0,11.0,46.0,12.0,22.0,63.0,45.0,25.0,28.0,55.0,23.0,29.0,56.0
2575,12.0,0.0,5.0,24.0,29.0,1.0,6.0,15.0,11.0,21.0,65.0,56.0,41.0,9.0,35.0,2.0,47.0,44.0,30.0,4.0,28.0,32.0,49.0,26.0,42.0,7.0,58.0,34.0,39.0,59.0
2624,3.0,1.0,28.0,12.0,0.0,9.0,10.0,63.0,7.0,8.0,40.0,19.0,15.0,35.0,18.0,2.0,43.0,30.0,26.0,25.0,24.0,31.0,13.0,23.0,29.0,38.0,4.0,51.0,6.0,57.0
2673,2.0,0.0,33.0,16.0,53.0,3.0,11.0,15.0,12.0,18.0,36.0,5.0,39.0,40.0,6.0,4.0,22.0,25.0,27.0,47.0,1.0,51.0,46.0,26.0,44.0,34.0,57.0,30.0,7.0,58.0
2722,3.0,0.0,34.0,65.0,33.0,2.0,19.0,11.0,52.0,23.0,48.0,29.0,38.0,39.0,26.0,9.0,1.0,20.0,7.0,30.0,5.0,10.0,13.0,4.0,8.0,6.0,36.0,27.0,22.0,24.0
2771,1.0,5.0,7.0,16.0,9.0,0.0,6.0,13.0,18.0,14.0,24.0,54.0,2.0,44.0,35.0,58.0,15.0,21.0,4.0,38.0,47.0,31.0,59.0,43.0,37.0,42.0,50.0,28.0,23.0,49.0
2820,7.0,0.0,2.0,17.0,4.0,1.0,12.0,16.0,58.0,18.0,41.0,3.0,33.0,14.0,52.0,11.0,43.0,40.0,28.0,46.0,24.0,10.0,63.0,23.0,9.0,26.0,55.0,30.0,25.0,65.0
2869,0.0,9.0,1.0,17.0,29.0,11.0,5.0,16.0,59.0,32.0,38.0,6.0,4.0,42.0,26.0,31.0,2.0,37.0,14.0,45.0,30.0,27.0,15.0,23.0,40.0,7.0,65.0,13.0,10.0,56.0
2918,0.0,47.0,6.0,18.0,32.0,29.0,17.0,15.0,53.0,4.0,48.0,52.0,22.0,37.0,39.0,1.0,26.0,21.0,9.0,42.0,2.0,28.0,60.0,8.0,11.0,44.0,25.0,30.0,10.0,5.0
2967,3.0,31.0,25.0,7.0,2.0,10.0,6.0,1.0,8.0,18.0,9.0,16.0,35.0,0.0,15.0,55.0,33.0,23.0,11.0,47.0,29.0,22.0,28.0,30.0,27.0,39.0,14.0,52.0,40.0,4.0
3016,16.0,41.0,2.0,20.0,11.0,4.0,0.0,9.0,22.0,27.0,21.0,25.0,17.0,12.0,32.0,8.0,15.0,29.0,7.0,28.0,26.0,31.0,19.0,6.0,38.0,10.0,18.0,49.0,36.0,13.0
3065,19.0,4.0,9.0,33.0,3.0,1.0,0.0,5.0,58.0,26.0,17.0,56.0,36.0,18.0,2.0,53.0,34.0,7.0,11.0,28.0,45.0,23.0,29.0,30.0,38.0,27.0,20.0,24.0,39.0,13.0
3114,8.0,5.0,7.0,33.0,3.0,13.0,4.0,12.0,60.0,18.0,21.0,27.0,20.0,1.0,0.0,2.0,42.0,28.0,10.0,11.0,26.0,30.0,64.0,44.0,29.0,34.0,17.0,50.0,35.0,6.0
3163,9.0,34.0,7.0,4.0,10.0,1.0,11.0,18.0,17.0,20.0,2.0,22.0,15.0,21.0,8.0,0.0,12.0,37.0,5.0,27.0,3.0,32.0,63.0,26.0,30.0,38.0,14.0,50.0,42.0,55.0
3212,13.0,31.0,5.0,8.0,2.0,25.0,7.0,61.0,14.0,23.0,9.0,55.0,20.0,0.0,12.0,1.0,44.0,39.0,33.0,47.0,27.0,28.0,17.0,3.0,6.0,37.0,56.0,29.0,35.0,18.0
3261,10.0,0.0,4.0,7.0,2.0,1.0,17.0,9.0,24.0,8.0,27.0,53.0,14.0,15.0,54.0,21.0,33.0,25.0,3.0,23.0,22.0,26.0,63.0,12.0,28.0,39.0,6.0,48.0,19.0,56.0
3310,3.0,38.0,9.0,2.0,7.0,12.0,31.0,0.0,14.0,17.0,13.0,10.0,19.0,5.0,1.0,6.0,22.0,4.0,27.0,45.0,25.0,32.0,20.0,11.0,28.0,37.0,56.0,29.0,26.0,18.0
3359,20.0,38.0,29.0,14.0,5.0,13.0,10.0,6.0,21.0,46.0,8.0,1.0,23.0,0.0,25.0,53.0,24.0,18.0,11.0,39.0,28.0,61.0,3.0,27.0,12.0,41.0,22.0,64.0,42.0,49.0
3408,7.0,3.0,0.0,34.0,25.0,26.0,4.0,11.0,15.0,19.0,9.0,8.0,40.0,18.0,14.0,1.0,43.0,6.0,10.0,46.0,45.0,29.0,12.0,27.0,32.0,41.0,57.0,51.0,28.0,58.0
3457,5.0,2.0,7.0,10.0,25.0,23.0,3.0,11.0,12.0,15.0,35.0,0.0,36.0,40.0,58.0,1.0,43.0,32.0,34.0,48.0,47.0,52.0,64.0,46.0,33.0,27.0,17.0,28.0,8.0,4.0
3506,11.0,7.0,10.0,0.0,29.0,26.0,8.0,3.0,5.0,17.0,56.0,48.0,34.0,19.0,23.0,9.0,66.0,1.0,2.0,6.0,41.0,13.0,59.0,28.0,20.0,4.0,18.0,25.0,44.0,15.0
3555,2.0,24.0,7.0,0.0,1.0,10.0,21.0,5.0,3.0,20.0,47.0,33.0,41.0,16.0,6.0,4.0,26.0,14.0,30.0,38.0,27.0,63.0,59.0,35.0,45.0,37.0,32.0,48.0,39.0,25.0
3604,16.0,6.0,11.0,8.0,53.0,9.0,2.0,5.0,17.0,23.0,33.0,0.0,41.0,18.0,4.0,1.0,22.0,26.0,10.0,29.0,7.0,30.0,12.0,48.0,39.0,44.0,20.0,31.0,34.0,57.0
3653,12.0,0.0,2.0,1.0,3.0,30.0,7.0,14.0,6.0,19.0,47.0,51.0,39.0,38.0,31.0,9.0,15.0,5.0,8.0,40.0,26.0,11.0,61.0,35.0,32.0,36.0,46.0,63.0,43.0,49.0
3702,19.0,0.0,14.0,4.0,2.0,11.0,22.0,17.0,20.0,41.0,39.0,5.0,30.0,21.0,23.0,1.0,3.0,42.0,13.0,47.0,29.0,9.0,16.0,46.0,33.0,32.0,15.0,52.0,25.0,65.0
3751,6.0,36.0,3.0,1.0,2.0,25.0,23.0,5.0,12.0,20.0,15.0,0.0,21.0,42.0,19.0,55.0,4.0,29.0,46.0,45.0,18.0,27.0,28.0,13.0,10.0,38.0,59.0,51.0,37.0,16.0
3800,7.0,18.0,4.0,3.0,8.0,30.0,17.0,60.0,54.0,21.0,12.0,10.0,38.0,11.0,20.0,2.0,1.0,13.0,0.0,5.0,44.0,27.0,15.0,35.0,19.0,9.0,49.0,55.0,41.0,50.0
3849,2.0,4.0,7.0,0.0,27.0,30.0,11.0,19.0,55.0,15.0,14.0,8.0,37.0,38.0,47.0,28.0,22.0,17.0,9.0,3.0,42.0,25.0,61.0,32.0,43.0,21.0,50.0,24.0,10.0,1.0
3898,18.0,43.0,0.0,9.0,53.0,1.0,13.0,4.0,17.0,42.0,41.0,7.0,11.0,14.0,55.0,2.0,3.0,36.0,6.0,26.0,25.0,50.0,63.0,24.0,31.0,32.0,57.0,30.0,8.0,58.0
3947,0.0,7.0,28.0,9.0,10.0,32.0,21.0,59.0,63.0,17.0,16.0,3.0,8.0,37.0,2.0,57.0,12.0,6.0,43.0,5.0,4.0,33.0,14.0,44.0,23.0,24.0,52.0,30.0,46.0,26.0
3996,5.0,19.0,1.0,0.0,54.0,33.0,10.0,17.0,53.0,15.0,8.0,22.0,11.0,9.0,46.0,51.0,2.0,20.0,26.0,37.0,29.0,6.0,60.0,3.0,34.0,14.0,13.0,24.0,36.0,21.0
4045,5.0,37.0,25.0,0.0,27.0,7.0,14.0,21.0,17.0,1.0,8.0,33.0,23.0,16.0,6.0,2.0,3.0,40.0,28.0,9.0,26.0,30.0,22.0,10.0,32.0,38.0,12.0,4.0,36.0,13.0
4094,0.0,19.0,13.0,9.0,28.0,12.0,18.0,24.0,53.0,5.0,6.0,54.0,2.0,34.0,52.0,62.0,3.0,11.0,36.0,46.0,39.0,7.0,59.0,40.0,22.0,43.0,30.0,8.0,44.0,14.0
4143,3.0,1.0,0.0,2.0,5.0,25.0,16.0,17.0,58.0,13.0,18.0,9.0,21.0,39.0,4.0,24.0,22.0,6.0,11.0,12.0,46.0,7.0,19.0,29.0,35.0,33.0,55.0,8.0,32.0,65.0
4192,9.0,23.0,8.0,1.0,51.0,46.0,3.0,18.0,59.0,20.0,19.0,2.0,13.0,12.0,10.0,53.0,44.0,34.0,27.0,26.0,0.0,49.0,64.0,4.0,37.0,7.0,57.0,31.0,41.0,58.0
4241,1.0,7.0,2.0,0.0,3.0,23.0,12.0,19.0,60.0,9.0,17.0,18.0,5.0,35.0,16.0,22.0,44.0,4.0,26.0,25.0,8.0,31.0,13.0,46.0,28.0,29.0,14.0,30.0,40.0,56.0
4290,9.0,0.0,22.0,8.0,23.0,12.0,31.0,15.0,5.0,33.0,14.0,19.0,4.0,35.0,1.0,55.0,3.0,26.0,32.0,2.0,29.0,50.0,10.0,28.0,36.0,41.0,17.0,27.0,34.0,57.0
4339,6.0,2.0,1.0,9.0,49.0,24.0,19.0,61.0,14.0,12.0,11.0,0.0,16.0,38.0,4.0,3.0,22.0,23.0,32.0,8.0,29.0,5.0,20.0,10.0,39.0,37.0,55.0,27.0,35.0,18.0
4388,0.0,2.0,7.0,8.0,32.0,24.0,23.0,14.0,15.0,19.0,11.0,55.0,3.0,21.0,13.0,51.0,42.0,4.0,27.0,26.0,9.0,5.0,63.0,10.0,35.0,30.0,18.0,48.0,37.0,1.0
4437,11.0,7.0,38.0,16.0,2.0,4.0,18.0,8.0,5.0,14.0,23.0,27.0,17.0,39.0,26.0,6.0,3.0,19.0,34.0,30.0,29.0,48.0,13.0,28.0,20.0,44.0,24.0,65.0,21.0,10.0
4486,7.0,9.0,28.0,14.0,2.0,13.0,16.0,17.0,60.0,12.0,18.0,55.0,37.0,40.0,21.0,32.0,43.0,27.0,48.0,47.0,11.0,5.0,19.0,46.0,26.0,10.0,56.0,6.0,41.0,20.0
4535,4.0,18.0,7.0,10.0,60.0,0.0,17.0,6.0,53.0,48.0,11.0,9.0,23.0,40.0,31.0,29.0,25.0,35.0,30.0,36.0,32.0,26.0,1.0,33.0,21.0,5.0,47.0,56.0,22.0,49.0
4584,16.0,34.0,4.0,5.0,3.0,9.0,6.0,18.0,15.0,25.0,35.0,58.0,2.0,13.0,29.0,1.0,24.0,46.0,11.0,7.0,8.0,30.0,20.0,27.0,0.0,41.0,19.0,32.0,42.0,59.0
4633,21.0,13.0,2.0,56.0,3.0,0.0,45.0,18.0,53.0,5.0,23.0,1.0,7.0,11.0,64.0,29.0,8.0,41.0,33.0,32.0,27.0,28.0,4.0,26.0,15.0,9.0,14.0,62.0,43.0,22.0
4682,16.0,0.0,1.0,12.0,4.0,14.0,42.0,10.0,17.0,25.0,19.0,22.0,20.0,35.0,56.0,26.0,43.0,36.0,11.0,47.0,46.0,7.0,62.0,13.0,28.0,34.0,57.0,29.0,27.0,5.0
4731,2.0,1.0,22.0,16.0,51.0,0.0,5.0,14.0,12.0,9.0,41.0,3.0,6.0,36.0,4.0,7.0,44.0,33.0,25.0,24.0,10.0,30.0,17.0,23.0,8.0,38.0,15.0,34.0,26.0,56.0
4780,5.0,44.0,7.0,1.0,4.0,11.0,14.0,13.0,59.0,9.0,25.0,32.0,18.0,40.0,0.0,27.0,24.0,39.0,10.0,48.0,29.0,31.0,62.0,28.0,8.0,43.0,2.0,6.0,37.0,22.0
4829,7.0,5.0,0.0,1.0,4.0,22.0,8.0,16.0,15.0,42.0,40.0,10.0,14.0,41.0,53.0,33.0,3.0,32.0,2.0,25.0,6.0,48.0,63.0,24.0,11.0,29.0,12.0,30.0,34.0,65.0
4878,12.0,1.0,0.0,8.0,2.0,11.0,28.0,6.0,29.0,22.0,20.0,4.0,17.0,33.0,56.0,15.0,42.0,37.0,45.0,25.0,26.0,50.0,64.0,27.0,23.0,39.0,57.0,21.0,24.0,13.0
