,HER2_pY1248,Shc_pY317,B-Raf,C-Raf_pS338,PDK1_pS241,PEA15,Annexin 1,Smac,Akt,Rb,c-Myc,MDMX_MDM4(BetIHC-00108),MIG-6,Bap1 c-4,MYH11,PKC-pan_BetaII_pS660,RAD51,EGFR,VHL,Cyclin_E2,c-Jun_pS73,Notch1,B-Raf_pS445,Acetyl-a-Tubulin (Lys40),Src,EGFR_pY1068,14-3-3_beta,RSK1-2-3,p38_pT180_Y182,PRDX1
3484,15.0,27.0,7.0,33.0,13.0,39.0,46.0,91.0,56.0,48.0,6.0,44.0,26.0,59.0,11.0,25.0,98.0,69.0,14.0,37.0,23.0,58.0,75.0,80.0,50.0,20.0,74.0,60.0,62.0,67.0
3533,6.0,62.0,17.0,16.0,11.0,96.0,26.0,58.0,57.0,43.0,34.0,10.0,2.0,14.0,147.0,86.0,110.0,35.0,116.0,54.0,41.0,68.0,30.0,66.0,19.0,114.0,67.0,63.0,70.0,72.0
3582,13.0,24.0,17.0,34.0,54.0,23.0,39.0,0.0,21.0,43.0,2.0,101.0,46.0,11.0,123.0,122.0,151.0,30.0,31.0,78.0,128.0,18.0,133.0,36.0,9.0,45.0,104.0,66.0,62.0,69.0
3631,13.0,101.0,53.0,36.0,2.0,16.0,67.0,6.0,15.0,39.0,4.0,88.0,1.0,19.0,0.0,37.0,31.0,32.0,58.0,57.0,84.0,34.0,8.0,91.0,24.0,102.0,97.0,71.0,25.0,90.0
3680,39.0,140.0,25.0,36.0,15.0,13.0,52.0,90.0,56.0,14.0,86.0,35.0,119.0,6.0,116.0,38.0,50.0,8.0,135.0,61.0,32.0,4.0,88.0,65.0,79.0,57.0,80.0,71.0,42.0,60.0
3729,4.0,25.0,21.0,23.0,3.0,7.0,12.0,110.0,80.0,44.0,68.0,43.0,113.0,27.0,163.0,24.0,66.0,84.0,50.0,90.0,28.0,59.0,10.0,39.0,0.0,133.0,61.0,52.0,64.0,30.0
3778,8.0,15.0,29.0,34.0,28.0,38.0,60.0,41.0,3.0,64.0,147.0,77.0,124.0,73.0,0.0,75.0,35.0,57.0,138.0,91.0,69.0,25.0,37.0,18.0,4.0,62.0,66.0,51.0,40.0,39.0
3827,11.0,35.0,27.0,30.0,145.0,41.0,39.0,45.0,54.0,42.0,32.0,49.0,1.0,43.0,5.0,81.0,53.0,161.0,3.0,33.0,137.0,80.0,15.0,85.0,24.0,2.0,21.0,71.0,28.0,50.0
3876,36.0,49.0,82.0,37.0,50.0,64.0,15.0,106.0,14.0,68.0,9.0,11.0,6.0,46.0,13.0,79.0,107.0,48.0,125.0,16.0,5.0,73.0,3.0,12.0,38.0,55.0,86.0,39.0,95.0,66.0
3925,7.0,6.0,24.0,23.0,151.0,55.0,46.0,56.0,96.0,88.0,19.0,20.0,17.0,27.0,159.0,128.0,40.0,1.0,126.0,47.0,11.0,103.0,38.0,36.0,50.0,39.0,127.0,62.0,75.0,116.0
