,hsa-miR-574-5p,hsa-miR-22,hsa-miR-142-5p,hsa-miR-21,hsa-let-7e,hsa-miR-548m,hsa-miR-2117,hsa-miR-24,hsa-miR-2115,hsa-miR-10a,kshv-miR-K12-4-3p,hsa-miR-545,hsa-miR-151-3p,hsa-miR-766,hsa-miR-193a-5p,hsa-miR-521,hsa-miR-92a,hsa-miR-31,hsa-miR-224,hsa-miR-30a,hsa-miR-711,hsa-miR-34a,hsa-miR-1255a,hsa-miR-206,hsa-miR-1269,hsa-miR-520a-5p,hsa-miR-602,hsa-miR-675,hsa-miR-378,hsa-miR-1308
1827,20.0,2.0,1.0,5.0,8.0,0.0,4.0,13.0,6.0,480.0,10.0,3.0,16.0,21.0,19.0,7.0,14.0,70.0,9.0,11.0,178.0,131.0,37.0,24.0,561.0,46.0,438.0,64.0,390.0,69.0
1876,20.0,5.0,1.0,0.0,4.0,2.0,3.0,13.0,8.0,16.0,6.0,12.0,52.0,36.0,9.0,14.0,40.0,60.0,7.0,71.0,422.0,47.0,51.0,69.0,141.0,107.0,132.0,75.0,204.0,24.0
1925,2.0,6.0,0.0,7.0,4.0,8.0,1.0,5.0,14.0,12.0,9.0,3.0,31.0,25.0,52.0,13.0,247.0,175.0,184.0,114.0,374.0,46.0,48.0,113.0,100.0,30.0,107.0,117.0,53.0,42.0
1974,3.0,5.0,2.0,0.0,6.0,21.0,7.0,4.0,45.0,20.0,17.0,1.0,9.0,22.0,404.0,41.0,28.0,88.0,14.0,320.0,12.0,32.0,139.0,288.0,137.0,421.0,163.0,335.0,81.0,138.0
2023,0.0,3.0,1.0,2.0,5.0,22.0,8.0,9.0,37.0,98.0,6.0,11.0,24.0,63.0,12.0,79.0,7.0,45.0,13.0,399.0,53.0,17.0,69.0,626.0,20.0,563.0,51.0,72.0,19.0,132.0
2072,2.0,6.0,0.0,1.0,3.0,4.0,5.0,8.0,12.0,184.0,29.0,9.0,11.0,59.0,58.0,23.0,24.0,74.0,60.0,575.0,49.0,7.0,115.0,342.0,228.0,602.0,65.0,199.0,77.0,273.0
2121,2.0,42.0,6.0,0.0,3.0,4.0,1.0,5.0,53.0,312.0,23.0,66.0,105.0,15.0,274.0,133.0,14.0,34.0,13.0,263.0,151.0,8.0,52.0,233.0,164.0,332.0,58.0,99.0,62.0,106.0
2170,1.0,7.0,2.0,0.0,4.0,5.0,3.0,6.0,18.0,32.0,13.0,12.0,24.0,44.0,8.0,331.0,232.0,83.0,22.0,193.0,53.0,31.0,262.0,136.0,168.0,68.0,16.0,209.0,473.0,545.0
2219,1.0,4.0,8.0,0.0,3.0,7.0,5.0,2.0,16.0,38.0,54.0,9.0,24.0,11.0,17.0,95.0,6.0,29.0,21.0,536.0,599.0,92.0,87.0,527.0,563.0,617.0,50.0,113.0,34.0,30.0
2268,3.0,1.0,4.0,0.0,8.0,9.0,2.0,5.0,12.0,44.0,77.0,16.0,150.0,6.0,19.0,33.0,30.0,13.0,517.0,27.0,81.0,7.0,92.0,247.0,248.0,597.0,460.0,147.0,38.0,15.0
