,cis/trans-hydroxyproline,pantothenate,DHAP/glyceraldehyde 3P,NADP,valerylcarnitine,leucine,adenosine,C22:6 LPC,5-HIAA,N-carbamoyl-beta-alanine,3-phosphoglycerate,pyroglutamic acid,creatinine,sarcosine,palmitoylcarnitine,butyrylcarnitine/isobutyrylcarnitine,alpha-glycerophosphate,2-deoxycytidine,PEP,dCMP,asparagine,phosphocreatine,C20:4 CE,UMP,urate,inositol,guanosine,C34:2 DAG,uridine,inosine
1546,3.0,2.0,24.0,10.0,8.0,60.0,1.0,9.0,19.0,16.0,46.0,21.0,18.0,6.0,14.0,44.0,32.0,4.0,7.0,23.0,59.0,26.0,35.0,52.0,0.0,20.0,50.0,27.0,54.0,22.0
1595,11.0,2.0,3.0,23.0,10.0,6.0,26.0,14.0,18.0,0.0,36.0,20.0,47.0,37.0,44.0,17.0,32.0,5.0,1.0,49.0,4.0,55.0,29.0,9.0,54.0,8.0,27.0,41.0,33.0,24.0
1644,15.0,0.0,2.0,6.0,13.0,5.0,16.0,40.0,58.0,10.0,45.0,22.0,64.0,21.0,11.0,8.0,24.0,65.0,33.0,27.0,57.0,7.0,29.0,34.0,52.0,12.0,49.0,37.0,35.0,50.0
1693,7.0,1.0,0.0,2.0,11.0,19.0,17.0,10.0,3.0,14.0,22.0,44.0,46.0,38.0,37.0,43.0,25.0,24.0,6.0,32.0,58.0,8.0,28.0,5.0,27.0,31.0,30.0,12.0,26.0,52.0
1742,5.0,6.0,13.0,8.0,22.0,3.0,25.0,36.0,60.0,12.0,24.0,19.0,20.0,10.0,16.0,7.0,14.0,30.0,31.0,47.0,21.0,1.0,38.0,0.0,55.0,57.0,49.0,28.0,32.0,52.0
1791,1.0,0.0,11.0,27.0,14.0,7.0,20.0,2.0,13.0,15.0,43.0,17.0,65.0,19.0,40.0,12.0,26.0,23.0,5.0,33.0,18.0,22.0,32.0,4.0,53.0,9.0,48.0,30.0,54.0,51.0
1840,1.0,0.0,6.0,9.0,7.0,4.0,18.0,42.0,12.0,15.0,10.0,22.0,17.0,20.0,13.0,5.0,25.0,19.0,28.0,32.0,57.0,54.0,27.0,8.0,26.0,14.0,33.0,44.0,24.0,30.0
1889,9.0,8.0,3.0,0.0,11.0,25.0,6.0,12.0,51.0,55.0,26.0,15.0,21.0,34.0,33.0,46.0,44.0,17.0,7.0,37.0,49.0,59.0,13.0,29.0,2.0,30.0,31.0,1.0,5.0,66.0
1938,10.0,6.0,0.0,8.0,4.0,9.0,1.0,28.0,12.0,18.0,41.0,14.0,53.0,38.0,3.0,7.0,43.0,19.0,5.0,13.0,57.0,16.0,36.0,30.0,51.0,65.0,26.0,34.0,25.0,48.0
1987,3.0,28.0,0.0,11.0,7.0,2.0,22.0,25.0,4.0,62.0,41.0,16.0,53.0,37.0,36.0,12.0,6.0,18.0,50.0,46.0,19.0,20.0,23.0,51.0,1.0,65.0,31.0,9.0,24.0,10.0
2036,4.0,1.0,8.0,0.0,10.0,19.0,18.0,7.0,13.0,9.0,17.0,11.0,24.0,21.0,20.0,47.0,3.0,61.0,29.0,30.0,25.0,28.0,23.0,12.0,58.0,27.0,2.0,6.0,31.0,39.0
2085,12.0,5.0,3.0,7.0,18.0,1.0,15.0,8.0,2.0,56.0,16.0,17.0,60.0,35.0,4.0,46.0,0.0,24.0,6.0,31.0,25.0,27.0,23.0,28.0,9.0,32.0,29.0,42.0,53.0,64.0
2134,20.0,4.0,9.0,3.0,10.0,2.0,19.0,11.0,15.0,16.0,43.0,33.0,18.0,39.0,5.0,36.0,24.0,22.0,26.0,49.0,13.0,14.0,27.0,25.0,0.0,12.0,1.0,8.0,23.0,52.0
2183,9.0,0.0,3.0,5.0,2.0,21.0,11.0,1.0,19.0,62.0,42.0,6.0,65.0,40.0,24.0,8.0,12.0,14.0,10.0,44.0,58.0,27.0,28.0,50.0,4.0,55.0,46.0,38.0,52.0,48.0
2232,3.0,0.0,2.0,4.0,17.0,52.0,9.0,8.0,13.0,57.0,11.0,48.0,10.0,35.0,34.0,46.0,5.0,16.0,29.0,7.0,22.0,6.0,44.0,32.0,27.0,25.0,31.0,21.0,53.0,26.0
2281,0.0,4.0,9.0,8.0,10.0,1.0,5.0,3.0,52.0,12.0,66.0,7.0,2.0,21.0,24.0,23.0,27.0,63.0,6.0,31.0,33.0,32.0,15.0,64.0,61.0,29.0,30.0,19.0,60.0,48.0
2330,10.0,1.0,3.0,2.0,4.0,7.0,5.0,9.0,18.0,61.0,13.0,39.0,17.0,41.0,14.0,15.0,0.0,54.0,27.0,48.0,12.0,20.0,22.0,29.0,30.0,11.0,8.0,24.0,52.0,26.0
2379,0.0,1.0,3.0,2.0,23.0,19.0,18.0,11.0,17.0,15.0,4.0,8.0,25.0,33.0,32.0,22.0,12.0,20.0,5.0,10.0,28.0,7.0,44.0,30.0,13.0,51.0,9.0,42.0,6.0,63.0
2428,10.0,1.0,4.0,2.0,9.0,18.0,22.0,0.0,14.0,54.0,16.0,3.0,13.0,32.0,20.0,45.0,12.0,17.0,27.0,26.0,31.0,29.0,43.0,8.0,7.0,59.0,6.0,41.0,5.0,62.0
2477,5.0,12.0,8.0,2.0,20.0,3.0,11.0,4.0,10.0,0.0,15.0,19.0,1.0,21.0,6.0,9.0,39.0,18.0,33.0,32.0,34.0,26.0,45.0,31.0,28.0,51.0,63.0,43.0,27.0,30.0
2526,4.0,0.0,1.0,2.0,34.0,61.0,12.0,35.0,9.0,8.0,32.0,10.0,13.0,20.0,19.0,33.0,46.0,3.0,11.0,14.0,18.0,57.0,40.0,25.0,55.0,58.0,27.0,39.0,23.0,52.0
2575,9.0,0.0,1.0,10.0,4.0,2.0,3.0,32.0,21.0,16.0,43.0,5.0,19.0,8.0,12.0,20.0,24.0,54.0,7.0,27.0,58.0,22.0,39.0,52.0,55.0,56.0,23.0,28.0,33.0,31.0
2624,8.0,1.0,0.0,5.0,14.0,6.0,54.0,40.0,11.0,9.0,3.0,17.0,10.0,39.0,13.0,15.0,22.0,7.0,24.0,31.0,57.0,53.0,36.0,50.0,51.0,65.0,47.0,28.0,30.0,26.0
2673,3.0,0.0,8.0,6.0,22.0,11.0,4.0,47.0,13.0,15.0,1.0,2.0,61.0,7.0,10.0,21.0,31.0,18.0,33.0,32.0,24.0,28.0,45.0,34.0,56.0,27.0,35.0,9.0,30.0,29.0
2722,5.0,0.0,28.0,31.0,10.0,17.0,3.0,20.0,4.0,2.0,35.0,1.0,22.0,14.0,7.0,33.0,15.0,29.0,9.0,27.0,19.0,23.0,42.0,8.0,26.0,21.0,49.0,32.0,54.0,12.0
2771,4.0,0.0,2.0,3.0,21.0,7.0,8.0,40.0,9.0,12.0,22.0,16.0,13.0,20.0,5.0,11.0,45.0,54.0,6.0,1.0,58.0,56.0,32.0,25.0,55.0,57.0,27.0,28.0,24.0,51.0
2820,8.0,3.0,24.0,0.0,17.0,7.0,1.0,36.0,21.0,12.0,22.0,15.0,65.0,25.0,10.0,6.0,2.0,19.0,51.0,47.0,58.0,23.0,13.0,52.0,53.0,57.0,11.0,38.0,54.0,27.0
2869,3.0,0.0,1.0,26.0,14.0,2.0,5.0,25.0,19.0,17.0,4.0,6.0,45.0,35.0,9.0,16.0,46.0,65.0,27.0,8.0,12.0,56.0,39.0,30.0,54.0,57.0,50.0,24.0,22.0,11.0
2918,0.0,1.0,6.0,54.0,44.0,10.0,5.0,45.0,11.0,2.0,3.0,22.0,47.0,13.0,15.0,16.0,26.0,19.0,7.0,49.0,9.0,23.0,37.0,28.0,56.0,58.0,51.0,40.0,25.0,30.0
2967,13.0,2.0,9.0,12.0,10.0,3.0,5.0,7.0,16.0,8.0,4.0,20.0,6.0,15.0,18.0,19.0,0.0,65.0,31.0,26.0,58.0,23.0,25.0,29.0,54.0,22.0,28.0,36.0,1.0,51.0
3016,0.0,3.0,6.0,4.0,19.0,16.0,10.0,41.0,9.0,21.0,43.0,14.0,64.0,13.0,18.0,35.0,26.0,54.0,2.0,1.0,11.0,23.0,34.0,52.0,53.0,65.0,28.0,36.0,7.0,50.0
3065,18.0,1.0,3.0,2.0,5.0,58.0,29.0,38.0,6.0,22.0,23.0,16.0,65.0,20.0,19.0,8.0,11.0,10.0,0.0,9.0,56.0,24.0,39.0,32.0,31.0,28.0,47.0,37.0,53.0,50.0
3114,1.0,4.0,9.0,0.0,5.0,50.0,14.0,10.0,12.0,57.0,7.0,15.0,61.0,37.0,21.0,23.0,26.0,63.0,30.0,8.0,20.0,29.0,17.0,3.0,34.0,36.0,35.0,19.0,33.0,32.0
3163,2.0,13.0,6.0,11.0,19.0,9.0,4.0,44.0,21.0,8.0,14.0,24.0,46.0,16.0,37.0,43.0,3.0,55.0,27.0,0.0,58.0,10.0,5.0,12.0,54.0,30.0,50.0,31.0,7.0,28.0
3212,12.0,1.0,10.0,2.0,31.0,14.0,0.0,5.0,16.0,4.0,34.0,13.0,64.0,17.0,22.0,3.0,29.0,54.0,6.0,11.0,9.0,19.0,39.0,20.0,53.0,7.0,27.0,38.0,21.0,50.0
3261,0.0,8.0,7.0,11.0,4.0,57.0,17.0,19.0,10.0,60.0,2.0,12.0,64.0,14.0,15.0,43.0,23.0,18.0,31.0,25.0,6.0,20.0,27.0,32.0,34.0,21.0,50.0,46.0,1.0,29.0
3310,0.0,4.0,30.0,29.0,7.0,18.0,17.0,39.0,57.0,61.0,44.0,31.0,64.0,37.0,12.0,11.0,10.0,65.0,2.0,9.0,19.0,8.0,33.0,3.0,26.0,53.0,48.0,42.0,6.0,22.0
3359,16.0,4.0,2.0,1.0,7.0,5.0,25.0,22.0,0.0,56.0,17.0,18.0,13.0,20.0,43.0,19.0,11.0,63.0,12.0,10.0,32.0,8.0,44.0,29.0,31.0,51.0,39.0,46.0,6.0,37.0
3408,13.0,6.0,2.0,0.0,14.0,10.0,59.0,8.0,1.0,22.0,26.0,55.0,60.0,7.0,12.0,51.0,28.0,5.0,27.0,42.0,32.0,33.0,20.0,57.0,63.0,35.0,45.0,17.0,3.0,31.0
3457,6.0,52.0,4.0,5.0,0.0,19.0,43.0,2.0,17.0,16.0,23.0,31.0,25.0,26.0,9.0,34.0,12.0,24.0,53.0,46.0,21.0,28.0,3.0,54.0,1.0,15.0,29.0,33.0,56.0,50.0
3506,4.0,3.0,8.0,0.0,2.0,26.0,7.0,22.0,10.0,1.0,66.0,64.0,15.0,20.0,18.0,6.0,13.0,62.0,34.0,9.0,39.0,60.0,12.0,28.0,30.0,53.0,38.0,11.0,32.0,5.0
3555,55.0,32.0,0.0,30.0,2.0,3.0,11.0,9.0,4.0,8.0,1.0,17.0,63.0,45.0,6.0,12.0,29.0,48.0,33.0,22.0,14.0,10.0,43.0,34.0,21.0,53.0,24.0,18.0,7.0,50.0
3604,15.0,31.0,1.0,0.0,7.0,14.0,60.0,5.0,11.0,12.0,16.0,18.0,59.0,36.0,35.0,40.0,27.0,17.0,2.0,4.0,24.0,3.0,44.0,30.0,8.0,10.0,32.0,20.0,50.0,9.0
3653,2.0,37.0,6.0,0.0,18.0,16.0,10.0,21.0,64.0,13.0,15.0,53.0,25.0,20.0,19.0,17.0,47.0,55.0,36.0,35.0,30.0,5.0,24.0,9.0,7.0,4.0,49.0,23.0,34.0,33.0
3702,3.0,27.0,8.0,1.0,22.0,11.0,17.0,19.0,13.0,16.0,25.0,2.0,62.0,23.0,10.0,6.0,35.0,64.0,30.0,31.0,20.0,0.0,9.0,32.0,4.0,48.0,29.0,14.0,53.0,33.0
3751,10.0,30.0,1.0,29.0,2.0,52.0,17.0,13.0,21.0,5.0,3.0,47.0,6.0,16.0,12.0,22.0,0.0,64.0,26.0,24.0,50.0,31.0,20.0,7.0,58.0,56.0,28.0,19.0,4.0,11.0
3800,22.0,1.0,10.0,0.0,23.0,8.0,16.0,12.0,2.0,15.0,25.0,4.0,62.0,43.0,44.0,21.0,9.0,64.0,34.0,33.0,28.0,54.0,11.0,32.0,31.0,35.0,40.0,38.0,58.0,6.0
3849,20.0,31.0,0.0,3.0,16.0,6.0,5.0,7.0,1.0,15.0,4.0,32.0,45.0,37.0,18.0,35.0,11.0,10.0,2.0,25.0,56.0,23.0,21.0,24.0,9.0,54.0,30.0,26.0,28.0,13.0
3898,14.0,3.0,9.0,1.0,2.0,13.0,20.0,5.0,11.0,16.0,4.0,10.0,6.0,36.0,21.0,17.0,25.0,65.0,50.0,8.0,56.0,23.0,33.0,27.0,0.0,22.0,31.0,37.0,7.0,29.0
3947,2.0,1.0,8.0,31.0,0.0,29.0,7.0,5.0,26.0,55.0,66.0,16.0,18.0,27.0,35.0,12.0,11.0,14.0,4.0,9.0,50.0,62.0,10.0,3.0,33.0,32.0,6.0,42.0,64.0,36.0
3996,8.0,1.0,27.0,34.0,3.0,60.0,6.0,12.0,9.0,0.0,44.0,19.0,18.0,11.0,35.0,15.0,4.0,29.0,32.0,26.0,10.0,23.0,24.0,33.0,7.0,21.0,51.0,38.0,54.0,52.0
4045,1.0,0.0,32.0,52.0,10.0,6.0,45.0,8.0,20.0,63.0,44.0,33.0,18.0,40.0,38.0,11.0,2.0,23.0,5.0,49.0,14.0,56.0,12.0,4.0,24.0,19.0,30.0,31.0,54.0,7.0
4094,14.0,10.0,28.0,31.0,7.0,13.0,20.0,8.0,9.0,2.0,47.0,25.0,6.0,16.0,37.0,0.0,3.0,5.0,33.0,27.0,11.0,65.0,26.0,1.0,34.0,24.0,29.0,41.0,35.0,32.0
4143,3.0,1.0,7.0,28.0,20.0,2.0,5.0,10.0,59.0,64.0,45.0,36.0,17.0,11.0,19.0,13.0,47.0,55.0,8.0,0.0,6.0,31.0,26.0,27.0,23.0,56.0,50.0,33.0,54.0,29.0
4192,11.0,12.0,2.0,30.0,0.0,10.0,20.0,3.0,14.0,17.0,43.0,42.0,1.0,16.0,33.0,15.0,25.0,23.0,29.0,6.0,13.0,55.0,5.0,32.0,9.0,56.0,8.0,27.0,53.0,28.0
4241,25.0,2.0,1.0,8.0,7.0,10.0,4.0,26.0,39.0,3.0,66.0,63.0,18.0,21.0,9.0,22.0,12.0,27.0,0.0,42.0,33.0,59.0,13.0,6.0,5.0,30.0,35.0,43.0,62.0,31.0
4290,1.0,0.0,5.0,2.0,21.0,27.0,11.0,40.0,15.0,14.0,16.0,19.0,13.0,22.0,42.0,65.0,30.0,18.0,35.0,9.0,29.0,3.0,47.0,6.0,36.0,7.0,49.0,46.0,56.0,4.0
4339,5.0,1.0,8.0,34.0,6.0,49.0,15.0,10.0,11.0,13.0,27.0,19.0,55.0,23.0,39.0,22.0,9.0,54.0,30.0,36.0,7.0,33.0,17.0,31.0,4.0,35.0,41.0,42.0,32.0,65.0
4388,0.0,7.0,10.0,53.0,18.0,6.0,3.0,40.0,19.0,16.0,8.0,12.0,45.0,41.0,21.0,39.0,2.0,65.0,32.0,49.0,24.0,1.0,14.0,54.0,29.0,31.0,22.0,20.0,28.0,27.0
4437,0.0,12.0,1.0,2.0,6.0,52.0,9.0,41.0,13.0,58.0,15.0,66.0,3.0,37.0,36.0,34.0,32.0,16.0,28.0,27.0,21.0,31.0,4.0,29.0,56.0,22.0,25.0,5.0,54.0,62.0
4486,1.0,3.0,8.0,2.0,0.0,10.0,12.0,38.0,54.0,14.0,4.0,56.0,11.0,35.0,34.0,15.0,25.0,64.0,30.0,7.0,21.0,51.0,43.0,58.0,29.0,37.0,9.0,42.0,27.0,23.0
4535,3.0,27.0,0.0,1.0,8.0,49.0,2.0,12.0,23.0,22.0,9.0,48.0,21.0,34.0,13.0,16.0,11.0,63.0,7.0,10.0,56.0,32.0,43.0,64.0,5.0,51.0,41.0,18.0,4.0,29.0
4584,0.0,34.0,26.0,10.0,8.0,11.0,9.0,19.0,7.0,1.0,3.0,48.0,13.0,17.0,16.0,47.0,27.0,61.0,24.0,36.0,14.0,51.0,44.0,30.0,29.0,22.0,32.0,43.0,6.0,31.0
4633,2.0,28.0,8.0,3.0,0.0,58.0,1.0,14.0,4.0,20.0,7.0,11.0,12.0,39.0,38.0,21.0,26.0,54.0,27.0,9.0,16.0,22.0,34.0,50.0,51.0,65.0,48.0,6.0,52.0,29.0
4682,2.0,9.0,3.0,4.0,8.0,24.0,1.0,10.0,22.0,18.0,0.0,13.0,60.0,23.0,11.0,47.0,27.0,63.0,28.0,5.0,48.0,29.0,7.0,61.0,30.0,52.0,33.0,43.0,6.0,34.0
4731,0.0,8.0,11.0,9.0,1.0,24.0,5.0,22.0,19.0,16.0,3.0,10.0,64.0,18.0,37.0,41.0,13.0,65.0,7.0,2.0,21.0,31.0,40.0,29.0,54.0,28.0,27.0,44.0,32.0,12.0
4780,8.0,10.0,0.0,13.0,20.0,9.0,15.0,5.0,2.0,18.0,3.0,14.0,16.0,41.0,6.0,38.0,1.0,22.0,29.0,45.0,65.0,28.0,34.0,49.0,51.0,27.0,21.0,32.0,31.0,12.0
4829,1.0,10.0,4.0,2.0,7.0,11.0,9.0,37.0,20.0,17.0,0.0,14.0,5.0,34.0,33.0,40.0,29.0,62.0,58.0,27.0,23.0,28.0,44.0,56.0,54.0,26.0,63.0,12.0,30.0,32.0
4878,1.0,28.0,0.0,3.0,20.0,10.0,11.0,21.0,13.0,23.0,16.0,18.0,59.0,9.0,33.0,45.0,4.0,62.0,12.0,31.0,24.0,8.0,43.0,30.0,53.0,27.0,34.0,41.0,2.0,64.0
