,GATA3,Akt_pS473,beta-Catenin_pT41_S45,c-Myc,Rb,Gab2,Cyclin_E1,MDMX_MDM4(BetIHC-00108),EGFR,Src,Lck,RAD51,PKC-alpha,Src_pY416,A-Raf_pS299,TAZ,Caspase-7_cleavedD198,ADAR1,YAP_pS127,VEGFR2,IGFBP2,AMPK_pT172,Annexin 1,p62 Lck ligand,PI3K-p110-alpha,Paxillin,PI3K-p85,PEA15,PDK1,PDK1_pS241
2064,131.0,7.0,99.0,18.0,85.0,137.0,2.0,9.0,13.0,73.0,4.0,8.0,6.0,32.0,30.0,37.0,108.0,0.0,26.0,33.0,23.0,121.0,122.0,15.0,12.0,58.0,91.0,44.0,42.0,41.0
2113,0.0,7.0,1.0,2.0,14.0,16.0,19.0,29.0,8.0,74.0,5.0,93.0,92.0,73.0,118.0,3.0,13.0,36.0,63.0,27.0,23.0,4.0,124.0,54.0,20.0,55.0,60.0,46.0,49.0,48.0
2162,4.0,0.0,27.0,108.0,11.0,20.0,161.0,25.0,14.0,17.0,140.0,12.0,19.0,70.0,127.0,39.0,104.0,124.0,61.0,45.0,23.0,123.0,33.0,60.0,44.0,53.0,95.0,50.0,52.0,51.0
2211,20.0,37.0,29.0,0.0,9.0,18.0,4.0,140.0,28.0,77.0,138.0,10.0,15.0,78.0,116.0,5.0,107.0,39.0,1.0,32.0,25.0,122.0,123.0,52.0,17.0,43.0,92.0,91.0,47.0,63.0
2260,3.0,27.0,6.0,10.0,13.0,16.0,14.0,140.0,7.0,63.0,1.0,26.0,24.0,62.0,4.0,71.0,105.0,33.0,31.0,29.0,21.0,127.0,121.0,47.0,17.0,42.0,90.0,49.0,44.0,45.0
2309,3.0,1.0,2.0,101.0,9.0,0.0,13.0,25.0,157.0,68.0,22.0,12.0,89.0,69.0,38.0,39.0,4.0,121.0,32.0,6.0,139.0,124.0,35.0,20.0,27.0,46.0,7.0,65.0,63.0,93.0
2358,3.0,0.0,10.0,13.0,8.0,14.0,23.0,36.0,28.0,74.0,7.0,16.0,25.0,1.0,38.0,37.0,26.0,127.0,62.0,4.0,32.0,9.0,39.0,49.0,17.0,51.0,91.0,40.0,46.0,45.0
2407,14.0,4.0,11.0,97.0,15.0,21.0,163.0,30.0,1.0,31.0,32.0,19.0,78.0,73.0,8.0,39.0,5.0,121.0,26.0,27.0,36.0,34.0,124.0,0.0,84.0,57.0,60.0,41.0,44.0,43.0
2456,19.0,0.0,11.0,99.0,84.0,161.0,22.0,5.0,25.0,36.0,141.0,86.0,39.0,35.0,27.0,9.0,8.0,121.0,62.0,3.0,136.0,30.0,125.0,59.0,45.0,12.0,38.0,41.0,58.0,42.0
2505,13.0,7.0,24.0,12.0,5.0,161.0,22.0,0.0,26.0,1.0,137.0,84.0,21.0,36.0,30.0,4.0,6.0,27.0,33.0,64.0,35.0,124.0,125.0,54.0,18.0,56.0,2.0,41.0,51.0,58.0
2554,7.0,0.0,1.0,99.0,2.0,160.0,28.0,6.0,20.0,38.0,5.0,93.0,24.0,40.0,3.0,4.0,10.0,34.0,37.0,31.0,27.0,123.0,124.0,52.0,54.0,43.0,26.0,47.0,45.0,49.0
2603,3.0,36.0,97.0,104.0,14.0,24.0,154.0,0.0,21.0,5.0,140.0,72.0,17.0,7.0,4.0,1.0,128.0,6.0,33.0,34.0,135.0,121.0,122.0,39.0,20.0,22.0,2.0,86.0,63.0,62.0
2652,18.0,5.0,28.0,14.0,0.0,161.0,26.0,4.0,8.0,6.0,30.0,22.0,60.0,3.0,32.0,2.0,98.0,120.0,63.0,31.0,1.0,33.0,34.0,58.0,25.0,15.0,46.0,59.0,51.0,48.0
2701,12.0,7.0,1.0,14.0,8.0,146.0,152.0,0.0,157.0,4.0,6.0,82.0,16.0,5.0,30.0,35.0,106.0,119.0,28.0,3.0,38.0,123.0,124.0,11.0,89.0,50.0,36.0,42.0,49.0,43.0
2750,21.0,118.0,97.0,104.0,5.0,162.0,2.0,143.0,156.0,70.0,140.0,81.0,32.0,25.0,30.0,1.0,39.0,3.0,7.0,29.0,135.0,121.0,122.0,47.0,61.0,19.0,28.0,59.0,41.0,42.0
2799,20.0,31.0,32.0,1.0,4.0,19.0,153.0,7.0,14.0,34.0,26.0,16.0,28.0,0.0,3.0,5.0,97.0,35.0,40.0,33.0,23.0,124.0,39.0,51.0,2.0,45.0,18.0,42.0,43.0,41.0
2848,145.0,8.0,15.0,10.0,14.0,16.0,22.0,1.0,26.0,0.0,28.0,91.0,23.0,3.0,4.0,6.0,13.0,7.0,35.0,30.0,144.0,122.0,123.0,55.0,90.0,17.0,25.0,39.0,43.0,44.0
2897,146.0,1.0,100.0,104.0,26.0,16.0,6.0,8.0,157.0,2.0,36.0,21.0,14.0,3.0,9.0,0.0,128.0,118.0,31.0,32.0,35.0,122.0,123.0,20.0,81.0,19.0,28.0,44.0,47.0,45.0
2946,27.0,5.0,6.0,9.0,16.0,29.0,13.0,31.0,21.0,74.0,10.0,81.0,36.0,73.0,26.0,62.0,100.0,30.0,72.0,70.0,142.0,3.0,1.0,4.0,2.0,43.0,40.0,39.0,42.0,54.0
2995,161.0,33.0,25.0,102.0,5.0,16.0,3.0,32.0,154.0,76.0,137.0,15.0,20.0,39.0,122.0,0.0,11.0,4.0,27.0,66.0,8.0,36.0,37.0,26.0,54.0,43.0,50.0,61.0,59.0,57.0
3044,2.0,122.0,6.0,12.0,8.0,22.0,153.0,29.0,18.0,80.0,27.0,13.0,31.0,41.0,4.0,35.0,3.0,34.0,62.0,57.0,135.0,125.0,39.0,26.0,85.0,23.0,84.0,65.0,66.0,89.0
3093,3.0,1.0,6.0,10.0,5.0,16.0,23.0,36.0,158.0,75.0,28.0,85.0,84.0,41.0,35.0,31.0,119.0,121.0,61.0,4.0,145.0,32.0,125.0,30.0,45.0,25.0,56.0,20.0,44.0,46.0
3142,136.0,40.0,28.0,105.0,0.0,21.0,154.0,142.0,158.0,68.0,25.0,9.0,80.0,39.0,34.0,35.0,1.0,126.0,31.0,47.0,144.0,123.0,124.0,5.0,82.0,20.0,81.0,86.0,19.0,18.0
3191,34.0,5.0,1.0,16.0,21.0,12.0,25.0,4.0,157.0,6.0,3.0,84.0,31.0,14.0,30.0,40.0,19.0,35.0,26.0,29.0,139.0,121.0,122.0,22.0,62.0,43.0,90.0,60.0,45.0,52.0
3240,22.0,32.0,1.0,9.0,7.0,21.0,153.0,2.0,30.0,57.0,26.0,74.0,87.0,3.0,37.0,0.0,11.0,38.0,34.0,42.0,135.0,121.0,122.0,25.0,18.0,45.0,17.0,92.0,43.0,65.0
3289,11.0,0.0,7.0,10.0,3.0,147.0,2.0,4.0,157.0,37.0,33.0,84.0,24.0,1.0,32.0,31.0,107.0,5.0,38.0,34.0,137.0,6.0,122.0,8.0,28.0,25.0,61.0,44.0,43.0,41.0
3338,162.0,35.0,1.0,32.0,19.0,3.0,111.0,7.0,107.0,85.0,22.0,30.0,42.0,28.0,93.0,8.0,10.0,5.0,9.0,74.0,152.0,144.0,147.0,4.0,52.0,58.0,41.0,54.0,56.0,53.0
3387,20.0,40.0,107.0,101.0,2.0,19.0,151.0,3.0,156.0,76.0,26.0,80.0,14.0,37.0,39.0,41.0,15.0,119.0,42.0,58.0,141.0,123.0,4.0,1.0,30.0,22.0,66.0,65.0,50.0,47.0
3436,24.0,3.0,7.0,105.0,71.0,21.0,157.0,0.0,16.0,2.0,27.0,9.0,12.0,34.0,5.0,6.0,127.0,120.0,60.0,54.0,19.0,35.0,124.0,43.0,13.0,90.0,84.0,87.0,89.0,88.0
3485,2.0,30.0,11.0,21.0,18.0,1.0,153.0,0.0,9.0,4.0,26.0,6.0,57.0,19.0,3.0,31.0,16.0,120.0,22.0,24.0,5.0,32.0,124.0,42.0,55.0,36.0,81.0,34.0,37.0,38.0
3534,17.0,1.0,28.0,10.0,66.0,161.0,108.0,4.0,103.0,83.0,146.0,97.0,25.0,82.0,5.0,8.0,11.0,61.0,68.0,27.0,149.0,30.0,36.0,58.0,40.0,53.0,41.0,38.0,50.0,64.0
3583,17.0,39.0,0.0,102.0,86.0,161.0,130.0,5.0,153.0,26.0,3.0,20.0,60.0,73.0,37.0,31.0,103.0,41.0,29.0,36.0,7.0,34.0,33.0,10.0,47.0,52.0,24.0,44.0,49.0,59.0
3632,10.0,4.0,18.0,102.0,20.0,0.0,153.0,7.0,158.0,2.0,33.0,8.0,59.0,5.0,26.0,68.0,104.0,1.0,32.0,31.0,145.0,30.0,36.0,47.0,57.0,40.0,83.0,41.0,38.0,39.0
3681,18.0,31.0,108.0,102.0,10.0,17.0,153.0,0.0,157.0,32.0,2.0,29.0,90.0,35.0,30.0,83.0,8.0,41.0,34.0,37.0,20.0,123.0,38.0,46.0,16.0,48.0,27.0,66.0,64.0,79.0
3730,13.0,40.0,43.0,148.0,32.0,0.0,116.0,1.0,15.0,36.0,9.0,33.0,44.0,29.0,3.0,25.0,17.0,4.0,73.0,76.0,10.0,54.0,42.0,66.0,56.0,28.0,20.0,57.0,59.0,58.0
3779,159.0,30.0,48.0,122.0,5.0,161.0,107.0,2.0,102.0,24.0,144.0,65.0,46.0,1.0,4.0,25.0,118.0,33.0,3.0,26.0,149.0,37.0,36.0,27.0,20.0,54.0,47.0,19.0,52.0,51.0
3828,155.0,3.0,7.0,103.0,85.0,1.0,151.0,29.0,36.0,0.0,35.0,86.0,53.0,73.0,6.0,41.0,2.0,4.0,15.0,64.0,136.0,122.0,34.0,9.0,43.0,52.0,42.0,47.0,50.0,48.0
3877,162.0,7.0,4.0,102.0,13.0,5.0,15.0,2.0,154.0,1.0,0.0,81.0,64.0,6.0,40.0,33.0,104.0,30.0,37.0,34.0,136.0,27.0,29.0,50.0,51.0,46.0,77.0,47.0,44.0,43.0
3926,1.0,122.0,35.0,101.0,4.0,160.0,150.0,27.0,17.0,74.0,139.0,7.0,91.0,0.0,5.0,86.0,9.0,121.0,55.0,6.0,143.0,125.0,36.0,53.0,67.0,47.0,19.0,64.0,45.0,42.0
3975,137.0,39.0,106.0,100.0,4.0,1.0,153.0,27.0,158.0,7.0,139.0,93.0,87.0,75.0,5.0,3.0,8.0,127.0,61.0,54.0,135.0,6.0,34.0,23.0,89.0,46.0,88.0,66.0,79.0,67.0
4024,4.0,27.0,7.0,20.0,82.0,162.0,153.0,30.0,157.0,73.0,2.0,15.0,83.0,35.0,32.0,6.0,107.0,121.0,34.0,0.0,136.0,9.0,124.0,51.0,39.0,55.0,21.0,38.0,48.0,36.0
4073,19.0,28.0,108.0,103.0,94.0,4.0,15.0,136.0,157.0,66.0,2.0,14.0,16.0,0.0,33.0,37.0,99.0,5.0,41.0,32.0,23.0,6.0,118.0,58.0,65.0,50.0,93.0,44.0,48.0,46.0
4122,3.0,29.0,108.0,9.0,18.0,1.0,2.0,4.0,159.0,25.0,27.0,90.0,20.0,30.0,126.0,35.0,13.0,5.0,42.0,43.0,7.0,32.0,33.0,53.0,61.0,56.0,48.0,51.0,54.0,49.0
4171,13.0,41.0,8.0,98.0,26.0,148.0,22.0,4.0,157.0,39.0,140.0,7.0,29.0,73.0,2.0,5.0,14.0,0.0,1.0,64.0,40.0,31.0,32.0,9.0,43.0,53.0,20.0,18.0,49.0,58.0
