Antibody_Name,Target_Genes,Validation_Status,Company,Catalog_Number
P-Cadherin_Caution,CDH3,Caution,CST,2130
p14 Arf(BetA300-340A)_Caution,CDKN2A,Caution,Bethyl,A300-340A
p21,CDKN1A,Validated,Santa Cruz,sc-397
p27,CDKN1B,Validated,Abcam,ab32034
p27_pT157_Caution,CDKN1B,Caution,R&D Systems,AF1555
p27_pT198,CDKN1B,Validated,Abcam,ab64949 
p38 alpha MAPK,MAPK14,Validated,CST,9228
p38_MAPK,MAPK14,Validated,CST,9212
p38_pT180_Y182,MAPK14,Validated,CST,9211
p53_Caution,TP53,Caution,CST,9282
p62 Lck ligand_Caution,SQSTM1,Caution,BD Transduction Lab,610833
p70S6K,RPS6KB1,Validated,Abcam,ab32529
p70S6K_pT389,RPS6KB1,Validated,CST,9205
p90RSK_Caution,RPS6KA1,Caution,CST,9347
p90RSK_pT359_S363_Caution,RPS6KA1,Caution,CST,9344
p90RSK_pT573_Caution,RPS6KA1,Caution,CST,9346
PAI-1,SERPINE1,Validated,BD Biosciences,612024
PARP_cleaved_Caution,PARP1,Caution,CST,9546
Paxillin_Caution,PXN,Caution,Epitomics,1500-1
PCNA_Caution,PCNA,Caution,Abcam,ab29
PDCD4_Caution,PDCD4,Caution,Rockland,600-401-965
PDK1,PDK1,Validated,CST,3062
PDK1_pS241,PDK1,Validated,CST,3061
PEA15,PEA15,Validated,CST,2780
PEA15_pS116,PEA15,Validated,Invitrogen,44-836G
PI3K-p110-alpha_Caution,PIK3CA,Caution,CST,4255
PI3K-p85,PIK3R1,Validated,Millipore,06-195
PKC-alpha,PRKCA,Validated,Millipore,05-154
PKC-alpha_pS657_Caution,PRKCA,Caution,Millipore,06-822
PKC-delta_pS664,PRKCD,Validated,Millipore,07-875
PKC-pan_BetaII_pS660,PRKCB,Validated,CST,9371
Porin,VDAC1,Validated,,
PR,PGR,Validated,Abcam,ab32085
PRAS40_pT246,AKT1S1,Validated,Life Technologies,441100G
PRDX1,PRDX1,Validated,Abcam,ab102739
PREX1,PREX1,Validated,Abcam,ab102739
PTEN,PTEN,Validated,CST,9552
Rab25,RAB25,Validated,CST,4314
Rad50,RAD50,Validated,Millipore,05-525
RAD51,RAD51,Validated,CST,8875
Raptor,RPTOR,Validated,CST,2280
Rb_Caution,RB1,Caution,CST,9309
Rb_pS807_S811,RB1,Validated,CST,9308
RBM15,RBM15,Validated,Novus Biologicals,21390002
Rictor_Caution,RICTOR,Caution,CST,2114
Rictor_pT1135,RICTOR,Validated,CST,3806
RSK1-2-3_Caution,RPS6KA1 RPS6KA2 RPS6KA3,Caution,CST,9347
S6_pS235_S236,RPS6,Validated,CST,2211
S6_pS240_S244,RPS6,Validated,CST,2215
SCD1,SCD,Validated,Santa Cruz,sc-58420
SETD2_Caution,SETD2,Caution,Abcam,ab69836
SF2,SRSF1,Validated,Invitrogen,32-4500
Shc_pY317,SHC1,Validated,CST,2431
SHP-2_pY542_Caution,PTPN11,Caution,CST,3751
Smac_Caution,DIABLO,Caution,CST,2954
Smad1,SMAD1,Validated,Abcam,ab33902
Smad3,SMAD3,Validated,Abcam,ab40854
Smad4,SMAD4,Validated,Santa Cruz,sc-7966
Snail_Caution,SNAI1,Caution,CST,3895
Src,SRC,Validated,Millipore,05-184
Src_pY416_Caution,SRC,Caution,CST,2101
Src_pY527,SRC,Validated,CST,2105
STAT3_Caution,STAT3,Caution,CST,4904
STAT3_pY705,STAT3,Validated,CST,9131
STAT5-alpha,STAT5A,Validated,Abcam,ab32043
Stathmin,STMN1,Validated,Abcam,ab52630
Syk,SYK,Validated,Santa Cruz,sc-1240
TAZ,WWTR1,Validated,CST,2149
TFRC,TFRC,Validated,Novus Biologicals,22500002
TIGAR,C12orf5,Validated,Abcam,ab137573
Transglutaminase,TGM2,Validated,Lab Vision,MS-224-P1
TSC1_Caution,TSC1,Caution,CST,4906
TTF1,TTF1,Validated,Abcam,ab76013
Tuberin,TSC2,Validated,Abcam,ab32554
Tuberin_pT1462,TSC2,Validated,CST,3617
VAV1_Caution,VAV1,Caution,,
VEGFR2,KDR,Validated,CST,2479
VHL_Caution,VHL,Caution,BD Biosciences,556347
XBP1_Caution,XBP1,Caution,Santa Cruz,sc-32136
XRCC1_Caution,XRCC1,Caution,CST,2735
YAP_Caution,YAP1,Caution,Santa Cruz,sc-15407
YAP_pS127_Caution,YAP1,Caution,CST,4911
YB-1,YBX1,Validated,Novus Biologicals,17250002
YB-1_pS102,YBX1,Validated,CST,2900
